Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000116254,CHD5,213,-0.5762,323,0.15136,386,0.43385,365,0.55941,164,-0.8864,228,-0.3889,244,-0.2809
ENSG00000116251,RPL22,349,-0.6868,302,-0.8142,642,0.35428,482,-0.1441,656,0.38821,938,0.97286,675,0.43467
ENSG00000116237,ICMT,48,0.63172,39,0.17158,30,-0.2230,30,-0.3261,35,-0.0053,21,-0.7984,34,-0.0362
ENSG00000097021,ACOT7,384,1.21675,180,-0.2816,88,-1.3530,213,-0.0300,47,-2.2839,118,-0.9235,154,-0.5227
ENSG00000215788,TNFRSF25,13,0.42393,38,2.16349,3,-1.7726,2,-2.4667,14,0.45657,15,0.57592,14,0.45748
ENSG00000171680,PLEKHG5,29,0.84304,19,-0.0236,9,-1.0946,16,-0.4061,12,-0.7156,31,0.75129,11,-0.8223
ENSG00000162408,NOL9,29,0.35477,30,0.32886,22,-0.1107,22,-0.1547,14,-0.8181,19,-0.3560,28,0.25620
ENSG00000204859,ZBTB48,11,0.42233,11,0.43871,7,-0.3588,7,-0.4588,8,-0.1138,14,0.78649,4,-0.9632
ENSG00000162413,KLHL21,30,0.45257,20,-0.2570,23,-0.0203,18,-0.5525,31,0.40705,32,0.47889,20,-0.2504
ENSG00000116273,PHF13,12,0.06155,7,-0.7714,8,-0.6054,16,0.70354,11,-0.1193,4,-1.6006,9,-0.3672
ENSG00000041988,THAP3,17,0.19973,12,-0.4211,16,0.07721,15,-0.1285,19,0.34969,11,-0.4783,18,0.21409
ENSG00000007923,DNAJC11,35,0.21491,32,0.03618,28,-0.1610,33,0.10825,39,0.34609,18,-0.8392,21,-0.6376
ENSG00000171735,CAMTA1,377,-0.4910,537,0.12972,354,-0.5132,683,0.85771,285,-0.8427,298,-0.7780,408,-0.2964
ENSG00000049245,VAMP3,9,-0.9201,16,0.00563,15,-0.1014,10,-0.9935,66,2.40303,23,0.55360,13,-0.3828
ENSG00000049246,PER3,24,-0.7880,43,0.20417,58,0.66859,33,-0.3187,74,1.06787,57,0.63287,25,-0.6496
ENSG00000116288,PARK7,339,0.45108,169,-0.7138,145,-0.9443,251,-0.1569,234,-0.2151,432,0.75671,244,-0.1538
ENSG00000116285,ERRFI1,27,0.52875,21,0.04590,12,-0.7432,19,-0.1894,17,-0.2773,18,-0.1694,22,0.13700
ENSG00000162426,SLC45A1,49,1.30943,31,0.28539,11,-1.2749,21,-0.4942,19,-0.4802,16,-0.7422,12,-1.1210
ENSG00000142599,RERE,89,-0.5065,97,-0.3026,140,0.27300,125,0.13691,138,0.24326,158,0.45856,109,-0.1241
ENSG00000074800,ENO1,511,0.46130,305,-0.4349,200,-1.0715,302,-0.6282,980,1.46145,507,0.35972,211,-0.9881
ENSG00000171612,SLC25A33,22,-0.1448,12,-1.0762,9,-1.4100,15,-0.8932,88,2.22051,41,0.84822,17,-0.4852
ENSG00000188807,TMEM201,9,-0.0166,12,0.41396,10,0.06071,6,-0.7145,9,-0.1170,17,0.90285,13,0.55957
ENSG00000171608,PIK3CD,16,0.44958,18,0.54385,9,-0.5093,13,0.09561,6,-0.9808,4,-1.6557,13,0.04246
ENSG00000171603,CLSTN1,953,0.65055,676,-0.0258,552,-0.3387,747,0.20267,346,-1.0450,333,-1.1057,428,-0.7278
ENSG00000178585,CTNNBIP1,30,0.20621,15,-0.8175,18,-0.5704,24,-0.2618,43,0.75395,32,0.27898,30,0.19168
ENSG00000162441,LZIC,40,-0.6679,38,-0.6579,88,0.65055,67,0.34523,70,0.30078,54,-0.1247,52,-0.1772
ENSG00000130939,UBE4B,46,0.22167,55,0.48963,43,0.08899,40,-0.0056,25,-0.7348,19,-1.1615,46,0.20018
ENSG00000054523,KIF1B,341,-0.5620,415,-0.1825,663,0.55733,588,0.58655,345,-0.4663,246,-0.9803,436,-0.1049
ENSG00000284642,AL139424.2,16,0.44141,16,0.38253,15,0.25740,13,-0.0162,11,-0.2507,3,-2.1464,9,-0.4882
ENSG00000142657,PGD,86,0.71198,64,0.09707,44,-0.4845,53,-0.2854,62,0.03917,38,-0.7145,52,-0.2316
ENSG00000175279,CENPS,16,0.21715,15,0.03442,8,-0.7686,13,-0.2436,6,-1.2948,21,0.62526,23,0.76326
ENSG00000241563,CORT,29,-0.8511,29,-0.7462,40,-0.2573,58,0.46592,27,-0.8705,133,1.69844,15,-1.6927
ENSG00000160049,DFFA,30,-0.7313,31,-0.5727,64,0.54163,49,0.19972,56,0.34593,61,0.47471,40,-0.1848
ENSG00000142655,PEX14,22,0.49834,18,0.04260,7,-1.2396,18,0.15558,18,0.09169,8,-1.1330,13,-0.3687
ENSG00000120948,TARDBP,75,0.14468,82,0.26044,74,0.10833,63,-0.2183,103,0.63214,63,-0.1390,39,-0.8720
ENSG00000271895,AL109811.2,13,0.04169,48,2.29245,5,-1.3118,6,-1.4619,21,0.83594,12,0.01417,8,-0.6736
ENSG00000116649,SRM,64,0.66268,27,-0.7893,27,-0.8238,33,-0.7029,64,0.52191,95,1.16696,27,-0.8184
ENSG00000171824,EXOSC10,25,-0.3107,90,1.83492,39,0.40626,20,-0.8072,43,0.56008,20,-0.5641,19,-0.6425
ENSG00000198793,MTOR,50,0.33536,47,0.17672,30,-0.5136,43,0.04389,45,0.11576,34,-0.3466,26,-0.7241
ENSG00000116661,FBXO2,207,0.57115,97,-0.7098,77,-1.0542,82,-1.2770,391,1.53523,310,1.12958,102,-0.6368
ENSG00000132879,FBXO44,115,0.70046,79,-0.0431,53,-0.6406,70,-0.3349,52,-0.6889,110,0.48612,65,-0.3418
ENSG00000116670,MAD2L2,8,0.03340,8,0.04390,6,-0.3289,3,-1.5685,8,0.08527,25,1.82073,15,0.97879
ENSG00000177000,MTHFR,20,-0.0645,27,0.41055,27,0.42591,19,-0.1208,21,0.01378,28,0.46914,8,-1.3974
ENSG00000011021,CLCN6,74,0.26369,65,0.02949,62,-0.0523,61,-0.1031,57,-0.1714,46,-0.5137,76,0.25680
ENSG00000116685,KIAA2013,31,0.11570,39,0.46727,40,0.49525,27,-0.1204,31,0.10686,23,-0.3604,14,-1.0805
ENSG00000083444,PLOD1,17,0.24185,15,-0.0176,15,0.03374,11,-0.6506,34,1.34250,7,-1.0635,17,0.17376
ENSG00000116688,MFN2,157,0.57247,98,-0.2814,97,-0.2949,118,0.00694,78,-0.6354,99,-0.2643,95,-0.3295
ENSG00000116691,MIIP,9,-0.1569,14,0.53579,23,1.36649,4,-1.4542,26,1.58141,9,-0.0134,5,-0.9365
ENSG00000048707,VPS13D,69,-0.1218,101,0.49460,113,0.68039,76,0.08863,74,0.00372,31,-1.3127,50,-0.5981
ENSG00000162496,DHRS3,12,0.02304,9,-0.4833,10,-0.2767,1,-3.6190,62,2.87861,28,1.31173,7,-0.7903
ENSG00000116731,PRDM2,162,-0.9418,301,0.12927,453,0.78573,369,0.74528,138,-1.0648,163,-0.8141,218,-0.3700
ENSG00000189337,KAZN,66,-0.0047,58,-0.2119,61,-0.1360,70,0.11891,68,0.04421,46,-0.5510,82,0.33229
ENSG00000142634,EFHD2,67,-0.7440,124,0.29655,96,-0.1024,151,1.06465,58,-0.8710,15,-2.8779,82,-0.3383
ENSG00000116138,DNAJC16,41,0.09585,41,0.07699,48,0.32582,44,0.27804,27,-0.5521,17,-1.2784,32,-0.2915
ENSG00000197312,DDI2,32,-0.5924,59,0.43323,51,0.20034,59,0.67736,25,-0.8738,23,-1.0027,36,-0.3286
ENSG00000116786,PLEKHM2,72,-0.4950,57,-0.7682,93,-0.0296,87,-0.1850,104,0.14938,163,0.87370,161,0.84952
ENSG00000065526,SPEN,88,-1.3849,189,-0.0672,404,1.16193,258,0.68988,244,0.33638,73,-1.4971,103,-0.9924
ENSG00000116809,ZBTB17,20,0.25307,11,-0.7538,33,0.95500,14,-0.4738,28,0.71606,13,-0.4336,14,-0.3445
ENSG00000185519,FAM131C,11,0.24083,5,-0.9700,11,0.16232,8,-0.2959,9,-0.0124,12,0.41513,12,0.39081
ENSG00000037637,FBXO42,20,0.29134,32,1.01742,11,-0.6809,19,0.20479,10,-0.7383,8,-1.0846,7,-1.2608
ENSG00000055070,SZRD1,12,-0.8641,18,-0.2413,36,0.87186,15,-0.6392,51,1.46163,36,0.87256,15,-0.5199
ENSG00000219481,NBPF1,8,-0.5926,19,0.80975,18,0.74211,9,-0.4860,23,1.13895,8,-0.5462,10,-0.2220
ENSG00000159363,ATP13A2,168,1.02910,95,-0.0981,49,-1.1020,81,-0.4869,67,-0.6351,97,-0.0753,103,0.02229
ENSG00000117118,SDHB,83,0.84378,34,-0.7313,44,-0.3117,45,-0.4266,49,-0.1688,59,0.13247,49,-0.1650
ENSG00000117115,PADI2,11,-1.8564,10,-1.8009,82,1.41874,16,-1.4401,161,2.74519,40,0.23607,37,0.11721
ENSG00000179051,RCC2,33,0.66597,17,-0.4863,12,-0.9791,19,-0.3974,21,-0.1321,23,-0.0133,34,0.59888
ENSG00000074964,ARHGEF10L,14,0.24340,6,-0.9047,19,0.72688,6,-1.3161,24,1.07030,15,0.36397,20,0.81266
ENSG00000117154,IGSF21,71,0.86001,66,0.56272,54,0.24512,31,-0.8506,26,-0.8983,41,-0.1932,48,0.05856
ENSG00000159423,ALDH4A1,10,-0.4886,4,-1.7952,13,-0.0063,6,-1.5028,48,2.13710,34,1.49293,15,0.15444
ENSG00000127481,UBR4,35,-0.7124,89,0.86025,68,0.42219,63,0.46180,46,-0.2037,22,-1.3029,34,-0.6431
ENSG00000127463,EMC1,34,0.04253,51,0.70692,30,-0.1513,30,-0.2231,43,0.43361,30,-0.1269,23,-0.5562
ENSG00000053372,MRTO4,46,0.20491,40,-0.0531,28,-0.5954,39,-0.1732,46,0.13564,51,0.30633,45,0.11057
ENSG00000053371,AKR7A2,19,-0.0282,16,-0.2828,22,0.15379,14,-0.7126,42,1.20656,36,0.97258,11,-0.7956
ENSG00000077549,CAPZB,201,0.46799,174,0.15021,119,-0.4449,152,-0.0949,134,-0.2575,176,0.16900,91,-0.8424
ENSG00000173436,MICOS10,291,0.09713,176,-0.6904,190,-0.5803,232,-0.3867,192,-0.5628,495,0.93743,506,0.97461
ENSG00000158747,NBL1,137,0.36274,128,0.17924,57,-1.0554,107,-0.1329,85,-0.4502,157,0.50754,104,-0.1382
ENSG00000169914,OTUD3,20,-0.6572,64,1.27453,50,0.86869,26,-0.2684,18,-0.7191,23,-0.3545,34,0.23534
ENSG00000162545,CAMK2N1,1310,-0.4899,835,-1.1009,1752,0.03165,1274,-0.6461,2528,0.61564,5136,1.84177,1774,0.05074
ENSG00000090432,MUL1,17,0.17504,19,0.30355,13,-0.2586,14,-0.1660,19,0.36438,8,-1.0122,19,0.32121
ENSG00000183114,FAM43B,10,-0.5185,9,-0.5583,13,-0.0252,18,0.90351,8,-0.6666,5,-1.4021,13,0.02494
ENSG00000158828,PINK1,522,0.47409,347,-0.2552,231,-0.8787,404,-0.0343,287,-0.5454,363,-0.1891,512,0.35182
ENSG00000244038,DDOST,34,0.73639,22,-0.0780,11,-1.1095,18,-0.6040,47,1.10292,25,0.07563,10,-1.3116
ENSG00000117245,KIF17,26,-0.0028,21,-0.3041,9,-1.5949,40,1.21581,6,-2.1756,3,-2.8577,20,-0.4389
ENSG00000189410,SH2D5,60,0.84169,43,0.13404,17,-1.2342,27,-0.8099,31,-0.3642,61,0.68144,47,0.26205
ENSG00000127483,HP1BP3,190,-0.8084,265,-0.1937,482,0.76021,366,0.50074,293,-0.0353,219,-0.4874,240,-0.3457
ENSG00000075151,EIF4G3,342,-0.1113,434,0.28128,439,0.30178,465,0.64037,147,-1.3702,141,-1.4283,202,-0.8982
ENSG00000117298,ECE1,12,-0.5515,21,0.31584,25,0.57985,9,-1.1954,66,2.31898,15,-0.1831,11,-0.6975
ENSG00000076864,RAP1GAP,132,0.61074,168,0.88251,66,-0.5953,87,-0.2393,56,-0.8366,52,-0.9355,85,-0.1947
ENSG00000090686,USP48,66,-0.4761,120,0.51243,149,0.86690,104,0.46160,56,-0.6617,32,-1.5099,49,-0.8773
ENSG00000070831,CDC42,229,0.67612,186,0.20200,135,-0.2878,147,-0.2397,128,-0.3727,99,-0.7575,151,-0.1237
ENSG00000184677,ZBTB40,6,-1.0295,13,0.21646,24,1.23967,11,0.10168,22,1.09364,7,-0.6672,2,-2.2783
ENSG00000173372,C1QA,5,-1.4955,3,-2.0815,8,-0.6710,4,-2.0398,54,2.57559,57,2.70624,3,-2.1290
ENSG00000173369,C1QB,4,-1.7775,2,-2.8902,18,0.44588,5,-1.7772,50,2.19726,56,2.44368,11,-0.2896
ENSG00000133216,EPHB2,11,-0.3504,20,0.59677,20,0.60168,16,0.33764,7,-1.0506,11,-0.4000,8,-0.7900
ENSG00000004487,KDM1A,80,0.45735,61,-0.0451,69,0.12821,67,0.14941,50,-0.3693,34,-0.9482,31,-1.0514
ENSG00000169641,LUZP1,254,0.25228,220,-0.0177,199,-0.1760,276,0.54343,58,-2.0115,86,-1.4451,189,-0.2528
ENSG00000125944,HNRNPR,113,-0.4551,127,-0.2162,185,0.37060,176,0.46592,99,-0.6009,151,0.05035,116,-0.3480
ENSG00000125945,ZNF436,8,-0.1775,9,0.02019,11,0.28353,9,-0.0595,4,-1.2694,17,0.94724,9,-0.0689
ENSG00000142676,RPL11,296,-0.1510,153,-1.1338,254,-0.3618,243,-0.6060,531,0.80246,651,1.14466,486,0.65835
ENSG00000011007,ELOA,21,-0.6213,30,0.01870,35,0.24536,36,0.45491,43,0.57309,20,-0.5822,17,-0.8351
ENSG00000057757,PITHD1,199,0.76337,130,-0.0656,92,-0.6038,127,-0.1471,64,-1.1339,90,-0.6352,156,0.22172
ENSG00000011009,LYPLA2,28,0.67950,15,-0.4310,16,-0.3009,19,-0.0877,14,-0.4795,15,-0.4125,17,-0.1859
ENSG00000117308,GALE,20,1.47651,8,-0.3515,10,-0.0505,5,-1.4092,9,-0.2179,13,0.36741,7,-0.5229
ENSG00000117305,HMGCL,15,0.71548,9,-0.2046,4,-1.3364,4,-1.6543,33,1.86274,15,0.54165,9,-0.2816
ENSG00000179163,FUCA1,16,1.28689,10,0.21705,17,1.03379,3,-1.6733,7,-0.3004,4,-0.9411,8,-0.0502
ENSG00000189266,PNRC2,35,-0.5259,49,0.05199,86,0.94576,43,-0.2419,55,0.24389,77,0.76063,31,-0.6496
ENSG00000188529,SRSF10,62,-0.0978,92,0.55570,105,0.76221,59,-0.2280,70,0.10646,52,-0.3476,47,-0.4805
ENSG00000001460,STPG1,10,0.29083,14,0.68163,15,0.77837,8,-0.3053,4,-1.0370,4,-1.2716,9,0.06689
ENSG00000001461,NIPAL3,124,-0.3682,140,-0.1262,242,0.73875,193,0.60382,103,-0.5945,48,-1.7420,108,-0.5275
ENSG00000133226,SRRM1,138,-0.9461,288,0.30545,403,0.85053,286,0.47375,213,-0.1693,146,-0.7430,185,-0.3796
ENSG00000169504,CLIC4,8,-1.6646,5,-2.0449,54,1.48769,12,-1.1186,98,2.63713,16,-0.5045,24,0.13682
ENSG00000117614,SYF2,81,-0.8691,104,-0.3826,178,0.45742,161,0.47316,146,0.14236,148,0.16233,108,-0.3319
ENSG00000117616,RSRP1,41,-0.3533,227,2.68949,78,0.72401,18,-1.9277,74,0.62592,18,-1.4741,35,-0.5166
ENSG00000183726,TMEM50A,69,0.60582,55,0.13796,60,0.26674,34,-0.8382,64,0.35215,57,0.18750,46,-0.1558
ENSG00000204178,MACO1,57,-0.5940,100,0.35274,123,0.68413,98,0.52088,60,-0.4364,38,-1.1259,54,-0.5927
ENSG00000117643,MAN1C1,60,1.17260,36,0.10631,28,-0.3219,22,-0.8720,21,-0.7187,48,0.52870,18,-0.9383
ENSG00000162430,SELENON,17,-0.0275,21,0.29804,20,0.23352,8,-1.5150,56,1.98600,23,0.46818,13,-0.3990
ENSG00000117640,MTFR1L,72,0.39874,55,-0.0821,50,-0.2290,47,-0.4650,58,-0.0216,81,0.52320,63,0.11449
ENSG00000117632,STMN1,1431,0.31039,1141,-0.1015,643,-0.9752,1511,0.54734,436,-1.5550,622,-1.0258,1138,-0.1060
ENSG00000158008,EXTL1,32,-0.0958,52,0.66909,35,0.05315,32,-0.1733,19,-0.8986,35,0.02946,47,0.51575
ENSG00000175087,PDIK1L,19,0.30821,15,-0.0806,19,0.27200,18,0.31226,12,-0.4593,1,-3.1264,12,-0.3557
ENSG00000142684,ZNF593,60,0.42160,39,-0.3440,32,-0.6288,47,-0.0731,33,-0.5751,65,0.46323,45,-0.1050
ENSG00000142669,SH3BGRL3,160,0.54427,89,-0.4823,82,-0.6080,108,-0.2636,156,0.39933,130,0.10335,101,-0.2859
ENSG00000158062,UBXN11,15,-0.0273,16,0.05623,22,0.57438,9,-1.0578,13,-0.2498,38,1.46975,20,0.39136
ENSG00000117682,DHDDS,19,0.10910,33,0.99418,15,-0.2093,14,-0.4972,24,0.50220,12,-0.5181,18,0.03126
ENSG00000198830,HMGN2,73,-0.6145,68,-0.6317,158,0.68621,80,-0.5506,234,1.34842,170,0.80860,87,-0.2521
ENSG00000117713,ARID1A,56,-0.6229,91,0.21187,128,0.75805,74,-0.1448,118,0.62423,85,0.10894,70,-0.1920
ENSG00000204160,ZDHHC18,19,0.39236,20,0.42942,18,0.25399,15,-0.1240,6,-1.3470,3,-2.0896,22,0.58021
ENSG00000142751,GPN2,16,-0.1180,12,-0.5256,25,0.57518,18,0.08258,34,1.04035,10,-0.8595,6,-1.4401
ENSG00000198746,GPATCH3,14,0.49211,8,-0.3716,17,0.72822,8,-0.4705,7,-0.5309,12,0.20949,9,-0.1874
ENSG00000090273,NUDC,251,0.20059,166,-0.4804,197,-0.2161,217,-0.1002,198,-0.2058,280,0.33431,264,0.23943
ENSG00000253368,TRNP1,66,0.77322,30,-0.5969,24,-0.9713,41,-0.1947,16,-1.5339,54,0.28413,55,0.32913
ENSG00000090020,SLC9A1,32,0.96705,20,0.01986,8,-1.3428,19,-0.0825,5,-2.0627,9,-1.1731,25,0.32058
ENSG00000142784,WDTC1,26,0.26671,18,-0.3657,24,0.11862,17,-0.5964,28,0.36607,34,0.64909,25,0.17600
ENSG00000186501,TMEM222,42,0.29707,33,-0.0935,20,-0.8759,30,-0.3968,50,0.51852,44,0.34842,42,0.25300
ENSG00000158195,WASF2,14,-1.8730,14,-1.6540,122,1.76866,30,-0.7397,138,1.99499,52,0.31340,34,-0.3388
ENSG00000126705,AHDC1,33,-0.3883,56,0.50506,45,0.17309,45,0.26722,41,0.00577,31,-0.4108,30,-0.4788
ENSG00000126709,IFI6,172,0.65852,150,0.30836,58,-1.1578,97,-0.5242,242,1.08860,72,-0.8319,82,-0.6357
ENSG00000009780,FAM76A,19,-0.4911,53,1.23038,37,0.65291,23,-0.1690,27,0.13323,21,-0.2219,12,-1.1172
ENSG00000117758,STX12,112,0.28487,96,-0.0028,73,-0.4344,106,0.22490,80,-0.2869,76,-0.3656,63,-0.6426
ENSG00000117751,PPP1R8,20,0.20334,20,0.15757,15,-0.2980,13,-0.7287,29,0.74495,30,0.79939,17,-0.1100
ENSG00000117748,RPA2,55,0.55300,27,-0.6824,25,-0.7982,43,0.08522,47,0.17327,28,-0.6140,34,-0.3081
ENSG00000158161,EYA3,10,0.36857,18,1.22661,10,0.25608,5,-0.8638,10,0.22936,5,-0.6383,8,-0.1103
ENSG00000126698,DNAJC8,203,-0.4986,204,-0.4238,288,0.11030,341,0.61639,185,-0.5720,254,-0.0867,239,-0.1762
ENSG00000130770,ATP5IF1,573,0.71343,305,-0.4199,233,-0.8294,365,-0.2104,170,-1.3054,569,0.55712,387,-0.0540
ENSG00000204138,PHACTR4,16,-1.0028,19,-0.6003,82,1.77095,27,-0.0490,38,0.49283,23,-0.3221,19,-0.5971
ENSG00000180098,TRNAU1AP,12,0.05974,28,1.42305,16,0.46117,7,-0.9604,8,-0.5800,15,0.36096,13,0.13154
ENSG00000120656,TAF12,14,0.51960,14,0.42500,13,0.26240,6,-1.0711,14,0.46301,14,0.37982,11,0.01474
ENSG00000162419,GMEB1,12,-0.2623,13,-0.0532,21,0.71496,13,-0.0081,16,0.27460,16,0.28481,6,-1.0677
ENSG00000198492,YTHDF2,115,0.16458,110,0.06111,82,-0.3840,127,0.47362,65,-0.7463,54,-1.0269,78,-0.4603
ENSG00000116329,OPRD1,19,0.71015,21,0.76956,9,-0.5531,13,-0.0415,2,-2.4635,7,-0.8339,9,-0.5101
ENSG00000159023,EPB41,18,-0.6416,56,1.22932,33,0.34113,28,0.14977,18,-0.5907,2,-3.6397,38,0.58702
ENSG00000116350,SRSF4,59,-0.6771,109,0.37101,124,0.57906,101,0.38325,90,0.06646,50,-0.8120,66,-0.4011
ENSG00000116353,MECR,37,0.57490,34,0.32943,21,-0.4395,25,-0.2430,21,-0.4252,22,-0.3458,26,-0.0835
ENSG00000060656,PTPRU,10,-0.5183,24,0.89659,26,1.02413,14,0.06879,8,-0.8257,5,-1.2933,13,-0.0635
ENSG00000162511,LAPTM5,8,-1.7310,3,-2.8714,26,0.09028,11,-1.5747,89,2.21358,101,2.45495,18,-0.4219
