gene,ensembl,spd,rank,label,anno_lab
AL033539.2,ENSG00000286954,spd05,2,L5,L5 (spd05) 
PKD2L1,ENSG00000107593,spd05,1,L5,L5 (spd05) 
LAMP5,ENSG00000125869,spd06,20,L2/3,L2/3 (spd06) 
DCLK3,ENSG00000163673,spd06,19,L2/3,L2/3 (spd06) 
CALB1,ENSG00000104327,spd06,18,L2/3,L2/3 (spd06) 
LINC02552,ENSG00000256422,spd06,17,L2/3,L2/3 (spd06) 
LTK,ENSG00000062524,spd06,16,L2/3,L2/3 (spd06) 
PENK,ENSG00000181195,spd06,15,L2/3,L2/3 (spd06) 
LINC00390,ENSG00000226519,spd06,14,L2/3,L2/3 (spd06) 
LINC02714,ENSG00000251226,spd06,13,L2/3,L2/3 (spd06) 
C1QL2,ENSG00000144119,spd06,12,L2/3,L2/3 (spd06) 
AC103681.2,ENSG00000254664,spd06,11,L2/3,L2/3 (spd06) 
LINC00507,ENSG00000256193,spd06,10,L2/3,L2/3 (spd06) 
CNGB1,ENSG00000070729,spd06,9,L2/3,L2/3 (spd06) 
PCDH8,ENSG00000136099,spd06,8,L2/3,L2/3 (spd06) 
CALB2,ENSG00000172137,spd06,7,L2/3,L2/3 (spd06) 
AC092661.1,ENSG00000286269,spd06,6,L2/3,L2/3 (spd06) 
CUX2,ENSG00000111249,spd06,5,L2/3,L2/3 (spd06) 
NEUROD1,ENSG00000162992,spd06,4,L2/3,L2/3 (spd06) 
FREM3,ENSG00000183090,spd06,3,L2/3,L2/3 (spd06) 
CARTPT,ENSG00000164326,spd06,2,L2/3,L2/3 (spd06) 
AC027251.1,ENSG00000286934,spd06,1,L2/3,L2/3 (spd06) 
CXCL14,ENSG00000145824,spd07,20,L1,L1 (spd07) 
OGN,ENSG00000106809,spd07,19,L1,L1 (spd07) 
MSX1,ENSG00000163132,spd07,18,L1,L1 (spd07) 
TPM2,ENSG00000198467,spd07,17,L1,L1 (spd07) 
LINC01411,ENSG00000249306,spd07,16,L1,L1 (spd07) 
TBX18,ENSG00000112837,spd07,15,L1,L1 (spd07) 
LMOD1,ENSG00000163431,spd07,14,L1,L1 (spd07) 
MGP,ENSG00000111341,spd07,13,L1,L1 (spd07) 
APLNR,ENSG00000134817,spd07,12,L1,L1 (spd07) 
NDNF,ENSG00000173376,spd07,11,L1,L1 (spd07) 
AL031056.1,ENSG00000228408,spd07,10,L1,L1 (spd07) 
CRIP1,ENSG00000213145,spd07,9,L1,L1 (spd07) 
TAGLN,ENSG00000149591,spd07,8,L1,L1 (spd07) 
MYL9,ENSG00000101335,spd07,7,L1,L1 (spd07) 
S100A4,ENSG00000196154,spd07,6,L1,L1 (spd07) 
MSX2,ENSG00000120149,spd07,5,L1,L1 (spd07) 
RELN,ENSG00000189056,spd07,4,L1,L1 (spd07) 
MT1H,ENSG00000205358,spd07,3,L1,L1 (spd07) 
ACTA2,ENSG00000107796,spd07,2,L1,L1 (spd07) 
MYH11,ENSG00000133392,spd07,1,L1,L1 (spd07) 
