gene,ensembl,t_stat_spd01-spd04,p_value_spd01-spd04,fdr_spd01-spd04,logFC_spd01-spd04
STMN2,ENSG00000104435,30.90042765964525,9.622206648810038e-111,4.075441888800542e-108,1.4727582098607037
ENC1,ENSG00000171617,30.81947927894439,2.0816203665716155e-110,8.557296430462197e-108,1.6497925155177526
SYNGR3,ENSG00000127561,30.769504510727206,3.3532520983632283e-110,1.3390972736806526e-107,1.3632737601920297
THY1,ENSG00000154096,30.757207112753886,3.770845883289786e-110,1.4640309141872593e-107,1.428461536044753
DLGAP1,ENSG00000170579,30.57896016834788,2.0708256042069071e-109,7.822683640540525e-107,1.39444080440044
SYT13,ENSG00000019505,30.483130478087364,5.182022828614991e-109,1.9060298177776774e-106,1.518869680462923
FRRS1L,ENSG00000260230,30.386116460113023,1.312974151763202e-108,4.705497363895968e-106,1.2087930346169395
GABRB3,ENSG00000166206,30.23908849525687,5.383646096160988e-108,1.8811805371510535e-105,1.4338252316789761
RUNDC3A,ENSG00000108309,30.209658303844176,7.142905731473476e-108,2.435033985580604e-105,1.1485769231351544
FBXL16,ENSG00000127585,29.887334253061564,1.590906286224557e-106,5.294308848228722e-104,1.3236734253497175
CAMKV,ENSG00000164076,29.72938386099912,7.311460340904642e-106,2.3765646787168415e-103,1.4782584764763556
OLFM1,ENSG00000130558,29.652811695841972,1.533043715967448e-105,4.869852731381142e-103,1.0887644655774515
PHYHIP,ENSG00000168490,29.636737681978875,1.7909825135218677e-105,5.5627916869989215e-103,1.448432399587058
HK1,ENSG00000156515,29.554643828227434,3.964768858358631e-105,1.2046863985495343e-102,1.159095156880941
MAL2,ENSG00000147676,29.52871536167046,5.0967312412018665e-105,1.5156811182612446e-102,1.8326335544623342
GABRG2,ENSG00000113327,29.4803018305646,8.147848153980673e-105,2.372551534337247e-102,1.484677484764367
NCDN,ENSG00000020129,29.46729365197555,9.242901521192237e-105,2.636490501259263e-102,1.2812810489970037
SEPTIN3,ENSG00000100167,29.395116103750272,1.8613695511663188e-104,5.203272443330328e-102,1.0439980019820156
RGS4,ENSG00000117152,29.310598257110744,4.22826083202351e-104,1.1587921891998549e-101,1.540376706937888
SNCB,ENSG00000074317,29.17863771241074,1.5247881888348765e-103,4.0984547144894367e-101,1.361223505003136
ATP2B2,ENSG00000157087,29.05207314144435,5.227281541361148e-103,1.3785229076151844e-100,1.4657920631717056
IDS,ENSG00000010404,29.016157102808933,7.417483373344853e-103,1.8850775320728757e-100,1.0049359123682269
SYN2,ENSG00000157152,29.01615205605479,7.41784819804022e-103,1.8850775320728757e-100,1.5777325089269416
KIAA0513,ENSG00000135709,29.007199443710537,8.094147747376456e-103,2.0202125547335843e-100,1.1650268293475916
LY6H,ENSG00000176956,28.991737196106268,9.410796381094168e-103,2.3076263336588276e-100,1.4387896435575644
PTPRN,ENSG00000054356,28.89659198115381,2.38040968005117e-102,5.736376913461242e-100,1.4485609737266891
HLF,ENSG00000108924,28.849189070064632,3.781012269216889e-102,8.957153980821094e-100,1.2462457719495834
TMEM59L,ENSG00000105696,28.845616726977422,3.915225515354058e-102,9.120517838017279e-100,1.3179697547161977
KCNAB2,ENSG00000069424,28.81608805879769,5.223937461456679e-102,1.1969667852259017e-99,1.3193178593796784
PPP3CB,ENSG00000107758,28.798900628856615,6.17895408519437e-102,1.3929555040122858e-99,1.085515252087811
SCN3B,ENSG00000166257,28.789198800114793,6.7933006876075825e-102,1.5071422811220822e-99,1.4392829234412758
CDK5R1,ENSG00000176749,28.68421270950688,1.895986250369008e-101,4.140656222094941e-99,1.363709612399398
SYT1,ENSG00000067715,28.607446982855105,4.0188548162029124e-101,8.64177442554894e-99,1.3097817188978524
ENO2,ENSG00000111674,28.55071662410716,7.00479240385545e-101,1.483423991343752e-98,1.0971458569695054
PRKAR1B,ENSG00000188191,28.524346999513472,9.069968448434098e-101,1.8921037164740803e-98,1.2585642417593466
SULT4A1,ENSG00000130540,28.337676618738097,5.660808051245784e-100,1.163545796062681e-97,1.446499537037604
ELMOD1,ENSG00000110675,28.332716217152118,5.94338025404309e-100,1.203922113199424e-97,1.5834975919759335
NEFL,ENSG00000277586,28.231637362992334,1.604588461399958e-99,3.203904703569602e-97,1.4220525625511655
DIRAS2,ENSG00000165023,28.20376226546363,2.1105594803569502e-99,4.154829557316774e-97,1.5106206426508306
EPHB6,ENSG00000106123,28.19073227180632,2.3991169383604042e-99,4.657285756592135e-97,1.3840726161252261
CREG2,ENSG00000175874,28.17911254799783,2.6896038159657813e-99,5.149670210377222e-97,1.2865993759114156
STX1A,ENSG00000106089,28.154985649463754,3.41014656725539e-99,6.441029536557918e-97,1.4054578045652448
TESPA1,ENSG00000135426,28.105923281484216,5.526881221706786e-99,1.0299895844772767e-96,2.1209806384138137
NAP1L2,ENSG00000186462,28.023441622825818,1.2453198693162071e-98,2.2902415543990298e-96,1.222870522967729
KIF3C,ENSG00000084731,27.968027646348112,2.1502041132625984e-98,3.903039336502771e-96,1.250187354975143
TSPAN7,ENSG00000156298,27.96017449452087,2.3233056977523972e-98,4.163185094549391e-96,1.1347315768778294
SYT7,ENSG00000011347,27.944386292512952,2.714681599339544e-98,4.802924647337823e-96,1.3257042696876997
SV2B,ENSG00000185518,27.868386497542147,5.745725013506986e-98,1.0038499814223393e-95,1.5418091275874204
LMO3,ENSG00000048540,27.765670105666285,1.5843683407343318e-97,2.7339155924004633e-95,1.2373419767363627
MRTFB,ENSG00000186260,27.760962899233476,1.6597970535466917e-97,2.829144319197818e-95,1.3425362556759532
YWHAG,ENSG00000170027,27.724914098672475,2.3701460060624775e-97,3.9912687622572593e-95,1.0326831068013202
SNAP91,ENSG00000065609,27.683947719910474,3.553630024696947e-97,5.91298653037967e-95,1.2746660486010235
GUCY1B1,ENSG00000061918,27.636520940479024,5.680705834340328e-97,9.341085346655854e-95,1.0611874752893788
STX1B,ENSG00000099365,27.568765908522803,1.110785856073758e-96,1.805285338411967e-94,1.153295157934033
LONRF2,ENSG00000170500,27.533429086701002,1.5761513952286702e-96,2.532168741507026e-94,1.0180516950503975
PACSIN1,ENSG00000124507,27.439880688582175,3.982669167817807e-96,6.291858722021788e-94,1.2802722884477822
JPH4,ENSG00000092051,27.439281273183767,4.006406426700573e-96,6.291858722021788e-94,1.1334037791956213
SYT16,ENSG00000139973,27.42790090289856,4.484933231509765e-96,6.965101308534665e-94,1.440034726075024
ARHGEF9,ENSG00000131089,27.38247120270659,7.037550249032127e-96,1.0809213168211213e-93,0.9593033474366459
NELL2,ENSG00000184613,27.326206671224885,1.2299237458647446e-95,1.868548282168645e-93,1.6522528132801702
HPCA,ENSG00000121905,27.201863348566768,4.228555176543206e-95,6.355109215327354e-93,1.556248247645665
PDXP,ENSG00000241360,27.18671876829358,4.915401743406402e-95,7.308784060382051e-93,1.2063518260217903
UNC13A,ENSG00000130477,27.11472624319216,1.0056076229855453e-94,1.4795134469967335e-92,1.2655940507231263
ATP6V1B2,ENSG00000147416,27.101379024666375,1.1483848708089173e-94,1.671976597843358e-92,1.1261677239908634
ELAVL4,ENSG00000162374,27.07184497233198,1.5406336590573947e-94,2.2199419229531142e-92,1.326330629960812
RBFOX3,ENSG00000167281,27.058050757091987,1.767318397100553e-94,2.5205927792116764e-92,1.268619940657148
GABRB2,ENSG00000145864,27.050420756722886,1.9067484441319035e-94,2.691982121578951e-92,1.3778794392355005
SYBU,ENSG00000147642,27.04584595968251,1.995574345408971e-94,2.789214262578119e-92,1.3403963350122892
GNB5,ENSG00000069966,27.030627428060566,2.3219683435501495e-94,3.213282330475291e-92,1.1299042338581815
AMPH,ENSG00000078053,26.872377222781903,1.1234204053041977e-93,1.539416373033017e-91,1.2820106928425652
ATRNL1,ENSG00000107518,26.817681870986615,1.9383569372841833e-93,2.6303315448952456e-91,1.5486307661400875
PDP1,ENSG00000164951,26.809408963036983,2.1051136802932147e-93,2.82915133744791e-91,1.4917416258672143
KCNH3,ENSG00000135519,26.746124941626206,3.958621810919509e-93,5.269491147735427e-91,1.4422009849438506
CAMK1D,ENSG00000183049,26.729876656489214,4.655752852157171e-93,6.139005435339696e-91,1.090076267061134
ARL6IP1,ENSG00000170540,26.716126278426415,5.340900818743613e-93,6.976614088184999e-91,0.6074144485560309
RTN1,ENSG00000139970,26.69986583541292,6.2825136330139515e-93,8.130619726725556e-91,1.2448579294473987
RAB3A,ENSG00000105649,26.672929431098026,8.221980737334578e-93,1.054299309777297e-90,1.379198172243191
FGF13,ENSG00000129682,26.581628168047274,2.0475782386398854e-92,2.6017273674063343e-90,1.3158563426297043
PTK2B,ENSG00000120899,26.531544320876897,3.378774353404275e-92,4.254516138516356e-90,1.3772994529677067
CALY,ENSG00000130643,26.500750504406412,4.5978044362078135e-92,5.737813625435412e-90,1.3963321734394354
SLC12A5,ENSG00000124140,26.39313157924015,1.3503005143102483e-91,1.6701902910189682e-89,1.3455168555286487
NCALD,ENSG00000104490,26.360333261932954,1.8754968315502279e-91,2.2994578258401348e-89,1.260404921442877
GPI,ENSG00000105220,26.219318609588914,7.710424854414534e-91,9.371183320882777e-89,0.864993527547357
CALM3,ENSG00000160014,26.19853497705557,9.498059656699785e-91,1.1444343088076974e-88,0.8976689937030446
CADM3,ENSG00000162706,26.114341451495537,2.211311677718938e-90,2.6416669503827003e-88,1.1722854057728611
SLC4A10,ENSG00000144290,26.102889152626016,2.480813886357392e-90,2.9385030245438363e-88,1.3587216482648037
BSCL2,ENSG00000168000,26.058321981031362,3.8815340972889934e-90,4.559008577967081e-88,1.1151066079056111
CPLX1,ENSG00000168993,26.05367927870657,4.066868102649647e-90,4.7368846225611764e-88,1.4430906694088712
CAMKK2,ENSG00000110931,26.04882435052219,4.270154964444838e-90,4.932558341987231e-88,1.1352454051459624
ARHGAP44,ENSG00000006740,25.994470186605433,7.373440881888614e-90,8.447424852963702e-88,1.2694862053430174
EEF1A2,ENSG00000101210,25.97409845563548,9.049223749092112e-90,1.0283008157809792e-87,1.3077949893075314
SCAMP5,ENSG00000198794,25.90857930207426,1.7489224949723237e-89,1.9713459445345296e-87,1.0796625292480453
SH3GL2,ENSG00000107295,25.894897384341323,2.007003241787223e-89,2.2441507448368014e-87,1.6232070736717388
NPTX1,ENSG00000171246,25.844741979693666,3.324625448281103e-89,3.687959515128967e-87,1.4001969173584987
ADD2,ENSG00000075340,25.743266335738248,9.236664996492991e-89,1.0165422571337209e-86,1.283552279103847
PRKCB,ENSG00000166501,25.737998536826932,9.740088698532706e-89,1.0635720292139971e-86,1.2270266224399773
SLC6A17,ENSG00000197106,25.711882521474415,1.2671888182951845e-88,1.3729843498691313e-86,1.3888469933349032
CHGA,ENSG00000100604,25.705466310067234,1.351827563252561e-88,1.4534226039677726e-86,1.3668147875289733
GLS,ENSG00000115419,25.666816814855704,1.9957212843460377e-88,2.1293279688018754e-86,1.1192231869156926
GNG3,ENSG00000162188,25.659245483796884,2.154011661640049e-88,2.280804620813861e-86,1.2943354714695419
DKK3,ENSG00000050165,25.64675764399672,2.443013801474924e-88,2.5673687145274446e-86,1.039293243259614
GRIN2A,ENSG00000183454,25.623380063378118,3.0924308279850843e-88,3.2255899763244416e-86,1.2795510858059442
MAPK10,ENSG00000109339,25.61763136284224,3.2770084346138596e-88,3.392796065970216e-86,0.7668414720537413
ATP1A3,ENSG00000105409,25.550280971657454,6.464618288703314e-88,6.64382131038281e-86,1.3155686654865937
NEGR1,ENSG00000172260,25.439326007285867,1.981549771408954e-87,2.0216146828454706e-85,1.0563039793405231
PI4KA,ENSG00000241973,25.421463864915168,2.3733413634490813e-87,2.403782046154189e-85,1.1969231046658146
THRB,ENSG00000151090,25.39821207062362,3.0017554457766975e-87,3.018383875224525e-85,1.288578671582262
CELF4,ENSG00000101489,25.231835330176917,1.61399807516262e-86,1.6113465068962814e-84,1.2031641158932418
ATP2B1,ENSG00000070961,25.22194915993438,1.783783674317749e-86,1.7682230082226368e-84,1.216432281217676
HPRT1,ENSG00000165704,25.198922775569326,2.2518108729452632e-86,2.2164479275461933e-84,1.5486534944727524
ATCAY,ENSG00000167654,25.19006550305897,2.462976463128551e-86,2.4073441975627805e-84,1.0122917238733633
GDA,ENSG00000119125,25.16898020094039,3.0488968900010027e-86,2.959335543857223e-84,1.49519381655469
SYNPO,ENSG00000171992,25.138845594405872,4.1364640553250685e-86,3.9872660759502403e-84,1.3542750624576092
DDN,ENSG00000181418,25.09639208329093,6.3581284040136436e-86,6.086819226225938e-84,1.4821766441605764
CRMP1,ENSG00000072832,25.086479141734646,7.029637784191418e-86,6.683894374805676e-84,1.0366697429734986
VSTM2L,ENSG00000132821,25.053026875008605,9.865136290707168e-86,9.316554725352303e-84,1.4567832273859818
SCN2B,ENSG00000149575,25.040300652689687,1.1222794980886285e-85,1.0527584258244807e-83,1.0623346386134225
GALNT9,ENSG00000182870,25.023130134020764,1.335560504968737e-85,1.2444752785298693e-83,1.5912989696470325
STMN3,ENSG00000197457,25.01953373569761,1.3851332851577066e-85,1.282119730241673e-83,1.0534585522167177
PRKCG,ENSG00000126583,25.018839777672795,1.3949086706438126e-85,1.2826735848413532e-83,1.7113544701650785
CAMK2A,ENSG00000070808,24.983564675117382,1.994427155308118e-85,1.8106353149453974e-83,1.3564971416902658
ELAVL2,ENSG00000107105,24.98353751611772,1.9949763075165716e-85,1.8106353149453974e-83,1.281164058936513
NSG2,ENSG00000170091,24.957277761330435,2.6034802856189746e-85,2.347667351748155e-83,1.0813322537262726
PGM2L1,ENSG00000165434,24.94276560068356,3.0161887581375997e-85,2.7023891200313606e-83,1.2892118181650618
SSBP4,ENSG00000130511,24.928093915149102,3.500035443192332e-85,3.1159232732165115e-83,1.0879952403560829
NGEF,ENSG00000066248,24.874077993459682,6.053692140921699e-85,5.355218674282442e-83,1.513704535150401
TUBA4A,ENSG00000127824,24.867695882738207,6.458637434788917e-85,5.677507888430484e-83,1.5840972845345975
KCNMA1,ENSG00000156113,24.85073452154671,7.671528710678097e-85,6.701559799321735e-83,1.064117453750022
SVOP,ENSG00000166111,24.84926245250015,7.786980842964364e-85,6.760163431187138e-83,1.5080401233600425
SCN8A,ENSG00000196876,24.840370569321966,8.522281206011969e-85,7.352834840520326e-83,1.3835173514994876
UCHL1,ENSG00000154277,24.788020528099995,1.4498297570191452e-84,1.243206779991202e-82,1.2042885664141352
BCL11A,ENSG00000119866,24.775490173987777,1.6465114855239928e-84,1.4032494532420027e-82,1.2007461458711548
TSPAN13,ENSG00000106537,24.75678698191559,1.990851538679581e-84,1.6864322397651214e-82,1.4346059118834802
NRSN2,ENSG00000125841,24.724496687885775,2.763465469005837e-84,2.326804630138228e-82,1.1149367223572009
NUDT4,ENSG00000173598,24.698600691780413,3.5949428687242043e-84,3.00877344168612e-82,1.0617083042177677
OPCML,ENSG00000183715,24.686847595019476,4.0508574575304753e-84,3.370168731184729e-82,1.2164675258273245
CNTNAP1,ENSG00000108797,24.64892810927705,5.954965168381843e-84,4.9250028496137877e-82,1.2700079625183704
GLRB,ENSG00000109738,24.634434525309665,6.900001973617887e-84,5.673019269721012e-82,1.3387288212767912
CAMK4,ENSG00000152495,24.61795494628635,8.158173728616896e-84,6.668233579232653e-82,1.2837589241535818
MAPK1,ENSG00000100030,24.599205948748136,9.871084757441537e-84,8.021404165974439e-82,0.7557415576533257
DGKZ,ENSG00000149091,24.534154037216005,1.9126653201357433e-83,1.5452787965050453e-81,1.0914450382523437
PHACTR1,ENSG00000112137,24.52702332810491,2.0565387095717585e-83,1.6519679048094522e-81,1.0174101452586406
SNX10,ENSG00000086300,24.464455799603584,3.8866906182804066e-83,3.104244272668871e-81,1.1836914299624874
KCTD16,ENSG00000183775,24.399413874738215,7.53503428739343e-83,5.983930354255567e-81,1.3622186881405973
MPPED1,ENSG00000186732,24.393359048061594,8.01412454355731e-83,6.328441737022628e-81,1.2399694331739912
MEF2C,ENSG00000081189,24.392199891414762,8.109261768329537e-83,6.367592794154041e-81,1.0412226466318701
PAK1,ENSG00000149269,24.215380208389913,4.912156704478513e-82,3.8355985619271605e-80,1.1962031390523835
EHD3,ENSG00000013016,24.205685607570445,5.422387769878538e-82,4.210484103310685e-80,1.2183179345828314
TRIM37,ENSG00000108395,24.196774934902912,5.938009879465018e-82,4.585390280954838e-80,0.8964203332680931
DOK6,ENSG00000206052,24.166397904017323,8.093702619688655e-82,6.181731230349089e-80,1.313471428533961
CDK5R2,ENSG00000171450,24.10614136569555,1.496364117786717e-81,1.1366674605600511e-79,1.3190536429917277
CHRM3,ENSG00000133019,24.100870809359897,1.579017121169322e-81,1.1929687731126279e-79,1.4498371737228064
PSD,ENSG00000059915,24.090276830046175,1.759229909337911e-81,1.3219761528395689e-79,1.2056678417997437
SV2A,ENSG00000159164,24.088388963125187,1.7934405404938668e-81,1.340476921630095e-79,0.8932388554489759
TUBB2A,ENSG00000137267,24.086755176168683,1.823583786660417e-81,1.3557569460719495e-79,1.4096924090918668
NCKAP1,ENSG00000061676,24.073703972499555,2.0833096582833056e-81,1.540657094911416e-79,0.7897757898941737
TAGLN3,ENSG00000144834,24.059482638259745,2.408641876460913e-81,1.7718730266996937e-79,1.3308738603361912
FAM131A,ENSG00000175182,23.993340589863667,4.730871319665235e-81,3.461957509683822e-79,1.1797498944787739
TOLLIP,ENSG00000078902,23.95496711460416,6.999796377903037e-81,5.0956330194766013e-79,1.0240444390614254
KCNQ5,ENSG00000185760,23.941237442333957,8.053256900328275e-81,5.832143611185923e-79,1.4510139583315738
FAM3C,ENSG00000196937,23.9331967563289,8.742417851715881e-81,6.298596614094478e-79,0.9791913466849715
C1orf115,ENSG00000162817,23.906999582649576,1.1424236438080559e-80,8.188541163848819e-79,1.2867578558442814
NDFIP1,ENSG00000131507,23.89815804251856,1.250395808072018e-80,8.916725617052344e-79,0.8464363425026074
LDB2,ENSG00000169744,23.883954179585377,1.4456368353980158e-80,1.0256683273278208e-78,1.4162426036773343
LMO4,ENSG00000143013,23.849580261378737,2.0538711537290614e-80,1.4498463189732875e-78,0.9225819854192832
PRKCE,ENSG00000171132,23.74892113331088,5.74612515963801e-80,4.035858862123642e-78,1.209563742116198
PLCB1,ENSG00000182621,23.74594340636852,5.923749546020786e-80,4.1398123702366267e-78,1.1570189138225784
CEND1,ENSG00000184524,23.728207691846833,7.101517674385412e-80,4.938204603725617e-78,1.014640810124635
YWHAH,ENSG00000128245,23.72619206230475,7.249398950043619e-80,5.016081639839587e-78,1.1902903280890786
GPR162,ENSG00000250510,23.718347311765903,7.854875502907347e-80,5.408255906607684e-78,1.2701747932936778
TMEM271,ENSG00000273238,23.708512746842747,8.685911263134676e-80,5.951126555138891e-78,1.3070370614165943
CNST,ENSG00000162852,23.671032678951615,1.2743564864624185e-79,8.688624688431816e-78,1.0848439242824384
CPLX2,ENSG00000145920,23.66313212916533,1.3816168586786232e-79,9.37420331735491e-78,1.2449397374025386
C1QTNF4,ENSG00000172247,23.645319963097684,1.6577568069155042e-79,1.1193462265825121e-77,1.2708626678223487
AP3B2,ENSG00000103723,23.595054643089814,2.772533415170875e-79,1.8630624780693906e-77,1.163787765814158
CAMK2B,ENSG00000058404,23.578470391022222,3.2853677985931804e-79,2.1971093646381282e-77,1.0973931611659458
KCNJ3,ENSG00000162989,23.562739683298343,3.8592620349063144e-79,2.5686145458040746e-77,1.0662681441652495
GABRA4,ENSG00000109158,23.54803606656028,4.486059738443213e-79,2.971642510152644e-77,1.4261616946355575
KCNC2,ENSG00000166006,23.513898719126157,6.36259587626e-79,4.1948114416267e-77,1.4164078378633045
RFPL1S,ENSG00000225465,23.5068646401159,6.837706215962173e-79,4.486883557770107e-77,1.2611221287709737
DIRAS1,ENSG00000176490,23.32906161045843,4.225697040001651e-78,2.7470961640978175e-76,1.1862589868122164
CCK,ENSG00000187094,23.324909480963857,4.409396025136106e-78,2.853246677931822e-76,1.5320681677943337
CHGB,ENSG00000089199,23.29026458483555,6.289216472036206e-78,4.0508930244078364e-76,1.4023054676650153
JPH3,ENSG00000154118,23.272797079092854,7.52249416802387e-78,4.823022981030717e-76,1.0727122053264626
NRXN1,ENSG00000179915,23.26663676917585,8.012891915491717e-78,5.113981292366563e-76,1.003759576286111
FZD3,ENSG00000104290,23.186233328027644,1.827468511405454e-77,1.1610239719960923e-75,1.042397149078746
INA,ENSG00000148798,23.114680934978928,3.8073273977923685e-77,2.4079192325313996e-75,1.3726694233380652
GAP43,ENSG00000172020,23.09891045012425,4.476044590115194e-77,2.8180934791009037e-75,1.142272893799321
SPINT2,ENSG00000167642,23.060159243411974,6.661863995743051e-77,4.175465160022449e-75,1.0903476634745948
PLD3,ENSG00000105223,23.059080255748626,6.7360443096084475e-77,4.203111219437378e-75,0.9891237456388753
RALYL,ENSG00000184672,23.0319326189481,8.90048370740161e-77,5.52898047903788e-75,1.2709848179816712
FBLL1,ENSG00000188573,23.029687581614745,9.107966725762229e-77,5.632834111768968e-75,1.2334078216295672
PIANP,ENSG00000139200,23.016707779465293,1.0406013551043191e-76,6.407262176340559e-75,1.1952399671953629
BEX5,ENSG00000184515,22.988317951541465,1.392697892017509e-76,8.537604577512598e-75,1.0506365772702946
BMPR2,ENSG00000204217,22.936728335195472,2.3654164727859042e-76,1.4437303947654402e-74,0.9077289394389467
SNCA,ENSG00000145335,22.927090047717016,2.6115204804071286e-76,1.5870096415065407e-74,0.9244438168199585
NEDD4L,ENSG00000049759,22.917753606421574,2.874318825210577e-76,1.7391495333319583e-74,0.9858681970133851
SLITRK4,ENSG00000179542,22.899279642823164,3.474851101487471e-76,2.093448010581482e-74,1.3125309826950957
SPRYD3,ENSG00000167778,22.85975109161762,5.2152301992201213e-76,3.1284666306652203e-74,0.9146777867635869
SYT5,ENSG00000129990,22.82794863641216,7.23049804961218e-76,4.3188321042491214e-74,1.3705716348495098
KCNV1,ENSG00000164794,22.823817056547604,7.544037519779076e-76,4.486936698466048e-74,2.2066361069804206
CDKN2D,ENSG00000129355,22.817948258723362,8.012937460488667e-76,4.745628257849581e-74,0.9546630832329477
PDE2A,ENSG00000186642,22.816206270120553,8.1576494594584e-76,4.8109479533692014e-74,1.1845103448197882
GFOD1,ENSG00000145990,22.749016522184096,1.6271716207183192e-75,9.555873001168046e-74,1.0962792220749842
KCNF1,ENSG00000162975,22.738465048039718,1.8135641684693837e-75,1.0605935724977647e-73,1.2618385513022936
NRN1,ENSG00000124785,22.716325526012504,2.277017162702205e-75,1.3260778701286967e-73,1.3069397781662353
BAIAP2,ENSG00000175866,22.70111271990622,2.662463368739696e-75,1.5441182782105696e-73,1.1808673212890497
RBFOX2,ENSG00000100320,22.662013228194088,3.9798206992628693e-75,2.2985931369255008e-73,0.9006704583449343
PCDH7,ENSG00000169851,22.63972951581807,5.004652214937298e-75,2.878601811036157e-73,0.9804763836656845
EPHA4,ENSG00000116106,22.62604246753531,5.761023736076207e-75,3.3000749491449654e-73,1.3885670382737603
SLC35F1,ENSG00000196376,22.598068104947533,7.681447045890106e-75,4.3821871575675925e-73,1.163134556718739
TPRG1L,ENSG00000158109,22.557310685538557,1.1681710071844256e-74,6.637205759112487e-73,0.9862195993470912
C11orf87,ENSG00000185742,22.520717699343955,1.702133176989747e-74,9.631868588982063e-73,1.7934354926861857
B4GAT1,ENSG00000174684,22.479077937872976,2.6125097996603672e-74,1.4723810270101997e-72,0.8834656438385284
GABARAPL1,ENSG00000139112,22.444033644925362,3.7469253473271905e-74,2.1032439991804074e-72,0.9389766483973361
ITPKA,ENSG00000137825,22.430886589379533,4.289793688935468e-74,2.3983378556100417e-72,1.9120710772684988
CX3CL1,ENSG00000006210,22.374808659068655,7.640347726928881e-74,4.2545474175013935e-72,1.3902900687328135
CSRNP3,ENSG00000178662,22.367723136716936,8.218457696664308e-74,4.558308858185596e-72,0.9836164108395815
GRAMD1B,ENSG00000023171,22.365811636504656,8.381778938007398e-74,4.63051874373634e-72,1.1621566411739233
CTXN1,ENSG00000178531,22.354327758756227,9.43363982646483e-74,5.191101726555077e-72,1.1363198463800295
IQSEC1,ENSG00000144711,22.327387053547632,1.2449067287536587e-73,6.796898963980424e-72,0.7112209873533537
LARGE1,ENSG00000133424,22.314122285402266,1.4270882650137567e-73,7.761250070076762e-72,1.175877222261966
