gene,ensembl,t_stat_spd01-spd04,p_value_spd01-spd04,fdr_spd01-spd04,logFC_spd01-spd04
CYTH1,ENSG00000108669,-16.8676470536638,3.0669319230815467e-49,6.708373628937525e-48,-0.8260184235176702
PKP4,ENSG00000144283,-16.829953398570883,4.494140250371288e-49,9.768988845947044e-48,-0.9343423953836414
ARAP2,ENSG00000047365,-16.789054074043655,6.801747026916552e-49,1.4762114626585815e-47,-0.9048789975887637
APBB2,ENSG00000163697,-16.77620137594221,7.747471512694278e-49,1.6762602063920733e-47,-0.7639583780456594
DIP2B,ENSG00000066084,-16.761878269123397,8.956902908233844e-49,1.9319541967343276e-47,-0.8418425850873605
MYO9B,ENSG00000099331,-16.75370266672276,9.729985295519689e-49,2.092246222699672e-47,-1.1747953426974362
BCAS1,ENSG00000064787,-16.653214595517156,2.6899755159942536e-48,5.731370089489586e-47,-1.1743031373673105
TARSL2,ENSG00000185418,-16.649941457749662,2.7805100563961917e-48,5.915249476141487e-47,-0.853905314290806
SVIP,ENSG00000198168,-16.630933346056317,3.3697660094648956e-48,7.147074281379491e-47,-0.7012594533191825
HMGB1,ENSG00000189403,-16.59209162350297,4.990163022289922e-48,1.0519986208528844e-46,-0.594759824627701
P2RX7,ENSG00000089041,-16.58597823883185,5.3081718955845335e-48,1.1156739636779704e-46,-1.088611332909319
KIF5B,ENSG00000170759,-16.585807470292117,5.3173397812287355e-48,1.1159227946281387e-46,-0.893510817220065
KTN1,ENSG00000126777,-16.58012558762886,5.63156375473736e-48,1.1783288413168276e-46,-0.8222548411834438
ZNF24,ENSG00000172466,-16.562524428412665,6.727587388823495e-48,1.4013634714394336e-46,-0.7092884630363905
TMEM87A,ENSG00000103978,-16.541854368206025,8.289599917717717e-48,1.7190465586044589e-46,-0.7788616468463445
TP53INP2,ENSG00000078804,-16.539641758845733,8.47692446631333e-48,1.752691912213926e-46,-1.015673618488588
SPTLC2,ENSG00000100596,-16.44659967154336,2.1681141685536946e-47,4.430370136531432e-46,-0.8561140263215874
TBC1D12,ENSG00000108239,-16.435105194382984,2.434631958928574e-47,4.967715458386085e-46,-1.0106403598864757
AMER2,ENSG00000165566,-16.399211714438092,3.4963468256204207e-47,7.113309982779712e-46,-0.8823108332940981
REEP3,ENSG00000165476,-16.381557620281285,4.1773047557367797e-47,8.461766459555503e-46,-1.007430360900866
OLMALINC,ENSG00000235823,-16.372258883338237,4.5876947872083915e-47,9.279625186803428e-46,-0.9963009959097304
PREX1,ENSG00000124126,-16.347526704062545,5.885951478011e-47,1.1837114217001402e-45,-0.9792522230690217
EMC2,ENSG00000104412,-16.31717025514141,7.990977616962049e-47,1.6001417500326443e-45,-0.7410978561886106
PARP1,ENSG00000143799,-16.31469064703042,8.193012891223303e-47,1.6335769069989745e-45,-0.6114062954227464
MYO6,ENSG00000196586,-16.31410648914758,8.24134701078926e-47,1.6408733215071435e-45,-0.926488550959748
MPDZ,ENSG00000107186,-16.30576461625624,8.963457524206617e-47,1.7795773553385782e-45,-0.7379355534034717
DLG1,ENSG00000075711,-16.248487575171062,1.5952319031103577e-46,3.1447893243686134e-45,-0.680941348151741
ZCCHC24,ENSG00000165424,-16.238702973220924,1.760235599160065e-46,3.460311247462761e-45,-0.9510289453177929
SESTD1,ENSG00000187231,-16.21144875982208,2.3153047641055704e-46,4.5387117374338794e-45,-0.7601045457942739
ACER3,ENSG00000078124,-16.127711270997292,5.371038040454734e-46,1.0397645248121304e-44,-0.7777101397330535
PDE8A,ENSG00000073417,-16.06222642825306,1.0364344802780359e-45,1.987139194903444e-44,-1.06768645289986
SLCO1A2,ENSG00000084453,-16.046010276966513,1.2195353324320617e-45,2.3317982683177735e-44,-1.3408464208660593
EEF1D,ENSG00000104529,-16.044179322630896,1.2421402934035674e-45,2.371775256953779e-44,-0.6957425705043265
CNTN2,ENSG00000184144,-15.955240572108117,3.0293899254933574e-45,5.721862566029819e-44,-1.0089424023336893
DICER1,ENSG00000100697,-15.948949555561953,3.2264332383040097e-45,6.077608810212284e-44,-0.8026414141004814
PLP1,ENSG00000123560,-15.934264572851502,3.7376257956660016e-45,7.012187348459558e-44,-1.2117603520084117
EPB41L2,ENSG00000079819,-15.909303775128498,4.798783314455027e-45,8.97892829801043e-44,-0.8731823599753712
USP47,ENSG00000170242,-15.875234397349157,6.748466142918968e-45,1.2576441503943787e-43,-0.703783583170825
CCDC88A,ENSG00000115355,-15.860146434657176,7.847945562559117e-45,1.4605956741396642e-43,-0.9011721210951489
SPATA13,ENSG00000182957,-15.82433043409782,1.1227921550640352e-44,2.07857827169934e-43,-1.0734857640975344
PAXBP1,ENSG00000159086,-15.803240258268026,1.3862754715909073e-44,2.5461198773227477e-43,-0.9741338599081644
ST13,ENSG00000100380,-15.793603179341526,1.526415687239307e-44,2.796161475824874e-43,-0.5141402743923713
PLEKHB1,ENSG00000021300,-15.792986491773615,1.5358504191197117e-44,2.8097619513136402e-43,-0.8652655526638391
PAQR6,ENSG00000160781,-15.734744815909838,2.747689176981221e-44,4.9299681163885145e-43,-0.9545676402959398
RNF141,ENSG00000110315,-15.683437556078303,4.58469818240757e-44,8.163098916625556e-43,-0.6288150327977755
WSB1,ENSG00000109046,-15.668209660238627,5.336612372764535e-44,9.477742202557803e-43,-0.7862993343786604
FRMD4B,ENSG00000114541,-15.660574399511377,5.758762384000603e-44,1.0214495157509701e-42,-1.3579328396510064
MAN2A1,ENSG00000112893,-15.655651469043974,6.048463211711825e-44,1.0714749088732089e-42,-1.072179546821184
AC096564.1,ENSG00000245293,-15.586636800862824,1.2030619183315816e-43,2.115119048115788e-42,-1.2395943548478163
NIPAL3,ENSG00000001461,-15.586143906801656,1.2089813469954291e-43,2.1228558149441098e-42,-0.6541772424759351
DBNDD2,ENSG00000244274,-15.579472841238234,1.2920169836044171e-43,2.262972603989842e-42,-1.0813040657582729
PTK2,ENSG00000169398,-15.550745083005317,1.719737720360991e-43,2.9971040046740115e-42,-0.546690639455548
PCDH9,ENSG00000184226,-15.536625052644219,1.979167872149135e-43,3.440650416545828e-42,-0.7125198957968717
HIPK2,ENSG00000064393,-15.53139714081191,2.084834353858571e-43,3.619842206693322e-42,-1.0287213642519921
SCD,ENSG00000099194,-15.521247776714896,2.3063192482793774e-43,3.989532689752582e-42,-0.8783896583995681
ITGB1,ENSG00000150093,-15.480014847771994,3.4751772395983703e-43,5.967144014479905e-42,-0.8041297640889891
PHLPP1,ENSG00000081913,-15.475598812260449,3.6311090021209916e-43,6.227240554925778e-42,-0.8440467481855931
SCARB2,ENSG00000138760,-15.444959814597953,4.923289364763861e-43,8.381585316845856e-42,-0.6372126017825224
STRN,ENSG00000115808,-15.42050377231024,6.276808693182224e-43,1.0646960570947565e-41,-0.7926749153229258
MAGI2-AS3,ENSG00000234456,-15.4183349254135,6.413444315653311e-43,1.0865540751501373e-41,-0.7370052642224687
PSEN1,ENSG00000080815,-15.392332659424659,8.302126527632031e-43,1.4014350540665807e-41,-0.8676280235353291
IWS1,ENSG00000163166,-15.385815183116417,8.856835492683582e-43,1.489674966079885e-41,-0.8538716785430926
MYLK,ENSG00000065534,-15.37538589288561,9.822459088602969e-43,1.6481213767275353e-41,-0.915240357034838
PTPRD,ENSG00000153707,-15.351126522635438,1.2494688679226142e-42,2.07902694844695e-41,-0.6897650077054971
BIN1,ENSG00000136717,-15.337870069641129,1.4249924627167628e-42,2.3654536403078616e-41,-0.7550569552415967
DAAM2,ENSG00000146122,-15.323074179807582,1.6501096629787856e-42,2.732651985717356e-41,-1.0384607803502925
GLDN,ENSG00000186417,-15.29509391966699,2.1773494750657475e-42,3.5845481287389816e-41,-1.3669595221580053
PAK2,ENSG00000180370,-15.290126547199192,2.2871737784081337e-42,3.756501515958929e-41,-0.6780563853224475
PRRG1,ENSG00000130962,-15.271703517167294,2.7450045423928614e-42,4.497881417236228e-41,-1.1488074952595264
AMOTL2,ENSG00000114019,-15.250679576255338,3.380191796869934e-42,5.532194466610195e-41,-0.9505284990145002
DOCK1,ENSG00000150760,-15.24815445582951,3.465743534683079e-42,5.665578641434549e-41,-1.008926585971472
SLF2,ENSG00000119906,-15.20283269245948,5.426752228288544e-42,8.79927098547436e-41,-0.8451372644397077
SEMA4D,ENSG00000187764,-15.156004969264234,8.621434366542714e-42,1.3866719003586596e-40,-0.8936588638703746
ASPA,ENSG00000108381,-15.126722819735678,1.1513345990526838e-41,1.8475549587783423e-40,-1.3380527801515942
LZIC,ENSG00000162441,-15.102585434995646,1.4611640833618647e-41,2.336692264662332e-40,-0.656660666884461
FAM177A1,ENSG00000151327,-15.093284246420984,1.6016519698570976e-41,2.5584330951648745e-40,-0.698135883015361
FAM107B,ENSG00000065809,-15.075889572683256,1.9015613487095018e-41,3.0271210673021308e-40,-1.3064254581211028
PHACTR3,ENSG00000087495,-15.066442963221368,2.0872848505560636e-41,3.3077075233811903e-40,-0.7100083868881546
CNP,ENSG00000173786,-15.038693680756454,2.7442423231691747e-41,4.329150671663155e-40,-1.0458295101880797
SYNJ2,ENSG00000078269,-14.974861902960074,5.146886102334496e-41,8.010916152820629e-40,-0.9087561278253755
EDIL3,ENSG00000164176,-14.956984891156226,6.13725122755424e-41,9.510017783539425e-40,-0.9828564551572985
ZFYVE16,ENSG00000039319,-14.933787462819632,7.710960283242529e-41,1.1922134057398322e-39,-0.8022649630222247
RAP1A,ENSG00000116473,-14.8934192426621,1.1468623640428735e-40,1.7634428231273094e-39,-0.7302902140844711
YBX1,ENSG00000065978,-14.889180717100222,1.1956519053585581e-40,1.8344266389897438e-39,-0.6806643561175028
CDKN1C,ENSG00000129757,-14.888601022115086,1.2024838313532087e-40,1.842885582327171e-39,-1.2558461644879344
SEPTIN8,ENSG00000164402,-14.881902897945926,1.2843065953234155e-40,1.9642888898582332e-39,-0.5368556011409478
BRD7,ENSG00000166164,-14.858003247750599,1.6242278954191296e-40,2.470275657701107e-39,-0.6989553869127239
GPM6B,ENSG00000046653,-14.849280461652867,1.7695139069646824e-40,2.6883147693092788e-39,-0.7068352835255443
ITPRID2,ENSG00000138434,-14.81764586048175,2.4139856857567995e-40,3.639727932019718e-39,-0.7182513454217858
NFE2L2,ENSG00000116044,-14.798474891010535,2.9136054729606005e-40,4.369470353601965e-39,-0.8879336669783724
ANLN,ENSG00000011426,-14.780372517434817,3.4797081997123916e-40,5.1905956784824013e-39,-1.3498984066411683
RCAN1,ENSG00000159200,-14.7702885657413,3.8413638383701884e-40,5.717863937050067e-39,-0.6904871824078871
NASP,ENSG00000132780,-14.766859709102292,3.972694594250221e-40,5.900781333032448e-39,-0.9444245407908172
LINC00320,ENSG00000224924,-14.754078535131386,4.502946770810448e-40,6.681283122677031e-39,-1.0671157713801707
NXPE3,ENSG00000144815,-14.714223849272159,6.653802038893917e-40,9.830887008205103e-39,-0.7364783558293295
GALNT15,ENSG00000131386,-14.7049516831598,7.286184774499119e-40,1.0731191211082633e-38,-1.2563972873517963
DDX17,ENSG00000100201,-14.63447930958712,1.4518730971496633e-39,2.1226809915126405e-38,-0.5029071375541054
APOD,ENSG00000189058,-14.61444169562792,1.7659644632064646e-39,2.576501597310726e-38,-0.8921122539482447
ERBB3,ENSG00000065361,-14.592507267188473,2.1879812219487327e-39,3.1756400352209176e-38,-1.1027477534417427
MAP4K5,ENSG00000012983,-14.583511902870868,2.388885525804222e-39,3.45289069226118e-38,-0.7884425900828118
DOCK5,ENSG00000147459,-14.57905564677888,2.4951272130115822e-39,3.599008571337759e-38,-1.0992503082360594
XPC,ENSG00000154767,-14.567713965928217,2.7872772323629025e-39,4.0121291325166107e-38,-0.8377364188833045
NDRG1,ENSG00000104419,-14.559140696133516,3.030552540164072e-39,4.348874009637909e-38,-0.8770762481130188
HNRNPC,ENSG00000092199,-14.54682925625457,3.417410902840768e-39,4.888961329478547e-38,-0.3942633257030508
SLC12A2,ENSG00000064651,-14.492005215907374,5.8326231154142064e-39,8.293242450065551e-38,-0.8307157726233791
ZNF652,ENSG00000198740,-14.460156491520548,7.954321699072897e-39,1.1230055998782009e-37,-0.9106030686773074
ERMN,ENSG00000136541,-14.452777449238948,8.546866863413373e-39,1.2042294168339587e-37,-1.288239215982081
LITAF,ENSG00000189067,-14.419070983689995,1.1865178961188263e-38,1.6684065024198024e-37,-1.0253621473029941
NCBP3,ENSG00000074356,-14.405766497465079,1.350448193642307e-38,1.8970064726169373e-37,-0.913287125645148
OLIG1,ENSG00000184221,-14.403974755542288,1.3741864431539705e-38,1.926479831089573e-37,-0.8274659878895791
RAPGEF5,ENSG00000136237,-14.400089346782396,1.4271028468860648e-38,1.9946616490926527e-37,-0.7268329225854737
SNX29,ENSG00000048471,-14.367993361437767,1.9496311276787276e-38,2.716848880515012e-37,-0.9004575576208973
TOB2,ENSG00000183864,-14.35160388946227,2.2861429607626295e-38,3.1826115699780154e-37,-0.870670696936501
MID1IP1,ENSG00000165175,-14.336291080171172,2.652696352553524e-38,3.6819003892393847e-37,-0.8720986941578399
SOX8,ENSG00000005513,-14.323887798910281,2.9921488249807e-38,4.12438502236245e-37,-0.9794988765798038
SET,ENSG00000119335,-14.321705268102457,3.0562139474337665e-38,4.20854210278638e-37,-0.48834672704237114
KDSR,ENSG00000119537,-14.313093465688583,3.3226344919195637e-38,4.564886961297302e-37,-0.6640105017029407
FAR1,ENSG00000197601,-14.313026727876903,3.3247870978040014e-38,4.564886961297302e-37,-0.68814233734388
DST,ENSG00000151914,-14.271516251925563,4.973087877490309e-38,6.774741643633727e-37,-0.9229656064605845
MARCKSL1,ENSG00000175130,-14.237631087171923,6.906180056022636e-38,9.362529451312161e-37,-0.9749538502304542
SLCO3A1,ENSG00000176463,-14.207993341197167,9.201906774271292e-38,1.2390660017725418e-36,-1.0361047023356562
FAM124A,ENSG00000150510,-14.16359557366793,1.4139095305357176e-37,1.894747220354528e-36,-1.0640762914483446
CDK5RAP2,ENSG00000136861,-14.14096759713176,1.7596166649523265e-37,2.3535083374199683e-36,-1.0439934555697814
FGFR2,ENSG00000066468,-14.135935111259661,1.8473030499434188e-37,2.4637170542995386e-36,-1.0071169755396863
CNTNAP4,ENSG00000152910,-14.130751607194505,1.942179013872296e-37,2.585317721608865e-36,-0.7607593525638041
AIMP1,ENSG00000164022,-14.130047406659331,1.9554378604935826e-37,2.6004904829799052e-36,-0.7111185781616838
TRIM2,ENSG00000109654,-14.11982901307052,2.158309214199332e-37,2.867555882781755e-36,-0.5180403647684138
ABCA2,ENSG00000107331,-14.081529298250393,3.1238974099235123e-37,4.126910595321449e-36,-0.8418658717277321
RAI14,ENSG00000039560,-14.05780369898374,3.927317923804844e-37,5.178502134058519e-36,-1.101531418837979
EEF1A1,ENSG00000156508,-14.053191444625796,4.105937779515188e-37,5.408924820384899e-36,-0.5127857711116395
LPAR1,ENSG00000198121,-14.044801323638259,4.451893235552789e-37,5.853632338035873e-36,-1.1264143128401853
MXI1,ENSG00000119950,-14.037308662963326,4.785340209367016e-37,6.286156025030335e-36,-0.608241992939698
RNF13,ENSG00000082996,-14.025390965446014,5.367771762190549e-37,7.031428858494593e-36,-0.7937019134433037
RFC1,ENSG00000035928,-13.998935857096175,6.925753874281542e-37,9.021552833255649e-36,-0.8778245659433148
SLAIN1,ENSG00000139737,-13.99368706437517,7.284774050150518e-37,9.471561571995701e-36,-0.9876447873093523
ZCRB1,ENSG00000139168,-13.959848113550432,1.0089050372754849e-36,1.3056912690740233e-35,-0.5112627732262336
ZNF644,ENSG00000122482,-13.903005341123382,1.7424196584716246e-36,2.228160985037319e-35,-0.726406109990358
LAMP2,ENSG00000005893,-13.898167921514165,1.8252878022917427e-36,2.331997039545858e-35,-0.9286315379004018
RAD21,ENSG00000164754,-13.862347760483225,2.5743641195907744e-36,3.2621837986872396e-35,-0.5133831944233389
CASC3,ENSG00000108349,-13.852812894630766,2.8209680632433364e-36,3.5649792603935006e-35,-0.5574195498261219
MAP4,ENSG00000047849,-13.824734182995597,3.692607145966494e-36,4.645505857711403e-35,-0.5658840529149369
AIF1L,ENSG00000126878,-13.823837117625308,3.724496133950569e-36,4.6814102935456023e-35,-0.9676606866103503
NKAP,ENSG00000101882,-13.809125376056473,4.2884338628522964e-36,5.361309490258188e-35,-0.6697755083064525
SGK3,ENSG00000104205,-13.773064751733349,6.057354038974519e-36,7.539059430342551e-35,-0.8347726127881545
TPM4,ENSG00000167460,-13.767683250155631,6.377541869727775e-36,7.930507358824298e-35,-0.53122827105752
SPOCK3,ENSG00000196104,-13.756276381894384,7.113113477152885e-36,8.829483754011179e-35,-0.9127023356940356
FBXO32,ENSG00000156804,-13.745504587606256,7.885211334402031e-36,9.77053181036677e-35,-0.802686788736044
CHD7,ENSG00000171316,-13.708671183787448,1.1213619825059153e-35,1.3857892510596974e-34,-1.1134294763493333
TLN1,ENSG00000137076,-13.680299053902575,1.470421011255092e-35,1.8075703143634494e-34,-0.861199839214092
EVI2A,ENSG00000126860,-13.664083335075334,1.7165949195152529e-35,2.09911174016314e-34,-1.2943470208771446
SMARCA5,ENSG00000153147,-13.650117190012596,1.9612979009364177e-35,2.383744414033766e-34,-0.6858187262515889
SELENOP,ENSG00000250722,-13.649575130330682,1.9714665241145033e-35,2.3940215123847446e-34,-1.106924703709721
EVI5,ENSG00000067208,-13.647582156477613,2.009307189437374e-35,2.437854738434564e-34,-0.7093078330656573
ZNF532,ENSG00000074657,-13.626150635795694,2.4649525010844427e-35,2.9803322757488977e-34,-0.7181537873656385
DENND5A,ENSG00000184014,-13.61586618180627,2.71884497334456e-35,3.281631795547229e-34,-0.6420906700582814
PLIN3,ENSG00000105355,-13.58277831238158,3.7263111348792203e-35,4.489883683810937e-34,-1.1942103983860681
PWWP2A,ENSG00000170234,-13.575957383533314,3.976339896530182e-35,4.782900407384024e-34,-0.805158494276335
DEK,ENSG00000124795,-13.560662775020006,4.5994567899191116e-35,5.513431179476794e-34,-0.6825528867262047
WASF2,ENSG00000158195,-13.558901765600769,4.677181604657674e-35,5.601796682802083e-34,-0.834423187998298
OTUD7B,ENSG00000264522,-13.507958338338554,7.592046636921785e-35,9.03867426271344e-34,-0.9818917907815656
METAP2,ENSG00000111142,-13.498953871360772,8.270114474095431e-35,9.82919983030883e-34,-0.5731100677987992
PRPF40A,ENSG00000196504,-13.48170022275483,9.742570186200157e-35,1.1549779770357896e-33,-0.7023635171764342
ALCAM,ENSG00000170017,-13.477601292975237,1.0129178055817759e-34,1.1987766442520306e-33,-0.757849581027287
DIXDC1,ENSG00000150764,-13.477020956950218,1.0185137078772063e-34,1.204379534263935e-33,-0.6167934359449774
UFL1,ENSG00000014123,-13.434900508076018,1.5188606888743487e-34,1.780966094664159e-33,-0.6865336601366172
KCTD3,ENSG00000136636,-13.432503641280126,1.5537726229796005e-34,1.8160389795926424e-33,-0.727886215066075
ZNF326,ENSG00000162664,-13.403740363606417,2.0406627494620696e-34,2.376861937435946e-33,-0.7940491763491231
MYO10,ENSG00000145555,-13.382219304208256,2.5019691546620116e-34,2.9093197067147203e-33,-0.7911338497053624
GSN,ENSG00000148180,-13.356851989116127,3.1808187408106246e-34,3.680323140754147e-33,-0.9646219081832088
STAG2,ENSG00000101972,-13.322339685692983,4.40812908437646e-34,5.079342144462472e-33,-0.6746301873302105
PTTG1IP,ENSG00000183255,-13.310420399846716,4.933595792203679e-34,5.6754624187350465e-33,-0.7151746741432783
CRYAB,ENSG00000109846,-13.302104382855838,5.33675033981298e-34,6.134190748319574e-33,-1.0679360575334869
PSME4,ENSG00000068878,-13.289604019169493,6.005356763696266e-34,6.880071433293664e-33,-0.7899353856665643
TRIM24,ENSG00000122779,-13.285379119808844,6.249712631676862e-34,7.148300609897504e-33,-0.69324100065365
NENF,ENSG00000117691,-13.269736140063072,7.243922777800168e-34,8.271920642590927e-33,-0.5680062405142028
POU3F3,ENSG00000198914,-13.240306425663348,9.561163850919519e-34,1.0882441949861735e-32,-0.7049838180198558
AP3B1,ENSG00000132842,-13.208481353961439,1.2904359485970547e-33,1.4639953939562527e-32,-0.8425111114836357
ZFP91,ENSG00000186660,-13.183698426001554,1.6295133236408998e-33,1.8367506229458754e-32,-0.6020816635935269
QDPR,ENSG00000151552,-13.18295178018805,1.64100258807161e-33,1.848210569982022e-32,-0.7245873893704449
SEPTIN2,ENSG00000168385,-13.176387494352372,1.745551962292781e-33,1.9643784039425282e-32,-0.5875118438000193
UBXN4,ENSG00000144224,-13.17509704982666,1.76687269030339e-33,1.986772292226105e-32,-0.577397803751925
SERINC5,ENSG00000164300,-13.17445604808025,1.7775596106938126e-33,1.997182530439503e-32,-0.8960538266236133
UVRAG,ENSG00000198382,-13.142261869558842,2.405977150143144e-33,2.685969858430569e-32,-0.7742899677299748
FAM13C,ENSG00000148541,-13.14139837205927,2.4255813077351832e-33,2.7035366776885693e-32,-0.9910751141118634
USP16,ENSG00000156256,-13.134695505913328,2.5832720378595445e-33,2.8747128402199724e-32,-0.6368899626820212
AATK,ENSG00000181409,-13.080168456932752,4.3100300754924105e-33,4.7583957634405546e-32,-0.833753942497724
NSRP1,ENSG00000126653,-13.063056139917581,5.0602189458530294e-33,5.577813896387049e-32,-0.7539956546821545
MDM4,ENSG00000198625,-13.061750771079888,5.122521596741237e-33,5.637597193515927e-32,-0.8095683971051182
PROX1,ENSG00000117707,-13.049113502270695,5.766627778398318e-33,6.341475724521895e-32,-1.286185597191782
HSPA2,ENSG00000126803,-13.009711846295039,8.340019816036637e-33,9.114031037431123e-32,-1.1180880358497642
BAZ2B,ENSG00000123636,-13.007057466894503,8.549782413519215e-33,9.33596162451235e-32,-0.9081284556898161
