Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000116251,RPL22,654,0.27871,409,-0.4623,714,0.42266,282,-1.0268,477,-0.2222,434,-0.4047,707,0.45838,486,-0.1928,738,0.47611
ENSG00000116237,ICMT,40,-0.1680,60,0.46246,27,-0.7945,52,0.21991,51,0.20020,44,-0.0465,56,0.39231,31,-0.5768,34,-0.4189
ENSG00000097021,ACOT7,68,-1.6234,159,-0.3342,86,-1.2697,444,1.36777,212,0.12164,256,0.48152,181,-0.1442,177,-0.1672,143,-0.5006
ENSG00000215788,TNFRSF25,0,-9.4342,12,-1.1074,29,0.23497,26,0.04087,59,1.42362,35,0.60443,14,-0.9438,13,-1.0332,40,0.73541
ENSG00000171680,PLEKHG5,2,-3.3570,44,0.74494,23,-0.2754,28,0.06065,51,1.00691,34,0.39045,22,-0.3396,18,-0.5998,22,-0.3694
ENSG00000162408,NOL9,34,0.18398,28,-0.1177,23,-0.4063,26,-0.2248,40,0.42534,27,-0.1866,37,0.32709,17,-0.8764,38,0.35235
ENSG00000162413,KLHL21,50,0.37143,31,-0.4079,39,-0.0274,34,-0.2598,57,0.57392,39,-0.0141,39,-0.0165,21,-0.9960,49,0.32244
ENSG00000116273,PHF13,16,0.11374,15,0.08914,5,-1.5476,16,0.13794,19,0.39735,18,0.39438,10,-0.5740,14,-0.0604,18,0.36630
ENSG00000041988,THAP3,16,-0.3222,32,0.79400,15,-0.3868,21,0.13357,22,0.22345,28,0.64737,13,-0.5996,16,-0.2758,8,-1.2137
ENSG00000007923,DNAJC11,22,-0.4004,53,0.97468,36,0.34119,39,0.48138,30,0.05218,26,-0.2155,28,-0.0724,22,-0.4274,10,-1.5911
ENSG00000171735,CAMTA1,125,-1.4118,321,0.02942,338,0.11052,310,-0.0260,341,0.12294,365,0.25984,347,0.16812,306,-0.0506,306,-0.0498
ENSG00000049245,VAMP3,151,2.29356,73,0.91790,27,-0.6786,8,-2.3902,20,-1.0865,25,-0.8469,30,-0.5352,30,-0.5036,37,-0.1856
ENSG00000049246,PER3,55,0.62937,21,-0.8452,58,0.72633,23,-0.7342,40,0.11100,37,-0.0164,23,-0.8094,59,0.75006,33,-0.1909
ENSG00000116288,PARK7,237,-0.6843,298,-0.3320,344,-0.1078,345,-0.1034,323,-0.2083,414,0.21045,353,-0.0739,492,0.46606,478,0.41815
ENSG00000116285,ERRFI1,15,-1.0248,35,0.22340,10,-1.6176,44,0.61094,22,-0.4926,41,0.55771,41,0.56312,22,-0.5134,20,-0.6712
ENSG00000162426,SLC45A1,5,-1.8024,22,0.25558,6,-1.5993,33,0.95019,16,-0.2347,28,0.77188,15,-0.3984,25,0.45032,11,-0.8165
ENSG00000142599,RERE,122,-0.2983,65,-1.2497,180,0.31489,138,-0.1085,159,0.11553,145,-0.0346,150,0.02475,147,-0.0068,224,0.67906
ENSG00000074800,ENO1,370,-0.4267,569,0.25108,580,0.28283,506,0.06323,418,-0.2376,474,-0.0454,386,-0.3972,591,0.31416,594,0.32059
ENSG00000171612,SLC25A33,24,-0.9252,27,-0.7826,57,0.39922,20,-1.1876,22,-1.0455,38,-0.2828,37,-0.3239,109,1.49135,82,0.98881
ENSG00000188807,TMEM201,16,0.76258,2,-2.1014,2,-2.3409,13,0.46020,13,0.39575,9,-0.2087,17,1.02355,9,-0.1679,2,-2.1906
ENSG00000171603,CLSTN1,206,-1.7811,902,0.49677,349,-0.9937,1056,0.75911,835,0.37095,798,0.33346,658,-0.0128,497,-0.4524,537,-0.3311
ENSG00000178585,CTNNBIP1,38,0.12714,30,-0.2601,18,-0.9829,29,-0.2834,17,-1.0653,29,-0.3428,69,1.29762,34,-0.0463,25,-0.5455
ENSG00000162441,LZIC,155,1.55448,58,-0.0819,99,0.76081,41,-0.6460,42,-0.5777,56,-0.1598,40,-0.7102,39,-0.6952,51,-0.2979
ENSG00000162444,RBP7,99,3.52431,72,2.67116,6,-1.4970,0,-6.4019,2,-2.6739,0,-7.2611,2,-3.2370,0,-8.4002,0,-8.4310
ENSG00000130939,UBE4B,49,0.12086,83,0.98452,21,-1.1742,69,0.65268,41,-0.1577,46,0.00904,49,0.11577,38,-0.2818,11,-2.0629
ENSG00000054523,KIF1B,623,0.79716,486,0.38745,338,-0.1940,407,0.10184,385,0.01039,271,-0.5859,361,-0.0977,366,-0.0697,334,-0.2100
ENSG00000284642,AL139424.2,15,0.26498,11,-0.2797,6,-1.1730,20,0.69425,13,0.01412,13,0.02558,17,0.48140,14,0.12198,3,-2.0382
ENSG00000142657,PGD,48,-0.4213,80,0.38468,33,-0.9956,111,0.92210,36,-0.8578,76,0.33311,64,0.00866,65,0.04117,42,-0.6231
ENSG00000175279,CENPS,3,-1.9281,10,-0.1836,20,0.88663,13,0.15954,5,-1.0616,12,0.06421,15,0.47099,12,0.03457,9,-0.3167
ENSG00000241563,CORT,2,-2.6949,12,-0.5237,17,0.02937,21,0.39431,18,0.18927,23,0.64703,17,0.11513,21,0.41289,7,-1.3010
ENSG00000160049,DFFA,83,0.82661,51,0.04181,68,0.48910,35,-0.5713,27,-0.9313,44,-0.2113,60,0.32533,49,-0.0197,28,-0.8821
ENSG00000142655,PEX14,11,-1.1518,16,-0.6189,18,-0.4351,31,0.45580,35,0.65439,36,0.79266,18,-0.4629,25,0.08539,15,-0.7098
ENSG00000120948,TARDBP,105,0.26643,86,-0.0513,88,-0.0183,80,-0.1718,118,0.46357,102,0.24227,78,-0.2303,71,-0.3430,70,-0.3756
ENSG00000271895,AL109811.2,14,-0.3913,14,-0.3881,11,-0.7065,20,0.14591,34,1.04523,12,-0.6622,28,0.79849,14,-0.3593,11,-0.7660
ENSG00000116649,SRM,38,-0.6339,81,0.55823,46,-0.3361,66,0.21899,48,-0.2712,60,0.08136,60,0.08512,66,0.22199,45,-0.3799
ENSG00000171824,EXOSC10,32,0.28133,35,0.38749,25,-0.1041,26,-0.0682,31,0.19237,25,-0.1165,29,0.13736,15,-0.9429,25,-0.1016
ENSG00000198793,MTOR,30,-0.6110,41,-0.1487,34,-0.4318,63,0.51906,45,-0.0190,48,0.08573,36,-0.3681,57,0.37299,60,0.43732
ENSG00000120942,UBIAD1,23,1.16159,10,-0.0866,11,0.00262,9,-0.2427,4,-1.5569,5,-1.1690,12,0.08968,20,0.97734,10,-0.1328
ENSG00000116661,FBXO2,78,-1.0815,81,-1.0234,327,1.21986,167,0.09450,105,-0.6288,160,0.02777,148,-0.1102,212,0.48001,145,-0.1244
ENSG00000132879,FBXO44,40,-1.0953,84,0.01476,48,-0.8402,144,0.90894,107,0.41315,84,0.03370,111,0.53664,56,-0.5938,40,-1.1262
ENSG00000116670,MAD2L2,31,0.85344,34,1.02711,16,-0.1630,9,-0.9986,9,-0.9921,15,-0.2603,11,-0.7754,19,0.11086,26,0.59587
ENSG00000177674,AGTRAP,29,1.53614,17,0.61483,16,0.59898,5,-1.0879,2,-2.3066,4,-1.4862,13,0.25212,9,-0.2885,11,-0.0577
ENSG00000177000,MTHFR,11,-0.4986,31,1.06517,15,-0.1084,18,0.17775,22,0.51178,17,0.14096,12,-0.4704,13,-0.3537,7,-1.1905
ENSG00000011021,CLCN6,38,-0.8105,56,-0.2337,40,-0.7326,93,0.58151,52,-0.3483,66,0.03933,85,0.48778,91,0.55763,40,-0.7496
ENSG00000116685,KIAA2013,68,1.18054,62,1.02839,21,-0.7171,29,-0.1804,38,0.23279,22,-0.6452,30,-0.1552,21,-0.6937,19,-0.8308
ENSG00000083444,PLOD1,24,0.25960,32,0.73950,25,0.32260,28,0.52615,20,-0.0639,14,-0.6027,19,-0.0813,20,0.00532,7,-1.5413
ENSG00000116688,MFN2,85,-0.5520,112,-0.1288,58,-1.1337,150,0.34079,106,-0.2047,158,0.48682,131,0.14256,159,0.43729,84,-0.5771
ENSG00000116691,MIIP,13,0.36292,12,0.26205,20,1.03056,12,0.21747,6,-0.7073,9,-0.3329,10,-0.0879,9,-0.1890,5,-1.1217
ENSG00000048707,VPS13D,61,-0.2268,152,1.29301,42,-0.7945,86,0.33051,77,0.15413,67,-0.0762,63,-0.1925,44,-0.7049,49,-0.5621
ENSG00000162496,DHRS3,21,-0.4485,43,0.71070,67,1.46521,32,0.23721,10,-1.5327,18,-0.7526,17,-0.8134,41,0.64074,22,-0.3615
ENSG00000116731,PRDM2,117,-0.2979,233,0.81847,133,-0.0910,138,-0.0411,215,0.67795,109,-0.4377,122,-0.2479,77,-0.9312,177,0.36547
ENSG00000189337,KAZN,118,1.25888,73,0.45572,50,-0.1654,64,0.23078,43,-0.3822,52,-0.1023,43,-0.4116,41,-0.4486,27,-1.0780
ENSG00000142634,EFHD2,16,-2.5374,309,2.19537,17,-2.4419,117,0.44094,45,-1.0534,50,-0.9509,150,0.98516,61,-0.5832,13,-2.7960
ENSG00000116138,DNAJC16,28,-0.3750,57,0.78921,22,-0.7284,45,0.39465,46,0.42532,32,-0.1414,31,-0.2008,29,-0.3141,33,-0.0985
ENSG00000197312,DDI2,29,-0.1119,51,0.76707,26,-0.2868,29,-0.1100,31,-0.0033,31,-0.0056,29,-0.1257,32,0.04403,26,-0.3090
ENSG00000116786,PLEKHM2,59,-0.8500,50,-1.0941,97,-0.0732,66,-0.6759,77,-0.4366,100,-0.0407,166,0.92242,117,0.21913,123,0.30425
ENSG00000065526,SPEN,230,1.29853,126,0.27713,167,0.74662,45,-1.3152,157,0.64606,100,-0.0887,42,-1.4953,43,-1.3736,109,0.04996
ENSG00000116809,ZBTB17,28,0.53469,13,-0.6401,16,-0.3283,20,0.00640,25,0.36669,22,0.18566,19,-0.0294,22,0.13861,12,-0.8034
ENSG00000185519,FAM131C,43,1.84319,13,-0.1902,8,-0.8540,6,-1.3761,5,-1.4068,16,0.14011,19,0.48075,10,-0.5991,5,-1.4997
ENSG00000037637,FBXO42,17,-0.4272,29,0.40589,23,0.01692,35,0.71482,17,-0.4221,19,-0.2942,19,-0.2416,31,0.49756,19,-0.2793
ENSG00000055070,SZRD1,58,1.12697,34,0.21727,45,0.68244,11,-1.4497,19,-0.6390,18,-0.8011,27,-0.1501,30,0.03044,36,0.30615
ENSG00000157191,NECAP2,28,1.07220,23,0.77192,29,1.15380,4,-1.7439,5,-1.4840,9,-0.7343,13,-0.2344,9,-0.6557,16,0.12778
ENSG00000219481,NBPF1,46,1.67442,33,1.04029,10,-0.7683,15,-0.1609,7,-1.2800,12,-0.6003,10,-0.8659,21,0.32689,12,-0.5876
ENSG00000058453,CROCC,11,-0.0967,7,-0.7702,12,0.05695,12,0.09885,18,0.75077,13,0.15638,17,0.70212,5,-1.1025,2,-2.6599
ENSG00000238142,BX284668.5,7,-0.7726,7,-0.8349,28,1.35083,8,-0.6324,14,0.22053,9,-0.5685,13,0.02697,14,0.19331,15,0.24417
ENSG00000159363,ATP13A2,42,-1.0995,70,-0.3143,55,-0.6997,183,1.25786,51,-0.8171,111,0.46708,92,0.12764,82,-0.0683,55,-0.6768
ENSG00000117118,SDHB,66,-0.4669,58,-0.6575,71,-0.3527,113,0.37841,94,0.07980,105,0.30200,74,-0.3160,121,0.49338,98,0.14794
ENSG00000117115,PADI2,444,3.14626,183,1.26958,96,0.18002,14,-2.7141,13,-2.8391,14,-2.8527,36,-1.3997,58,-0.6117,34,-1.3944
ENSG00000179051,RCC2,17,-0.3165,7,-1.7390,15,-0.5417,24,0.19580,24,0.16915,29,0.56778,22,0.06394,28,0.39302,18,-0.2795
ENSG00000074964,ARHGEF10L,11,-0.6518,19,0.16144,10,-0.8847,21,0.29369,9,-0.9859,17,-0.0100,17,-0.0719,38,1.29336,15,-0.2256
ENSG00000117154,IGSF21,22,-1.3354,120,1.37488,20,-1.4324,57,0.12501,100,1.04695,39,-0.5128,54,0.02165,40,-0.4222,36,-0.5877
ENSG00000159423,ALDH4A1,24,0.04941,18,-0.4123,29,0.30197,11,-1.0876,6,-2.0257,15,-0.8020,23,-0.0660,43,0.97932,54,1.36513
ENSG00000127481,UBR4,31,1.05154,8,-1.0254,23,0.57414,13,-0.3728,22,0.46998,11,-0.6720,14,-0.2322,15,-0.1783,17,0.08458
ENSG00000127463,EMC1,34,-0.0268,51,0.63001,31,-0.1810,40,0.21620,50,0.60629,35,0.00034,29,-0.2952,22,-0.7006,25,-0.4962
ENSG00000053372,MRTO4,18,-0.6456,29,0.06710,11,-1.4407,31,0.18024,27,-0.0724,31,0.20979,32,0.23119,31,0.17141,33,0.28171
ENSG00000053371,AKR7A2,57,0.73001,39,0.12884,31,-0.2536,35,-0.0740,26,-0.5134,27,-0.5224,33,-0.1735,42,0.21385,51,0.54134
ENSG00000077549,CAPZB,112,-0.3674,150,0.08899,149,0.07688,168,0.27573,159,0.18115,155,0.16441,132,-0.1190,127,-0.1751,119,-0.2804
ENSG00000173436,MICOS10,140,-1.1387,268,-0.1509,206,-0.5592,219,-0.4607,263,-0.1802,299,0.02633,412,0.61686,426,0.59855,296,0.00707
ENSG00000158747,NBL1,50,-1.3713,101,-0.3226,150,0.31090,162,0.43441,104,-0.2732,117,-0.0934,149,0.33498,148,0.28931,113,-0.1494
ENSG00000169914,OTUD3,7,-1.4185,35,1.00259,3,-2.7603,36,1.07006,32,0.87164,13,-0.6425,22,0.29257,15,-0.3007,8,-1.2392
ENSG00000162545,CAMK2N1,1059,-0.3134,539,-1.3420,1895,0.62139,621,-1.1296,2061,0.76174,1279,-0.0186,976,-0.4813,926,-0.5214,2605,1.16548
ENSG00000090432,MUL1,24,0.24234,29,0.52067,14,-0.6257,33,0.77240,12,-0.7627,16,-0.4419,19,-0.1346,26,0.37058,19,-0.1451
ENSG00000158828,PINK1,210,-1.0521,351,-0.2668,267,-0.6885,527,0.38170,386,-0.1167,451,0.14420,515,0.38815,647,0.71985,253,-0.7740
ENSG00000244038,DDOST,23,-0.1369,25,-0.0254,29,0.20006,20,-0.3954,32,0.37020,30,0.27727,12,-1.1796,37,0.61354,29,0.22754
ENSG00000117245,KIF17,3,-2.6299,35,0.76745,12,-0.8499,33,0.68330,24,0.12088,25,0.26904,28,0.42646,16,-0.4233,9,-1.2991
ENSG00000189410,SH2D5,0,-6.1464,10,-1.9021,15,-1.2433,37,0.08461,73,1.21632,56,0.85994,26,-0.5130,24,-0.5831,63,0.96015
ENSG00000127483,HP1BP3,392,0.67810,319,0.33952,309,0.29075,191,-0.4712,322,0.35673,234,-0.1667,160,-0.8044,179,-0.5654,336,0.42714
ENSG00000075151,EIF4G3,195,-0.1698,177,-0.3258,161,-0.4692,300,0.51982,280,0.40372,323,0.72888,139,-0.7547,141,-0.6743,216,-0.0094
ENSG00000117298,ECE1,23,0.71293,17,0.25958,27,0.95348,7,-1.1567,7,-1.1844,12,-0.2774,14,-0.1058,21,0.59525,7,-1.0003
ENSG00000076864,RAP1GAP,32,-1.9204,237,1.18978,42,-1.5568,189,0.80008,140,0.30409,109,-0.1063,147,0.42966,80,-0.5824,42,-1.5340
ENSG00000090686,USP48,157,1.33846,52,-0.4808,67,-0.0880,75,0.09889,98,0.52500,66,-0.1026,47,-0.6848,45,-0.6842,55,-0.3817
ENSG00000218510,LINC00339,12,0.01150,10,-0.2341,11,-0.1439,18,0.60489,11,-0.1151,13,0.09977,13,0.14748,11,-0.1032,7,-0.7664
ENSG00000070831,CDC42,269,0.51867,273,0.54368,157,-0.3400,267,0.51026,170,-0.2146,196,0.00956,160,-0.3382,168,-0.2287,127,-0.6655
ENSG00000184677,ZBTB40,17,0.37090,14,0.05105,14,0.08842,6,-1.2571,13,-0.0588,16,0.34013,16,0.38883,11,-0.2699,6,-1.0442
ENSG00000173369,C1QB,5,-1.2710,11,-0.1122,26,1.32480,5,-1.1979,6,-0.8761,7,-0.6948,14,0.28391,20,0.83332,12,0.10150
ENSG00000133216,EPHB2,24,0.83398,25,0.94236,2,-2.4379,15,0.09724,13,-0.1304,16,0.19166,9,-0.6831,14,0.02886,11,-0.3558
ENSG00000004487,KDM1A,41,-0.7788,64,-0.1078,70,0.03512,78,0.20783,97,0.56221,83,0.35213,57,-0.3087,73,0.09964,49,-0.5244
ENSG00000169641,LUZP1,20,-2.7119,65,-1.0198,110,-0.2097,215,0.87429,135,0.11554,181,0.66846,102,-0.3574,120,-0.0688,152,0.30348
ENSG00000125944,HNRNPR,215,0.71474,168,0.30812,133,-0.0628,109,-0.3747,206,0.64400,142,0.04476,92,-0.6896,93,-0.6259,132,-0.0824
ENSG00000125945,ZNF436,11,-0.4578,31,1.24094,4,-1.8087,14,-0.1026,17,0.21124,8,-1.0058,16,0.21823,10,-0.5429,25,0.87512
ENSG00000249087,ZNF436-AS1,6,-1.1373,14,-0.0252,14,0.04271,10,-0.4631,19,0.44235,18,0.45558,13,-0.1828,20,0.55607,9,-0.6240
ENSG00000117318,ID3,35,0.76219,37,0.81363,126,3.36698,2,-3.0998,6,-1.8174,3,-3.0917,11,-1.1389,3,-2.9011,7,-1.7796
ENSG00000142676,RPL11,654,0.38294,392,-0.4284,710,0.51714,283,-0.9260,394,-0.4218,349,-0.6619,732,0.64584,473,-0.1360,603,0.24975
ENSG00000011007,ELOA,35,0.50944,22,-0.2144,48,1.01984,19,-0.4306,26,0.02790,29,0.18145,14,-1.0173,25,-0.0396,22,-0.2614
ENSG00000057757,PITHD1,120,-0.4858,145,-0.1983,73,-1.2425,244,0.63779,167,0.02304,198,0.33238,166,0.01649,159,-0.0529,173,0.08134
ENSG00000011009,LYPLA2,10,-1.1037,33,0.73617,12,-0.8120,39,1.01482,13,-0.7221,35,0.92233,18,-0.2967,12,-0.8194,7,-1.6709
ENSG00000117308,GALE,6,-1.2093,1,-3.1313,12,-0.2820,24,0.82085,16,0.20181,23,0.87018,10,-0.5519,17,0.30900,14,-0.0646
ENSG00000117305,HMGCL,25,0.77770,21,0.49378,19,0.26445,17,0.14363,13,-0.3100,13,-0.3508,8,-1.1365,15,-0.0945,21,0.48847
ENSG00000179163,FUCA1,6,-0.9528,9,-0.3432,8,-0.5030,23,1.16116,18,0.70614,11,-0.0453,8,-0.6052,10,-0.2062,13,0.22216
ENSG00000189266,PNRC2,89,0.08802,54,-0.6819,96,0.20973,68,-0.3329,107,0.38766,86,0.04199,81,-0.0649,74,-0.1930,102,0.31287
ENSG00000188529,SRSF10,102,0.56670,88,0.31390,57,-0.3612,47,-0.6420,62,-0.2421,89,0.37965,65,-0.1854,50,-0.5482,78,0.12421
ENSG00000001460,STPG1,10,-0.4746,26,1.04381,9,-0.6761,24,0.87746,17,0.30602,16,0.25851,11,-0.3608,6,-1.1127,5,-1.4171
ENSG00000001461,NIPAL3,336,1.96906,176,0.79126,66,-0.7727,116,0.11046,93,-0.2366,78,-0.5532,77,-0.5721,59,-0.9409,34,-1.7388
ENSG00000133226,SRRM1,243,1.03188,98,-0.4316,224,0.89339,89,-0.5836,137,0.08510,106,-0.3491,113,-0.2367,97,-0.4599,102,-0.3851
