Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000177133,PRDM16-DT,26,0.06437,54,1.29395,28,0.14778,19,-0.5004,25,0.01493,12,-1.1649,25,-0.0321,31,0.33277
ENSG00000142611,PRDM16,8,-0.2458,21,1.40082,8,-0.2239,3,-1.6189,11,0.32022,8,-0.2301,12,0.43256,9,-0.0417
ENSG00000158109,TPRG1L,73,-1.4237,135,-0.5021,165,-0.1850,180,-0.0536,234,0.37391,251,0.56909,185,-0.0083,201,0.13062
ENSG00000116213,WRAP73,15,-0.0535,13,-0.2306,23,0.63579,12,-0.4552,17,0.12507,21,0.56141,15,-0.0091,6,-1.4791
ENSG00000130764,LRRC47,62,-0.3969,61,-0.4052,65,-0.3033,86,0.15711,96,0.30302,84,0.11220,95,0.28557,72,-0.1397
ENSG00000116198,CEP104,46,1.33090,9,-1.2651,30,0.59291,19,-0.1783,15,-0.4453,19,-0.1504,13,-0.7230,19,-0.1587
ENSG00000198912,C1orf174,8,-1.0109,5,-1.5906,15,-0.0863,16,0.04045,20,0.35147,22,0.62963,14,-0.1962,19,0.31477
ENSG00000196581,AJAP1,20,-0.8034,35,0.05185,37,0.16532,52,0.83807,35,0.07027,32,-0.0845,20,-0.8122,21,-0.7389
ENSG00000131697,NPHP4,10,-0.2580,11,-0.2076,8,-0.6358,17,0.60068,11,-0.2152,16,0.42735,8,-0.6358,10,-0.3556
ENSG00000069424,KCNAB2,59,-1.6714,170,-0.0663,195,0.15695,216,0.36621,194,0.14430,201,0.23627,172,-0.0470,146,-0.3060
ENSG00000116254,CHD5,37,-1.8004,114,-0.0860,163,0.49640,138,0.26034,147,0.32290,125,0.07215,117,-0.0415,97,-0.3379
ENSG00000116251,RPL22,778,0.48670,739,0.40176,526,-0.1499,481,-0.3211,421,-0.4998,407,-0.6057,732,0.38569,802,0.53651
ENSG00000158286,RNF207,1,-2.3022,2,-2.1777,7,-0.3110,13,0.77289,8,-0.0630,14,1.01524,7,-0.3062,5,-0.8460
ENSG00000116237,ICMT,23,-1.0409,32,-0.5558,31,-0.5936,65,0.66311,57,0.36283,48,0.10331,47,0.03763,40,-0.2177
ENSG00000097021,ACOT7,71,-2.0984,159,-0.8805,220,-0.3815,276,-0.0253,502,0.97234,401,0.68152,216,-0.4082,279,-0.0070
ENSG00000215788,TNFRSF25,5,-2.4859,27,-0.0061,14,-1.0407,59,1.63056,27,-0.0142,23,-0.2664,18,-0.6505,15,-0.9032
ENSG00000171680,PLEKHG5,4,-2.5499,27,0.12946,18,-0.5009,46,1.21956,41,0.79874,19,-0.4729,15,-0.7991,14,-0.8619
ENSG00000162408,NOL9,24,-0.1811,25,-0.1672,26,-0.0969,32,0.27830,25,-0.1590,31,0.20096,28,0.06514,21,-0.4323
ENSG00000204859,ZBTB48,12,0.17596,13,0.29146,6,-0.7690,12,0.29431,11,0.10249,14,0.48273,6,-0.7816,5,-1.1806
ENSG00000162413,KLHL21,65,0.72112,62,0.65382,30,-0.5195,36,-0.2579,38,-0.1427,41,-0.0449,32,-0.3949,36,-0.2194
ENSG00000116273,PHF13,18,0.20489,17,0.17094,16,0.08501,19,0.32470,15,-0.0029,18,0.22509,10,-0.5928,5,-1.5379
ENSG00000041988,THAP3,21,0.07361,18,-0.1209,11,-0.8455,24,0.36259,26,0.47057,19,-0.0276,21,0.12333,12,-0.7297
ENSG00000007923,DNAJC11,20,-0.5516,32,0.20418,18,-0.7097,30,0.10238,48,0.89024,31,0.17721,15,-0.9401,27,-0.0827
ENSG00000171735,CAMTA1,168,-0.6061,296,0.28789,355,0.58974,240,-0.0564,276,0.17827,239,-0.0578,266,0.11695,155,-0.7353
ENSG00000049245,VAMP3,103,2.23083,30,0.00653,35,0.23498,13,-1.2989,15,-1.0391,10,-1.7439,20,-0.5967,48,0.77484
ENSG00000049246,PER3,85,1.25834,60,0.66951,32,-0.3456,42,0.07120,23,-0.8265,37,-0.1200,19,-1.1222,23,-0.8819
ENSG00000116288,PARK7,352,-0.4514,545,0.24714,260,-0.9157,416,-0.2109,401,-0.2473,553,0.30618,576,0.33646,610,0.43178
ENSG00000116285,ERRFI1,27,-0.1542,20,-0.5682,28,-0.1099,31,0.08972,36,0.32539,34,0.22743,26,-0.2064,29,-0.0070
ENSG00000162426,SLC45A1,13,-1.1047,26,-0.1021,18,-0.6863,36,0.44879,39,0.53685,35,0.43687,29,0.05364,12,-1.3062
ENSG00000142599,RERE,119,0.27425,136,0.48424,71,-0.5546,105,0.08003,110,0.13889,91,-0.1879,78,-0.4043,102,0.01990
ENSG00000074800,ENO1,614,0.15317,938,0.86096,525,-0.0990,441,-0.4137,443,-0.3649,616,0.17777,515,-0.1281,435,-0.3942
ENSG00000171612,SLC25A33,44,0.11670,91,1.36871,28,-0.5593,27,-0.7074,39,-0.0519,44,0.12752,37,-0.1618,26,-0.6775
ENSG00000188807,TMEM201,10,-0.1312,11,-0.0471,7,-0.7482,7,-0.6997,13,0.20451,15,0.58932,9,-0.3205,17,0.63118
ENSG00000171608,PIK3CD,3,-1.8921,3,-1.9061,12,0.25612,6,-0.8961,19,0.96784,16,0.83013,8,-0.2965,14,0.51940
ENSG00000171603,CLSTN1,282,-1.5998,596,-0.4612,746,-0.1088,875,0.16775,1260,0.75454,1008,0.43509,693,-0.2255,639,-0.3530
ENSG00000178585,CTNNBIP1,36,-0.1596,35,-0.1771,41,0.05476,18,-1.3302,57,0.60146,53,0.55340,48,0.32701,36,-0.1478
ENSG00000162441,LZIC,107,1.13658,58,0.09844,69,0.37632,37,-0.6621,33,-0.7712,39,-0.5639,56,0.03871,69,0.38445
ENSG00000162444,RBP7,61,3.70644,0,-5.8578,14,0.53645,0,-4.1949,1,-3.4130,0,-4.2439,1,-2.8596,22,1.30579
ENSG00000130939,UBE4B,36,-0.1293,35,-0.1864,50,0.40359,29,-0.5259,41,0.08613,54,0.60248,32,-0.2946,31,-0.3726
ENSG00000054523,KIF1B,436,0.41293,279,-0.3043,439,0.42772,259,-0.4622,356,0.08230,356,0.09692,252,-0.4641,386,0.21453
ENSG00000284642,AL139424.2,14,0.01424,6,-1.3296,20,0.52679,12,-0.2630,23,0.76190,16,0.18061,10,-0.5102,13,-0.0874
ENSG00000142657,PGD,41,-0.2289,39,-0.2761,59,0.36280,34,-0.5502,62,0.43458,59,0.42892,52,0.16635,31,-0.6700
ENSG00000175279,CENPS,9,-0.7223,17,0.21085,5,-1.5824,18,0.38142,19,0.44714,12,-0.3705,25,0.85735,12,-0.3464
ENSG00000241563,CORT,35,-1.0376,85,0.34798,135,1.12582,53,-0.4360,77,0.17913,40,-0.9305,124,0.97539,46,-0.6381
ENSG00000160049,DFFA,54,0.66891,38,0.10999,44,0.31367,26,-0.5289,39,0.12722,33,-0.1534,31,-0.2215,34,-0.0816
ENSG00000142655,PEX14,13,-0.7811,17,-0.4114,17,-0.4170,24,0.08630,37,0.82564,25,0.16150,24,0.08119,20,-0.2147
ENSG00000120948,TARDBP,91,0.26371,86,0.18067,98,0.38613,76,-0.0192,68,-0.1954,76,-0.0233,66,-0.2570,58,-0.4578
ENSG00000271895,AL109811.2,13,-0.3057,11,-0.5345,18,0.24838,20,0.42022,14,-0.2187,19,0.30797,15,-0.0466,9,-0.8416
ENSG00000116649,SRM,42,-0.5091,83,0.60274,40,-0.5545,75,0.48878,51,-0.2044,54,-0.1051,64,0.15962,38,-0.6478
ENSG00000171824,EXOSC10,47,0.41645,33,-0.1553,51,0.53921,36,-0.0240,32,-0.1987,41,0.22075,20,-0.9040,27,-0.4787
ENSG00000198793,MTOR,32,-0.7663,46,-0.1832,31,-0.8140,63,0.36553,95,1.00556,50,-0.0720,49,-0.0807,40,-0.4156
ENSG00000120942,UBIAD1,21,1.44156,14,0.65793,10,0.19770,7,-0.3308,7,-0.2752,7,-0.4578,3,-1.5378,6,-0.6711
ENSG00000116661,FBXO2,214,0.17775,374,1.12509,97,-1.0549,170,-0.2098,201,0.07963,189,-0.0272,196,0.03215,116,-0.7824
ENSG00000132879,FBXO44,43,-1.2199,86,-0.1598,71,-0.4537,117,0.39336,129,0.50642,125,0.51248,78,-0.3006,57,-0.8040
ENSG00000116663,FBXO6,6,-0.7237,12,0.20020,7,-0.6468,11,0.12284,10,-0.1075,14,0.50363,14,0.50242,5,-1.0080
ENSG00000116670,MAD2L2,19,0.35061,23,0.68748,3,-2.2836,22,0.64531,16,0.06633,12,-0.3512,12,-0.3514,11,-0.5069
ENSG00000177000,MTHFR,11,-0.2207,13,-0.0314,17,0.37503,13,0.00816,9,-0.5682,14,0.09767,8,-0.6662,19,0.57303
ENSG00000011021,CLCN6,35,-0.9875,51,-0.4271,87,0.42956,60,-0.1749,82,0.33236,84,0.42997,78,0.24892,45,-0.6106
ENSG00000175206,NPPA,0,-4.9357,15,0.82490,0,-6.5129,31,3.00197,4,-1.1829,2,-1.9151,3,-1.4602,1,-2.7628
ENSG00000116685,KIAA2013,55,1.02190,23,-0.4103,39,0.42625,31,0.08268,18,-0.7728,19,-0.7360,31,0.09371,30,0.03112
ENSG00000083444,PLOD1,26,0.53521,21,0.21647,11,-0.7893,18,-0.0874,21,0.22442,15,-0.3042,20,0.14138,19,0.05755
ENSG00000116688,MFN2,60,-1.0537,91,-0.4273,101,-0.2721,102,-0.2841,145,0.31197,170,0.66733,114,-0.0741,140,0.25954
ENSG00000116691,MIIP,22,0.96867,15,0.36261,14,0.22967,14,0.30535,8,-0.6753,9,-0.4204,5,-1.3243,10,-0.3502
ENSG00000048707,VPS13D,49,-0.5522,54,-0.4209,90,0.40100,55,-0.4137,75,0.10632,82,0.27321,77,0.13665,84,0.28536
ENSG00000162496,DHRS3,40,1.67127,42,1.76187,6,-1.2313,7,-1.1829,10,-0.5359,6,-1.3475,13,-0.2042,11,-0.5191
ENSG00000162493,PDPN,21,1.29720,9,-0.0846,5,-0.9470,7,-0.5333,8,-0.2472,9,-0.0140,12,0.35567,8,-0.3464
ENSG00000116731,PRDM2,96,-0.2295,98,-0.1927,204,1.01694,133,0.33841,113,0.02779,70,-0.7855,86,-0.4032,106,-0.0790
ENSG00000189337,KAZN,81,0.52704,50,-0.2552,60,0.05380,33,-0.9732,81,0.54226,72,0.39560,71,0.32045,30,-1.0223
ENSG00000142634,EFHD2,45,-1.0914,21,-2.2024,295,2.10333,12,-3.1665,57,-0.7417,115,0.43024,64,-0.5432,175,1.09195
ENSG00000132906,CASP9,16,0.75509,16,0.79627,18,1.01688,7,-0.6101,5,-0.9852,5,-1.0290,5,-0.8282,13,0.48843
ENSG00000116138,DNAJC16,24,-0.6642,19,-1.0138,29,-0.4016,54,0.68571,55,0.62730,40,0.12547,25,-0.6411,34,-0.1561
ENSG00000197312,DDI2,19,-0.3409,26,0.10688,40,0.82977,25,0.08797,18,-0.4184,28,0.30139,14,-0.8001,16,-0.6678
ENSG00000116786,PLEKHM2,39,-0.7974,84,0.41692,47,-0.4984,63,-0.0418,71,0.14592,75,0.26560,83,0.39195,48,-0.4626
ENSG00000065526,SPEN,135,1.41851,83,0.56673,114,1.11363,38,-0.7263,27,-1.1714,28,-1.2194,38,-0.6520,55,-0.0889
ENSG00000116809,ZBTB17,15,-0.0911,21,0.47930,26,0.87005,15,-0.0523,14,-0.1848,13,-0.3328,10,-0.7254,14,-0.1550
ENSG00000185519,FAM131C,5,-0.6487,8,-0.0931,5,-0.7097,7,-0.3864,14,0.78497,7,-0.2826,23,1.65310,2,-2.1044
ENSG00000037637,FBXO42,18,-0.2453,16,-0.3889,20,-0.0844,25,0.32056,25,0.25667,28,0.49853,13,-0.7569,13,-0.7146
ENSG00000055070,SZRD1,40,0.93125,40,0.94372,23,0.00515,21,-0.1098,18,-0.3831,13,-0.8898,23,0.00175,14,-0.7207
ENSG00000157191,NECAP2,42,1.90935,17,0.35450,4,-1.7062,11,-0.3254,10,-0.4799,11,-0.4458,13,-0.0969,8,-0.8278
ENSG00000219481,NBPF1,42,1.21673,22,0.11284,18,-0.1976,13,-0.6873,20,-0.0531,19,-0.1375,17,-0.2809,20,-0.0147
ENSG00000058453,CROCC,10,-0.2246,9,-0.3941,13,0.19395,14,0.29503,12,-0.0056,14,0.33385,10,-0.1947,7,-0.8002
ENSG00000238142,BX284668.5,18,0.44862,20,0.61457,9,-0.6170,12,-0.3021,22,0.73902,9,-0.6619,16,0.18895,11,-0.3242
ENSG00000159363,ATP13A2,30,-1.8610,68,-0.6223,79,-0.4001,84,-0.3278,141,0.52996,164,0.92719,122,0.29849,80,-0.3821
ENSG00000117118,SDHB,76,-0.6339,88,-0.4076,84,-0.4783,124,0.15901,120,0.08815,156,0.59315,113,-0.0114,97,-0.2577
ENSG00000117115,PADI2,253,3.13785,59,0.25142,50,-0.0275,20,-1.5075,10,-2.4628,10,-2.5431,24,-1.1515,51,0.01772
ENSG00000179051,RCC2,27,0.00714,23,-0.2371,8,-1.7577,31,0.24620,53,1.13461,29,0.16658,32,0.27773,5,-2.5237
ENSG00000074964,ARHGEF10L,16,0.40344,21,0.89140,5,-1.2091,6,-1.0537,12,0.02150,12,0.03087,27,1.27211,3,-1.7831
ENSG00000117154,IGSF21,28,-1.5331,56,-0.4718,116,0.70689,87,0.25128,75,-0.0196,63,-0.3107,46,-0.7740,135,0.96729
ENSG00000159423,ALDH4A1,32,0.91539,36,1.10998,13,-0.5914,13,-0.5897,22,0.24823,11,-0.9010,26,0.52044,9,-1.0762
ENSG00000169991,IFFO2,9,-0.2482,9,-0.1506,6,-0.7138,16,0.81218,9,-0.1888,11,0.17962,9,-0.2361,6,-0.8182
ENSG00000127481,UBR4,19,0.67337,22,0.92529,22,0.91962,12,0.01171,9,-0.4758,8,-0.7805,9,-0.5125,3,-2.0033
ENSG00000127463,EMC1,32,-0.0242,28,-0.2534,40,0.31595,40,0.37382,50,0.70879,29,-0.2181,20,-0.7689,19,-0.8451
ENSG00000053372,MRTO4,26,-0.7071,47,0.24584,37,-0.1415,54,0.52614,53,0.42937,39,-0.0699,34,-0.2795,23,-0.8710
ENSG00000053371,AKR7A2,68,0.96380,60,0.74003,38,0.00822,31,-0.3320,22,-0.8379,34,-0.2013,30,-0.3910,32,-0.2786
ENSG00000040487,SLC66A1,11,0.15398,7,-0.5604,9,-0.1250,11,0.07581,11,0.14174,14,0.53917,5,-0.9209,9,-0.2071
ENSG00000077549,CAPZB,158,0.01830,143,-0.1384,145,-0.1216,163,0.07830,141,-0.1589,168,0.12942,203,0.42849,110,-0.5544
ENSG00000173436,MICOS10,253,-0.7930,387,-0.1308,300,-0.5298,346,-0.3422,561,0.46955,415,-0.0232,614,0.62228,566,0.48524
ENSG00000158747,NBL1,110,-0.4961,174,0.22916,152,0.01416,145,-0.0681,185,0.33058,177,0.29884,137,-0.1535,105,-0.5688
ENSG00000169914,OTUD3,8,-1.3929,19,-0.1090,25,0.32691,20,-0.0147,29,0.58371,24,0.35111,19,-0.0636,13,-0.6839
ENSG00000162545,CAMK2N1,889,-0.7647,3397,1.46339,626,-1.2973,2345,0.93813,961,-0.6436,911,-0.7960,1320,-0.1472,775,-0.9743
ENSG00000090432,MUL1,22,-0.0149,23,0.06235,14,-0.6635,21,-0.0919,25,0.21167,29,0.51110,17,-0.4034,19,-0.2173
ENSG00000183114,FAM43B,7,-1.0953,8,-0.8736,27,1.06533,6,-1.2580,7,-1.0525,19,0.51309,15,0.06115,27,1.10060
ENSG00000158828,PINK1,243,-1.0424,344,-0.5107,472,-0.0135,412,-0.2555,681,0.58893,559,0.29761,491,0.05090,584,0.33195
ENSG00000244038,DDOST,18,-0.3001,28,0.36410,36,0.79066,21,-0.0943,12,-0.8883,19,-0.2855,20,-0.1762,28,0.35986
ENSG00000117245,KIF17,5,-2.4116,10,-1.3457,28,0.16396,13,-1.0965,21,-0.2697,57,1.68779,24,-0.1067,25,-0.0282
ENSG00000189410,SH2D5,10,-2.1447,39,-0.0846,26,-0.7055,75,1.20241,54,0.44673,39,-0.0833,27,-0.6446,26,-0.7280
ENSG00000127483,HP1BP3,323,0.80030,217,0.14063,281,0.56508,180,-0.1723,139,-0.5574,163,-0.3458,165,-0.2955,176,-0.1960
ENSG00000075151,EIF4G3,137,-0.4848,108,-0.8502,309,0.83281,195,0.07455,228,0.31975,177,-0.0940,140,-0.4563,202,0.12846
ENSG00000117298,ECE1,41,1.48428,22,0.39327,6,-1.4197,13,-0.5006,27,0.76717,12,-0.6237,19,0.19805,5,-1.6678
ENSG00000162551,ALPL,5,-0.8994,12,0.29426,1,-2.5835,3,-1.9418,8,-0.2706,27,2.30252,8,-0.2046,2,-2.4400
ENSG00000076864,RAP1GAP,71,-1.6339,91,-1.2531,265,0.41162,205,-0.0031,221,0.11769,301,0.72496,166,-0.3400,230,0.18009
ENSG00000090686,USP48,118,0.95773,49,-0.4729,69,0.06726,76,0.24369,57,-0.2477,45,-0.6521,35,-0.9783,93,0.54505
ENSG00000070831,CDC42,215,-0.2039,140,-0.8709,260,0.09496,229,-0.1170,237,-0.0556,306,0.41249,234,-0.0761,293,0.29187
ENSG00000184677,ZBTB40,14,0.69172,13,0.52523,16,0.93663,8,-0.1575,6,-0.7304,6,-0.7685,5,-0.8767,9,0.05851
ENSG00000173372,C1QA,23,1.80967,21,1.56579,1,-2.6724,3,-1.4722,4,-1.1704,3,-1.2781,15,0.99665,4,-1.0656
ENSG00000133216,EPHB2,18,0.51238,6,-1.1225,8,-0.6777,19,0.78103,13,0.07036,15,0.23219,12,-0.0846,3,-2.2467
ENSG00000004487,KDM1A,47,0.08293,40,-0.1847,52,0.21673,49,0.14760,37,-0.3158,46,0.04778,53,0.24761,32,-0.5490
ENSG00000169641,LUZP1,33,-1.2428,54,-0.5167,89,0.27455,64,-0.2867,93,0.35239,99,0.51325,92,0.32261,64,-0.2524
ENSG00000125944,HNRNPR,174,0.54745,105,-0.2666,175,0.55726,134,0.14321,100,-0.3487,105,-0.2899,90,-0.5013,119,-0.0642
ENSG00000125945,ZNF436,11,-0.5061,10,-0.6371,28,1.00722,24,0.93768,8,-0.8916,14,-0.1548,3,-2.3140,14,-0.1216
ENSG00000249087,ZNF436-AS1,8,-0.2993,13,0.36010,8,-0.4414,11,0.04637,13,0.33900,7,-0.5997,11,0.13757,14,0.52450
ENSG00000088280,ASAP3,18,1.18650,9,0.00332,14,0.77466,6,-0.7113,5,-0.8087,5,-0.7964,7,-0.3831,13,0.57219
ENSG00000117318,ID3,238,3.69498,133,2.15710,13,-1.7391,2,-4.2595,3,-3.6876,3,-3.8783,0,-6.0943,2,-4.0507
ENSG00000142676,RPL11,743,0.62918,783,0.71793,303,-0.8017,438,-0.2585,439,-0.2270,302,-0.8857,624,0.33953,693,0.51354
ENSG00000011007,ELOA,34,0.59142,28,0.30013,24,0.04432,23,-0.0506,25,0.13249,23,-0.0512,17,-0.4723,14,-0.7514
ENSG00000057757,PITHD1,92,-1.0958,111,-0.8125,153,-0.3087,168,-0.1776,223,0.29515,280,0.78397,219,0.26457,166,-0.1843
ENSG00000011009,LYPLA2,19,-0.7581,37,0.31978,21,-0.5700,37,0.36430,50,0.80899,33,0.11410,22,-0.5015,17,-0.9386
ENSG00000117308,GALE,11,-1.0463,13,-0.7512,12,-0.8664,36,1.04536,12,-0.8432,30,0.65222,20,-0.1051,11,-0.9271
ENSG00000117305,HMGCL,19,0.06483,20,0.18332,12,-0.6572,16,-0.2243,27,0.61573,19,0.04449,21,0.22767,14,-0.4305
ENSG00000179163,FUCA1,10,-0.4308,4,-1.6011,23,0.86628,14,0.10433,10,-0.4829,15,0.24031,19,0.56284,9,-0.6613
ENSG00000189266,PNRC2,88,0.41837,75,0.16116,89,0.44265,79,0.27610,43,-0.7042,55,-0.3627,42,-0.7443,73,0.12084
ENSG00000188529,SRSF10,80,0.36754,65,0.02424,81,0.39073,69,0.14975,59,-0.1395,67,0.09231,39,-0.7636,42,-0.6685
ENSG00000001460,STPG1,5,-0.7500,7,-0.4042,11,0.31126,9,0.09572,11,0.28608,10,0.20041,6,-0.4383,10,0.15847
ENSG00000001461,NIPAL3,124,0.71747,39,-1.0943,144,0.97451,54,-0.6736,70,-0.2182,83,0.06000,53,-0.6348,97,0.30449
ENSG00000133226,SRRM1,228,1.22407,106,-0.0702,185,0.85105,86,-0.4460,90,-0.3313,70,-0.7739,84,-0.4235,101,-0.1504
