Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000090432,MUL1,17,0.32789,13,-0.1863,14,-0.0597,14,-0.0391,24,0.78174,1,-3.1005
ENSG00000158828,PINK1,484,0.65471,347,-0.1342,177,-1.1425,432,0.24084,218,-0.8241,283,-0.4257
ENSG00000244038,DDOST,20,0.15244,15,-0.4612,22,0.25400,44,1.39960,7,-1.4256,9,-1.0421
ENSG00000117245,KIF17,23,0.27113,33,1.03718,6,-1.8440,7,-1.6100,12,-0.8096,10,-1.1133
ENSG00000189410,SH2D5,55,1.29811,18,-1.1434,29,-0.2445,42,0.32461,12,-1.5858,18,-0.9479
ENSG00000127483,HP1BP3,306,-0.2182,347,0.05199,548,0.78695,219,-0.6765,371,0.14626,316,-0.1063
ENSG00000075151,EIF4G3,355,0.01116,540,0.93228,278,-0.3755,128,-1.5464,230,-0.6647,207,-0.8245
ENSG00000117298,ECE1,11,-0.7977,10,-0.7491,58,2.29934,12,-0.4249,19,0.26688,11,-0.5578
ENSG00000076864,RAP1GAP,80,-0.1359,114,0.60763,60,-0.5450,69,-0.3268,111,0.42355,35,-1.3395
ENSG00000090686,USP48,73,-0.1910,105,0.57051,95,0.26947,34,-1.2824,77,-0.0552,65,-0.3260
ENSG00000070831,CDC42,182,0.25121,196,0.36405,166,0.02036,140,-0.2500,106,-0.6802,74,-1.2156
ENSG00000004487,KDM1A,96,0.46321,88,0.21919,51,-0.6887,65,-0.2926,67,-0.2667,39,-1.0909
ENSG00000169641,LUZP1,181,-0.4008,374,1.23341,187,-0.2355,51,-2.2010,173,-0.3618,138,-0.7104
ENSG00000125944,HNRNPR,157,0.29468,147,0.11650,143,0.05523,106,-0.4151,115,-0.2903,90,-0.6630
ENSG00000204219,TCEA3,7,-1.6222,12,-0.5680,50,1.95912,18,0.13953,26,0.77938,21,0.39018
ENSG00000117318,ID3,9,-1.4045,0,-4.6878,111,3.59985,29,0.76225,3,-2.3192,19,0.07764
ENSG00000142676,RPL11,363,-0.1385,230,-0.9524,531,0.51559,658,0.87433,386,4.36718,531,0.51535
ENSG00000011007,ELOA,30,-0.1061,37,0.31890,36,0.24812,25,-0.3181,22,-0.5574,31,-0.0073
ENSG00000057757,PITHD1,158,0.59758,139,0.24077,43,-1.6043,126,0.03159,82,-0.6477,61,-1.0970
ENSG00000011009,LYPLA2,20,0.10171,22,0.33743,11,-0.7353,21,0.14981,15,-0.3848,14,-0.3934
ENSG00000117308,GALE,15,0.37463,9,-0.6374,16,0.32462,7,-0.9472,21,0.75259,11,-0.2943
ENSG00000117305,HMGCL,12,-0.4311,9,-0.8989,42,1.76296,26,0.92378,12,-0.2942,7,-1.0308
ENSG00000189266,PNRC2,72,0.43487,48,-0.4072,55,-0.1149,79,0.45527,42,-0.5578,49,-0.3019
ENSG00000188529,SRSF10,69,0.11706,64,-0.0314,92,0.54793,38,-0.8448,72,0.16432,48,-0.4570
ENSG00000001461,NIPAL3,96,0.06542,107,0.28286,100,0.11442,106,0.20578,68,-0.4921,46,-1.0839
ENSG00000133226,SRRM1,175,-0.5851,249,0.14893,600,1.62594,112,-1.1180,223,-0.0572,160,-0.5747
ENSG00000169504,CLIC4,23,-0.3507,5,-2.6028,94,2.17137,48,0.91768,26,-0.0475,22,-0.3077
ENSG00000117614,SYF2,148,0.10214,115,-0.3913,233,0.81326,115,-0.3284,120,-0.2585,151,0.10541
ENSG00000117616,RSRP1,41,-0.1609,48,0.17831,82,1.01738,46,0.07294,31,-0.5250,17,-1.4484
ENSG00000183726,TMEM50A,82,0.47924,57,-0.3011,56,-0.2781,71,0.08620,67,-0.0164,45,-0.6182
ENSG00000204178,MACO1,62,-0.3897,102,0.65324,102,0.49085,35,-1.1414,82,0.13578,49,-0.6540
ENSG00000117643,MAN1C1,51,1.13481,27,-0.3971,31,-0.1107,22,-0.6615,8,-2.0424,20,-0.8107
ENSG00000162430,SELENON,12,-0.8254,10,-1.1590,38,1.15170,46,1.48953,20,0.08497,24,0.38433
ENSG00000117640,MTFR1L,64,0.30492,62,0.17716,41,-0.4941,66,0.25230,32,-0.8490,39,-0.5696
ENSG00000117632,STMN1,1382,0.59440,1368,0.48204,380,-1.6022,670,-0.7488,793,-0.4912,461,-1.3151
ENSG00000158008,EXTL1,28,-0.1448,31,0.08230,20,-0.5683,33,0.18162,31,0.05917,38,0.38747
ENSG00000175087,PDIK1L,13,-0.3543,21,0.67258,5,-1.6230,20,0.44643,19,0.38609,8,-0.9250
ENSG00000142684,ZNF593,39,1.38812,9,-1.6731,19,-0.2832,34,0.58683,12,-0.9512,10,-1.2710
ENSG00000142669,SH3BGRL3,123,0.08422,118,-0.0154,122,0.04292,154,0.41350,69,-0.8467,116,-0.0419
ENSG00000158062,UBXN11,15,0.24488,9,-0.7347,14,0.06942,21,0.66156,7,-0.9716,20,0.60842
ENSG00000117682,DHDDS,12,-0.3305,14,0.02074,7,-1.0255,20,0.57753,24,0.89306,12,-0.2277
ENSG00000198830,HMGN2,157,-0.1108,107,-0.8090,224,0.49149,299,0.97315,132,-0.3541,214,0.41636
ENSG00000117713,ARID1A,68,0.16365,43,-0.7185,111,0.92733,62,-0.0161,54,-0.2337,66,0.08638
ENSG00000204160,ZDHHC18,15,-0.2942,24,0.62456,32,0.93836,12,-0.5610,8,-1.2587,10,-0.8850
ENSG00000142751,GPN2,18,0.07712,14,-0.3948,31,0.94890,15,-0.2475,19,0.15507,12,-0.5899
ENSG00000090273,NUDC,279,0.68976,176,-0.3478,164,-0.4007,172,-0.3230,131,-0.7437,214,0.01860
ENSG00000253368,TRNP1,49,0.11845,54,0.29955,30,-0.6992,50,0.08576,36,-0.4129,40,-0.2503
ENSG00000090020,SLC9A1,13,-0.8285,37,1.39313,9,-1.1233,13,-0.6936,27,0.48574,7,-1.4458
ENSG00000142784,WDTC1,24,-0.1670,22,-0.2416,20,-0.4138,33,0.41737,32,0.36603,34,0.44906
ENSG00000186501,TMEM222,21,-0.7178,41,0.63354,33,0.12213,28,-0.1226,33,0.16392,30,0.00745
ENSG00000158195,WASF2,22,-1.0808,10,-2.2013,155,2.50371,67,0.91320,44,0.22177,37,-0.0675
ENSG00000126705,AHDC1,38,0.12001,35,-0.0088,35,-0.0189,32,-0.1561,46,0.41108,22,-0.7574
ENSG00000126709,IFI6,95,-0.1752,136,0.60014,90,-0.2059,100,-0.0347,81,-0.3713,69,-0.6204
ENSG00000009780,FAM76A,26,0.46764,16,-0.5368,26,0.25275,16,-0.4693,24,0.17538,19,-0.2431
ENSG00000117758,STX12,98,0.30857,75,-0.2727,83,-0.0514,107,0.35133,75,-0.2051,64,-0.4607
ENSG00000117751,PPP1R8,30,0.29744,23,-0.2510,22,-0.3195,37,0.50864,30,0.20192,13,-1.0538
ENSG00000117748,RPA2,56,1.10623,23,-0.8472,49,0.45227,22,-0.7833,28,-0.3984,12,-1.6870
ENSG00000126698,DNAJC8,323,0.27245,313,0.17002,280,-0.0433,185,-0.6874,221,-0.4170,248,-0.2347
ENSG00000130770,ATP5IF1,562,1.10564,280,-0.5325,210,-0.8778,405,0.14125,172,-1.1777,201,-0.9461
ENSG00000204138,PHACTR4,26,-0.6096,19,-1.0521,112,2.05181,20,-0.8309,52,0.66733,35,0.00206
ENSG00000180098,TRNAU1AP,16,0.61512,7,-1.0913,6,-1.0430,18,0.56866,15,0.27961,14,0.15066
ENSG00000198492,YTHDF2,115,0.66717,102,0.30656,55,-0.7347,40,-1.2190,67,-0.4250,39,-1.2539
ENSG00000159023,EPB41,19,-0.6890,37,0.70802,38,0.60376,2,-3.6008,36,0.51000,27,0.04782
ENSG00000116350,SRSF4,58,-0.4347,70,-0.0306,118,0.82116,66,-0.1258,68,-0.0736,89,0.35549
ENSG00000116353,MECR,35,0.64245,31,0.31139,12,-1.2591,18,-0.5840,18,-0.6360,14,-0.9916
ENSG00000162511,LAPTM5,9,-0.9977,7,-1.2366,43,1.80296,35,1.39739,6,-1.3200,22,0.63638
ENSG00000162512,SDC3,118,-0.2490,117,-0.2381,166,0.35966,208,0.72771,140,0.08602,120,-0.1568
ENSG00000134644,PUM1,146,-0.1772,179,0.25194,177,0.17189,111,-0.5604,226,0.57174,107,-0.6113
ENSG00000060688,SNRNP40,14,-0.2334,14,-0.3139,35,1.28675,14,-0.2416,22,0.47103,8,-1.0747
ENSG00000121766,ZCCHC17,166,0.47955,134,-0.0274,110,-0.3285,96,-0.5455,113,-0.2866,110,-0.3248
ENSG00000121769,FABP3,89,0.60827,90,0.53577,26,-1.5014,42,-0.7939,38,-0.9500,34,-1.1057
ENSG00000162517,PEF1,78,0.89766,44,-0.3995,33,-0.7724,47,-0.2408,52,-0.0982,26,-1.1116
ENSG00000084636,COL16A1,16,-0.0031,10,-0.8966,26,0.80084,36,1.31861,9,-0.7853,12,-0.4920
ENSG00000121753,ADGRB2,220,0.89158,116,-0.5481,88,-0.8708,192,0.33763,89,-0.8584,111,-0.5250
ENSG00000184007,PTP4A2,235,0.17019,193,-0.2370,203,-0.1118,204,-0.1046,244,0.17369,231,0.08867
ENSG00000121774,KHDRBS1,155,0.28080,126,-0.1650,121,-0.1991,157,0.20818,123,-0.1723,113,-0.3148
ENSG00000025800,KPNA6,90,0.25617,100,0.44378,54,-0.6235,54,-0.6102,64,-0.3501,54,-0.6117
ENSG00000084652,TXLNA,27,0.25862,16,-0.7509,29,0.32400,26,0.11068,27,0.17445,27,0.17782
ENSG00000160050,CCDC28B,18,0.00774,9,-1.1745,24,0.46823,36,1.17034,15,-0.2452,22,0.29983
ENSG00000084623,EIF3I,122,0.34700,106,0.01537,107,0.01997,120,0.20513,67,-0.6981,59,-0.9026
ENSG00000175130,MARCKSL1,135,-0.3716,74,-1.3755,277,0.90169,421,1.65240,135,-0.2619,165,0.04987
ENSG00000160058,BSDC1,41,-0.0502,39,-0.1496,50,0.26143,39,-0.1030,56,0.46035,36,-0.2297
ENSG00000160062,ZBTB8A,33,0.73882,17,-0.6763,41,0.84447,14,-0.8505,11,-1.2194,20,-0.2844
ENSG00000176261,ZBTB8OS,38,0.41620,31,-0.0614,14,-1.2346,47,0.61235,20,-0.7503,26,-0.3333
ENSG00000162521,RBBP4,153,0.35589,103,-0.4678,200,0.67688,125,-0.0794,125,-0.0863,78,-0.8110
ENSG00000162522,KIAA1522,21,0.20006,17,-0.2086,9,-1.1150,35,1.03132,13,-0.6113,17,-0.1356
ENSG00000134684,YARS,119,0.88172,95,0.25264,34,-1.3652,62,-0.4697,37,-1.2463,30,-1.5442
ENSG00000160097,FNDC5,17,-0.9069,43,1.02268,19,-0.5592,25,-0.1214,33,0.31652,22,-0.2917
ENSG00000121905,HPCA,152,0.67020,104,-0.2148,40,-1.6230,127,0.14580,140,0.30866,48,-1.3292
ENSG00000121900,TMEM54,24,-0.7846,41,0.28265,40,0.17327,53,0.62808,22,-0.7729,59,0.78707
ENSG00000004455,AK2,19,-0.4047,26,0.24833,20,-0.2372,38,0.80221,17,-0.4507,24,0.07781
ENSG00000160094,ZNF362,13,-0.4356,12,-0.5228,19,0.26064,26,0.74249,23,0.55161,21,0.41817
ENSG00000134686,PHC2,41,0.14672,43,0.25306,32,-0.2923,36,-0.1156,40,0.05755,21,-0.9442
ENSG00000163866,SMIM12,52,0.66994,43,0.14823,21,-0.9421,33,-0.2898,33,-0.2906,13,-1.7149
ENSG00000116544,DLGAP3,51,0.28541,24,-1.1061,26,-0.8598,97,1.26853,13,-1.8116,83,1.00399
ENSG00000163867,ZMYM6,22,0.03987,26,0.37236,24,0.17854,18,-0.2663,23,0.09465,6,-1.7827
ENSG00000116560,SFPQ,219,-0.2144,235,-0.0514,489,1.16890,117,-1.1096,278,0.22583,191,-0.3717
ENSG00000146463,ZMYM4,74,-0.1905,89,0.20133,89,0.16245,41,-1.0249,83,0.04883,109,0.49915
ENSG00000142687,KIAA0319L,42,-0.4890,66,0.46796,57,0.14240,39,-0.4641,63,0.27666,54,0.05460
ENSG00000020129,NCDN,674,1.42241,338,-0.3481,102,-2.0871,319,-0.3734,175,-1.2835,148,-1.5362
ENSG00000126067,PSMB2,102,0.84497,67,-0.1832,71,-0.0435,59,-0.3443,48,-0.6671,19,-1.9930
ENSG00000142686,C1orf216,104,1.03142,69,-0.0352,37,-0.9599,54,-0.4050,32,-1.1989,25,-1.5744
ENSG00000134698,AGO4,10,-0.5905,15,0.15028,26,1.06293,18,0.41869,15,0.20580,5,-1.3838
ENSG00000092847,AGO1,38,0.20966,26,-0.5521,40,0.22402,43,0.35289,37,0.10308,32,-0.1319
ENSG00000126070,AGO3,28,-1.0569,66,0.67146,96,1.14873,46,-0.0687,42,-0.2140,33,-0.5798
ENSG00000054116,TRAPPC3,46,0.56636,36,-0.0100,29,-0.3517,28,-0.4176,36,0.01443,14,-1.4105
ENSG00000116871,MAP7D1,199,0.73831,117,-0.4475,86,-0.8440,185,0.35305,90,-0.7704,122,-0.3050
ENSG00000054118,THRAP3,220,0.21412,205,0.04190,289,0.58647,119,-0.8052,163,-0.3228,142,-0.5451
ENSG00000181817,LSM10,45,0.87278,33,0.08041,8,-1.9985,30,-0.0638,17,-0.9288,15,-1.1505
ENSG00000116885,OSCP1,21,1.14443,11,-0.3829,5,-1.4998,10,-0.4944,10,-0.4741,7,-0.8981
ENSG00000116898,MRPS15,62,0.91988,35,-0.4133,27,-0.7329,55,0.38958,18,-1.2908,23,-0.9583
ENSG00000163875,MEAF6,116,0.43036,107,0.20333,74,-0.4205,77,-0.3642,68,-0.5536,62,-0.6994
ENSG00000163877,SNIP1,21,0.65273,15,-0.0646,2,-2.8388,14,-0.1364,17,0.07795,12,-0.4056
ENSG00000134697,GNL2,34,0.10791,44,0.65436,26,-0.3595,14,-1.2051,20,-0.7051,27,-0.2805
ENSG00000116922,C1orf109,16,0.23202,15,0.06403,3,-2.1155,19,0.42393,23,0.74803,5,-1.5907
ENSG00000185090,MANEAL,27,0.75218,21,0.14056,6,-1.7138,22,0.13588,13,-0.6145,6,-1.8388
ENSG00000197982,C1orf122,122,-0.2251,101,-0.5457,119,-0.1975,268,1.14134,91,-0.6121,215,0.76131
