Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000162413,KLHL21,29,-0.0646,34,0.30783,24,-0.3427,29,-0.0569,24,-0.3750
ENSG00000041988,THAP3,21,0.63460,18,0.24203,13,-0.3507,1,-3.2012,7,-1.1486
ENSG00000007923,DNAJC11,47,0.35427,34,-0.3698,14,-1.5512,44,0.12274,63,0.70376
ENSG00000171735,CAMTA1,536,0.75186,337,-0.3589,161,-1.3862,278,-0.5597,442,0.16807
ENSG00000049245,VAMP3,19,-1.5160,37,-0.2448,149,2.26300,33,-0.3747,51,0.33788
ENSG00000049246,PER3,40,-0.1603,38,-0.2847,44,0.03545,31,-0.4956,87,1.16520
ENSG00000116288,PARK7,249,-0.1247,394,1.06574,145,-0.9184,68,-2.0499,109,-1.3542
ENSG00000116285,ERRFI1,42,1.01621,20,-0.7417,8,-1.8479,7,-2.1231,51,0.92660
ENSG00000162426,SLC45A1,35,1.17766,20,-0.2590,6,-1.8751,13,-0.7606,7,-1.6572
ENSG00000142599,RERE,132,-0.1969,106,-0.6402,161,0.17366,354,1.51741,119,-0.2999
ENSG00000074800,ENO1,464,-0.0785,653,0.77335,282,-0.8275,152,-1.7525,384,-0.3535
ENSG00000171612,SLC25A33,23,-0.6731,55,1.55166,18,-0.8888,5,-2.6855,15,-1.1384
ENSG00000171603,CLSTN1,957,1.20347,470,-0.5602,122,-2.4302,350,-0.8679,554,-0.1565
ENSG00000178585,CTNNBIP1,33,0.26483,32,0.18146,20,-0.5543,30,0.01684,14,-1.1170
ENSG00000162441,LZIC,58,0.10693,47,-0.3502,113,1.19201,42,-0.4043,32,-0.8288
ENSG00000130939,UBE4B,53,0.44387,23,-1.2836,46,0.09722,51,0.24423,82,1.03457
ENSG00000054523,KIF1B,414,0.02248,307,-0.6059,511,0.35384,593,0.59985,518,0.37588
ENSG00000142657,PGD,71,0.78357,46,-0.2506,39,-0.4363,14,-1.9983,49,-0.0801
ENSG00000241563,CORT,36,0.66464,33,0.47337,2,-3.7551,15,-0.9062,7,-2.0042
ENSG00000160049,DFFA,39,-0.8279,53,-0.2286,113,1.08426,93,0.74710,71,0.30589
ENSG00000142655,PEX14,25,1.02324,17,-0.0230,7,-1.2831,3,-2.6063,8,-1.0168
ENSG00000120948,TARDBP,92,0.05729,71,-0.5009,110,0.31797,134,0.64762,92,0.03947
ENSG00000271895,AL109811.2,18,0.10923,15,-0.2859,14,-0.3067,9,-0.9659,33,1.09537
ENSG00000116649,SRM,74,0.31542,76,0.37083,37,-0.8625,36,-0.9074,40,-0.7328
ENSG00000171824,EXOSC10,37,-0.1514,25,-0.8960,51,0.39766,45,0.19231,91,1.37906
ENSG00000198793,MTOR,56,0.91624,35,-0.2275,35,-0.1870,7,-2.4963,24,-0.7807
ENSG00000120942,UBIAD1,13,-0.1749,10,-0.5982,26,0.97248,11,-0.4291,25,0.89420
ENSG00000116661,FBXO2,138,-0.1988,217,0.93968,92,-0.7701,93,-0.7475,55,-1.5465
ENSG00000132879,FBXO44,105,0.59979,75,-0.1931,22,-1.9455,55,-0.6214,105,0.39643
ENSG00000116670,MAD2L2,14,-0.0980,16,0.26004,29,1.16905,7,-0.9910,2,-2.7984
ENSG00000177000,MTHFR,15,-0.4923,18,-0.1194,16,-0.2462,38,1.12193,23,0.30481
ENSG00000011021,CLCN6,93,0.66414,66,-0.1791,35,-1.1026,40,-0.8806,73,0.04238
ENSG00000116685,KIAA2013,36,-0.0105,28,-0.4957,50,0.51883,34,-0.0877,55,0.68307
ENSG00000083444,PLOD1,19,-0.4806,29,0.42994,25,0.05011,7,-1.7793,40,0.84604
ENSG00000116688,MFN2,154,0.62407,98,-0.4250,76,-0.7055,144,0.29790,86,-0.5027
ENSG00000116691,MIIP,8,-1.3132,20,0.60123,15,-0.0512,17,0.18372,27,0.91548
ENSG00000048707,VPS13D,112,0.66641,61,-0.6924,54,-0.7250,46,-0.9699,149,0.90315
ENSG00000162496,DHRS3,18,-1.4699,56,0.94695,30,-0.3816,10,-1.9747,89,1.39938
ENSG00000116731,PRDM2,280,0.48869,158,-0.7691,163,-0.5235,343,0.65805,258,0.19271
ENSG00000189337,KAZN,78,0.31459,51,-0.6313,124,0.96523,59,-0.2307,55,-0.3403
ENSG00000142634,EFHD2,106,0.62145,66,-0.4678,10,-3.1002,94,0.21526,113,0.50465
ENSG00000116138,DNAJC16,59,1.77144,16,-1.2961,22,-0.5574,6,-2.5570,25,-0.4147
ENSG00000197312,DDI2,45,0.28886,24,-1.0421,32,-0.3247,83,1.22323,48,0.28284
ENSG00000116786,PLEKHM2,75,-0.6968,148,0.88621,43,-1.3354,155,0.64589,60,-0.8584
ENSG00000065526,SPEN,117,-0.8216,84,-1.4286,381,1.30616,471,1.70109,263,0.66604
ENSG00000116809,ZBTB17,12,-0.8046,21,0.40918,23,0.43698,29,0.78170,11,-0.7498
ENSG00000037637,FBXO42,38,0.63178,16,-1.1110,16,-0.9394,43,0.64738,44,0.65698
ENSG00000055070,SZRD1,22,-0.4001,27,0.02060,43,0.78875,22,-0.3215,32,0.29795
ENSG00000157191,NECAP2,9,-0.7122,15,0.23139,22,0.78537,3,-2.0091,25,1.02053
ENSG00000159363,ATP13A2,165,1.58727,67,-0.7188,18,-2.4782,59,-0.7388,37,-1.4141
ENSG00000117118,SDHB,65,0.19010,79,0.67789,40,-0.6047,4,-4.0124,39,-0.6498
ENSG00000117115,PADI2,15,-2.4569,55,-0.2203,273,2.77597,92,0.67265,22,-1.5665
ENSG00000179051,RCC2,34,1.00788,20,-0.3186,10,-1.2764,16,-0.5804,12,-0.9640
ENSG00000074964,ARHGEF10L,13,-0.2937,22,0.88109,6,-1.2810,6,-1.3080,15,0.00040
ENSG00000117154,IGSF21,86,0.84929,65,0.11054,8,-2.9633,25,-1.3971,42,-0.5985
ENSG00000159423,ALDH4A1,9,-1.7560,36,1.22967,20,-0.1815,11,-1.1302,39,0.90719
ENSG00000127481,UBR4,42,-0.3994,23,-1.4979,60,0.26800,119,1.42231,118,1.41589
ENSG00000127463,EMC1,50,0.73191,36,-0.0883,26,-0.5575,11,-1.7858,29,-0.3731
ENSG00000053372,MRTO4,49,0.64643,38,0.00815,15,-1.3508,14,-1.4492,37,-0.0184
ENSG00000053371,AKR7A2,26,-0.6244,48,0.83991,27,-0.3525,15,-1.2368,42,0.31434
ENSG00000077549,CAPZB,172,0.42063,148,0.06224,113,-0.3812,76,-0.9906,117,-0.3293
ENSG00000173436,MICOS10,254,-0.4050,488,1.25973,179,-0.8368,92,-1.8277,136,-1.2493
ENSG00000158747,NBL1,139,0.47355,119,0.09566,16,-2.9262,91,-0.3540,117,0.03484
ENSG00000169914,OTUD3,29,0.96727,13,-0.8914,7,-1.5103,8,-1.4025,37,0.99787
ENSG00000162545,CAMK2N1,773,-1.1274,2367,1.60096,760,-0.8978,778,-0.8616,827,-0.7692
ENSG00000090432,MUL1,18,0.24539,16,-0.0580,15,-0.0697,7,-1.2081,20,0.35385
ENSG00000158828,PINK1,442,0.39733,462,0.51428,147,-1.4317,200,-0.9671,151,-1.3889
ENSG00000244038,DDOST,26,0.03817,32,0.51753,13,-1.0675,4,-2.6916,34,0.44047
ENSG00000117245,KIF17,45,1.76317,17,-0.7181,1,-4.5133,8,-1.7511,13,-0.9516
ENSG00000189410,SH2D5,28,0.12549,33,0.55030,1,-4.3979,14,-0.9035,30,0.22990
ENSG00000127483,HP1BP3,274,-0.0406,201,-0.6854,442,0.75115,374,0.47391,352,0.37333
ENSG00000075151,EIF4G3,313,0.80394,130,-1.1250,202,-0.1887,184,-0.3293,347,0.68620
ENSG00000117298,ECE1,12,-1.2350,24,0.17372,23,0.04221,32,0.53232,49,1.25817
ENSG00000076864,RAP1GAP,193,1.16932,78,-0.9578,15,-3.0927,85,-0.5924,188,0.66075
ENSG00000090686,USP48,106,0.52463,45,-1.2536,138,0.78287,115,0.48025,81,-0.0824
ENSG00000070831,CDC42,203,0.59217,138,-0.3092,193,0.30766,51,-1.7151,143,-0.1645
ENSG00000173372,C1QA,9,-1.5329,40,2.33714,2,-3.2689,17,-0.1866,0,-6.2716
ENSG00000173369,C1QB,7,-2.1184,53,3.00591,2,-3.1408,11,-1.1328,2,-3.6744
ENSG00000004487,KDM1A,70,0.51606,43,-0.5491,26,-1.1473,44,-0.3808,96,0.87461
ENSG00000169641,LUZP1,215,1.32655,85,-0.9076,44,-1.6898,69,-1.0141,146,0.15621
ENSG00000125944,HNRNPR,133,0.11606,102,-0.4740,206,0.78976,115,-0.1542,134,0.09033
ENSG00000117318,ID3,8,-1.6582,30,0.99657,47,1.39775,6,-1.7089,17,-0.2871
ENSG00000142676,RPL11,319,-0.9353,705,0.84973,785,0.71740,504,-0.0015,169,-1.6649
ENSG00000011007,ELOA,32,-0.0478,25,-0.5383,37,0.20622,59,0.95247,34,0.08771
ENSG00000057757,PITHD1,185,0.72593,121,-0.2989,94,-0.6056,88,-0.6960,117,-0.2586
ENSG00000011009,LYPLA2,17,0.01676,17,-0.0711,5,-1.7403,17,-0.0414,31,0.96949
ENSG00000117305,HMGCL,15,-0.1200,20,0.65300,18,0.24206,10,-0.6477,2,-2.5885
ENSG00000189266,PNRC2,58,0.06786,60,0.14424,69,0.31406,12,-2.2486,67,0.26321
ENSG00000188529,SRSF10,77,0.19347,52,-0.6283,91,0.40618,33,-1.1621,137,1.08606
ENSG00000001461,NIPAL3,130,-0.3185,81,-1.2313,415,1.74142,297,1.13011,99,-0.6509
ENSG00000133226,SRRM1,183,-0.8259,104,-1.8316,605,1.32997,939,2.17853,317,0.23624
ENSG00000169504,CLIC4,25,-1.4514,47,-0.2965,248,2.82203,29,-0.9670,28,-1.0280
ENSG00000117614,SYF2,119,-0.3302,140,0.01902,190,0.51018,205,0.63254,94,-0.5989
ENSG00000117616,RSRP1,53,-0.5984,51,-0.6910,104,0.62576,57,-0.3349,201,1.79373
ENSG00000183726,TMEM50A,78,0.21809,85,0.43584,89,0.35350,6,-3.6561,34,-1.1340
ENSG00000204178,MACO1,71,0.45086,27,-1.4874,81,0.49575,82,0.52626,93,0.73509
ENSG00000157978,LDLRAP1,4,-1.7400,3,-2.1535,56,2.92115,24,1.23017,15,0.43510
ENSG00000117643,MAN1C1,54,0.50860,42,-0.0828,16,-1.4868,15,-1.5855,64,0.63521
ENSG00000162430,SELENON,23,-0.3727,34,0.48529,24,-0.1880,18,-0.6207,33,0.27036
ENSG00000117640,MTFR1L,78,0.37711,64,-0.0970,35,-1.0060,40,-0.7845,91,0.49450
ENSG00000117632,STMN1,1295,0.86104,812,-0.2842,949,0.04134,283,-1.8004,509,-0.9227
ENSG00000158008,EXTL1,39,0.38435,38,0.30056,0,-5.3061,27,-0.3200,30,-0.1433
ENSG00000142684,ZNF593,55,0.79702,39,-0.0649,20,-1.0820,9,-2.2716,36,-0.1416
ENSG00000142669,SH3BGRL3,144,-0.0880,170,0.29691,188,0.36822,110,-0.4851,94,-0.7289
ENSG00000158062,UBXN11,13,-0.4521,23,0.85131,6,-1.5365,5,-1.6131,24,0.61464
ENSG00000117682,DHDDS,30,0.75165,14,-0.8634,9,-1.3655,22,-0.0035,35,0.73366
ENSG00000198830,HMGN2,163,-0.4424,263,0.67322,263,0.43610,137,-0.5950,101,-1.0546
ENSG00000117713,ARID1A,64,-0.5339,72,-0.2788,119,0.60535,73,-0.1726,166,1.16624
ENSG00000204160,ZDHHC18,25,1.05780,12,-0.6442,10,-0.6712,14,-0.2615,9,-0.8404
ENSG00000142751,GPN2,19,0.00797,16,-0.4531,21,0.14491,33,0.83637,19,-0.0240
ENSG00000090273,NUDC,246,0.29173,259,0.42263,141,-0.6696,127,-0.8301,101,-1.1794
ENSG00000253368,TRNP1,63,0.96149,48,0.22882,5,-3.2587,13,-1.7624,16,-1.5387
ENSG00000090020,SLC9A1,35,1.78653,15,-0.5320,0,-5.7385,6,-1.7814,4,-2.0760
ENSG00000142784,WDTC1,27,-0.1789,29,-0.0029,19,-0.6328,44,0.64574,34,0.23839
ENSG00000186501,TMEM222,46,0.23148,37,-0.2456,33,-0.3355,43,0.03975,49,0.25531
ENSG00000158195,WASF2,21,-2.3076,83,0.27254,240,2.06930,81,0.15159,75,0.02854
ENSG00000126705,AHDC1,46,0.09275,29,-0.8751,34,-0.4300,65,0.60714,90,1.15898
ENSG00000126709,IFI6,133,0.13125,132,0.12468,118,-0.0979,83,-0.6462,118,-0.0936
ENSG00000009780,FAM76A,23,0.23028,11,-1.2140,33,0.69859,14,-0.6394,48,1.33175
ENSG00000117758,STX12,124,0.68857,79,-0.3821,100,0.09512,47,-1.0436,75,-0.3447
ENSG00000117751,PPP1R8,34,0.25174,30,0.00473,46,0.67745,21,-0.5878,10,-1.6709
ENSG00000117748,RPA2,56,0.29342,61,0.51192,27,-0.8947,24,-1.1114,23,-1.1239
ENSG00000126698,DNAJC8,233,0.17336,200,-0.1678,252,0.24433,180,-0.2817,211,-0.0328
ENSG00000130770,ATP5IF1,419,0.37471,470,0.67683,147,-1.3636,146,-1.3743,88,-2.1209
ENSG00000130766,SESN2,69,2.24138,20,-1.0577,3,-3.2781,5,-2.8149,11,-1.6671
ENSG00000204138,PHACTR4,14,-2.0579,21,-1.4147,105,1.50305,149,2.19758,79,1.00878
ENSG00000180098,TRNAU1AP,19,-0.5146,19,-0.4954,17,-0.5942,18,-0.4984,81,2.08333
ENSG00000120656,TAF12,18,0.56104,15,0.15639,12,-0.2613,4,-1.7129,7,-1.0230
ENSG00000198492,YTHDF2,124,1.20999,59,-0.6121,64,-0.3202,24,-1.8155,49,-0.7320
ENSG00000159023,EPB41,33,0.62189,12,-1.4815,7,-1.9639,25,-0.0348,70,1.72387
ENSG00000116350,SRSF4,93,-0.0799,71,-0.6399,115,0.28995,174,0.98128,113,0.26016
ENSG00000116353,MECR,26,0.07475,28,0.17666,11,-1.3159,31,0.32321,23,-0.1617
ENSG00000060656,PTPRU,19,0.36042,17,0.14970,7,-1.2117,17,0.14713,8,-0.9949
ENSG00000162511,LAPTM5,10,-0.7889,28,1.77635,3,-2.3407,8,-0.9165,3,-2.2983
ENSG00000162512,SDC3,38,-0.9827,64,0.09436,86,0.53755,56,-0.1459,128,1.20328
ENSG00000134644,PUM1,206,0.50439,136,-0.4374,106,-0.7132,188,0.18853,176,0.08285
ENSG00000121766,ZCCHC17,154,0.42726,101,-0.5061,142,0.15898,147,0.21140,105,-0.3156
ENSG00000121769,FABP3,65,1.18019,35,-0.3642,5,-3.0108,28,-0.6330,25,-0.7677
ENSG00000162517,PEF1,67,0.68106,47,-0.1696,37,-0.4816,8,-2.7384,58,0.20555
ENSG00000084636,COL16A1,29,-0.4444,25,-0.7266,41,0.21536,33,-0.1269,104,1.81044
ENSG00000121753,ADGRB2,190,0.29343,201,0.43273,30,-2.5724,89,-0.9824,162,-0.0520
ENSG00000184007,PTP4A2,167,-1.4494,216,-0.9911,1185,2.13920,951,1.70047,203,-0.8492
ENSG00000121774,KHDRBS1,107,-0.1684,148,0.60762,149,0.40830,36,-1.7455,65,-0.8849
ENSG00000025800,KPNA6,117,0.64283,63,-0.7363,84,-0.1073,75,-0.2896,112,0.34222
ENSG00000084652,TXLNA,31,0.35309,19,-0.6906,31,0.24137,31,0.24288,31,0.23153
ENSG00000160050,CCDC28B,7,-1.2622,25,1.43814,10,-0.5860,2,-2.5321,19,0.45507
ENSG00000084623,EIF3I,99,0.43189,94,0.31073,76,-0.1366,27,-1.6861,33,-1.4046
ENSG00000116478,HDAC1,9,-1.3356,18,0.02968,49,1.69246,25,0.53646,15,-0.2808
ENSG00000175130,MARCKSL1,66,-1.6312,130,-0.3611,718,2.87094,129,-0.2814,64,-1.3456
ENSG00000160058,BSDC1,55,0.26388,37,-0.5887,63,0.39650,51,0.04527,58,0.27425
ENSG00000160062,ZBTB8A,15,-0.3695,14,-0.5409,33,0.95839,24,0.45815,26,0.55183
ENSG00000176261,ZBTB8OS,30,-0.3846,46,0.59914,33,-0.1593,30,-0.2955,29,-0.3223
ENSG00000162521,RBBP4,117,0.27102,92,-0.2701,135,0.40600,46,-1.2630,130,0.35470
ENSG00000162522,KIAA1522,6,-1.8954,30,1.53632,1,-3.4726,23,0.46640,22,0.34696
ENSG00000134684,YARS,190,1.46762,78,-0.7721,29,-2.0263,65,-0.8465,74,-0.6429
ENSG00000116497,S100PBP,10,-0.6557,14,0.03347,31,1.29354,8,-0.8384,18,0.37747
ENSG00000160097,FNDC5,48,1.57320,26,-0.1381,6,-2.2746,1,-4.2574,0,-5.0123
ENSG00000121905,HPCA,162,0.44544,167,0.52320,6,-4.5789,83,-0.7469,75,-0.8939
ENSG00000121900,TMEM54,40,0.03170,57,0.94203,39,-0.0240,2,-4.0396,5,-2.9983
ENSG00000004455,AK2,33,-0.3353,37,-0.0979,74,1.07670,17,-1.1965,53,0.50407
ENSG00000142920,AZIN2,28,1.50092,9,-1.1753,18,0.15307,1,-3.4273,12,-0.3906
ENSG00000160094,ZNF362,16,-0.6361,23,0.20433,18,-0.2318,31,0.61082,29,0.49088
ENSG00000134686,PHC2,54,0.04539,49,-0.1394,73,0.52973,66,0.36043,27,-1.0023
ENSG00000163866,SMIM12,59,0.77292,45,0.08195,21,-1.0777,10,-2.1824,30,-0.5900
ENSG00000116544,DLGAP3,27,-0.6150,55,1.13194,2,-3.8922,45,0.38357,19,-0.9203
ENSG00000163867,ZMYM6,29,0.27934,23,-0.1855,18,-0.5582,27,0.10792,27,0.07305
ENSG00000116560,SFPQ,207,-0.7938,178,-1.0795,428,0.55482,755,1.54446,620,1.18597
ENSG00000146463,ZMYM4,74,0.39371,61,-0.0586,58,-0.1272,38,-0.7614,53,-0.2547
ENSG00000142687,KIAA0319L,74,0.15175,63,-0.1999,46,-0.6150,54,-0.3872,112,0.78717
ENSG00000020129,NCDN,562,0.90399,384,-0.0624,34,-3.6358,200,-1.0486,328,-0.2925
ENSG00000126067,PSMB2,105,0.59126,79,-0.1048,75,-0.1431,19,-2.1883,78,-0.0900
ENSG00000142686,C1orf216,101,1.28792,47,-0.6004,13,-2.3621,23,-1.5493,64,0.01288
ENSG00000134698,AGO4,18,-0.0397,15,-0.5083,14,-0.4521,30,0.75977,30,0.74085
ENSG00000092847,AGO1,33,-0.6588,42,-0.1231,34,-0.4125,86,1.08390,72,0.76596
ENSG00000126070,AGO3,45,-0.4963,31,-1.2259,130,1.38133,102,0.94368,93,0.78960
ENSG00000116863,ADPRHL2,15,0.05419,15,0.01626,21,0.58915,3,-2.1247,17,0.27886
ENSG00000054116,TRAPPC3,38,0.27167,39,0.36430,22,-0.6403,16,-1.0798,23,-0.5851
ENSG00000116871,MAP7D1,148,-0.3614,175,0.00380,262,0.65017,252,0.58894,118,-0.6099
ENSG00000054118,THRAP3,197,0.48021,104,-0.9052,217,0.47526,180,0.16994,177,0.14380
ENSG00000181817,LSM10,34,0.30492,42,0.89425,13,-1.2536,2,-3.7564,7,-2.0520
ENSG00000116885,OSCP1,19,0.49763,16,0.13879,3,-2.2811,5,-1.5469,20,0.36420
ENSG00000116898,MRPS15,53,0.24255,65,0.80603,33,-0.5743,9,-2.5105,8,-2.5587
ENSG00000163873,GRIK3,34,0.77848,13,-1.2730,2,-3.3206,40,0.76520,44,0.91437
ENSG00000163875,MEAF6,137,0.79883,96,-0.0851,27,-1.9669,47,-1.1574,92,-0.1337
ENSG00000163877,SNIP1,19,0.60760,11,-0.5488,15,0.03682,22,0.60872,4,-1.7787
ENSG00000134697,GNL2,37,0.85859,12,-1.4405,30,0.24355,55,1.21954,6,-2.1215
ENSG00000116922,C1orf109,32,1.52267,11,-1.0917,9,-1.0959,6,-1.5561,18,-0.0243
ENSG00000185090,MANEAL,28,1.22870,15,-0.3014,1,-3.4994,9,-0.9445,10,-0.8501
ENSG00000197982,C1orf122,108,-0.6113,205,0.89570,221,0.68828,41,-1.9207,76,-0.9890
ENSG00000188786,MTF1,16,-0.5365,18,-0.3663,37,0.88822,37,0.88702,23,0.11974
ENSG00000183431,SF3A3,71,0.79136,53,0.04168,30,-0.8076,15,-1.8232,29,-0.8988
ENSG00000183520,UTP11,30,0.19656,29,0.15705,21,-0.3653,13,-1.0852,29,0.12068
ENSG00000116954,RRAGC,59,0.68230,27,-0.9808,51,0.20268,47,0.07301,48,0.13170
ENSG00000174574,AKIRIN1,89,0.24973,71,-0.2623,109,0.49425,70,-0.2263,62,-0.3978
ENSG00000168653,NDUFS5,578,0.00197,870,1.08304,244,-1.3230,131,-2.2394,186,-1.7307
ENSG00000127603,MACF1,279,-1.0208,319,-0.7705,867,1.03744,751,0.79054,1078,1.42413
ENSG00000090621,PABPC4,62,-0.6334,95,0.30345,94,0.17659,130,0.70775,69,-0.2962
ENSG00000116983,HPCAL4,213,-0.2925,285,0.37853,48,-2.4357,327,0.47777,308,0.38144
ENSG00000084072,PPIE,51,0.66624,35,-0.2096,25,-0.6533,21,-0.9094,36,-0.1364
ENSG00000168389,MFSD2A,10,-0.9306,28,1.42763,16,-0.0049,11,-0.6557,2,-2.9028
ENSG00000131236,CAP1,158,0.35073,141,0.07670,140,0.04880,56,-1.3466,106,-0.3907
ENSG00000131238,PPT1,160,0.79027,126,0.16503,58,-1.0806,22,-2.4947,64,-0.9295
ENSG00000117000,RLF,33,0.37587,14,-1.3248,40,0.54310,20,-0.5221,62,1.28741
ENSG00000084073,ZMPSTE24,51,0.86954,34,-0.1002,36,0.02035,9,-2.1020,10,-1.8682
ENSG00000049089,COL9A2,4,-2.7242,12,-1.2560,83,2.32809,80,2.24587,17,-0.3803
ENSG00000084070,SMAP2,176,0.89220,90,-0.6771,44,-1.5741,122,-0.0344,137,0.16111
ENSG00000117016,RIMS3,194,0.57232,194,0.57480,2,-5.8206,59,-1.4509,74,-1.1265
ENSG00000066136,NFYC,45,0.59576,34,-0.0846,14,-1.3581,21,-0.7894,37,0.05651
ENSG00000127124,HIVEP3,25,0.13733,17,-0.7217,15,-0.6775,49,1.21035,29,0.30527
ENSG00000198815,FOXJ3,61,0.36699,45,-0.3030,27,-1.0323,34,-0.6525,88,0.85026
