Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000053371,AKR7A2,45,0.57984,71,1.36188,30,-0.0789,29,-0.1793,17,-0.9710,11,-1.5353,26,-0.3150
ENSG00000077549,CAPZB,152,-0.2641,94,-0.9973,164,-0.1656,216,0.43217,144,-0.3484,196,0.13565,204,0.19823
ENSG00000173436,MICOS10,145,-1.2229,308,-0.0661,504,0.84525,361,0.27246,165,-1.0225,214,-0.6292,249,-0.4009
ENSG00000158747,NBL1,29,-2.1590,93,-0.4350,130,0.10795,142,0.34890,109,-0.1803,166,0.48860,122,-0.0043
ENSG00000169914,OTUD3,7,-1.1786,4,-1.8987,13,-0.3439,17,0.27050,10,-0.6415,30,1.07312,24,0.70876
ENSG00000162545,CAMK2N1,1237,-0.3908,1039,-0.6591,2902,1.16419,1530,-0.0820,1633,0.04543,864,-0.9418,760,-1.1358
ENSG00000090432,MUL1,19,0.03410,26,0.51718,7,-1.5247,21,0.30179,32,0.86889,14,-0.4147,15,-0.3501
ENSG00000183114,FAM43B,1,-4.1132,7,-1.4559,14,-0.5792,19,-0.1060,13,-0.6457,26,0.41809,68,2.13285
ENSG00000158828,PINK1,146,-1.6345,265,-0.7376,444,0.06929,574,0.74687,329,-0.4059,430,0.01187,337,-0.3691
ENSG00000244038,DDOST,21,-0.7151,30,-0.1850,22,-0.7221,36,0.15837,47,0.54832,29,-0.2206,54,0.78517
ENSG00000117245,KIF17,1,-3.2168,1,-3.2352,14,-0.1645,20,0.68892,12,-0.3660,26,0.87491,18,0.25971
ENSG00000189410,SH2D5,0,-4.9947,2,-3.1014,24,0.24914,37,1.55979,22,0.06622,10,-1.0572,1,-3.5807
ENSG00000127483,HP1BP3,339,0.77841,329,0.72683,158,-0.4918,152,-0.6831,205,-0.0427,247,0.25756,272,0.41142
ENSG00000075151,EIF4G3,214,-0.3862,137,-1.0666,126,-1.2822,327,0.41979,267,-0.0434,387,0.55555,452,0.81722
ENSG00000117298,ECE1,25,0.86308,40,1.68390,10,-0.5601,9,-0.8947,24,0.79732,5,-1.6037,9,-0.7273
ENSG00000162551,ALPL,3,-2.0181,2,-2.1124,11,-0.0141,12,0.04941,37,2.02375,8,-0.4826,5,-1.0700
ENSG00000076864,RAP1GAP,21,-2.3174,21,-2.2609,78,-0.3728,111,0.30804,102,0.07353,178,0.99556,148,0.67455
ENSG00000090686,USP48,123,0.78989,70,-0.1153,34,-1.3229,66,-0.2976,83,0.13959,97,0.39283,128,0.86248
ENSG00000070831,CDC42,214,0.15208,119,-0.7569,113,-0.8996,246,0.57825,140,-0.5116,212,0.13773,241,0.34428
ENSG00000173372,C1QA,7,-1.1022,22,0.67111,37,1.92037,6,-1.7223,33,1.36552,0,-4.3483,0,-4.6762
ENSG00000173369,C1QB,6,-1.6679,40,1.20931,44,1.66698,13,-0.7875,17,-0.1746,1,-3.7235,6,-1.6753
ENSG00000133216,EPHB2,38,1.66191,5,-1.4047,8,-0.9844,11,-0.5248,17,0.32624,20,0.54657,15,0.13823
ENSG00000004487,KDM1A,38,-0.6262,22,-1.4504,35,-0.7796,64,0.27856,84,0.63200,60,0.10402,93,0.80401
ENSG00000169641,LUZP1,39,-1.9316,49,-1.6100,100,-0.5923,184,0.65995,159,0.18576,154,0.13400,216,0.68849
ENSG00000125944,HNRNPR,193,0.65687,166,0.41083,74,-0.9116,115,-0.2374,96,-0.4534,127,-0.0192,221,0.89146
ENSG00000117318,ID3,32,0.84230,124,3.78854,11,-0.9255,1,-3.9675,23,0.29537,0,-4.4517,3,-2.8189
ENSG00000142676,RPL11,860,0.77077,1007,1.04180,663,0.38462,432,-0.4606,361,-0.6170,234,-1.2710,379,-0.5426
ENSG00000011007,ELOA,59,1.32323,34,0.39496,15,-0.9823,18,-0.8235,30,0.19427,19,-0.5395,50,1.04884
ENSG00000057757,PITHD1,89,-0.5079,46,-1.4807,116,-0.1081,169,0.80971,93,-0.4281,142,0.23319,73,-0.8087
ENSG00000011009,LYPLA2,11,-0.9136,5,-2.1286,18,-0.1862,27,0.67250,24,0.27400,30,0.62156,10,-1.0529
ENSG00000117308,GALE,5,-1.4239,0,-4.6750,7,-0.8850,19,1.00710,32,1.51489,9,-0.4659,4,-1.7727
ENSG00000117305,HMGCL,21,0.75560,23,0.87821,12,-0.1790,13,-0.0443,13,0.00437,9,-0.6201,4,-1.8271
ENSG00000189266,PNRC2,79,0.60666,70,0.40168,49,-0.1974,54,-0.0165,43,-0.3802,66,0.30528,28,-1.0358
ENSG00000188529,SRSF10,108,0.70850,60,-0.2294,52,-0.5042,52,-0.6039,93,0.46598,108,0.72016,84,0.29758
ENSG00000001460,STPG1,8,-0.5459,6,-0.9116,8,-0.5214,16,0.98409,10,-0.0758,13,0.33046,2,-2.1243
ENSG00000001461,NIPAL3,319,1.44912,101,-0.4484,68,-1.1273,111,-0.4212,93,-0.5731,229,0.86277,162,0.29025
ENSG00000133226,SRRM1,370,1.18544,228,0.36763,114,-0.7890,128,-0.7295,281,0.71049,169,-0.1143,210,0.23039
ENSG00000169504,CLIC4,281,3.74798,100,1.36468,14,-1.8016,6,-3.4713,20,-1.1625,3,-3.6723,30,-0.5860
ENSG00000117614,SYF2,166,0.70480,146,0.49476,114,0.10863,91,-0.3520,97,-0.1607,70,-0.6755,110,0.03223
ENSG00000117616,RSRP1,142,0.89472,50,-0.7617,30,-1.6158,48,-1.0900,183,1.33635,232,1.78226,46,-0.9030
ENSG00000183726,TMEM50A,128,0.88141,71,-0.0688,46,-0.8135,81,0.20811,67,-0.1673,68,-0.1355,67,-0.1568
ENSG00000204178,MACO1,62,0.31028,31,-0.7929,23,-1.2966,43,-0.3764,75,0.60816,87,0.85948,91,0.93682
ENSG00000117643,MAN1C1,11,-1.6635,4,-2.9330,25,-0.5180,56,1.33056,59,0.88171,21,-0.7699,8,-2.1882
ENSG00000162430,SELENON,27,0.42499,34,0.81997,23,0.16986,12,-1.0414,34,0.83467,31,0.65325,6,-1.8466
ENSG00000117640,MTFR1L,39,-0.4104,35,-0.5664,42,-0.3073,52,0.09315,72,0.58068,66,0.43923,48,-0.0819
ENSG00000117632,STMN1,1292,-0.0505,391,-1.8664,895,-0.6776,1873,0.86838,587,-1.2624,1279,-0.0663,1841,0.52123
ENSG00000158008,EXTL1,4,-3.0280,3,-3.5354,35,0.12278,36,0.27058,41,0.37840,53,0.80760,40,0.34177
ENSG00000142684,ZNF593,26,-0.8920,21,-1.1622,48,0.07905,59,0.60181,27,-0.8361,49,0.09298,52,0.18569
ENSG00000142669,SH3BGRL3,136,-0.4585,112,-0.7571,187,0.03992,231,0.57206,116,-0.7098,217,0.27885,131,-0.5197
ENSG00000158062,UBXN11,4,-1.9668,10,-0.7158,24,0.73596,21,0.61655,15,-0.1317,13,-0.2972,3,-2.1756
ENSG00000117682,DHDDS,8,-1.1866,9,-0.8876,12,-0.5642,22,0.66592,12,-0.5170,21,0.35026,23,0.47579
ENSG00000198830,HMGN2,347,1.40776,319,1.25172,148,-0.0316,87,-1.0971,124,-0.3013,70,-1.1685,150,0.00080
ENSG00000117713,ARID1A,85,0.49897,60,-0.0640,55,-0.1942,45,-0.6854,120,1.07950,50,-0.3380,80,0.39617
ENSG00000204160,ZDHHC18,6,-1.2144,6,-1.0831,11,-0.3809,12,-0.2890,24,0.90194,22,0.81347,21,0.73003
ENSG00000142751,GPN2,24,0.72550,12,-0.3623,6,-1.5307,14,-0.1766,24,0.75339,25,0.78391,15,-0.0593
ENSG00000090273,NUDC,138,-0.4844,146,-0.3924,187,-0.0033,244,0.64187,136,-0.5003,143,-0.4280,154,-0.3138
ENSG00000253368,TRNP1,5,-3.0108,6,-2.7889,42,0.05376,68,1.37834,30,-0.4688,36,-0.2238,19,-1.1853
ENSG00000090020,SLC9A1,0,-4.8186,0,-7.1908,9,-0.6913,18,0.49276,26,0.97178,18,0.34902,24,0.84379
ENSG00000142784,WDTC1,17,-0.2271,22,0.20498,25,0.39172,17,-0.2714,18,-0.1188,39,1.12722,1,-3.7686
ENSG00000186501,TMEM222,41,0.17928,35,-0.0620,39,0.11394,35,-0.1073,44,0.28174,37,0.00046,29,-0.3862
ENSG00000158195,WASF2,166,2.24730,138,1.87310,33,-0.5676,5,-3.6786,68,0.59690,24,-1.0083,30,-0.6965
ENSG00000126705,AHDC1,11,-1.6570,26,-0.4555,28,-0.3561,27,-0.5017,67,1.08917,85,1.51263,26,-0.4452
ENSG00000126709,IFI6,72,-0.1872,82,0.03011,43,-1.0587,111,0.79246,54,-0.6303,95,0.25310,58,-0.5095
ENSG00000009780,FAM76A,20,0.27053,15,-0.0899,18,0.19333,8,-1.3512,20,0.27095,22,0.45594,35,1.25404
ENSG00000117758,STX12,127,0.23917,88,-0.3381,80,-0.5345,114,0.10015,100,-0.1415,123,0.18883,147,0.48567
ENSG00000117751,PPP1R8,53,1.30862,18,-0.4141,17,-0.5950,19,-0.4751,16,-0.5620,29,0.33911,36,0.65894
ENSG00000117748,RPA2,47,0.25217,17,-1.2564,30,-0.5111,52,0.65548,20,-1.0792,34,-0.2506,54,0.47558
ENSG00000126698,DNAJC8,297,0.36046,219,-0.1270,210,-0.2128,234,-0.0280,236,-0.0054,224,-0.0863,275,0.23982
ENSG00000130770,ATP5IF1,187,-1.5774,169,-1.7323,515,-0.0370,842,1.28477,352,-0.6247,344,-0.6590,335,-0.7026
ENSG00000204138,PHACTR4,75,1.74438,55,1.17716,17,-0.7063,8,-2.1271,58,1.27316,18,-0.6267,22,-0.3320
ENSG00000180098,TRNAU1AP,23,0.51185,21,0.34759,8,-1.2373,13,-0.5465,22,0.43441,36,1.25923,15,-0.1479
ENSG00000120656,TAF12,21,0.44503,13,-0.2955,19,0.28215,17,0.17629,8,-0.9929,8,-1.0561,19,0.24603
ENSG00000198492,YTHDF2,80,-0.1863,41,-1.2126,56,-0.7871,112,0.52591,67,-0.4503,124,0.51648,118,0.43443
ENSG00000159023,EPB41,7,-1.2049,15,-0.0790,14,-0.1737,13,-0.4731,32,1.14275,23,0.61783,18,0.18140
ENSG00000116350,SRSF4,108,0.43434,87,0.09372,63,-0.4540,68,-0.4183,109,0.45184,80,-0.0488,124,0.66638
ENSG00000116353,MECR,15,-1.1824,12,-1.4333,38,0.27890,47,0.95820,27,-0.2596,24,-0.4439,13,-1.3379
ENSG00000060656,PTPRU,5,-1.1509,3,-1.8963,13,0.15296,6,-1.3249,10,-0.2737,26,1.25542,37,1.94340
ENSG00000162511,LAPTM5,17,-0.4101,50,1.35961,43,1.29000,8,-1.9200,36,0.80671,13,-0.8065,9,-1.2793
ENSG00000162512,SDC3,75,0.04432,171,1.42300,51,-0.5967,54,-0.6386,127,0.89729,43,-0.8079,70,-0.0620
ENSG00000134644,PUM1,96,-0.4184,114,-0.1396,80,-0.7569,113,-0.2124,165,0.44278,193,0.70683,194,0.71107
ENSG00000060688,SNRNP40,28,1.25355,12,-0.0735,5,-1.5293,15,0.31118,8,-0.7486,15,0.26608,10,-0.3914
ENSG00000121766,ZCCHC17,124,-0.1564,85,-0.7410,115,-0.3067,146,0.13939,115,-0.2829,184,0.47431,189,0.51082
ENSG00000121769,FABP3,15,-3.0158,13,-3.2157,86,-0.4709,199,1.60289,21,-2.5033,125,0.15296,109,-0.0676
ENSG00000162517,PEF1,49,-0.5100,11,-2.6685,60,-0.2114,95,0.82463,66,-0.0537,72,0.08811,53,-0.3896
ENSG00000084636,COL16A1,47,0.50722,37,0.09946,22,-0.7634,32,-0.1738,37,0.11182,76,1.32952,10,-1.7732
ENSG00000121753,ADGRB2,44,-1.9322,43,-1.9576,145,-0.1487,187,0.39890,189,0.28272,281,0.94343,144,-0.1447
ENSG00000184007,PTP4A2,946,2.19504,573,1.23354,158,-0.9184,148,-1.2167,183,-0.6217,191,-0.5631,206,-0.4416
ENSG00000121774,KHDRBS1,170,0.59076,76,-0.6767,93,-0.4095,124,0.10562,105,-0.1826,75,-0.6987,191,0.78699
ENSG00000025800,KPNA6,97,0.25081,39,-1.1390,51,-0.8018,81,-0.0625,91,0.14268,108,0.41565,152,0.99722
ENSG00000084652,TXLNA,36,1.09806,20,0.14525,12,-0.7279,17,-0.2344,23,0.34977,17,-0.1288,17,-0.1620
ENSG00000160050,CCDC28B,17,-0.2282,10,-1.0640,28,0.62905,22,0.23140,15,-0.3884,15,-0.3968,17,-0.2643
ENSG00000084623,EIF3I,71,-0.4709,60,-0.7393,71,-0.5293,137,0.89445,73,-0.4268,93,-0.0584,75,-0.3917
