Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000142599,RERE,154,0.04127,147,-0.0305,191,0.45005,134,-0.1872,126,-0.3136,172,0.21289,131,-0.2446
ENSG00000074800,ENO1,242,-0.8000,286,-0.5419,199,-1.1909,754,1.04931,641,0.89840,172,-1.3169,449,0.19822
ENSG00000171612,SLC25A33,23,-0.6005,31,-0.1332,25,-0.4876,64,1.06438,44,0.50736,23,-0.6029,28,-0.2925
ENSG00000171603,CLSTN1,136,-2.4660,728,0.07568,642,-0.1385,385,-0.9200,759,0.16168,666,-0.0659,1112,0.91537
ENSG00000178585,CTNNBIP1,14,-1.0264,22,-0.3243,14,-1.1270,44,0.77542,22,-0.3546,61,1.36354,30,0.16039
ENSG00000162441,LZIC,138,1.35584,52,-0.2771,51,-0.3266,59,-0.0750,56,-0.1920,78,0.37448,39,-0.7745
ENSG00000130939,UBE4B,55,0.41276,38,-0.1844,59,0.60691,34,-0.3466,25,-0.9093,51,0.27996,41,-0.0954
ENSG00000054523,KIF1B,783,0.71236,415,-0.3212,662,0.49501,375,-0.4801,289,-0.9596,839,0.83094,384,-0.4904
ENSG00000142657,PGD,29,-0.8944,40,-0.4252,45,-0.2660,57,0.14590,40,-0.4698,55,0.09242,85,0.95709
ENSG00000241563,CORT,0,-8.3719,95,2.21466,4,-2.8746,24,-0.2479,34,0.37609,7,-2.0790,37,0.56714
ENSG00000160049,DFFA,122,1.23948,31,-0.9638,76,0.49508,78,0.47283,43,-0.5216,35,-0.8131,40,-0.6632
ENSG00000142655,PEX14,10,-1.1779,21,0.01732,16,-0.4699,23,0.11210,24,0.20898,18,-0.2402,30,0.65047
ENSG00000120948,TARDBP,142,0.60330,92,-0.0999,95,-0.0651,86,-0.2002,108,0.16926,51,-1.0178,103,0.08096
ENSG00000116649,SRM,23,-1.5485,77,0.28628,26,-1.4584,91,0.56346,103,0.91258,56,-0.2190,68,0.11021
ENSG00000171824,EXOSC10,26,-0.2828,26,-0.2646,49,0.88955,32,0.06833,21,-0.6719,12,-1.4452,37,0.30469
ENSG00000198793,MTOR,27,-0.7015,61,0.60094,32,-0.4419,37,-0.2005,45,0.12057,38,-0.1312,51,0.35611
ENSG00000116661,FBXO2,79,-1.3441,100,-0.9884,89,-1.2596,398,1.25612,321,1.03299,93,-1.1056,202,0.11649
ENSG00000132879,FBXO44,9,-3.1991,88,0.14120,61,-0.4827,57,-0.5402,115,0.67972,51,-0.7138,123,0.82375
ENSG00000177000,MTHFR,13,-1.0096,29,0.18095,38,0.75330,15,-0.8609,20,-0.4006,37,0.59563,23,-0.2001
ENSG00000011021,CLCN6,51,-0.7483,64,-0.4021,76,-0.1671,74,-0.1812,65,-0.4405,126,0.67870,118,0.65517
ENSG00000116685,KIAA2013,37,0.10559,17,-1.0844,35,0.03434,21,-0.7587,35,0.02289,42,0.29050,45,0.45921
ENSG00000083444,PLOD1,14,-0.6655,13,-0.7092,18,-0.2721,28,0.40391,26,0.33227,16,-0.4887,28,0.47934
ENSG00000116688,MFN2,84,-0.5754,130,0.10001,103,-0.2895,81,-0.6419,128,0.09284,142,0.25385,159,0.49419
ENSG00000048707,VPS13D,95,0.34372,69,-0.1673,97,0.42602,61,-0.3674,52,-0.6867,72,-0.1059,88,0.23749
ENSG00000162496,DHRS3,19,0.05409,1,-3.5823,14,-0.3914,44,1.53875,27,0.80624,3,-2.6753,14,-0.3711
ENSG00000116731,PRDM2,208,-0.3606,331,0.39021,458,1.11409,132,-1.0505,154,-0.8949,318,0.32274,196,-0.4948
ENSG00000189337,KAZN,74,0.36411,83,0.56631,64,0.14013,48,-0.3136,33,-0.9711,72,0.32413,59,0.00297
ENSG00000142634,EFHD2,27,-1.6534,24,-1.7885,105,0.51472,58,-0.4867,22,-2.0437,180,1.38883,126,0.88276
ENSG00000116138,DNAJC16,27,-0.8956,52,0.15362,64,0.54786,36,-0.4382,36,-0.4678,52,0.13921,54,0.24109
ENSG00000197312,DDI2,40,-0.0723,47,0.19141,69,0.97193,31,-0.4526,23,-0.9658,48,0.23636,33,-0.4084
ENSG00000116786,PLEKHM2,89,-0.9957,90,-0.9897,130,-0.4591,255,0.66768,226,0.53407,311,1.01202,120,-0.6011
ENSG00000065526,SPEN,478,1.42639,190,-0.1438,372,1.15703,117,-0.8987,107,-1.1202,148,-0.5318,93,-1.3383
ENSG00000116809,ZBTB17,30,0.46127,18,-0.3607,16,-0.5808,22,-0.0726,24,0.07858,24,0.06356,27,0.30544
ENSG00000037637,FBXO42,27,0.28795,12,-0.9208,28,0.38238,9,-1.3098,28,0.36698,18,-0.3573,24,0.11291
ENSG00000055070,SZRD1,53,1.05690,11,-1.4532,23,-0.3180,36,0.40117,27,-0.0315,25,-0.1810,27,-0.0689
ENSG00000159363,ATP13A2,9,-3.4143,65,-0.5932,56,-0.9133,59,-0.7404,127,0.52868,111,0.24781,172,1.16947
ENSG00000117118,SDHB,24,-1.0990,62,0.35705,17,-1.7725,54,0.12810,71,0.67908,23,-1.1621,79,0.88915
ENSG00000117115,PADI2,256,2.73909,16,-1.9862,15,-2.1606,115,1.09700,48,-0.3807,28,-1.1455,27,-1.2868
ENSG00000179051,RCC2,21,-0.4406,22,-0.4001,15,-1.0228,22,-0.3787,31,0.19357,41,0.61311,41,0.71375
ENSG00000074964,ARHGEF10L,0,-6.0240,14,-0.4528,18,-0.0331,22,0.27072,24,0.52073,23,0.37914,20,0.16064
ENSG00000117154,IGSF21,5,-3.4307,70,0.34970,47,-0.3074,41,-0.4676,69,0.39494,55,-0.0299,78,0.62160
ENSG00000159423,ALDH4A1,18,-0.0817,5,-1.9441,10,-0.9773,33,0.88766,32,0.97511,14,-0.5026,18,-0.0778
ENSG00000127481,UBR4,65,0.40087,58,0.19252,87,1.04919,38,-0.4727,33,-0.7217,62,0.30773,23,-1.3068
ENSG00000127463,EMC1,14,-1.3263,43,0.36197,34,0.00415,36,0.06706,41,0.30865,40,0.25944,30,-0.2463
ENSG00000053372,MRTO4,12,-1.8617,29,-0.5481,43,0.06299,24,-0.8583,55,0.52594,54,0.42474,50,0.34025
ENSG00000053371,AKR7A2,34,0.35356,9,-1.6857,18,-0.6596,39,0.59623,42,0.81663,20,-0.4591,25,-0.1744
ENSG00000077549,CAPZB,108,-0.6550,200,0.31780,124,-0.4965,167,0.02257,193,0.28933,127,-0.4073,205,0.40869
ENSG00000173436,MICOS10,187,-0.4342,158,-0.7007,118,-1.2398,386,0.73783,368,0.76688,263,0.10280,250,0.02632
ENSG00000158747,NBL1,41,-1.7114,95,-0.4513,81,-0.7550,121,-0.0671,156,0.39638,188,0.65330,171,0.57074
ENSG00000169914,OTUD3,7,-1.8319,24,-0.0501,36,0.69827,17,-0.6052,20,-0.4035,32,0.41102,29,0.24450
ENSG00000162545,CAMK2N1,885,-1.2455,3924,1.15500,1180,-0.8840,3003,0.68731,3203,0.93778,1446,-0.4946,879,-1.3573
ENSG00000158828,PINK1,162,-1.4236,322,-0.3687,260,-0.7671,442,0.13171,563,0.61459,443,0.13792,526,0.48072
ENSG00000244038,DDOST,9,-1.5496,34,0.50186,8,-1.8317,31,0.35200,36,0.71107,13,-0.9364,37,0.72489
ENSG00000117245,KIF17,2,-3.5423,4,-2.4175,21,-0.0530,11,-1.0351,13,-0.8612,54,1.55458,39,1.15445
ENSG00000189410,SH2D5,0,-5.5246,32,0.14546,18,-0.8254,26,-0.1783,58,1.36259,7,-2.1394,38,0.48491
ENSG00000127483,HP1BP3,516,0.79603,421,0.45263,454,0.66841,201,-0.7221,227,-0.5931,243,-0.4303,224,-0.6130
ENSG00000075151,EIF4G3,315,0.26244,305,0.20644,460,1.06110,140,-1.0051,127,-1.2520,213,-0.3643,267,-0.0086
ENSG00000117298,ECE1,42,1.09568,15,-0.6080,15,-0.6127,26,0.30353,24,0.18675,11,-1.0726,23,0.06544
ENSG00000076864,RAP1GAP,22,-2.4200,92,-0.3150,113,0.00788,60,-0.9656,58,-1.1121,134,0.28026,237,1.53675
ENSG00000090686,USP48,164,0.98010,118,0.41612,131,0.67946,55,-0.7802,55,-0.8683,70,-0.4132,67,-0.5370
ENSG00000070831,CDC42,185,0.20089,147,-0.1710,129,-0.4211,108,-0.6483,170,0.07136,135,-0.2992,231,0.65563
ENSG00000004487,KDM1A,42,-0.5976,86,0.54309,64,0.07806,28,-1.1977,61,-0.0305,45,-0.5088,83,0.55183
ENSG00000169641,LUZP1,43,-2.1309,205,0.26234,294,1.02339,96,-0.9265,93,-1.0641,211,0.30503,208,0.32107
ENSG00000125944,HNRNPR,274,1.00171,191,0.38949,140,-0.1185,92,-0.7723,156,0.06923,94,-0.7260,129,-0.2676
ENSG00000142676,RPL11,625,0.63075,315,-0.4723,135,-1.8810,931,1.33311,570,0.55015,392,-0.1283,290,-0.6607
ENSG00000011007,ELOA,54,0.69442,35,-0.0182,41,0.28055,22,-0.7063,27,-0.4865,43,0.30499,32,-0.1883
ENSG00000057757,PITHD1,71,-1.1464,159,0.10404,89,-0.8897,137,-0.1398,152,0.02789,197,0.45202,224,0.77743
ENSG00000011009,LYPLA2,8,-1.8527,22,-0.2748,19,-0.5727,33,0.36994,28,0.12480,32,0.29302,38,0.65572
ENSG00000189266,PNRC2,76,0.48429,44,-0.3884,52,-0.1396,88,0.73305,74,0.50558,31,-0.9297,36,-0.7512
ENSG00000188529,SRSF10,123,0.77361,68,-0.1859,106,0.60468,76,-0.0235,53,-0.6426,46,-0.7837,69,-0.1999
ENSG00000001461,NIPAL3,328,1.35884,86,-0.8440,181,0.37356,98,-0.6427,62,-1.4331,199,0.48518,140,-0.0964
ENSG00000133226,SRRM1,490,1.34753,309,0.54167,340,0.81870,88,-1.4316,141,-0.7775,182,-0.3115,94,-1.4221
ENSG00000169504,CLIC4,235,3.49454,5,-3.0775,13,-1.9291,39,-0.1025,28,-0.7002,24,-0.8258,17,-1.4605
ENSG00000117614,SYF2,199,0.56134,221,0.73391,160,0.22389,147,0.06186,102,-0.5668,123,-0.2184,100,-0.5990
ENSG00000117616,RSRP1,141,0.69386,88,-0.0875,136,0.73324,44,-1.1575,73,-0.4111,82,-0.1918,76,-0.3388
ENSG00000183726,TMEM50A,89,0.28187,113,0.68220,53,-0.5775,57,-0.4116,92,0.39102,29,-1.4556,83,0.20144
ENSG00000204178,MACO1,114,0.69887,148,1.15029,94,0.42859,32,-1.3182,54,-0.5490,79,0.08064,39,-1.1089
ENSG00000117643,MAN1C1,11,-2.1446,55,0.20739,37,-0.4696,35,-0.5224,82,1.03748,29,-0.7682,57,0.31068
ENSG00000162430,SELENON,31,0.31871,7,-1.9689,21,-0.3901,49,1.07958,32,0.38092,7,-2.0035,29,0.23851
ENSG00000117640,MTFR1L,39,-0.7229,59,-0.0692,50,-0.3524,69,0.18329,68,0.18419,48,-0.3867,82,0.53446
ENSG00000117632,STMN1,931,-0.2994,1316,0.25487,856,-0.4773,842,-0.4561,881,-0.4283,1072,-0.0759,1805,0.91875
ENSG00000158008,EXTL1,2,-4.0550,31,-0.5237,34,-0.4126,52,0.29178,48,0.17562,43,-0.0355,71,0.95069
ENSG00000142684,ZNF593,35,0.04518,23,-0.6033,23,-0.6684,37,0.13739,32,-0.1115,44,0.41497,46,0.54478
ENSG00000142669,SH3BGRL3,85,-0.5149,63,-0.9713,79,-0.7058,174,0.62873,146,0.38908,136,0.21935,139,0.28533
ENSG00000117682,DHDDS,2,-3.5128,22,0.10059,20,-0.0104,14,-0.5748,23,0.17123,19,-0.0863,31,0.78603
ENSG00000198830,HMGN2,324,1.20539,191,0.29832,104,-0.7238,239,0.67377,157,-0.0227,114,-0.5149,98,-0.8184
ENSG00000117713,ARID1A,103,0.24077,60,-0.6153,127,0.68584,85,-0.0720,74,-0.3187,108,0.31376,64,-0.5530
ENSG00000204160,ZDHHC18,9,-1.1295,12,-0.6979,27,0.61925,15,-0.3781,12,-0.8097,20,0.09617,29,0.78005
ENSG00000142751,GPN2,23,0.05237,27,0.31470,25,0.20857,11,-1.0178,21,-0.0975,19,-0.2868,26,0.22595
ENSG00000090273,NUDC,152,-0.8211,326,0.38423,161,-0.8013,286,0.16817,335,0.49163,253,-0.0293,283,0.16949
ENSG00000253368,TRNP1,2,-4.6145,72,0.78511,32,-0.5478,48,0.12809,48,0.14608,31,-0.5330,65,0.72543
ENSG00000090020,SLC9A1,2,-2.9715,10,-1.1716,16,-0.4926,9,-1.2026,22,0.08276,24,0.24769,44,1.51191
ENSG00000142784,WDTC1,13,-1.1477,23,-0.2656,18,-0.7055,36,0.42145,32,0.28035,39,0.55606,32,0.27183
ENSG00000186501,TMEM222,27,-0.7014,56,0.41624,25,-0.8897,42,-0.0355,48,0.20932,65,0.67145,46,0.13710
ENSG00000158195,WASF2,251,2.54155,11,-2.6106,70,0.17418,72,0.19194,37,-0.9024,59,-0.1073,14,-2.4002
ENSG00000126705,AHDC1,27,-1.2983,86,0.50638,98,0.84105,33,-0.9882,55,-0.2504,101,0.76680,39,-0.8015
ENSG00000126709,IFI6,73,-0.1359,25,-1.7651,78,-0.0416,116,0.61012,72,-0.1795,105,0.44785,89,0.20455
ENSG00000009780,FAM76A,28,-0.1042,34,0.20766,45,0.82597,22,-0.4832,16,-1.0101,51,0.90357,19,-0.7505
ENSG00000117758,STX12,117,0.32952,102,0.10107,82,-0.2815,101,0.08541,81,-0.2984,89,-0.1233,112,0.28474
ENSG00000117751,PPP1R8,36,0.25589,48,0.73023,20,-0.7082,23,-0.4503,36,0.27150,36,0.25071,26,-0.2800
ENSG00000117748,RPA2,15,-1.4657,40,-0.0380,21,-1.0650,24,-0.8261,72,1.11886,29,-0.5104,56,0.59219
ENSG00000126698,DNAJC8,302,0.47065,318,0.56062,268,0.31666,172,-0.4272,201,-0.2072,145,-0.6984,192,-0.2882
ENSG00000130770,ATP5IF1,158,-1.3118,410,0.16238,175,-1.2579,305,-0.3073,668,1.17294,211,-0.8775,467,0.43054
ENSG00000204138,PHACTR4,99,1.82418,12,-1.6018,55,0.88270,41,0.28439,13,-1.6254,31,-0.1586,14,-1.4821
ENSG00000180098,TRNAU1AP,18,-0.1069,42,1.25545,18,-0.1732,17,-0.2376,16,-0.3076,13,-0.6347,19,-0.0510
ENSG00000198492,YTHDF2,65,-0.6587,185,1.03673,105,0.10892,64,-0.6910,75,-0.4950,82,-0.2943,118,0.32215
ENSG00000159023,EPB41,3,-2.9055,11,-1.2797,50,1.23752,19,-0.5248,14,-1.1051,44,0.83222,31,0.25520
ENSG00000116350,SRSF4,135,0.57499,104,0.13967,137,0.68328,56,-0.8278,62,-0.7384,107,0.18225,77,-0.3784
ENSG00000116353,MECR,17,-0.5285,11,-1.1860,14,-0.8830,28,0.27684,26,0.16431,28,0.27828,36,0.82067
ENSG00000162512,SDC3,79,-0.0950,59,-0.5448,91,0.15478,125,0.65077,95,0.22541,69,-0.2970,67,-0.3961
ENSG00000134644,PUM1,135,-0.6522,231,0.19594,260,0.44619,144,-0.5485,158,-0.4540,275,0.47892,213,0.07078
ENSG00000121766,ZCCHC17,152,0.06244,172,0.25978,173,0.31088,69,-1.1622,158,0.13711,145,-0.0183,132,-0.1865
ENSG00000121769,FABP3,7,-2.7625,45,0.03097,28,-0.7496,21,-1.1435,58,0.52158,35,-0.3578,80,1.17450
ENSG00000162517,PEF1,37,-1.0991,59,-0.4124,52,-0.6527,46,-0.7871,117,0.81393,47,-0.7406,118,0.83406
ENSG00000084636,COL16A1,74,1.52051,1,-4.3031,27,-0.2317,46,0.67570,26,-0.2863,19,-0.6893,29,-0.0746
ENSG00000121753,ADGRB2,23,-3.1941,118,-0.8109,180,-0.1790,169,-0.2623,313,0.87522,166,-0.2845,263,0.52671
ENSG00000184007,PTP4A2,1213,2.39188,226,-0.5894,289,-0.2273,220,-0.6322,190,-0.9378,356,0.12576,158,-1.2277
ENSG00000121774,KHDRBS1,195,0.48724,170,0.26191,119,-0.3471,157,0.12736,140,-0.0590,132,-0.1442,138,-0.0890
ENSG00000025800,KPNA6,107,-0.2398,169,0.50071,164,0.50867,68,-0.9469,94,-0.4942,116,-0.1159,136,0.15336
ENSG00000084652,TXLNA,38,0.43933,28,-0.0660,24,-0.2906,33,0.19771,24,-0.2845,24,-0.3113,34,0.32034
ENSG00000160050,CCDC28B,4,-2.4521,41,0.89445,14,-0.8391,39,0.82087,37,0.85424,11,-1.0987,19,-0.3747
ENSG00000084623,EIF3I,76,-0.1398,107,0.41480,42,-1.1175,87,0.08805,117,0.64847,53,-0.7075,93,0.21723
ENSG00000175130,MARCKSL1,652,2.54783,84,-1.0437,75,-1.3264,261,0.75244,116,-0.6115,96,-0.8450,89,-1.0485
ENSG00000160058,BSDC1,47,-0.4277,75,0.33146,64,0.08741,48,-0.3938,45,-0.5180,77,0.37199,73,0.32796
ENSG00000160062,ZBTB8A,26,0.20653,29,0.37819,29,0.41548,22,-0.0350,24,0.06175,17,-0.4315,15,-0.7523
ENSG00000176261,ZBTB8OS,32,-0.1392,14,-1.3353,27,-0.4325,43,0.34103,49,0.64211,21,-0.7587,43,0.37045
ENSG00000162521,RBBP4,192,0.69636,164,0.43499,135,0.13886,81,-0.6760,127,0.02562,80,-0.6944,106,-0.2993
ENSG00000162522,KIAA1522,0,-7.8536,13,-0.5614,7,-1.6199,38,1.12759,31,0.90887,20,0.05636,23,0.30453
ENSG00000134684,YARS,37,-1.3030,90,0.03839,55,-0.7822,92,0.08273,92,0.08376,69,-0.3808,146,1.00573
ENSG00000160097,FNDC5,6,-2.8302,60,0.63265,28,-0.6154,26,-0.6910,37,-0.1401,61,0.66357,60,0.76669
ENSG00000121905,HPCA,8,-4.3796,238,0.58667,92,-0.9974,108,-0.6788,280,1.01238,151,-0.1552,208,0.41142
ENSG00000121900,TMEM54,34,-0.2376,22,-0.8633,14,-1.6371,62,0.75000,47,0.31863,72,0.99880,40,0.04557
ENSG00000004455,AK2,54,1.03193,19,-0.6585,12,-1.4189,58,1.14236,29,-0.0391,23,-0.3758,28,-0.0725
ENSG00000142920,AZIN2,18,-0.2796,41,1.08509,16,-0.4954,13,-0.7353,21,-0.0482,13,-0.7410,27,0.45446
ENSG00000160094,ZNF362,17,-0.4712,14,-0.8219,26,0.18674,24,0.03888,28,0.29073,14,-0.8349,30,0.41396
ENSG00000134686,PHC2,63,0.40594,12,-2.1290,31,-0.7836,46,-0.1070,48,-0.0417,69,0.55051,72,0.71671
ENSG00000163866,SMIM12,15,-1.6654,50,0.19231,23,-1.1124,36,-0.3260,71,0.88167,34,-0.4209,62,0.61190
ENSG00000116544,DLGAP3,7,-2.9301,41,-0.2855,41,-0.3366,83,0.84031,91,1.18908,40,-0.3439,31,-0.7766
ENSG00000163867,ZMYM6,49,1.08519,30,0.26705,33,0.45765,8,-1.7153,14,-1.0068,28,0.15019,23,-0.1625
ENSG00000116560,SFPQ,516,1.12512,216,-0.3154,400,0.79555,188,-0.5358,181,-0.6523,129,-1.1084,215,-0.3613
ENSG00000146463,ZMYM4,107,0.68170,97,0.51871,82,0.29279,41,-0.8400,52,-0.5083,67,-0.0717,61,-0.2529
ENSG00000142687,KIAA0319L,46,-0.7833,106,0.51717,79,0.05185,64,-0.2843,74,-0.0673,90,0.24248,79,0.03514
ENSG00000020129,NCDN,38,-3.7947,729,0.65166,293,-0.8820,231,-1.1653,815,0.99413,234,-1.1478,727,0.75427
ENSG00000126067,PSMB2,74,0.01762,63,-0.2243,55,-0.5008,48,-0.6595,71,-0.0482,61,-0.2765,116,0.89560
