Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000177133,PRDM16-DT,14,-1.5442,2,-4.2253,5,-2.9199,20,-1.0969,7,-2.6627,25,-0.7513,43,0.10519,175,2.59586,73,1.09082
ENSG00000158109,TPRG1L,44,-1.5695,57,-1.1791,76,-0.7427,40,-1.6890,174,0.61157,157,0.37701,192,0.80034,75,-0.7707,152,0.35921
ENSG00000130764,LRRC47,47,-0.0751,14,-1.8895,30,-0.7763,27,-0.9343,99,1.32105,69,0.54181,33,-0.6832,36,-0.4926,53,0.12722
ENSG00000116198,CEP104,67,0.76682,121,1.81365,52,0.35944,62,0.64489,12,-1.9710,36,-0.2006,13,-1.8172,63,0.67774,23,-0.9733
ENSG00000196581,AJAP1,73,1.35627,27,-0.2813,22,-0.5799,41,0.37265,63,1.25688,18,-0.8939,28,-0.2353,5,-2.5912,9,-1.9613
ENSG00000069424,KCNAB2,177,0.10959,49,-1.8352,43,-2.0107,15,-3.5726,175,0.10745,186,0.19222,278,0.96823,63,-1.4587,269,0.89845
ENSG00000116254,CHD5,993,1.95840,71,-2.2462,912,1.79648,82,-2.0284,140,-1.3260,276,-0.2152,321,0.02525,268,-0.2566,136,-1.3659
ENSG00000116251,RPL22,451,-1.0434,855,-0.0648,1255,0.54886,1463,0.80273,632,-0.5759,997,0.17924,1130,0.42320,512,-0.8519,815,-0.1525
ENSG00000116237,ICMT,37,0.34159,42,0.52437,14,-1.1839,1,-4.5031,43,0.65596,12,-1.4124,22,-0.5298,18,-0.7326,53,1.04703
ENSG00000097021,ACOT7,54,-0.9041,28,-1.8969,34,-1.6115,8,-3.5659,307,2.44189,49,-1.0507,95,-0.0601,58,-0.8127,71,-0.5476
ENSG00000007923,DNAJC11,17,-0.7177,21,-0.3833,32,0.26224,2,-3.8240,35,0.42022,26,-0.1119,21,-0.4412,33,0.27378,43,0.82520
ENSG00000171735,CAMTA1,638,1.02163,204,-0.7948,339,-0.0091,231,-0.6033,347,0.03196,283,-0.2927,384,0.20796,234,-0.5825,351,0.04804
ENSG00000049245,VAMP3,22,-1.1616,104,1.31098,15,-1.7278,73,0.70617,24,-1.1045,56,0.27381,33,-0.5603,82,0.90874,48,0.05164
ENSG00000049246,PER3,49,0.22868,28,-0.6272,29,-0.5838,15,-1.5294,29,-0.6338,73,0.86736,18,-1.3809,102,1.43761,60,0.61990
ENSG00000116288,PARK7,202,-1.2115,232,-1.0015,281,-0.7117,423,-0.0830,507,0.22424,346,-0.3943,606,0.55141,443,-0.0077,598,0.52516
ENSG00000142599,RERE,285,1.22973,156,0.23123,148,0.14894,186,0.50960,89,-0.6871,109,-0.3325,101,-0.4900,122,-0.1612,116,-0.2493
ENSG00000074800,ENO1,323,-1.3471,313,-1.3909,203,-2.0370,533,-0.5892,602,-0.4385,385,-1.0825,655,-0.2967,1767,1.35478,1662,1.45997
ENSG00000171612,SLC25A33,33,-1.3315,14,-2.5812,45,-0.8821,10,-3.0349,47,-0.8822,27,-1.6392,90,0.20317,184,1.38694,186,1.65669
ENSG00000171603,CLSTN1,480,0.48456,182,-1.0212,226,-0.6938,161,-1.2042,732,1.39311,208,-0.8209,227,-0.7388,381,0.11640,346,-0.0377
ENSG00000178585,CTNNBIP1,30,-0.7084,5,-3.3001,48,0.00752,48,0.01408,40,-0.3021,36,-0.4541,74,0.78359,43,-0.1518,68,0.63351
ENSG00000162441,LZIC,74,-0.2108,134,0.74669,126,0.64494,116,0.50273,53,-0.7787,70,-0.2923,59,-0.6075,81,-0.0599,95,0.19686
ENSG00000130939,UBE4B,22,-0.2509,67,1.54452,20,-0.4089,3,-3.1230,41,0.77893,7,-1.8925,12,-1.2357,25,-0.0641,33,0.38727
ENSG00000054523,KIF1B,301,0.00450,529,0.92046,283,-0.0931,505,0.84027,237,-0.3997,185,-0.7448,199,-0.6832,406,0.48190,261,-0.2425
ENSG00000142657,PGD,37,-0.1295,36,-0.1872,20,-1.0350,29,-0.5297,58,0.64153,28,-0.5829,21,-1.0232,69,0.87088,54,0.49976
ENSG00000241563,CORT,78,-0.5011,26,-2.1224,58,-0.9507,68,-0.7017,150,0.59937,59,-0.9077,41,-1.5495,34,-1.7227,293,2.04300
ENSG00000160049,DFFA,112,0.96013,76,0.32792,44,-0.5294,16,-2.0418,45,-0.5462,74,0.26753,42,-0.6391,63,0.02886,93,0.72669
ENSG00000120948,TARDBP,119,0.52391,112,0.42750,71,-0.3015,44,-1.0263,108,0.40985,116,0.47517,52,-0.8124,74,-0.2258,86,0.00907
ENSG00000116649,SRM,54,-0.7551,28,-1.7275,36,-1.3732,34,-1.4489,95,0.11116,85,-0.0751,90,0.02206,82,-0.1137,188,1.44563
ENSG00000171824,EXOSC10,93,1.74296,33,-0.0125,12,-1.5463,36,0.14353,36,0.15057,39,0.27043,13,-1.4168,33,0.01434,25,-0.4421
ENSG00000198793,MTOR,51,0.70126,34,0.03292,9,-1.8983,17,-1.0003,49,0.70784,12,-1.5296,12,-1.5765,55,0.82196,48,0.66522
ENSG00000116661,FBXO2,130,-1.1404,90,-1.6907,36,-3.0046,118,-1.2828,230,-0.2964,326,0.27403,266,-0.0547,189,-0.5735,704,1.90160
ENSG00000132879,FBXO44,94,0.38746,18,-2.0680,11,-2.8288,51,-0.5585,120,0.89266,29,-1.4324,73,-0.0262,58,-0.3724,119,0.87669
ENSG00000011021,CLCN6,31,-0.5491,23,-1.0169,33,-0.4737,49,0.15421,45,0.02070,47,0.08455,31,-0.5980,49,0.13407,76,0.96786
ENSG00000116685,KIAA2013,33,0.15556,53,0.93335,4,-3.0289,50,0.81949,30,-0.0101,28,-0.1088,18,-0.8635,22,-0.4627,37,0.37980
ENSG00000116688,MFN2,75,-0.0182,84,0.14924,38,-1.0438,41,-0.9408,121,0.84778,112,0.60866,83,0.15095,37,-1.1094,59,-0.4201
ENSG00000048707,VPS13D,77,0.67753,45,-0.1690,44,-0.2144,24,-1.0925,64,0.43552,49,-0.0430,38,-0.4522,63,0.34784,48,-0.0758
ENSG00000116731,PRDM2,381,1.21900,180,-0.0091,423,1.40307,158,-0.2187,167,-0.1459,108,-0.7975,152,-0.3026,134,-0.4681,78,-1.3612
ENSG00000189337,KAZN,70,0.28340,91,0.71440,79,0.48010,37,-0.7168,54,-0.1449,30,-1.0209,45,-0.4334,41,-0.5617,78,0.51746
ENSG00000142634,EFHD2,142,1.28996,36,-0.9204,151,1.39756,53,-0.3108,44,-0.6299,51,-0.3597,58,-0.1893,39,-0.7916,51,-0.4070
ENSG00000116786,PLEKHM2,53,-1.4860,49,-1.6070,132,-0.1067,46,-1.6786,103,-0.5216,164,0.23678,312,1.54569,131,-0.1149,143,0.02404
ENSG00000065526,SPEN,214,0.83751,300,1.42581,216,0.85569,190,0.64209,72,-0.9315,127,-0.0011,48,-1.5530,105,-0.2999,67,-1.0572
ENSG00000055070,SZRD1,31,-0.2823,56,0.66514,34,-0.1349,20,-0.9001,19,-1.0649,79,1.23092,30,-0.3424,43,0.24646,41,0.18119
ENSG00000159363,ATP13A2,58,-0.3386,31,-1.2691,39,-0.9303,10,-2.9552,104,0.65359,37,-1.0398,82,0.22509,67,-0.1123,127,1.03539
ENSG00000117118,SDHB,23,-2.0587,68,-0.4580,28,-1.7842,40,-1.2429,130,0.63806,74,-0.3241,114,0.40109,96,0.08072,138,0.75358
ENSG00000117115,PADI2,32,-1.5042,342,2.42652,37,-1.2771,48,-0.8876,26,-1.8771,39,-1.1968,45,-1.0708,99,0.21691,148,0.99782
ENSG00000117154,IGSF21,63,0.13191,56,-0.0596,47,-0.3129,25,-1.2563,94,0.87720,92,0.74355,68,0.28160,24,-1.3423,32,-0.9572
ENSG00000159423,ALDH4A1,21,-1.1276,18,-1.3466,4,-3.3232,27,-0.7929,16,-1.6853,51,0.17601,80,1.05872,99,1.29266,65,0.64922
ENSG00000127481,UBR4,56,0.77646,58,0.82155,37,0.10642,29,-0.2396,28,-0.3416,32,-0.1342,23,-0.6773,53,0.67805,24,-0.6185
ENSG00000127463,EMC1,20,-0.4621,24,-0.1925,3,-3.1064,25,-0.0989,42,0.78674,14,-0.9707,3,-3.0661,52,1.05417,48,1.04931
ENSG00000053372,MRTO4,21,-1.2566,21,-1.2289,13,-1.9737,38,-0.3411,60,0.40726,58,0.30674,85,1.05052,32,-0.6352,51,0.10979
ENSG00000053371,AKR7A2,24,-1.3796,57,-0.0577,45,-0.4133,20,-1.6215,40,-0.6563,59,-0.0115,53,-0.1989,94,0.72945,114,1.22531
ENSG00000077549,CAPZB,188,-0.3078,134,-0.8302,127,-0.9077,84,-1.5203,314,0.56139,240,0.07225,219,-0.0773,250,0.13448,332,0.66526
ENSG00000173436,MICOS10,245,-0.9569,232,-1.0425,799,0.90612,476,0.06462,394,-0.2522,551,0.29414,701,0.77716,381,-0.2860,307,-0.6665
ENSG00000158747,NBL1,163,0.07419,71,-1.1976,116,-0.4558,48,-1.7822,162,0.06711,136,-0.2165,167,0.11868,137,-0.2023,271,1.02450
ENSG00000162545,CAMK2N1,1640,-1.0753,1354,-1.3622,2233,-0.6076,1235,-1.4994,3471,0.08526,4659,0.55010,5543,0.95593,1811,-0.9255,4350,0.49028
ENSG00000158828,PINK1,229,-0.7816,176,-1.1761,361,-0.0774,254,-0.6199,468,0.37003,445,0.25323,590,0.80586,204,-0.9562,385,0.02369
ENSG00000244038,DDOST,35,0.01821,28,-0.3120,13,-1.4544,22,-0.7082,48,0.56678,21,-0.7395,11,-1.7734,51,0.61464,64,1.13382
ENSG00000127483,HP1BP3,363,0.60930,530,1.24779,253,0.03112,462,1.01023,163,-0.7062,227,-0.1407,133,-1.0227,235,-0.0880,159,-0.7375
ENSG00000075151,EIF4G3,405,1.35181,209,0.24748,211,0.26345,165,-0.1239,253,0.62144,123,-0.5748,115,-0.7384,118,-0.6459,90,-1.1228
ENSG00000076864,RAP1GAP,151,1.45110,38,-0.7742,13,-2.3190,28,-1.2304,112,1.06862,30,-1.1055,40,-0.7503,38,-0.7874,77,0.34804
ENSG00000090686,USP48,125,0.92941,137,1.08157,84,0.27646,117,0.81594,59,-0.2868,77,0.14703,20,-1.9906,56,-0.3497,45,-0.7375
ENSG00000070831,CDC42,137,-0.5743,218,0.14547,138,-0.5609,225,0.19759,282,0.63072,222,0.18038,135,-0.6369,173,-0.2162,217,0.15632
ENSG00000173372,C1QA,29,-0.7164,9,-2.4319,21,-1.1669,0,-7.5663,29,-0.7513,165,2.19739,46,6.13834,30,-0.6896,76,0.89523
ENSG00000159189,C1QC,16,-1.3661,24,-0.8063,29,-0.4745,20,-1.0346,13,-1.7571,133,2.05865,26,-0.7417,34,-0.2581,74,1.13097
ENSG00000173369,C1QB,34,-0.9467,15,-2.0841,22,-1.5482,19,-1.8032,33,-1.0283,285,2.73723,51,-0.3564,46,-0.4619,81,0.45114
ENSG00000004487,KDM1A,58,0.33624,29,-0.7420,51,0.13227,97,1.19010,60,0.45791,33,-0.5202,14,-1.9272,37,-0.3406,54,0.23969
ENSG00000169641,LUZP1,228,1.47647,50,-0.9762,192,1.17356,47,-1.0392,113,0.32821,118,0.35599,58,-0.7948,81,-0.2358,34,-1.6109
ENSG00000125944,HNRNPR,130,-0.1131,250,0.95118,107,-0.4085,199,0.57415,156,0.20306,113,-0.3190,95,-0.6306,113,-0.3182,127,-0.1554
ENSG00000117318,ID3,23,-1.9131,75,-0.1161,17,-2.3411,21,-2.0380,5,-4.0175,502,3.54175,0,-7.7599,4,-4.3566,160,1.28692
ENSG00000142676,RPL11,413,-1.2133,1066,0.24446,1050,0.21981,1361,0.64053,592,-0.7237,1285,0.54582,1156,0.41790,524,-0.8549,884,-0.0566
ENSG00000011007,ELOA,77,1.31523,50,0.59232,31,-0.1805,59,0.86847,26,-0.4802,51,0.62609,30,-0.2569,21,-0.7832,7,-2.4051
ENSG00000057757,PITHD1,116,0.06152,93,-0.2841,76,-0.6035,82,-0.4886,198,1.06003,69,-0.7421,117,0.07272,92,-0.3039,93,-0.3165
ENSG00000189266,PNRC2,71,-0.0748,96,0.40863,27,-1.5018,119,0.75338,76,0.04960,126,0.85559,63,-0.2894,69,-0.1223,53,-0.5744
ENSG00000188529,SRSF10,90,0.30901,111,0.64611,36,-1.1044,69,-0.1197,73,-0.0233,133,0.93950,34,-1.2712,115,0.69331,62,-0.3105
ENSG00000001461,NIPAL3,134,0.54157,313,2.04016,85,-0.1809,71,-0.4556,70,-0.5299,89,-0.1087,53,-0.9748,29,-1.8007,90,-0.0987
ENSG00000133226,SRRM1,482,1.06112,493,1.10014,551,1.29243,266,0.08861,132,-1.0536,264,0.07483,156,-0.7957,218,-0.2242,85,-1.7420
ENSG00000169504,CLIC4,33,-1.2800,289,2.29534,21,-1.9481,85,0.14675,14,-2.6263,303,2.39408,28,-1.6294,13,-2.6530,52,-0.6764
ENSG00000117614,SYF2,146,-0.0641,184,0.30183,219,0.58215,231,0.66917,122,-0.3705,111,-0.4908,126,-0.3249,159,0.07348,140,-0.1423
ENSG00000117616,RSRP1,255,1.93367,140,0.86442,16,-2.4528,24,-1.8666,87,0.10751,85,0.05167,15,-2.6157,57,-0.5684,102,0.38265
ENSG00000183726,TMEM50A,59,-0.4888,121,0.64530,41,-1.0447,71,-0.2014,98,0.33993,114,0.54556,69,-0.2603,65,-0.3294,82,0.02919
ENSG00000204178,MACO1,117,1.54637,100,1.26800,85,0.98708,11,-2.1305,41,-0.2155,43,-0.1129,24,-1.0284,39,-0.2648,14,-1.8247
ENSG00000117643,MAN1C1,20,-0.1229,4,-2.2570,3,-2.9330,14,-0.6001,47,1.49037,13,-0.7693,21,-0.0579,6,-1.9436,31,0.66920
ENSG00000162430,SELENON,48,0.58721,26,-0.3474,2,-3.7056,9,-1.8394,13,-1.4887,53,0.77290,38,0.27008,29,-0.2141,62,1.19107
ENSG00000117640,MTFR1L,40,-0.5594,28,-1.1011,45,-0.3699,47,-0.3316,66,0.22587,69,0.28544,52,-0.1823,86,0.64016,71,0.36570
ENSG00000117632,STMN1,631,-0.6488,908,-0.0869,1067,0.16765,687,-0.5190,1908,1.30938,473,-1.0832,1196,0.39075,582,-0.7720,479,-1.1397
ENSG00000158008,EXTL1,38,0.10019,1,-4.3707,42,0.26427,3,-3.2836,46,0.46083,22,-0.7412,53,0.71959,6,-2.6828,58,0.88704
ENSG00000142684,ZNF593,28,-0.4642,20,-0.9766,26,-0.6091,27,-0.5157,59,0.77730,26,-0.5676,44,0.25954,24,-0.7297,50,0.49410
ENSG00000142669,SH3BGRL3,122,-0.7970,146,-0.5218,130,-0.6988,242,0.26706,197,-0.0605,275,0.47493,274,0.52924,158,-0.4006,218,0.11056
ENSG00000158062,UBXN11,10,-1.4307,17,-0.6616,20,-0.4256,7,-2.0086,22,-0.2850,37,0.55038,52,1.25921,17,-0.6746,30,0.24338
ENSG00000198830,HMGN2,185,-0.5890,431,0.74527,156,-0.8505,441,0.78446,186,-0.6328,289,0.09932,232,-0.2665,230,-0.2597,344,0.42151
ENSG00000117713,ARID1A,111,0.58299,136,0.92598,23,-1.8093,78,0.02645,52,-0.6604,87,0.20056,40,-1.0813,104,0.47282,101,0.47512
ENSG00000090273,NUDC,148,-0.7199,161,-0.5952,299,0.37314,232,-0.0260,286,0.33807,271,0.21754,282,0.31237,219,-0.1203,184,-0.4190
ENSG00000253368,TRNP1,40,-0.3060,3,-4.0353,17,-1.5878,5,-3.1711,63,0.45449,59,0.29348,87,1.07972,39,-0.3372,60,0.38457
ENSG00000142784,WDTC1,35,0.23406,20,-0.6508,45,0.62036,9,-1.8033,18,-0.8855,33,0.15525,35,0.22442,11,-1.5326,53,1.03849
ENSG00000186501,TMEM222,62,0.61593,40,-0.0866,4,-3.3997,15,-1.5635,38,-0.1924,35,-0.2854,36,-0.2737,55,0.41563,74,1.04425
ENSG00000158195,WASF2,40,-0.9583,250,2.09150,57,-0.4025,80,0.11412,12,-2.8147,140,1.02512,37,-1.1183,92,0.34107,67,-0.1721
ENSG00000126705,AHDC1,96,1.62699,26,-0.5192,11,-1.7875,34,-0.1180,39,0.13980,40,0.14066,26,-0.5317,39,0.10055,29,-0.3433
ENSG00000126709,IFI6,170,0.62812,93,-0.3247,123,0.10380,232,1.15711,96,-0.3046,209,0.97510,44,-1.5426,34,-1.8233,118,0.04772
ENSG00000117758,STX12,78,-0.5801,80,-0.5355,109,-0.0605,134,0.26100,130,0.23690,159,0.53103,94,-0.3163,63,-0.9011,146,0.44147
ENSG00000117751,PPP1R8,46,0.84123,31,0.22162,31,0.23593,19,-0.5190,30,0.19078,12,-1.1594,19,-0.6042,23,-0.2499,32,0.28086
ENSG00000117748,RPA2,40,-0.5075,49,-0.1743,19,-1.5815,40,-0.4750,109,1.28801,16,-1.8205,49,-0.1894,58,0.09025,61,0.17115
ENSG00000126698,DNAJC8,174,-0.5892,363,0.56227,382,0.64780,367,0.58226,237,-0.1262,185,-0.5025,264,0.05589,204,-0.3499,193,-0.4679
ENSG00000130770,ATP5IF1,236,-1.3055,98,-2.5906,427,-0.4054,320,-0.8457,1029,1.16303,464,-0.2778,790,0.63867,470,-0.2585,499,-0.1790
ENSG00000198492,YTHDF2,60,0.08155,73,0.38556,30,-0.9906,39,-0.5943,103,1.09430,33,-0.8363,38,-0.6760,98,0.86217,36,-0.7726
ENSG00000116350,SRSF4,147,0.69343,94,-0.0200,212,1.31571,103,0.11628,69,-0.5501,78,-0.3109,60,-0.7584,88,-0.1362,83,-0.2409
ENSG00000116353,MECR,17,-0.5712,0,-6.3899,23,-0.1106,11,-1.2194,43,1.01819,28,0.20225,45,1.11386,22,-0.1627,9,-1.5046
ENSG00000162511,LAPTM5,21,-1.9332,21,-1.9091,65,-0.2531,23,-1.8158,36,-1.2209,362,2.81501,51,-0.6706,52,-0.5998,102,0.49340
ENSG00000162512,SDC3,213,0.90547,80,-0.6556,22,-2.5225,136,0.17301,80,-0.7010,69,-0.8689,105,-0.2446,187,0.68889,192,0.82929
ENSG00000134644,PUM1,193,0.84766,154,0.47261,122,0.10147,106,-0.1124,148,0.45686,99,-0.2177,61,-1.0349,89,-0.3853,95,-0.3082
ENSG00000121766,ZCCHC17,124,-0.1114,174,0.42980,81,-0.7646,156,0.24965,179,0.52866,104,-0.3797,173,0.46508,101,-0.4211,76,-0.9166
ENSG00000121769,FABP3,36,-1.0610,30,-1.3372,37,-1.0059,36,-1.0350,158,1.51929,57,-0.3719,102,0.62004,24,-1.6334,62,-0.2481
ENSG00000162517,PEF1,77,0.43089,14,-2.0899,15,-1.9978,0,-7.4512,108,1.12216,70,0.27731,56,-0.0950,44,-0.4563,80,0.53556
ENSG00000084636,COL16A1,78,1.02999,70,0.85113,13,-1.7436,14,-1.6222,23,-0.9210,46,0.17109,13,-1.8507,94,1.35106,54,0.48121
ENSG00000121753,ADGRB2,158,0.40487,48,-1.4316,58,-1.1466,45,-1.4988,197,0.86928,124,0.02847,130,0.10783,53,-1.2658,164,0.52257
ENSG00000184007,PTP4A2,258,-0.4806,1312,2.30687,378,0.11030,993,1.75627,155,-1.3323,195,-0.9056,214,-0.8235,109,-1.7764,120,-1.7260
ENSG00000121774,KHDRBS1,95,-0.5546,186,0.49707,93,-0.5824,116,-0.2482,219,0.87872,136,0.00722,80,-0.8800,99,-0.4946,154,0.21540
ENSG00000025800,KPNA6,122,0.94688,83,0.31751,36,-0.9737,57,-0.2677,96,0.60986,74,0.13453,43,-0.7544,53,-0.3887,57,-0.3069
ENSG00000160050,CCDC28B,4,-2.9451,22,-0.5666,3,-3.3170,49,0.70653,48,0.75150,1,-5.0470,25,-0.3948,38,0.30597,58,1.13089
ENSG00000084623,EIF3I,59,-0.7290,57,-0.7722,57,-0.7675,124,0.43285,120,0.41740,69,-0.4895,88,-0.1220,100,0.09084,126,0.51554
ENSG00000175130,MARCKSL1,197,-1.0208,1161,1.88779,127,-1.6719,407,0.09284,159,-1.4303,215,-0.8934,304,-0.3948,330,-0.2360,622,0.88577
ENSG00000160058,BSDC1,71,0.32587,77,0.46149,75,0.40661,32,-0.8816,57,-0.0398,35,-0.7682,41,-0.5638,61,0.09215,73,0.41772
ENSG00000176261,ZBTB8OS,25,-1.0314,38,-0.4390,62,0.34292,26,-1.0073,58,0.25816,67,0.45982,74,0.69119,48,-0.0686,36,-0.5539
ENSG00000162521,RBBP4,106,-0.2008,141,0.23742,50,-1.3366,142,0.25392,119,-0.0322,122,0.01887,74,-0.8237,160,0.44394,173,0.64200
ENSG00000134684,YARS,38,-0.9910,45,-0.7265,46,-0.6813,33,-1.1655,155,1.47540,37,-1.0186,52,-0.5362,66,-0.1288,92,0.43912
ENSG00000160097,FNDC5,29,0.01724,3,-3.0565,31,0.12853,6,-2.3661,42,0.66683,3,-3.3009,46,0.84217,33,0.23317,32,0.19808
ENSG00000121905,HPCA,74,-1.4609,19,-3.4070,98,-1.0557,25,-3.0363,446,1.62462,172,-0.1910,318,0.90505,93,-1.1305,162,-0.3076
ENSG00000121900,TMEM54,12,-2.1886,44,-0.3172,52,-0.0643,85,0.70952,33,-0.8058,38,-0.5307,72,0.49240,48,-0.2002,81,0.72363
ENSG00000004455,AK2,41,-0.1123,54,0.31823,9,-2.3756,94,1.24316,25,-0.9219,67,0.67825,31,-0.5782,49,0.16371,51,0.26058
ENSG00000134686,PHC2,29,-0.9438,99,0.95456,35,-0.6801,31,-0.8477,42,-0.4499,106,1.07847,33,-0.8402,43,-0.3702,82,0.72413
ENSG00000163866,SMIM12,10,-1.7363,7,-2.2263,38,0.23149,25,-0.3757,60,1.13393,47,0.59133,42,0.44476,37,0.19699,11,-1.6833
ENSG00000116544,DLGAP3,51,-0.2701,17,-1.9165,31,-1.0084,33,-0.9188,51,-0.2816,92,0.66721,89,0.69579,23,-1.4522,99,0.90881
ENSG00000116560,SFPQ,635,1.33167,466,0.80109,463,0.79120,268,-0.0889,193,-0.6465,265,-0.1089,146,-1.0862,331,0.24297,150,-1.0494
ENSG00000146463,ZMYM4,103,0.85346,80,0.44133,64,0.06922,117,1.06539,61,0.00330,37,-0.7443,38,-0.7825,62,0.01996,35,-0.9280
ENSG00000142687,KIAA0319L,57,-0.1058,71,0.24924,53,-0.2040,27,-1.2341,47,-0.4380,72,0.25849,56,-0.1255,72,0.26485,86,0.61200
