Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000175756,AURKAIP1,83,-0.8939,100,-0.6126,184,0.33818,148,-0.0069,167,0.17800,103,-0.6164,210,0.61636,159,0.13449
ENSG00000221978,CCNL2,64,0.01184,24,-1.4663,42,-0.6523,32,-1.0348,123,1.07373,83,0.47816,62,-0.0347,62,-0.0374
ENSG00000242485,MRPL20,67,-1.0363,162,0.31050,117,-0.1924,132,-0.0065,141,0.08855,79,-0.8591,213,0.86207,130,-0.0348
ENSG00000235098,ANKRD65,26,-0.2797,35,0.19329,31,-0.0207,18,-0.7992,14,-1.1999,20,-0.7500,39,0.41354,44,0.68929
ENSG00000179403,VWA1,68,1.66858,8,-1.5934,53,1.24341,60,1.43312,59,1.42418,5,-2.4877,13,-1.0695,5,-2.5237
ENSG00000205090,TMEM240,6,-2.1853,27,-0.0330,17,-0.7318,22,-0.3510,11,-1.3947,25,-0.1684,25,-0.1903,50,1.27645
ENSG00000160075,SSU72,64,-1.2162,115,-0.3254,143,0.01351,105,-0.4637,175,0.33959,131,-0.1284,186,0.48939,154,0.16291
ENSG00000228594,FNDC10,5,-2.6930,27,-0.3504,46,0.47890,33,-0.0174,41,0.29738,21,-0.7865,26,-0.4401,53,0.95086
ENSG00000197530,MIB2,10,-1.9941,27,-0.5303,38,-0.0144,31,-0.3287,54,0.53669,32,-0.3101,39,-0.0099,54,0.67454
ENSG00000248333,CDK11B,122,1.27428,84,0.65427,19,-1.6301,45,-0.3471,55,-0.0334,68,0.33170,49,-0.2299,38,-0.6923
ENSG00000189339,SLC35E2B,9,-1.3742,29,0.32245,19,-0.3634,12,-0.9803,29,0.30407,25,0.08244,17,-0.5335,34,0.73563
ENSG00000008128,CDK11A,70,1.34288,15,-1.0946,16,-1.0276,20,-0.6651,96,1.93095,38,0.38966,19,-0.7605,13,-1.5180
ENSG00000008130,NADK,8,-1.6677,20,-0.3247,30,0.28858,26,0.03858,22,-0.1779,27,0.15258,25,0.02102,30,0.32256
ENSG00000078369,GNB1,140,-1.9043,641,0.41989,669,0.48995,493,0.00105,478,-0.0451,395,-0.3732,573,0.26730,517,0.09468
ENSG00000187730,GABRD,7,-4.6370,86,-1.0680,129,-0.4553,44,-2.0737,149,-0.2333,163,-0.1048,106,-0.8101,376,1.81916
ENSG00000067606,PRKCZ,77,-1.5333,254,0.28768,196,-0.1146,107,-1.0361,152,-0.5134,180,-0.2692,253,0.31915,294,0.67826
ENSG00000162585,FAAP20,34,-0.1853,35,-0.1168,49,0.41375,46,0.30171,64,0.85332,19,-1.0750,33,-0.2237,40,0.11940
ENSG00000157933,SKI,32,0.00238,26,-0.3262,42,0.40729,75,1.37898,32,-0.0180,32,-0.0157,7,-2.3492,34,0.11182
ENSG00000157916,RER1,30,-0.9494,9,-2.5834,56,0.03216,97,0.90661,77,0.52449,51,-0.1352,40,-0.5375,70,0.48851
ENSG00000157911,PEX10,26,0.28934,3,-2.7913,30,0.50532,44,1.14836,46,1.19209,9,-1.4231,19,-0.1973,19,-0.2823
ENSG00000157870,PRXL2B,18,-1.4272,29,-0.6757,35,-0.3931,40,-0.1882,42,-0.1334,38,-0.3047,45,-0.0197,72,0.96483
ENSG00000158109,TPRG1L,34,-2.7232,176,-0.2702,230,0.14850,101,-1.1054,158,-0.4326,184,-0.2167,295,0.62072,284,0.62231
ENSG00000130764,LRRC47,31,-1.3150,50,-0.6107,53,-0.5186,39,-0.9823,54,-0.4948,73,-0.0442,100,0.53259,107,0.73894
ENSG00000116198,CEP104,122,1.83489,35,-0.2488,28,-0.5819,36,-0.2117,64,0.69942,29,-0.5916,27,-0.6631,32,-0.4507
ENSG00000196581,AJAP1,24,-1.0618,72,0.61808,22,-1.2018,29,-0.7844,14,-1.8351,74,0.73563,42,-0.2558,65,0.56022
ENSG00000069424,KCNAB2,15,-3.8685,186,-0.1680,300,0.59618,150,-0.5003,94,-1.2003,206,-0.0051,224,0.13916,292,0.71101
ENSG00000116254,CHD5,47,-2.5445,407,0.74858,211,-0.2951,181,-0.5357,221,-0.2254,373,0.68460,164,-0.7404,309,0.37528
ENSG00000116251,RPL22,871,0.94787,719,0.62806,620,0.38692,561,0.22456,416,-0.2427,309,-0.7535,523,0.12587,328,-0.7148
ENSG00000116237,ICMT,16,-1.0280,16,-0.9898,36,0.21232,35,0.19411,33,0.09144,34,0.16736,27,-0.2483,38,0.41873
ENSG00000097021,ACOT7,27,-2.9813,114,-0.8547,130,-0.6533,74,-1.4986,145,-0.4840,195,-0.0351,283,0.63760,313,0.95959
ENSG00000215788,TNFRSF25,0,-6.0632,8,-1.4394,29,0.40355,13,-0.7605,20,-0.1697,44,1.24342,14,-0.7660,28,0.40748
ENSG00000171680,PLEKHG5,2,-3.3759,9,-1.6911,45,0.80911,21,-0.4033,29,0.10300,29,0.11122,22,-0.3633,40,0.76154
ENSG00000162408,NOL9,13,-1.1611,34,0.31625,32,0.21019,31,0.17916,41,0.61315,25,-0.1890,23,-0.3271,29,0.09042
ENSG00000162413,KLHL21,11,-1.4076,11,-1.3971,28,0.00390,27,-0.0556,41,0.64406,33,0.29224,17,-0.7541,38,0.64342
ENSG00000041988,THAP3,10,-0.9289,5,-1.9262,17,-0.1625,16,-0.2565,34,0.88855,13,-0.6443,15,-0.4253,31,0.98860
ENSG00000007923,DNAJC11,14,-1.4503,48,0.41800,34,-0.1341,34,-0.0918,43,0.24494,39,0.12852,44,0.32729,33,-0.1816
ENSG00000171735,CAMTA1,201,-0.9626,521,0.52001,245,-0.6631,263,-0.5556,364,-0.0501,610,0.88600,358,-0.0841,328,-0.2556
ENSG00000049245,VAMP3,84,2.29392,12,-0.8763,27,0.27709,27,0.31336,32,0.58178,9,-1.4218,18,-0.3307,10,-1.3266
ENSG00000049246,PER3,53,0.32294,29,-0.6079,29,-0.6284,67,0.69750,85,1.08830,46,0.11331,32,-0.4950,34,-0.4747
ENSG00000116288,PARK7,107,-1.3316,208,-0.3255,287,0.17369,219,-0.2517,206,-0.3436,159,-0.8001,441,1.00219,285,0.20560
ENSG00000116285,ERRFI1,8,-1.3752,13,-0.7697,15,-0.5425,10,-1.1407,30,0.50427,18,-0.3104,30,0.60519,29,0.56853
ENSG00000162426,SLC45A1,4,-2.6940,5,-2.4095,13,-1.0812,18,-0.5510,39,0.58987,25,-0.0715,35,0.48903,40,0.81882
ENSG00000142599,RERE,201,0.53456,156,0.13049,105,-0.4931,162,0.18379,157,0.13603,147,0.03254,119,-0.3280,139,-0.0717
ENSG00000074800,ENO1,197,-1.2958,123,-1.9970,460,-0.0015,789,0.87450,533,0.23326,353,-0.4469,539,0.27841,545,0.33638
ENSG00000171612,SLC25A33,14,-0.6999,9,-1.3924,31,0.51528,73,2.02729,16,-0.4651,13,-0.8812,7,-1.7647,28,0.44979
ENSG00000171603,CLSTN1,113,-2.8152,484,-0.6581,420,-0.8706,381,-1.0190,587,-0.3599,1034,0.60084,689,-0.1228,1150,0.93008
ENSG00000178585,CTNNBIP1,15,-1.0305,34,0.15708,44,0.59305,23,-0.4072,65,1.22702,13,-1.3871,42,0.55806,25,-0.3559
ENSG00000162441,LZIC,81,0.86694,57,0.29518,64,0.48260,35,-0.4509,48,0.02515,40,-0.2834,55,0.25391,31,-0.7649
ENSG00000130939,UBE4B,53,0.33190,41,-0.0706,32,-0.4395,36,-0.2597,27,-0.7260,63,0.69292,35,-0.3152,43,-0.0048
ENSG00000054523,KIF1B,553,0.39594,673,0.71820,275,-0.6931,466,0.12254,321,-0.4566,508,0.28730,370,-0.2599,376,-0.2550
ENSG00000142657,PGD,22,-1.3920,32,-0.8610,36,-0.6707,30,-0.9725,89,0.74004,72,0.44564,58,0.05404,68,0.38126
ENSG00000241563,CORT,21,-0.8594,7,-2.4334,27,-0.4668,2,-3.9771,196,3.08259,13,-1.6576,30,-0.3746,36,-0.0783
ENSG00000160049,DFFA,96,0.87089,40,-0.5114,80,0.56549,92,0.79840,33,-0.8271,58,0.05423,46,-0.3310,41,-0.5589
ENSG00000142655,PEX14,10,-0.9545,12,-0.6288,14,-0.4109,11,-0.8282,41,1.25624,14,-0.5480,15,-0.3450,27,0.70568
ENSG00000120948,TARDBP,107,0.47465,66,-0.2947,59,-0.4619,56,-0.5330,73,-0.1207,85,0.11009,61,-0.4311,100,0.45714
ENSG00000116649,SRM,23,-1.5036,35,-0.8830,77,0.32446,38,-0.7525,92,0.61738,37,-0.8777,70,0.17821,91,0.77658
ENSG00000171824,EXOSC10,43,0.29850,19,-0.9735,30,-0.2464,57,0.75300,23,-0.6688,58,0.90935,21,-0.8430,32,-0.2101
ENSG00000198793,MTOR,12,-1.7097,18,-1.1332,45,0.26491,39,0.03195,52,0.48462,41,0.12573,37,-0.0739,46,0.34883
ENSG00000116661,FBXO2,104,-0.9647,107,-0.9343,326,0.82071,361,0.99124,205,0.06945,82,-1.4018,177,-0.1784,244,0.43759
ENSG00000132879,FBXO44,20,-2.3366,71,-0.5034,80,-0.3050,74,-0.4260,99,0.01493,89,-0.1671,84,-0.2688,162,1.07451
ENSG00000177000,MTHFR,25,0.19403,30,0.44091,17,-0.4088,13,-0.7820,37,0.79933,18,-0.3746,11,-1.0743,29,0.52834
ENSG00000011021,CLCN6,25,-1.5677,59,-0.2821,72,0.03175,67,-0.0851,77,0.12366,62,-0.2151,66,-0.1220,98,0.65613
ENSG00000116685,KIAA2013,40,0.50459,11,-1.4185,23,-0.3798,40,0.52019,29,-0.0239,33,0.24095,21,-0.5194,32,0.19750
ENSG00000083444,PLOD1,11,-1.0756,11,-1.0122,30,0.51330,12,-0.8389,80,2.24340,10,-1.1649,11,-1.0238,24,0.22192
ENSG00000116688,MFN2,61,-1.0104,95,-0.3511,87,-0.4705,62,-0.9820,100,-0.2638,118,-0.0054,155,0.47247,157,0.56968
ENSG00000048707,VPS13D,52,-0.6871,67,-0.3174,33,-1.3648,73,-0.1724,104,0.37888,123,0.73808,82,0.00187,81,-0.0223
ENSG00000116731,PRDM2,167,-0.4482,343,0.69698,102,-1.1929,116,-1.0034,116,-0.9996,409,1.14162,183,-0.3279,214,-0.0749
ENSG00000189337,KAZN,93,0.58643,77,0.28374,67,0.06774,47,-0.4762,81,0.37236,71,0.18566,38,-0.8656,62,-0.0590
ENSG00000142634,EFHD2,34,-1.5310,110,0.25186,75,-0.3434,32,-1.6475,55,-0.8312,142,0.73874,187,1.30588,55,-0.9510
ENSG00000116138,DNAJC16,14,-1.3532,23,-0.5997,22,-0.6646,19,-0.9176,25,-0.4796,58,0.98140,37,0.11539,39,0.26876
ENSG00000197312,DDI2,35,-0.0647,40,0.13872,20,-0.9032,26,-0.5328,68,0.99938,49,0.49342,34,-0.1150,28,-0.4678
ENSG00000116786,PLEKHM2,81,-0.6126,218,0.95495,154,0.38285,129,0.09581,103,-0.2532,61,-1.1340,160,0.49461,109,-0.1967
ENSG00000065526,SPEN,390,1.43902,219,0.45718,84,-1.0232,170,0.05896,146,-0.1821,251,0.77215,64,-1.5117,110,-0.7267
ENSG00000116809,ZBTB17,18,-0.1568,22,0.12589,23,0.23644,2,-3.0896,48,1.41402,13,-0.7384,15,-0.4828,24,0.36121
ENSG00000037637,FBXO42,22,0.03183,13,-0.7512,3,-2.8365,22,0.09030,41,1.04124,26,0.36184,13,-0.7644,25,0.33160
ENSG00000055070,SZRD1,48,0.96325,30,0.20491,48,0.95982,31,0.28879,44,0.81576,8,-1.7790,15,-0.9391,23,-0.2670
ENSG00000159363,ATP13A2,24,-2.4132,99,-0.3216,80,-0.6451,65,-0.9554,108,-0.1828,108,-0.2065,133,0.15788,200,1.06822
ENSG00000117118,SDHB,18,-1.6434,21,-1.3889,47,-0.2132,39,-0.4766,61,0.21842,41,-0.4410,69,0.44901,78,0.78990
ENSG00000117115,PADI2,269,3.11380,13,-2.0194,74,0.60817,124,1.49579,15,-1.7931,13,-2.1708,18,-1.6173,16,-1.8879
ENSG00000179051,RCC2,10,-1.0401,16,-0.4010,15,-0.5195,9,-1.1688,23,0.12920,13,-0.8209,25,0.33334,34,1.00812
ENSG00000117154,IGSF21,10,-2.8022,57,-0.3051,43,-0.7523,29,-1.3219,27,-1.4596,68,-0.0576,134,1.22296,90,0.50316
ENSG00000159423,ALDH4A1,23,0.18595,7,-1.5490,27,0.43206,47,1.35731,12,-0.7432,8,-1.3773,33,0.88211,15,-0.5480
ENSG00000127481,UBR4,81,0.82645,46,-0.0886,19,-1.4063,64,0.45786,51,0.09562,92,1.20377,17,-1.6335,33,-0.6644
ENSG00000127463,EMC1,18,-0.9531,27,-0.3309,39,0.24106,10,-1.7270,29,-0.2201,49,0.70195,20,-0.8315,46,0.66072
ENSG00000053372,MRTO4,18,-1.2904,52,0.31811,42,-0.0244,40,-0.0895,21,-1.1000,49,0.22456,40,-0.1332,54,0.47935
ENSG00000053371,AKR7A2,19,-0.7182,11,-1.5369,43,0.59261,46,0.67318,54,0.96583,27,-0.1534,27,-0.1521,26,-0.2888
ENSG00000077549,CAPZB,93,-0.9240,84,-1.0720,145,-0.2546,114,-0.6118,216,0.38029,178,0.08070,196,0.24313,214,0.45810
ENSG00000173436,MICOS10,230,-0.1857,387,0.64548,334,0.40421,234,-0.1570,148,-0.8614,137,-1.0470,361,0.59807,260,0.00330
ENSG00000158747,NBL1,45,-1.9684,120,-0.5000,160,-0.0572,121,-0.4879,277,0.83360,123,-0.5041,160,-0.0607,233,0.70303
ENSG00000169914,OTUD3,7,-1.7545,24,0.08344,21,-0.1236,12,-0.9933,38,0.80693,26,0.24281,28,0.37461,21,-0.1523
ENSG00000162545,CAMK2N1,1159,-0.4784,2267,0.58209,2236,0.55956,2472,0.72455,799,-1.0429,983,-0.7872,1388,-0.2177,1750,0.20339
ENSG00000090432,MUL1,6,-1.6858,8,-1.3126,5,-1.8561,12,-0.6772,26,0.42785,27,0.54703,21,0.16334,27,0.63337
ENSG00000158828,PINK1,143,-1.5631,322,-0.3409,424,0.08773,294,-0.4797,345,-0.2355,348,-0.2397,653,0.89799,426,0.11955
ENSG00000244038,DDOST,10,-1.5191,16,-0.8161,17,-0.6935,27,-0.0308,35,0.39618,28,0.05718,24,-0.2460,40,0.76625
ENSG00000117245,KIF17,3,-2.9823,24,0.09467,15,-0.5843,7,-1.6561,17,-0.3832,34,0.75684,31,0.57024,24,0.13701
ENSG00000189410,SH2D5,0,-5.7135,37,-0.3682,33,-0.5437,24,-1.0380,44,-0.0976,44,-0.1360,42,-0.1854,86,1.29275
ENSG00000127483,HP1BP3,428,0.76906,349,0.43161,156,-0.8208,248,-0.1092,274,0.04414,367,0.57846,151,-0.9329,233,-0.2455
ENSG00000075151,EIF4G3,286,0.17075,244,-0.0768,102,-1.4068,157,-0.7588,235,-0.1390,517,1.33471,183,-0.5687,219,-0.2980
ENSG00000117298,ECE1,27,0.21147,8,-1.5717,26,0.17472,45,1.04391,91,2.37465,6,-2.1127,11,-1.1840,17,-0.6157
ENSG00000076864,RAP1GAP,21,-2.7224,115,-0.2114,90,-0.5849,57,-1.2624,107,-0.3272,171,0.46280,199,0.75194,150,0.25346
ENSG00000090686,USP48,163,1.05714,70,-0.3086,42,-1.0814,99,0.24262,62,-0.4788,148,1.01965,57,-0.6646,59,-0.6775
ENSG00000070831,CDC42,91,-0.8996,117,-0.5172,118,-0.5155,76,-1.1714,277,0.84517,174,0.09939,168,0.04552,202,0.41228
ENSG00000004487,KDM1A,25,-1.2639,26,-1.2037,40,-0.5774,36,-0.7346,57,-0.0398,83,0.63718,58,-0.0110,77,0.57771
ENSG00000169641,LUZP1,51,-1.6820,188,0.30143,62,-1.3947,89,-0.8581,175,0.18219,293,1.18597,142,-0.1556,145,-0.1413
ENSG00000125944,HNRNPR,214,0.64184,149,0.06129,86,-0.7769,132,-0.1271,136,-0.0836,174,0.34570,109,-0.4535,145,0.02157
ENSG00000142676,RPL11,850,1.10467,363,-0.2760,748,0.88766,465,0.11277,492,0.20108,226,-1.0669,489,0.21319,282,-0.7735
ENSG00000011007,ELOA,34,0.31312,34,0.30332,17,-0.7674,23,-0.2869,57,1.16644,24,-0.2715,23,-0.2743,25,-0.2067
ENSG00000057757,PITHD1,58,-1.4819,157,0.03722,127,-0.2993,85,-0.8997,87,-0.8663,142,-0.1279,192,0.39649,220,0.73792
ENSG00000011009,LYPLA2,7,-1.8020,35,0.52107,12,-1.1067,16,-0.7065,15,-0.7347,19,-0.4363,15,-0.8078,48,1.48578
ENSG00000189266,PNRC2,38,-0.5495,55,0.00280,30,-0.9276,58,0.09205,68,0.33845,61,0.19613,67,0.35494,50,-0.1510
ENSG00000188529,SRSF10,104,0.65455,57,-0.2821,31,-1.2033,55,-0.3435,84,0.30645,94,0.54243,52,-0.4713,68,-0.0177
ENSG00000001461,NIPAL3,251,1.05055,119,-0.1570,67,-1.0389,92,-0.5516,85,-0.6791,156,0.29677,156,0.29295,115,-0.2610
ENSG00000133226,SRRM1,921,2.26623,210,-0.2833,114,-1.2070,186,-0.4739,307,0.31091,305,0.33756,146,-0.9022,128,-1.1940
ENSG00000169504,CLIC4,153,2.72264,11,-1.6765,52,0.67974,46,0.50071,70,1.20134,5,-2.8335,22,-0.7197,6,-2.7327
ENSG00000117614,SYF2,186,0.58774,145,0.18691,86,-0.6303,177,0.50960,211,0.79923,142,0.16718,90,-0.5959,92,-0.6113
ENSG00000117616,RSRP1,138,0.78473,22,-2.0129,29,-1.6048,63,-0.4409,142,0.83288,173,1.36544,27,-1.7886,73,-0.2695
ENSG00000183726,TMEM50A,40,-0.6657,35,-0.8610,49,-0.3606,56,-0.1422,69,0.17459,70,0.22423,69,0.19044,71,0.27671
ENSG00000204178,MACO1,91,0.57208,62,-0.0275,41,-0.6503,46,-0.4796,43,-0.6071,102,0.86043,39,-0.8183,66,0.06489
ENSG00000117643,MAN1C1,10,-1.9688,24,-0.6711,28,-0.3986,42,0.21870,35,-0.0918,39,0.08295,20,-0.9592,61,1.09820
ENSG00000162430,SELENON,23,-0.2075,15,-0.8101,49,1.01508,45,0.86280,30,0.24445,18,-0.6169,14,-0.9433,29,0.17807
ENSG00000117640,MTFR1L,37,-0.7473,40,-0.6513,58,-0.0686,63,0.06630,37,-0.7458,73,0.32612,64,0.10037,72,0.35425
ENSG00000117632,STMN1,597,-0.9881,1206,0.09474,576,-1.0404,526,-1.1786,774,-0.5926,1092,-0.0672,1940,0.99320,1294,0.25693
ENSG00000158008,EXTL1,5,-3.1256,30,-0.5968,50,0.14974,32,-0.5359,30,-0.6011,51,0.22521,54,0.32450,61,0.60263
ENSG00000142684,ZNF593,4,-2.9404,32,-0.0954,35,0.06856,21,-0.7180,34,0.03708,20,-0.8265,38,0.20795,53,0.97681
ENSG00000142669,SH3BGRL3,75,-0.8765,120,-0.1513,139,0.08454,111,-0.2659,194,0.61393,75,-0.9386,224,0.97302,116,-0.2375
ENSG00000158062,UBXN11,1,-4.0163,27,0.26037,26,0.20548,30,0.40627,21,-0.1319,12,-1.0313,36,0.80195,25,0.14662
ENSG00000117682,DHDDS,6,-1.8397,12,-0.9301,21,-0.1083,10,-1.2221,44,1.09656,21,-0.0756,26,0.22613,27,0.38009
ENSG00000198830,HMGN2,207,0.58748,117,-0.3170,171,0.28119,274,1.05652,240,0.83419,86,-0.8430,105,-0.5281,110,-0.4907
ENSG00000117713,ARID1A,74,0.05288,76,0.09051,63,-0.1848,107,0.64594,50,-0.5397,99,0.58123,61,-0.2619,56,-0.4617
ENSG00000204160,ZDHHC18,6,-1.7053,23,0.19527,17,-0.3221,12,-0.8308,21,0.06000,27,0.46240,24,0.29168,21,0.09781
ENSG00000142751,GPN2,19,0.11308,14,-0.4094,13,-0.4971,24,0.49199,14,-0.4005,23,0.47851,14,-0.4348,19,0.08566
ENSG00000090273,NUDC,187,-0.3947,279,0.23182,214,-0.1882,185,-0.4076,233,-0.0528,142,-0.8736,318,0.49486,291,0.37614
ENSG00000253368,TRNP1,7,-3.0029,43,-0.3109,40,-0.4029,35,-0.6093,78,0.63201,39,-0.4699,73,0.60433,66,0.47827
ENSG00000090020,SLC9A1,0,-8.6523,25,0.45662,13,-0.6052,13,-0.6083,9,-1.0506,17,-0.1817,8,-1.3264,39,1.64497
ENSG00000142784,WDTC1,21,-0.6265,36,0.23488,36,0.20842,28,-0.1610,31,0.01000,25,-0.3789,24,-0.4320,42,0.57129
ENSG00000186501,TMEM222,24,-0.8686,28,-0.6341,69,0.76532,42,-0.0176,48,0.18281,35,-0.3489,31,-0.5485,57,0.57270
ENSG00000158195,WASF2,178,2.06201,40,-0.4430,36,-0.5858,98,0.98417,136,1.55588,29,-1.0030,21,-1.5176,18,-1.8304
ENSG00000126705,AHDC1,30,-0.7795,48,-0.0566,27,-0.9504,27,-0.9526,53,0.09254,82,0.89804,42,-0.2966,56,0.21972
ENSG00000126709,IFI6,50,-0.9854,43,-1.1914,93,-0.0418,110,0.22154,212,1.31691,91,-0.0764,82,-0.2521,96,0.02265
ENSG00000009780,FAM76A,28,0.28969,26,0.17419,11,-1.0774,25,0.10965,35,0.65302,30,0.44620,17,-0.4791,20,-0.3122
ENSG00000117758,STX12,71,-0.5064,70,-0.5382,80,-0.3395,63,-0.7061,122,0.32630,110,0.18267,122,0.37045,107,0.13809
ENSG00000117751,PPP1R8,25,-0.2016,22,-0.3738,27,-0.1022,31,0.13858,25,-0.2160,20,-0.5691,36,0.41029,33,0.29867
ENSG00000117748,RPA2,15,-1.4618,22,-0.9618,35,-0.2456,32,-0.3574,25,-0.7620,30,-0.4861,68,0.93832,54,0.58342
ENSG00000126698,DNAJC8,287,0.50361,232,0.16206,158,-0.4348,171,-0.3127,142,-0.5982,264,0.41048,204,-0.0469,196,-0.1303
ENSG00000130770,ATP5IF1,133,-1.7193,354,-0.2405,439,0.09553,141,-1.6315,369,-0.1785,267,-0.7315,807,1.26920,459,0.20466
ENSG00000204138,PHACTR4,108,1.96536,22,-0.6850,16,-1.1222,46,0.47433,78,1.36368,25,-0.5043,7,-2.4039,25,-0.5765
ENSG00000198492,YTHDF2,44,-0.9083,67,-0.2606,46,-0.8440,47,-0.8153,29,-1.5135,121,0.75091,102,0.43757,93,0.29412
ENSG00000159023,EPB41,13,-0.8300,30,0.45174,8,-1.5619,15,-0.5778,30,0.44991,46,1.35748,17,-0.4452,16,-0.6409
ENSG00000116350,SRSF4,110,0.41131,96,0.18326,68,-0.3456,96,0.18092,81,-0.0776,117,0.56122,54,-0.7642,77,-0.1921
ENSG00000116353,MECR,2,-3.5787,41,0.44175,21,-0.5691,12,-1.4720,42,0.47220,24,-0.4267,54,1.01902,33,0.09952
ENSG00000060656,PTPRU,2,-2.9546,8,-1.1648,17,-0.1033,13,-0.5729,5,-1.9360,24,0.44678,45,1.74686,13,-0.6544
ENSG00000162512,SDC3,108,0.09588,47,-1.1596,87,-0.2299,213,1.21426,90,-0.1797,101,-0.0125,63,-0.7754,114,0.23553
ENSG00000134644,PUM1,128,-0.4677,195,0.17957,78,-1.2239,158,-0.1431,190,0.14530,238,0.56484,190,0.15760,159,-0.1632
ENSG00000121766,ZCCHC17,147,0.11166,132,-0.0541,133,-0.0433,107,-0.3776,68,-1.0588,172,0.40474,164,0.31324,128,-0.1307
ENSG00000121769,FABP3,13,-2.1489,56,-0.0335,25,-1.2364,25,-1.2640,64,0.18715,38,-0.6617,69,0.31760,96,1.11440
ENSG00000162517,PEF1,32,-1.0487,52,-0.3185,53,-0.2876,42,-0.6279,84,0.43028,48,-0.4768,81,0.41213,82,0.49825
ENSG00000084636,COL16A1,55,1.05902,12,-1.2632,17,-0.7561,59,1.17743,19,-0.6367,27,-0.1039,18,-0.7883,31,0.12585
ENSG00000121753,ADGRB2,29,-2.7044,155,-0.2007,182,0.04775,137,-0.3985,143,-0.3319,165,-0.1146,137,-0.4295,290,1.05961
ENSG00000184007,PTP4A2,1246,2.91454,312,0.32097,142,-0.9031,150,-0.8147,81,-1.7257,150,-0.8798,240,-0.1066,116,-1.3675
ENSG00000121774,KHDRBS1,111,-0.3027,130,-0.0602,98,-0.5030,173,0.39393,187,0.51652,134,-0.0173,119,-0.2084,139,0.04984
ENSG00000025800,KPNA6,85,-0.2861,87,-0.2606,59,-0.8400,67,-0.6600,111,0.11719,139,0.54576,93,-0.1629,119,0.29358
ENSG00000084652,TXLNA,25,-0.1538,22,-0.2974,16,-0.7592,19,-0.5467,55,1.15493,33,0.31535,18,-0.6734,29,0.12779
ENSG00000084623,EIF3I,43,-1.1500,69,-0.4558,67,-0.4973,86,-0.1186,118,0.38157,77,-0.3018,104,0.20859,121,0.54700
ENSG00000175130,MARCKSL1,570,2.71404,58,-1.1846,170,0.46986,250,1.11264,117,-0.1210,30,-2.2586,57,-1.2827,60,-1.3090
ENSG00000160058,BSDC1,71,0.12008,51,-0.3903,59,-0.1790,54,-0.2965,73,0.17261,54,-0.3441,65,-0.0252,81,0.42172
ENSG00000160062,ZBTB8A,22,0.14855,27,0.44009,11,-0.9256,30,0.60396,15,-0.4847,16,-0.4026,16,-0.3478,25,0.38564
ENSG00000176261,ZBTB8OS,20,-0.8138,31,-0.1806,50,0.56486,30,-0.2508,45,0.37816,21,-0.8489,43,0.34463,39,0.21467
ENSG00000162521,RBBP4,102,-0.0812,70,-0.6462,69,-0.6657,119,0.17183,119,0.16142,119,0.18700,77,-0.5522,138,0.50485
