Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000189337,KAZN,57,0.11743,34,-0.6828,60,0.22801,54,0.01744,63,0.27608,51,-0.0695,45,-0.2707
ENSG00000142634,EFHD2,63,-0.6964,39,-1.4155,115,0.28104,175,1.38730,79,-0.3454,43,-1.2626,9,-3.5139
ENSG00000116138,DNAJC16,25,-0.2632,23,-0.3993,22,-0.4817,29,-0.0408,48,0.78836,36,0.30371,32,0.15407
ENSG00000197312,DDI2,24,-0.2072,20,-0.4864,19,-0.5690,35,0.57270,40,0.61843,24,-0.1959,19,-0.5378
ENSG00000116786,PLEKHM2,74,0.11251,72,0.07367,98,0.67351,55,-0.4475,57,-0.2834,41,-0.7877,83,0.29208
ENSG00000065526,SPEN,222,1.36499,51,-1.0324,56,-0.9753,123,0.46630,87,-0.2119,97,-0.0311,55,-0.9149
ENSG00000116809,ZBTB17,24,0.83779,24,0.82990,18,0.42818,5,-1.6463,21,0.59051,15,0.04376,7,-1.0431
ENSG00000037637,FBXO42,10,-1.1007,9,-1.2677,13,-0.6702,28,0.70342,23,0.19558,28,0.55885,21,0.09828
ENSG00000055070,SZRD1,51,1.53784,34,0.81255,19,-0.1182,10,-1.3525,9,-1.2441,29,0.53106,16,-0.3788
ENSG00000157191,NECAP2,19,1.37545,17,1.17819,11,0.52236,2,-1.9383,2,-1.8142,7,-0.1552,7,-0.1823
ENSG00000058453,CROCC,10,0.05060,1,-2.5005,10,0.03286,8,-0.3855,12,0.34508,22,1.38927,7,-0.3987
ENSG00000159363,ATP13A2,41,-1.0443,40,-1.0903,106,0.50212,86,0.11949,112,0.53104,91,0.18446,56,-0.5693
ENSG00000117118,SDHB,32,-1.2808,102,0.53018,57,-0.4506,70,-0.1029,96,0.42632,54,-0.4773,128,0.92593
ENSG00000117115,PADI2,159,2.40910,60,0.55493,45,0.08883,20,-1.4034,20,-1.1668,27,-0.7228,12,-1.9028
ENSG00000179051,RCC2,15,0.09975,12,-0.2935,22,0.83431,6,-1.5687,19,0.47738,9,-0.7026,25,0.96320
ENSG00000074964,ARHGEF10L,25,0.80278,10,-0.6058,16,0.09690,14,-0.2241,14,-0.1431,17,0.14528,14,-0.1792
ENSG00000117154,IGSF21,50,-0.0765,53,0.00837,42,-0.3970,47,-0.2452,56,0.10695,80,0.67898,64,0.31090
ENSG00000159423,ALDH4A1,31,1.08900,17,0.12660,20,0.39699,13,-0.3897,6,-1.3171,20,0.35513,6,-1.4390
ENSG00000169991,IFFO2,8,-0.4576,9,-0.2803,8,-0.3363,12,0.31077,10,-0.0866,20,1.08921,4,-1.3047
ENSG00000127481,UBR4,45,1.21378,19,-0.2016,9,-1.4321,27,0.49587,20,-0.1659,27,0.33133,7,-1.7150
ENSG00000127463,EMC1,25,-0.1049,17,-0.6751,24,-0.2174,22,-0.4148,37,0.49095,33,0.30203,45,0.83607
ENSG00000053372,MRTO4,20,-1.0035,33,-0.2540,36,-0.1040,49,0.52395,36,-0.1000,52,0.47916,25,-0.6948
ENSG00000053371,AKR7A2,52,0.89258,48,0.78409,18,-0.8646,19,-0.8223,20,-0.6568,55,1.01226,31,0.05778
ENSG00000077549,CAPZB,110,-0.3187,132,-0.0278,122,-0.1826,129,-0.0943,159,0.26784,152,0.19459,165,0.32459
ENSG00000173436,MICOS10,235,-0.6500,396,0.17411,409,0.25683,429,0.40565,251,-0.5484,265,-0.4645,303,-0.2544
ENSG00000158747,NBL1,123,-0.0083,109,-0.1936,154,0.41556,120,-0.0584,113,-0.1385,110,-0.1862,111,-0.1732
ENSG00000169914,OTUD3,9,-1.0522,12,-0.7087,17,-0.2133,23,0.42787,33,0.93014,12,-0.7249,20,0.07370
ENSG00000162545,CAMK2N1,1201,-0.3991,2557,0.83461,1430,-0.1385,1122,-0.6221,1017,-0.6576,2063,0.47071,2393,0.72114
ENSG00000090432,MUL1,16,-0.4236,12,-0.8712,19,-0.1810,28,0.54943,22,0.06122,25,0.21983,17,-0.3214
ENSG00000183114,FAM43B,11,0.08281,2,-2.5798,11,0.02073,17,1.07417,11,-0.0078,9,-0.2820,1,-2.7206
ENSG00000158828,PINK1,222,-0.9648,298,-0.5154,493,0.32760,458,0.21848,542,0.44272,263,-0.7094,445,0.11855
ENSG00000244038,DDOST,7,-1.2272,15,-0.1885,15,-0.2089,11,-0.7374,14,-0.2644,48,1.75960,22,0.36890
ENSG00000117245,KIF17,6,-2.0713,10,-1.3894,27,0.03140,44,1.25061,19,-0.4846,29,0.15026,11,-1.3480
ENSG00000189410,SH2D5,6,-2.6441,24,-0.6106,41,0.29635,30,-0.3319,39,0.18261,38,0.11317,73,1.22823
ENSG00000127483,HP1BP3,357,0.53737,229,-0.1812,161,-0.7992,291,0.25989,247,-0.0635,283,0.15197,260,0.01828
ENSG00000075151,EIF4G3,175,-0.3678,79,-1.5737,121,-1.0278,268,0.40963,422,1.08284,259,0.25225,233,0.08394
ENSG00000117298,ECE1,23,0.92628,19,0.62041,13,-0.0250,7,-1.1084,10,-0.4045,28,1.23915,4,-1.7729
ENSG00000076864,RAP1GAP,65,-0.9730,73,-0.7897,144,0.31791,124,0.04584,179,0.63447,134,0.16349,102,-0.2778
ENSG00000090686,USP48,102,0.60873,49,-0.5708,43,-0.8416,76,0.16466,80,0.20779,93,0.46546,64,-0.1356
ENSG00000070831,CDC42,115,-0.5780,115,-0.5798,147,-0.2275,182,0.18315,255,0.70244,151,-0.1542,191,0.21678
ENSG00000184677,ZBTB40,15,0.71041,1,-2.5904,11,0.25936,9,-0.1620,11,0.11403,18,0.93214,3,-1.4723
ENSG00000173372,C1QA,45,2.23906,11,-0.2671,12,-0.1816,6,-1.3754,5,-1.4221,14,0.11475,13,0.02909
ENSG00000173369,C1QB,29,2.04109,20,1.33682,4,-1.2651,4,-1.3740,4,-1.2125,12,0.49442,4,-1.0821
ENSG00000133216,EPHB2,11,0.41162,5,-0.9484,10,0.14266,7,-0.4530,9,0.06363,10,0.18194,13,0.62270
ENSG00000004487,KDM1A,37,-0.4900,44,-0.2229,32,-0.7795,49,-0.0502,58,0.23193,92,1.00616,61,0.32288
ENSG00000169641,LUZP1,72,-0.8308,51,-1.3478,103,-0.3115,157,0.53432,244,1.15901,100,-0.3258,84,-0.5951
ENSG00000125944,HNRNPR,143,0.20501,83,-0.6480,77,-0.8325,147,0.33522,117,-0.1075,163,0.42950,154,0.33024
ENSG00000125945,ZNF436,6,-1.1751,8,-0.6094,9,-0.4934,10,-0.5041,14,0.13581,35,1.75278,15,0.31090
ENSG00000249087,ZNF436-AS1,6,-0.4445,9,0.13302,11,0.49197,6,-0.5431,3,-1.3214,7,-0.4138,19,1.24939
ENSG00000204219,TCEA3,16,0.33785,15,0.26176,11,-0.2528,16,0.57466,3,-1.8484,17,0.46061,4,-1.6708
ENSG00000088280,ASAP3,16,0.83045,13,0.52141,12,0.35534,8,-0.2529,9,-0.1052,6,-0.7589,3,-1.5985
ENSG00000117318,ID3,73,3.40783,34,1.61578,6,-1.2474,0,-5.4073,1,-3.2923,10,-0.4344,1,-3.1475
ENSG00000142676,RPL11,631,0.29087,873,0.83600,637,0.34794,437,-0.3732,274,-1.0197,438,-0.2946,474,-0.1713
ENSG00000011007,ELOA,38,0.60280,33,0.36020,15,-0.8855,25,-0.0881,30,0.22763,31,0.26420,24,-0.1430
ENSG00000057757,PITHD1,63,-1.4747,109,-0.6426,185,0.21427,170,0.07662,219,0.47125,200,0.31669,171,0.06279
ENSG00000011009,LYPLA2,18,-0.3714,14,-0.7685,29,0.38868,27,0.26516,23,-0.0030,19,-0.3597,22,-0.1051
ENSG00000117308,GALE,5,-1.4549,11,-0.2296,14,0.05014,8,-0.9658,21,0.75058,19,0.56257,25,1.08241
ENSG00000117305,HMGCL,15,0.16947,21,0.77802,17,0.45125,7,-1.0890,8,-0.7642,13,0.04346,19,0.57860
ENSG00000179163,FUCA1,8,-0.3778,6,-0.8325,8,-0.2526,12,0.45485,10,-0.0152,11,0.13045,11,0.17583
ENSG00000189266,PNRC2,57,0.04665,51,-0.1330,38,-0.6467,60,0.19055,58,0.07820,59,0.11394,70,0.38343
ENSG00000188529,SRSF10,92,0.90420,34,-0.6857,46,-0.2480,41,-0.5124,49,-0.1258,72,0.47275,71,0.45648
ENSG00000001460,STPG1,4,-1.3053,2,-2.3619,16,0.81561,11,0.16535,11,0.05133,13,0.40961,8,-0.4798
ENSG00000001461,NIPAL3,120,0.65725,50,-0.7384,75,-0.1114,80,-0.0055,114,0.56807,69,-0.2439,59,-0.4728
ENSG00000133226,SRRM1,407,1.80006,68,-1.1687,86,-0.8893,149,0.05409,132,-0.1482,133,-0.1410,93,-0.6905
ENSG00000169504,CLIC4,121,3.05727,42,0.87753,13,-1.0655,12,-1.2941,5,-2.2868,12,-1.0998,5,-2.2409
ENSG00000117614,SYF2,145,0.54579,129,0.35252,85,-0.3558,94,-0.1983,75,-0.5046,121,0.23799,117,0.18776
ENSG00000117616,RSRP1,98,0.82825,38,-0.6899,49,-0.3349,51,-0.3117,53,-0.1786,89,0.66103,65,0.15190
ENSG00000183726,TMEM50A,52,-0.2827,92,0.65382,41,-0.6895,46,-0.5738,67,0.12969,91,0.62700,96,0.72206
ENSG00000204178,MACO1,52,0.13318,34,-0.5479,26,-1.0261,54,0.26124,59,0.33475,76,0.73927,45,-0.1209
ENSG00000117643,MAN1C1,13,-1.0817,14,-1.0773,18,-0.6893,13,-1.2919,46,0.84948,50,0.98400,75,1.73445
ENSG00000162430,SELENON,41,0.92358,22,-0.0551,29,0.42513,17,-0.5514,8,-1.6679,27,0.26355,23,0.00425
ENSG00000117640,MTFR1L,60,0.12055,48,-0.2330,56,0.00758,50,-0.2233,55,-0.0255,78,0.55439,54,-0.0359
ENSG00000117632,STMN1,544,-1.4623,795,-0.8872,1391,-0.0163,1669,0.37235,1828,0.43032,1354,-0.0571,1724,0.33402
ENSG00000158008,EXTL1,25,-0.6650,24,-0.7489,43,0.21736,45,0.34039,32,-0.2635,54,0.56160,27,-0.5630
ENSG00000175087,PDIK1L,7,-0.7931,9,-0.4529,10,-0.2537,14,0.27458,19,0.71946,11,-0.1170,12,0.03683
ENSG00000142684,ZNF593,18,-0.3344,18,-0.3247,22,-0.0734,24,0.14203,20,-0.2162,32,0.56668,22,-0.0674
ENSG00000142669,SH3BGRL3,134,-0.2564,150,-0.0758,163,0.06359,198,0.50468,110,-0.5605,142,-0.1634,116,-0.4768
ENSG00000158062,UBXN11,15,0.22345,17,0.42790,16,0.33388,11,-0.4234,8,-0.7627,6,-1.0628,22,0.79254
ENSG00000117682,DHDDS,10,-1.1283,12,-0.8343,24,0.17655,29,0.63880,21,-0.0167,22,0.00824,16,-0.4974
ENSG00000198830,HMGN2,297,1.02578,221,0.51735,124,-0.4615,138,-0.3084,83,-1.0203,175,0.13679,172,0.10493
ENSG00000117713,ARID1A,64,0.42249,57,0.22227,47,-0.0783,46,-0.1312,45,-0.1649,55,0.15411,41,-0.3009
ENSG00000204160,ZDHHC18,11,-0.1641,5,-1.3376,18,0.61648,10,-0.4655,20,0.70420,12,-0.1573,14,0.15146
ENSG00000142751,GPN2,21,0.19493,13,-0.4815,18,-0.0579,20,0.21013,18,-0.0426,21,0.20063,14,-0.3981
ENSG00000090273,NUDC,150,-0.5422,277,0.43692,256,0.35183,186,-0.2646,167,-0.3780,224,0.09170,231,0.13756
ENSG00000253368,TRNP1,8,-2.6320,40,-0.3804,67,0.52834,50,-0.0030,58,0.21482,56,0.17636,57,0.20305
ENSG00000090020,SLC9A1,11,-0.8558,12,-0.8077,30,0.77813,20,0.04402,22,0.14874,13,-0.6048,19,-0.0291
ENSG00000142784,WDTC1,46,0.88956,28,0.05634,33,0.34458,19,-0.6740,21,-0.4140,28,0.08361,24,-0.1551
ENSG00000186501,TMEM222,26,-0.5891,43,0.20790,47,0.43522,36,-0.0977,43,0.21898,25,-0.6055,36,-0.0601
ENSG00000158195,WASF2,108,2.01847,46,0.45915,26,-0.5115,27,-0.4897,12,-1.5759,34,-0.0395,14,-1.3950
ENSG00000126705,AHDC1,22,-0.7776,16,-1.2515,34,-0.1030,48,0.60623,25,-0.5520,62,0.87617,26,-0.5382
ENSG00000126709,IFI6,125,0.22850,86,-0.3615,92,-0.3022,111,0.05082,169,0.72357,116,0.10663,73,-0.6224
ENSG00000009780,FAM76A,28,0.39723,15,-0.5569,16,-0.4524,22,0.02418,21,0.00039,25,0.24470,28,0.39862
ENSG00000117758,STX12,93,-0.1609,91,-0.2040,91,-0.2359,114,0.21183,117,0.19281,101,-0.0452,109,0.07705
ENSG00000117751,PPP1R8,24,-0.0167,25,0.03869,19,-0.4949,30,0.42317,14,-0.9066,35,0.57015,21,-0.2503
ENSG00000117748,RPA2,28,-0.5046,41,0.08158,28,-0.5488,35,-0.2147,39,0.02555,54,0.54672,64,0.83348
ENSG00000158161,EYA3,12,0.23634,8,-0.4007,7,-0.5212,12,0.40128,15,0.60736,5,-0.9443,10,-0.0407
ENSG00000126698,DNAJC8,219,-0.0821,259,0.19023,221,-0.0747,256,0.21905,245,0.10042,149,-0.6794,222,-0.0566
ENSG00000130770,ATP5IF1,158,-1.5196,501,0.26598,406,-0.0823,368,-0.2882,472,0.16876,489,0.22571,714,0.86190
ENSG00000204138,PHACTR4,63,1.66156,22,-0.1475,25,0.09205,18,-0.5524,11,-1.1424,31,0.42949,8,-1.6533
ENSG00000180098,TRNAU1AP,17,-0.2025,19,0.00433,18,-0.0957,19,0.03885,24,0.35064,15,-0.3620,21,0.19344
ENSG00000197989,SNHG12,7,-0.2847,10,0.20347,12,0.63095,7,-0.4232,10,0.19449,2,-1.7158,12,0.50467
ENSG00000120656,TAF12,8,-0.6771,7,-0.8114,13,-0.0485,12,-0.1507,11,-0.1721,27,1.20389,14,0.13472
ENSG00000198492,YTHDF2,51,-0.7498,41,-1.0703,45,-1.0168,102,0.47352,129,0.74073,85,0.05248,119,0.60792
ENSG00000116329,OPRD1,6,-0.6410,1,-2.6657,10,0.08192,10,0.16411,12,0.39577,9,-0.0848,15,0.78034
