Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000116670,MAD2L2,35,1.41018,15,-0.0966,12,-0.3926,11,-0.5690,7,-1.2797
ENSG00000177000,MTHFR,30,0.23856,21,-0.5882,30,0.22800,32,0.36153,33,0.39235
ENSG00000011021,CLCN6,53,-0.7006,101,0.66530,47,-0.8953,70,-0.2490,84,0.02984
ENSG00000116685,KIAA2013,33,-0.1120,41,0.42739,22,-0.7456,26,-0.4760,39,0.16527
ENSG00000083444,PLOD1,29,0.54320,26,0.65509,18,-0.2682,11,-0.9502,7,-1.7330
ENSG00000116688,MFN2,74,-0.8951,154,0.53173,75,-0.8851,119,-0.1413,158,0.31711
ENSG00000048707,VPS13D,57,-0.4798,65,-0.4459,125,0.83991,90,0.26470,82,0.11059
ENSG00000162496,DHRS3,86,2.98414,9,-1.7620,12,-0.8107,11,-0.8851,15,-0.4511
ENSG00000116731,PRDM2,92,-1.6466,185,-0.8856,358,0.51453,470,1.00340,450,0.92247
ENSG00000189337,KAZN,61,-0.2111,63,-0.2707,83,0.29739,77,0.17029,83,0.29466
ENSG00000142634,EFHD2,33,-1.6799,118,0.63159,57,-0.8387,103,0.10068,110,0.22154
ENSG00000116138,DNAJC16,21,-1.1332,47,0.29132,38,-0.1962,64,0.68137,31,-0.5080
ENSG00000197312,DDI2,15,-1.8190,51,0.16771,58,0.29555,46,-0.0959,64,0.46779
ENSG00000116786,PLEKHM2,102,-0.4280,145,0.27566,112,-0.2684,87,-0.6675,178,0.49752
ENSG00000065526,SPEN,132,-0.6003,95,-1.5921,422,1.40896,284,0.66946,314,0.84896
ENSG00000116809,ZBTB17,35,0.61530,25,0.17312,17,-0.4920,16,-0.6088,21,-0.1706
ENSG00000037637,FBXO42,19,-0.2960,26,0.32848,20,-0.2333,20,-0.2118,23,-0.0543
ENSG00000055070,SZRD1,64,1.41214,23,-0.5898,24,-0.3062,31,0.10404,20,-0.5538
ENSG00000159363,ATP13A2,54,-0.9173,124,0.84062,65,-0.6345,80,-0.3088,77,-0.3573
ENSG00000117118,SDHB,58,0.15800,70,0.94820,19,-1.5448,40,-0.4350,26,-1.1210
ENSG00000117115,PADI2,159,2.42049,21,-1.7064,60,0.45186,13,-1.8965,48,0.08614
ENSG00000179051,RCC2,12,-1.1552,33,0.88006,29,0.20828,17,-0.6416,13,-1.0101
ENSG00000117154,IGSF21,35,-0.5769,64,0.80202,22,-1.2635,49,-0.0279,39,-0.3942
ENSG00000159423,ALDH4A1,36,0.99628,21,0.07527,11,-0.9026,4,-2.4230,27,0.50177
ENSG00000127481,UBR4,23,-1.0131,23,-1.5003,112,1.67079,66,0.65551,63,0.58432
ENSG00000127463,EMC1,32,-0.3607,49,0.62762,31,-0.3963,43,0.10987,19,-1.1285
ENSG00000053372,MRTO4,31,-0.5091,50,0.50450,38,-0.1814,29,-0.6028,42,-0.0082
ENSG00000053371,AKR7A2,84,2.02440,23,-0.5159,14,-1.0422,8,-1.8126,26,-0.1091
ENSG00000077549,CAPZB,148,-0.0425,174,0.40824,123,-0.3396,140,-0.1397,112,-0.5009
ENSG00000173436,MICOS10,341,0.35659,340,0.68112,133,-1.1503,126,-1.2274,246,-0.1867
ENSG00000158747,NBL1,112,-0.5512,198,0.74459,80,-1.0694,130,-0.3127,149,-0.0939
ENSG00000169914,OTUD3,8,-1.5241,26,0.52324,24,0.19333,18,-0.2969,20,-0.0888
ENSG00000162545,CAMK2N1,2601,0.62975,1940,0.23178,1157,-0.7058,1218,-0.6248,1632,-0.1569
ENSG00000090432,MUL1,24,0.36153,17,-0.3903,23,0.29653,19,-0.0581,22,0.21503
ENSG00000158828,PINK1,286,-0.4893,481,0.70791,186,-1.1598,337,-0.2246,367,-0.0899
ENSG00000244038,DDOST,36,0.70126,29,0.61922,13,-0.9617,16,-0.5919,9,-1.4131
ENSG00000117245,KIF17,4,-2.9363,39,0.90609,10,-1.7004,34,0.21073,35,0.25508
ENSG00000189410,SH2D5,20,-1.3589,63,0.87331,27,-0.9117,61,0.40009,27,-0.8984
ENSG00000127483,HP1BP3,263,-0.3350,239,-0.7700,457,0.58788,442,0.52970,468,0.62845
ENSG00000075151,EIF4G3,123,-1.2809,203,-0.7927,348,0.37873,574,1.28481,364,0.45386
ENSG00000117298,ECE1,55,1.88406,11,-1.3889,40,1.22166,5,-1.9699,15,-0.4727
ENSG00000076864,RAP1GAP,35,-1.7776,155,1.16233,69,-0.7688,95,-0.2560,76,-0.6280
ENSG00000090686,USP48,61,-0.4796,59,-0.8218,156,1.10923,130,0.78049,74,-0.1632
ENSG00000070831,CDC42,151,-0.1997,201,0.53326,117,-0.6050,159,-0.1159,130,-0.4332
ENSG00000004487,KDM1A,44,-0.8950,81,0.12199,89,0.23794,115,0.66533,49,-0.7430
ENSG00000169641,LUZP1,51,-2.3582,195,-0.5321,203,-0.2672,495,1.28605,382,0.80375
ENSG00000125944,HNRNPR,116,-0.3829,125,-0.4311,191,0.44560,221,0.69644,146,-0.0055
ENSG00000142676,RPL11,765,1.27591,373,0.00781,198,-0.9965,201,-0.9762,318,-0.2520
ENSG00000011007,ELOA,35,0.11902,24,-0.7741,54,0.86306,27,-0.3040,49,0.68480
ENSG00000057757,PITHD1,95,-0.8760,218,0.98792,91,-0.9366,146,-0.1864,107,-0.6776
ENSG00000011009,LYPLA2,17,-0.4647,32,1.22219,5,-2.1415,18,-0.3552,13,-0.8295
ENSG00000189266,PNRC2,77,0.50714,57,-0.0072,35,-0.7531,64,0.19511,52,-0.1537
ENSG00000188529,SRSF10,82,0.10735,68,-0.3310,121,0.77826,80,0.08127,58,-0.4334
ENSG00000001461,NIPAL3,96,-0.5674,107,-0.6274,205,0.68668,143,0.07942,220,0.81648
ENSG00000133226,SRRM1,164,-0.4063,123,-1.2774,445,1.32830,301,0.60449,283,0.50117
ENSG00000169504,CLIC4,97,2.19989,16,-1.3897,33,0.15569,9,-1.8691,37,0.33395
ENSG00000117614,SYF2,174,0.26497,113,-0.7017,207,0.56053,149,0.00650,206,0.55256
ENSG00000117616,RSRP1,64,-0.0705,61,-0.2582,187,1.88754,28,-1.3841,14,-2.3534
ENSG00000183726,TMEM50A,86,0.46703,74,0.38076,47,-0.5382,58,-0.1934,36,-0.9495
ENSG00000204178,MACO1,35,-1.1652,58,-0.5965,109,0.67864,117,0.80936,91,0.36844
ENSG00000117643,MAN1C1,39,-0.2844,58,0.71633,36,-0.3845,35,-0.4583,30,-0.7053
ENSG00000162430,SELENON,49,1.16692,25,-0.0125,20,-0.3978,17,-0.5868,15,-0.8246
ENSG00000117640,MTFR1L,66,-0.1881,89,0.59314,52,-0.5490,50,-0.6271,67,-0.1565
ENSG00000117632,STMN1,455,-1.5031,1423,0.58070,822,-0.5907,1507,0.40120,1019,-0.2480
ENSG00000158008,EXTL1,22,-0.9608,50,0.64267,39,-0.0960,47,0.21548,20,-1.1145
ENSG00000142684,ZNF593,34,-0.2562,49,0.74308,21,-0.9664,30,-0.4257,32,-0.3164
ENSG00000142669,SH3BGRL3,169,0.57766,124,0.08396,62,-1.0484,90,-0.4609,146,0.31707
ENSG00000158062,UBXN11,19,-0.1504,26,0.72227,8,-1.5118,17,-0.3100,18,-0.1749
ENSG00000117682,DHDDS,16,-0.0880,20,0.49821,18,0.07639,6,-1.4835,16,-0.1151
ENSG00000198830,HMGN2,416,1.41558,164,-0.3782,173,-0.1353,131,-0.5851,131,-0.5807
ENSG00000117713,ARID1A,137,0.57271,87,-0.3230,117,0.29640,104,0.10018,77,-0.3876
ENSG00000204160,ZDHHC18,9,-1.3562,28,0.54991,29,0.37808,21,-0.1803,15,-0.6310
ENSG00000142751,GPN2,17,-0.5715,23,-0.2367,22,-0.1929,34,0.50254,35,0.55851
ENSG00000090273,NUDC,219,-0.2625,286,0.32107,232,-0.1737,215,-0.2916,250,-0.0501
ENSG00000253368,TRNP1,30,-0.7920,62,0.77224,35,-0.5485,32,-0.6985,48,-0.0240
ENSG00000090020,SLC9A1,16,-0.7880,33,0.57995,11,-1.4424,40,0.65047,20,-0.5074
ENSG00000142784,WDTC1,35,-0.0456,43,0.52120,28,-0.4155,34,-0.0857,21,-0.8447
ENSG00000186501,TMEM222,26,-0.8655,53,0.53620,66,0.66243,21,-1.1456,32,-0.5240
ENSG00000158195,WASF2,113,1.60754,17,-2.0890,73,0.76808,41,-0.1987,74,0.80758
ENSG00000126705,AHDC1,26,-1.2605,54,-0.1809,82,0.59824,60,0.06037,77,0.49491
ENSG00000126709,IFI6,109,0.42479,89,0.12296,53,-0.7518,88,0.05867,75,-0.2078
ENSG00000009780,FAM76A,14,-0.8820,25,0.08141,32,0.46112,26,0.10740,23,-0.1191
ENSG00000117758,STX12,118,0.19411,117,0.33521,71,-0.6249,109,0.05976,73,-0.5784
ENSG00000117751,PPP1R8,27,-0.2052,39,0.79372,19,-0.7345,19,-0.7747,24,-0.3715
ENSG00000117748,RPA2,48,0.17622,52,0.57464,30,-0.5744,37,-0.2629,24,-0.9509
ENSG00000126698,DNAJC8,219,-0.2383,199,-0.6220,293,0.24165,370,0.64406,347,0.53136
ENSG00000130770,ATP5IF1,317,-0.0916,401,0.56636,192,-0.8920,298,-0.1955,275,-0.3230
ENSG00000204138,PHACTR4,44,0.66988,14,-1.5918,68,1.48041,40,0.52094,26,-0.2002
ENSG00000180098,TRNAU1AP,21,0.04306,25,0.61571,21,-0.0067,14,-0.6499,9,-1.1969
ENSG00000198492,YTHDF2,52,-1.0165,113,0.37211,86,-0.2393,133,0.47873,76,-0.4288
ENSG00000159023,EPB41,15,-0.8443,18,-0.9003,55,1.32011,42,0.83307,23,-0.1845
ENSG00000116350,SRSF4,74,-0.1428,61,-0.7044,150,1.06699,72,-0.1910,106,0.45306
ENSG00000116353,MECR,13,-0.9148,31,0.93760,11,-1.1495,23,-0.0180,16,-0.5582
ENSG00000162512,SDC3,275,0.88731,158,-0.1006,126,-0.4308,160,-0.0469,120,-0.5109
ENSG00000134644,PUM1,108,-0.8954,183,-0.1120,229,0.30931,240,0.38805,214,0.19065
ENSG00000121766,ZCCHC17,84,-0.9338,157,0.09478,132,-0.2247,217,0.60437,154,0.02152
ENSG00000121769,FABP3,20,-1.9761,90,0.61322,33,-1.2571,98,0.47333,82,0.16879
ENSG00000162517,PEF1,45,-0.7240,84,0.51720,50,-0.5793,75,0.09090,64,-0.1739
ENSG00000084636,COL16A1,57,1.07954,26,-0.4055,50,0.85652,17,-0.9499,15,-1.0738
ENSG00000121753,ADGRB2,132,-0.6959,262,0.84517,143,-0.5709,159,-0.3978,148,-0.5130
ENSG00000184007,PTP4A2,245,-0.0315,204,-0.5314,269,0.12575,204,-0.3311,463,1.07720
ENSG00000121774,KHDRBS1,158,0.21649,153,0.30606,124,-0.1748,123,-0.1906,90,-0.6925
ENSG00000025800,KPNA6,58,-0.8762,84,-0.5077,120,0.28332,177,0.95744,122,0.30038
ENSG00000084652,TXLNA,24,-0.3047,29,-0.0082,54,1.05022,25,-0.2430,14,-1.1176
ENSG00000160050,CCDC28B,30,0.79326,22,0.48586,9,-1.1163,20,0.07387,3,-2.4416
ENSG00000084623,EIF3I,103,0.12853,112,0.50344,67,-0.5639,100,0.08455,45,-1.1909
ENSG00000175130,MARCKSL1,543,1.92322,130,-0.9770,207,0.11848,73,-1.5114,200,0.06144
ENSG00000160058,BSDC1,49,-0.4947,72,0.23938,90,0.50721,65,-0.0417,40,-0.7981
ENSG00000160062,ZBTB8A,20,-0.2864,25,0.06999,32,0.43082,24,0.00193,19,-0.4211
ENSG00000176261,ZBTB8OS,46,0.73453,34,0.41014,17,-0.8794,16,-0.9518,23,-0.4191
ENSG00000162521,RBBP4,174,0.37814,130,-0.1892,156,0.19586,158,0.22171,103,-0.4828
ENSG00000162522,KIAA1522,25,0.04357,31,0.67892,29,0.23109,12,-1.1452,10,-1.3847
ENSG00000134684,YARS,66,-0.7269,122,0.50775,84,-0.3385,123,0.28125,70,-0.6391
ENSG00000160097,FNDC5,19,-1.2601,54,0.82826,19,-1.2497,38,-0.1725,45,0.12561
ENSG00000121905,HPCA,63,-1.1691,204,1.74913,57,-1.3275,78,-0.8412,44,-1.7099
ENSG00000121900,TMEM54,52,0.30661,52,0.59325,20,-1.2168,18,-1.3255,48,0.14777
ENSG00000116514,RNF19B,20,0.21847,20,0.43513,11,-0.7498,17,-0.0277,11,-0.6883
ENSG00000004455,AK2,52,1.04145,28,-0.0551,25,-0.1948,21,-0.4916,18,-0.7333
ENSG00000160094,ZNF362,25,0.14436,20,-0.2623,21,-0.1291,23,0.00146,31,0.50265
ENSG00000134686,PHC2,54,0.00889,60,0.36494,50,-0.0980,38,-0.5535,45,-0.2845
ENSG00000163866,SMIM12,28,-1.0866,79,1.16754,36,-0.7434,47,-0.3233,29,-1.0648
ENSG00000116544,DLGAP3,68,0.76069,49,0.33076,37,-0.2573,24,-0.9295,25,-0.8909
ENSG00000163867,ZMYM6,25,0.20606,22,0.05628,28,0.37887,21,-0.0995,13,-0.8283
ENSG00000116560,SFPQ,226,-0.3566,203,-0.8293,547,1.16169,334,0.28244,337,0.29671
ENSG00000146463,ZMYM4,52,-0.4675,63,-0.2772,88,0.40661,73,0.07760,91,0.45803
ENSG00000142687,KIAA0319L,67,-0.0621,72,0.12091,64,-0.1340,65,-0.1120,70,0.02317
ENSG00000020129,NCDN,206,-1.2849,659,1.26499,236,-1.0804,447,-0.0702,207,-1.2841
ENSG00000126067,PSMB2,77,-0.1793,104,0.60247,57,-0.6437,81,-0.1011,57,-0.6439
ENSG00000142686,C1orf216,24,-1.9904,109,0.74670,54,-0.7609,92,0.09754,90,0.04413
ENSG00000134698,AGO4,20,0.19285,18,0.17277,39,1.43155,4,-2.0209,2,-2.9978
ENSG00000092847,AGO1,47,-0.0117,49,0.11227,59,0.36582,42,-0.2061,34,-0.5167
ENSG00000126070,AGO3,53,-0.1363,36,-1.1005,135,1.54591,57,-0.0176,68,0.29272
ENSG00000054116,TRAPPC3,36,-0.3337,59,0.92652,33,-0.4929,33,-0.4827,21,-1.2135
ENSG00000116871,MAP7D1,137,-0.5534,223,0.44118,179,-0.1306,175,-0.1651,166,-0.2537
ENSG00000054118,THRAP3,166,-0.3640,146,-0.8871,309,0.67512,340,0.84623,265,0.40514
ENSG00000196182,STK40,11,-0.7954,21,0.30168,37,1.10941,14,-0.5249,7,-1.5689
ENSG00000181817,LSM10,36,0.08705,39,0.45478,17,-1.0778,31,-0.1634,31,-0.1569
ENSG00000116885,OSCP1,9,-0.7643,20,0.81088,8,-1.0290,18,0.22232,9,-0.7716
ENSG00000116898,MRPS15,46,0.14219,51,0.58686,22,-0.9996,29,-0.6041,37,-0.1955
ENSG00000163875,MEAF6,70,-0.8442,142,0.57130,111,-0.1060,131,0.16560,69,-0.8531
ENSG00000163877,SNIP1,12,-0.8459,22,0.23080,41,1.16919,11,-0.9628,12,-0.8165
ENSG00000134697,GNL2,27,-0.1082,20,-0.8228,36,0.37313,52,1.04096,32,0.17072
ENSG00000185090,MANEAL,14,-0.8049,36,1.46624,12,-1.1083,15,-0.7040,9,-1.5218
ENSG00000197982,C1orf122,193,0.98820,121,0.31177,77,-0.5672,40,-1.5749,80,-0.5012
ENSG00000188786,MTF1,26,0.46239,11,-1.2413,34,0.96075,18,-0.0875,32,0.82738
ENSG00000183431,SF3A3,45,-0.2796,58,0.23085,35,-0.6787,67,0.34993,51,-0.0831
ENSG00000183520,UTP11,30,-0.4512,32,-0.5213,48,0.31872,65,0.84046,44,0.18665
ENSG00000116954,RRAGC,54,0.03678,50,-0.1319,57,0.14823,61,0.23934,48,-0.1501
ENSG00000174574,AKIRIN1,62,-0.5602,101,0.40634,80,-0.1685,77,-0.2228,85,-0.0686
ENSG00000168653,NDUFS5,493,-0.2231,705,0.72773,286,-1.0791,428,-0.4482,494,-0.2186
ENSG00000127603,MACF1,397,0.09729,184,-1.6125,992,1.78840,349,-0.1151,522,0.56079
ENSG00000090621,PABPC4,82,0.40316,47,-0.7939,98,0.70732,58,-0.1635,90,0.55087
ENSG00000116983,HPCAL4,276,-0.1788,324,0.15214,279,-0.1593,336,0.14231,276,-0.1797
ENSG00000084072,PPIE,39,0.01591,45,0.42235,25,-0.6926,33,-0.2721,35,-0.1491
ENSG00000131236,CAP1,148,0.06399,147,0.09992,141,-0.0173,132,-0.1228,129,-0.1639
ENSG00000131238,PPT1,189,0.58274,151,0.36409,82,-0.7899,113,-0.2804,85,-0.7273
ENSG00000117000,RLF,14,-1.2453,26,-0.5555,66,1.27229,48,0.71797,23,-0.5052
ENSG00000084073,ZMPSTE24,49,0.47381,40,0.21408,26,-0.5659,42,0.20692,20,-0.9724
ENSG00000084070,SMAP2,44,-2.1880,173,-0.1618,208,0.21579,333,1.03965,188,0.04320
ENSG00000117016,RIMS3,137,-0.6543,272,0.95933,122,-0.8308,129,-0.7428,170,-0.3086
ENSG00000066136,NFYC,42,0.10856,48,0.59794,25,-0.7295,36,-0.1539,22,-0.8966
ENSG00000179862,CITED4,13,-0.7789,27,0.92504,25,0.27972,4,-2.4946,16,-0.4344
ENSG00000127124,HIVEP3,20,-0.7552,27,-0.4387,53,0.84115,36,0.16661,40,0.36564
ENSG00000198815,FOXJ3,33,-0.9417,73,0.59058,74,0.32466,40,-0.6729,46,-0.4303
ENSG00000177181,RIMKLA,24,-1.3536,59,0.06409,50,-0.2294,78,0.50300,73,0.40400
ENSG00000127125,PPCS,77,0.33767,64,0.03400,45,-0.5563,69,0.14914,58,-0.1241
ENSG00000186409,CCDC30,35,-0.8009,39,-0.9851,86,0.64317,78,0.49272,112,1.13492
ENSG00000065978,YBX1,239,1.88325,56,-1.0550,92,0.11547,55,-0.7126,80,-0.1258
ENSG00000164008,C1orf50,26,0.23202,22,-0.1127,29,0.41874,19,-0.2963,20,-0.1898
ENSG00000177868,SVBP,36,-0.0361,36,-0.0604,27,-0.5340,40,0.11825,49,0.45914
ENSG00000117394,SLC2A1,90,2.07693,26,-0.3677,16,-0.9346,12,-1.3518,15,-1.0443
ENSG00000117395,EBNA1BP2,63,-0.3052,82,0.21463,41,-0.9685,107,0.55947,72,-0.1045
ENSG00000066322,ELOVL1,58,2.09795,11,-1.2719,37,1.13602,3,-2.7395,10,-0.9740
ENSG00000159479,MED8,18,-0.4645,30,0.61078,20,-0.3618,23,-0.1053,16,-0.6278
ENSG00000142949,PTPRF,131,-0.0165,156,0.52877,81,-0.7869,89,-0.6369,132,0.00038
ENSG00000066135,KDM4A,7,-1.5298,20,-0.0794,40,1.16846,20,-0.0509,17,-0.3247
ENSG00000126091,ST3GAL3,35,-0.3033,51,0.67729,50,0.29890,19,-1.2388,25,-0.8289
ENSG00000117408,IPO13,71,0.53225,52,0.01849,53,0.04209,35,-0.6300,46,-0.1675
ENSG00000117410,ATP6V0B,212,-0.9470,495,0.86303,240,-0.7477,369,-0.0656,268,-0.5795
ENSG00000117411,B4GALT2,85,0.22470,76,0.07333,52,-0.5773,50,-0.6291,102,0.54328
ENSG00000178028,DMAP1,47,-0.3944,72,0.56002,53,-0.2024,59,-0.0392,35,-0.8457
ENSG00000117419,ERI3,115,-0.1074,140,0.40635,70,-0.8888,113,-0.1401,125,0.02075
ENSG00000187147,RNF220,64,-0.9525,142,0.65465,91,-0.4023,83,-0.5336,123,0.09462
ENSG00000142937,RPS8,1580,0.98176,811,-0.2770,704,-0.3924,566,-0.7369,1082,0.31297
ENSG00000070785,EIF2B3,23,-0.6856,43,0.59803,23,-0.6747,36,0.01718,31,-0.2415
ENSG00000126088,UROD,69,0.00803,87,0.75701,27,-1.4766,61,-0.2000,48,-0.5894
