Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000221978,CCNL2,46,0.36438,19,-1.0161,45,0.37153,30,-0.2764,40,0.19134,41,0.19432,36,-0.0018,42,0.24153,15,-1.3526
ENSG00000242485,MRPL20,175,0.59565,172,0.56860,131,0.14251,103,-0.2556,87,-0.5553,96,-0.3613,157,0.42496,88,-0.4922,102,-0.2616
ENSG00000235098,ANKRD65,32,0.39559,38,0.67946,37,0.73357,11,-1.2549,11,-1.3224,19,-0.4236,35,0.53780,16,-0.7096,27,0.15674
ENSG00000179403,VWA1,36,1.25584,12,-0.5373,3,-2.6674,9,-0.9409,3,-2.5505,35,1.18800,45,1.67691,25,0.63086,11,-0.6225
ENSG00000205090,TMEM240,24,-0.1967,13,-1.1182,35,0.42435,64,1.42126,29,0.11027,17,-0.6999,11,-1.3929,29,0.10025,15,-0.9320
ENSG00000160075,SSU72,154,0.37837,185,0.68240,99,-0.3480,117,-0.0616,112,-0.1436,109,-0.1726,162,0.45502,92,-0.4414,97,-0.3554
ENSG00000228594,FNDC10,29,0.18470,14,-0.9162,17,-0.6944,64,1.51238,23,-0.2148,18,-0.5679,34,0.43465,16,-0.7128,30,0.22197
ENSG00000272106,AL691432.2,31,0.85540,20,0.16060,22,0.34667,18,0.02254,7,-1.5392,9,-1.0673,29,0.76073,21,0.28324,12,-0.5539
ENSG00000197530,MIB2,18,-0.1903,7,-1.5378,25,0.38878,30,0.65635,14,-0.5742,20,0.00027,24,0.29807,21,0.06057,22,0.15002
ENSG00000248333,CDK11B,33,-0.5486,51,0.09788,39,-0.3423,62,0.41140,39,-0.3348,105,1.31612,22,-1.1643,57,0.27483,38,-0.3443
ENSG00000008128,CDK11A,27,0.32930,15,-0.5784,7,-1.8382,31,0.54698,19,-0.2580,80,2.26541,5,-2.2036,15,-0.5690,18,-0.3268
ENSG00000215790,SLC35E2A,20,-0.4489,21,-0.3735,23,-0.3080,33,0.29287,36,0.48721,13,-1.1062,50,1.00463,17,-0.6744,27,-0.0021
ENSG00000008130,NADK,38,0.88315,26,0.26579,25,0.22976,18,-0.3157,18,-0.3152,26,0.29057,23,0.05928,14,-0.6748,10,-1.1883
ENSG00000078369,GNB1,611,0.53071,476,0.12518,440,0.00103,339,-0.4094,368,-0.3099,315,-0.5208,694,0.74230,328,-0.4581,461,0.07269
ENSG00000187730,GABRD,134,-0.0822,134,-0.0862,255,1.12465,161,0.20833,155,0.15842,59,-1.3415,81,-0.8674,92,-0.6638,77,-0.9378
ENSG00000067606,PRKCZ,132,-0.1009,133,-0.0874,192,0.56093,210,0.64063,115,-0.3590,54,-1.4724,164,0.24148,118,-0.2847,129,-0.1460
ENSG00000162585,FAAP20,27,-0.3240,15,-1.1657,11,-1.7577,40,0.30069,30,-0.1780,58,0.90444,53,0.76837,39,0.24392,51,0.68810
ENSG00000157933,SKI,26,-0.4055,24,-0.5202,30,-0.2038,14,-1.3215,26,-0.4597,72,1.25340,52,0.69557,29,-0.2045,42,0.35755
ENSG00000157916,RER1,57,0.53456,26,-0.6859,52,0.44463,43,0.08585,24,-0.8512,44,0.11557,65,0.76525,38,-0.1129,22,-0.9425
ENSG00000157911,PEX10,17,-0.1564,18,-0.0679,18,-0.0639,17,-0.1891,10,-1.0229,32,0.85365,29,0.67659,20,0.06000,19,-0.0022
ENSG00000197921,HES5,8,-1.5523,20,-0.1568,12,-0.9425,8,-1.4130,4,-2.6205,46,1.23937,66,1.90154,40,0.99901,19,-0.1930
ENSG00000157870,PRXL2B,46,-0.0963,25,-1.0442,64,0.49300,94,1.07175,40,-0.3392,33,-0.6002,64,0.44152,32,-0.6585,35,-0.5046
ENSG00000177133,PRDM16-DT,9,-1.2311,30,0.51378,13,-0.8725,8,-1.3775,4,-2.4320,48,1.31834,46,1.24648,45,1.20636,17,-0.3989
ENSG00000158109,TPRG1L,245,0.66299,206,0.37891,225,0.59746,161,-0.0192,143,-0.2184,72,-1.2438,174,0.10868,61,-1.4905,133,-0.3188
ENSG00000130764,LRRC47,106,1.08551,50,-0.1445,83,0.77128,45,-0.3230,37,-0.6537,29,-0.9630,62,0.20494,42,-0.4319,29,-0.9865
ENSG00000116198,CEP104,31,-0.0539,27,-0.2795,19,-0.8571,22,-0.6061,42,0.47183,85,1.62978,15,-1.1515,27,-0.2868,26,-0.3160
ENSG00000196581,AJAP1,26,-0.7380,56,0.43884,58,0.56934,48,0.17083,54,0.42918,24,-0.8756,30,-0.5354,26,-0.7302,33,-0.3764
ENSG00000069424,KCNAB2,179,0.08591,144,-0.2587,214,0.41908,275,0.78475,132,-0.4277,86,-1.0537,287,0.85794,63,-1.5097,142,-0.2862
ENSG00000116254,CHD5,99,-1.4545,274,0.09678,219,-0.2821,379,0.62414,357,0.59637,169,-0.6520,114,-1.2480,357,0.52456,291,0.19414
ENSG00000116251,RPL22,459,-0.1383,750,0.65491,424,-0.2878,318,-0.7072,366,-0.5350,616,0.33307,642,0.39802,413,-0.3021,731,0.61322
ENSG00000116237,ICMT,54,0.73808,31,-0.1787,54,0.83175,40,0.23845,28,-0.3653,9,-1.9712,31,-0.1382,28,-0.3189,21,-0.7150
ENSG00000097021,ACOT7,300,1.06626,178,0.19380,294,1.21126,172,0.14567,124,-0.4119,53,-1.6416,104,-0.6384,40,-2.0550,46,-1.8578
ENSG00000215788,TNFRSF25,10,-0.4515,11,-0.3363,17,0.33998,12,-0.1718,17,0.38464,12,-0.2127,14,-0.0212,15,0.08747,10,-0.4698
ENSG00000171680,PLEKHG5,17,-0.5514,16,-0.6616,45,1.11715,43,0.88054,17,-0.6293,27,0.15654,19,-0.4083,11,-1.1766,16,-0.7101
ENSG00000162408,NOL9,51,0.94357,29,0.02112,28,-0.0366,17,-0.7500,24,-0.3075,22,-0.3610,35,0.33919,29,0.04923,26,-0.1659
ENSG00000162413,KLHL21,33,0.58704,21,-0.1208,28,0.39066,10,-1.2307,20,-0.2302,25,0.14871,33,0.57131,18,-0.3656,14,-0.6929
ENSG00000116273,PHF13,15,0.10899,11,-0.2659,24,1.03527,10,-0.4899,17,0.42750,13,-0.1051,6,-1.2861,4,-1.6512,9,-0.6206
ENSG00000041988,THAP3,32,1.31327,14,-0.0581,19,0.54450,13,-0.1983,12,-0.2803,15,0.04359,5,-1.4706,9,-0.7654,8,-0.9295
ENSG00000007923,DNAJC11,41,0.57182,20,-0.5509,30,0.06663,41,0.58985,26,-0.1590,25,-0.2157,21,-0.4383,24,-0.2489,30,0.07792
ENSG00000171735,CAMTA1,509,0.07936,337,-0.5659,425,-0.2302,510,0.07945,761,0.84602,319,-0.6526,284,-0.8281,656,0.48838,345,-0.5307
ENSG00000049245,VAMP3,52,1.45706,21,-0.0626,9,-1.4737,14,-0.6910,8,-1.5908,33,0.66985,42,1.05082,19,-0.1731,25,0.24197
ENSG00000049246,PER3,33,-0.4806,43,-0.1068,42,-0.1590,22,-1.0983,42,-0.1450,107,1.42423,35,-0.4234,58,0.36643,38,-0.3017
ENSG00000116288,PARK7,311,0.23566,469,0.91837,307,0.23941,134,-1.0695,183,-0.6497,211,-0.3759,472,0.92746,187,-0.5611,187,-0.5601
ENSG00000116285,ERRFI1,22,0.18123,24,0.28157,21,0.10000,26,0.41267,23,0.25597,12,-0.7151,16,-0.3077,14,-0.5308,16,-0.3377
ENSG00000162426,SLC45A1,21,-0.0981,18,-0.3091,27,0.37696,38,0.90468,30,0.55146,13,-0.7834,18,-0.3135,12,-0.8941,7,-1.5913
ENSG00000142599,RERE,111,-0.5017,179,0.25373,140,-0.1585,115,-0.4432,156,0.03177,202,0.45075,139,-0.1499,154,0.01682,190,0.35000
ENSG00000074800,ENO1,456,0.03101,349,-0.3867,465,0.07065,456,0.03259,275,-0.8156,554,0.34292,1006,1.36081,330,-0.4734,285,-0.6985
ENSG00000171612,SLC25A33,25,-0.8162,50,0.23267,30,-0.6145,18,-1.3281,19,-1.3301,60,0.50953,147,2.13117,52,0.29507,27,-0.7444
ENSG00000171603,CLSTN1,620,0.08009,443,-0.4451,992,0.98817,799,0.49125,691,0.28574,307,-1.0062,365,-0.7436,371,-0.7191,211,-1.5700
ENSG00000178585,CTNNBIP1,16,-0.4756,20,-0.1577,13,-0.8339,23,0.06922,19,-0.2762,16,-0.5353,35,0.73560,32,0.57948,38,0.84761
ENSG00000162441,LZIC,82,0.52717,78,0.44103,39,-0.7054,24,-1.3685,45,-0.4735,104,0.92263,79,0.45592,47,-0.3687,70,0.26807
ENSG00000130939,UBE4B,46,0.54911,28,-0.2228,36,0.14509,23,-0.5273,50,0.79448,12,-1.5295,29,-0.1777,30,-0.1357,20,-0.7822
ENSG00000054523,KIF1B,387,-0.1747,411,-0.0786,376,-0.2414,400,-0.1243,535,0.38554,382,-0.1929,312,-0.5072,591,0.50562,449,0.05919
ENSG00000142657,PGD,62,0.47101,23,-1.0760,62,0.52982,79,0.86540,34,-0.5507,27,-0.8190,60,0.40416,40,-0.2199,28,-0.7899
ENSG00000241563,CORT,49,1.41507,34,0.80330,18,-0.2834,7,-1.5864,20,-0.0227,9,-1.2031,39,1.00313,5,-1.9866,9,-1.2045
ENSG00000160049,DFFA,53,0.28516,24,-0.9576,31,-0.5998,39,-0.2147,24,-0.9833,76,0.87749,77,0.90280,64,0.59137,44,-0.0073
ENSG00000142655,PEX14,20,0.43159,14,-0.1089,16,0.02073,30,1.09464,12,-0.4084,12,-0.4446,16,0.07880,14,-0.1531,8,-1.0376
ENSG00000120948,TARDBP,77,0.08220,91,0.34200,71,-0.0536,51,-0.5710,89,0.34748,62,-0.2682,68,-0.1169,68,-0.1100,69,-0.0871
ENSG00000116649,SRM,52,0.24403,52,0.25560,51,0.24518,48,0.11305,38,-0.2733,25,-0.8827,70,0.74599,28,-0.7301,36,-0.3203
ENSG00000171824,EXOSC10,35,0.37991,21,-0.3843,19,-0.6603,19,-0.5969,30,0.14219,52,1.04785,27,-0.0377,32,0.21764,20,-0.4731
ENSG00000198793,MTOR,42,0.02629,51,0.33141,50,0.35568,49,0.27318,43,0.08473,32,-0.3879,50,0.31567,21,-1.0255,21,-1.0077
ENSG00000116661,FBXO2,122,-0.5751,162,-0.1377,157,-0.1969,170,-0.0592,88,-1.1570,239,0.49355,478,1.70522,77,-1.2751,202,0.21831
ENSG00000132879,FBXO44,56,-0.3902,65,-0.1503,109,0.76646,87,0.30228,74,0.04749,33,-1.1696,69,-0.0633,64,-0.1951,52,-0.5161
ENSG00000177000,MTHFR,24,0.34170,15,-0.3478,18,-0.1349,21,0.12496,21,0.16902,27,0.55459,20,0.03871,14,-0.5204,13,-0.6036
ENSG00000011021,CLCN6,48,-0.3188,32,-0.9330,47,-0.3736,135,1.38380,76,0.45877,23,-1.4456,52,-0.1884,72,0.32534,40,-0.6157
ENSG00000116685,KIAA2013,47,1.06045,20,-0.2880,30,0.34269,31,0.34808,18,-0.5657,28,0.22910,23,-0.1189,16,-0.6336,10,-1.3149
ENSG00000083444,PLOD1,19,0.53780,12,-0.1945,12,-0.2943,21,0.62113,7,-1.0167,22,0.74648,20,0.55644,16,0.19278,5,-1.5626
ENSG00000116688,MFN2,130,0.45322,87,-0.1918,123,0.41277,102,0.06830,109,0.18534,49,-1.0715,95,-0.0472,77,-0.3748,74,-0.4341
ENSG00000048707,VPS13D,60,-0.0718,50,-0.3489,59,-0.1048,49,-0.3639,79,0.42149,82,0.44230,56,-0.1628,76,0.31579,38,-0.7727
ENSG00000162496,DHRS3,24,0.19675,5,-2.0645,14,-0.6679,18,-0.2306,5,-2.1209,76,2.24546,49,1.38241,9,-1.3239,13,-0.7231
ENSG00000116731,PRDM2,181,-0.5358,262,0.04331,280,0.16734,195,-0.4178,381,0.74524,195,-0.4213,72,-1.9187,305,0.28887,273,0.10619
ENSG00000189337,KAZN,70,0.54512,28,-0.9011,32,-0.7253,64,0.41397,58,0.26948,57,0.20757,64,0.39652,47,-0.0732,37,-0.4576
ENSG00000142634,EFHD2,63,0.52359,9,-2.4289,11,-2.2077,79,0.90580,68,0.75085,27,-0.7811,18,-1.4052,115,1.56993,30,-0.6496
ENSG00000116138,DNAJC16,46,0.62226,38,0.31452,41,0.49040,41,0.43369,35,0.24198,18,-0.8110,12,-1.4698,17,-0.9271,18,-0.8590
ENSG00000197312,DDI2,37,0.01708,47,0.41178,32,-0.1993,35,-0.0786,50,0.57575,29,-0.3782,15,-1.3426,48,0.44868,25,-0.5541
ENSG00000116786,PLEKHM2,77,-0.4045,106,0.10865,80,-0.3627,70,-0.5441,96,-0.0698,69,-0.5605,110,0.15856,144,0.59701,165,0.82941
ENSG00000065526,SPEN,79,-1.2463,212,0.27257,159,-0.2041,77,-1.2851,244,0.56539,326,0.98852,66,-1.5106,213,0.28225,187,0.07483
ENSG00000116809,ZBTB17,18,0.06887,17,-0.0124,12,-0.5865,14,-0.2801,15,-0.2036,23,0.45035,23,0.42127,21,0.26630,20,0.19092
ENSG00000037637,FBXO42,19,0.25884,2,-2.6501,23,0.59608,16,-0.0847,22,0.53872,17,0.04084,19,0.25026,12,-0.4172,4,-1.8741
ENSG00000055070,SZRD1,17,-0.7730,18,-0.6707,21,-0.4950,24,-0.2136,19,-0.6603,62,1.32129,47,0.84225,37,0.43374,23,-0.2861
ENSG00000159363,ATP13A2,84,0.28398,42,-0.7755,100,0.65977,113,0.77397,60,-0.2645,38,-0.9523,63,-0.1649,40,-0.8459,70,-0.0063
ENSG00000117118,SDHB,74,0.45046,79,0.54282,63,0.20162,54,-0.0631,52,-0.1452,38,-0.5959,75,0.46361,45,-0.3510,23,-1.3219
ENSG00000117115,PADI2,104,1.11806,20,-1.4924,17,-1.8509,20,-1.4494,10,-2.5261,134,1.57157,152,1.80288,36,-0.5783,62,0.24991
ENSG00000179051,RCC2,12,-0.6665,20,0.07352,25,0.44676,40,1.17353,17,-0.2477,14,-0.4621,20,0.04248,9,-1.0689,14,-0.5291
ENSG00000074964,ARHGEF10L,22,0.71157,12,-0.2403,12,-0.1970,9,-0.6477,8,-0.8931,11,-0.3490,20,0.58656,21,0.68044,17,0.31312
ENSG00000117154,IGSF21,64,0.52222,40,-0.2378,56,0.35160,75,0.78593,39,-0.3047,26,-0.9021,44,-0.0610,37,-0.3246,32,-0.5584
ENSG00000159423,ALDH4A1,8,-1.1952,25,0.54610,11,-0.7926,13,-0.4171,4,-2.3571,23,0.43958,42,1.41323,40,1.33002,15,-0.2992
ENSG00000127481,UBR4,10,-1.9401,32,-0.2959,33,-0.2571,16,-1.3049,64,0.94432,76,1.12242,7,-2.5271,56,0.59992,32,-0.2695
ENSG00000127463,EMC1,53,0.90167,14,-1.1924,37,0.36284,36,0.25853,25,-0.3012,33,0.15469,19,-0.7465,36,0.25918,18,-0.7680
ENSG00000053372,MRTO4,25,-0.5401,53,0.67041,39,0.20909,36,0.03815,36,0.06763,42,0.27160,28,-0.3456,19,-0.9114,31,-0.1858
ENSG00000053371,AKR7A2,22,-0.4725,38,0.38444,24,-0.3533,10,-1.5854,14,-1.2436,59,1.08783,75,1.52591,29,-0.0800,22,-0.5057
ENSG00000077549,CAPZB,177,0.15458,89,-0.9079,201,0.40365,244,0.68171,151,-0.1113,122,-0.4221,205,0.39527,122,-0.4279,103,-0.6907
ENSG00000173436,MICOS10,258,0.18861,221,-0.0569,197,-0.2595,198,-0.2354,198,-0.2561,134,-0.8358,339,0.63389,236,0.04271,347,0.67261
ENSG00000158747,NBL1,166,0.52427,99,-0.3003,122,0.02861,165,0.51639,95,-0.3935,124,0.05875,119,-0.0053,105,-0.1980,104,-0.2129
ENSG00000169914,OTUD3,11,-0.4311,10,-0.6536,17,0.28778,5,-1.4446,27,1.09488,14,-0.0813,5,-1.4501,20,0.47903,9,-0.7399
ENSG00000162545,CAMK2N1,1095,-0.8231,3809,1.19238,2337,0.41288,763,-1.3681,1345,-0.5550,1310,-0.5490,2833,0.68351,743,-1.4091,2556,0.51278
ENSG00000090432,MUL1,10,-0.5307,14,-0.0427,21,0.69404,9,-0.6898,15,0.07325,14,-0.0597,14,-0.0391,24,0.78174,1,-3.1005
ENSG00000158828,PINK1,677,0.98893,375,0.01505,441,0.31176,402,0.12841,319,-0.2643,177,-1.1425,432,0.24084,218,-0.8241,283,-0.4257
ENSG00000244038,DDOST,15,-0.3865,9,-1.1505,29,0.76598,16,-0.3046,14,-0.4588,22,0.25400,44,1.39960,7,-1.4256,9,-1.0421
ENSG00000117245,KIF17,28,0.53531,10,-1.0687,26,0.47554,44,1.28556,27,0.49822,6,-1.8440,7,-1.6100,12,-0.8096,10,-1.1133
ENSG00000189410,SH2D5,59,0.89706,21,-0.7111,70,1.40006,28,-0.3155,13,-1.5455,29,-0.2445,42,0.32461,12,-1.5858,18,-0.9479
ENSG00000127483,HP1BP3,188,-0.9094,407,0.29751,315,-0.1238,209,-0.7459,416,0.37456,548,0.78695,219,-0.6765,371,0.14626,316,-0.1063
ENSG00000075151,EIF4G3,306,-0.2234,376,0.10140,368,0.07472,387,0.14820,616,1.06488,278,-0.3755,128,-1.5464,230,-0.6647,207,-0.8245
ENSG00000117298,ECE1,17,0.15740,5,-1.6780,10,-0.7494,15,-0.0435,8,-1.0994,58,2.29934,12,-0.4249,19,0.26688,11,-0.5578
ENSG00000076864,RAP1GAP,114,0.46679,37,-1.2753,85,-0.0077,132,0.70937,105,0.36986,60,-0.5450,69,-0.3268,111,0.42355,35,-1.3395
ENSG00000090686,USP48,67,-0.2703,58,-0.5035,84,0.08850,66,-0.2999,124,0.82569,95,0.26947,34,-1.2824,77,-0.0552,65,-0.3260
ENSG00000070831,CDC42,227,0.52356,91,-0.9092,206,0.41499,268,0.80290,159,-0.0473,166,0.02036,140,-0.2500,106,-0.6802,74,-1.2156
ENSG00000004487,KDM1A,78,-0.0172,98,0.34675,103,0.49028,66,-0.2796,99,0.40847,51,-0.6887,65,-0.2926,67,-0.2667,39,-1.0909
ENSG00000169641,LUZP1,202,-0.1173,140,-0.6803,190,-0.2339,332,0.68803,395,1.14701,187,-0.2355,51,-2.2010,173,-0.3618,138,-0.7104
ENSG00000125944,HNRNPR,106,-0.4193,168,0.31166,177,0.44377,92,-0.6328,174,0.41406,143,0.05523,106,-0.4151,115,-0.2903,90,-0.6630
ENSG00000204219,TCEA3,1,-3.5800,10,-0.7061,8,-1.1590,2,-3.0741,17,0.07942,50,1.95912,18,0.13953,26,0.77938,21,0.39018
ENSG00000117318,ID3,32,0.93427,0,-8.5477,1,-3.6985,2,-3.1166,0,-6.2343,111,3.59985,29,0.76225,3,-2.3192,19,0.07764
ENSG00000142676,RPL11,524,0.49196,326,-0.2640,301,-0.4306,262,-0.6065,214,-0.9888,531,0.51559,658,0.87433,386,4.36718,531,0.51535
ENSG00000011007,ELOA,34,0.12434,28,-0.1431,28,-0.1645,24,-0.3880,43,0.56722,36,0.24812,25,-0.3181,22,-0.5574,31,-0.0073
ENSG00000057757,PITHD1,188,0.67457,131,0.08672,157,0.42726,164,0.45599,127,0.04425,43,-1.6043,126,0.03159,82,-0.6477,61,-1.0970
ENSG00000011009,LYPLA2,18,-0.0779,21,0.14538,20,0.11495,41,1.28654,13,-0.6323,11,-0.7353,21,0.14981,15,-0.3848,14,-0.3934
ENSG00000117308,GALE,18,0.50696,10,-0.3815,16,0.42556,4,-1.6008,11,-0.1975,16,0.32462,7,-0.9472,21,0.75259,11,-0.2943
ENSG00000117305,HMGCL,14,-0.0803,13,-0.1773,10,-0.5725,9,-0.7472,9,-0.8286,42,1.76296,26,0.92378,12,-0.2942,7,-1.0308
ENSG00000189266,PNRC2,88,0.63503,53,-0.1829,72,0.34756,43,-0.5185,51,-0.2747,55,-0.1149,79,0.45527,42,-0.5578,49,-0.3019
ENSG00000188529,SRSF10,79,0.30340,57,-0.2169,69,0.11097,41,-0.6964,75,0.26110,92,0.54793,38,-0.8448,72,0.16432,48,-0.4570
ENSG00000001461,NIPAL3,186,1.14702,50,-0.9541,73,-0.4038,121,0.42515,100,0.12365,100,0.11442,106,0.20578,68,-0.4921,46,-1.0839
ENSG00000133226,SRRM1,171,-0.4686,207,-0.1749,161,-0.6103,218,-0.0925,264,0.24038,600,1.62594,112,-1.1180,223,-0.0572,160,-0.5747
ENSG00000169504,CLIC4,88,2.03962,5,-2.5616,0,-7.2810,6,-2.1044,5,-2.5975,94,2.17137,48,0.91768,26,-0.0475,22,-0.3077
ENSG00000117614,SYF2,97,-0.5900,208,0.61753,144,0.02933,96,-0.6119,125,-0.2125,233,0.81326,115,-0.3284,120,-0.2585,151,0.10541
ENSG00000117616,RSRP1,98,1.33880,18,-1.3856,24,-1.0080,29,-0.6309,58,0.48521,82,1.01738,46,0.07294,31,-0.5250,17,-1.4484
ENSG00000183726,TMEM50A,78,0.23026,37,-0.9033,107,0.86163,61,-0.1619,56,-0.3181,56,-0.2781,71,0.08620,67,-0.0164,45,-0.6182
ENSG00000204178,MACO1,58,-0.3883,40,-0.9586,76,0.01901,81,0.12562,113,0.75403,102,0.49085,35,-1.1414,82,0.13578,49,-0.6540
ENSG00000117643,MAN1C1,33,-0.0225,47,0.54606,63,1.20958,17,-0.9950,32,-0.0784,31,-0.1107,22,-0.6615,8,-2.0424,20,-0.8107
ENSG00000162430,SELENON,7,-1.4777,14,-0.4712,14,-0.4263,7,-1.3723,11,-0.8972,38,1.15170,46,1.48953,20,0.08497,24,0.38433
ENSG00000117640,MTFR1L,67,0.26743,68,0.29839,61,0.14143,88,0.72595,48,-0.2676,41,-0.4941,66,0.25230,32,-0.8490,39,-0.5696
ENSG00000117632,STMN1,1696,0.72815,1289,0.27618,1271,0.28472,1103,0.02569,1500,0.59526,380,-1.6022,670,-0.7488,793,-0.4912,461,-1.3151
ENSG00000158008,EXTL1,33,0.19727,24,-0.3141,26,-0.1858,48,0.80000,22,-0.4987,20,-0.5683,33,0.18162,31,0.05917,38,0.38747
ENSG00000175087,PDIK1L,10,-0.5707,10,-0.6320,15,0.03274,22,0.61812,20,0.51520,5,-1.6230,20,0.44643,19,0.38609,8,-0.9250
ENSG00000142684,ZNF593,44,1.05762,31,0.46162,39,0.98833,6,-1.9653,10,-1.3487,19,-0.2832,34,0.58683,12,-0.9512,10,-1.2710
ENSG00000142669,SH3BGRL3,145,0.32084,171,0.59329,88,-0.5083,193,0.79618,80,-0.6686,122,0.04292,154,0.41350,69,-0.8467,116,-0.0419
ENSG00000158062,UBXN11,10,-0.4628,11,-0.3567,20,0.68829,9,-0.6601,9,-0.6454,14,0.06942,21,0.66156,7,-0.9716,20,0.60842
ENSG00000117682,DHDDS,11,-0.3293,11,-0.3107,12,-0.1787,17,0.37086,12,-0.2107,7,-1.0255,20,0.57753,24,0.89306,12,-0.2277
ENSG00000198830,HMGN2,219,0.45573,157,-0.0835,126,-0.4585,89,-0.9561,115,-0.6075,224,0.49149,299,0.97315,132,-0.3541,214,0.41636
ENSG00000117713,ARID1A,63,0.00103,72,0.21850,68,0.12510,21,-1.6774,54,-0.2736,111,0.92733,62,-0.0161,54,-0.2337,66,0.08638
ENSG00000204160,ZDHHC18,18,0.03897,11,-0.7390,16,-0.1363,33,0.99402,19,0.17223,32,0.93836,12,-0.5610,8,-1.2587,10,-0.8850
ENSG00000142751,GPN2,11,-0.6438,10,-0.7791,25,0.66753,7,-1.3520,17,0.02320,31,0.94890,15,-0.2475,19,0.15507,12,-0.5899
ENSG00000090273,NUDC,285,0.47690,310,0.61800,261,0.38075,164,-0.4010,183,-0.2526,164,-0.4007,172,-0.3230,131,-0.7437,214,0.01860
ENSG00000253368,TRNP1,58,0.32306,44,-0.0975,48,0.04188,40,-0.2407,62,0.48918,30,-0.6992,50,0.08576,36,-0.4129,40,-0.2503
ENSG00000090020,SLC9A1,9,-1.1500,7,-1.4653,18,-0.1655,42,1.23388,34,0.98710,9,-1.1233,13,-0.6936,27,0.48574,7,-1.4458
ENSG00000142784,WDTC1,29,0.20231,25,-0.0608,21,-0.3712,30,0.26046,19,-0.5244,20,-0.4138,33,0.41737,32,0.36603,34,0.44906
ENSG00000186501,TMEM222,16,-0.9746,18,-0.7608,25,-0.2911,66,1.28636,28,-0.1002,33,0.12213,28,-0.1226,33,0.16392,30,0.00745
ENSG00000158195,WASF2,36,-0.1090,23,-0.8047,15,-1.4821,12,-1.7131,9,-2.2111,155,2.50371,67,0.91320,44,0.22177,37,-0.0675
ENSG00000126705,AHDC1,34,-0.0724,39,0.13283,39,0.14672,40,0.17989,33,-0.1201,35,-0.0189,32,-0.1561,46,0.41108,22,-0.7574
ENSG00000126709,IFI6,143,0.53957,31,-1.8176,102,-0.0027,212,1.20918,98,-0.0707,90,-0.2059,100,-0.0347,81,-0.3713,69,-0.6204
ENSG00000009780,FAM76A,24,0.15636,14,-0.6797,34,0.82429,15,-0.5541,17,-0.4295,26,0.25275,16,-0.4693,24,0.17538,19,-0.2431
