Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000011009,LYPLA2,21,-0.1888,35,0.61804,13,-0.9164,26,0.32148
ENSG00000117308,GALE,10,-0.9074,22,0.45124,13,-0.4083,20,0.63073
ENSG00000189266,PNRC2,54,-0.2603,65,0.06859,62,-0.0061,66,0.16854
ENSG00000188529,SRSF10,53,-0.4479,136,1.14796,84,0.38041,58,-0.4102
ENSG00000001461,NIPAL3,94,-0.5955,172,0.44825,118,-0.1570,145,0.32938
ENSG00000133226,SRRM1,215,-0.0044,318,0.62102,402,1.17251,137,-1.1061
ENSG00000169504,CLIC4,47,2.12457,20,0.04032,3,-2.9242,11,-1.2471
ENSG00000117614,SYF2,150,0.35671,79,-0.7169,207,0.92572,93,-0.7485
ENSG00000117616,RSRP1,27,-1.7079,385,3.08659,40,-0.9929,56,-0.7041
ENSG00000183726,TMEM50A,59,-0.1834,69,0.10370,43,-0.6702,74,0.42099
ENSG00000204178,MACO1,45,-0.8733,109,0.62756,115,0.82146,68,-0.2211
ENSG00000117643,MAN1C1,24,-0.9465,46,0.20245,28,-0.5958,52,0.83622
ENSG00000162430,SELENON,39,1.23304,42,1.04218,9,-1.4084,14,-1.0026
ENSG00000117640,MTFR1L,58,-0.0567,57,-0.0883,45,-0.4733,66,0.30472
ENSG00000117632,STMN1,802,-0.9396,797,-0.8185,1225,-0.1717,1767,0.90671
ENSG00000158008,EXTL1,43,0.27126,44,0.24306,26,-0.5953,38,-0.0053
ENSG00000175087,PDIK1L,12,-0.4952,14,-0.1380,15,-0.0244,18,0.39555
ENSG00000142684,ZNF593,37,-0.3834,32,-0.5438,42,-0.1275,53,0.48362
ENSG00000142669,SH3BGRL3,175,0.22196,141,-0.1656,102,-0.7088,168,0.20851
ENSG00000158062,UBXN11,24,0.21498,37,0.86183,14,-0.6685,20,-0.1879
ENSG00000117682,DHDDS,15,-0.5493,19,-0.0986,15,-0.4220,24,0.62318
ENSG00000198830,HMGN2,201,0.61598,159,0.10769,105,-0.5872,135,-0.2593
ENSG00000117713,ARID1A,81,0.30077,76,0.12378,84,0.32396,58,-0.4741
ENSG00000204160,ZDHHC18,15,-0.6952,25,0.14155,13,-0.8692,29,0.82670
ENSG00000142751,GPN2,17,-0.2687,18,-0.1816,20,-0.0452,22,0.27037
ENSG00000090273,NUDC,244,-0.0007,195,-0.3475,242,-0.0166,253,0.10588
ENSG00000253368,TRNP1,51,-0.0364,23,-1.2350,52,-0.0003,57,0.29470
ENSG00000090020,SLC9A1,16,-0.5819,21,-0.0312,20,-0.0877,25,0.45254
ENSG00000142784,WDTC1,31,0.59693,27,0.24704,16,-0.6283,21,-0.2727
ENSG00000186501,TMEM222,32,0.00574,51,0.75071,18,-0.9311,33,0.12502
ENSG00000158195,WASF2,76,1.80262,44,0.36993,32,-0.1411,14,-1.9668
ENSG00000126705,AHDC1,39,-0.6340,80,0.60332,62,0.20829,56,0.08166
ENSG00000126709,IFI6,76,-0.4538,119,0.30724,42,-1.3794,123,0.77883
ENSG00000009780,FAM76A,15,-0.4124,44,1.41755,22,0.30269,15,-0.5463
ENSG00000117758,STX12,87,-0.3390,141,0.47301,94,-0.1895,111,0.17442
ENSG00000117751,PPP1R8,28,0.10434,26,-0.0256,21,-0.3522,27,0.10831
ENSG00000117748,RPA2,23,-1.0780,55,0.39949,22,-1.0843,58,1.02413
ENSG00000126698,DNAJC8,253,0.16404,111,-1.1271,357,0.77772,201,-0.3902
ENSG00000130770,ATP5IF1,466,-0.2711,248,-1.1861,428,-0.3880,659,0.66101
ENSG00000204138,PHACTR4,37,1.08409,34,0.68622,32,0.63290,10,-1.8125
ENSG00000180098,TRNAU1AP,18,-0.0149,25,0.47752,10,-0.9719,20,0.27229
ENSG00000120656,TAF12,20,0.39339,16,-0.0203,14,-0.2603,15,-0.1724
ENSG00000198492,YTHDF2,51,-1.0701,91,-0.0621,93,-0.0289,117,0.70006
ENSG00000116329,OPRD1,12,-0.3112,11,-0.4702,23,0.85085,13,-0.2221
ENSG00000159023,EPB41,14,-0.5839,31,0.75441,42,1.47190,13,-1.0328
ENSG00000116350,SRSF4,74,-0.5106,115,0.25503,158,0.87144,87,-0.3207
ENSG00000116353,MECR,36,0.12480,30,-0.1432,18,-1.0329,38,0.39684
ENSG00000162512,SDC3,187,0.86743,138,0.17732,74,-0.8447,106,-0.4159
ENSG00000134644,PUM1,108,-0.5800,189,0.39014,217,0.69200,138,-0.1906
ENSG00000060688,SNRNP40,12,-1.0041,20,-0.0478,18,-0.2356,26,0.77689
ENSG00000121766,ZCCHC17,131,-0.3233,102,-0.6655,180,0.25029,170,0.25022
ENSG00000121769,FABP3,91,-0.7525,69,-1.0453,60,-1.3451,198,1.36014
ENSG00000162517,PEF1,62,-0.4340,55,-0.5264,51,-0.6969,99,0.78584
ENSG00000084636,COL16A1,26,-0.3005,65,1.23404,12,-1.5269,33,0.26580
ENSG00000121753,ADGRB2,166,-0.4042,234,0.19831,126,-0.8187,249,0.60004
ENSG00000184007,PTP4A2,359,0.67449,176,-0.5902,194,-0.4818,243,-0.1703
ENSG00000121774,KHDRBS1,83,-0.5884,130,0.19171,119,0.06062,127,0.30052
ENSG00000025800,KPNA6,74,-0.5501,83,-0.2913,140,0.59213,103,0.07944
ENSG00000084652,TXLNA,20,-0.1595,31,0.55256,27,0.39404,19,-0.3222
ENSG00000160050,CCDC28B,21,0.31999,10,-0.8096,17,-0.0279,17,-0.0412
ENSG00000084623,EIF3I,70,-0.7611,80,-0.4383,97,-0.1566,133,0.71028
ENSG00000175130,MARCKSL1,326,1.41491,158,-0.1405,82,-1.2217,129,-0.7414
ENSG00000160058,BSDC1,55,-0.2955,83,0.41077,54,-0.2885,69,0.21910
ENSG00000160062,ZBTB8A,19,0.22304,29,0.83954,11,-0.6994,16,-0.1714
ENSG00000176261,ZBTB8OS,40,-0.1199,52,0.30245,35,-0.3604,46,0.17139
ENSG00000162521,RBBP4,97,-0.2772,97,-0.2276,127,0.20676,118,0.14266
ENSG00000162522,KIAA1522,26,1.25757,19,0.45332,11,-0.4595,9,-1.0952
ENSG00000134684,YARS,68,-1.0530,88,-0.5198,115,-0.1193,160,0.87075
ENSG00000160097,FNDC5,32,-0.2950,8,-2.2627,79,1.41903,31,-0.4697
ENSG00000121905,HPCA,131,-0.6273,102,-0.9082,146,-0.3958,238,0.85745
ENSG00000121900,TMEM54,69,1.02545,18,-1.3132,29,-0.6425,38,-0.3075
ENSG00000116514,RNF19B,15,-0.4320,17,-0.2109,13,-0.6552,24,0.68409
ENSG00000004455,AK2,29,0.30184,25,0.05350,17,-0.5965,25,0.03310
ENSG00000142920,AZIN2,13,-0.9320,24,0.10253,17,-0.4181,28,0.78124
ENSG00000160094,ZNF362,25,0.63162,11,-0.7723,20,0.14251,16,-0.4180
ENSG00000134686,PHC2,38,-0.3298,62,0.49881,45,-0.0011,46,0.05766
ENSG00000163866,SMIM12,41,-0.4634,55,0.06224,39,-0.5362,64,0.56954
ENSG00000116544,DLGAP3,71,1.01959,46,0.06862,31,-0.5969,34,-0.6277
ENSG00000163867,ZMYM6,12,-0.9104,30,0.58872,25,0.35780,22,0.14489
ENSG00000116560,SFPQ,193,-0.5634,544,1.20366,345,0.49323,221,-0.4470
ENSG00000146463,ZMYM4,61,-0.1079,42,-0.6429,112,1.01989,54,-0.4643
ENSG00000142687,KIAA0319L,56,-0.1390,62,0.05772,64,0.11937,60,0.01568
ENSG00000020129,NCDN,227,-1.3019,527,0.15521,250,-1.0634,671,1.23369
ENSG00000126067,PSMB2,65,-0.7064,72,-0.4306,59,-0.8064,127,0.98638
ENSG00000142686,C1orf216,50,-1.1224,77,-0.3205,66,-0.6061,130,1.10897
ENSG00000092847,AGO1,33,-0.3271,57,0.57945,55,0.57936,35,-0.3456
ENSG00000126070,AGO3,39,-0.2234,89,1.16181,59,0.54695,33,-0.6893
ENSG00000116863,ADPRHL2,9,-1.0980,6,-1.3955,8,-1.1515,25,1.57939
ENSG00000054116,TRAPPC3,28,-0.6637,32,-0.3884,29,-0.5577,52,0.84009
ENSG00000116871,MAP7D1,184,-0.0030,165,-0.1784,151,-0.3415,199,0.22971
ENSG00000054118,THRAP3,129,-0.4754,127,-0.4261,321,1.24116,141,-0.4524
ENSG00000196182,STK40,22,0.72312,11,-0.4421,15,0.00324,12,-0.4931
ENSG00000181817,LSM10,40,-0.0220,41,-0.0077,31,-0.4700,44,0.25316
ENSG00000116885,OSCP1,10,-1.3795,30,0.44227,16,-0.6181,30,0.96472
ENSG00000116898,MRPS15,51,-0.3503,66,0.10325,50,-0.3589,71,0.39988
ENSG00000163873,GRIK3,5,-2.2104,36,1.09370,22,0.34621,21,0.39260
ENSG00000163875,MEAF6,86,-0.4322,91,-0.2738,111,0.03000,123,0.36194
ENSG00000134697,GNL2,21,-0.7695,19,-0.7842,49,0.77221,34,0.18316
ENSG00000116922,C1orf109,9,-0.7962,15,0.20930,13,-0.1159,16,0.51355
ENSG00000185090,MANEAL,11,-1.2762,31,0.39532,20,-0.3387,31,0.80305
ENSG00000197982,C1orf122,231,0.90538,130,-0.2206,90,-0.8483,133,-0.3287
ENSG00000188786,MTF1,17,0.66507,8,-0.6057,22,0.99582,8,-1.1360
ENSG00000183431,SF3A3,36,-0.6018,66,0.44421,58,0.24586,52,0.10476
ENSG00000183520,UTP11,33,-0.4114,40,-0.0357,42,0.07065,44,0.25780
ENSG00000185668,POU3F1,14,0.13001,4,-1.6434,9,-0.5369,15,0.48525
ENSG00000116954,RRAGC,32,-0.4254,38,-0.0788,42,0.06701,44,0.28180
ENSG00000174574,AKIRIN1,66,-0.2646,63,-0.2879,62,-0.3393,88,0.44786
ENSG00000168653,NDUFS5,692,0.00677,417,-0.7749,567,-0.3303,774,0.35632
ENSG00000127603,MACF1,357,0.26758,545,0.90882,518,0.93857,181,-1.2865
ENSG00000090621,PABPC4,75,0.49606,92,0.73583,69,0.28566,41,-0.8758
ENSG00000116983,HPCAL4,283,0.15959,254,-0.0415,250,-0.0750,254,-0.0694
ENSG00000084072,PPIE,24,-0.7455,38,0.08168,32,-0.2149,43,0.58142
ENSG00000131236,CAP1,135,-0.5085,181,0.02341,139,-0.4213,212,0.55883
ENSG00000131238,PPT1,91,-0.6978,118,-0.1940,110,-0.3354,166,0.70073
ENSG00000117000,RLF,18,-0.9160,75,1.46313,55,1.04652,22,-0.8481
ENSG00000084073,ZMPSTE24,25,-0.4425,47,0.57966,30,-0.1090,34,0.15593
ENSG00000084070,SMAP2,88,-0.9730,121,-0.3473,223,0.70366,164,0.24556
ENSG00000117016,RIMS3,183,0.31330,112,-0.5176,126,-0.3592,160,0.07233
ENSG00000066136,NFYC,21,-0.8199,46,0.49281,21,-0.7983,43,0.73453
ENSG00000179862,CITED4,14,-0.2720,5,-1.6152,18,0.23486,18,0.37330
ENSG00000127124,HIVEP3,23,-0.0714,31,0.42568,36,0.75698,19,-0.5985
ENSG00000198815,FOXJ3,32,-0.4113,50,0.34472,30,-0.4719,46,0.40701
ENSG00000177181,RIMKLA,47,-0.1764,25,-1.0943,61,0.29680,55,0.19745
ENSG00000127125,PPCS,49,0.01099,33,-0.6009,60,0.37041,47,-0.0774
ENSG00000186409,CCDC30,49,0.17705,32,-0.5226,87,1.26294,30,-0.9411
ENSG00000065978,YBX1,159,1.07048,75,-0.3874,91,-0.1047,70,-0.7900
ENSG00000164008,C1orf50,22,0.17907,15,-0.4534,17,-0.2725,21,0.12529
ENSG00000177868,SVBP,42,-0.1367,20,-1.2170,57,0.41332,47,0.11190
ENSG00000117394,SLC2A1,66,1.84130,35,0.24945,16,-1.0234,16,-1.4452
ENSG00000117395,EBNA1BP2,77,-0.3496,35,-1.4806,98,0.10021,108,0.49271
ENSG00000159479,MED8,24,-0.0723,18,-0.4457,19,-0.3921,28,0.37410
ENSG00000178922,HYI,18,0.78671,2,-2.2887,12,-0.1095,11,-0.2298
ENSG00000142949,PTPRF,82,-0.2729,106,0.16411,72,-0.4639,108,0.37544
ENSG00000066135,KDM4A,16,-0.0808,17,0.01365,18,0.16263,16,-0.0381
ENSG00000126091,ST3GAL3,33,0.11868,35,0.20418,25,-0.3271,31,0.01127
ENSG00000117408,IPO13,53,0.26112,102,1.29380,17,-1.5504,43,-0.1827
ENSG00000117410,ATP6V0B,192,-1.1328,287,-0.3696,271,-0.4941,494,1.07411
ENSG00000117411,B4GALT2,103,1.08233,47,-0.4246,44,-0.5876,50,-0.5529
ENSG00000159214,CCDC24,11,-0.3465,17,0.43410,8,-0.7526,15,0.44670
ENSG00000178028,DMAP1,38,-0.8908,67,0.10608,48,-0.4608,79,0.77787
ENSG00000117419,ERI3,100,-0.3589,145,0.29151,83,-0.6234,140,0.45784
ENSG00000187147,RNF220,105,-0.1613,114,-0.0141,84,-0.5225,130,0.38068
ENSG00000142937,RPS8,1473,0.96654,680,-0.4920,802,-0.2587,749,-0.5752
ENSG00000070785,EIF2B3,21,-0.7913,22,-0.6305,25,-0.4761,43,0.93984
ENSG00000126088,UROD,61,-0.3766,36,-1.0879,65,-0.2382,91,0.64363
ENSG00000117450,PRDX1,301,0.22993,231,-0.2307,154,-0.9099,295,0.29440
ENSG00000117448,AKR1A1,33,-0.5501,29,-0.6238,29,-0.7015,58,0.88892
ENSG00000132780,NASP,72,-0.1654,165,1.22653,103,0.48330,59,-0.7248
ENSG00000159592,GPBP1L1,38,0.20184,28,-0.2736,38,0.20618,31,-0.1997
ENSG00000086015,MAST2,28,-0.0878,28,-0.0474,31,0.09133,29,0.02736
ENSG00000117461,PIK3R3,35,-0.1973,30,-0.3936,62,0.85370,34,-0.3212
ENSG00000085998,POMGNT1,34,-0.4977,77,0.88369,35,-0.3919,48,0.19135
ENSG00000132128,LRRC41,26,-0.4886,44,0.41800,21,-0.7636,40,0.55103
ENSG00000173660,UQCRH,497,0.08062,220,-1.1871,341,-0.5619,555,0.47555
ENSG00000117481,NSUN4,10,-0.9485,47,1.58522,20,0.19711,16,-0.2784
ENSG00000117480,FAAH,16,-0.8140,40,0.67304,15,-0.8644,32,0.67600
ENSG00000079277,MKNK1,16,-0.4748,73,2.16532,13,-0.7993,17,-0.5024
ENSG00000123472,ATPAF1,128,-0.0485,99,-0.4399,102,-0.4271,148,0.37120
ENSG00000159658,EFCAB14,80,0.91163,49,-0.0783,51,0.00041,38,-0.7763
ENSG00000186377,CYP4X1,8,-1.5954,50,1.46656,11,-1.0305,25,0.64951
ENSG00000162368,CMPK1,126,-0.0537,108,-0.2914,111,-0.2736,142,0.26518
ENSG00000162373,BEND5,45,-0.2894,21,-1.3870,63,0.30998,58,0.30957
ENSG00000162374,ELAVL4,160,-1.0419,193,-0.6179,403,0.60438,329,0.41590
ENSG00000185104,FAF1,36,-0.3615,53,0.31765,32,-0.4901,49,0.39245
ENSG00000123091,RNF11,360,-0.1588,315,-0.3384,330,-0.2904,441,0.36226
ENSG00000085832,EPS15,173,-0.1343,198,0.10095,211,0.21866,182,-0.0610
ENSG00000117859,OSBPL9,17,-0.2505,23,0.28267,24,0.35345,19,-0.1268
ENSG00000078618,NRDC,97,-0.8376,168,0.12628,204,0.48691,166,0.19423
ENSG00000169213,RAB3B,49,-1.1037,88,-0.0393,216,1.70733,71,-0.6491
ENSG00000117862,TXNDC12,28,0.10782,37,0.50966,15,-0.8924,28,0.13785
ENSG00000134717,BTF3L4,47,-0.4151,36,-0.7574,46,-0.4228,73,0.70112
ENSG00000157077,ZFYVE9,28,-0.9714,26,-0.9725,81,0.92316,52,0.20495
ENSG00000134748,PRPF38A,51,0.62453,57,0.66208,44,0.26038,26,-0.9471
ENSG00000134744,TUT4,73,0.03673,183,1.57025,137,1.22963,30,-1.8825
ENSG00000162377,COA7,26,-0.2790,47,0.72226,43,0.63436,25,-0.4824
ENSG00000162378,ZYG11B,127,-0.6048,143,-0.3337,203,0.23603,199,0.36137
ENSG00000116171,SCP2,73,-0.0909,86,0.19265,61,-0.3929,82,0.20425
ENSG00000162384,CZIB,40,-0.3708,70,0.56419,31,-0.7564,56,0.41078
