Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000162585,FAAP20,32,-0.0323,21,-0.6331,9,-1.8762,68,1.32900,31,-0.0439
ENSG00000157933,SKI,55,0.18443,67,0.44320,30,-0.8235,82,0.80013,32,-0.8283
ENSG00000157916,RER1,45,0.30559,27,-0.6060,43,0.12108,37,-0.1170,38,-0.0975
ENSG00000157911,PEX10,18,-0.7091,11,-1.2853,13,-0.9492,95,2.65037,13,-1.1016
ENSG00000149527,PLCH2,23,0.73882,12,-0.4651,25,0.64907,1,-4.1705,14,-0.2833
ENSG00000197921,HES5,25,1.22362,38,1.59021,11,-0.5419,0,-5.8487,1,-3.7688
ENSG00000157873,TNFRSF14,17,1.87548,5,-0.9381,9,-0.0111,0,-5.1045,4,-1.3637
ENSG00000157870,PRXL2B,42,0.26349,72,1.11637,60,0.80440,14,-1.4791,14,-1.6432
ENSG00000177133,PRDM16-DT,33,0.12481,73,1.50854,9,-1.8500,66,1.32072,1,-4.5112
ENSG00000158109,TPRG1L,95,0.77643,92,0.45842,128,1.03979,21,-1.8684,18,-2.2758
ENSG00000130764,LRRC47,44,0.25200,47,0.28629,53,0.46845,9,-2.2106,38,-0.0787
ENSG00000116198,CEP104,27,-0.8493,30,-0.4725,27,-0.6426,36,-0.1753,75,1.35769
ENSG00000196581,AJAP1,44,0.53521,58,0.85392,63,0.99486,0,-6.4462,15,-1.4844
ENSG00000069424,KCNAB2,142,1.40142,55,-0.7364,170,1.17919,17,-2.5020,13,-3.0438
ENSG00000116254,CHD5,345,1.10452,198,-0.2402,479,1.30216,29,-3.1382,48,-2.5952
ENSG00000116251,RPL22,240,-0.8902,658,1.00979,190,-1.0456,493,0.49201,442,0.36277
ENSG00000116237,ICMT,22,-0.2420,38,0.74359,33,0.54390,25,0.07897,16,-0.7343
ENSG00000097021,ACOT7,75,0.63844,41,-0.5766,132,1.45932,11,-2.5566,29,-1.2368
ENSG00000215788,TNFRSF25,33,0.64900,39,0.73383,62,1.60932,0,-6.5345,1,-4.1709
ENSG00000171680,PLEKHG5,36,1.17714,17,-0.4356,53,1.46746,0,-5.5787,3,-2.9046
ENSG00000162408,NOL9,32,0.18976,55,1.08131,30,0.03614,21,-0.5626,17,-0.9675
ENSG00000162413,KLHL21,24,-0.2043,24,-0.1882,28,0.08439,49,1.02011,20,-0.5071
ENSG00000116273,PHF13,18,1.17753,8,-0.4970,13,0.20033,0,-5.3972,8,-0.5262
ENSG00000007923,DNAJC11,27,0.42813,22,-0.0557,42,1.07354,0,-5.6233,18,-0.4292
ENSG00000171735,CAMTA1,391,0.38269,443,0.47454,646,1.15561,157,-1.1918,127,-1.6638
ENSG00000049245,VAMP3,19,-1.3278,20,-0.9992,5,-3.0343,82,1.39340,68,1.29764
ENSG00000049246,PER3,30,-0.6444,89,1.36353,42,0.05474,12,-1.8712,47,0.27243
ENSG00000116288,PARK7,113,-0.4866,332,1.53105,101,-0.5439,180,0.39893,91,-0.8049
ENSG00000116285,ERRFI1,17,0.40626,4,-1.9802,20,0.52874,22,0.65785,10,-0.7303
ENSG00000162426,SLC45A1,14,0.62441,8,-0.5418,29,1.76861,1,-3.5674,4,-1.7382
ENSG00000142599,RERE,143,-0.2511,164,0.03712,165,0.04942,171,0.11095,176,0.18312
ENSG00000074800,ENO1,355,-0.4649,418,-0.0843,316,-0.5332,1397,2.20218,161,-1.7218
ENSG00000171612,SLC25A33,26,-0.4674,84,1.73400,10,-1.7301,64,1.20328,11,-1.8168
ENSG00000171603,CLSTN1,486,0.45527,366,-0.1638,869,1.36343,304,-0.4586,117,-2.0898
ENSG00000178585,CTNNBIP1,30,0.46880,19,-0.3902,25,0.06208,35,0.60740,13,-1.0397
ENSG00000162441,LZIC,42,-0.9938,74,0.12159,35,-1.0399,121,0.97211,96,0.69249
ENSG00000130939,UBE4B,25,-0.6002,9,-1.9302,52,0.73041,44,0.45027,44,0.53313
ENSG00000054523,KIF1B,395,-0.4032,396,-0.2937,569,0.30076,413,-0.2288,618,0.53200
ENSG00000284642,AL139424.2,12,0.21121,16,0.59121,21,1.06300,0,-5.3849,8,-0.6052
ENSG00000142657,PGD,26,-0.7500,30,-0.3527,56,0.67866,83,1.40767,26,-0.6471
ENSG00000160049,DFFA,40,-0.3473,49,0.06315,32,-0.6114,30,-0.7054,72,0.90072
ENSG00000142655,PEX14,12,0.15139,13,0.28719,25,1.42077,3,-1.7981,6,-1.0881
ENSG00000120948,TARDBP,67,-0.3951,120,0.67270,89,0.15884,41,-1.0661,97,0.36120
ENSG00000116649,SRM,44,0.60826,35,0.02592,38,0.14934,38,0.15696,16,-1.2739
ENSG00000171824,EXOSC10,18,-1.2025,59,0.99499,50,0.72202,3,-3.2339,48,0.79188
ENSG00000198793,MTOR,25,-0.3356,41,0.55746,39,0.47853,49,0.88810,15,-1.1711
ENSG00000116661,FBXO2,170,-0.2204,201,0.11422,98,-1.0310,514,1.86708,88,-1.3139
ENSG00000132879,FBXO44,87,0.79777,55,-0.2385,122,1.12469,15,-2.1990,29,-1.3767
ENSG00000177000,MTHFR,27,0.59925,14,-0.6678,26,0.30809,0,-6.2846,25,0.28777
ENSG00000011021,CLCN6,70,0.29723,55,-0.1896,109,0.95982,77,0.35039,23,-1.7045
ENSG00000116685,KIAA2013,22,-0.6925,18,-0.8895,23,-0.4690,84,1.80734,29,-0.1518
ENSG00000083444,PLOD1,15,-0.8390,15,-0.5880,11,-1.0472,67,2.07687,19,-0.2297
ENSG00000116688,MFN2,79,0.10271,80,0.09492,103,0.52753,44,-0.8356,69,-0.1507
ENSG00000048707,VPS13D,62,-0.2684,92,0.46106,111,0.78546,52,-0.4716,59,-0.3076
ENSG00000162496,DHRS3,15,-1.7772,18,-1.1730,9,-2.1918,203,3.64971,18,-1.3007
ENSG00000116731,PRDM2,174,0.02961,177,0.04596,295,0.93690,66,-1.4831,157,-0.1723
ENSG00000189337,KAZN,50,-0.6139,82,0.32560,73,0.13910,64,-0.0690,84,0.43555
ENSG00000142634,EFHD2,86,0.38720,52,-0.5679,167,1.46572,82,0.17899,14,-2.6547
ENSG00000116138,DNAJC16,21,0.01516,29,0.54006,38,0.98496,0,-6.2825,19,-0.1722
ENSG00000197312,DDI2,26,0.27138,8,-1.6550,40,0.92004,0,-6.4096,30,0.51156
ENSG00000116786,PLEKHM2,127,1.36576,73,-0.1142,56,-0.5256,4,-4.4460,56,-0.6089
ENSG00000065526,SPEN,144,-0.8343,163,-0.4401,150,-0.5719,185,-0.2408,392,1.33869
ENSG00000116809,ZBTB17,16,0.20006,11,-0.4765,25,0.85988,1,-3.7502,17,0.24004
ENSG00000037637,FBXO42,11,-0.6335,28,1.05926,24,0.79594,17,0.13381,9,-0.8348
ENSG00000055070,SZRD1,33,-0.0452,18,-0.9507,19,-0.8592,30,-0.1633,51,0.86253
ENSG00000157191,NECAP2,11,-0.8094,0,-4.3040,13,-0.4374,47,1.89314,20,0.33278
ENSG00000219481,NBPF1,10,-1.2172,18,-0.0893,9,-1.1852,27,0.55693,34,1.25879
ENSG00000058453,CROCC,17,1.19353,3,-1.8490,25,1.40791,0,-5.3863,4,-1.5047
ENSG00000159363,ATP13A2,63,1.53008,17,-1.2286,54,0.61427,0,-7.0806,19,-1.1836
ENSG00000117118,SDHB,27,-0.4959,77,1.47465,53,0.75373,42,0.37027,9,-2.2066
ENSG00000117115,PADI2,61,-1.8989,58,-1.6474,16,-3.4766,529,2.19771,273,1.05527
ENSG00000179051,RCC2,27,1.32843,14,-0.3357,12,-0.5230,0,-5.9522,14,-0.3747
ENSG00000074964,ARHGEF10L,16,-0.6401,25,0.16983,18,-0.3343,77,2.38854,4,-2.5494
ENSG00000117154,IGSF21,65,0.61658,44,-0.2263,138,1.81998,5,-3.3298,12,-2.3161
ENSG00000159423,ALDH4A1,23,-0.3843,25,-0.1472,9,-1.7131,99,2.54153,8,-2.0391
ENSG00000169991,IFFO2,13,0.10856,11,-0.2950,18,0.51671,10,-0.3444,12,-0.1413
ENSG00000127481,UBR4,30,-0.9402,43,-0.1306,70,0.67831,36,-0.4115,69,0.77559
ENSG00000127463,EMC1,33,0.37614,15,-1.0052,30,0.14165,31,0.19366,24,-0.2478
ENSG00000053372,MRTO4,32,0.17484,35,0.30180,39,0.46910,34,0.22926,16,-1.0590
ENSG00000053371,AKR7A2,17,-1.3782,66,1.15285,10,-1.8161,99,2.00384,23,-0.7214
ENSG00000077549,CAPZB,94,-0.4946,201,0.90708,180,0.71201,103,-0.2231,91,-0.4941
ENSG00000173436,MICOS10,151,0.32171,198,0.68812,136,0.04921,96,-0.5195,87,-0.7547
ENSG00000158747,NBL1,158,0.74599,164,0.56008,181,0.72920,42,-1.5906,41,-1.7939
ENSG00000169914,OTUD3,22,0.46372,22,0.33311,33,0.99904,0,-6.0800,12,-0.6977
ENSG00000162545,CAMK2N1,1073,0.41858,1769,1.17949,708,-0.3967,429,-1.1796,554,-0.8808
ENSG00000090432,MUL1,10,-1.6087,31,0.46096,20,-0.2925,85,2.44598,12,-1.1687
ENSG00000183114,FAM43B,20,1.58173,16,0.52210,14,0.31150,0,-5.4535,1,-3.2615
ENSG00000158828,PINK1,226,0.31957,250,0.39076,276,0.56274,116,-0.8472,132,-0.7411
ENSG00000244038,DDOST,16,0.34243,9,-0.6387,10,-0.4511,31,1.45661,6,-1.4664
ENSG00000117245,KIF17,21,0.69467,22,0.52183,40,1.62657,0,-5.8789,1,-3.5003
ENSG00000189410,SH2D5,31,1.44466,15,-0.3261,36,1.09907,0,-6.1115,3,-2.9595
ENSG00000127483,HP1BP3,214,-0.8318,339,0.09832,334,0.07291,410,0.42225,414,0.52351
ENSG00000075151,EIF4G3,174,-0.7596,245,-0.0355,488,1.17110,178,-0.5494,284,0.24868
ENSG00000117298,ECE1,24,-0.7177,50,0.67290,11,-1.6456,94,1.87256,21,-0.8065
ENSG00000076864,RAP1GAP,120,0.58363,59,-0.7605,264,1.89402,29,-1.8145,23,-2.3112
ENSG00000090686,USP48,58,-0.9080,76,-0.2640,143,0.80457,12,-2.9602,155,1.20008
ENSG00000070831,CDC42,101,-0.7579,204,0.57281,174,0.30051,240,0.86036,121,-0.3500
ENSG00000133216,EPHB2,15,-0.0263,16,-0.0130,23,0.64541,1,-3.9305,20,0.45302
ENSG00000004487,KDM1A,39,-0.2938,62,0.53897,71,0.76006,49,0.12294,31,-0.7018
ENSG00000169641,LUZP1,141,0.33398,126,0.05160,298,1.61249,41,-1.7087,46,-1.6750
ENSG00000125944,HNRNPR,78,-0.9470,81,-0.6622,158,0.41735,150,0.33155,181,0.80016
ENSG00000117318,ID3,14,-0.9136,67,2.08175,0,-7.2428,31,0.59491,18,-0.3866
ENSG00000142676,RPL11,251,-0.7001,619,0.99203,125,-1.6054,397,0.21117,451,0.51256
ENSG00000011007,ELOA,22,-0.4713,41,0.69696,18,-0.6305,40,0.63746,27,-0.0495
ENSG00000057757,PITHD1,75,-0.0492,122,0.78716,100,0.43223,58,-0.4641,55,-0.6051
ENSG00000011009,LYPLA2,28,1.36081,26,0.65878,19,0.17768,1,-4.0020,4,-2.3448
ENSG00000117308,GALE,11,0.22712,11,0.11605,25,1.63550,0,-5.2218,5,-1.0083
ENSG00000117305,HMGCL,12,-0.6911,27,0.78457,9,-1.0202,35,1.23926,14,-0.2955
ENSG00000189266,PNRC2,36,-0.4286,77,0.96311,48,0.14675,26,-0.8391,46,0.10080
ENSG00000188529,SRSF10,42,-1.1469,139,1.08520,86,0.23479,70,-0.0896,87,0.30672
ENSG00000001461,NIPAL3,65,-1.0380,102,-0.0982,89,-0.3210,47,-1.3112,217,1.57970
ENSG00000133226,SRRM1,154,-1.4083,233,-0.4826,181,-0.8766,148,-1.1898,745,2.12051
ENSG00000169504,CLIC4,28,-2.0507,59,-0.5490,11,-3.0929,167,1.22288,173,1.68897
ENSG00000117614,SYF2,107,-0.1336,148,0.44923,82,-0.5216,88,-0.3961,133,0.32669
ENSG00000117616,RSRP1,42,-1.1627,131,0.95347,115,0.71323,76,0.00898,77,0.04955
ENSG00000183726,TMEM50A,51,-0.1501,61,0.19415,89,0.85782,34,-0.7175,48,-0.2159
ENSG00000204178,MACO1,42,-0.8205,99,0.79336,67,0.10851,37,-0.8257,85,0.62749
ENSG00000117643,MAN1C1,30,0.16659,33,0.30319,33,0.29129,22,-0.3765,22,-0.4170
ENSG00000162430,SELENON,40,0.46314,32,-0.0501,29,-0.2246,25,-0.4564,30,-0.2173
ENSG00000117640,MTFR1L,49,0.26731,33,-0.4543,67,0.72083,26,-0.8269,39,-0.2313
ENSG00000117632,STMN1,456,-0.4978,628,0.15060,1190,1.29345,320,-0.9294,541,-0.1113
ENSG00000158008,EXTL1,45,1.09598,18,-0.7657,67,1.42799,0,-6.7729,9,-1.9068
ENSG00000142669,SH3BGRL3,99,0.22621,64,-0.5459,137,0.72029,42,-1.1964,90,-0.0056
ENSG00000117682,DHDDS,13,-0.4830,33,1.25908,24,0.69328,21,0.41410,6,-1.6289
ENSG00000198830,HMGN2,87,-0.8269,254,1.17920,61,-1.1763,116,-0.1841,172,0.57419
ENSG00000117713,ARID1A,50,-0.6335,70,0.06208,75,0.17298,96,0.59481,74,0.18748
ENSG00000204160,ZDHHC18,22,0.76675,1,-3.9156,29,1.00068,14,-0.2004,10,-0.8885
ENSG00000142751,GPN2,19,-0.3040,22,-0.0018,30,0.52444,22,-0.0238,22,0.03395
ENSG00000090273,NUDC,141,0.01033,276,1.18454,143,0.03169,81,-0.8858,101,-0.6122
ENSG00000253368,TRNP1,25,1.02254,15,-0.1864,32,1.12242,9,-1.0135,2,-3.1656
ENSG00000090020,SLC9A1,28,2.21500,5,-1.3739,23,0.83418,0,-5.6826,0,-5.7526
ENSG00000142784,WDTC1,35,0.56760,32,0.20623,39,0.53592,1,-4.5688,23,-0.3242
ENSG00000186501,TMEM222,46,0.23355,26,-0.7697,53,0.37864,52,0.34088,33,-0.4222
ENSG00000158195,WASF2,42,-1.3896,84,-0.0179,14,-2.6749,136,0.80679,160,1.40126
ENSG00000126705,AHDC1,58,0.55075,28,-0.8044,73,0.76315,63,0.51841,17,-1.7249
ENSG00000126709,IFI6,80,-0.3576,183,1.15420,101,0.11293,100,0.09974,65,-0.6695
ENSG00000009780,FAM76A,13,-0.6286,9,-1.0890,27,0.65786,18,-0.0624,26,0.71225
ENSG00000117758,STX12,51,-0.8900,121,0.73759,99,0.38384,119,0.71308,68,-0.2733
ENSG00000117751,PPP1R8,19,-0.5075,34,0.59942,34,0.58933,10,-1.3174,28,0.32222
ENSG00000117748,RPA2,21,-0.0929,41,1.07348,23,0.11304,30,0.53497,9,-1.5295
ENSG00000126698,DNAJC8,158,-0.4708,225,0.22408,218,0.16989,185,-0.1003,235,0.35451
ENSG00000130770,ATP5IF1,144,-0.2133,351,1.42339,216,0.52652,124,-0.3883,71,-1.3892
ENSG00000204138,PHACTR4,24,-1.3541,67,0.54102,21,-1.3100,20,-1.3808,103,1.76608
ENSG00000180098,TRNAU1AP,15,-0.0643,15,-0.0217,26,0.94304,0,-5.8051,18,0.32119
ENSG00000162419,GMEB1,12,-0.2316,5,-1.3473,28,1.36329,0,-5.5737,18,0.60811
ENSG00000198492,YTHDF2,37,-0.7839,56,0.06928,92,0.90933,88,0.83026,42,-0.4410
ENSG00000116329,OPRD1,13,0.91330,0,-5.6895,34,2.42084,0,-5.1429,1,-3.4665
ENSG00000159023,EPB41,21,0.61857,13,-0.3999,38,1.45356,0,-5.9374,9,-1.0428
ENSG00000116350,SRSF4,59,-0.4581,106,0.63650,49,-0.6442,25,-1.6290,113,0.91778
ENSG00000116353,MECR,19,0.46473,31,1.15693,26,0.86616,0,-5.8484,6,-1.6441
ENSG00000060656,PTPRU,18,0.58709,4,-1.8196,43,1.99547,2,-2.7775,6,-1.5261
ENSG00000162512,SDC3,118,-0.3684,118,-0.2725,96,-0.5956,383,1.86977,82,-0.9454
ENSG00000134644,PUM1,144,-0.2638,202,0.36299,282,0.95154,190,0.25992,97,-0.9283
ENSG00000121766,ZCCHC17,102,-0.3693,157,0.44856,165,0.53176,84,-0.5654,125,0.07953
ENSG00000121769,FABP3,21,-0.0550,12,-0.8274,73,2.36276,3,-2.7556,9,-1.3574
ENSG00000162517,PEF1,37,0.49430,20,-0.6840,42,0.54343,27,-0.1906,21,-0.6349
ENSG00000084636,COL16A1,25,-0.5904,26,-0.3763,31,-0.1120,58,0.95948,37,0.23502
ENSG00000121753,ADGRB2,162,0.94343,95,-0.2841,229,1.23550,5,-4.6881,46,-1.5522
ENSG00000184007,PTP4A2,193,-1.7574,232,-1.1503,127,-2.0594,419,-0.2231,1245,2.45678
ENSG00000121774,KHDRBS1,90,-0.6181,236,1.17442,130,0.12420,131,0.13054,99,-0.3687
ENSG00000121775,TMEM39B,18,0.82329,15,0.25532,22,0.87214,4,-1.8637,5,-1.6784
ENSG00000025800,KPNA6,63,0.29631,35,-0.7102,101,1.03851,17,-1.7992,51,-0.1650
ENSG00000084652,TXLNA,23,-0.1105,23,-0.0169,17,-0.5304,18,-0.4563,32,0.59416
ENSG00000084623,EIF3I,61,-0.0045,80,0.43405,77,0.37863,79,0.41057,36,-0.9432
ENSG00000116478,HDAC1,14,-0.2228,17,0.11310,5,-1.5985,3,-2.2263,29,1.30677
ENSG00000175130,MARCKSL1,82,-1.7764,116,-0.9223,61,-1.9029,415,1.22575,409,1.54822
ENSG00000160058,BSDC1,40,-0.2838,55,0.32118,54,0.31372,23,-1.0565,55,0.38563
ENSG00000160062,ZBTB8A,16,0.26516,4,-1.9923,13,-0.1922,0,-5.7705,26,1.19379
ENSG00000176261,ZBTB8OS,21,0.05607,34,0.89566,22,0.14414,0,-6.2084,22,0.13241
ENSG00000162521,RBBP4,67,-0.8467,123,0.32955,101,0.00073,173,0.93464,104,0.06165
ENSG00000162522,KIAA1522,20,1.06501,20,0.72319,26,1.20042,0,-5.6028,0,-7.0664
ENSG00000134684,YARS,62,0.05967,43,-0.5536,114,1.08921,78,0.41016,32,-1.1081
ENSG00000116497,S100PBP,12,-0.1883,1,-3.6294,7,-0.9144,1,-2.9353,29,1.90290
ENSG00000160097,FNDC5,21,0.90653,22,0.64487,29,1.13870,0,-5.7796,2,-2.7832
ENSG00000121905,HPCA,119,1.13697,81,0.06386,170,1.38167,7,-3.6196,5,-4.1486
ENSG00000121900,TMEM54,30,0.19204,21,-0.4369,5,-2.5511,59,1.31845,24,-0.3145
ENSG00000004455,AK2,19,-0.9416,46,0.72448,26,-0.2145,23,-0.4295,44,0.78916
ENSG00000142920,AZIN2,16,0.21148,12,-0.3571,18,0.37387,20,0.54389,9,-0.7950
ENSG00000160094,ZNF362,24,0.43914,15,-0.4595,12,-0.7383,18,-0.1546,21,0.11097
ENSG00000134686,PHC2,43,-0.0252,38,-0.2071,56,0.41516,12,-1.9790,56,0.52386
ENSG00000121904,CSMD2,11,-0.7806,11,-0.5712,49,2.11460,0,-5.8704,17,0.14110
ENSG00000163866,SMIM12,35,1.10709,13,-0.9063,30,0.42650,0,-6.4035,19,-0.3914
ENSG00000116544,DLGAP3,62,1.84653,24,-0.5396,47,0.55136,0,-6.9334,7,-2.5768
ENSG00000163867,ZMYM6,17,-0.0750,48,1.75688,19,0.06230,0,-6.0573,13,-0.6068
ENSG00000116560,SFPQ,191,-0.9225,282,-0.0886,301,0.01631,262,-0.2119,483,1.03057
ENSG00000146463,ZMYM4,51,-0.9847,155,1.11554,66,-0.3382,151,1.06617,65,-0.4222
ENSG00000142687,KIAA0319L,52,0.05135,47,-0.1351,75,0.65285,66,0.43072,32,-0.8438
ENSG00000020129,NCDN,271,0.75687,212,0.08116,494,1.62395,16,-3.7858,39,-2.6841
ENSG00000126067,PSMB2,49,-0.3160,66,0.24733,88,0.73962,62,0.13921,46,-0.4036
ENSG00000142686,C1orf216,43,0.40292,47,0.44719,76,1.31542,14,-1.4732,12,-1.8733
ENSG00000134698,AGO4,20,0.20626,9,-1.0412,11,-0.8029,16,-0.2461,25,0.64628
ENSG00000092847,AGO1,40,-0.0793,22,-0.9906,49,0.25962,12,-1.9294,65,0.93067
ENSG00000126070,AGO3,43,-0.9714,44,-0.7297,64,-0.1314,64,-0.1344,127,1.32964
ENSG00000116863,ADPRHL2,12,0.23111,14,0.39740,13,0.25515,0,-5.3561,12,0.21716
ENSG00000054116,TRAPPC3,28,0.06941,32,0.25128,56,1.25869,14,-1.0682,16,-0.9197
ENSG00000116871,MAP7D1,104,-0.6146,178,0.42531,129,-0.1157,100,-0.5129,194,0.69196
ENSG00000054118,THRAP3,118,-0.6914,117,-0.5335,180,0.16091,300,1.05873,178,0.16626
ENSG00000181817,LSM10,13,-0.0708,42,2.17291,14,0.12605,0,-5.6155,5,-1.4781
ENSG00000116898,MRPS15,24,-0.0759,52,1.25316,41,0.83339,4,-2.6266,16,-0.8320
ENSG00000163873,GRIK3,27,0.09672,0,-5.4993,65,1.64884,37,0.59598,12,-1.3025
ENSG00000163875,MEAF6,54,-0.4763,102,0.70207,143,1.32746,79,0.27076,26,-1.5981
ENSG00000134697,GNL2,17,-1.1215,27,-0.1359,29,-0.0213,54,1.07428,37,0.45856
ENSG00000197982,C1orf122,99,-0.5332,193,0.71932,74,-0.8629,137,0.12557,157,0.42275
ENSG00000188786,MTF1,9,-0.8084,0,-4.6316,6,-1.1645,0,-5.6631,38,2.64845
ENSG00000204084,INPP5B,12,0.28930,8,-0.3591,17,0.82509,1,-3.2019,11,0.07206
ENSG00000183431,SF3A3,28,-0.7194,63,0.78201,38,-0.0797,65,0.85202,34,-0.3122
ENSG00000183520,UTP11,18,-1.2725,84,1.66412,40,0.29159,37,0.18523,27,-0.4074
ENSG00000185668,POU3F1,21,1.56202,11,-0.1348,15,0.37720,0,-5.4997,4,-1.8245
ENSG00000116954,RRAGC,23,-0.7126,43,0.45913,41,0.39961,32,-0.0314,37,0.26964
ENSG00000174574,AKIRIN1,42,-0.4342,52,0.03601,66,0.44519,24,-1.1629,70,0.64043
ENSG00000168653,NDUFS5,242,-0.0532,535,1.36789,269,0.13275,175,-0.5592,139,-1.0288
ENSG00000127603,MACF1,402,-1.2782,755,-0.0116,385,-1.0785,1634,1.36067,1052,0.66523
ENSG00000090621,PABPC4,64,-0.0900,66,-0.0106,59,-0.1951,73,0.14931,72,0.13244
ENSG00000116983,HPCAL4,236,0.43428,186,-0.1014,362,1.05569,230,0.25399,47,-2.3789
ENSG00000084072,PPIE,25,0.13768,24,0.03044,31,0.45667,0,-6.4151,29,0.42701
ENSG00000168389,MFSD2A,43,1.77709,16,-0.6630,9,-1.4767,0,-5.8361,18,-0.4779
ENSG00000131236,CAP1,79,-0.5997,146,0.55918,127,0.33041,162,0.74971,82,-0.4465
ENSG00000131238,PPT1,77,-0.0290,121,0.75506,95,0.33616,98,0.38430,39,-1.2157
ENSG00000117000,RLF,22,-1.3402,70,0.81116,67,0.73556,35,-0.3375,54,0.45932
ENSG00000084073,ZMPSTE24,19,-1.4221,47,0.30315,47,0.30273,117,2.02501,23,-0.9203
ENSG00000049089,COL9A2,15,-1.3635,0,-6.3549,3,-3.5291,50,0.81061,74,2.14946
ENSG00000084070,SMAP2,101,0.23172,105,0.22763,226,1.64390,12,-3.0837,43,-1.3150
ENSG00000117016,RIMS3,168,1.80979,65,-0.5715,144,0.75017,14,-2.8934,8,-3.8948
ENSG00000066136,NFYC,26,0.33373,29,0.38023,32,0.54725,32,0.57758,5,-2.2804
ENSG00000127124,HIVEP3,27,0.69063,14,-0.5696,36,0.91791,0,-6.2566,17,-0.3631
ENSG00000198815,FOXJ3,36,0.10289,30,-0.2083,68,1.16546,28,-0.3423,21,-0.8710
ENSG00000177181,RIMKLA,35,0.56083,55,1.18269,57,1.25309,0,-6.6574,3,-3.4209
ENSG00000127125,PPCS,25,-0.6723,50,0.63436,17,-1.1182,66,1.13380,33,-0.0421
ENSG00000186409,CCDC30,51,-0.3270,56,-0.0839,79,0.47219,48,-0.3357,69,0.29737
