gene,cell_type,deg,layer,other,ensembl
ITM2A,,Dx_DEG_Down,,,ENSG00000078596
XRRA1,,Dx_DEG_Down,,,ENSG00000166435
FABP3,,Dx_DEG_Down,,,ENSG00000121769
LST1,,Dx_DEG_Down,,,ENSG00000204482
NDUFB9,,Dx_DEG_Down,,,ENSG00000147684
PFN1,,Dx_DEG_Down,,,ENSG00000108518
SYK,Mic,Dx_DEG_Down,,,ENSG00000165025
COX5A,,Dx_DEG_Down,,,ENSG00000178741
OLR1,,Dx_DEG_Down,,,ENSG00000173391
KANSL1-AS1,,Dx_DEG_Down,,,ENSG00000214401
KCNK1,,Dx_DEG_Down,,,ENSG00000135750
RGS10,,Dx_DEG_Down,,,ENSG00000148908
OSBPL1A,,Dx_DEG_Down,,,ENSG00000141447
RERGL,,Dx_DEG_Down,,,ENSG00000111404
CAPZB,,Dx_DEG_Down,,,ENSG00000077549
LPAR6,,Dx_DEG_Down,,,ENSG00000139679
SCG3,,Dx_DEG_Down,,,ENSG00000104112
LY86,,Dx_DEG_Down,,,ENSG00000112799
NDUFB2,,Dx_DEG_Down,,,ENSG00000090266
UQCRFS1,,Dx_DEG_Down,,,ENSG00000169021
TNFSF10,,Dx_DEG_Down,,,ENSG00000121858
CD53,,Dx_DEG_Down,,,ENSG00000143119
MRPL57,,Dx_DEG_Down,,,ENSG00000173141
ARPC1B,,Dx_DEG_Down,,,ENSG00000130429
ANLN,,Dx_DEG_Down,,,ENSG00000011426
BDNF,,Dx_DEG_Down,,,ENSG00000176697
CYBB,,Dx_DEG_Down,,,ENSG00000165168
RANBP1,,Dx_DEG_Down,,,ENSG00000099901
KLK6,,Dx_DEG_Down,,,ENSG00000167755
MRPL27,,Dx_DEG_Down,,,ENSG00000108826
ALCAM,,Dx_DEG_Down,,,ENSG00000170017
FSCN1,,Dx_DEG_Down,,,ENSG00000075618
CFAP36,,Dx_DEG_Down,,,ENSG00000163001
HHIP,,Dx_DEG_Down,,,ENSG00000164161
SAMSN1,,Dx_DEG_Down,,,ENSG00000155307
TMEM144,,Dx_DEG_Down,,,ENSG00000164124
RTF2,,Dx_DEG_Down,,,ENSG00000022277
CLDN11,Oligo,Dx_DEG_Down,,,ENSG00000013297
HLA-DPA1,,Dx_DEG_Down,,,ENSG00000231389
PSMA7,,Dx_DEG_Down,,,ENSG00000101182
C1QA,Mic,Dx_DEG_Down,,,ENSG00000173372
SSBP1,,Dx_DEG_Down,,,ENSG00000106028
ADAM28,,Dx_DEG_Down,,,ENSG00000042980
CAPN3,,Dx_DEG_Down,,,ENSG00000092529
RPL36AL,,Dx_DEG_Down,,,ENSG00000165502
ELOC,,Dx_DEG_Down,,,ENSG00000154582
MAG,Oligo,Dx_DEG_Down,,,ENSG00000105695
MYL6,,Dx_DEG_Down,,,ENSG00000092841
EGR1,,Dx_DEG_Down,,,ENSG00000120738
CCNI,,Dx_DEG_Down,,,ENSG00000118816
SPRY2,,Dx_DEG_Down,,,ENSG00000136158
PDXK,,Dx_DEG_Up,,,ENSG00000160209
ARRDC3,,Dx_DEG_Up,,,ENSG00000113369
CHST1,,Dx_DEG_Up,,,ENSG00000175264
GSTM5,,Dx_DEG_Up,,,ENSG00000134201
OGA,,Dx_DEG_Up,,,ENSG00000198408
MTRNR2L1,,Dx_DEG_Up,,,ENSG00000256618
PLEC,,Dx_DEG_Up,,,ENSG00000178209
TXNIP,,Dx_DEG_Up,,,ENSG00000265972
DDIT4,,Dx_DEG_Up,,,ENSG00000168209
HMGB2,,Dx_DEG_Up,,,ENSG00000164104
NORAD,,Dx_DEG_Up,,,ENSG00000260032
ZBTB16,,Dx_DEG_Up,,,ENSG00000109906
SOD2,,Dx_DEG_Up,,,ENSG00000112096
AQP1,,Dx_DEG_Up,,,ENSG00000240583
DEAF1,,Dx_DEG_Up,,,ENSG00000177030
AKAP8L,,Dx_DEG_Up,,,ENSG00000011243
MT1X,,Dx_DEG_Up,,,ENSG00000187193
ADCYAP1R1,,Dx_DEG_Up,,,ENSG00000078549
SESN1,,Dx_DEG_Up,,,ENSG00000080546
S100A6,,Dx_DEG_Up,,,ENSG00000197956
BLCAP,,Dx_DEG_Up,,,ENSG00000166619
PPM1K,,Dx_DEG_Up,,,ENSG00000163644
SMAD1,,Dx_DEG_Up,,,ENSG00000170365
HNRNPH3,,Dx_DEG_Up,,,ENSG00000096746
GABPB1-AS1,,Dx_DEG_Up,,,ENSG00000244879
IRS2,,Dx_DEG_Up,,,ENSG00000185950
TEF,,Dx_DEG_Up,,,ENSG00000167074
GATD3A,,Dx_DEG_Up,,,ENSG00000160221
LZTS3,,Dx_DEG_Up,,,ENSG00000088899
MAPK3,,Dx_DEG_Up,,PGC-GWAS,ENSG00000102882
GFAP,Ast,Dx_DEG_Up,,,ENSG00000131095
SERPING1,,Dx_DEG_Up,,,ENSG00000149131
RASD1,,Dx_DEG_Up,,,ENSG00000108551
BCL6,,Dx_DEG_Up,,,ENSG00000113916
ATP2B4,,Dx_DEG_Up,,,ENSG00000058668
HIF3A,,Dx_DEG_Up,,,ENSG00000124440
BAIAP3,,Dx_DEG_Up,,,ENSG00000007516
IFITM3,Immune,Dx_DEG_Up,,,ENSG00000142089
RIPOR2,,Dx_DEG_Up,,,ENSG00000111913
MT2A,,Dx_DEG_Up,,,ENSG00000125148
NUPR1,,Dx_DEG_Up,,,ENSG00000176046
MT1M,,Dx_DEG_Up,,,ENSG00000205364
LATS1,,Dx_DEG_Up,,,ENSG00000131023
CTIF,,Dx_DEG_Up,,,ENSG00000134030
ITGB4,,Dx_DEG_Up,,,ENSG00000132470
TSC22D3,,Dx_DEG_Up,,,ENSG00000157514
ELMSAN1,,Dx_DEG_Up,,,ENSG00000156030
KIF1A,,Dx_DEG_Up,,,ENSG00000130294
TNK2,,Dx_DEG_Up,,,ENSG00000061938
SLC14A1,,Dx_DEG_Up,,,ENSG00000141469
PWP2,,Dx_DEG_Up,,,ENSG00000241945
GALNT16,,Dx_DEG_Up,,,ENSG00000100626
KIF5A,,Dx_DEG_Up,,,ENSG00000155980
OTOS,,Dx_DEG_Up,,,ENSG00000178602
ADIRF,,Dx_DEG_Up,,,ENSG00000148671
TIMP1,,Dx_DEG_Up,,,ENSG00000102265
NPIPA1,,Dx_DEG_Up,,,ENSG00000183426
CASC3,,Dx_DEG_Up,,,ENSG00000108349
SYTL4,,Dx_DEG_Up,,,ENSG00000102362
ACO1,,Dx_DEG_Up,,,ENSG00000122729
USP22,,Dx_DEG_Up,,,ENSG00000124422
SNHG25,,Dx_DEG_Up,,,ENSG00000266402
ZP3,,Dx_DEG_Up,,,ENSG00000188372
APOLD1,,Dx_DEG_Up,,,ENSG00000178878
MT1E,,Dx_DEG_Up,,,ENSG00000169715
SNPH,,Dx_DEG_Up,,,ENSG00000101298
FKBP5,,Dx_DEG_Up,,,ENSG00000096060
CHI3L1,,Dx_DEG_Up,,,ENSG00000133048
ZNF483,,Dx_DEG_Up,,,ENSG00000173258
CNN3,,Dx_DEG_Up,,,ENSG00000117519
GADD45G,,Dx_DEG_Up,,,ENSG00000130222
SERPINA3,,Dx_DEG_Up,Layer marker,,ENSG00000196136
CLDN5,Endo,,Layer marker,,ENSG00000184113
TAGLN,,,Layer marker,,ENSG00000149591
MYL9,,,Layer marker,,ENSG00000101335
ACTA2,,,Layer marker,,ENSG00000107796
A2M,,Dx_DEG_Up,Layer marker,,ENSG00000175899
SLC2A1,,,Layer marker,,ENSG00000117394
EPAS1,,,Layer marker,,ENSG00000116016
HLA-E,,,Layer marker,,ENSG00000204592
HLA-B,,,Layer marker,,ENSG00000234745
HBA1,,,Layer marker,,ENSG00000206172
MT-ATP8,,,Layer marker,,ENSG00000228253
MT-ND2,,,Layer marker,,ENSG00000198763
MT-ND1,,,Layer marker,,ENSG00000198888
C1orf61,,,Layer marker,,ENSG00000125462
CXCL14,,,Layer marker,,ENSG00000145824
MT-ND6,,,Layer marker,,ENSG00000198695
MT-ND5,,,Layer marker,,ENSG00000198786
MT-ND4L,,,Layer marker,,ENSG00000212907
MTRNR2L12,,,Layer marker,,ENSG00000269028
MT-ND4,,,Layer marker,,ENSG00000198886
HPCAL1,,,Layer marker,,ENSG00000115756
LGALS1,,,Layer marker,,ENSG00000100097
CAMK2N1,,,Layer marker,,ENSG00000162545
ARPP19,,,Layer marker,,ENSG00000128989
LINC02714,,,Layer marker,,ENSG00000251226
RASGRF2,,,Layer marker,,ENSG00000113319
GNAL,,,Layer marker,,ENSG00000141404
C1QL2,,,Layer marker,,ENSG00000144119
EGR3,,,Layer marker,,ENSG00000179388
LAMP5,In,,Layer marker,,ENSG00000125869
PCP4,Ex,,Layer marker,,ENSG00000183036
TMSB10,,,Layer marker,,ENSG00000034510
AL353751.1,,,Layer marker,,ENSG00000232110
TRABD2A,Ex,,Layer marker,,ENSG00000186854
TTC9B,,,Layer marker,,ENSG00000174521
MEPE,,,Layer marker,,ENSG00000152595
HTR2C,,,Layer marker,,ENSG00000147246
IGFBP5,,,Layer marker,,ENSG00000115461
SMYD2,,,Layer marker,,ENSG00000143499
CARTPT,,,Layer marker,,ENSG00000164326
FREM3,,,Layer marker,,ENSG00000183090
GPR6,,,Layer marker,,ENSG00000146360
ENC1,,,Layer marker,,ENSG00000171617
ADCYAP1,BDNF,,Layer marker,,ENSG00000141433
LMO4,,,Layer marker,,ENSG00000143013
AJ009632.2,,,Layer marker,,ENSG00000229425
CYP46A1,,,Layer marker,,ENSG00000036530
YWHAH,,,Layer marker,,ENSG00000128245
C14orf132,,,Layer marker,,ENSG00000227051
ABCA2,,,Layer marker,,ENSG00000107331
DBNDD2,,,Layer marker,,ENSG00000244274
CNP,Oligo,,Layer marker,,ENSG00000173786
CLDND1,,,Layer marker,,ENSG00000080822
PLP1,Oligo,Dx_DEG_Down,Layer marker,,ENSG00000123560
EDIL3,,,Layer marker,,ENSG00000164176
SOX2-OT,,Dx_DEG_Down,Layer marker,,ENSG00000242808
PLAAT3,,,Layer marker,,ENSG00000176485
SLC44A1,,,Layer marker,,ENSG00000070214
PMP22,,,Layer marker,,ENSG00000109099
NPTX1,,,Layer marker,,ENSG00000171246
SMIM32,,,Layer marker,,ENSG00000271824
DIRAS2,,,Layer marker,,ENSG00000165023
MAP2K1,,,Layer marker,,ENSG00000169032
SLN,,,Layer marker,,ENSG00000170290
THEMIS,,,Layer marker,,ENSG00000172673
AK5,,,Layer marker,,ENSG00000154027
DACH1,,,Layer marker,,ENSG00000276644
DKK3,,,Layer marker,,ENSG00000050165
ISLR,,,Layer marker,,ENSG00000129009
NEFM,,,Layer marker,,ENSG00000104722
NEFH,,,Layer marker,,ENSG00000100285
NEFL,,,Layer marker,,ENSG00000277586
SCN1B,,,Layer marker,,ENSG00000105711
GPX3,,,Layer marker,,ENSG00000211445
RCAN2,,Dx_DEG_Down,Layer marker,,ENSG00000172348
SMPX,,,Layer marker,,ENSG00000091482
SYT2,,,Layer marker,,ENSG00000143858
VAMP1,,,Layer marker,,ENSG00000139190
MBP,Oligo,,Layer marker,,ENSG00000197971
NXPH4,,,Layer marker,,ENSG00000182379
KRT17,,,Layer marker,,ENSG00000128422
BCAS1,,,Layer marker,,ENSG00000064787
MOBP,Oligo,,Layer marker,,ENSG00000168314
MTURN,,,Layer marker,,ENSG00000180354
PAQR6,,,Layer marker,,ENSG00000160781
NPY,In,,,,ENSG00000122585
ZNF804A,,,,PGC-GWAS,ENSG00000170396
CACNA1C,,,,PGC-GWAS; Synapse,ENSG00000151067
GRIN2A,,,,PGC-GWAS; Synapse,ENSG00000183454
CSMD1,,,,PGC-GWAS; Complement,ENSG00000183117
DCC,,,,PGC-GWAS; Synapse; dopamine; BDNF,ENSG00000187323
SLC39A8,,,,PGC-GWAS,ENSG00000138821
FURIN,,,,PGC-GWAS,ENSG00000140564
DISC1,,,,Literature,ENSG00000162946
NRG1,,,,Literature,ENSG00000157168
COMT,,,,Literature,ENSG00000093010
NRXN1,,,,Literature,ENSG00000179915
AKT1,,,,Literature,ENSG00000142208
ERBB4,,,,Literature,ENSG00000178568
C4A,,,,Literature,ENSG00000244731
