"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","9/92","132/11834",0.0681818181818182,8.77025691699605,7.9462569675827,8.08005146922217e-07,0.000108003354638603,8.47129606667924e-05,"CX3CR1/TYROBP/AIF1/CD74/TREM2/ITGB2/LILRB4/SYK/C1QA",9
"GO:0150146","BP","GO:0150146","cell junction disassembly","5/92","24/11834",0.208333333333333,26.7980072463768,11.1979143242987,9.62502778407704e-07,0.000120613629419215,9.46038915092835e-05,"CX3CR1/C3/TREM2/C1QB/C1QA",5
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","12/92","284/11834",0.0422535211267606,5.43508879363135,6.69639101426701,1.89689912264781e-06,0.00022372251417111,0.000175477850726677,"C3/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/SYK/CYBB/HLA-DPA1/EGR1",12
"GO:0097242","BP","GO:0097242","amyloid-beta clearance","5/92","28/11834",0.178571428571429,22.9697204968944,10.3020218323241,2.17160480717848e-06,0.00024189264657738,0.000189729683153488,"C3/TYROBP/TREM2/ITGB2/SYK",5
"GO:0006909","BP","GO:0006909","phagocytosis","9/92","152/11834",0.0592105263157895,7.61627574370709,7.26686509344749,2.63016744650257e-06,0.000277551880538824,0.00021769917812049,"C3/PLD4/TYROBP/AIF1/TREM2/HSPA8/CYBA/ITGB2/SYK",9
"GO:0150076","BP","GO:0150076","neuroinflammatory response","6/92","53/11834",0.113207547169811,14.5619360131255,8.75868395494263,3.20417575889567e-06,0.000308023590590473,0.00024159981327847,"CX3CR1/TYROBP/AIF1/TREM2/ITGB2/C1QA",6
"GO:0002281","BP","GO:0002281","macrophage activation involved in immune response","4/92","14/11834",0.285714285714286,36.751552795031,11.8473303023111,3.226182245586e-06,0.000308023590590473,0.00024159981327847,"CX3CR1/TYROBP/TREM2/SYK",4
"GO:0001817","BP","GO:0001817","regulation of cytokine production","15/92","476/11834",0.0315126050420168,4.05348008768725,6.018911315215,3.53999737305205e-06,0.000322622487862244,0.000253050529920563,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/LILRB4/SYK/CYBB/HLA-DPA1/EGR1",15
"GO:0001816","BP","GO:0001816","cytokine production","15/92","479/11834",0.0313152400835073,4.02809294726332,5.98843992345873,3.82271775290198e-06,0.000329525580948872,0.000258465004823528,"CX3CR1/C3/PLD4/TYROBP/AIF1/CD74/LAPTM5/TREM2/CYBA/CSF1R/LILRB4/SYK/CYBB/HLA-DPA1/EGR1",15
"GO:0032635","BP","GO:0032635","interleukin-6 production","7/92","85/11834",0.0823529411764706,10.593094629156,7.85666159338195,4.1087977674423e-06,0.000329525580948872,0.000258465004823528,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0032675","BP","GO:0032675","regulation of interleukin-6 production","7/92","85/11834",0.0823529411764706,10.593094629156,7.85666159338195,4.1087977674423e-06,0.000329525580948872,0.000258465004823528,"TYROBP/AIF1/CD74/TREM2/CYBA/LILRB4/SYK",7
"GO:0002886","BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","5/92","34/11834",0.147058823529412,18.9162404092072,9.26009930727714,5.92630798742375e-06,0.00044008324128832,0.000345181447688542,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0032722","BP","GO:0032722","positive regulation of chemokine production","5/92","34/11834",0.147058823529412,18.9162404092072,9.26009930727714,5.92630798742375e-06,0.00044008324128832,0.000345181447688542,"AIF1/CD74/CSF1R/SYK/EGR1",5
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","8/92","127/11834",0.062992125984252,8.10270455323519,7.12316671863929,6.17138116662905e-06,0.000441914972824687,0.000346618175298639,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/CSF1R/SYK",8
"GO:0006958","BP","GO:0006958","complement activation, classical pathway","4/92","17/11834",0.235294117647059,30.2659846547315,10.6881930981144,7.53478267737262e-06,0.000520939285108004,0.000408601282032476,"C3/TREM2/C1QB/C1QA",4
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","8/92","132/11834",0.0606060606060606,7.79578392621871,6.94971169560486,8.2144828762637e-06,0.000549001272230291,0.000430611839197824,"CX3CR1/C3/TYROBP/TREM2/HSPA8/ITGB2/LILRB4/SYK",8
"GO:0032640","BP","GO:0032640","tumor necrosis factor production","7/92","96/11834",0.0729166666666667,9.37930253623188,7.29653622296196,9.25851829053294e-06,0.000580104036641205,0.00045500744493606,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK/CYBB",7
"GO:0032680","BP","GO:0032680","regulation of tumor necrosis factor production","7/92","96/11834",0.0729166666666667,9.37930253623188,7.29653622296196,9.25851829053294e-06,0.000580104036641205,0.00045500744493606,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK/CYBB",7
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","7/92","97/11834",0.0721649484536082,9.28260869565217,7.25011285348938,9.91605112036415e-06,0.000584755367539121,0.000458655739127679,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK/CYBB",7
"GO:1903555","BP","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","7/92","97/11834",0.0721649484536082,9.28260869565217,7.25011285348938,9.91605112036415e-06,0.000584755367539121,0.000458655739127679,"CX3CR1/TYROBP/TREM2/CYBA/LILRB4/SYK/CYBB",7
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","8/92","141/11834",0.0567375886524823,7.2981806968856,6.65935252890729,1.33389884594978e-05,0.000743769533075015,0.000583379279387884,"C3/TYROBP/CD74/LAPTM5/TREM2/HSPA8/ITGB2/SYK",8
"GO:0050778","BP","GO:0050778","positive regulation of immune response","14/92","466/11834",0.0300429184549356,3.86443366299683,5.58418763615599,1.33544654317708e-05,0.000743769533075015,0.000583379279387884,"A2M/C3/TYROBP/CD74/LAPTM5/TREM2/HSPA8/CYBA/ITGB2/LILRB4/C1QB/SYK/HLA-DPA1/C1QA",14
"GO:2000147","BP","GO:2000147","positive regulation of cell motility","13/92","405/11834",0.0320987654320988,4.12887815351583,5.67129651244444,1.39536209804472e-05,0.000755795626356315,0.000592812004607604,"CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/HSPA8/ENPP2/CSF1R/ITGAX/PLP1/PFN1/SPRY2",13
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","13/92","406/11834",0.0320197044334975,4.11870850289141,5.66008552074565,1.43243061354314e-05,0.000755795626356315,0.000592812004607604,"CX3CR1/C3/TYROBP/AIF1/CD74/TREM2/P2RY12/HSPA8/CYBA/ALOX5AP/CSF1R/SYK/LY86",13
"GO:1905523","BP","GO:1905523","positive regulation of macrophage migration","4/92","20/11834",0.2,25.7260869565217,9.7958519937638,1.50671396297774e-05,0.000774605511735993,0.000607565630415317,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0006801","BP","GO:0006801","superoxide metabolic process","5/92","42/11834",0.119047619047619,15.3131469979296,8.22500838595668,1.72510390050042e-05,0.00086146617831546,0.000675695220056856,"TYROBP/CYBA/ITGB2/SYK/CYBB",5
"GO:0040017","BP","GO:0040017","positive regulation of locomotion","13/92","414/11834",0.0314009661835749,4.03911993278723,5.57166845361689,1.76160166139321e-05,0.00086146617831546,0.000675695220056856,"CX3CR1/AIF1/CD74/TF/TREM2/P2RY12/HSPA8/ENPP2/CSF1R/ITGAX/PLP1/PFN1/SPRY2",13
"GO:0002455","BP","GO:0002455","humoral immune response mediated by circulating immunoglobulin","4/92","21/11834",0.19047619047619,24.5010351966874,9.54084512816942,1.85019101237672e-05,0.000883245947575076,0.000692778288844816,"C3/TREM2/C1QB/C1QA",4
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","8/92","148/11834",0.0540540540540541,6.95299647473561,6.45065551720361,1.89872841246683e-05,0.000885337317906044,0.000694418665416264,"TYROBP/AIF1/CD74/CSF1R/LILRB4/LST1/SYK/HLA-DPA1",8
"GO:0070661","BP","GO:0070661","leukocyte proliferation","9/92","196/11834",0.0459183673469388,5.90649955634428,6.13099456409537,2.07189662553379e-05,0.00094412562140801,0.000740529559461119,"TYROBP/AIF1/CD74/TREM2/CSF1R/LILRB4/LST1/SYK/HLA-DPA1",9
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/92","109/11834",0.0642201834862385,8.26067012365377,6.74068196443519,2.1328329081008e-05,0.000950295551276023,0.000745368974199437,"TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK/SAMSN1",7
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","10/92","250/11834",0.04,5.14521739130435,5.86351917046112,2.3322105829626e-05,0.00101653961279131,0.000797327828591789,"CX3CR1/SELPLG/AIF1/CD74/LAPTM5/ITGB2/LILRB4/SYK/OLR1/HLA-DPA1",10
"GO:0002532","BP","GO:0002532","production of molecular mediator involved in inflammatory response","5/92","46/11834",0.108695652173913,13.9815689981096,7.80829739840031,2.71256229459919e-05,0.00110993620421865,0.000870583902928289,"PLD4/TREM2/ALOX5AP/LILRB4/SYK",5
"GO:0032611","BP","GO:0032611","interleukin-1 beta production","5/92","46/11834",0.108695652173913,13.9815689981096,7.80829739840031,2.71256229459919e-05,0.00110993620421865,0.000870583902928289,"CX3CR1/TYROBP/TREM2/LILRB4/EGR1",5
"GO:0032651","BP","GO:0032651","regulation of interleukin-1 beta production","5/92","46/11834",0.108695652173913,13.9815689981096,7.80829739840031,2.71256229459919e-05,0.00110993620421865,0.000870583902928289,"CX3CR1/TYROBP/TREM2/LILRB4/EGR1",5
"GO:0006959","BP","GO:0006959","humoral immune response","6/92","82/11834",0.0731707317073171,9.41198303287381,6.76580895843115,4.07968275248773e-05,0.00163595278374758,0.00128316758572982,"A2M/C3/TF/TREM2/C1QB/C1QA",6
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","11/92","326/11834",0.0337423312883436,4.34029074419845,5.4133168960326,4.30080578155613e-05,0.00169080697882746,0.00132619274254796,"CX3CR1/A2M/TYROBP/CD74/LAPTM5/TREM2/HSPA8/LILRB4/LST1/SYK/SAMSN1",11
"GO:0050900","BP","GO:0050900","leukocyte migration","9/92","218/11834",0.0412844036697248,5.31043079377742,5.68579149713107,4.78464635414883e-05,0.00184484921924393,0.00144701652896728,"CX3CR1/SELPLG/AIF1/CD74/TREM2/P2RY12/ITGB2/CSF1R/SYK",9
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","5/92","52/11834",0.0961538461538462,12.3683110367893,7.27207614864414,4.95765853705871e-05,0.00185925299039926,0.0014583141974834,"CX3CR1/TYROBP/TREM2/ITGB2/SYK",5
"GO:0030335","BP","GO:0030335","positive regulation of cell migration","12/92","393/11834",0.0305343511450382,3.9276468635911,5.22460282243884,5.0074644130454e-05,0.00185925299039926,0.0014583141974834,"CX3CR1/AIF1/CD74/TREM2/P2RY12/HSPA8/ENPP2/CSF1R/ITGAX/PLP1/PFN1/SPRY2",12
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","7/92","125/11834",0.056,7.20330434782609,6.17146827138256,5.16169369444817e-05,0.00188167197406702,0.00147589863722595,"TYROBP/CD74/LAPTM5/TREM2/LILRB4/LST1/SAMSN1",7
"GO:0032612","BP","GO:0032612","interleukin-1 production","5/92","54/11834",0.0925925925925926,11.9102254428341,7.1125980652247,5.95932434223512e-05,0.00196705624192735,0.00154287020629451,"CX3CR1/TYROBP/TREM2/LILRB4/EGR1",5
"GO:0032652","BP","GO:0032652","regulation of interleukin-1 production","5/92","54/11834",0.0925925925925926,11.9102254428341,7.1125980652247,5.95932434223512e-05,0.00196705624192735,0.00154287020629451,"CX3CR1/TYROBP/TREM2/LILRB4/EGR1",5
"GO:0032755","BP","GO:0032755","positive regulation of interleukin-6 production","5/92","54/11834",0.0925925925925926,11.9102254428341,7.1125980652247,5.95932434223512e-05,0.00196705624192735,0.00154287020629451,"TYROBP/AIF1/CD74/CYBA/SYK",5
"GO:0050764","BP","GO:0050764","regulation of phagocytosis","5/92","54/11834",0.0925925925925926,11.9102254428341,7.1125980652247,5.95932434223512e-05,0.00196705624192735,0.00154287020629451,"C3/TREM2/HSPA8/CYBA/SYK",5
"GO:0032613","BP","GO:0032613","interleukin-10 production","4/92","28/11834",0.142857142857143,18.3757763975155,8.14783364340438,6.0715217359776e-05,0.00196705624192735,0.00154287020629451,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0032653","BP","GO:0032653","regulation of interleukin-10 production","4/92","28/11834",0.142857142857143,18.3757763975155,8.14783364340438,6.0715217359776e-05,0.00196705624192735,0.00154287020629451,"TYROBP/TREM2/LILRB4/SYK",4
"GO:0002687","BP","GO:0002687","positive regulation of leukocyte migration","6/92","88/11834",0.0681818181818182,8.77025691699605,6.47592819043405,6.08266768077285e-05,0.00196705624192735,0.00154287020629451,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","7/92","130/11834",0.0538461538461538,6.92625418060201,6.0138847661774,6.62656835398975e-05,0.0021089316745634,0.00165415089738692,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK/HLA-DPA1",7
"GO:0002283","BP","GO:0002283","neutrophil activation involved in immune response","3/92","11/11834",0.272727272727273,35.0810276679842,10.0095715324087,7.17191167384271e-05,0.00224682545407104,0.00176230855932911,"TYROBP/ITGB2/SYK",3
"GO:0050921","BP","GO:0050921","positive regulation of chemotaxis","6/92","91/11834",0.0659340659340659,8.48112756808409,6.34115740957179,7.34328744353441e-05,0.00226512174219792,0.00177665934261383,"CX3CR1/AIF1/CD74/TREM2/P2RY12/CSF1R",6
"GO:0051250","BP","GO:0051250","negative regulation of lymphocyte activation","6/92","92/11834",0.0652173913043478,8.38894139886578,6.29760483400937,7.80692339585164e-05,0.00236781596578233,0.00185720806031175,"TYROBP/CD74/LAPTM5/LILRB4/LST1/SAMSN1",6
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","7/92","134/11834",0.0522388059701493,6.71950032446463,5.89369782168801,8.02920773549405e-05,0.00236781596578233,0.00185720806031175,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK/HLA-DPA1",7
"GO:0045124","BP","GO:0045124","regulation of bone resorption","4/92","30/11834",0.133333333333333,17.1507246376812,7.83986072528676,8.03049803856352e-05,0.00236781596578233,0.00185720806031175,"TF/TMEM119/CSF1R/SYK",4
"GO:0071677","BP","GO:0071677","positive regulation of mononuclear cell migration","5/92","59/11834",0.0847457627118644,10.9008843036109,6.74822945938459,9.14987607596546e-05,0.00264458031657766,0.00207428953561728,"CX3CR1/AIF1/TREM2/P2RY12/CSF1R",5
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","7/92","137/11834",0.0510948905109489,6.57235798159315,5.80673966045656,9.23294873618134e-05,0.00264458031657766,0.00207428953561728,"TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK/SAMSN1",7
"GO:0002253","BP","GO:0002253","activation of immune response","11/92","356/11834",0.0308988764044944,3.9745359062042,5.0440735713522,9.49826514312763e-05,0.00268225656506632,0.00210384108581656,"A2M/C3/TYROBP/LAPTM5/TREM2/HSPA8/CYBA/LILRB4/C1QB/SYK/C1QA",11
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","7/92","139/11834",0.0503597122302158,6.47779167969972,5.75020207428904,0.000101142740119947,0.00274709791882636,0.0021546997195047,"TREM2/ITGB2/ENPP2/CSF1R/LILRB4/SYK/SAMSN1",7
"GO:0046649","BP","GO:0046649","lymphocyte activation","13/92","491/11834",0.0264765784114053,3.40569379261489,4.81933854701536,0.000102381673133069,0.00274709791882636,0.0021546997195047,"C3/TYROBP/AIF1/CD74/LAPTM5/TREM2/LILRB4/ITM2A/LST1/SYK/SAMSN1/HLA-DPA1/EGR1",13
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","4/92","32/11834",0.125,16.0788043478261,7.56021938275252,0.000104129397421847,0.00274709791882636,0.0021546997195047,"C3/AIF1/TREM2/ITGB2",4
"GO:0050766","BP","GO:0050766","positive regulation of phagocytosis","4/92","32/11834",0.125,16.0788043478261,7.56021938275252,0.000104129397421847,0.00274709791882636,0.0021546997195047,"C3/TREM2/HSPA8/CYBA",4
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","4/92","32/11834",0.125,16.0788043478261,7.56021938275252,0.000104129397421847,0.00274709791882636,0.0021546997195047,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0045807","BP","GO:0045807","positive regulation of endocytosis","6/92","98/11834",0.0612244897959184,7.87533274179237,6.04946567231145,0.000111025835686588,0.00289099740976116,0.00226756799064611,"C3/TF/TREM2/HSPA8/CYBA/SYK",6
"GO:0002444","BP","GO:0002444","myeloid leukocyte mediated immunity","5/92","62/11834",0.0806451612903226,10.3734221598878,6.54996837569437,0.000116118572296554,0.00298484278787936,0.00234117607302363,"CX3CR1/C3/TYROBP/ITGB2/SYK",5
"GO:0030449","BP","GO:0030449","regulation of complement activation","3/92","13/11834",0.230769230769231,29.6839464882943,9.15912063213931,0.00012291806494929,0.00311962936991552,0.00244689658939692,"A2M/C3/TREM2",3
"GO:0010562","BP","GO:0010562","positive regulation of phosphorus metabolic process","11/92","374/11834",0.0294117647058824,3.78324808184143,4.84134150570792,0.000146858058257421,0.00363519020748309,0.00285127925973473,"CX3CR1/C3/CD74/TF/TREM2/TMEM119/ENPP2/CSF1R/FABP3/SYK/SPRY2",11
"GO:0045937","BP","GO:0045937","positive regulation of phosphate metabolic process","11/92","374/11834",0.0294117647058824,3.78324808184143,4.84134150570792,0.000146858058257421,0.00363519020748309,0.00285127925973473,"CX3CR1/C3/CD74/TF/TREM2/TMEM119/ENPP2/CSF1R/FABP3/SYK/SPRY2",11
"GO:0032691","BP","GO:0032691","negative regulation of interleukin-1 beta production","3/92","14/11834",0.214285714285714,27.5636645962733,8.80265286143313,0.000155561305686664,0.0037131002131162,0.00291238835458491,"CX3CR1/TREM2/LILRB4",3
"GO:0060143","BP","GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","3/92","14/11834",0.214285714285714,27.5636645962733,8.80265286143313,0.000155561305686664,0.0037131002131162,0.00291238835458491,"TYROBP/TREM2/CD53",3
"GO:1903975","BP","GO:1903975","regulation of glial cell migration","3/92","14/11834",0.214285714285714,27.5636645962733,8.80265286143313,0.000155561305686664,0.0037131002131162,0.00291238835458491,"CX3CR1/TREM2/P2RY12",3
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","4/92","37/11834",0.108108108108108,13.9059929494712,6.95948020258612,0.000185654199812314,0.00426025772141539,0.00334155402850484,"TF/TMEM119/CSF1R/SYK",4
"GO:0050865","BP","GO:0050865","regulation of cell activation","11/92","385/11834",0.0285714285714286,3.6751552795031,4.72352143734764,0.000189179363959415,0.00426025772141539,0.00334155402850484,"TYROBP/AIF1/CD74/LAPTM5/TREM2/LILRB4/LST1/SYK/SAMSN1/HLA-DPA1/CAPN3",11
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","6/92","108/11834",0.0555555555555556,7.14613526570048,5.67949020411474,0.000189678282893902,0.00426025772141539,0.00334155402850484,"TYROBP/CD74/LAPTM5/LILRB4/LST1/SAMSN1",6
"GO:0002888","BP","GO:0002888","positive regulation of myeloid leukocyte mediated immunity","3/92","15/11834",0.2,25.7260869565217,8.48166203534406,0.000193358330498155,0.00426025772141539,0.00334155402850484,"C3/TYROBP/ITGB2",3
"GO:0032692","BP","GO:0032692","negative regulation of interleukin-1 production","3/92","15/11834",0.2,25.7260869565217,8.48166203534406,0.000193358330498155,0.00426025772141539,0.00334155402850484,"CX3CR1/TREM2/LILRB4",3
"GO:0032928","BP","GO:0032928","regulation of superoxide anion generation","3/92","15/11834",0.2,25.7260869565217,8.48166203534406,0.000193358330498155,0.00426025772141539,0.00334155402850484,"TYROBP/ITGB2/SYK",3
"GO:0032930","BP","GO:0032930","positive regulation of superoxide anion generation","3/92","15/11834",0.2,25.7260869565217,8.48166203534406,0.000193358330498155,0.00426025772141539,0.00334155402850484,"TYROBP/ITGB2/SYK",3
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","7/92","155/11834",0.0451612903225806,5.80911640953717,5.33456016377865,0.000199304179450825,0.00434353130216201,0.00340687006978871,"C3/CD74/TREM2/HSPA8/LILRB4/C1QB/C1QA",7
"GO:0042742","BP","GO:0042742","defense response to bacterium","6/92","110/11834",0.0545454545454545,7.01620553359684,5.61114395022689,0.000209687961580418,0.00452069207493267,0.00354582699039213,"TF/RNASE1/TREM2/CYBA/VGF/SYK",6
"GO:0016064","BP","GO:0016064","immunoglobulin mediated immune response","5/92","72/11834",0.0694444444444444,8.9326690821256,5.976064914248,0.000236200603399612,0.00494236412665014,0.00387656753128511,"C3/CD74/TREM2/C1QB/C1QA",5
"GO:0019724","BP","GO:0019724","B cell mediated immunity","5/92","72/11834",0.0694444444444444,8.9326690821256,5.976064914248,0.000236200603399612,0.00494236412665014,0.00387656753128511,"C3/CD74/TREM2/C1QB/C1QA",5
"GO:0060142","BP","GO:0060142","regulation of syncytium formation by plasma membrane fusion","3/92","16/11834",0.1875,24.1182065217391,8.19053830063175,0.000236641873395718,0.00494236412665014,0.00387656753128511,"TYROBP/TREM2/CD53",3
"GO:0006935","BP","GO:0006935","chemotaxis","9/92","271/11834",0.033210332103321,4.27185945772501,4.82296744965021,0.000250540072986724,0.0050099016052678,0.00392954088372233,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/ENPP2/CSF1R/SYK",9
"GO:0042330","BP","GO:0042330","taxis","9/92","271/11834",0.033210332103321,4.27185945772501,4.82296744965021,0.000250540072986724,0.0050099016052678,0.00392954088372233,"CX3CR1/AIF1/CD74/TREM2/P2RY12/ITGB2/ENPP2/CSF1R/SYK",9
"GO:0002437","BP","GO:0002437","inflammatory response to antigenic stimulus","4/92","40/11834",0.1,12.8630434782609,6.65220867021934,0.000252369108295286,0.0050099016052678,0.00392954088372233,"A2M/C3/TREM2/SYK",4
"GO:0099024","BP","GO:0099024","plasma membrane invagination","4/92","40/11834",0.1,12.8630434782609,6.65220867021934,0.000252369108295286,0.0050099016052678,0.00392954088372233,"C3/AIF1/TREM2/ITGB2",4
"GO:1905517","BP","GO:1905517","macrophage migration","4/92","40/11834",0.1,12.8630434782609,6.65220867021934,0.000252369108295286,0.0050099016052678,0.00392954088372233,"CX3CR1/TREM2/P2RY12/CSF1R",4
"GO:0042327","BP","GO:0042327","positive regulation of phosphorylation","10/92","339/11834",0.0294985250737463,3.79440810568167,4.62067583575388,0.000292310980888793,0.00574591683021598,0.00450683803351762,"CX3CR1/C3/CD74/TF/TREM2/TMEM119/ENPP2/CSF1R/SYK/SPRY2",10
"GO:0030316","BP","GO:0030316","osteoclast differentiation","5/92","76/11834",0.0657894736842105,8.46252860411899,5.77692041963955,0.000304368207160335,0.00592483743064536,0.00464717528357221,"TYROBP/TF/TREM2/CSF1R/LILRB4",5
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","7/92","168/11834",0.0416666666666667,5.35960144927536,5.03745002896741,0.000326306023306569,0.00629080362240068,0.0049342226601216,"TYROBP/AIF1/CD74/LILRB4/LST1/SYK/HLA-DPA1",7
"GO:0045453","BP","GO:0045453","bone resorption","4/92","43/11834",0.0930232558139535,11.9656218402427,6.37620807212685,0.000334784293732182,0.00632981261187231,0.00496481955224425,"TF/TMEM119/CSF1R/SYK",4
