Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000157881,PANK4,7,-1.0759,16,0.19015,10,-0.5847,22,0.80218,12,-0.2650,17,0.31489,10,-0.5095
ENSG00000157873,TNFRSF14,4,-1.1179,10,0.20314,2,-1.9595,4,-1.1852,16,0.90415,5,-0.8368,17,1.23395
ENSG00000157870,PRXL2B,14,-1.4465,36,-0.0260,23,-0.7327,35,-0.0797,53,0.61834,30,-0.3240,52,0.65520
ENSG00000177133,PRDM16-DT,8,-1.1888,10,-1.0342,12,-0.6313,7,-1.6224,23,0.35047,46,1.53865,32,1.00816
ENSG00000142611,PRDM16,12,0.23665,7,-0.6228,5,-0.8848,5,-1.1653,7,-0.4719,23,1.39714,14,0.68688
ENSG00000158109,TPRG1L,60,-1.6504,179,0.01343,267,0.67163,176,-0.0159,137,-0.4100,142,-0.3501,230,0.47870
ENSG00000116213,WRAP73,19,0.02376,17,-0.1154,18,-0.0654,19,0.05141,14,-0.4186,27,0.59759,17,-0.1052
ENSG00000130764,LRRC47,60,-0.6513,109,0.33275,107,0.25894,85,-0.1176,79,-0.2308,61,-0.6177,108,0.30388
ENSG00000116198,CEP104,77,1.81692,13,-1.1727,28,0.06961,18,-0.6952,20,-0.4559,37,0.51045,23,-0.2970
ENSG00000198912,C1orf174,12,-0.3987,18,0.27997,13,-0.2413,11,-0.5075,24,0.72108,15,-0.0285,15,0.00809
ENSG00000196581,AJAP1,23,-0.6620,32,-0.1597,33,-0.1286,51,0.67229,34,-0.0381,33,-0.1201,32,-0.1491
ENSG00000131697,NPHP4,12,0.07252,11,-0.1420,8,-0.6253,13,0.12674,12,-0.0155,13,0.10910,13,0.19923
ENSG00000069424,KCNAB2,38,-2.3536,206,0.22697,260,0.58942,184,0.02336,155,-0.2522,171,-0.0923,206,0.23065
ENSG00000116254,CHD5,38,-1.8769,120,-0.1537,136,0.05506,153,0.28034,111,-0.2599,119,-0.1533,180,0.60153
ENSG00000116251,RPL22,611,-0.0722,495,-0.4479,716,0.18460,521,-0.3587,832,0.42897,783,0.32873,708,0.18807
ENSG00000158286,RNF207,1,-2.2769,6,-0.2791,11,0.71891,12,0.96002,1,-2.1017,6,-0.1243,7,0.06413
ENSG00000116237,ICMT,27,-0.6763,40,-0.0470,51,0.34085,41,-0.0378,30,-0.5141,41,-0.0235,52,0.41683
ENSG00000097021,ACOT7,68,-2.1510,390,0.63634,280,0.01101,365,0.50735,229,-0.3111,170,-0.7678,264,-0.0974
ENSG00000215788,TNFRSF25,7,-2.1835,17,-0.9381,55,1.01734,39,0.51709,29,-0.0185,23,-0.3602,35,0.29787
ENSG00000171680,PLEKHG5,3,-2.6932,15,-0.3629,31,0.87406,24,0.48141,24,0.43983,17,-0.1041,15,-0.3104
ENSG00000162408,NOL9,27,-0.0990,22,-0.5108,28,-0.0606,31,0.08527,24,-0.3008,27,-0.1065,40,0.59826
ENSG00000204859,ZBTB48,12,0.01004,12,-0.0157,17,0.55192,9,-0.4571,12,-0.0780,9,-0.4746,15,0.31881
ENSG00000162413,KLHL21,43,0.35969,29,-0.3185,54,0.73317,33,-0.0524,24,-0.5758,26,-0.4189,37,0.10564
ENSG00000116273,PHF13,22,0.62550,14,-0.0944,12,-0.2721,15,0.00115,11,-0.4923,14,-0.0416,15,0.07907
ENSG00000041988,THAP3,23,0.24310,26,0.56726,13,-0.6078,15,-0.4913,18,-0.1650,19,0.00114,20,0.03850
ENSG00000007923,DNAJC11,13,-0.9768,25,-0.0263,36,0.58836,24,-0.0934,24,-0.0507,29,0.22233,26,0.04343
ENSG00000171735,CAMTA1,138,-0.9855,275,0.10088,195,-0.4604,293,0.21753,226,-0.2229,358,0.51776,275,0.10007
ENSG00000049245,VAMP3,175,3.05274,14,-1.5177,30,-0.2981,19,-1.0606,26,-0.4900,24,-0.6291,20,-1.0199
ENSG00000049246,PER3,74,0.92772,26,-0.8499,41,-0.0381,31,-0.5496,50,0.27037,72,0.89038,36,-0.2751
ENSG00000116288,PARK7,236,-1.1045,570,0.31313,502,0.06881,452,-0.1115,600,0.35793,471,-0.0316,478,-0.0099
ENSG00000116285,ERRFI1,28,-0.1846,34,0.15424,35,0.18617,31,0.00947,25,-0.3257,32,0.04570,31,-0.0392
ENSG00000162426,SLC45A1,7,-1.9583,37,0.64668,30,0.21763,28,0.11755,21,-0.3275,13,-1.0144,30,0.25395
ENSG00000142599,RERE,110,-0.0059,81,-0.5355,99,-0.1706,107,-0.0540,93,-0.2693,131,0.28126,147,0.53553
ENSG00000074800,ENO1,353,-0.7797,514,-0.2164,530,-0.1459,521,-0.1936,659,0.20403,984,0.87542,606,0.07738
ENSG00000171612,SLC25A33,23,-0.7671,38,-0.0261,25,-0.6725,24,-0.8186,61,0.74882,48,0.36972,52,0.56067
ENSG00000188807,TMEM201,18,0.89391,9,-0.2925,5,-0.9865,8,-0.5109,9,-0.1395,8,-0.3167,15,0.66215
ENSG00000171608,PIK3CD,3,-1.9730,12,0.01351,12,0.04863,12,-0.0117,8,-0.4948,12,0.06961,17,0.71999
ENSG00000171603,CLSTN1,235,-1.8602,812,0.04702,1073,0.49684,993,0.42221,577,-0.4968,665,-0.2750,876,0.18636
ENSG00000178585,CTNNBIP1,40,0.03091,50,0.46035,33,-0.2595,21,-1.0177,23,-0.7907,21,-0.9494,65,0.99472
ENSG00000162441,LZIC,114,1.17525,43,-0.4774,46,-0.3294,49,-0.2679,58,0.03443,75,0.45984,45,-0.3999
ENSG00000173614,NMNAT1,7,-0.3803,8,-0.1323,15,0.85502,6,-0.5790,15,0.81106,6,-0.4507,8,-0.1240
ENSG00000162444,RBP7,110,4.70361,4,-1.9954,9,-0.6301,5,-1.7143,0,-4.7394,5,-1.5977,1,-3.5854
ENSG00000130939,UBE4B,68,0.66294,44,-0.0428,60,0.46915,46,0.03892,13,-1.8453,53,0.25870,38,-0.2863
ENSG00000054523,KIF1B,530,0.72298,278,-0.3619,322,-0.0964,347,0.02636,160,-1.1781,387,0.20292,384,0.21493
ENSG00000284642,AL139424.2,9,-0.2845,13,0.36579,9,-0.3244,9,-0.3668,6,-0.9057,8,-0.4613,17,0.76523
ENSG00000142657,PGD,48,-0.0927,58,0.24886,46,-0.1513,47,-0.1155,44,-0.2007,53,0.08367,52,0.04177
ENSG00000175279,CENPS,4,-1.8604,26,1.20176,9,-0.6832,8,-0.9352,17,0.28461,16,0.22008,13,-0.0819
ENSG00000241563,CORT,5,-5.0694,201,0.48127,24,-2.8033,42,-2.1102,36,-2.2151,881,3.55813,60,-1.5762
ENSG00000160049,DFFA,67,1.02059,31,-0.2695,45,0.35793,30,-0.3372,36,-0.0054,46,0.37979,23,-0.7622
ENSG00000142655,PEX14,14,-0.5575,24,0.26209,19,-0.1436,20,-0.0753,19,-0.1152,22,0.13597,22,0.12425
ENSG00000120948,TARDBP,121,0.72323,73,-0.1047,74,-0.0773,65,-0.3184,95,0.31984,69,-0.1916,71,-0.1524
ENSG00000271895,AL109811.2,20,0.20162,12,-0.6152,19,0.08145,21,0.30253,14,-0.4095,19,0.09564,20,0.19254
ENSG00000116649,SRM,39,-0.5134,58,0.15324,48,-0.1844,34,-0.7917,105,1.12871,51,-0.0698,55,0.03404
ENSG00000171824,EXOSC10,40,0.20386,35,-0.0050,44,0.33536,33,-0.1312,35,-0.0173,28,-0.3481,35,-0.0080
ENSG00000198793,MTOR,25,-1.2259,58,0.09878,59,0.10574,67,0.37600,47,-0.2478,55,-0.0011,57,0.05544
ENSG00000120942,UBIAD1,25,1.55673,6,-0.7789,9,-0.0611,5,-0.9124,6,-0.6329,9,-0.0882,12,0.42652
ENSG00000116661,FBXO2,82,-1.2010,174,-0.0325,160,-0.1695,127,-0.5854,301,0.87273,222,0.35849,205,0.26500
ENSG00000132879,FBXO44,39,-1.2786,99,0.20333,87,-0.0376,98,0.17274,90,0.02394,70,-0.3743,104,0.29496
ENSG00000116663,FBXO6,4,-1.2363,13,0.50799,11,0.25280,7,-0.6209,7,-0.4492,14,0.61866,11,0.13116
ENSG00000116670,MAD2L2,26,0.83772,14,-0.0927,12,-0.3756,9,-0.8845,25,0.80060,19,0.34842,12,-0.3905
ENSG00000177674,AGTRAP,31,2.12074,1,-2.8065,6,-0.5177,4,-1.3886,4,-1.1301,24,1.61080,8,-0.1990
ENSG00000177000,MTHFR,16,0.13061,8,-0.9325,16,0.16807,17,0.25026,8,-0.8870,27,0.97014,15,0.00102
ENSG00000011021,CLCN6,50,-0.5291,80,0.24707,74,0.08297,66,-0.1020,37,-0.9738,76,0.11987,86,0.37006
ENSG00000116685,KIAA2013,64,1.28337,25,-0.2916,38,0.38335,24,-0.3727,19,-0.7200,24,-0.3363,27,-0.1389
ENSG00000083444,PLOD1,43,0.90773,15,-0.8628,33,0.47689,18,-0.5764,28,0.22397,26,0.08904,26,0.07616
ENSG00000116688,MFN2,84,-0.5092,138,0.32336,150,0.42562,112,-0.0531,96,-0.2895,88,-0.4327,119,0.05256
ENSG00000116691,MIIP,20,0.88538,8,-0.6108,8,-0.6129,10,-0.1461,16,0.54954,8,-0.4817,13,0.20276
ENSG00000048707,VPS13D,49,-0.6794,72,-0.0764,80,0.10865,92,0.36601,64,-0.2550,59,-0.3781,86,0.24756
ENSG00000162496,DHRS3,27,0.57424,11,-0.8776,8,-1.2593,10,-1.0314,32,0.84553,39,1.19368,20,0.13907
ENSG00000116731,PRDM2,101,-0.3590,102,-0.3939,126,-0.0227,200,0.86520,102,-0.3470,104,-0.3225,119,-0.1202
ENSG00000189337,KAZN,131,1.20364,82,0.47054,44,-0.5821,50,-0.4418,45,-0.5431,33,-1.0190,61,-0.0770
ENSG00000142634,EFHD2,37,-1.6435,82,-0.4771,184,0.88435,134,0.40037,27,-2.1109,88,-0.3146,155,0.69435
ENSG00000132906,CASP9,17,0.67596,12,0.13314,18,0.78753,10,-0.1669,7,-0.6728,6,-0.9251,9,-0.2816
ENSG00000116138,DNAJC16,40,0.11977,25,-0.6902,36,-0.0422,47,0.46560,24,-0.6466,44,0.28428,40,0.16263
ENSG00000197312,DDI2,30,0.09020,30,0.10072,24,-0.2548,36,0.45035,12,-1.3434,27,-0.0900,29,0.05836
ENSG00000116786,PLEKHM2,51,-0.5908,67,-0.1949,59,-0.3516,55,-0.5082,85,0.21517,51,-0.5948,127,1.04100
ENSG00000065526,SPEN,182,1.56097,39,-1.0587,45,-0.7545,80,0.16579,51,-0.5659,85,0.24668,65,-0.1989
ENSG00000116809,ZBTB17,30,0.90349,12,-0.5787,13,-0.4661,19,0.17559,12,-0.5997,13,-0.4131,21,0.37298
ENSG00000185519,FAM131C,16,0.93701,14,0.86271,4,-1.3264,3,-1.7165,12,0.38603,4,-1.0858,10,0.19415
ENSG00000037637,FBXO42,17,-0.1690,19,0.05526,25,0.44218,21,0.18316,12,-0.6749,12,-0.6756,21,0.18672
ENSG00000055070,SZRD1,55,1.18091,14,-1.1206,30,0.19131,13,-1.1956,37,0.52283,42,0.72214,26,-0.0722
ENSG00000157191,NECAP2,42,1.82830,5,-1.5675,11,-0.4669,10,-0.5716,14,-0.1037,17,0.23540,15,0.10153
ENSG00000219481,NBPF1,58,1.57863,19,-0.3575,19,-0.3035,12,-1.1090,20,-0.1869,25,0.09831,24,0.05242
ENSG00000058453,CROCC,11,-0.0473,12,0.07467,10,-0.1650,9,-0.3595,9,-0.3487,11,-0.0600,15,0.52600
ENSG00000159363,ATP13A2,41,-1.1399,126,0.73123,75,-0.2019,71,-0.3359,46,-0.9551,84,-0.0259,108,0.43577
ENSG00000117118,SDHB,66,-0.8817,166,0.68394,124,0.11156,109,-0.1079,125,0.12085,101,-0.2242,96,-0.3241
ENSG00000117115,PADI2,310,3.33115,17,-1.9828,24,-1.3746,16,-2.0289,46,-0.3710,57,-0.0312,40,-0.6599
ENSG00000179051,RCC2,33,0.40448,35,0.60008,8,-1.6625,14,-0.9851,30,0.22181,23,-0.1563,32,0.38068
ENSG00000074964,ARHGEF10L,13,0.17666,10,-0.2989,10,-0.2220,8,-0.6761,7,-0.7598,18,0.68372,17,0.66763
ENSG00000117154,IGSF21,21,-1.9246,54,-0.5509,114,0.72177,118,0.91852,75,0.03927,56,-0.4214,63,-0.2779
ENSG00000159423,ALDH4A1,25,0.20606,8,-1.6123,17,-0.4008,11,-1.1131,33,0.67324,33,0.67128,36,0.96998
ENSG00000169991,IFFO2,10,0.08916,9,-0.0395,7,-0.3712,7,-0.4893,6,-0.6275,11,0.21450,14,0.68772
ENSG00000127481,UBR4,21,0.55048,12,-0.2787,10,-0.6003,15,0.08779,15,0.03544,25,0.88527,10,-0.6374
ENSG00000127463,EMC1,25,-0.4806,39,0.24686,42,0.32184,34,-0.0457,32,-0.1098,35,0.04360,32,-0.1447
ENSG00000053372,MRTO4,19,-0.8903,40,0.26810,30,-0.1992,35,0.01761,41,0.26146,29,-0.2782,38,0.17731
ENSG00000053371,AKR7A2,47,0.44337,38,0.11032,29,-0.2992,29,-0.3319,39,0.15120,42,0.25920,32,-0.1827
ENSG00000040487,SLC66A1,18,0.77738,9,-0.3583,9,-0.3011,6,-0.9666,10,-0.1436,7,-0.7467,19,0.96002
ENSG00000077549,CAPZB,140,-0.1312,160,0.09137,124,-0.3218,156,0.04785,196,0.41659,124,-0.3259,152,1.22092
ENSG00000173436,MICOS10,151,-1.5441,491,0.32417,448,0.13286,333,-0.3764,456,0.16181,373,-0.1608,523,0.44466
ENSG00000158747,NBL1,60,-1.4359,154,0.02989,187,0.34231,153,0.02018,153,0.01145,136,-0.1678,183,0.34314
ENSG00000169914,OTUD3,27,-0.4917,25,-0.6938,39,0.05739,62,0.97894,26,-0.5684,29,-0.3797,39,0.09539
ENSG00000162545,CAMK2N1,1028,-0.6298,1037,-0.6772,1195,-0.3952,1282,-0.3168,3716,1.52386,1331,-0.2262,1717,0.20623
ENSG00000090432,MUL1,28,0.33933,22,-0.0304,29,0.43095,23,0.05470,7,-1.8127,23,0.03341,24,0.09663
ENSG00000183114,FAM43B,4,-2.3695,14,-0.5147,33,0.93945,32,1.04922,6,-1.7073,17,-0.1449,18,-0.0994
ENSG00000158828,PINK1,187,-1.5141,555,0.18970,592,0.27231,550,0.17369,341,-0.6046,386,-0.4085,643,0.46896
ENSG00000244038,DDOST,23,-0.2097,23,-0.2318,30,0.17878,32,0.37113,39,0.64561,22,-0.2514,19,-0.5331
ENSG00000117245,KIF17,5,-2.5835,42,0.46548,38,0.25936,31,-0.0677,12,-1.4917,29,-0.1473,47,0.68032
ENSG00000189410,SH2D5,5,-2.8429,47,0.56159,40,0.23347,31,-0.1724,35,0.03177,28,-0.3074,41,0.28709
ENSG00000127483,HP1BP3,391,0.84595,152,-0.7438,215,-0.1397,251,0.12458,172,-0.4892,364,0.72454,199,-0.2938
ENSG00000075151,EIF4G3,195,-0.0389,242,0.35130,134,-0.6270,302,0.78799,122,-0.7725,197,-0.0251,132,-0.7114
ENSG00000117298,ECE1,34,0.90799,10,-1.1120,19,-0.0362,8,-1.4321,25,0.42851,29,0.64407,26,0.51507
ENSG00000076864,RAP1GAP,75,-1.5726,179,-0.2760,302,0.60440,261,0.40915,113,-0.9625,156,-0.4595,283,0.56801
ENSG00000090686,USP48,140,1.07743,44,-0.8858,78,0.09594,91,0.39186,42,-0.8748,97,0.45496,54,-0.5201
ENSG00000070831,CDC42,262,0.21296,283,0.39007,200,-0.2211,255,0.19431,208,-0.1553,172,-0.4530,188,-0.3508
ENSG00000184677,ZBTB40,19,1.05016,8,-0.3383,8,-0.3504,11,0.22737,3,-1.7970,10,0.05669,10,0.05976
ENSG00000173372,C1QA,34,0.68567,8,-1.6855,14,-0.6506,7,-1.7154,66,1.93438,28,0.38358,24,0.12936
ENSG00000159189,C1QC,20,0.71394,3,-1.9787,9,-0.5541,2,-2.4609,30,1.43717,32,1.57383,12,-0.0679
ENSG00000173369,C1QB,43,0.78015,12,-1.2361,16,-0.7419,9,-1.7456,74,1.78297,37,0.55465,26,-0.0433
ENSG00000133216,EPHB2,21,1.02117,10,-0.0935,11,0.01366,12,0.10997,3,-1.7317,5,-1.0914,13,0.26411
ENSG00000004487,KDM1A,46,-0.1519,59,0.25923,49,-0.0558,68,0.53409,39,-0.4302,60,0.25597,31,-0.8324
ENSG00000169641,LUZP1,32,-1.5100,97,0.23830,73,-0.2473,124,0.71692,67,-0.3646,74,-0.2090,81,-0.0849
ENSG00000125944,HNRNPR,187,0.57228,107,-0.3735,138,0.06882,155,0.29007,120,-0.1569,140,0.09989,106,-0.3822
ENSG00000125945,ZNF436,10,-0.4310,10,-0.4670,8,-0.7060,21,0.92679,11,-0.1609,6,-1.0950,16,0.37583
ENSG00000249087,ZNF436-AS1,8,-0.3550,11,0.21756,10,0.06604,8,-0.3233,9,-0.1389,4,-1.1472,14,0.67083
ENSG00000088280,ASAP3,11,0.21202,7,-0.6095,14,0.56989,8,-0.4353,7,-0.6087,14,0.56746,12,0.32339
ENSG00000117318,ID3,46,1.18099,2,-3.8101,4,-2.4360,4,-2.5346,77,2.18484,68,1.93125,9,-1.4004
ENSG00000142676,RPL11,494,-0.0504,472,-0.1373,487,-0.0746,275,-1.0486,900,0.94710,563,0.15872,581,0.23928
ENSG00000011007,ELOA,32,0.48055,19,-0.3474,32,0.45421,26,0.14468,24,0.00023,24,0.02860,18,-0.4901
ENSG00000057757,PITHD1,99,-0.8820,216,0.40371,162,-0.1109,187,0.13396,101,-0.8475,141,-0.3281,214,0.38859
ENSG00000011009,LYPLA2,17,-0.7105,30,0.13841,35,0.35834,22,-0.4032,29,0.06213,33,0.28753,30,0.11963
ENSG00000117308,GALE,5,-1.8590,29,0.76047,15,-0.3438,13,-0.6765,27,0.56150,21,0.12116,20,0.07380
ENSG00000117305,HMGCL,22,0.41600,15,-0.1741,14,-0.2890,10,-0.8030,28,0.85467,14,-0.2766,19,0.25266
ENSG00000179163,FUCA1,10,-0.2893,14,0.32490,14,0.26355,11,-0.1881,8,-0.6370,14,0.25480,12,-0.0288
ENSG00000189266,PNRC2,90,0.33948,62,-0.3033,104,0.57565,63,-0.2726,76,0.05053,85,0.23500,64,-0.2281
ENSG00000188529,SRSF10,87,0.43752,61,-0.1311,63,-0.0698,67,0.02600,62,-0.1067,73,0.16559,60,-0.1839
ENSG00000001460,STPG1,7,-0.2478,8,-0.0651,13,0.70695,11,0.48539,6,-0.5335,3,-1.3679,8,-0.0343
ENSG00000001461,NIPAL3,290,1.79259,77,-0.5313,148,0.58107,90,-0.2520,43,-1.3668,74,-0.5227,75,-0.5543
ENSG00000117602,RCAN3,23,1.76031,7,-0.2304,8,0.06448,4,-1.1014,2,-1.7645,9,0.17529,8,-0.0066
ENSG00000133226,SRRM1,217,1.09802,71,-0.7988,108,-0.0689,135,0.33010,74,-0.6683,125,0.15811,97,-0.2707
ENSG00000169504,CLIC4,393,3.63011,15,-2.4251,49,-0.4891,17,-2.2033,30,-1.2187,82,0.31433,28,-1.4347
ENSG00000117614,SYF2,141,0.48961,77,-0.5192,89,-0.2486,116,0.19126,131,0.37205,140,0.47601,78,-0.5096
ENSG00000117616,RSRP1,146,0.99387,64,-0.4064,72,-0.1652,85,0.09458,59,-0.4718,67,-0.2871,81,0.01477
ENSG00000183726,TMEM50A,132,0.54130,78,-0.3257,67,-0.5364,107,0.23436,101,0.10948,83,-0.2137,95,0.01455
ENSG00000204178,MACO1,66,0.74892,35,-0.3388,47,0.18361,47,0.19811,25,-0.7709,50,0.27759,34,-0.3619
ENSG00000157978,LDLRAP1,67,4.71811,1,-2.8141,9,0.03978,1,-2.6037,1,-2.5614,1,-3.2599,2,-2.2932
ENSG00000117643,MAN1C1,8,-2.2960,39,0.01215,43,0.16469,53,0.56137,66,0.85971,31,-0.3459,29,-0.5242
ENSG00000162430,SELENON,33,0.14066,18,-0.8338,27,-0.1713,23,-0.4451,44,0.60614,42,0.54763,36,0.32545
ENSG00000117640,MTFR1L,51,-0.4337,62,-0.1211,62,-0.1117,73,0.16052,64,-0.0596,67,0.01561,76,0.24156
ENSG00000117632,STMN1,1225,-0.5562,2368,0.57711,2284,0.44040,1849,0.10729,1047,-0.7987,1247,-0.5278,1598,-0.1554
ENSG00000158008,EXTL1,11,-2.1309,32,-0.5357,75,0.86925,45,0.04387,23,-0.9980,46,0.05916,66,0.76447
ENSG00000175087,PDIK1L,14,-0.2914,20,0.23165,22,0.36658,15,-0.2485,14,-0.3577,19,0.12098,18,0.02770
ENSG00000142684,ZNF593,22,-0.5853,42,0.51141,20,-0.7024,31,-0.0517,37,0.20532,34,0.08339,31,-0.0807
ENSG00000130695,CEP85,36,2.30262,6,-0.8471,9,-0.1885,12,0.32725,2,-2.0461,9,-0.1412,4,-1.5517
ENSG00000142669,SH3BGRL3,151,-0.4797,226,0.18146,202,-0.0168,209,0.04196,193,-0.0926,207,0.02164,210,0.05299
ENSG00000158062,UBXN11,4,-1.7010,10,-0.4281,10,-0.3459,13,-0.0489,25,1.09269,6,-1.2456,20,0.77009
ENSG00000169442,CD52,0,-8.7501,17,0.89406,22,1.24605,10,-0.0543,3,-1.6194,6,-0.8015,10,-0.1385
