Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000149527,PLCH2,20,1.05776,11,0.02677,10,-0.1337,5,-1.4403,12,0.05038,10,-0.2465,15,0.46805
ENSG00000157881,PANK4,6,-1.2607,15,0.00937,9,-0.6394,16,0.14703,16,0.13245,20,0.48436,24,0.83465
ENSG00000197921,HES5,18,0.43764,12,-0.2537,13,-0.1208,4,-1.9728,4,-2.0167,58,2.45731,18,0.35354
ENSG00000157870,PRXL2B,41,-0.1374,28,-0.7256,41,-0.1272,38,-0.2815,57,0.47109,43,-0.0584,64,0.60651
ENSG00000177133,PRDM16-DT,31,0.85452,13,-0.6371,14,-0.4807,5,-2.3616,2,-3.5715,84,2.61588,26,0.44323
ENSG00000142611,PRDM16,23,1.06801,13,0.02991,21,0.73362,2,-2.5302,1,-3.6051,44,2.12615,9,-0.5440
ENSG00000158109,TPRG1L,131,-0.4619,122,-0.5374,136,-0.3680,199,0.29413,191,0.18528,141,-0.3153,253,0.62523
ENSG00000116213,WRAP73,9,-0.3844,17,0.66707,2,-2.1162,10,-0.1705,16,0.71800,7,-0.7494,15,0.46390
ENSG00000130764,LRRC47,52,-0.5794,50,-0.5950,44,-0.7607,78,0.13284,92,0.42510,91,0.36415,94,0.41315
ENSG00000116198,CEP104,21,-0.5660,49,0.84319,32,0.14451,38,0.53474,20,-0.6172,31,0.09283,13,-1.1573
ENSG00000198912,C1orf174,9,-0.5607,13,0.06298,18,0.48383,15,0.32209,9,-0.5153,9,-0.5007,19,0.60553
ENSG00000196581,AJAP1,38,-0.3130,54,0.24812,54,0.24020,38,-0.3393,49,0.09844,65,0.56125,44,-0.0684
ENSG00000069424,KCNAB2,193,0.29109,108,-0.6509,109,-0.6379,138,-0.3269,212,0.46562,164,0.00143,198,0.30578
ENSG00000116254,CHD5,223,-0.1463,330,0.49779,321,0.45423,284,0.32279,214,-0.2132,185,-0.4230,104,-1.3006
ENSG00000116251,RPL22,543,0.73944,238,-0.6609,287,-0.3740,335,-0.1628,279,-0.4576,417,0.21533,417,0.21579
ENSG00000116237,ICMT,31,-0.2620,24,-0.6287,25,-0.5583,29,-0.3989,57,0.86018,29,-0.3153,54,0.65534
ENSG00000097021,ACOT7,70,-1.6035,135,-0.5085,127,-0.6096,167,-0.2197,366,1.30528,125,-0.6314,301,0.77317
ENSG00000215788,TNFRSF25,10,-0.8414,28,0.83660,2,-3.1102,15,-0.2155,23,0.54943,21,0.37859,23,0.47616
ENSG00000171680,PLEKHG5,26,0.38026,20,-0.1378,14,-0.6860,12,-0.9825,32,0.72983,23,0.14382,25,0.23846
ENSG00000162408,NOL9,32,0.15571,41,0.57813,39,0.49892,28,-0.0634,19,-0.6962,25,-0.2427,27,-0.1020
ENSG00000162413,KLHL21,19,-0.4379,19,-0.4188,17,-0.6061,22,-0.2702,28,0.15578,39,0.70611,42,0.84143
ENSG00000116273,PHF13,12,-0.4971,16,-0.0888,13,-0.3862,20,0.35332,19,0.25951,20,0.25392,12,-0.4917
ENSG00000041988,THAP3,10,-0.6193,14,-0.0947,10,-0.6300,14,-0.1086,18,0.29907,23,0.67165,20,0.40805
ENSG00000007923,DNAJC11,28,-0.3196,36,0.08978,40,0.24744,41,0.34884,22,-0.7104,37,0.12928,40,0.23320
ENSG00000171735,CAMTA1,279,-0.6416,452,0.16623,626,0.69912,482,0.34314,346,-0.2807,409,0.00584,298,-0.4890
ENSG00000049245,VAMP3,23,0.55076,14,-0.2516,8,-1.1638,21,0.43985,7,-1.3411,17,-0.0162,24,0.53318
ENSG00000049246,PER3,38,0.13350,39,0.17161,39,0.18280,22,-0.8310,18,-1.1040,96,1.72249,33,-0.1076
ENSG00000116288,PARK7,203,-0.1264,126,-0.8457,126,-0.8486,195,-0.2191,243,0.19272,233,0.09975,439,1.15917
ENSG00000116285,ERRFI1,20,-0.4994,29,0.08822,39,0.56296,24,-0.2458,31,0.22281,20,-0.4804,38,0.53145
ENSG00000162426,SLC45A1,10,-1.4876,17,-0.6412,12,-1.1720,28,0.18130,49,1.25664,15,-0.8300,35,0.51981
ENSG00000142599,RERE,129,-0.0002,149,0.23536,137,0.09867,125,-0.0552,96,-0.4909,197,0.69191,106,-0.2949
ENSG00000074800,ENO1,437,0.28825,223,-0.7928,224,-0.7886,253,-0.7183,464,0.39804,451,0.30802,635,0.87498
ENSG00000171612,SLC25A33,48,1.35684,17,-0.4773,16,-0.5774,11,-1.3132,16,-0.6589,35,0.62950,31,0.43350
ENSG00000171608,PIK3CD,5,-1.5222,14,0.24225,6,-1.0918,20,1.09194,14,0.29803,3,-1.9688,13,0.05084
ENSG00000171603,CLSTN1,367,-1.0951,564,-0.3599,633,-0.1812,806,0.25924,1033,0.69605,742,0.07194,647,-0.1469
ENSG00000178585,CTNNBIP1,32,0.00553,12,-1.4107,12,-1.4186,53,1.17175,19,-0.8434,39,0.33641,22,-0.5232
ENSG00000162441,LZIC,51,0.03208,40,-0.3598,85,0.87123,48,-0.0601,30,-0.8527,75,0.66091,42,-0.2553
ENSG00000130939,UBE4B,35,-0.4061,50,0.20281,42,-0.0760,45,0.03573,54,0.37053,36,-0.2934,43,-0.0117
ENSG00000054523,KIF1B,354,-0.4012,572,0.39652,721,0.77954,512,0.27790,391,-0.2342,371,-0.2907,226,-1.0485
ENSG00000284642,AL139424.2,7,-1.1409,16,0.27501,7,-0.9340,22,1.02422,14,0.05447,7,-0.9664,12,-0.1647
ENSG00000142657,PGD,37,-0.5688,41,-0.3629,47,-0.1513,49,-0.0954,71,0.57519,40,-0.4041,78,0.65640
ENSG00000175279,CENPS,6,-0.8771,12,0.25664,17,0.85528,7,-0.6973,11,0.13213,15,0.69214,12,0.29663
ENSG00000241563,CORT,11,-0.6613,6,-1.4339,5,-1.8529,10,-0.9680,25,0.70367,24,0.58624,49,1.79059
ENSG00000160049,DFFA,51,0.35710,40,-0.0847,60,0.57857,39,-0.1557,30,-0.5708,40,-0.0791,43,0.05087
ENSG00000142655,PEX14,11,-0.9943,15,-0.5482,16,-0.4498,23,0.13042,25,0.32466,30,0.55221,31,0.58970
ENSG00000120948,TARDBP,54,-0.6536,99,0.34641,79,-0.0263,82,0.06033,82,0.05516,97,0.30274,84,0.07896
ENSG00000271895,AL109811.2,7,-0.7553,22,1.03948,7,-0.7964,9,-0.5450,17,0.69182,12,0.07970,12,0.06222
ENSG00000116649,SRM,42,-0.1965,31,-0.6636,26,-0.8874,47,-0.0287,58,0.35023,55,0.22907,69,0.61060
ENSG00000171824,EXOSC10,21,-0.4347,58,1.28566,22,-0.3002,21,-0.4778,25,-0.0915,32,0.28718,28,0.05692
ENSG00000198793,MTOR,27,-0.6001,51,0.43297,33,-0.2703,37,-0.1073,50,0.44905,37,-0.0715,42,0.13214
ENSG00000116661,FBXO2,204,0.71382,71,-1.0388,62,-1.2247,102,-0.5759,197,0.64292,85,-0.7515,200,0.58915
ENSG00000132879,FBXO44,45,-0.7826,71,-0.0230,53,-0.4867,81,0.23960,91,0.42269,69,-0.0593,84,0.23711
ENSG00000116670,MAD2L2,14,0.61604,4,-1.1921,5,-0.8010,5,-1.2133,10,0.04375,14,0.57441,21,1.27221
ENSG00000177000,MTHFR,15,-0.3888,26,0.51454,17,-0.1735,24,0.43926,21,0.20700,13,-0.6001,9,-1.0736
ENSG00000011021,CLCN6,61,-0.2775,62,-0.2403,47,-0.6569,97,0.61968,70,-0.0432,66,-0.1382,64,-0.1796
ENSG00000116685,KIAA2013,24,-0.1751,25,-0.0560,24,-0.1241,21,-0.4116,31,0.33447,23,-0.2258,42,0.77584
ENSG00000083444,PLOD1,14,-0.1232,14,-0.0378,13,-0.1955,11,-0.5558,18,0.30596,19,0.35728,21,0.56859
ENSG00000116688,MFN2,94,-0.3678,103,-0.1937,87,-0.4671,122,0.09284,148,0.42517,98,-0.2698,145,0.35152
ENSG00000048707,VPS13D,54,-0.6678,114,0.56086,76,-0.0805,88,0.19862,94,0.28064,72,-0.1697,59,-0.4716
ENSG00000162496,DHRS3,33,1.29432,13,-0.3370,11,-0.5698,3,-2.4960,24,0.67843,16,-0.1094,19,0.17207
ENSG00000116731,PRDM2,128,-0.7965,318,0.70443,456,1.33283,188,-0.1726,186,-0.1741,194,-0.0923,102,-1.0756
ENSG00000189337,KAZN,43,-0.5901,64,0.06705,48,-0.4016,70,0.26063,78,0.41514,58,-0.0833,55,-0.1753
ENSG00000142634,EFHD2,32,-1.6280,76,-0.2385,57,-0.6885,189,1.86903,65,-0.5372,24,-1.9754,59,-0.6287
ENSG00000116138,DNAJC16,27,-0.6539,53,0.49029,36,-0.1482,50,0.49700,42,0.11688,34,-0.2251,22,-0.8886
ENSG00000197312,DDI2,17,-1.3427,49,0.37307,52,0.47492,48,0.46522,39,0.04262,38,-0.0351,28,-0.4897
ENSG00000116786,PLEKHM2,136,0.57186,61,-0.7601,93,-0.0956,111,0.22107,68,-0.6295,87,-0.2068,110,0.16606
ENSG00000065526,SPEN,99,-0.4194,272,1.27313,348,1.73134,92,-0.5980,70,-0.9782,99,-0.3927,60,-1.1573
ENSG00000116809,ZBTB17,17,-0.0481,20,0.21299,9,-0.9763,23,0.52191,10,-0.9677,19,0.10469,24,0.47110
ENSG00000037637,FBXO42,15,-0.5956,33,0.75504,20,-0.0847,19,-0.1610,13,-0.7378,28,0.47473,35,0.82479
ENSG00000055070,SZRD1,42,1.35976,11,-0.9766,14,-0.5527,14,-0.6622,13,-0.7294,34,0.76435,16,-0.4167
ENSG00000219481,NBPF1,10,-0.0011,19,0.96550,13,0.43825,9,-0.1641,7,-0.5654,3,-1.7319,14,0.51538
ENSG00000058453,CROCC,6,-0.7658,17,0.82653,5,-0.8721,13,0.51808,5,-1.1024,12,0.25437,15,0.60773
ENSG00000159363,ATP13A2,64,-0.7724,76,-0.4500,61,-0.7736,126,0.45833,140,0.59650,58,-0.8484,131,0.40960
ENSG00000117118,SDHB,35,-0.7639,31,-0.8713,28,-1.0570,44,-0.4363,80,0.68928,81,0.62422,105,1.05728
ENSG00000117115,PADI2,81,1.55706,22,-0.7692,26,-0.5107,21,-1.0079,8,-2.3132,76,1.19665,40,0.10660
ENSG00000179051,RCC2,17,-0.4341,18,-0.3331,29,0.40345,23,0.03390,32,0.66531,15,-0.6165,17,-0.4282
ENSG00000074964,ARHGEF10L,19,0.26525,15,-0.1222,11,-0.6039,15,-0.1580,12,-0.5833,32,1.03215,17,0.03357
ENSG00000117154,IGSF21,52,-0.2560,54,-0.1511,41,-0.6034,60,-0.0063,91,0.76971,32,-0.9697,68,0.20776
ENSG00000159423,ALDH4A1,35,1.43425,4,-1.9846,16,-0.0198,9,-1.0890,6,-1.5482,27,0.80386,26,0.71806
ENSG00000169991,IFFO2,8,-0.2379,11,0.26208,9,-0.0327,10,0.14584,11,0.24183,8,-0.1422,6,-0.6245
ENSG00000127481,UBR4,22,-0.7963,82,1.36451,97,1.67366,24,-0.7156,28,-0.4347,33,-0.1583,12,-1.6630
ENSG00000127463,EMC1,27,-0.3580,40,0.30435,29,-0.1892,26,-0.4598,40,0.36046,51,0.70798,31,-0.1050
ENSG00000053372,MRTO4,28,-0.5148,27,-0.4863,24,-0.6586,49,0.56079,40,0.10378,37,0.00582,41,0.13668
ENSG00000053371,AKR7A2,28,0.42971,19,-0.2521,7,-1.6163,14,-0.7766,19,-0.2053,33,0.67194,44,1.15344
ENSG00000077549,CAPZB,102,-0.4519,128,-0.0658,113,-0.2601,114,-0.2972,197,0.72718,93,-0.5562,190,0.57366
ENSG00000173436,MICOS10,247,0.24520,93,-1.2951,122,-0.8764,241,0.22467,195,-0.1788,174,-0.3348,376,0.91311
ENSG00000158747,NBL1,110,-0.0214,81,-0.4938,77,-0.5872,127,0.26208,119,0.11588,91,-0.3231,139,0.35466
ENSG00000169914,OTUD3,14,-0.7668,41,0.96443,17,-0.4252,28,0.43451,28,0.36132,14,-0.7079,9,-1.4290
ENSG00000162545,CAMK2N1,2419,1.02020,895,-0.7127,1281,-0.1582,947,-0.7476,1148,-0.3616,1926,0.49712,1493,0.08461
ENSG00000090432,MUL1,13,-0.6791,16,-0.4026,18,-0.2124,27,0.54524,18,-0.1882,17,-0.2733,31,0.64276
ENSG00000183114,FAM43B,9,-0.9821,15,-0.0550,12,-0.4329,23,0.80482,12,-0.4604,14,-0.2291,23,0.56212
ENSG00000158828,PINK1,308,-0.4548,285,-0.5370,214,-0.9726,429,0.13096,560,0.61140,268,-0.6270,628,0.72873
ENSG00000244038,DDOST,17,-0.5545,25,0.10274,10,-1.2808,15,-0.7913,31,0.50181,38,0.78902,43,1.00669
ENSG00000117245,KIF17,10,-1.3288,12,-0.9187,12,-0.8747,41,1.39440,20,-0.2126,11,-1.0104,28,0.33695
ENSG00000189410,SH2D5,31,-0.0516,23,-0.4831,26,-0.3001,20,-0.8634,49,0.77851,41,0.39456,42,0.42694
ENSG00000127483,HP1BP3,205,-0.3561,382,0.67610,449,0.94925,227,-0.2019,206,-0.3492,302,0.29155,136,-0.9561
ENSG00000075151,EIF4G3,117,-1.3119,472,0.98907,553,1.26717,197,-0.5183,357,0.59248,186,-0.5115,97,-1.4969
ENSG00000117298,ECE1,28,1.11266,17,0.12403,11,-0.5980,7,-1.2786,8,-1.0885,34,1.29469,15,-0.0211
ENSG00000076864,RAP1GAP,61,-1.2830,124,-0.1139,51,-1.4821,202,0.89396,144,0.13743,136,0.03241,143,0.10819
ENSG00000090686,USP48,46,-0.9253,184,1.39901,108,0.49590,77,-0.0606,70,-0.2233,78,-0.0274,43,-0.9489
ENSG00000070831,CDC42,109,-0.9349,155,-0.3229,126,-0.6404,222,0.31458,278,0.70383,169,-0.1793,202,0.09678
ENSG00000184677,ZBTB40,9,-0.4545,13,0.23395,14,0.27090,9,-0.4508,11,-0.1615,26,1.29737,9,-0.4268
ENSG00000133216,EPHB2,4,-1.5446,19,0.74300,16,0.53080,14,0.39238,10,-0.3041,9,-0.3754,14,0.24053
ENSG00000004487,KDM1A,26,-1.2391,73,0.41215,80,0.56199,38,-0.7532,86,0.76611,52,-0.1429,80,0.56122
ENSG00000169641,LUZP1,90,-1.2197,250,0.45005,367,1.09923,214,0.25975,217,0.24692,90,-1.1381,112,-0.8012
ENSG00000125944,HNRNPR,102,-0.3832,151,0.27227,187,0.62662,110,-0.2729,127,0.00668,167,0.44076,103,-0.3222
ENSG00000125945,ZNF436,7,-0.9480,10,-0.3555,9,-0.4887,11,-0.2045,17,0.57175,29,1.33065,9,-0.5747
ENSG00000088280,ASAP3,9,-0.2701,5,-0.9611,8,-0.3463,14,0.62663,5,-1.2559,15,0.60329,16,0.69009
ENSG00000142676,RPL11,470,0.75116,136,-1.2886,161,-1.0261,314,-0.0020,211,-0.6708,277,-0.1993,576,0.99933
ENSG00000011007,ELOA,26,-0.1430,29,0.05888,34,0.31318,26,-0.1296,29,0.06092,44,0.70661,13,-1.1246
ENSG00000057757,PITHD1,89,-0.9652,127,-0.3469,79,-1.0636,201,0.50446,182,0.25088,153,-0.0522,235,0.64117
ENSG00000011009,LYPLA2,22,-0.1272,16,-0.5354,14,-0.8141,28,0.35995,23,0.00841,22,-0.1008,31,0.44329
ENSG00000117308,GALE,7,-0.9919,9,-0.5554,6,-1.1244,16,0.33484,16,0.26863,15,0.11374,25,0.95121
ENSG00000117305,HMGCL,15,0.47380,6,-0.9890,9,-0.3135,6,-1.0408,10,-0.1600,19,0.76968,23,1.09503
ENSG00000179163,FUCA1,4,-1.3274,7,-0.6215,3,-1.8056,11,0.11576,22,1.43815,8,-0.3409,10,0.01659
ENSG00000189266,PNRC2,51,-0.1498,61,0.14514,62,0.16886,41,-0.5501,55,-0.0171,74,0.45636,78,0.55246
ENSG00000188529,SRSF10,51,-0.5648,114,0.74574,74,0.04766,75,0.07587,61,-0.2925,83,0.22093,72,-0.0006
ENSG00000001460,STPG1,7,-0.4676,17,0.91603,7,-0.4369,6,-0.8711,13,0.58303,12,0.30091,11,0.22194
ENSG00000001461,NIPAL3,51,-1.3436,130,0.19783,125,0.13500,161,0.71511,119,0.06050,113,-0.0308,75,-0.6653
ENSG00000133226,SRRM1,153,-0.0911,362,1.35297,255,0.74180,138,-0.3047,124,-0.4450,112,-0.5719,79,-1.1052
ENSG00000169504,CLIC4,45,1.10226,13,-0.9770,13,-0.9404,24,-0.1031,11,-1.3085,35,0.54067,31,0.32071
ENSG00000117614,SYF2,129,0.28325,100,-0.1487,155,0.54629,92,-0.3491,84,-0.4736,161,0.61373,96,-0.2239
ENSG00000117616,RSRP1,41,-0.9080,209,1.87748,32,-1.1956,52,-0.5693,58,-0.3283,99,0.54087,81,0.22223
ENSG00000183726,TMEM50A,51,-0.4821,59,-0.1991,45,-0.6135,57,-0.3174,97,0.67311,88,0.43064,81,0.29887
ENSG00000204178,MACO1,29,-1.1091,118,1.19081,89,0.70659,48,-0.3408,59,0.03939,68,0.28271,36,-0.7093
ENSG00000117643,MAN1C1,43,0.27075,22,-0.8050,21,-0.8323,17,-1.3711,74,1.33652,45,0.29717,35,-0.0923
ENSG00000162430,SELENON,30,0.64556,19,-0.1591,10,-1.1438,17,-0.3467,16,-0.4006,28,0.47342,28,0.48571
ENSG00000117640,MTFR1L,40,-0.4673,43,-0.3106,31,-0.8305,51,-0.0734,66,0.39549,74,0.54052,69,0.41661
ENSG00000117632,STMN1,570,-1.2438,975,-0.3391,1241,0.04059,1548,0.51603,1362,0.21266,741,-0.7614,1838,0.68060
ENSG00000158008,EXTL1,47,0.22760,40,-0.0409,20,-1.0778,47,0.26268,38,-0.1264,19,-1.1471,62,0.66762
ENSG00000175087,PDIK1L,6,-1.6202,12,-0.4282,21,0.34323,26,0.95265,17,0.08181,15,-0.1035,10,-0.7884
ENSG00000142684,ZNF593,14,-0.6381,19,-0.1582,17,-0.2769,19,-0.1821,27,0.44677,14,-0.6388,41,1.08824
ENSG00000142669,SH3BGRL3,136,-0.0064,81,-0.8048,63,-1.1908,169,0.44319,143,0.09190,86,-0.7109,204,0.65437
ENSG00000158062,UBXN11,24,0.79325,8,-1.0043,6,-1.2488,11,-0.5633,10,-0.6504,24,0.70107,29,1.01211
ENSG00000117682,DHDDS,9,-1.1959,18,0.00159,9,-0.9959,23,0.44145,24,0.46021,27,0.61513,14,-0.4446
ENSG00000198830,HMGN2,155,0.54668,88,-0.4194,85,-0.4771,87,-0.5296,93,-0.3696,166,0.59838,170,0.62853
ENSG00000117713,ARID1A,70,-0.1020,89,0.28774,102,0.51197,64,-0.2874,52,-0.6007,145,1.10884,44,-0.7915
ENSG00000204160,ZDHHC18,12,-0.4572,10,-0.6847,8,-0.9294,22,0.72955,11,-0.5350,18,0.28692,21,0.54242
ENSG00000142751,GPN2,13,-0.5429,29,0.79569,13,-0.4809,12,-0.6870,22,0.37322,22,0.38917,24,0.51018
ENSG00000090273,NUDC,192,0.05410,130,-0.5598,155,-0.2900,163,-0.2642,201,0.13593,193,0.05852,297,0.76078
ENSG00000253368,TRNP1,27,-0.8257,30,-0.6237,37,-0.3181,55,0.39622,48,0.12328,30,-0.6209,83,1.00365
ENSG00000090020,SLC9A1,8,-1.2845,14,-0.3869,25,0.43753,24,0.49025,21,0.21233,9,-1.1024,27,0.60252
ENSG00000142784,WDTC1,36,0.67983,21,-0.2380,24,-0.0077,24,-0.0409,15,-0.7701,24,-0.0285,26,0.10538
ENSG00000186501,TMEM222,34,0.11182,19,-0.7987,15,-1.1703,34,0.11206,36,0.19892,44,0.50605,33,0.04413
ENSG00000158195,WASF2,64,1.30794,45,0.52891,49,0.65197,19,-0.9683,12,-1.5258,40,0.34171,13,-1.3303
ENSG00000126705,AHDC1,43,-0.1459,62,0.44695,72,0.70528,44,-0.1146,42,-0.1790,40,-0.2476,38,-0.3320
ENSG00000126709,IFI6,62,-0.5786,79,-0.1513,42,-1.1246,78,-0.1919,182,1.47076,34,-1.4226,76,-0.2064
ENSG00000009780,FAM76A,13,-0.6170,30,0.70371,16,-0.2948,17,-0.2236,23,0.35326,23,0.26200,18,-0.0741
ENSG00000117758,STX12,51,-1.0154,110,0.26283,83,-0.1882,94,0.01475,107,0.23825,95,0.02472,143,0.68326
ENSG00000117751,PPP1R8,28,0.12048,18,-0.5671,22,-0.2450,21,-0.3498,32,0.41557,38,0.63984,21,-0.3323
ENSG00000117748,RPA2,25,-0.5947,21,-0.8281,16,-1.2363,28,-0.4990,49,0.54702,59,0.78133,71,1.09707
ENSG00000158161,EYA3,8,-0.5860,15,0.49596,14,0.40746,8,-0.4988,10,-0.1930,17,0.68685,15,0.43680
ENSG00000126698,DNAJC8,177,-0.2466,225,0.15837,274,0.48023,189,-0.1425,226,0.18377,206,0.02016,162,-0.3607
ENSG00000130770,ATP5IF1,266,-0.5286,237,-0.6647,176,-1.1177,324,-0.2227,507,0.61586,268,-0.4742,794,1.31053
ENSG00000204138,PHACTR4,41,0.53776,51,0.82464,43,0.54721,29,-0.1260,9,-1.9276,47,0.68416,9,-1.7559
ENSG00000180098,TRNAU1AP,13,-0.0769,23,0.78583,4,-1.8316,11,-0.3691,17,0.39960,7,-0.9143,23,0.81391
ENSG00000120656,TAF12,14,0.10994,19,0.53271,9,-0.6190,7,-1.0538,13,-0.0368,17,0.38677,26,1.05862
ENSG00000162419,GMEB1,10,-0.3379,9,-0.4271,18,0.59037,13,0.13427,9,-0.5826,26,1.19038,6,-1.1267
ENSG00000198492,YTHDF2,51,-0.9787,104,0.17897,101,0.13059,101,0.17168,129,0.60945,89,-0.0578,61,-0.6349
ENSG00000116329,OPRD1,5,-1.3813,18,0.59151,28,1.41252,9,-0.4693,13,0.16087,9,-0.3595,13,0.08315
ENSG00000159023,EPB41,12,-0.6880,38,1.12200,34,0.96330,16,-0.2898,21,0.16404,11,-0.7989,10,-0.9740
ENSG00000116350,SRSF4,72,-0.1798,105,0.43711,104,0.41496,77,-0.0795,66,-0.3233,88,0.15235,76,-0.0815
ENSG00000116353,MECR,17,-0.5922,19,-0.3977,16,-0.6136,22,-0.2177,34,0.56104,27,0.12573,41,0.82545
ENSG00000060656,PTPRU,11,-0.4983,7,-1.2519,13,-0.2625,21,0.62371,23,0.70144,10,-0.6005,9,-0.8286
