Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to10,Feature log2 fold change topic 7to10
ENSG00000177133,PRDM16-DT,9,-2.4989,1,-5.2895,226,3.04089,47,0.02111,34,-0.6763
ENSG00000158109,TPRG1L,95,-0.6420,33,-2.3785,81,-0.8946,292,1.44306,154,0.15827
ENSG00000130764,LRRC47,79,-0.1482,108,0.40828,65,-0.4635,106,0.36500,74,-0.3615
ENSG00000116198,CEP104,50,-0.0747,68,0.47274,23,-1.2274,51,-0.0595,54,0.04923
ENSG00000196581,AJAP1,0,-7.2974,29,-1.1404,16,-1.9814,51,-0.2269,101,1.76680
ENSG00000069424,KCNAB2,124,-0.4076,70,-1.3827,85,-0.9834,317,1.38501,155,-0.0785
ENSG00000116254,CHD5,49,-3.3125,280,-0.7890,142,-1.7403,374,-0.3016,733,1.55307
ENSG00000116251,RPL22,666,1.11045,325,-0.1031,291,-0.2649,289,-0.3102,314,-0.2122
ENSG00000116237,ICMT,45,0.27890,18,-1.1829,37,-0.0060,44,0.30897,42,0.27168
ENSG00000097021,ACOT7,90,0.15271,30,-1.6585,0,-8.0787,198,1.91405,67,-0.4291
ENSG00000171680,PLEKHG5,2,-4.3173,32,-0.8260,39,-0.4521,79,0.79731,64,0.54387
ENSG00000162408,NOL9,91,1.00573,24,-1.2321,24,-1.1422,41,-0.3461,64,0.63767
ENSG00000007923,DNAJC11,22,-1.2899,46,-0.2002,64,0.35763,68,0.53930,49,-0.0803
ENSG00000171735,CAMTA1,215,-1.0526,182,-1.4060,221,-1.0092,562,0.53501,576,0.84374
ENSG00000049245,VAMP3,304,2.98346,60,-0.1379,95,0.62326,31,-1.2035,16,-2.5365
ENSG00000049246,PER3,6,-3.0631,56,0.24837,157,2.06918,28,-0.9613,40,-0.4620
ENSG00000116288,PARK7,146,0.41107,41,-1.6818,134,0.26609,160,0.65307,113,-0.0064
ENSG00000142599,RERE,9,-4.3400,141,-0.3753,251,0.59159,127,-0.5466,237,0.83598
ENSG00000074800,ENO1,380,-0.0382,226,-0.9285,1202,2.00832,382,-0.0313,273,-0.7719
ENSG00000171612,SLC25A33,17,-1.5986,26,-1.0603,130,1.68631,46,-0.1137,50,0.03886
ENSG00000171603,CLSTN1,213,-1.5378,230,-1.5271,538,-0.1136,1007,1.09733,638,0.24705
ENSG00000178585,CTNNBIP1,45,-0.3067,82,0.77380,47,-0.2316,67,0.39308,38,-0.7453
ENSG00000162441,LZIC,0,-7.5571,125,1.15925,137,1.13518,25,-1.7020,65,-0.1607
ENSG00000130939,UBE4B,22,-0.7756,61,0.98420,0,-7.3906,62,1.03365,24,-0.8576
ENSG00000054523,KIF1B,331,-0.8205,696,0.40629,615,0.15258,572,0.03950,528,-0.1360
ENSG00000142657,PGD,82,0.65529,49,-0.1962,65,0.28109,57,0.07124,47,-0.3400
ENSG00000160049,DFFA,2,-4.6099,61,0.01966,95,0.75769,46,-0.4623,72,0.47842
ENSG00000120948,TARDBP,70,-0.0537,56,-0.4235,38,-0.9738,101,0.64473,74,0.06957
ENSG00000116649,SRM,45,-0.5360,38,-0.8873,75,0.26017,132,1.48293,45,-0.7706
ENSG00000171824,EXOSC10,0,-6.9284,52,0.24998,44,-0.0340,20,-1.3633,66,1.07115
ENSG00000116661,FBXO2,125,-0.0793,40,-1.9489,129,-0.0281,249,1.28382,121,-0.1990
ENSG00000132879,FBXO44,122,0.13848,28,-2.2123,55,-1.0928,211,1.27139,116,0.08347
ENSG00000011021,CLCN6,17,-1.9064,64,0.13304,14,-2.1423,92,0.82811,63,0.14353
ENSG00000116685,KIAA2013,58,-0.0721,105,1.05884,41,-0.6242,64,0.09318,43,-0.7478
ENSG00000116688,MFN2,64,-1.0419,109,-0.2548,142,0.19543,163,0.48013,127,0.02492
ENSG00000048707,VPS13D,78,-0.4000,79,-0.4366,206,1.19975,88,-0.2403,98,-0.0699
ENSG00000162496,DHRS3,13,-1.7057,24,-0.9416,149,2.32973,37,-0.2069,32,-0.5325
ENSG00000116731,PRDM2,175,-0.9110,232,-0.5271,122,-1.4558,247,-0.4202,471,1.17009
ENSG00000189337,KAZN,120,0.74878,134,1.11627,14,-2.5486,64,-0.3112,58,-0.6042
ENSG00000142634,EFHD2,45,-0.8913,79,-0.0203,30,-1.5020,185,1.78060,49,-1.0314
ENSG00000197312,DDI2,9,-2.4634,30,-0.8750,83,0.85145,54,0.14129,59,0.45307
ENSG00000116786,PLEKHM2,48,-2.0006,79,-1.3690,101,-0.8942,223,0.40322,260,1.04981
ENSG00000065526,SPEN,122,-1.3144,467,0.94699,210,-0.4944,96,-1.7977,353,0.53780
ENSG00000055070,SZRD1,148,1.28041,27,-1.5580,119,0.88307,35,-1.1683,76,0.23136
ENSG00000159363,ATP13A2,12,-2.9110,86,-0.0215,53,-0.7684,160,1.21911,78,-0.2533
ENSG00000117115,PADI2,477,1.81587,323,1.29930,89,-1.0025,92,-1.0399,75,-1.6326
ENSG00000117154,IGSF21,51,0.05145,2,-4.5586,4,-3.7131,137,2.31292,40,-0.4771
ENSG00000159423,ALDH4A1,31,-0.3954,11,-2.0956,137,2.21368,48,0.32669,29,-0.7205
ENSG00000127481,UBR4,48,-0.7733,137,1.10598,95,0.30573,21,-2.1152,81,0.08250
ENSG00000127463,EMC1,31,-0.2700,11,-1.8766,24,-0.6753,59,0.91410,43,0.39194
ENSG00000053372,MRTO4,64,0.09533,12,-2.5415,32,-1.0011,100,0.98037,71,0.41053
ENSG00000077549,CAPZB,92,-0.5491,62,-1.2438,95,-0.5147,202,0.83082,149,0.31862
ENSG00000173436,MICOS10,260,0.89270,53,-1.7331,170,0.17776,174,0.24548,159,0.11206
ENSG00000158747,NBL1,68,-1.4358,77,-1.3431,173,0.00666,303,1.10674,182,0.12202
ENSG00000162545,CAMK2N1,1381,-0.0155,607,-1.3902,646,-1.1923,1295,-0.1316,2028,1.06090
ENSG00000158828,PINK1,378,0.24622,258,-0.4026,209,-0.6907,495,0.80870,289,-0.2729
ENSG00000127483,HP1BP3,185,-0.9874,399,0.24845,341,-0.0341,287,-0.3429,397,0.32692
ENSG00000075151,EIF4G3,124,-0.7685,146,-0.5731,64,-1.7614,152,-0.5121,313,1.25473
ENSG00000117298,ECE1,40,-0.2977,36,-0.5155,182,2.40694,14,-1.9447,41,-0.3946
ENSG00000076864,RAP1GAP,47,-0.8634,60,-0.5262,50,-0.7660,151,1.23354,74,-0.2264
ENSG00000090686,USP48,75,-0.5356,240,1.73308,13,-3.0968,30,-2.0156,106,0.02328
ENSG00000070831,CDC42,358,1.17422,170,-0.0871,149,-0.2867,248,0.62278,110,-1.0186
ENSG00000004487,KDM1A,89,0.37986,32,-1.3204,120,0.87025,61,-0.2686,78,0.24881
ENSG00000169641,LUZP1,30,-2.4804,92,-0.9089,120,-0.4311,137,-0.2484,242,1.24841
ENSG00000125944,HNRNPR,90,-0.7751,167,0.22852,217,0.63147,137,-0.1312,140,-0.1225
ENSG00000142676,RPL11,623,1.33889,314,0.18604,182,-0.7004,281,-0.0174,211,-0.6573
ENSG00000011007,ELOA,0,-6.4884,25,-0.4787,33,-0.0081,23,-0.5894,50,1.19812
ENSG00000057757,PITHD1,212,0.79621,90,-0.6536,171,0.43622,219,1.00777,77,-1.1105
ENSG00000189266,PNRC2,111,1.40335,46,-0.0981,72,0.65166,48,-0.0040,28,-1.1149
ENSG00000188529,SRSF10,87,-0.8615,287,1.28510,228,0.66659,39,-2.1912,137,-0.2328
ENSG00000001461,NIPAL3,289,0.72796,359,1.32821,78,-1.3305,196,0.09232,96,-1.3599
ENSG00000133226,SRRM1,134,-1.4241,700,1.50855,246,-0.4911,177,-1.0840,308,-0.2086
ENSG00000169504,CLIC4,621,2.58007,328,1.54959,91,-0.8341,47,-1.9390,22,-3.4271
ENSG00000117614,SYF2,153,-0.1857,206,0.33369,89,-1.0170,107,-0.8160,213,0.55635
ENSG00000183726,TMEM50A,95,0.76988,69,0.27567,16,-2.0002,89,0.77936,42,-0.7696
ENSG00000204178,MACO1,24,-2.0406,95,0.06588,29,-1.7566,52,-0.9525,142,1.29161
ENSG00000162430,SELENON,79,0.94677,45,-0.0088,40,-0.1768,53,0.28823,34,-0.6291
ENSG00000117640,MTFR1L,111,0.95215,19,-1.9109,34,-0.9403,70,0.19661,76,0.48855
ENSG00000117632,STMN1,1014,0.79686,675,0.13611,370,-0.8237,852,0.57952,457,-0.6954
ENSG00000142669,SH3BGRL3,195,0.43424,187,0.41632,117,-0.3842,215,0.69379,94,-0.9777
ENSG00000198830,HMGN2,330,1.45209,171,0.35915,199,0.56342,107,-0.4807,81,-1.1494
ENSG00000117713,ARID1A,240,0.65591,220,0.58835,347,1.30188,85,-1.0782,103,-0.9472
ENSG00000142751,GPN2,6,-2.6323,41,0.09883,13,-1.6503,65,1.01999,39,0.00361
ENSG00000090273,NUDC,95,-0.9946,70,-1.5691,280,0.72667,193,0.12982,225,0.58136
ENSG00000253368,TRNP1,0,-6.3616,0,-5.6002,32,0.11375,44,0.70062,45,1.15361
ENSG00000142784,WDTC1,43,0.03971,10,-2.3172,19,-1.2450,72,1.03595,49,0.38877
ENSG00000186501,TMEM222,87,-0.0009,141,0.92708,89,0.03159,116,0.52892,46,-1.3197
ENSG00000158195,WASF2,233,0.61196,227,0.65546,438,1.75303,66,-1.4799,87,-1.2614
ENSG00000126705,AHDC1,45,-1.4158,123,0.16610,85,-0.4455,72,-0.7757,152,0.80531
ENSG00000126709,IFI6,107,-0.0204,127,0.27787,110,0.01758,174,0.91343,67,-1.0198
ENSG00000117758,STX12,121,0.18605,117,0.16076,146,0.50098,115,0.11835,86,-0.5023
ENSG00000117751,PPP1R8,132,1.52195,67,0.38564,77,0.57019,54,-0.0165,23,-1.6809
ENSG00000126698,DNAJC8,89,-1.3768,170,-0.4228,115,-0.9844,135,-0.8177,339,1.31831
ENSG00000130770,ATP5IF1,113,-0.2398,85,-0.7432,135,0.04186,147,0.21421,150,0.33387
ENSG00000204138,PHACTR4,22,-1.9348,134,1.06563,95,0.32771,30,-1.5519,83,0.16241
ENSG00000198492,YTHDF2,7,-3.8965,86,-0.1789,216,1.40044,83,-0.2376,97,0.05973
ENSG00000116350,SRSF4,20,-3.2342,233,0.57987,236,0.52213,87,-1.1357,204,0.44949
ENSG00000162512,SDC3,311,0.84611,108,-0.9224,309,0.83743,185,-0.0121,164,-0.2911
ENSG00000134644,PUM1,155,-0.3497,180,-0.1296,131,-0.6191,220,0.23176,213,0.23346
ENSG00000121766,ZCCHC17,120,-0.5121,198,0.32951,77,-1.1815,195,0.29466,169,0.04369
ENSG00000162517,PEF1,50,-0.0913,27,-1.1560,52,-0.0377,106,1.39863,41,-0.5711
ENSG00000084636,COL16A1,11,-2.5187,187,2.63315,39,-0.6840,51,-0.3223,21,-2.0139
ENSG00000121753,ADGRB2,67,-1.8497,162,-0.5660,93,-1.3500,356,0.89379,262,0.39241
ENSG00000184007,PTP4A2,1539,1.70797,1073,1.24160,386,-0.6318,341,-0.8977,255,-1.6328
ENSG00000121774,KHDRBS1,113,-0.2496,117,-0.2159,216,0.81140,132,0.00486,123,-0.1600
ENSG00000025800,KPNA6,55,-1.3209,162,0.40864,181,0.54819,89,-0.6470,140,0.18315
ENSG00000084652,TXLNA,53,0.19776,55,0.27227,95,1.17712,37,-0.4117,35,-0.6645
ENSG00000084623,EIF3I,120,0.47975,61,-0.6536,114,0.39425,131,0.73759,68,-0.5890
ENSG00000175130,MARCKSL1,1632,1.95155,1364,2.01422,327,-0.7940,177,-1.8361,96,-3.1184
ENSG00000160058,BSDC1,37,-1.2505,64,-0.4631,126,0.67677,122,0.72030,75,-0.2493
ENSG00000160062,ZBTB8A,6,-2.9797,70,0.84206,49,0.12735,22,-1.1943,53,0.41119
ENSG00000162521,RBBP4,152,0.06776,145,-0.0135,230,0.75495,103,-0.5919,145,-0.0179
ENSG00000134684,YARS,66,-0.3019,109,0.59299,26,-1.6949,116,0.70599,64,-0.4983
ENSG00000121905,HPCA,55,-1.1295,47,-1.4813,73,-0.7013,250,1.63503,105,-0.1925
ENSG00000160094,ZNF362,1,-5.2091,18,-1.2843,51,0.42459,53,0.56609,50,0.60804
ENSG00000134686,PHC2,308,0.84064,263,0.66572,81,-1.2782,172,-0.1344,149,-0.4974
ENSG00000163866,SMIM12,24,-0.6565,23,-0.7745,59,0.75704,53,0.67913,33,-0.2283
ENSG00000116544,DLGAP3,0,-7.4370,8,-3.2599,7,-3.2396,108,1.00799,101,1.33877
ENSG00000116560,SFPQ,64,-2.4432,424,0.53120,331,0.05811,137,-1.4115,419,0.72929
ENSG00000146463,ZMYM4,21,-1.0214,27,-0.7154,92,1.32554,15,-1.6769,55,0.73304
ENSG00000142687,KIAA0319L,94,0.12792,65,-0.4929,67,-0.4074,90,0.06883,99,0.32947
ENSG00000020129,NCDN,150,-1.0826,70,-2.3588,162,-0.9625,686,1.74136,297,-0.0335
ENSG00000126067,PSMB2,66,-0.3098,107,0.51753,13,-2.6771,135,1.00633,61,-0.6182
ENSG00000142686,C1orf216,0,-7.4715,14,-2.4427,32,-1.1033,168,2.05091,65,-0.0155
ENSG00000092847,AGO1,4,-3.8725,43,-0.3392,21,-1.4314,52,-0.0372,78,1.12198
ENSG00000126070,AGO3,47,-0.6794,125,1.06054,102,0.55014,29,-1.5292,68,-0.1658
ENSG00000116871,MAP7D1,265,-0.1847,430,0.70494,198,-0.6400,278,-0.1206,273,-0.1957
ENSG00000054118,THRAP3,240,-0.2255,268,-0.0549,334,0.30494,189,-0.6605,320,0.36514
ENSG00000163875,MEAF6,14,-2.4792,39,-1.0968,66,-0.2159,141,1.24140,79,0.10153
ENSG00000197982,C1orf122,538,2.00319,180,0.05499,132,-0.4317,138,-0.4044,109,-0.9946
ENSG00000188786,MTF1,85,1.35494,45,0.31524,5,-2.9043,21,-1.0039,39,0.09541
ENSG00000183431,SF3A3,97,0.79229,53,-0.2334,45,-0.4699,78,0.49374,49,-0.4456
ENSG00000116954,RRAGC,55,-0.3152,66,-0.0188,87,0.43797,83,0.41258,57,-0.3746
ENSG00000174574,AKIRIN1,126,0.21051,131,0.29860,186,0.85185,90,-0.3755,89,-0.4872
ENSG00000168653,NDUFS5,291,-0.0364,170,-0.9503,306,0.04000,457,0.82132,282,-0.1288
ENSG00000127603,MACF1,178,-2.1472,965,0.53103,2512,2.24631,170,-2.3453,578,-0.5153
ENSG00000090621,PABPC4,19,-2.6097,197,1.14435,59,-0.9653,101,-0.1664,108,-0.0593
ENSG00000116983,HPCAL4,158,-1.0461,91,-1.9903,127,-1.3759,405,0.49781,456,1.09682
ENSG00000131236,CAP1,126,-0.0291,119,-0.1303,190,0.64269,120,-0.1227,122,-0.1132
ENSG00000131238,PPT1,52,-0.6903,56,-0.6072,104,0.42498,120,0.75966,74,-0.1989
ENSG00000117000,RLF,0,-6.1055,44,0.74983,11,-1.4671,15,-1.1344,41,0.94193
ENSG00000084070,SMAP2,112,-0.4250,71,-1.2287,89,-0.7910,152,0.05378,207,0.93764
ENSG00000117016,RIMS3,35,-2.8189,22,-3.6366,176,-0.4130,520,1.73031,249,0.20404
ENSG00000198815,FOXJ3,119,0.65529,54,-0.6592,100,0.36337,168,1.53478,33,-1.7101
ENSG00000177181,RIMKLA,10,-1.9559,2,-4.1052,0,-7.3782,60,0.99514,57,1.31938
ENSG00000127125,PPCS,137,1.55732,50,-0.1703,116,1.25709,33,-0.8456,33,-1.0793
ENSG00000186409,CCDC30,20,-1.3099,61,0.44231,23,-1.1005,23,-1.2328,67,0.92200
ENSG00000065978,YBX1,150,0.42665,128,0.19461,159,0.52396,89,-0.4442,102,-0.2789
ENSG00000117394,SLC2A1,188,0.64896,134,0.09870,143,0.20153,100,-0.4055,116,-0.1928
ENSG00000117395,EBNA1BP2,38,-0.3881,17,-1.6548,51,0.09807,42,-0.2284,68,0.96828
ENSG00000066322,ELOVL1,324,2.38719,213,1.90476,76,-0.2198,20,-2.3448,3,-5.4615
ENSG00000142949,PTPRF,128,-0.1490,105,-0.5058,319,1.39914,132,-0.1069,121,-0.3451
ENSG00000126091,ST3GAL3,65,0.63411,5,-3.3430,16,-1.5152,49,0.19180,63,0.98769
ENSG00000117408,IPO13,229,1.54015,176,1.27075,86,-0.1370,64,-0.6537,35,-1.9103
ENSG00000117410,ATP6V0B,216,-0.3753,351,0.46422,298,0.13886,418,0.81639,171,-1.0002
ENSG00000117411,B4GALT2,123,0.09546,75,-0.7535,104,-0.1709,134,0.27182,128,0.25499
ENSG00000178028,DMAP1,0,-7.0956,51,0.00747,68,0.48618,75,0.74314,47,-0.1910
ENSG00000117419,ERI3,141,-0.1724,134,-0.2896,219,0.53937,263,1.00096,105,-0.8650
ENSG00000187147,RNF220,160,0.62045,155,0.65208,67,-0.7779,146,0.53666,67,-1.0382
ENSG00000142937,RPS8,578,0.15513,559,0.11343,443,-0.2710,532,0.02521,512,-0.0610
ENSG00000126088,UROD,120,1.30500,31,-0.9636,61,0.14073,64,0.26276,46,-0.4295
ENSG00000117450,PRDX1,574,1.43174,195,-0.4205,423,0.88255,264,0.11024,142,-1.1626
ENSG00000132780,NASP,73,-0.9420,275,1.49087,143,0.11210,69,-1.1040,107,-0.4942
ENSG00000159592,GPBP1L1,61,0.25804,80,0.83696,81,0.72764,46,-0.1996,31,-1.0793
ENSG00000085998,POMGNT1,94,0.51450,95,0.62884,129,1.06522,59,-0.2676,38,-1.2107
ENSG00000132128,LRRC41,45,-0.2493,80,0.80689,57,0.11921,39,-0.5259,47,-0.2790
ENSG00000173660,UQCRH,89,-0.8150,50,-1.8154,213,0.56154,271,1.15764,142,-0.1498
ENSG00000123472,ATPAF1,101,-0.1174,49,-1.3218,43,-1.4121,203,1.25218,109,0.01721
ENSG00000159658,EFCAB14,150,0.30466,196,0.89050,199,0.78234,87,-0.6129,81,-0.9113
ENSG00000162368,CMPK1,53,-1.1450,73,-0.7332,126,0.20148,202,1.18021,96,-0.3303
ENSG00000162374,ELAVL4,40,-1.8863,19,-3.0991,42,-1.8272,292,1.54943,169,0.52472
ENSG00000123091,RNF11,283,-0.1454,139,-1.3375,143,-1.1985,631,1.45484,283,-0.2084
ENSG00000085832,EPS15,277,0.49223,232,0.22865,193,-0.0996,256,0.40860,151,-0.6709
ENSG00000078618,NRDC,56,-1.2264,125,0.00358,72,-0.8477,115,-0.1468,160,0.65373
ENSG00000169213,RAB3B,128,1.30955,73,0.39908,42,-0.5367,33,-0.9986,52,-0.2841
ENSG00000134748,PRPF38A,20,-1.4692,64,0.37406,80,0.70475,22,-1.4059,62,0.45308
ENSG00000134744,TUT4,50,-1.4458,178,0.61239,179,0.53656,59,-1.3041,146,0.31621
ENSG00000162378,ZYG11B,172,-0.2591,98,-1.2171,157,-0.4052,279,0.59556,237,0.39054
ENSG00000116171,SCP2,194,1.16924,50,-1.0979,109,0.18368,117,0.33878,83,-0.3513
ENSG00000116209,TMEM59,235,1.11786,112,-0.1307,179,0.63806,112,-0.1350,87,-0.7282
ENSG00000116221,MRPL37,12,-1.7653,9,-2.3650,61,0.71296,86,1.61309,33,-0.4065
ENSG00000157216,SSBP3,223,-0.4309,157,-1.0551,176,-0.8002,416,0.66039,347,0.43052
ENSG00000116133,DHCR24,170,0.33306,176,0.44661,152,0.15508,227,0.96108,64,-1.5483
ENSG00000162402,USP24,11,-2.3255,89,1.04317,85,0.80033,43,-0.3272,40,-0.5692
ENSG00000162407,PLPP3,149,-0.6621,142,-0.8031,1193,3.31613,69,-1.9377,126,-1.2200
ENSG00000162601,MYSM1,0,-7.8470,132,0.83704,37,-1.2654,43,-1.1646,117,0.85286
ENSG00000177606,JUN,194,-0.2230,464,1.50406,406,0.99885,77,-1.7499,138,-1.0208
ENSG00000162599,NFIA,523,-0.1352,877,0.83214,1406,1.56046,208,-1.6634,399,-0.7765
ENSG00000162604,TM2D1,71,0.62951,62,0.46678,89,1.00883,61,0.41903,20,-1.7723
ENSG00000162607,USP1,44,-0.8233,78,0.09968,136,1.01677,64,-0.2436,69,-0.1721
ENSG00000162434,JAK1,20,-2.3455,64,-0.7079,208,1.29820,54,-0.9859,125,0.69576
ENSG00000162433,AK4,42,-1.0821,19,-2.4088,145,0.89489,77,-0.1628,116,0.88261
ENSG00000116675,DNAJC6,422,0.52379,304,-0.0126,208,-0.6089,452,0.74554,230,-0.6346
ENSG00000213625,LEPROT,5,-3.5653,30,-1.1869,149,1.54879,44,-0.5306,75,0.57861
ENSG00000184588,PDE4B,261,0.90799,206,0.58293,287,1.07627,97,-0.7582,89,-1.1063
ENSG00000118473,SGIP1,87,-0.0035,60,-0.6508,71,-0.3250,96,0.16647,101,0.36691
ENSG00000198160,MIER1,97,-0.0705,88,-0.2576,81,-0.3634,76,-0.5155,128,0.60242
ENSG00000142864,SERBP1,185,-0.2960,201,-0.1831,307,0.51977,145,-0.7435,262,0.40713
ENSG00000116717,GADD45A,11,-2.8114,150,1.40374,139,1.03782,32,-1.4078,59,-0.5395
ENSG00000116729,WLS,70,-0.5356,51,-1.1166,534,3.40288,46,-1.2815,47,-1.4891
ENSG00000033122,LRRC7,10,-2.4561,56,0.13153,6,-3.1798,80,0.83436,58,0.26469
ENSG00000116754,SRSF11,124,-2.8189,1906,1.85315,437,-0.9487,213,-2.1542,807,0.01391
ENSG00000132485,ZRANB2,104,-1.0681,379,1.19866,153,-0.4855,101,-1.2058,215,0.08229
ENSG00000172260,NEGR1,211,-1.2515,258,-1.0347,107,-2.2575,642,0.56898,657,0.89437
ENSG00000178965,ERICH3,0,-8.3529,39,-1.8441,10,-3.6173,79,-0.7412,242,2.54463
ENSG00000117054,ACADM,78,1.05293,12,-1.9637,81,1.13220,34,-0.3304,40,-0.0559
ENSG00000137955,RABGGTB,0,-6.9194,99,1.65942,65,0.61090,53,0.31117,19,-1.6420
ENSG00000154027,AK5,199,0.20091,48,-2.0825,31,-2.5939,401,1.75028,156,-0.2695
ENSG00000036549,AC118549.1,13,-1.4766,34,-0.0308,40,0.20200,49,0.60837,33,-0.1475
ENSG00000077254,USP33,61,-1.0563,124,0.06588,61,-1.0371,168,0.63655,123,0.06365
ENSG00000180488,MIGA1,52,-1.3779,181,0.65432,138,0.11823,139,0.15480,112,-0.2999
ENSG00000162613,FUBP1,8,-2.7610,93,1.02135,66,0.29475,17,-1.8925,64,0.37807
ENSG00000137941,TTLL7,481,0.27038,1041,2.06542,134,-1.7030,246,-0.8585,220,-1.2721
ENSG00000142875,PRKACB,128,-0.8600,166,-0.5053,123,-0.9153,391,1.12529,213,-0.0966
ENSG00000117155,SSX2IP,2,-6.2541,29,-2.5345,139,-0.0112,205,0.72318,199,0.96656
ENSG00000162642,C1orf52,50,-0.0685,40,-0.4646,22,-1.3097,79,0.77906,54,0.04618
ENSG00000153904,DDAH1,332,0.25161,102,-1.6815,594,1.24832,382,0.55474,237,-0.4143
ENSG00000117174,ZNHIT6,8,-3.2575,78,0.10347,28,-1.4562,71,-0.0654,100,0.84553
ENSG00000122417,ODF2L,0,-7.9221,93,0.05831,28,-1.7510,45,-1.1478,149,1.53970
ENSG00000097033,SH3GLB1,157,0.87624,152,0.97330,106,0.22792,41,-1.3654,69,-0.6527
ENSG00000183291,SELENOF,146,1.13957,81,0.16977,82,0.16829,86,0.28700,44,-1.0849
ENSG00000153936,HS2ST1,10,-2.4593,48,-0.1725,112,1.27187,52,-0.0089,51,-0.0719
ENSG00000143013,LMO4,302,-2.1807,329,-2.1861,768,-0.7781,1904,0.78751,1774,0.94292
ENSG00000065243,PKN2,24,-1.4845,89,0.63576,30,-1.1703,39,-0.8308,82,0.65289
ENSG00000213516,RBMXL1,42,-0.2587,67,0.54984,70,0.55656,40,-0.3776,43,-0.3382
ENSG00000197147,LRRC8B,154,0.93563,78,-0.1984,21,-2.1578,108,0.38490,82,-0.1493
ENSG00000171492,LRRC8D,58,0.07867,115,1.50648,19,-1.6409,58,0.11232,32,-1.1377
ENSG00000162664,ZNF326,254,0.41128,390,1.38889,170,-0.2349,95,-1.2287,144,-0.6862
ENSG00000122482,ZNF644,93,-0.2544,174,0.88893,149,0.50122,50,-1.3101,102,-0.1775
ENSG00000189195,BTBD8,79,-1.3195,47,-2.2128,80,-1.3087,221,0.30789,293,1.33394
ENSG00000122484,RPAP2,0,-8.2175,158,0.67460,61,-0.9319,47,-1.4193,159,1.01450
ENSG00000067208,EVI5,83,-0.7202,177,0.55028,122,-0.1269,99,-0.4940,141,0.15317
ENSG00000122406,RPL5,934,1.46025,280,-0.6141,392,-0.0261,420,0.09529,315,-0.5271
ENSG00000143033,MTF2,22,-0.9854,26,-0.7890,63,0.68088,22,-1.0357,58,0.93634
ENSG00000117505,DR1,68,0.43710,60,0.26632,39,-0.4659,51,-0.0328,48,-0.2000
ENSG00000067334,DNTTIP2,37,-1.4285,81,-0.2794,95,-0.0073,74,-0.4475,128,0.78782
