Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000196581,AJAP1,17,-1.3345,34,-0.3102,15,-1.6448,40,-0.0885,81,1.45257,54,0.40436,24,-0.9469
ENSG00000069424,KCNAB2,26,-2.8158,117,-0.5865,146,-0.2688,229,0.52592,198,0.29673,151,-0.1940,205,0.32276
ENSG00000116254,CHD5,82,-1.4399,111,-0.9972,149,-0.5854,172,-0.3490,294,0.67068,333,0.72702,246,0.26017
ENSG00000116251,RPL22,667,0.77115,596,0.58715,504,0.35155,446,0.13319,287,-0.6649,151,-1.5290,392,-0.0910
ENSG00000116237,ICMT,10,-2.1858,40,-0.1313,46,0.12108,54,0.39640,47,0.16499,45,0.07659,41,-0.1006
ENSG00000097021,ACOT7,48,-1.8534,75,-1.2137,83,-1.1236,338,1.36626,215,0.53033,143,-0.2222,115,-0.6050
ENSG00000215788,TNFRSF25,0,-6.1949,15,-1.0417,10,-1.7309,11,-1.5838,72,2.07854,37,0.30465,28,-0.1643
ENSG00000171680,PLEKHG5,1,-4.5610,20,-0.6801,25,-0.3893,20,-0.7475,58,1.30912,24,-0.4469,36,0.21777
ENSG00000162408,NOL9,23,-0.5933,31,-0.1557,20,-0.8856,25,-0.5466,47,0.61793,43,0.33909,43,0.39337
ENSG00000162413,KLHL21,18,-0.7410,17,-0.8750,33,0.17360,42,0.60232,36,0.34079,29,-0.0313,19,-0.7589
ENSG00000116273,PHF13,8,-0.9517,11,-0.3883,13,-0.1667,16,0.14236,23,0.97621,4,-1.7341,12,-0.3520
ENSG00000041988,THAP3,13,-0.3122,13,-0.2850,16,-0.0378,21,0.46071,21,0.50014,6,-1.3643,12,-0.4340
ENSG00000007923,DNAJC11,30,-0.3707,28,-0.4823,37,-0.0866,33,-0.2505,47,0.36893,51,0.43673,37,-0.0671
ENSG00000171735,CAMTA1,263,-0.5023,241,-0.6325,266,-0.5255,357,-0.0286,445,0.40350,548,0.66202,363,-0.0003
ENSG00000049245,VAMP3,106,2.08021,34,0.14009,57,1.09600,17,-1.0195,7,-2.4561,9,-1.8810,30,-0.0636
ENSG00000049246,PER3,52,0.44239,38,-0.0613,52,0.48717,21,-0.9976,48,0.38000,34,-0.2502,30,-0.4675
ENSG00000116288,PARK7,159,-0.7559,227,-0.2138,442,0.97805,372,0.64345,201,-0.4773,102,-1.4237,202,-0.4254
ENSG00000116285,ERRFI1,21,-0.3874,12,-1.2051,36,0.47915,33,0.33698,26,-0.0895,28,0.03194,25,-0.1378
ENSG00000162426,SLC45A1,13,-1.0248,6,-2.0681,4,-2.8768,45,1.04538,41,1.02015,32,0.33855,17,-0.6815
ENSG00000142599,RERE,158,0.54549,95,-0.2701,81,-0.5478,76,-0.6475,129,0.26711,177,0.72975,109,-0.0501
ENSG00000074800,ENO1,238,-1.1114,672,0.49788,948,1.24291,533,0.13922,429,-0.2550,194,-1.4139,273,-0.9682
ENSG00000171612,SLC25A33,16,-1.2544,64,0.83448,76,1.30501,33,-0.2139,17,-1.3390,41,0.13207,31,-0.3093
ENSG00000171603,CLSTN1,205,-1.8244,275,-1.3892,474,-0.6132,769,0.20665,1118,1.05297,592,-0.2239,644,-0.1004
ENSG00000178585,CTNNBIP1,24,-0.3155,33,0.15860,35,0.27048,36,0.31516,19,-0.8195,32,0.12830,35,0.29421
ENSG00000162441,LZIC,97,0.94517,59,0.15010,59,0.15328,51,-0.0858,38,-0.6253,52,-0.0692,52,-0.0548
ENSG00000130939,UBE4B,51,0.18250,25,-0.8891,44,-0.0667,51,0.19952,52,0.26451,42,-0.1459,41,-0.1722
ENSG00000054523,KIF1B,593,0.80111,248,-0.5829,275,-0.4615,290,-0.3719,393,0.16244,461,0.38823,363,0.00691
ENSG00000142657,PGD,39,-0.6577,57,-0.0713,63,0.07688,83,0.57515,55,-0.1471,63,0.07978,51,-0.2602
ENSG00000241563,CORT,16,-0.8140,11,-1.4427,44,0.79223,58,1.36111,16,-0.9673,19,-0.6319,20,-0.5421
ENSG00000160049,DFFA,70,0.68083,65,0.56417,57,0.38732,41,-0.1807,32,-0.6458,23,-1.0314,49,0.12233
ENSG00000142655,PEX14,5,-1.7964,7,-1.4091,22,0.26235,26,0.58646,26,0.65595,13,-0.5200,12,-0.6507
ENSG00000120948,TARDBP,138,0.84176,89,0.12668,104,0.41838,57,-0.6044,84,0.04858,68,-0.2830,57,-0.6001
ENSG00000271895,AL109811.2,17,-0.2081,1,-3.8566,11,-0.9184,3,-2.5364,37,1.45302,42,1.29239,15,-0.3886
ENSG00000116649,SRM,54,-0.3222,72,0.12804,98,0.69973,62,-0.1075,74,0.21856,33,-1.0450,47,-0.5741
ENSG00000171824,EXOSC10,34,-0.1645,37,-0.0379,45,0.32695,23,-0.7967,52,0.66462,40,0.10233,24,-0.7665
ENSG00000198793,MTOR,21,-0.9909,27,-0.6046,51,0.42944,46,0.26300,49,0.39068,33,-0.2840,29,-0.5453
ENSG00000116661,FBXO2,110,-0.8482,301,0.72425,306,0.85465,239,0.39224,146,-0.5033,96,-1.0531,133,-0.6152
ENSG00000132879,FBXO44,26,-1.8958,86,-0.0803,48,-1.0490,87,-0.0686,148,1.04646,103,0.20911,79,-0.2282
ENSG00000116670,MAD2L2,18,0.05489,16,-0.1643,33,1.12189,10,-0.9259,17,-0.0730,7,-1.3649,18,-0.0125
ENSG00000177000,MTHFR,25,0.33375,9,-1.2269,7,-1.6091,13,-0.7275,33,0.99923,28,0.51116,21,0.09438
ENSG00000011021,CLCN6,51,-0.5915,44,-0.8098,57,-0.4752,92,0.33939,81,0.13780,118,0.71298,76,0.01441
ENSG00000116685,KIAA2013,44,0.50598,41,0.38749,34,0.10874,22,-0.6122,39,0.38241,34,0.12513,18,-0.9607
ENSG00000083444,PLOD1,22,-0.0124,43,1.03586,26,0.20497,11,-1.0887,25,0.17672,32,0.55194,13,-0.9191
ENSG00000116688,MFN2,104,-0.2846,103,-0.3075,98,-0.4211,173,0.57667,138,0.18997,89,-0.5274,126,0.00959
ENSG00000116691,MIIP,20,0.28880,13,-0.4144,31,1.11454,15,-0.2446,12,-0.6384,11,-0.5882,16,-0.1116
ENSG00000048707,VPS13D,55,-0.3514,55,-0.3581,70,0.00267,66,-0.0861,61,-0.2393,121,0.89646,74,0.10341
ENSG00000162496,DHRS3,18,-0.2931,68,1.96786,28,0.46174,15,-0.5810,9,-1.4196,8,-1.3778,24,0.23112
ENSG00000116731,PRDM2,190,0.20650,58,-1.5831,71,-1.3840,103,-0.8005,252,0.86846,261,0.72392,192,0.25386
ENSG00000189337,KAZN,127,1.11063,59,-0.1254,68,0.08674,59,-0.1529,38,-0.9314,75,0.24981,71,0.18273
ENSG00000142634,EFHD2,63,-0.7581,85,-0.2919,54,-1.0432,74,-0.5537,175,1.15843,75,-0.4800,113,0.17002
ENSG00000116138,DNAJC16,30,-0.3605,30,-0.3528,28,-0.5129,29,-0.4445,51,0.55944,42,0.14869,45,0.28006
ENSG00000197312,DDI2,25,-0.3383,13,-1.2858,17,-0.9878,33,0.10160,41,0.55607,71,1.35281,21,-0.6746
ENSG00000116786,PLEKHM2,73,-0.5219,122,0.27792,99,-0.0540,116,0.22334,74,-0.6035,48,-1.1647,167,0.89783
ENSG00000065526,SPEN,264,1.74861,73,-0.3897,55,-0.8682,31,-1.7785,88,-0.1278,208,1.31227,73,-0.4289
ENSG00000116809,ZBTB17,23,0.21491,3,-2.7586,30,0.74102,29,0.67278,18,-0.1534,15,-0.4505,13,-0.7533
ENSG00000037637,FBXO42,12,-0.8696,12,-0.8466,12,-0.9174,28,0.45221,28,0.48378,33,0.65570,20,-0.1728
ENSG00000055070,SZRD1,47,0.81764,28,0.02049,39,0.57508,21,-0.4782,25,-0.1896,19,-0.5766,23,-0.3120
ENSG00000219481,NBPF1,33,1.09662,30,0.91540,20,0.34223,9,-1.0180,8,-1.2011,17,-0.0146,19,0.22570
ENSG00000159363,ATP13A2,38,-1.7040,67,-0.8846,91,-0.4440,190,0.86131,107,-0.1932,152,0.39175,142,0.31243
ENSG00000117118,SDHB,43,-0.7592,94,0.45423,64,-0.1717,128,1.12157,57,-0.3729,52,-0.4717,50,-0.5793
ENSG00000117115,PADI2,295,2.62255,101,0.62480,114,0.94784,4,-4.1466,26,-1.6163,23,-1.6275,41,-0.8172
ENSG00000179051,RCC2,12,-0.9686,15,-0.6425,15,-0.7463,43,1.12961,20,-0.2690,33,0.55374,22,-0.1220
ENSG00000074964,ARHGEF10L,7,-1.2910,47,1.65652,21,0.33740,22,0.46034,8,-1.1922,11,-0.6395,14,-0.2794
ENSG00000117154,IGSF21,27,-1.6957,55,-0.6133,72,-0.2221,81,-0.0133,142,1.19239,41,-1.0676,64,-0.4090
ENSG00000159423,ALDH4A1,32,0.74749,36,0.93251,42,1.40979,11,-0.9818,10,-1.1785,10,-1.0157,13,-0.7034
ENSG00000127481,UBR4,45,0.69440,12,-1.2593,26,-0.1502,15,-1.0931,28,-0.0849,86,1.83927,19,-0.6625
ENSG00000127463,EMC1,46,0.37140,33,-0.1761,33,-0.1793,39,0.12150,48,0.55611,26,-0.5128,22,-0.8051
ENSG00000053372,MRTO4,29,-0.3587,40,0.13484,27,-0.4869,33,-0.1341,49,0.61346,35,-0.0476,32,-0.2329
ENSG00000053371,AKR7A2,39,0.16835,66,1.02460,69,1.26128,26,-0.5063,25,-0.5909,7,-2.3322,22,-0.7723
ENSG00000077549,CAPZB,98,-0.8093,140,-0.2740,165,-0.0174,225,0.53803,198,0.33802,150,-0.1624,119,-0.5640
ENSG00000173436,MICOS10,174,-0.6598,371,0.52512,284,0.10940,455,0.98993,188,-0.6380,93,-1.5906,260,-0.0443
ENSG00000158747,NBL1,63,-1.1288,109,-0.2818,131,-0.0025,133,0.02345,158,0.36765,109,-0.2935,146,0.18615
ENSG00000169914,OTUD3,7,-1.5466,23,0.15539,19,-0.1375,14,-0.6491,25,0.30444,37,0.92275,22,0.05792
ENSG00000162545,CAMK2N1,625,-1.2883,2485,0.87014,1652,0.22550,1035,-0.5704,1762,0.38402,663,-1.2018,1502,0.05733
ENSG00000090432,MUL1,26,0.47950,1,-4.3531,24,0.42464,20,0.05563,22,0.22545,18,-0.1308,16,-0.2700
ENSG00000183114,FAM43B,16,-0.2676,20,0.10466,27,0.66626,13,-0.5803,22,0.34657,15,-0.3623,13,-0.5784
ENSG00000158828,PINK1,179,-1.2689,325,-0.3637,395,-0.0655,665,0.88434,418,0.03269,248,-0.7759,401,-0.0396
ENSG00000244038,DDOST,18,-0.6533,13,-1.1454,38,0.57336,35,0.39032,33,0.32340,16,-0.8717,21,-0.4568
ENSG00000117245,KIF17,3,-2.4709,0,-7.1651,10,-0.8928,25,0.56747,31,1.18901,5,-1.9351,22,0.34292
ENSG00000189410,SH2D5,1,-4.8738,17,-0.8438,10,-1.6830,42,0.60861,51,1.12615,31,0.04479,27,-0.1864
ENSG00000127483,HP1BP3,418,0.95435,163,-0.5449,148,-0.7456,182,-0.4096,281,0.37941,288,0.34204,207,-0.1991
ENSG00000075151,EIF4G3,221,0.11124,106,-1.0234,170,-0.3245,174,-0.2872,283,0.64973,301,0.60828,153,-0.4967
ENSG00000117298,ECE1,24,0.36497,28,0.58082,31,0.89245,6,-1.7990,9,-1.2071,26,0.48657,24,0.42139
ENSG00000162551,ALPL,10,-0.8020,40,1.33776,26,0.70392,7,-1.3871,9,-1.2205,18,-0.0177,26,0.65337
ENSG00000076864,RAP1GAP,50,-1.5785,79,-0.8861,93,-0.6875,118,-0.2951,244,1.18819,133,-0.0844,137,-0.0456
ENSG00000090686,USP48,131,1.12156,16,-2.0880,43,-0.6958,45,-0.6543,79,0.34788,152,1.37513,41,-0.8067
ENSG00000070831,CDC42,240,0.13690,185,-0.2753,165,-0.4901,268,0.34364,282,0.49862,190,-0.2345,159,-0.5483
ENSG00000173369,C1QB,6,-1.7001,44,1.25727,51,1.79442,16,-0.4069,12,-0.8918,3,-2.4903,10,-1.0991
ENSG00000004487,KDM1A,35,-0.4789,19,-1.3993,47,-0.0033,59,0.37978,60,0.47788,65,0.48979,29,-0.8105
ENSG00000169641,LUZP1,41,-1.6635,58,-1.1540,53,-1.3796,162,0.46566,141,0.24215,304,1.48628,119,-0.0779
ENSG00000125944,HNRNPR,174,0.50151,96,-0.4279,118,-0.1236,110,-0.2493,176,0.66441,77,-0.7639,97,-0.4585
ENSG00000088280,ASAP3,29,0.67100,21,0.16089,47,1.79195,13,-0.5885,11,-0.8814,11,-0.7658,5,-1.9030
ENSG00000117318,ID3,70,1.43294,109,2.28852,56,1.21776,2,-3.7413,6,-2.4711,7,-2.1260,15,-1.0870
ENSG00000142676,RPL11,719,0.77066,762,0.86730,627,0.61005,427,-0.0775,280,-0.8392,104,-2.1879,411,-0.1394
ENSG00000011007,ELOA,54,1.13535,36,0.44677,24,-0.1820,11,-1.4323,31,0.28124,24,-0.1683,23,-0.2815
ENSG00000057757,PITHD1,71,-1.0908,74,-1.0307,120,-0.3259,257,1.06488,159,0.18353,92,-0.6991,136,-0.1109
ENSG00000011009,LYPLA2,9,-1.5508,25,-0.0335,18,-0.6048,24,-0.0847,32,0.43961,24,-0.0813,34,0.52091
ENSG00000117308,GALE,9,-0.8015,9,-0.7708,15,-0.0667,25,0.82591,16,0.01276,15,-0.1178,14,-0.1941
ENSG00000117305,HMGCL,12,-0.3885,11,-0.5464,23,0.67587,21,0.47813,15,-0.1084,3,-2.3903,16,-0.0360
ENSG00000189266,PNRC2,89,0.61659,49,-0.3362,73,0.30870,48,-0.3906,71,0.30253,26,-1.2728,55,-0.1581
ENSG00000188529,SRSF10,102,0.52365,80,0.13534,75,0.03599,51,-0.5957,86,0.31246,89,0.31295,49,-0.6597
ENSG00000001461,NIPAL3,259,1.41095,70,-0.6934,93,-0.2890,79,-0.5702,132,0.35223,92,-0.2779,82,-0.4923
ENSG00000133226,SRRM1,396,1.71697,85,-0.8061,91,-0.7443,74,-1.0741,142,-0.0121,283,1.11336,98,-0.6320
ENSG00000169504,CLIC4,228,2.07137,187,1.68529,127,1.14625,7,-3.4240,28,-1.5363,12,-2.5661,22,-1.8091
ENSG00000117614,SYF2,147,0.68336,103,0.11220,120,0.40343,78,-0.3412,85,-0.2189,93,-0.0550,77,-0.3640
ENSG00000117616,RSRP1,85,-0.0904,69,-0.4170,78,-0.2600,38,-1.3839,158,1.21277,144,0.74459,41,-1.2973
ENSG00000183726,TMEM50A,77,-0.0219,105,0.46276,79,0.02797,70,-0.1800,110,0.69970,22,-1.8797,52,-0.6693
ENSG00000204178,MACO1,53,0.09324,25,-1.0511,35,-0.6083,35,-0.5947,81,1.00281,74,0.61016,34,-0.6318
ENSG00000117643,MAN1C1,26,-0.8632,88,1.05319,35,-0.4429,49,0.10023,57,0.43284,53,0.22005,23,-1.1472
ENSG00000162430,SELENON,40,0.18859,104,1.80206,45,0.38974,16,-1.3346,25,-0.6361,23,-0.6466,33,-0.1487
ENSG00000117640,MTFR1L,31,-0.9015,18,-1.6998,65,0.22584,63,0.19224,70,0.40717,74,0.41166,46,-0.3406
ENSG00000117632,STMN1,819,-0.4371,402,-1.5094,708,-0.7127,1668,0.78544,1540,0.72352,754,-0.5638,833,-0.4451
ENSG00000158008,EXTL1,7,-2.6384,15,-1.6653,39,-0.2161,29,-0.6817,67,0.84571,46,0.05386,64,0.65217
ENSG00000175087,PDIK1L,6,-1.2330,0,-4.5567,5,-1.6827,14,-0.0925,19,0.55272,32,1.26212,21,0.61851
ENSG00000142684,ZNF593,26,-0.2888,15,-1.1198,46,0.68040,49,0.78086,24,-0.5235,32,0.03024,22,-0.5670
ENSG00000142669,SH3BGRL3,165,-0.1139,193,0.13316,189,0.10568,228,0.44131,171,-0.0725,107,-0.7743,160,-0.1802
ENSG00000158062,UBXN11,5,-2.0066,14,-0.4977,17,-0.2320,14,-0.5099,28,0.78820,16,-0.2929,25,0.44768
ENSG00000117682,DHDDS,11,-1.0005,8,-1.4949,27,0.41665,23,0.13945,28,0.57843,21,-0.0272,15,-0.5549
ENSG00000198830,HMGN2,280,0.94612,211,0.47718,243,0.80151,112,-0.5676,137,-0.2503,70,-1.2192,98,-0.7731
ENSG00000117713,ARID1A,122,0.93282,63,-0.1325,70,0.02687,43,-0.7541,68,-0.0188,96,0.53685,56,-0.3433
ENSG00000204160,ZDHHC18,12,-0.8504,40,1.03936,6,-1.9218,20,-0.1052,29,0.59177,31,0.58546,17,-0.3797
ENSG00000142751,GPN2,23,0.25784,25,0.40283,10,-0.9825,16,-0.3264,27,0.64341,17,-0.2242,17,-0.1738
ENSG00000090273,NUDC,126,-0.5740,163,-0.1808,177,-0.0510,296,0.88334,190,0.08167,100,-0.9264,143,-0.4144
ENSG00000253368,TRNP1,8,-2.4095,26,-0.6918,27,-0.7287,90,1.48761,24,-0.9402,50,0.28174,54,0.45674
ENSG00000090020,SLC9A1,6,-1.9435,9,-1.4871,9,-1.4487,30,0.37826,27,0.21108,37,0.71655,38,0.83175
ENSG00000142784,WDTC1,28,-0.0001,51,0.99227,9,-1.7556,36,0.47871,24,-0.2577,30,0.14251,30,0.13866
ENSG00000186501,TMEM222,46,-0.0620,61,0.38172,29,-0.7838,34,-0.5746,59,0.41642,52,0.15291,55,0.24714
ENSG00000158195,WASF2,148,2.37824,70,0.98786,35,-0.1215,11,-1.9178,17,-1.3871,45,0.26843,25,-0.7089
ENSG00000126705,AHDC1,53,0.09544,38,-0.4244,32,-0.7288,28,-0.9599,72,0.75318,86,0.87874,43,-0.2476
ENSG00000126709,IFI6,118,-0.0041,127,0.11056,110,-0.1233,147,0.38180,105,-0.2267,122,0.05486,112,-0.0955
ENSG00000009780,FAM76A,37,0.62783,15,-0.8061,13,-1.0937,17,-0.6613,46,1.30955,15,-0.7956,19,-0.4556
ENSG00000117758,STX12,120,0.11636,116,0.05920,117,0.08368,140,0.39745,115,0.05587,105,-0.0946,70,-0.7758
ENSG00000117751,PPP1R8,47,0.73409,25,-0.2222,34,0.24947,18,-0.7794,44,0.84717,17,-0.8221,13,-1.2790
ENSG00000117748,RPA2,24,-0.7997,33,-0.3092,50,0.38856,48,0.30738,48,0.37113,22,-0.8748,30,-0.4507
ENSG00000126698,DNAJC8,229,0.36828,113,-0.7243,195,0.13062,181,-0.0038,187,0.06341,200,0.15449,160,-0.2184
ENSG00000130770,ATP5IF1,141,-1.3032,267,-0.3336,321,-0.0528,686,1.39570,317,-0.0862,146,-1.2483,228,-0.6230
ENSG00000204138,PHACTR4,78,2.26672,20,-0.1086,11,-0.9958,5,-2.1118,18,-0.2447,30,0.53960,18,-0.2232
ENSG00000180098,TRNAU1AP,31,0.45383,17,-0.4861,23,-0.0476,25,0.09606,27,0.28412,26,0.17519,15,-0.7199
ENSG00000120656,TAF12,13,-0.3574,12,-0.4555,25,0.81162,18,0.23429,15,-0.0537,18,0.14810,8,-1.0753
ENSG00000198492,YTHDF2,60,-0.3838,60,-0.3731,66,-0.2572,102,0.49628,85,0.20087,93,0.30011,59,-0.4433
ENSG00000159023,EPB41,4,-2.2759,35,0.85552,15,-0.4919,17,-0.2696,16,-0.4185,72,2.14162,11,-1.0585
ENSG00000116350,SRSF4,143,1.05442,72,-0.0686,53,-0.5774,56,-0.4764,76,0.02912,104,0.52224,66,-0.2004
ENSG00000116353,MECR,13,-1.1034,12,-1.2095,18,-0.6488,41,0.74203,28,0.08581,19,-0.5729,39,0.65016
ENSG00000060656,PTPRU,15,-0.2239,15,-0.2431,13,-0.5589,5,-1.9575,32,1.26480,14,-0.3633,19,0.10684
ENSG00000162511,LAPTM5,1,-4.1578,74,1.83058,55,1.53011,13,-1.0983,15,-0.9480,8,-1.5856,18,-0.5212
ENSG00000162512,SDC3,89,-0.0556,130,0.55228,134,0.68229,59,-0.7420,98,0.11754,72,-0.3844,67,-0.5324
ENSG00000134644,PUM1,149,-0.0725,98,-0.7179,114,-0.5243,90,-0.9127,210,0.60369,222,0.56539,183,0.27770
ENSG00000121766,ZCCHC17,123,0.13883,86,-0.4143,100,-0.2122,107,-0.0953,153,0.62600,107,-0.0797,82,-0.5340
ENSG00000121769,FABP3,18,-1.9562,23,-1.6094,32,-1.1603,150,1.58570,70,0.10718,58,-0.2059,61,-0.1393
ENSG00000162517,PEF1,39,-0.9307,47,-0.6298,44,-0.7787,109,0.76875,91,0.49021,63,-0.1766,63,-0.2137
ENSG00000084636,COL16A1,79,1.40951,20,-0.7781,20,-0.8565,18,-0.9760,44,0.51032,33,-0.0186,32,-0.0801
ENSG00000121753,ADGRB2,60,-1.8162,151,-0.4311,145,-0.5250,197,-0.0123,334,1.11775,158,-0.3534,165,-0.3211
ENSG00000184007,PTP4A2,856,2.38155,187,-0.2628,155,-0.5995,143,-0.7230,155,-0.6535,127,-0.8544,214,-0.0626
ENSG00000121774,KHDRBS1,140,0.07226,81,-0.7701,196,0.68906,124,-0.1325,158,0.33681,90,-0.6094,89,-0.6719
ENSG00000121775,TMEM39B,6,-1.2695,1,-3.1823,3,-2.3530,11,-0.5235,25,1.10058,20,0.40297,25,0.88542
ENSG00000025800,KPNA6,70,-0.1533,62,-0.3364,71,-0.1578,81,0.08216,87,0.22816,88,0.20848,72,-0.1285
ENSG00000084652,TXLNA,26,-0.1127,24,-0.2325,41,0.67417,20,-0.5568,27,-0.0764,37,0.42399,24,-0.2957
ENSG00000160050,CCDC28B,11,-0.9126,28,0.54459,42,1.38752,15,-0.5174,15,-0.5186,17,-0.2302,13,-0.6934
