Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000127481,UBR4,12,-2.3521,140,1.50488,40,-0.5594,45,-0.3912,27,-1.2541,120,1.21995,99,0.89882,31,-0.9516,50,-0.2082,41,-0.5196
ENSG00000127463,EMC1,69,0.79825,43,0.03912,50,0.26324,36,-0.2456,54,0.45826,40,-0.0793,41,-0.0475,12,-1.8312,28,-0.6106,35,-0.2743
ENSG00000053372,MRTO4,33,-0.2869,19,-1.1228,35,-0.2076,69,0.87986,42,0.08773,53,0.43894,26,-0.6355,34,-0.2403,46,0.21802,41,0.02061
ENSG00000077549,CAPZB,428,1.49347,96,-0.9416,183,0.05821,198,0.18249,194,0.16282,92,-1.0095,155,-0.2034,106,-0.7891,110,-0.7378,188,0.10123
ENSG00000173436,MICOS10,12,-4.1491,22,-3.2507,189,-0.0691,223,0.19175,414,1.46619,87,-1.2495,130,-0.6559,205,0.05926,295,0.65106,182,-0.1262
ENSG00000158747,NBL1,12,-3.2500,33,-1.7588,141,0.45991,136,0.39639,146,0.58702,164,0.70899,73,-0.5839,68,-0.6999,138,0.41883,110,0.06079
ENSG00000162545,CAMK2N1,1033,-0.5932,352,-2.2056,579,-1.4708,2968,1.11921,978,-0.7371,1268,-0.2767,1972,0.42804,1071,-0.5380,3656,1.49472,1772,0.25458
ENSG00000158828,PINK1,207,-0.8534,68,-2.5034,553,0.70161,478,0.46047,646,1.12686,206,-0.8631,237,-0.6461,180,-1.0629,428,0.28136,302,-0.2729
ENSG00000244038,DDOST,12,-1.2632,13,-1.0687,29,0.11034,31,0.19596,41,0.73618,6,-2.3062,31,0.20274,18,-0.6245,13,-1.1289,66,1.46607
ENSG00000189410,SH2D5,12,-1.8633,2,-4.4624,46,0.19144,101,1.50896,45,0.16059,23,-0.8731,75,0.97815,21,-1.0109,58,0.56325,24,-0.8266
ENSG00000127483,HP1BP3,175,-0.8196,617,1.21953,206,-0.5670,198,-0.6336,153,-1.1004,565,1.06466,372,0.36239,393,0.45110,185,-0.7324,248,-0.2846
ENSG00000075151,EIF4G3,184,-0.7847,429,0.54413,628,1.19715,226,-0.4715,229,-0.4982,510,0.83480,454,0.63831,171,-0.8960,123,-1.3902,183,-0.7988
ENSG00000076864,RAP1GAP,220,0.92001,36,-1.8953,106,-0.2552,110,-0.2106,256,1.40669,79,-0.7138,119,-0.0753,57,-1.1987,99,-0.3657,40,-1.7328
ENSG00000090686,USP48,623,2.64507,183,0.35805,94,-0.6870,69,-1.1494,63,-1.3815,107,-0.4897,156,0.09808,152,0.05199,54,-1.5336,50,-1.6496
ENSG00000070831,CDC42,12,-3.9117,99,-0.8097,266,0.74984,169,0.01180,289,1.03532,140,-0.2813,142,-0.2638,154,-0.1311,85,-1.0417,199,0.27670
ENSG00000004487,KDM1A,58,-0.1931,64,-0.0337,107,0.79114,78,0.26831,75,0.24644,46,-0.5600,94,0.56847,24,-1.5154,35,-0.9534,66,0.00811
ENSG00000169641,LUZP1,12,-4.0801,138,-0.4866,507,1.69154,120,-0.6958,131,-0.6148,468,1.54321,273,0.59841,49,-2.0311,111,-0.8243,132,-0.5485
ENSG00000125944,HNRNPR,12,-3.5885,190,0.55970,95,-0.5377,195,0.60109,108,-0.3734,171,0.38315,145,0.11854,247,1.00077,78,-0.8294,129,-0.0624
ENSG00000142676,RPL11,389,0.15204,107,-1.8099,128,-1.5552,356,0.01050,489,0.59658,101,-1.8990,167,-1.1543,555,0.73396,551,0.72293,556,0.73811
ENSG00000011007,ELOA,12,-1.4237,20,-0.6744,16,-0.9957,30,-0.0238,21,-0.5818,54,0.93622,34,0.19358,47,0.70543,32,0.10267,46,0.68029
ENSG00000057757,PITHD1,12,-3.5805,53,-1.3971,202,0.67512,199,0.64894,235,1.07667,99,-0.4684,82,-0.7493,121,-0.1563,96,-0.5184,134,0.01236
ENSG00000011009,LYPLA2,12,-0.9692,5,-2.0497,33,0.60810,27,0.31165,35,0.82514,28,0.34811,25,0.16880,3,-3.0197,23,0.07551,20,-0.1787
ENSG00000189266,PNRC2,12,-2.2253,35,-0.6280,46,-0.2061,77,0.61422,53,0.01643,44,-0.2816,56,0.11263,81,0.69536,56,0.10469,65,0.33800
ENSG00000188529,SRSF10,12,-2.7710,114,0.65317,52,-0.5824,81,0.09879,76,-0.0030,71,-0.1162,117,0.69115,66,-0.2293,80,0.06811,94,0.33295
ENSG00000001461,NIPAL3,193,0.07266,370,1.15906,159,-0.2281,103,-0.8907,142,-0.4468,227,0.33496,90,-1.1064,467,1.58149,76,-1.3505,56,-1.8048
ENSG00000133226,SRRM1,12,-4.3164,913,2.57689,148,-0.6301,138,-0.7337,105,-1.2270,301,0.49324,202,-0.1438,253,0.20988,112,-1.0537,149,-0.6175
ENSG00000169504,CLIC4,12,-2.0790,76,0.76431,7,-2.7991,1,-4.8389,23,-1.1768,6,-2.9061,0,-9.7888,269,3.37913,33,-0.5827,73,0.68815
ENSG00000117614,SYF2,380,1.63468,158,0.13294,71,-1.0924,113,-0.3970,75,-1.0876,150,0.04638,113,-0.3965,220,0.67396,134,-0.1282,110,-0.4417
ENSG00000117616,RSRP1,12,-2.9431,197,1.38917,23,-1.9645,55,-0.7011,107,0.39225,9,-3.2514,267,1.97043,49,-0.8682,49,-0.8524,70,-0.3125
ENSG00000183726,TMEM50A,176,1.36360,31,-1.4050,64,-0.3162,134,0.88060,78,0.01298,35,-1.2152,74,-0.0859,84,0.11330,48,-0.7446,55,-0.5332
ENSG00000204178,MACO1,12,-2.6083,142,1.22002,59,-0.2199,91,0.46260,47,-0.6359,78,0.20300,103,0.66283,105,0.69883,21,-1.7431,46,-0.6206
ENSG00000117643,MAN1C1,12,-1.9035,12,-1.8617,74,0.90563,96,1.36863,56,0.52484,17,-1.3381,68,0.77156,8,-2.3899,26,-0.7455,38,-0.1430
ENSG00000162430,SELENON,12,-1.2487,42,0.70771,18,-0.6056,40,0.63261,21,-0.4176,10,-1.5005,13,-1.1002,44,0.77871,33,0.33966,43,0.74129
ENSG00000117640,MTFR1L,12,-2.4069,14,-2.1377,82,0.51230,82,0.51895,82,0.57410,46,-0.3938,73,0.33088,30,-1.0324,61,0.04249,91,0.67995
ENSG00000117632,STMN1,1503,0.46603,652,-0.8461,1259,0.17852,1132,0.00947,2077,1.18365,1080,-0.0650,777,-0.5779,799,-0.5347,472,-1.3353,552,-1.0976
ENSG00000158008,EXTL1,12,-1.6538,13,-1.5269,42,0.26331,37,0.05943,71,1.35659,32,-0.1650,30,-0.2723,16,-1.1847,44,0.32529,23,-0.6574
ENSG00000142684,ZNF593,12,-1.6896,33,-0.1317,47,0.39623,42,0.20666,61,0.95964,26,-0.4922,36,-0.0173,15,-1.3035,32,-0.1882,36,-0.0363
ENSG00000142669,SH3BGRL3,12,-3.2486,72,-0.5966,124,0.24852,143,0.47614,191,1.12593,61,-0.8609,36,-1.6578,119,0.17976,132,0.35245,87,-0.3067
ENSG00000198830,HMGN2,18,-2.9859,164,0.28726,35,-2.0655,110,-0.3478,147,0.11966,60,-1.2651,97,-0.5373,315,1.39669,213,0.71657,203,0.63157
ENSG00000117713,ARID1A,12,-3.0366,182,1.10921,69,-0.4571,82,-0.1893,57,-0.8194,114,0.32134,83,-0.1765,126,0.48607,101,0.12713,140,0.66024
ENSG00000090273,NUDC,27,-2.9474,92,-1.1251,175,-0.1495,279,0.60529,296,0.80247,170,-0.1910,130,-0.6099,187,-0.0416,239,0.35101,223,0.23972
ENSG00000253368,TRNP1,12,-1.7226,13,-1.6223,101,1.59548,62,0.74271,67,1.01333,37,-0.1096,24,-0.7457,8,-2.3697,13,-1.6530,27,-0.5687
ENSG00000142784,WDTC1,12,-1.1372,26,0.03829,20,-0.3234,32,0.37704,25,0.02877,18,-0.4985,25,-0.0310,15,-0.7679,48,1.04785,30,0.26991
ENSG00000186501,TMEM222,12,-1.7974,42,0.09686,22,-0.8931,64,0.78543,40,0.02872,33,-0.2890,27,-0.6057,89,1.34639,32,-0.3385,34,-0.2176
ENSG00000158195,WASF2,124,0.79527,157,1.20467,4,-4.1392,23,-1.8061,11,-2.9710,18,-2.1495,2,-4.8792,291,2.41085,67,-0.2026,127,0.83367
ENSG00000126705,AHDC1,12,-2.3256,102,0.97886,72,0.39388,68,0.29416,47,-0.3092,77,0.51132,76,0.48837,21,-1.4965,57,0.02655,39,-0.5504
ENSG00000126709,IFI6,12,-2.6507,19,-1.9810,174,1.52776,61,-0.2288,113,0.88745,25,-1.5787,27,-1.4658,48,-0.5828,71,0.02547,111,0.74532
ENSG00000009780,FAM76A,12,-1.1820,33,0.38577,19,-0.4878,10,-1.3571,16,-0.8108,15,-0.7749,60,1.41769,52,1.14686,19,-0.4796,32,0.32638
ENSG00000117758,STX12,49,-1.0729,74,-0.4484,118,0.27693,135,0.49457,99,0.00667,94,-0.0754,86,-0.2231,153,0.70929,80,-0.3283,101,0.02568
ENSG00000117751,PPP1R8,12,-1.2701,33,0.30029,26,-0.0815,34,0.33547,28,0.06220,15,-0.8825,9,-1.6551,46,0.85135,31,0.19050,38,0.53233
ENSG00000117748,RPA2,12,-1.6954,16,-1.2169,22,-0.7717,38,0.07948,63,1.02268,28,-0.4184,33,-0.1574,26,-0.5425,31,-0.2572,70,1.06993
ENSG00000126698,DNAJC8,12,-4.2229,253,0.31657,236,0.20443,224,0.11894,185,-0.2018,399,1.07641,218,0.07622,242,0.24482,150,-0.5054,182,-0.2124
ENSG00000130770,ATP5IF1,770,1.15902,76,-2.4333,329,-0.2406,601,0.73334,640,0.97060,194,-1.0522,246,-0.6909,202,-0.9886,198,-1.0212,320,-0.2806
ENSG00000204138,PHACTR4,12,-1.9883,163,2.29263,8,-2.5433,12,-1.9747,12,-2.1034,46,0.06234,25,-0.8684,95,1.24334,45,0.02634,62,0.51988
ENSG00000198492,YTHDF2,12,-3.1586,81,-0.3307,187,1.03383,137,0.51594,130,0.48640,135,0.48049,122,0.32027,53,-0.9746,57,-0.8497,53,-0.9762
ENSG00000159023,EPB41,12,-1.2583,16,-0.7807,52,1.05665,5,-2.4392,17,-0.7594,35,0.39235,70,1.60278,1,-4.0365,23,-0.2283,50,0.98096
ENSG00000116350,SRSF4,12,-3.0155,173,1.07238,61,-0.6031,40,-1.2615,85,-0.1025,122,0.47799,98,0.13527,143,0.74326,81,-0.1727,94,0.06417
ENSG00000116353,MECR,12,-1.0674,6,-2.0108,52,1.29764,25,0.08998,38,0.83658,9,-1.4753,26,0.13684,7,-1.8840,33,0.50313,18,-0.4471
ENSG00000162511,LAPTM5,12,-1.4102,14,-1.1194,5,-2.4977,16,-0.9217,21,-0.5687,17,-0.8884,4,-2.8942,95,1.97680,63,1.20633,63,1.20590
ENSG00000162512,SDC3,12,-3.3601,110,-0.0698,58,-1.0329,184,0.77098,72,-0.7786,104,-0.1546,129,0.18245,122,0.10557,110,-0.0597,287,1.55662
ENSG00000134644,PUM1,467,1.33866,198,-0.0955,171,-0.3258,172,-0.3160,158,-0.4923,317,0.66889,216,0.04700,150,-0.5255,129,-0.7527,176,-0.2797
ENSG00000121766,ZCCHC17,12,-3.3704,137,0.27912,161,0.53807,128,0.16438,106,-0.1540,192,0.82945,146,0.37265,117,0.02364,80,-0.5674,85,-0.4739
ENSG00000121769,FABP3,167,1.49845,2,-4.9367,137,1.14284,74,0.11309,132,1.26279,34,-1.0612,25,-1.5143,14,-2.3246,22,-1.7063,16,-2.1977
ENSG00000162517,PEF1,12,-2.3645,36,-0.7339,99,0.87888,111,1.07884,90,0.81750,9,-2.7860,53,-0.1435,33,-0.8455,65,0.19848,38,-0.6443
