Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000187730,GABRD,82,-0.6594,110,-0.1692,96,-0.4402,190,0.84724,122,0.01033,157,0.41988
ENSG00000067606,PRKCZ,158,-0.1579,134,-0.4425,184,0.12510,195,0.21473,177,0.03986,200,0.22844
ENSG00000162585,FAAP20,34,0.77005,12,-1.0474,22,-0.0321,10,-1.2346,18,-0.3530,50,1.32987
ENSG00000157933,SKI,46,0.67465,29,-0.1616,29,-0.1814,27,-0.2865,48,0.66652,11,-1.5591
ENSG00000157916,RER1,42,-0.1505,29,-0.7279,42,-0.1336,58,0.45277,42,-0.1156,72,0.73205
ENSG00000157911,PEX10,21,0.39281,11,-0.6240,16,-0.1091,17,0.06560,16,-0.0748,21,0.37417
ENSG00000149527,PLCH2,20,1.05776,11,-0.0572,5,-1.4403,12,0.05038,10,-0.2465,15,0.46805
ENSG00000157881,PANK4,6,-1.2607,12,-0.3126,16,0.14703,16,0.13245,20,0.48436,24,0.83465
ENSG00000197921,HES5,18,0.43764,13,-0.2053,4,-1.9728,4,-2.0167,58,2.45731,18,0.35354
ENSG00000157870,PRXL2B,41,-0.1374,34,-0.4382,38,-0.2815,57,0.47109,43,-0.0584,64,0.60651
ENSG00000177133,PRDM16-DT,31,0.85452,14,-0.6075,5,-2.3616,2,-3.5715,84,2.61588,26,0.44323
ENSG00000142611,PRDM16,23,1.06801,17,0.46882,2,-2.5302,1,-3.6051,44,2.12615,9,-0.5440
ENSG00000158109,TPRG1L,131,-0.4619,129,-0.4929,199,0.29413,191,0.18528,141,-0.3153,253,0.62523
ENSG00000116213,WRAP73,9,-0.3844,10,-0.2269,10,-0.1705,16,0.71800,7,-0.7494,15,0.46390
ENSG00000130764,LRRC47,52,-0.5794,47,-0.7345,78,0.13284,92,0.42510,91,0.36415,94,0.41315
ENSG00000116198,CEP104,21,-0.5660,40,0.59760,38,0.53474,20,-0.6172,31,0.09283,13,-1.1573
ENSG00000198912,C1orf174,9,-0.5607,16,0.32090,15,0.32209,9,-0.5153,9,-0.5007,19,0.60553
ENSG00000196581,AJAP1,38,-0.3130,54,0.27403,38,-0.3393,49,0.09844,65,0.56125,44,-0.0684
ENSG00000069424,KCNAB2,193,0.29109,108,-0.7010,138,-0.3269,212,0.46562,164,0.00143,198,0.30578
ENSG00000116254,CHD5,223,-0.1463,326,0.54022,284,0.32279,214,-0.2132,185,-0.4230,104,-1.3006
ENSG00000116251,RPL22,543,0.73944,263,-0.5584,335,-0.1628,279,-0.4576,417,0.21533,417,0.21579
ENSG00000116237,ICMT,31,-0.2620,24,-0.6462,29,-0.3989,57,0.86018,29,-0.3153,54,0.65534
ENSG00000097021,ACOT7,70,-1.6035,131,-0.6088,167,-0.2197,366,1.30528,125,-0.6314,301,0.77317
ENSG00000215788,TNFRSF25,10,-0.8414,15,-0.1907,15,-0.2155,23,0.54943,21,0.37859,23,0.47616
ENSG00000171680,PLEKHG5,26,0.38026,17,-0.4271,12,-0.9825,32,0.72983,23,0.14382,25,0.23846
ENSG00000162408,NOL9,32,0.15571,40,0.61342,28,-0.0634,19,-0.6962,25,-0.2427,27,-0.1020
ENSG00000162413,KLHL21,19,-0.4379,18,-0.5568,22,-0.2702,28,0.15578,39,0.70611,42,0.84143
ENSG00000116273,PHF13,12,-0.4971,14,-0.2546,20,0.35332,19,0.25951,20,0.25392,12,-0.4917
ENSG00000041988,THAP3,10,-0.6193,12,-0.3746,14,-0.1086,18,0.29907,23,0.67165,20,0.40805
ENSG00000007923,DNAJC11,28,-0.3196,38,0.19056,41,0.34884,22,-0.7104,37,0.12928,40,0.23320
ENSG00000171735,CAMTA1,279,-0.6416,539,0.51143,482,0.34314,346,-0.2807,409,0.00584,298,-0.4890
ENSG00000049245,VAMP3,23,0.55076,11,-0.7016,21,0.43985,7,-1.3411,17,-0.0162,24,0.53318
ENSG00000049246,PER3,38,0.13350,39,0.19831,22,-0.8310,18,-1.1040,96,1.72249,33,-0.1076
ENSG00000116288,PARK7,203,-0.1264,126,-0.9166,195,-0.2191,243,0.19272,233,0.09975,439,1.15917
ENSG00000116285,ERRFI1,20,-0.4994,34,0.38404,24,-0.2458,31,0.22281,20,-0.4804,38,0.53145
ENSG00000162426,SLC45A1,10,-1.4876,14,-0.9564,28,0.18130,49,1.25664,15,-0.8300,35,0.51981
ENSG00000142599,RERE,129,-0.0002,143,0.18828,125,-0.0552,96,-0.4909,197,0.69191,106,-0.2949
ENSG00000074800,ENO1,437,0.28825,223,-0.8568,253,-0.7183,464,0.39804,451,0.30802,635,0.87498
ENSG00000171612,SLC25A33,48,1.35684,17,-0.5748,11,-1.3132,16,-0.6589,35,0.62950,31,0.43350
ENSG00000171608,PIK3CD,5,-1.5222,10,-0.3259,20,1.09194,14,0.29803,3,-1.9688,13,0.05084
ENSG00000171603,CLSTN1,367,-1.0951,598,-0.2952,806,0.25924,1033,0.69605,742,0.07194,647,-0.1469
ENSG00000178585,CTNNBIP1,32,0.00553,12,-1.5115,53,1.17175,19,-0.8434,39,0.33641,22,-0.5232
ENSG00000162441,LZIC,51,0.03208,62,0.40153,48,-0.0601,30,-0.8527,75,0.66091,42,-0.2553
ENSG00000130939,UBE4B,35,-0.4061,46,0.07670,45,0.03573,54,0.37053,36,-0.2934,43,-0.0117
ENSG00000054523,KIF1B,354,-0.4012,646,0.68206,512,0.27790,391,-0.2342,371,-0.2907,226,-1.0485
ENSG00000284642,AL139424.2,7,-1.1409,12,-0.2474,22,1.02422,14,0.05447,7,-0.9664,12,-0.1647
ENSG00000142657,PGD,37,-0.5688,44,-0.2794,49,-0.0954,71,0.57519,40,-0.4041,78,0.65640
ENSG00000175279,CENPS,6,-0.8771,14,0.66028,7,-0.6973,11,0.13213,15,0.69214,12,0.29663
ENSG00000241563,CORT,11,-0.6613,5,-1.7338,10,-0.9680,25,0.70367,24,0.58624,49,1.79059
ENSG00000160049,DFFA,51,0.35710,50,0.31097,39,-0.1557,30,-0.5708,40,-0.0791,43,0.05087
ENSG00000142655,PEX14,11,-0.9943,15,-0.5444,23,0.13042,25,0.32466,30,0.55221,31,0.58970
ENSG00000120948,TARDBP,54,-0.6536,89,0.18978,82,0.06033,82,0.05516,97,0.30274,84,0.07896
ENSG00000271895,AL109811.2,7,-0.7553,15,0.38521,9,-0.5450,17,0.69182,12,0.07970,12,0.06222
ENSG00000116649,SRM,42,-0.1965,29,-0.8366,47,-0.0287,58,0.35023,55,0.22907,69,0.61060
ENSG00000171824,EXOSC10,21,-0.4347,40,0.74317,21,-0.4778,25,-0.0915,32,0.28718,28,0.05692
ENSG00000198793,MTOR,27,-0.6001,42,0.12905,37,-0.1073,50,0.44905,37,-0.0715,42,0.13214
ENSG00000116661,FBXO2,204,0.71382,67,-1.2135,102,-0.5759,197,0.64292,85,-0.7515,200,0.58915
ENSG00000132879,FBXO44,45,-0.7826,62,-0.2635,81,0.23960,91,0.42269,69,-0.0593,84,0.23711
ENSG00000116670,MAD2L2,14,0.61604,5,-1.0618,5,-1.2133,10,0.04375,14,0.57441,21,1.27221
ENSG00000177000,MTHFR,15,-0.3888,22,0.22733,24,0.43926,21,0.20700,13,-0.6001,9,-1.0736
ENSG00000011021,CLCN6,61,-0.2775,54,-0.4769,97,0.61968,70,-0.0432,66,-0.1382,64,-0.1796
ENSG00000116685,KIAA2013,24,-0.1751,25,-0.0993,21,-0.4116,31,0.33447,23,-0.2258,42,0.77584
ENSG00000083444,PLOD1,14,-0.1232,14,-0.1271,11,-0.5558,18,0.30596,19,0.35728,21,0.56859
ENSG00000116688,MFN2,94,-0.3678,95,-0.3569,122,0.09284,148,0.42517,98,-0.2698,145,0.35152
ENSG00000048707,VPS13D,54,-0.6678,95,0.30113,88,0.19862,94,0.28064,72,-0.1697,59,-0.4716
ENSG00000162496,DHRS3,33,1.29432,12,-0.4916,3,-2.4960,24,0.67843,16,-0.1094,19,0.17207
ENSG00000116731,PRDM2,128,-0.7965,387,1.22154,188,-0.1726,186,-0.1741,194,-0.0923,102,-1.0756
ENSG00000189337,KAZN,43,-0.5901,56,-0.1673,70,0.26063,78,0.41514,58,-0.0833,55,-0.1753
ENSG00000142634,EFHD2,32,-1.6280,67,-0.4906,189,1.86903,65,-0.5372,24,-1.9754,59,-0.6287
ENSG00000116138,DNAJC16,27,-0.6539,45,0.22287,50,0.49700,42,0.11688,34,-0.2251,22,-0.8886
ENSG00000197312,DDI2,17,-1.3427,50,0.48062,48,0.46522,39,0.04262,38,-0.0351,28,-0.4897
ENSG00000116786,PLEKHM2,136,0.57186,77,-0.4330,111,0.22107,68,-0.6295,87,-0.2068,110,0.16606
ENSG00000065526,SPEN,99,-0.4194,310,1.84489,92,-0.5980,70,-0.9782,99,-0.3927,60,-1.1573
ENSG00000116809,ZBTB17,17,-0.0481,15,-0.3074,23,0.52191,10,-0.9677,19,0.10469,24,0.47110
ENSG00000037637,FBXO42,15,-0.5956,27,0.43132,19,-0.1610,13,-0.7378,28,0.47473,35,0.82479
ENSG00000055070,SZRD1,42,1.35976,13,-0.8145,14,-0.6622,13,-0.7294,34,0.76435,16,-0.4167
ENSG00000219481,NBPF1,10,-0.0011,16,0.82662,9,-0.1641,7,-0.5654,3,-1.7319,14,0.51538
ENSG00000058453,CROCC,6,-0.7658,11,0.19174,13,0.51808,5,-1.1024,12,0.25437,15,0.60773
ENSG00000159363,ATP13A2,64,-0.7724,69,-0.6577,126,0.45833,140,0.59650,58,-0.8484,131,0.40960
ENSG00000117118,SDHB,35,-0.7639,29,-1.0374,44,-0.4363,80,0.68928,81,0.62422,105,1.05728
ENSG00000117115,PADI2,81,1.55706,24,-0.6908,21,-1.0079,8,-2.3132,76,1.19665,40,0.10660
ENSG00000179051,RCC2,17,-0.4341,23,0.08134,23,0.03390,32,0.66531,15,-0.6165,17,-0.4282
ENSG00000074964,ARHGEF10L,19,0.26525,13,-0.3797,15,-0.1580,12,-0.5833,32,1.03215,17,0.03357
ENSG00000117154,IGSF21,52,-0.2560,47,-0.3972,60,-0.0063,91,0.76971,32,-0.9697,68,0.20776
ENSG00000159423,ALDH4A1,35,1.43425,10,-0.7823,9,-1.0890,6,-1.5482,27,0.80386,26,0.71806
ENSG00000169991,IFFO2,8,-0.2379,10,0.13478,10,0.14584,11,0.24183,8,-0.1422,6,-0.6245
ENSG00000127481,UBR4,22,-0.7963,89,1.86074,24,-0.7156,28,-0.4347,33,-0.1583,12,-1.6630
ENSG00000127463,EMC1,27,-0.3580,35,0.08312,26,-0.4598,40,0.36046,51,0.70798,31,-0.1050
ENSG00000053372,MRTO4,28,-0.5148,26,-0.6216,49,0.56079,40,0.10378,37,0.00582,41,0.13668
ENSG00000053371,AKR7A2,28,0.42971,13,-0.8604,14,-0.7766,19,-0.2053,33,0.67194,44,1.15344
ENSG00000077549,CAPZB,102,-0.4519,120,-0.1769,114,-0.2972,197,0.72718,93,-0.5562,190,0.57366
ENSG00000173436,MICOS10,247,0.24520,107,-1.1537,241,0.22467,195,-0.1788,174,-0.3348,376,0.91311
ENSG00000158747,NBL1,110,-0.0214,79,-0.5890,127,0.26208,119,0.11588,91,-0.3231,139,0.35466
ENSG00000169914,OTUD3,14,-0.7668,29,0.44764,28,0.43451,28,0.36132,14,-0.7079,9,-1.4290
ENSG00000162545,CAMK2N1,2419,1.02020,1088,-0.4520,947,-0.7476,1148,-0.3616,1926,0.49712,1493,0.08461
ENSG00000090432,MUL1,13,-0.6791,17,-0.3351,27,0.54524,18,-0.1882,17,-0.2733,31,0.64276
ENSG00000183114,FAM43B,9,-0.9821,14,-0.2573,23,0.80482,12,-0.4604,14,-0.2291,23,0.56212
ENSG00000158828,PINK1,308,-0.4548,249,-0.8032,429,0.13096,560,0.61140,268,-0.6270,628,0.72873
ENSG00000244038,DDOST,17,-0.5545,17,-0.4913,15,-0.7913,31,0.50181,38,0.78902,43,1.00669
ENSG00000117245,KIF17,10,-1.3288,12,-0.9689,41,1.39440,20,-0.2126,11,-1.0104,28,0.33695
ENSG00000189410,SH2D5,31,-0.0516,25,-0.4265,20,-0.8634,49,0.77851,41,0.39456,42,0.42694
ENSG00000127483,HP1BP3,205,-0.3561,416,0.94483,227,-0.2019,206,-0.3492,302,0.29155,136,-0.9561
ENSG00000075151,EIF4G3,117,-1.3119,512,1.33743,197,-0.5183,357,0.59248,186,-0.5115,97,-1.4969
ENSG00000117298,ECE1,28,1.11266,14,-0.2198,7,-1.2786,8,-1.0885,34,1.29469,15,-0.0211
ENSG00000076864,RAP1GAP,61,-1.2830,87,-0.7162,202,0.89396,144,0.13743,136,0.03241,143,0.10819
ENSG00000090686,USP48,46,-0.9253,146,1.16307,77,-0.0606,70,-0.2233,78,-0.0274,43,-0.9489
ENSG00000070831,CDC42,109,-0.9349,140,-0.5184,222,0.31458,278,0.70383,169,-0.1793,202,0.09678
ENSG00000184677,ZBTB40,9,-0.4545,14,0.28351,9,-0.4508,11,-0.1615,26,1.29737,9,-0.4268
ENSG00000133216,EPHB2,4,-1.5446,17,0.73210,14,0.39238,10,-0.3041,9,-0.3754,14,0.24053
ENSG00000004487,KDM1A,26,-1.2391,77,0.55463,38,-0.7532,86,0.76611,52,-0.1429,80,0.56122
ENSG00000169641,LUZP1,90,-1.2197,308,0.92430,214,0.25975,217,0.24692,90,-1.1381,112,-0.8012
ENSG00000125944,HNRNPR,102,-0.3832,169,0.51881,110,-0.2729,127,0.00668,167,0.44076,103,-0.3222
ENSG00000125945,ZNF436,7,-0.9480,10,-0.4608,11,-0.2045,17,0.57175,29,1.33065,9,-0.5747
ENSG00000088280,ASAP3,9,-0.2701,7,-0.6804,14,0.62663,5,-1.2559,15,0.60329,16,0.69009
ENSG00000142676,RPL11,470,0.75116,148,-1.2375,314,-0.0020,211,-0.6708,277,-0.1993,576,0.99933
ENSG00000011007,ELOA,26,-0.1430,32,0.21329,26,-0.1296,29,0.06092,44,0.70661,13,-1.1246
ENSG00000057757,PITHD1,89,-0.9652,103,-0.7244,201,0.50446,182,0.25088,153,-0.0522,235,0.64117
ENSG00000011009,LYPLA2,22,-0.1272,15,-0.7271,28,0.35995,23,0.00841,22,-0.1008,31,0.44329
ENSG00000117308,GALE,7,-0.9919,8,-0.8825,16,0.33484,16,0.26863,15,0.11374,25,0.95121
ENSG00000117305,HMGCL,15,0.47380,8,-0.6715,6,-1.0408,10,-0.1600,19,0.76968,23,1.09503
ENSG00000179163,FUCA1,4,-1.3274,5,-1.1884,11,0.11576,22,1.43815,8,-0.3409,10,0.01659
ENSG00000189266,PNRC2,51,-0.1498,61,0.17559,41,-0.5501,55,-0.0171,74,0.45636,78,0.55246
ENSG00000188529,SRSF10,51,-0.5648,94,0.48537,75,0.07587,61,-0.2925,83,0.22093,72,-0.0006
ENSG00000001460,STPG1,7,-0.4676,12,0.40649,6,-0.8711,13,0.58303,12,0.30091,11,0.22194
ENSG00000001461,NIPAL3,51,-1.3436,128,0.18646,161,0.71511,119,0.06050,113,-0.0308,75,-0.6653
ENSG00000133226,SRRM1,153,-0.0911,308,1.25608,138,-0.3047,124,-0.4450,112,-0.5719,79,-1.1052
ENSG00000169504,CLIC4,45,1.10226,13,-1.0344,24,-0.1031,11,-1.3085,35,0.54067,31,0.32071
ENSG00000117614,SYF2,129,0.28325,128,0.25990,92,-0.3491,84,-0.4736,161,0.61373,96,-0.2239
ENSG00000117616,RSRP1,41,-0.9080,121,1.01919,52,-0.5693,58,-0.3283,99,0.54087,81,0.22223
ENSG00000183726,TMEM50A,51,-0.4821,52,-0.4313,57,-0.3174,97,0.67311,88,0.43064,81,0.29887
ENSG00000204178,MACO1,29,-1.1091,103,1.12306,48,-0.3408,59,0.03939,68,0.28271,36,-0.7093
ENSG00000117643,MAN1C1,43,0.27075,22,-0.8864,17,-1.3711,74,1.33652,45,0.29717,35,-0.0923
ENSG00000162430,SELENON,30,0.64556,14,-0.6309,17,-0.3467,16,-0.4006,28,0.47342,28,0.48571
ENSG00000117640,MTFR1L,40,-0.4673,37,-0.6002,51,-0.0734,66,0.39549,74,0.54052,69,0.41661
ENSG00000117632,STMN1,570,-1.2438,1108,-0.1535,1548,0.51603,1362,0.21266,741,-0.7614,1838,0.68060
ENSG00000158008,EXTL1,47,0.22760,30,-0.5244,47,0.26268,38,-0.1264,19,-1.1471,62,0.66762
ENSG00000175087,PDIK1L,6,-1.6202,16,-0.0006,26,0.95265,17,0.08181,15,-0.1035,10,-0.7884
ENSG00000142684,ZNF593,14,-0.6381,18,-0.2387,19,-0.1821,27,0.44677,14,-0.6388,41,1.08824
ENSG00000142669,SH3BGRL3,136,-0.0064,72,-1.0634,169,0.44319,143,0.09190,86,-0.7109,204,0.65437
ENSG00000158062,UBXN11,24,0.79325,7,-1.2059,11,-0.5633,10,-0.6504,24,0.70107,29,1.01211
ENSG00000117682,DHDDS,9,-1.1959,14,-0.4640,23,0.44145,24,0.46021,27,0.61513,14,-0.4446
ENSG00000198830,HMGN2,155,0.54668,86,-0.4902,87,-0.5296,93,-0.3696,166,0.59838,170,0.62853
ENSG00000117713,ARID1A,70,-0.1020,95,0.45583,64,-0.2874,52,-0.6007,145,1.10884,44,-0.7915
ENSG00000204160,ZDHHC18,12,-0.4572,9,-0.8693,22,0.72955,11,-0.5350,18,0.28692,21,0.54242
ENSG00000142751,GPN2,13,-0.5429,21,0.29965,12,-0.6870,22,0.37322,22,0.38917,24,0.51018
ENSG00000090273,NUDC,192,0.05410,142,-0.4594,163,-0.2642,201,0.13593,193,0.05852,297,0.76078
ENSG00000253368,TRNP1,27,-0.8257,33,-0.5073,55,0.39622,48,0.12328,30,-0.6209,83,1.00365
ENSG00000090020,SLC9A1,8,-1.2845,19,0.08096,24,0.49025,21,0.21233,9,-1.1024,27,0.60252
ENSG00000142784,WDTC1,36,0.67983,23,-0.1317,24,-0.0409,15,-0.7701,24,-0.0285,26,0.10538
ENSG00000186501,TMEM222,34,0.11182,17,-1.0503,34,0.11206,36,0.19892,44,0.50605,33,0.04413
ENSG00000158195,WASF2,64,1.30794,47,0.67501,19,-0.9683,12,-1.5258,40,0.34171,13,-1.3303
ENSG00000126705,AHDC1,43,-0.1459,67,0.66205,44,-0.1146,42,-0.1790,40,-0.2476,38,-0.3320
ENSG00000126709,IFI6,62,-0.5786,60,-0.6183,78,-0.1919,182,1.47076,34,-1.4226,76,-0.2064
ENSG00000009780,FAM76A,13,-0.6170,23,0.30522,17,-0.2236,23,0.35326,23,0.26200,18,-0.0741
ENSG00000117758,STX12,51,-1.0154,97,0.05744,94,0.01475,107,0.23825,95,0.02472,143,0.68326
ENSG00000117751,PPP1R8,28,0.12048,20,-0.4365,21,-0.3498,32,0.41557,38,0.63984,21,-0.3323
ENSG00000117748,RPA2,25,-0.5947,19,-1.0982,28,-0.4990,49,0.54702,59,0.78133,71,1.09707
ENSG00000158161,EYA3,8,-0.5860,15,0.51248,8,-0.4988,10,-0.1930,17,0.68685,15,0.43680
ENSG00000126698,DNAJC8,177,-0.2466,250,0.36754,189,-0.1425,226,0.18377,206,0.02016,162,-0.3607
ENSG00000130770,ATP5IF1,266,-0.5286,206,-0.9465,324,-0.2227,507,0.61586,268,-0.4742,794,1.31053
ENSG00000204138,PHACTR4,41,0.53776,47,0.79270,29,-0.1260,9,-1.9276,47,0.68416,9,-1.7559
ENSG00000180098,TRNAU1AP,13,-0.0769,13,-0.0733,11,-0.3691,17,0.39960,7,-0.9143,23,0.81391
ENSG00000120656,TAF12,14,0.10994,14,0.05454,7,-1.0538,13,-0.0368,17,0.38677,26,1.05862
ENSG00000162419,GMEB1,10,-0.3379,14,0.17070,13,0.13427,9,-0.5826,26,1.19038,6,-1.1267
ENSG00000198492,YTHDF2,51,-0.9787,102,0.17323,101,0.17168,129,0.60945,89,-0.0578,61,-0.6349
ENSG00000116329,OPRD1,5,-1.3813,23,1.22062,9,-0.4693,13,0.16087,9,-0.3595,13,0.08315
ENSG00000159023,EPB41,12,-0.6880,36,1.22525,16,-0.2898,21,0.16404,11,-0.7989,10,-0.9740
ENSG00000116350,SRSF4,72,-0.1798,104,0.48222,77,-0.0795,66,-0.3233,88,0.15235,76,-0.0815
ENSG00000116353,MECR,17,-0.5922,18,-0.5485,22,-0.2177,34,0.56104,27,0.12573,41,0.82545
ENSG00000060656,PTPRU,11,-0.4983,10,-0.7426,21,0.62371,23,0.70144,10,-0.6005,9,-0.8286
ENSG00000162512,SDC3,92,0.50290,71,0.02226,53,-0.5301,52,-0.4877,107,0.69449,72,0.05571
ENSG00000134644,PUM1,124,-0.4974,224,0.54425,185,0.21328,147,-0.2128,180,0.12615,104,-0.7275
ENSG00000121766,ZCCHC17,84,-0.5953,123,0.06101,112,-0.1251,160,0.53266,127,0.10279,115,-0.0609
ENSG00000121769,FABP3,26,-1.2564,29,-1.0724,67,0.38029,89,0.88421,25,-1.2066,97,0.91813
ENSG00000162517,PEF1,36,-0.8642,44,-0.5172,52,-0.2692,92,0.80435,58,-0.0565,101,0.84410
ENSG00000084636,COL16A1,22,-0.1548,31,0.42655,20,-0.3797,17,-0.6065,21,-0.2126,47,1.06581
ENSG00000121753,ADGRB2,136,-0.4380,132,-0.4912,180,0.04605,240,0.56650,158,-0.1714,222,0.36803
ENSG00000184007,PTP4A2,187,0.07672,211,0.29292,208,0.30040,145,-0.3655,111,-0.7426,151,-0.2670
ENSG00000121774,KHDRBS1,111,-0.1449,116,-0.0741,106,-0.2496,134,0.18089,166,0.51377,123,0.02613
ENSG00000121775,TMEM39B,9,-0.3214,12,0.22948,9,-0.3675,10,-0.0372,18,0.85318,10,-0.0859
ENSG00000025800,KPNA6,56,-0.9086,100,0.05840,111,0.27911,107,0.18197,127,0.43940,77,-0.3500
ENSG00000084652,TXLNA,20,-0.2948,26,0.11758,22,-0.1265,26,0.14848,24,0.02402,28,0.25739
ENSG00000160050,CCDC28B,13,-0.0413,7,-1.0815,9,-0.6475,12,-0.1738,27,1.15165,28,1.20993
ENSG00000084623,EIF3I,56,-0.6813,64,-0.4640,83,-0.0017,117,0.62205,68,-0.3122,127,0.67498
ENSG00000175130,MARCKSL1,169,0.93671,70,-0.6395,108,0.08780,39,-1.5929,125,0.30445,128,0.35275
ENSG00000160058,BSDC1,45,-0.2118,44,-0.2406,52,0.06417,53,0.08034,64,0.39299,51,0.03175
ENSG00000160062,ZBTB8A,16,0.08371,15,0.05050,13,-0.2281,16,0.11190,23,0.66442,8,-0.9459
ENSG00000176261,ZBTB8OS,29,0.02106,22,-0.4216,24,-0.3397,35,0.33337,25,-0.2002,47,0.77716
ENSG00000162521,RBBP4,85,-0.1785,116,0.37024,60,-0.8241,102,0.13103,145,0.69434,107,0.19866
ENSG00000162522,KIAA1522,28,0.84335,17,-0.0969,13,-0.5274,13,-0.4600,13,-0.4698,25,0.57985
ENSG00000134684,YARS,48,-1.1654,68,-0.6088,117,0.37839,117,0.32596,93,-0.0723,161,0.82222
ENSG00000116497,S100PBP,14,0.49232,13,0.40795,6,-0.8406,10,-0.1008,8,-0.3226,13,0.38230
ENSG00000160097,FNDC5,17,-1.0361,28,-0.2755,47,0.79248,27,-0.3284,32,-0.0167,40,0.34993
ENSG00000121905,HPCA,100,-0.7316,89,-0.9168,206,0.61257,123,-0.3857,198,0.40631,254,0.81788
ENSG00000121900,TMEM54,28,0.62898,10,-1.1699,16,-0.3692,20,0.00981,11,-0.9195,44,1.28834
ENSG00000116514,RNF19B,6,-0.9361,13,0.15254,9,-0.4931,21,1.08815,11,-0.0881,10,-0.1891
ENSG00000004455,AK2,28,0.15527,24,-0.0821,26,0.06244,25,-0.0672,23,-0.1900,26,0.00401
