Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000120948,TARDBP,99,0.22217,54,-0.7241,79,-0.1292,99,0.31018,83,-0.0636,80,-0.1428
ENSG00000271895,AL109811.2,5,-1.4360,6,-1.2819,10,-0.4829,18,0.54625,15,0.05682,16,0.19478
ENSG00000116649,SRM,36,-0.5724,46,-0.2142,42,-0.3321,36,-0.7357,77,0.69719,68,0.54088
ENSG00000171824,EXOSC10,40,0.46370,25,-0.3091,4,-2.7652,37,0.49673,22,-0.5192,33,0.15673
ENSG00000198793,MTOR,22,-0.9839,37,-0.2028,36,-0.2395,47,0.20934,38,-0.1761,50,0.32558
ENSG00000116661,FBXO2,62,-1.3606,90,-0.8077,99,-0.6588,99,-0.8484,264,1.01837,217,0.73190
ENSG00000132879,FBXO44,25,-1.5258,38,-0.8874,43,-0.7144,61,-0.2201,84,0.37857,99,0.77604
ENSG00000177000,MTHFR,6,-1.5155,17,-0.0295,8,-1.1956,22,0.51603,23,0.48455,15,-0.2947
ENSG00000011021,CLCN6,29,-1.4475,72,-0.0677,52,-0.5813,70,-0.1632,89,0.28214,99,0.53934
ENSG00000116685,KIAA2013,29,0.42413,18,-0.2616,9,-1.3895,17,-0.5227,23,0.09809,31,0.70934
ENSG00000083444,PLOD1,10,-0.5597,13,-0.0605,4,-1.6628,13,-0.1890,21,0.71673,16,0.23356
ENSG00000116688,MFN2,71,-0.9927,73,-0.9572,149,0.13164,123,-0.2247,144,0.08637,189,0.66776
ENSG00000048707,VPS13D,50,-0.7003,42,-0.9562,55,-0.5731,109,0.76615,69,-0.2398,76,-0.0758
ENSG00000162496,DHRS3,13,-0.0088,15,0.21181,4,-1.6918,8,-0.9712,21,0.78530,18,0.59555
ENSG00000116731,PRDM2,223,-0.1835,360,0.57797,327,0.41946,367,0.92428,128,-1.1063,126,-1.2077
ENSG00000189337,KAZN,80,0.31272,60,-0.1436,58,-0.1804,60,-0.1957,59,-0.1857,78,0.32672
ENSG00000142634,EFHD2,43,-1.1613,66,-0.5204,154,0.82453,75,-0.4199,88,-0.0872,123,0.57748
ENSG00000116138,DNAJC16,17,-1.3920,43,-0.0348,12,-1.8889,56,0.52206,32,-0.5315,57,0.50799
ENSG00000197312,DDI2,25,-0.6759,43,0.16118,27,-0.5537,53,0.72418,30,-0.4505,34,-0.2787
ENSG00000116786,PLEKHM2,88,-0.2214,158,0.72261,120,0.27611,50,-1.3154,183,1.10421,93,-0.1575
ENSG00000065526,SPEN,386,1.64554,225,0.70713,190,0.43058,165,0.28273,74,-1.0998,44,-2.0061
ENSG00000116809,ZBTB17,20,0.26846,19,0.18437,5,-1.6362,13,-0.4831,23,0.58232,19,0.26046
ENSG00000037637,FBXO42,16,-0.1766,8,-1.1528,11,-0.7781,18,0.00757,22,0.33264,22,0.36423
ENSG00000055070,SZRD1,37,0.80070,23,0.03092,32,0.53589,18,-0.4901,28,0.39874,17,-0.5007
ENSG00000219481,NBPF1,42,1.50155,15,-0.1296,1,-3.4231,17,0.00401,13,-0.4769,17,0.00435
ENSG00000159363,ATP13A2,19,-2.2041,29,-1.6065,36,-1.2742,77,-0.1733,98,0.28243,138,1.07535
ENSG00000117118,SDHB,39,-0.8310,30,-1.2349,53,-0.3801,52,-0.5497,63,-0.1354,120,1.23861
ENSG00000117115,PADI2,237,3.29586,31,-0.4420,20,-1.1199,12,-2.1867,55,0.49809,17,-1.4876
ENSG00000179051,RCC2,12,-1.1248,27,0.10941,3,-2.9689,18,-0.6839,28,0.19116,44,1.21322
ENSG00000074964,ARHGEF10L,8,-0.9103,14,-0.1346,14,-0.0778,11,-0.6152,24,0.83323,17,0.28816
ENSG00000117154,IGSF21,16,-2.1548,21,-1.7493,70,0.08239,61,-0.1853,74,0.19047,100,0.84568
ENSG00000159423,ALDH4A1,15,0.13443,17,0.30684,4,-1.8517,5,-1.8420,31,1.51228,17,0.34842
ENSG00000127481,UBR4,68,0.91926,61,0.72800,21,-0.9246,50,0.63424,18,-1.1764,24,-0.8238
ENSG00000127463,EMC1,24,-0.3710,35,0.18860,42,0.48547,22,-0.6604,31,-0.0321,41,0.52152
ENSG00000053372,MRTO4,31,-0.3008,36,-0.0832,25,-0.6105,41,0.16090,36,-0.0966,43,0.22183
ENSG00000053371,AKR7A2,47,0.75858,19,-0.6456,34,0.25734,13,-1.4457,55,1.19904,28,-0.0465
ENSG00000077549,CAPZB,107,-0.5262,108,-0.5031,156,0.06436,158,0.12158,142,-0.0889,170,0.24341
ENSG00000173436,MICOS10,228,-0.5694,375,0.20454,413,0.35968,194,-1.0315,568,1.01068,341,0.07022
ENSG00000158747,NBL1,55,-1.2695,99,-0.3841,150,0.27022,99,-0.4957,159,0.40288,166,0.55566
ENSG00000169914,OTUD3,10,-1.1203,15,-0.4701,9,-1.2330,25,0.42555,17,-0.2686,26,0.47694
ENSG00000162545,CAMK2N1,1188,-0.4230,1781,0.21022,1745,0.17818,1662,0.13963,2230,0.64533,964,-0.8659
ENSG00000090432,MUL1,17,0.04357,9,-0.8144,12,-0.4580,15,-0.1273,12,-0.4569,24,0.76688
ENSG00000183114,FAM43B,10,-0.6298,13,-0.2891,25,0.74688,14,-0.1778,14,-0.2470,18,0.30832
ENSG00000158828,PINK1,159,-1.6198,280,-0.7712,417,-0.1580,422,-0.1876,584,0.41667,609,0.56045
ENSG00000244038,DDOST,12,-0.7235,10,-0.9842,5,-1.9602,19,-0.0487,22,0.19002,29,0.81347
ENSG00000117245,KIF17,5,-2.3182,19,-0.3915,42,0.81096,26,0.05952,25,-0.0325,27,0.17638
ENSG00000189410,SH2D5,1,-3.7019,8,-1.5092,19,-0.2857,24,0.06867,28,0.32508,32,0.68155
ENSG00000127483,HP1BP3,431,0.66773,387,0.49152,253,-0.1789,339,0.39682,186,-0.7035,204,-0.6046
ENSG00000075151,EIF4G3,305,-0.1315,344,0.05400,319,-0.0626,453,0.73547,140,-1.4007,309,-0.1391
ENSG00000076864,RAP1GAP,33,-1.8832,33,-1.8926,128,0.16202,131,0.27907,98,-0.2748,157,0.62970
ENSG00000090686,USP48,123,0.50581,94,0.08210,102,0.21636,125,0.81223,35,-1.4934,60,-0.7176
ENSG00000070831,CDC42,159,-0.3367,139,-0.5409,160,-0.3283,178,-0.2180,172,-0.2381,285,0.76054
ENSG00000004487,KDM1A,61,0.12073,53,-0.0876,24,-1.3033,77,0.73998,40,-0.5521,50,-0.2358
ENSG00000169641,LUZP1,56,-1.8182,262,0.53684,146,-0.3880,216,0.31513,139,-0.5034,215,0.26682
ENSG00000125944,HNRNPR,216,0.68469,91,-0.6779,137,-0.0435,172,0.44646,119,-0.2848,108,-0.4936
ENSG00000142676,RPL11,747,0.69978,421,-0.2159,602,0.34852,303,-0.9220,824,0.98707,391,-0.3940
ENSG00000011007,ELOA,30,0.15118,32,0.25498,13,-1.1299,32,0.34329,24,-0.2248,26,-0.1074
ENSG00000057757,PITHD1,73,-1.0381,44,-1.7767,72,-1.0715,138,-0.0980,166,0.24233,220,0.88219
ENSG00000011009,LYPLA2,8,-1.4795,6,-1.9834,13,-0.8318,21,-0.1918,25,0.16091,37,1.06080
ENSG00000117308,GALE,0,-5.4562,12,-0.4006,18,0.17344,15,-0.0581,13,-0.3035,24,0.85800
ENSG00000117305,HMGCL,10,-0.3415,9,-0.5616,11,-0.2794,7,-1.0458,20,0.76441,19,0.73486
ENSG00000189266,PNRC2,77,0.42146,68,0.23764,63,0.12212,59,-0.0009,54,-0.1502,51,-0.2516
ENSG00000188529,SRSF10,85,0.25406,63,-0.2168,52,-0.4948,90,0.50914,56,-0.4213,64,-0.2130
ENSG00000001461,NIPAL3,292,1.31510,113,-0.2313,135,0.03438,144,0.19579,84,-0.7466,99,-0.5273
ENSG00000133226,SRRM1,537,1.55416,415,1.09733,216,0.03176,243,0.30054,63,-1.9231,93,-1.4282
ENSG00000169504,CLIC4,170,3.25099,18,-0.7826,46,0.66277,7,-2.5374,38,0.39433,8,-2.0900
ENSG00000117614,SYF2,198,0.80975,180,0.65716,146,0.31808,117,-0.0563,106,-0.2025,78,-0.7798
ENSG00000117616,RSRP1,109,0.60564,54,-0.4870,19,-2.0207,102,0.73990,44,-0.8528,72,-0.0708
ENSG00000183726,TMEM50A,85,0.01968,48,-0.8574,80,-0.0796,95,0.27375,81,-0.0596,84,0.00679
ENSG00000204178,MACO1,82,0.42823,65,0.05845,72,0.22617,88,0.83709,27,-1.3526,41,-0.7650
ENSG00000117643,MAN1C1,20,-1.0074,18,-1.1852,5,-2.8722,51,0.63870,30,-0.4440,53,0.62898
ENSG00000162430,SELENON,17,-0.1186,23,0.37109,7,-1.4479,16,-0.2689,29,0.87246,16,-0.2075
ENSG00000117640,MTFR1L,39,-0.5961,44,-0.3794,55,-0.0412,44,-0.5169,59,0.05822,83,0.78909
ENSG00000117632,STMN1,952,-0.3626,463,-1.4510,1230,0.03742,1536,0.57109,821,-0.6373,1327,0.19579
ENSG00000158008,EXTL1,12,-1.6121,25,-0.5431,30,-0.2340,37,0.10138,35,0.00292,46,0.52769
ENSG00000175087,PDIK1L,11,-0.4253,5,-1.4558,4,-1.6374,18,0.58314,10,-0.4808,18,0.51413
ENSG00000142684,ZNF593,22,-0.6728,23,-0.5522,25,-0.4857,28,-0.3504,34,0.03942,51,0.84503
ENSG00000142669,SH3BGRL3,97,-0.6293,90,-0.7428,134,-0.1227,112,-0.5221,188,0.46344,199,0.63769
ENSG00000158062,UBXN11,6,-1.5224,16,0.00376,23,0.54129,12,-0.6300,23,0.58991,19,0.31683
ENSG00000117682,DHDDS,8,-1.3739,23,0.23618,3,-2.6254,14,-0.6521,21,0.15890,34,1.18406
ENSG00000198830,HMGN2,322,1.26586,129,-0.2301,203,0.48951,114,-0.5468,162,0.14720,119,-0.4224
ENSG00000117713,ARID1A,95,0.56508,74,0.16543,52,-0.3863,87,0.62012,58,-0.2473,39,-0.9731
ENSG00000204160,ZDHHC18,4,-1.8664,9,-0.6767,12,-0.3517,11,-0.5115,15,0.05307,26,1.14213
ENSG00000142751,GPN2,9,-1.0528,14,-0.3879,7,-1.3617,21,0.30771,21,0.19521,22,0.29522
ENSG00000090273,NUDC,120,-0.7719,209,0.08333,177,-0.1737,193,-0.0508,235,0.30095,209,0.10417
ENSG00000253368,TRNP1,11,-2.0644,32,-0.5060,32,-0.5090,33,-0.5757,60,0.53511,68,0.89473
ENSG00000090020,SLC9A1,4,-2.3438,7,-1.6665,3,-2.6587,14,-0.7971,25,0.33058,44,1.67710
ENSG00000142784,WDTC1,14,-0.7842,26,0.13810,22,-0.1405,21,-0.2831,38,0.85701,21,-0.1945
ENSG00000186501,TMEM222,41,0.26522,19,-0.8968,26,-0.4205,23,-0.7509,48,0.58564,46,0.57270
ENSG00000158195,WASF2,167,2.76635,55,0.67501,17,-1.0928,24,-0.8166,36,-0.0151,9,-2.2881
ENSG00000126705,AHDC1,37,0.01916,35,-0.0674,16,-1.2038,45,0.44619,47,0.42059,26,-0.5881
ENSG00000126709,IFI6,76,-0.6112,50,-1.2486,127,0.17168,86,-0.5740,88,-0.4296,197,1.19820
ENSG00000009780,FAM76A,21,-0.2072,18,-0.4885,24,-0.0098,31,0.55702,18,-0.4865,23,-0.1211
ENSG00000117758,STX12,98,-0.0490,58,-0.8511,99,-0.0303,99,-0.0278,85,-0.2857,129,0.49432
ENSG00000117751,PPP1R8,48,1.06743,18,-0.4852,25,0.00808,19,-0.5308,17,-0.5774,32,0.49707
ENSG00000117748,RPA2,29,-0.2818,15,-1.2121,28,-0.3158,39,0.27962,29,-0.2939,42,0.40799
ENSG00000126698,DNAJC8,314,0.44639,340,0.57716,254,0.10589,253,0.14711,186,-0.4099,184,-0.4694
ENSG00000130770,ATP5IF1,169,-1.4627,290,-0.6502,241,-0.9297,418,-0.1158,430,-0.0437,688,0.93676
ENSG00000204138,PHACTR4,95,2.33918,45,0.96139,17,-0.5529,21,-0.3543,16,-0.7028,8,-1.8321
ENSG00000180098,TRNAU1AP,22,0.18944,17,-0.1360,7,-1.4406,18,-0.1436,18,-0.1061,25,0.55657
ENSG00000120656,TAF12,10,-0.5763,10,-0.6482,8,-0.9042,16,0.12352,20,0.53599,16,0.10552
ENSG00000198492,YTHDF2,72,-0.3820,69,-0.4361,92,0.00182,113,0.46198,74,-0.3644,91,-0.0301
ENSG00000159023,EPB41,18,-0.8314,54,0.84126,19,-0.7913,41,0.59347,17,-1.0535,31,-0.0502
ENSG00000116350,SRSF4,141,0.87843,87,0.10432,63,-0.4027,98,0.40249,58,-0.5636,61,-0.5415
ENSG00000116353,MECR,16,-0.8536,16,-0.8562,17,-0.7890,24,-0.3591,26,-0.1054,47,1.10188
ENSG00000060656,PTPRU,10,-0.7478,9,-0.8036,23,0.53609,17,0.15001,16,-0.0187,17,0.08325
ENSG00000162512,SDC3,98,0.65076,89,0.48374,56,-0.2405,54,-0.4035,89,0.54595,50,-0.5018
ENSG00000134644,PUM1,101,-0.7825,157,-0.1017,165,-0.0324,209,0.50034,162,-0.0607,144,-0.2842
ENSG00000121766,ZCCHC17,161,0.23461,105,-0.4304,132,-0.0829,192,0.76469,106,-0.4584,97,-0.6544
ENSG00000121769,FABP3,30,-1.2159,31,-1.1545,29,-1.2451,65,-0.0389,57,-0.2569,111,1.09218
ENSG00000162517,PEF1,35,-1.0218,26,-1.4797,54,-0.3876,57,-0.3826,67,-0.0458,117,1.12581
ENSG00000084636,COL16A1,48,1.49904,16,-0.3012,4,-2.2594,15,-0.4994,23,0.26004,20,0.02859
ENSG00000121753,ADGRB2,46,-1.7727,70,-1.1453,119,-0.3513,171,0.30193,158,0.10332,185,0.42994
ENSG00000184007,PTP4A2,1083,2.15097,324,0.05287,603,1.06903,227,-0.6483,206,-0.7014,144,-1.3640
ENSG00000121774,KHDRBS1,155,0.15386,173,0.33694,76,-0.9316,162,0.31790,124,-0.2036,128,-0.1767
ENSG00000025800,KPNA6,91,-0.0129,81,-0.1979,74,-0.3471,116,0.52306,81,-0.2218,78,-0.3028
ENSG00000084652,TXLNA,40,1.02000,24,0.22421,24,0.21102,15,-0.6815,18,-0.2427,23,0.15644
ENSG00000160050,CCDC28B,12,-0.4427,11,-0.6014,10,-0.6696,13,-0.4605,28,1.00188,18,0.18079
ENSG00000084623,EIF3I,65,-0.5953,71,-0.4434,61,-0.6874,86,-0.2143,86,-0.1754,143,0.85122
ENSG00000175130,MARCKSL1,540,2.83144,111,-0.0479,124,0.13345,43,-1.7736,128,0.19742,55,-1.2690
ENSG00000160058,BSDC1,50,0.22525,34,-0.4051,44,0.02605,43,-0.0531,45,0.06867,45,0.04880
ENSG00000160062,ZBTB8A,23,0.29962,19,0.03495,27,0.58709,24,0.56626,19,0.04463,7,-1.6238
ENSG00000176261,ZBTB8OS,17,-1.4288,60,0.50489,32,-0.4892,39,-0.2287,54,0.38977,50,0.26186
ENSG00000162521,RBBP4,127,0.26728,114,0.08909,60,-0.8956,125,0.33977,93,-0.2447,101,-0.1206
ENSG00000162522,KIAA1522,4,-1.8214,19,0.24453,10,-0.7237,14,-0.3318,19,0.30617,22,0.64697
ENSG00000134684,YARS,19,-2.4324,78,-0.3015,46,-1.1147,97,0.03578,88,-0.1346,146,0.88774
ENSG00000160097,FNDC5,5,-2.6198,29,-0.1458,5,-2.6983,27,-0.3459,47,0.70199,47,0.80393
ENSG00000121905,HPCA,33,-2.0602,72,-0.9030,124,-0.0703,138,0.13967,130,0.00163,172,0.56728
ENSG00000121900,TMEM54,11,-1.4619,30,0.02819,29,-0.0494,17,-1.0253,55,1.15634,35,0.34141
ENSG00000004455,AK2,50,0.78129,32,0.08104,8,-1.9350,24,-0.4864,39,0.40938,35,0.22968
ENSG00000142920,AZIN2,6,-1.5141,22,0.34169,9,-0.9476,17,-0.0861,15,-0.2578,26,0.73826
ENSG00000160094,ZNF362,10,-0.8518,26,0.68759,3,-2.3678,15,-0.1904,15,-0.1855,24,0.70951
ENSG00000134686,PHC2,42,0.23361,23,-0.6995,22,-0.7606,24,-0.8503,48,0.49221,53,0.77255
ENSG00000163866,SMIM12,16,-1.6132,19,-1.3842,24,-1.0769,47,-0.0710,53,0.16342,76,0.94384
ENSG00000116544,DLGAP3,12,-1.3359,39,0.49360,36,0.37375,19,-0.7471,53,1.14676,24,-0.3269
ENSG00000163867,ZMYM6,26,0.11818,28,0.24619,10,-1.3154,26,0.18668,22,-0.1600,25,0.09921
ENSG00000116560,SFPQ,479,1.22486,292,0.39848,120,-0.9795,274,0.42449,129,-0.9395,161,-0.6256
ENSG00000146463,ZMYM4,92,0.15605,140,0.83012,62,-0.4564,93,0.23059,62,-0.4983,71,-0.3006
ENSG00000142687,KIAA0319L,41,-0.4694,69,0.34643,25,-1.2237,60,0.17003,60,0.13912,57,0.05185
ENSG00000020129,NCDN,65,-2.7942,92,-2.3014,161,-1.4766,477,0.26435,354,-0.3087,718,1.13754
ENSG00000126067,PSMB2,59,-0.5133,42,-1.0274,67,-0.3268,92,0.24608,76,-0.1401,100,0.38989
ENSG00000142686,C1orf216,21,-2.0774,30,-1.5373,49,-0.8156,85,0.05347,81,-0.0482,132,0.97432
ENSG00000134698,AGO4,9,-0.4634,17,0.51164,1,-3.1380,13,0.08438,14,0.20108,14,0.22097
ENSG00000092847,AGO1,50,0.16315,38,-0.2717,70,0.71846,49,0.19093,45,-0.0152,32,-0.6135
ENSG00000126070,AGO3,100,1.12760,81,0.77179,28,-0.8898,55,0.23268,31,-0.7998,36,-0.6023
ENSG00000116863,ADPRHL2,14,-0.0588,2,-2.9023,5,-1.5114,15,0.03710,17,0.26660,21,0.65243
ENSG00000054116,TRAPPC3,28,-0.7160,23,-0.9799,12,-1.8861,41,-0.1754,45,0.02639,72,1.02038
ENSG00000116871,MAP7D1,193,0.35404,96,-0.7296,122,-0.3628,135,-0.2831,159,0.04659,195,0.46738
ENSG00000054118,THRAP3,269,0.76873,223,0.45889,150,-0.1635,219,0.63943,86,-1.0943,104,-0.8479
ENSG00000181817,LSM10,9,-1.9181,21,-0.6829,40,0.34864,26,-0.4314,41,0.43994,43,0.59756
ENSG00000116885,OSCP1,2,-2.9968,10,-0.6089,6,-1.2498,17,0.27124,10,-0.6964,25,1.05672
ENSG00000116898,MRPS15,22,-1.3417,22,-1.2889,36,-0.5652,44,-0.3788,60,0.23455,85,1.02044
ENSG00000163873,GRIK3,3,-2.3155,5,-1.9673,23,0.38162,30,1.24912,12,-0.6675,14,-0.4281
ENSG00000163875,MEAF6,50,-1.4426,73,-0.8549,103,-0.3378,142,0.21838,137,0.11081,158,0.41233
ENSG00000163877,SNIP1,6,-1.4960,21,0.22108,29,0.77035,21,0.30788,23,0.39046,11,-0.9323
ENSG00000134697,GNL2,43,0.46284,27,-0.2388,24,-0.4178,40,0.50674,13,-1.4402,35,0.14578
