Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000116285,ERRFI1,8,-1.3752,13,-0.7697,15,-0.5425,10,-1.1407,30,0.50427,18,-0.3104,30,0.60519,23,0.12958,31,0.66174
ENSG00000162426,SLC45A1,4,-2.6940,5,-2.4095,13,-1.0812,18,-0.5510,39,0.58987,25,-0.0715,35,0.48903,39,0.59638,40,0.73260
ENSG00000142599,RERE,201,0.53456,156,0.13049,105,-0.4931,162,0.18379,157,0.13603,147,0.03254,119,-0.3280,173,0.29559,121,-0.2920
ENSG00000074800,ENO1,197,-1.2958,123,-1.9970,460,-0.0015,789,0.87450,533,0.23326,353,-0.4469,539,0.27841,527,0.21523,555,0.32859
ENSG00000171612,SLC25A33,14,-0.6999,9,-1.3924,31,0.51528,73,2.02729,16,-0.4651,13,-0.8812,7,-1.7647,36,0.77355,24,0.11804
ENSG00000171603,CLSTN1,113,-2.8152,484,-0.6581,420,-0.8706,381,-1.0190,587,-0.3599,1034,0.60084,689,-0.1228,1155,0.71741,1148,0.80081
ENSG00000178585,CTNNBIP1,15,-1.0305,34,0.15708,44,0.59305,23,-0.4072,65,1.22702,13,-1.3871,42,0.55806,9,-1.8115,33,0.14787
ENSG00000162441,LZIC,81,0.86694,57,0.29518,64,0.48260,35,-0.4509,48,0.02515,40,-0.2834,55,0.25391,44,-0.1333,25,-1.0614
ENSG00000130939,UBE4B,53,0.33190,41,-0.0706,32,-0.4395,36,-0.2597,27,-0.7260,63,0.69292,35,-0.3152,24,-0.8728,52,0.34053
ENSG00000054523,KIF1B,553,0.39594,673,0.71820,275,-0.6931,466,0.12254,321,-0.4566,508,0.28730,370,-0.2599,268,-0.7350,431,-0.0011
ENSG00000142657,PGD,22,-1.3920,32,-0.8610,36,-0.6707,30,-0.9725,89,0.74004,72,0.44564,58,0.05404,52,-0.1349,77,0.54813
ENSG00000241563,CORT,21,-0.8594,7,-2.4334,27,-0.4668,2,-3.9771,196,3.08259,13,-1.6576,30,-0.3746,5,-2.8270,51,0.55665
ENSG00000160049,DFFA,96,0.87089,40,-0.5114,80,0.56549,92,0.79840,33,-0.8271,58,0.05423,46,-0.3310,36,-0.6673,44,-0.4158
ENSG00000142655,PEX14,10,-0.9545,12,-0.6288,14,-0.4109,11,-0.8282,41,1.25624,14,-0.5480,15,-0.3450,30,0.73072,25,0.50514
ENSG00000120948,TARDBP,107,0.47465,66,-0.2947,59,-0.4619,56,-0.5330,73,-0.1207,85,0.11009,61,-0.4311,126,0.74488,87,0.15121
ENSG00000116649,SRM,23,-1.5036,35,-0.8830,77,0.32446,38,-0.7525,92,0.61738,37,-0.8777,70,0.17821,106,0.84614,84,0.52107
ENSG00000171824,EXOSC10,43,0.29850,19,-0.9735,30,-0.2464,57,0.75300,23,-0.6688,58,0.90935,21,-0.8430,20,-0.8725,38,0.09869
ENSG00000198793,MTOR,12,-1.7097,18,-1.1332,45,0.26491,39,0.03195,52,0.48462,41,0.12573,37,-0.0739,34,-0.1952,52,0.53304
ENSG00000116661,FBXO2,104,-0.9647,107,-0.9343,326,0.82071,361,0.99124,205,0.06945,82,-1.4018,177,-0.1784,314,0.75760,209,0.11280
ENSG00000132879,FBXO44,20,-2.3366,71,-0.5034,80,-0.3050,74,-0.4260,99,0.01493,89,-0.1671,84,-0.2688,205,1.21490,140,0.64472
ENSG00000177000,MTHFR,25,0.19403,30,0.44091,17,-0.4088,13,-0.7820,37,0.79933,18,-0.3746,11,-1.0743,40,0.93718,24,0.09889
ENSG00000011021,CLCN6,25,-1.5677,59,-0.2821,72,0.03175,67,-0.0851,77,0.12366,62,-0.2151,66,-0.1220,77,0.11942,109,0.77143
ENSG00000116685,KIAA2013,40,0.50459,11,-1.4185,23,-0.3798,40,0.52019,29,-0.0239,33,0.24095,21,-0.5194,44,0.64575,26,-0.1579
ENSG00000083444,PLOD1,11,-1.0756,11,-1.0122,30,0.51330,12,-0.8389,80,2.24340,10,-1.1649,11,-1.0238,25,0.23582,24,0.16569
ENSG00000116688,MFN2,61,-1.0104,95,-0.3511,87,-0.4705,62,-0.9820,100,-0.2638,118,-0.0054,155,0.47247,166,0.53865,153,0.44785
ENSG00000048707,VPS13D,52,-0.6871,67,-0.3174,33,-1.3648,73,-0.1724,104,0.37888,123,0.73808,82,0.00187,59,-0.5116,92,0.20328
ENSG00000116731,PRDM2,167,-0.4482,343,0.69698,102,-1.1929,116,-1.0034,116,-0.9996,409,1.14162,183,-0.3279,225,0.01842,208,-0.1130
ENSG00000189337,KAZN,93,0.58643,77,0.28374,67,0.06774,47,-0.4762,81,0.37236,71,0.18566,38,-0.8656,24,-1.4716,81,0.41628
ENSG00000142634,EFHD2,34,-1.5310,110,0.25186,75,-0.3434,32,-1.6475,55,-0.8312,142,0.73874,187,1.30588,10,-3.3087,78,-0.3214
ENSG00000116138,DNAJC16,14,-1.3532,23,-0.5997,22,-0.6646,19,-0.9176,25,-0.4796,58,0.98140,37,0.11539,19,-0.9114,49,0.66231
ENSG00000197312,DDI2,35,-0.0647,40,0.13872,20,-0.9032,26,-0.5328,68,0.99938,49,0.49342,34,-0.1150,18,-1.0599,34,-0.1533
ENSG00000116786,PLEKHM2,81,-0.6126,218,0.95495,154,0.38285,129,0.09581,103,-0.2532,61,-1.1340,160,0.49461,182,0.64706,73,-0.8370
ENSG00000065526,SPEN,390,1.43902,219,0.45718,84,-1.0232,170,0.05896,146,-0.1821,251,0.77215,64,-1.5117,74,-1.2175,128,-0.4201
ENSG00000116809,ZBTB17,18,-0.1568,22,0.12589,23,0.23644,2,-3.0896,48,1.41402,13,-0.7384,15,-0.4828,31,0.70732,21,0.04001
ENSG00000037637,FBXO42,22,0.03183,13,-0.7512,3,-2.8365,22,0.09030,41,1.04124,26,0.36184,13,-0.7644,17,-0.3293,29,0.56269
ENSG00000055070,SZRD1,48,0.96325,30,0.20491,48,0.95982,31,0.28879,44,0.81576,8,-1.7790,15,-0.9391,35,0.45202,17,-0.7495
ENSG00000159363,ATP13A2,24,-2.4132,99,-0.3216,80,-0.6451,65,-0.9554,108,-0.1828,108,-0.2065,133,0.15788,162,0.45557,219,1.10334
ENSG00000117118,SDHB,18,-1.6434,21,-1.3889,47,-0.2132,39,-0.4766,61,0.21842,41,-0.4410,69,0.44901,72,0.47038,82,0.76566
ENSG00000117115,PADI2,269,3.11380,13,-2.0194,74,0.60817,124,1.49579,15,-1.7931,13,-2.1708,18,-1.6173,27,-0.9525,11,-2.3497
ENSG00000179051,RCC2,10,-1.0401,16,-0.4010,15,-0.5195,9,-1.1688,23,0.12920,13,-0.8209,25,0.33334,36,0.85130,33,0.81628
ENSG00000117154,IGSF21,10,-2.8022,57,-0.3051,43,-0.7523,29,-1.3219,27,-1.4596,68,-0.0576,134,1.22296,134,1.05869,68,-0.0528
ENSG00000159423,ALDH4A1,23,0.18595,7,-1.5490,27,0.43206,47,1.35731,12,-0.7432,8,-1.3773,33,0.88211,37,0.95387,4,-2.4242
ENSG00000127481,UBR4,81,0.82645,46,-0.0886,19,-1.4063,64,0.45786,51,0.09562,92,1.20377,17,-1.6335,13,-1.9600,44,-0.1700
ENSG00000127463,EMC1,18,-0.9531,27,-0.3309,39,0.24106,10,-1.7270,29,-0.2201,49,0.70195,20,-0.8315,48,0.58257,45,0.53995
ENSG00000053372,MRTO4,18,-1.2904,52,0.31811,42,-0.0244,40,-0.0895,21,-1.1000,49,0.22456,40,-0.1332,86,1.13814,39,-0.1744
ENSG00000053371,AKR7A2,19,-0.7182,11,-1.5369,43,0.59261,46,0.67318,54,0.96583,27,-0.1534,27,-0.1521,25,-0.2649,26,-0.2493
ENSG00000077549,CAPZB,93,-0.9240,84,-1.0720,145,-0.2546,114,-0.6118,216,0.38029,178,0.08070,196,0.24313,155,-0.1508,244,0.64629
ENSG00000173436,MICOS10,230,-0.1857,387,0.64548,334,0.40421,234,-0.1570,148,-0.8614,137,-1.0470,361,0.59807,224,-0.2298,278,0.11946
ENSG00000158747,NBL1,45,-1.9684,120,-0.5000,160,-0.0572,121,-0.4879,277,0.83360,123,-0.5041,160,-0.0607,284,0.87162,208,0.40302
ENSG00000169914,OTUD3,7,-1.7545,24,0.08344,21,-0.1236,12,-0.9933,38,0.80693,26,0.24281,28,0.37461,11,-1.0911,26,0.22808
ENSG00000162545,CAMK2N1,1159,-0.4784,2267,0.58209,2236,0.55956,2472,0.72455,799,-1.0429,983,-0.7872,1388,-0.2177,3232,1.17942,1009,-0.7450
ENSG00000090432,MUL1,6,-1.6858,8,-1.3126,5,-1.8561,12,-0.6772,26,0.42785,27,0.54703,21,0.16334,23,0.28760,28,0.66647
ENSG00000158828,PINK1,143,-1.5631,322,-0.3409,424,0.08773,294,-0.4797,345,-0.2355,348,-0.2397,653,0.89799,348,-0.2215,466,0.26287
ENSG00000244038,DDOST,10,-1.5191,16,-0.8161,17,-0.6935,27,-0.0308,35,0.39618,28,0.05718,24,-0.2460,32,0.24338,44,0.84763
ENSG00000117245,KIF17,3,-2.9823,24,0.09467,15,-0.5843,7,-1.6561,17,-0.3832,34,0.75684,31,0.57024,20,-0.1620,26,0.25869
ENSG00000189410,SH2D5,0,-5.7135,37,-0.3682,33,-0.5437,24,-1.0380,44,-0.0976,44,-0.1360,42,-0.1854,136,1.77428,60,0.43064
ENSG00000127483,HP1BP3,428,0.76906,349,0.43161,156,-0.8208,248,-0.1092,274,0.04414,367,0.57846,151,-0.9329,159,-0.7887,270,0.02895
ENSG00000075151,EIF4G3,286,0.17075,244,-0.0768,102,-1.4068,157,-0.7588,235,-0.1390,517,1.33471,183,-0.5687,175,-0.5966,241,-0.1073
ENSG00000117298,ECE1,27,0.21147,8,-1.5717,26,0.17472,45,1.04391,91,2.37465,6,-2.1127,11,-1.1840,10,-1.2344,20,-0.2794
ENSG00000076864,RAP1GAP,21,-2.7224,115,-0.2114,90,-0.5849,57,-1.2624,107,-0.3272,171,0.46280,199,0.75194,124,-0.0895,163,0.37234
ENSG00000090686,USP48,163,1.05714,70,-0.3086,42,-1.0814,99,0.24262,62,-0.4788,148,1.01965,57,-0.6646,52,-0.7617,62,-0.5310
ENSG00000070831,CDC42,91,-0.8996,117,-0.5172,118,-0.5155,76,-1.1714,277,0.84517,174,0.09939,168,0.04552,151,-0.1266,227,0.58210
ENSG00000004487,KDM1A,25,-1.2639,26,-1.2037,40,-0.5774,36,-0.7346,57,-0.0398,83,0.63718,58,-0.0110,94,0.77456,69,0.30047
ENSG00000169641,LUZP1,51,-1.6820,188,0.30143,62,-1.3947,89,-0.8581,175,0.18219,293,1.18597,142,-0.1556,74,-1.1454,180,0.25434
ENSG00000125944,HNRNPR,214,0.64184,149,0.06129,86,-0.7769,132,-0.1271,136,-0.0836,174,0.34570,109,-0.4535,129,-0.1638,153,0.11227
ENSG00000142676,RPL11,850,1.10467,363,-0.2760,748,0.88766,465,0.11277,492,0.20108,226,-1.0669,489,0.21319,365,-0.2673,241,-0.9647
ENSG00000011007,ELOA,34,0.31312,34,0.30332,17,-0.7674,23,-0.2869,57,1.16644,24,-0.2715,23,-0.2743,24,-0.2192,25,-0.1618
ENSG00000057757,PITHD1,58,-1.4819,157,0.03722,127,-0.2993,85,-0.8997,87,-0.8663,142,-0.1279,192,0.39649,168,0.14228,245,0.85840
ENSG00000011009,LYPLA2,7,-1.8020,35,0.52107,12,-1.1067,16,-0.7065,15,-0.7347,19,-0.4363,15,-0.8078,45,0.96643,50,1.31312
ENSG00000189266,PNRC2,38,-0.5495,55,0.00280,30,-0.9276,58,0.09205,68,0.33845,61,0.19613,67,0.35494,46,-0.2630,53,-0.0653
ENSG00000188529,SRSF10,104,0.65455,57,-0.2821,31,-1.2033,55,-0.3435,84,0.30645,94,0.54243,52,-0.4713,62,-0.1688,72,0.06364
ENSG00000001461,NIPAL3,251,1.05055,119,-0.1570,67,-1.0389,92,-0.5516,85,-0.6791,156,0.29677,156,0.29295,60,-1.2092,142,0.13228
ENSG00000133226,SRRM1,921,2.26623,210,-0.2833,114,-1.2070,186,-0.4739,307,0.31091,305,0.33756,146,-0.9022,84,-1.6726,150,-0.8570
ENSG00000169504,CLIC4,153,2.72264,11,-1.6765,52,0.67974,46,0.50071,70,1.20134,5,-2.8335,22,-0.7197,12,-1.5556,3,-3.4679
ENSG00000117614,SYF2,186,0.58774,145,0.18691,86,-0.6303,177,0.50960,211,0.79923,142,0.16718,90,-0.5959,83,-0.6769,97,-0.4813
ENSG00000117616,RSRP1,138,0.78473,22,-2.0129,29,-1.6048,63,-0.4409,142,0.83288,173,1.36544,27,-1.7886,84,-0.0112,68,-0.3716
ENSG00000183726,TMEM50A,40,-0.6657,35,-0.8610,49,-0.3606,56,-0.1422,69,0.17459,70,0.22423,69,0.19044,94,0.66451,60,-0.0521
ENSG00000204178,MACO1,91,0.57208,62,-0.0275,41,-0.6503,46,-0.4796,43,-0.6071,102,0.86043,39,-0.8183,45,-0.5319,76,0.31626
ENSG00000117643,MAN1C1,10,-1.9688,24,-0.6711,28,-0.3986,42,0.21870,35,-0.0918,39,0.08295,20,-0.9592,118,1.99719,33,-0.1787
ENSG00000162430,SELENON,23,-0.2075,15,-0.8101,49,1.01508,45,0.86280,30,0.24445,18,-0.6169,14,-0.9433,57,1.26966,14,-0.9456
ENSG00000117640,MTFR1L,37,-0.7473,40,-0.6513,58,-0.0686,63,0.06630,37,-0.7458,73,0.32612,64,0.10037,83,0.50109,67,0.18070
ENSG00000117632,STMN1,597,-0.9881,1206,0.09474,576,-1.0404,526,-1.1786,774,-0.5926,1092,-0.0672,1940,0.99320,1022,-0.1646,1429,0.40900
ENSG00000158008,EXTL1,5,-3.1256,30,-0.5968,50,0.14974,32,-0.5359,30,-0.6011,51,0.22521,54,0.32450,91,1.15573,45,0.01001
ENSG00000142684,ZNF593,4,-2.9404,32,-0.0954,35,0.06856,21,-0.7180,34,0.03708,20,-0.8265,38,0.20795,40,0.28945,60,1.07299
ENSG00000142669,SH3BGRL3,75,-0.8765,120,-0.1513,139,0.08454,111,-0.2659,194,0.61393,75,-0.9386,224,0.97302,105,-0.3637,122,-0.1310
ENSG00000158062,UBXN11,1,-4.0163,27,0.26037,26,0.20548,30,0.40627,21,-0.1319,12,-1.0313,36,0.80195,46,1.12800,14,-0.7883
ENSG00000117682,DHDDS,6,-1.8397,12,-0.9301,21,-0.1083,10,-1.2221,44,1.09656,21,-0.0756,26,0.22613,18,-0.3036,32,0.61073
ENSG00000198830,HMGN2,207,0.58748,117,-0.3170,171,0.28119,274,1.05652,240,0.83419,86,-0.8430,105,-0.5281,125,-0.2101,102,-0.5680
ENSG00000117713,ARID1A,74,0.05288,76,0.09051,63,-0.1848,107,0.64594,50,-0.5397,99,0.58123,61,-0.2619,50,-0.5610,59,-0.3354
ENSG00000204160,ZDHHC18,6,-1.7053,23,0.19527,17,-0.3221,12,-0.8308,21,0.06000,27,0.46240,24,0.29168,16,-0.3740,24,0.29815
ENSG00000142751,GPN2,19,0.11308,14,-0.4094,13,-0.4971,24,0.49199,14,-0.4005,23,0.47851,14,-0.4348,20,0.19121,18,0.00621
ENSG00000090273,NUDC,187,-0.3947,279,0.23182,214,-0.1882,185,-0.4076,233,-0.0528,142,-0.8736,318,0.49486,338,0.54191,268,0.18356
ENSG00000253368,TRNP1,7,-3.0029,43,-0.3109,40,-0.4029,35,-0.6093,78,0.63201,39,-0.4699,73,0.60433,62,0.26327,69,0.48526
ENSG00000090020,SLC9A1,0,-8.6523,25,0.45662,13,-0.6052,13,-0.6083,9,-1.0506,17,-0.1817,8,-1.3264,33,0.87884,42,1.53655
ENSG00000142784,WDTC1,21,-0.6265,36,0.23488,36,0.20842,28,-0.1610,31,0.01000,25,-0.3789,24,-0.4320,73,1.38755,26,-0.3079
ENSG00000186501,TMEM222,24,-0.8686,28,-0.6341,69,0.76532,42,-0.0176,48,0.18281,35,-0.3489,31,-0.5485,75,0.89986,48,0.19621
ENSG00000158195,WASF2,178,2.06201,40,-0.4430,36,-0.5858,98,0.98417,136,1.55588,29,-1.0030,21,-1.5176,27,-1.0481,14,-2.1339
ENSG00000126705,AHDC1,30,-0.7795,48,-0.0566,27,-0.9504,27,-0.9526,53,0.09254,82,0.89804,42,-0.2966,61,0.32038,53,0.11155
ENSG00000126709,IFI6,50,-0.9854,43,-1.1914,93,-0.0418,110,0.22154,212,1.31691,91,-0.0764,82,-0.2521,47,-1.0630,121,0.42139
ENSG00000009780,FAM76A,28,0.28969,26,0.17419,11,-1.0774,25,0.10965,35,0.65302,30,0.44620,17,-0.4791,19,-0.2896,20,-0.2681
ENSG00000117758,STX12,71,-0.5064,70,-0.5382,80,-0.3395,63,-0.7061,122,0.32630,110,0.18267,122,0.37045,71,-0.5072,124,0.39527
ENSG00000117751,PPP1R8,25,-0.2016,22,-0.3738,27,-0.1022,31,0.13858,25,-0.2160,20,-0.5691,36,0.41029,27,-0.0598,36,0.41538
ENSG00000117748,RPA2,15,-1.4618,22,-0.9618,35,-0.2456,32,-0.3574,25,-0.7620,30,-0.4861,68,0.93832,48,0.27399,57,0.61157
ENSG00000126698,DNAJC8,287,0.50361,232,0.16206,158,-0.4348,171,-0.3127,142,-0.5982,264,0.41048,204,-0.0469,196,-0.1029,195,-0.1203
ENSG00000130770,ATP5IF1,133,-1.7193,354,-0.2405,439,0.09553,141,-1.6315,369,-0.1785,267,-0.7315,807,1.26920,420,0.02455,479,0.25691
ENSG00000204138,PHACTR4,108,1.96536,22,-0.6850,16,-1.1222,46,0.47433,78,1.36368,25,-0.5043,7,-2.4039,26,-0.3894,24,-0.5830
ENSG00000198492,YTHDF2,44,-0.9083,67,-0.2606,46,-0.8440,47,-0.8153,29,-1.5135,121,0.75091,102,0.43757,79,-0.0249,100,0.39400
ENSG00000159023,EPB41,13,-0.8300,30,0.45174,8,-1.5619,15,-0.5778,30,0.44991,46,1.35748,17,-0.4452,6,-1.8363,20,-0.1660
ENSG00000116350,SRSF4,110,0.41131,96,0.18326,68,-0.3456,96,0.18092,81,-0.0776,117,0.56122,54,-0.7642,55,-0.6790,88,0.05606
ENSG00000116353,MECR,2,-3.5787,41,0.44175,21,-0.5691,12,-1.4720,42,0.47220,24,-0.4267,54,1.01902,47,0.66351,25,-0.3297
ENSG00000060656,PTPRU,2,-2.9546,8,-1.1648,17,-0.1033,13,-0.5729,5,-1.9360,24,0.44678,45,1.74686,17,-0.1488,11,-0.8643
