Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000158109,TPRG1L,198,0.64962,113,-0.4609,184,0.30499,188,0.38151,25,-2.7011,73,-1.1357,111,-0.4906
ENSG00000130764,LRRC47,106,0.92469,52,-0.5576,57,-0.4066,69,-0.1195,40,-0.9585,50,-0.5945,53,-0.5234
ENSG00000116198,CEP104,33,-0.4328,18,-1.2012,26,-0.6935,16,-1.4963,78,1.06909,99,1.49140,62,0.66395
ENSG00000198912,C1orf174,23,0.94750,14,-0.1708,16,-0.0006,13,-0.2958,11,-0.5285,5,-1.6009,9,-0.8301
ENSG00000196581,AJAP1,38,0.05066,19,-1.0302,24,-0.6787,42,0.20510,15,-1.4033,42,0.20871,74,1.12227
ENSG00000069424,KCNAB2,211,0.75971,95,-0.7589,261,0.84651,174,0.20343,10,-4.0482,59,-1.4894,96,-0.7558
ENSG00000116254,CHD5,288,0.47450,148,-0.7285,288,0.31280,126,-1.0539,18,-3.8278,302,0.38939,445,1.03969
ENSG00000116251,RPL22,312,-0.9555,619,0.34656,632,0.38123,759,0.78171,749,0.66064,495,-0.0114,226,-1.2195
ENSG00000116237,ICMT,41,0.33391,8,-2.2744,59,0.80072,30,-0.3065,23,-0.6484,33,-0.1371,46,0.40700
ENSG00000097021,ACOT7,200,1.24510,35,-1.9438,93,-0.4813,160,0.42924,22,-2.6171,27,-2.2918,92,-0.4967
ENSG00000215788,TNFRSF25,21,0.06314,5,-2.1207,10,-1.0673,10,-1.0889,0,-5.4637,12,-0.8008,92,2.77905
ENSG00000171680,PLEKHG5,21,-0.1641,9,-1.4091,21,-0.0688,41,1.15622,0,-4.6454,24,0.11479,26,0.24608
ENSG00000162408,NOL9,35,0.10096,32,-0.0349,49,0.63212,26,-0.4412,25,-0.4239,29,-0.2042,39,0.26120
ENSG00000162413,KLHL21,29,-0.0646,49,0.77392,25,-0.2912,32,0.10341,24,-0.3427,29,-0.0569,24,-0.3750
ENSG00000041988,THAP3,21,0.63460,5,-1.6403,12,-0.4864,28,0.98558,13,-0.3507,1,-3.2012,7,-1.1486
ENSG00000007923,DNAJC11,47,0.35427,50,0.34072,39,-0.0624,24,-0.8937,14,-1.5512,44,0.12274,63,0.70376
ENSG00000171735,CAMTA1,536,0.75186,187,-1.1621,474,0.27954,344,-0.2525,161,-1.3862,278,-0.5597,442,0.16807
ENSG00000049245,VAMP3,19,-1.5160,67,0.77907,15,-1.5321,33,-0.3846,149,2.26300,33,-0.3747,51,0.33788
ENSG00000049246,PER3,40,-0.1603,51,0.27516,15,-1.5357,42,-0.0372,44,0.03545,31,-0.4956,87,1.16520
ENSG00000116288,PARK7,249,-0.1247,206,-0.3861,239,-0.1534,567,1.53114,145,-0.9184,68,-2.0499,109,-1.3542
ENSG00000116285,ERRFI1,42,1.01621,12,-1.2821,18,-0.6658,24,-0.2669,8,-1.8479,7,-2.1231,51,0.92660
ENSG00000162426,SLC45A1,35,1.17766,7,-1.6914,21,-0.1152,26,0.24652,6,-1.8751,13,-0.7606,7,-1.6572
ENSG00000142599,RERE,132,-0.1969,122,-0.2641,138,-0.0722,83,-0.9284,161,0.17366,354,1.51741,119,-0.2999
ENSG00000074800,ENO1,464,-0.0785,861,0.95848,339,-0.5467,707,0.71539,282,-0.8275,152,-1.7525,384,-0.3535
ENSG00000171612,SLC25A33,23,-0.6731,43,0.46386,21,-0.6312,79,1.84738,18,-0.8888,5,-2.6855,15,-1.1384
ENSG00000171603,CLSTN1,957,1.20347,430,-0.5519,471,-0.4097,490,-0.3849,122,-2.4302,350,-0.8679,554,-0.1565
ENSG00000178585,CTNNBIP1,33,0.26483,37,0.38181,35,0.29665,27,-0.1326,20,-0.5543,30,0.01684,14,-1.1170
ENSG00000162441,LZIC,58,0.10693,46,-0.2606,48,-0.2223,46,-0.2930,113,1.19201,42,-0.4043,32,-0.8288
ENSG00000130939,UBE4B,53,0.44387,25,-0.8394,29,-0.6311,18,-1.4232,46,0.09722,51,0.24423,82,1.03457
ENSG00000054523,KIF1B,414,0.02248,440,0.11215,424,0.05635,183,-1.3296,511,0.35384,593,0.59985,518,0.37588
ENSG00000142657,PGD,71,0.78357,51,-0.0279,35,-0.6194,50,-0.0768,39,-0.4363,14,-1.9983,49,-0.0801
ENSG00000241563,CORT,36,0.66464,10,-1.5074,34,0.34200,45,0.91934,2,-3.7551,15,-0.9062,7,-2.0042
ENSG00000160049,DFFA,39,-0.8279,78,0.45800,63,0.12076,35,-0.8617,113,1.08426,93,0.74710,71,0.30589
ENSG00000142655,PEX14,25,1.02324,12,-0.4643,15,-0.1259,19,0.24465,7,-1.2831,3,-2.6063,8,-1.0168
ENSG00000120948,TARDBP,92,0.05729,84,-0.1044,69,-0.4193,66,-0.5350,110,0.31797,134,0.64762,92,0.03947
ENSG00000271895,AL109811.2,18,0.10923,22,0.40902,14,-0.2774,12,-0.6284,14,-0.3067,9,-0.9659,33,1.09537
ENSG00000116649,SRM,74,0.31542,56,-0.2395,54,-0.2885,97,0.74350,37,-0.8625,36,-0.9074,40,-0.7328
ENSG00000171824,EXOSC10,37,-0.1514,30,-0.4261,7,-2.5824,33,-0.3411,51,0.39766,45,0.19231,91,1.37906
ENSG00000198793,MTOR,56,0.91624,33,-0.2602,25,-0.7139,42,0.11013,35,-0.1870,7,-2.4963,24,-0.7807
ENSG00000120942,UBIAD1,13,-0.1749,11,-0.3514,11,-0.4158,10,-0.5520,26,0.97248,11,-0.4291,25,0.89420
ENSG00000116661,FBXO2,138,-0.1988,232,0.70064,133,-0.1924,251,0.96564,92,-0.7701,93,-0.7475,55,-1.5465
ENSG00000132879,FBXO44,105,0.59979,61,-0.4494,72,-0.1899,83,0.02508,22,-1.9455,55,-0.6214,105,0.39643
ENSG00000116670,MAD2L2,14,-0.0980,15,0.09330,13,-0.1260,18,0.39343,29,1.16905,7,-0.9910,2,-2.7984
ENSG00000177000,MTHFR,15,-0.4923,26,0.47375,9,-1.1431,19,-0.0231,16,-0.2462,38,1.12193,23,0.30481
ENSG00000011021,CLCN6,93,0.66414,84,0.26039,105,0.62713,37,-1.0876,35,-1.1026,40,-0.8806,73,0.04238
ENSG00000116685,KIAA2013,36,-0.0105,40,0.17875,28,-0.3727,23,-0.7739,50,0.51883,34,-0.0877,55,0.68307
ENSG00000083444,PLOD1,19,-0.4806,55,1.39529,19,-0.3599,20,-0.2831,25,0.05011,7,-1.7793,40,0.84604
ENSG00000116688,MFN2,154,0.62407,80,-0.6247,139,0.25062,86,-0.5559,76,-0.7055,144,0.29790,86,-0.5027
ENSG00000116691,MIIP,8,-1.3132,31,1.15133,9,-0.8053,20,0.41419,15,-0.0512,17,0.18372,27,0.91548
ENSG00000048707,VPS13D,112,0.66641,84,-0.0259,87,0.01830,37,-1.3568,54,-0.7250,46,-0.9699,149,0.90315
ENSG00000162496,DHRS3,18,-1.4699,127,2.07466,14,-1.5410,41,0.12034,30,-0.3816,10,-1.9747,89,1.39938
ENSG00000116731,PRDM2,280,0.48869,159,-0.5629,223,-0.0404,124,-1.0149,163,-0.5235,343,0.65805,258,0.19271
ENSG00000189337,KAZN,78,0.31459,41,-0.7814,65,-0.0905,48,-0.5898,124,0.96523,59,-0.2307,55,-0.3403
ENSG00000142634,EFHD2,106,0.62145,79,-0.0647,146,0.94049,20,-2.2684,10,-3.1002,94,0.21526,113,0.50465
ENSG00000116138,DNAJC16,59,1.77144,12,-1.4367,35,0.12343,9,-1.9351,22,-0.5574,6,-2.5570,25,-0.4147
ENSG00000197312,DDI2,45,0.28886,14,-1.5539,29,-0.4811,25,-0.7400,32,-0.3247,83,1.22323,48,0.28284
ENSG00000116786,PLEKHM2,75,-0.6968,117,0.18013,232,1.34040,120,0.25703,43,-1.3354,155,0.64589,60,-0.8584
ENSG00000065526,SPEN,117,-0.8216,134,-0.4066,79,-1.2201,61,-1.7051,381,1.30616,471,1.70109,263,0.66604
ENSG00000116809,ZBTB17,12,-0.8046,15,-0.2795,17,-0.1074,27,0.73779,23,0.43698,29,0.78170,11,-0.7498
ENSG00000037637,FBXO42,38,0.63178,14,-1.1223,17,-0.8378,18,-0.8127,16,-0.9394,43,0.64738,44,0.65698
ENSG00000055070,SZRD1,22,-0.4001,27,0.03850,23,-0.2086,28,0.11674,43,0.78875,22,-0.3215,32,0.29795
ENSG00000157191,NECAP2,9,-0.7122,31,1.38594,6,-1.1279,11,-0.3263,22,0.78537,3,-2.0091,25,1.02053
ENSG00000159363,ATP13A2,165,1.58727,46,-1.1046,102,0.11440,60,-0.7655,18,-2.4782,59,-0.7388,37,-1.4141
ENSG00000117118,SDHB,65,0.19010,18,-1.8392,37,-0.7254,130,1.54496,40,-0.6047,4,-4.0124,39,-0.6498
ENSG00000117115,PADI2,15,-2.4569,87,0.57052,35,-0.8363,49,-0.3697,273,2.77597,92,0.67265,22,-1.5665
ENSG00000179051,RCC2,34,1.00788,15,-0.6229,20,-0.2122,22,-0.0793,10,-1.2764,16,-0.5804,12,-0.9640
ENSG00000074964,ARHGEF10L,13,-0.2937,37,1.48455,22,0.55824,14,-0.1612,6,-1.2810,6,-1.3080,15,0.00040
ENSG00000117154,IGSF21,86,0.84929,49,-0.3514,78,0.38517,66,0.10915,8,-2.9633,25,-1.3971,42,-0.5985
ENSG00000159423,ALDH4A1,9,-1.7560,67,1.86657,9,-1.3416,33,0.71653,20,-0.1815,11,-1.1302,39,0.90719
ENSG00000127481,UBR4,42,-0.3994,39,-0.4141,22,-1.2995,16,-1.8145,60,0.26800,119,1.42231,118,1.41589
ENSG00000127463,EMC1,50,0.73191,39,0.06676,26,-0.5349,39,0.08005,26,-0.5575,11,-1.7858,29,-0.3731
ENSG00000053372,MRTO4,49,0.64643,50,0.45539,28,-0.4923,37,-0.0374,15,-1.3508,14,-1.4492,37,-0.0184
ENSG00000053371,AKR7A2,26,-0.6244,42,0.31553,35,0.02221,58,0.96657,27,-0.3525,15,-1.2368,42,0.31434
ENSG00000077549,CAPZB,172,0.42063,128,-0.1853,119,-0.3048,173,0.32667,113,-0.3812,76,-0.9906,117,-0.3293
ENSG00000173436,MICOS10,254,-0.4050,389,0.38122,571,1.02509,496,0.90205,179,-0.8368,92,-1.8277,136,-1.2493
ENSG00000158747,NBL1,139,0.47355,146,0.39722,130,0.20511,100,-0.2290,16,-2.9262,91,-0.3540,117,0.03484
ENSG00000169914,OTUD3,29,0.96727,3,-2.5342,24,0.25543,12,-0.8187,7,-1.5103,8,-1.4025,37,0.99787
ENSG00000162545,CAMK2N1,773,-1.1274,1248,-0.1318,1887,0.53300,3166,1.72862,760,-0.8978,778,-0.8616,827,-0.7692
ENSG00000090432,MUL1,18,0.24539,16,0.00047,19,0.27990,14,-0.2748,15,-0.0697,7,-1.2081,20,0.35385
ENSG00000158828,PINK1,442,0.39733,349,-0.1083,568,0.67968,466,0.39751,147,-1.4317,200,-0.9671,151,-1.3889
ENSG00000244038,DDOST,26,0.03817,24,-0.1348,20,-0.3717,42,0.91115,13,-1.0675,4,-2.6916,34,0.44047
ENSG00000117245,KIF17,45,1.76317,14,-0.9032,34,0.48208,11,-1.2678,1,-4.5133,8,-1.7511,13,-0.9516
ENSG00000189410,SH2D5,28,0.12549,6,-2.2493,22,-0.2288,52,1.31695,1,-4.3979,14,-0.9035,30,0.22990
ENSG00000127483,HP1BP3,274,-0.0406,249,-0.1754,219,-0.3757,167,-0.8571,442,0.75115,374,0.47391,352,0.37333
ENSG00000075151,EIF4G3,313,0.80394,140,-0.7484,108,-1.1471,135,-0.8727,202,-0.1887,184,-0.3293,347,0.68620
ENSG00000117298,ECE1,12,-1.2350,64,1.76231,11,-1.0545,11,-1.1211,23,0.04221,32,0.53232,49,1.25817
ENSG00000076864,RAP1GAP,193,1.16932,53,-1.3169,135,0.12087,62,-1.1566,15,-3.0927,85,-0.5924,188,0.66075
ENSG00000090686,USP48,106,0.52463,44,-1.0301,34,-1.4068,52,-0.8420,138,0.78287,115,0.48025,81,-0.0824
ENSG00000070831,CDC42,203,0.59217,115,-0.5017,132,-0.2873,152,-0.0779,193,0.30766,51,-1.7151,143,-0.1645
ENSG00000173372,C1QA,9,-1.5329,3,-2.7034,11,-0.8107,73,3.21587,2,-3.2689,17,-0.1866,0,-6.2716
ENSG00000173369,C1QB,7,-2.1184,9,-1.4317,21,-0.1361,91,3.40587,2,-3.1408,11,-1.1328,2,-3.6744
ENSG00000004487,KDM1A,70,0.51606,47,-0.2685,28,-1.0564,49,-0.2405,26,-1.1473,44,-0.3808,96,0.87461
ENSG00000169641,LUZP1,215,1.32655,67,-1.0600,136,0.04470,68,-1.0951,44,-1.6898,69,-1.0141,146,0.15621
ENSG00000125944,HNRNPR,133,0.11606,97,-0.4232,82,-0.6811,114,-0.1864,206,0.78976,115,-0.1542,134,0.09033
ENSG00000117318,ID3,8,-1.6582,79,2.41998,5,-2.0513,18,-0.2161,47,1.39775,6,-1.7089,17,-0.2871
ENSG00000142676,RPL11,319,-0.9353,580,0.22141,678,0.47410,781,0.81424,785,0.71740,504,-0.0015,169,-1.6649
ENSG00000011007,ELOA,32,-0.0478,38,0.25066,11,-1.5742,26,-0.4068,37,0.20622,59,0.95247,34,0.08771
ENSG00000057757,PITHD1,185,0.72593,67,-1.1172,172,0.35234,122,-0.2236,94,-0.6056,88,-0.6960,117,-0.2586
ENSG00000011009,LYPLA2,17,0.01676,14,-0.3124,20,0.21837,16,-0.0816,5,-1.7403,17,-0.0414,31,0.96949
ENSG00000117305,HMGCL,15,-0.1200,17,0.14001,17,0.10332,24,0.78595,18,0.24206,10,-0.6477,2,-2.5885
ENSG00000189266,PNRC2,58,0.06786,53,-0.1135,50,-0.2054,69,0.36616,69,0.31406,12,-2.2486,67,0.26321
ENSG00000188529,SRSF10,77,0.19347,64,-0.1486,43,-0.7765,51,-0.5472,91,0.40618,33,-1.1621,137,1.08606
ENSG00000001461,NIPAL3,130,-0.3185,111,-0.4715,93,-0.7350,59,-1.5224,415,1.74142,297,1.13011,99,-0.6509
ENSG00000133226,SRRM1,183,-0.8259,93,-1.6486,93,-1.6424,115,-1.4260,605,1.32997,939,2.17853,317,0.23624
ENSG00000169504,CLIC4,25,-1.4514,58,0.11530,42,-0.3799,44,-0.3505,248,2.82203,29,-0.9670,28,-1.0280
ENSG00000117614,SYF2,119,-0.3302,159,0.21979,135,-0.0414,132,-0.0789,190,0.51018,205,0.63254,94,-0.5989
ENSG00000117616,RSRP1,53,-0.5984,69,-0.0492,22,-1.7467,56,-0.3974,104,0.62576,57,-0.3349,201,1.79373
ENSG00000183726,TMEM50A,78,0.21809,67,-0.0897,62,-0.2201,106,0.74240,89,0.35350,6,-3.6561,34,-1.1340
ENSG00000204178,MACO1,71,0.45086,23,-1.4254,30,-1.0587,28,-1.2108,81,0.49575,82,0.52626,93,0.73509
ENSG00000157978,LDLRAP1,4,-1.7400,2,-2.1802,9,-0.3891,1,-3.3530,56,2.92115,24,1.23017,15,0.43510
ENSG00000117643,MAN1C1,54,0.50860,10,-2.1053,21,-1.0729,68,0.82423,16,-1.4868,15,-1.5855,64,0.63521
ENSG00000162430,SELENON,23,-0.3727,61,1.31312,19,-0.5465,27,-0.0048,24,-0.1880,18,-0.6207,33,0.27036
ENSG00000117640,MTFR1L,78,0.37711,71,0.10461,65,-0.0475,60,-0.1913,35,-1.0060,40,-0.7845,91,0.49450
ENSG00000117632,STMN1,1295,0.86104,325,-1.5986,1024,0.16364,949,0.04671,949,0.04134,283,-1.8004,509,-0.9227
ENSG00000158008,EXTL1,39,0.38435,18,-0.9737,47,0.55441,43,0.47968,0,-5.3061,27,-0.3200,30,-0.1433
ENSG00000142684,ZNF593,55,0.79702,36,-0.1745,26,-0.6436,47,0.27345,20,-1.0820,9,-2.2716,36,-0.1416
ENSG00000142669,SH3BGRL3,144,-0.0880,143,-0.0767,151,0.01054,193,0.46177,188,0.36822,110,-0.4851,94,-0.7289
ENSG00000158062,UBXN11,13,-0.4521,20,0.35189,18,0.19449,26,0.89043,6,-1.5365,5,-1.6131,24,0.61464
ENSG00000117682,DHDDS,30,0.75165,13,-0.7856,13,-0.7654,15,-0.5902,9,-1.3655,22,-0.0035,35,0.73366
ENSG00000198830,HMGN2,163,-0.4424,304,0.67072,188,-0.1002,281,0.61649,263,0.43610,137,-0.5950,101,-1.0546
ENSG00000117713,ARID1A,64,-0.5339,135,0.81754,65,-0.3608,44,-1.0304,119,0.60535,73,-0.1726,166,1.16624
ENSG00000204160,ZDHHC18,25,1.05780,15,-0.1266,17,0.06680,8,-1.1854,10,-0.6712,14,-0.2615,9,-0.8404
ENSG00000142751,GPN2,19,0.00797,12,-0.7359,15,-0.3577,18,-0.1646,21,0.14491,33,0.83637,19,-0.0240
ENSG00000090273,NUDC,246,0.29173,159,-0.4852,260,0.28752,309,0.64791,141,-0.6696,127,-0.8301,101,-1.1794
ENSG00000253368,TRNP1,63,0.96149,19,-1.2749,69,0.74149,52,0.32830,5,-3.2587,13,-1.7624,16,-1.5387
ENSG00000090020,SLC9A1,35,1.78653,6,-1.6258,15,-0.3702,19,-0.0172,0,-5.7385,6,-1.7814,4,-2.0760
ENSG00000142784,WDTC1,27,-0.1789,27,-0.1158,39,0.46876,25,-0.2537,19,-0.6328,44,0.64574,34,0.23839
ENSG00000186501,TMEM222,46,0.23148,27,-0.6490,42,0.01714,40,-0.0834,33,-0.3355,43,0.03975,49,0.25531
ENSG00000158195,WASF2,21,-2.3076,198,1.68816,58,-0.3593,37,-1.1271,240,2.06930,81,0.15159,75,0.02854
ENSG00000126705,AHDC1,46,0.09275,33,-0.4787,42,-0.0760,20,-1.2781,34,-0.4300,65,0.60714,90,1.15898
ENSG00000126709,IFI6,133,0.13125,275,1.31422,75,-0.7877,89,-0.5730,118,-0.0979,83,-0.6462,118,-0.0936
ENSG00000009780,FAM76A,23,0.23028,5,-2.1433,14,-0.6423,13,-0.7699,33,0.69859,14,-0.6394,48,1.33175
ENSG00000117758,STX12,124,0.68857,47,-1.0480,81,-0.2338,93,-0.0147,100,0.09512,47,-1.0436,75,-0.3447
ENSG00000117751,PPP1R8,34,0.25174,30,-0.0030,21,-0.5741,35,0.26470,46,0.67745,21,-0.5878,10,-1.6709
ENSG00000117748,RPA2,56,0.29342,98,1.13424,34,-0.5637,56,0.22008,27,-0.8947,24,-1.1114,23,-1.1239
ENSG00000126698,DNAJC8,233,0.17336,171,-0.3671,239,0.16101,195,-0.1730,252,0.24433,180,-0.2817,211,-0.0328
ENSG00000130770,ATP5IF1,419,0.37471,140,-1.4367,365,0.02971,688,1.27143,147,-1.3636,146,-1.3743,88,-2.1209
ENSG00000130766,SESN2,69,2.24138,7,-2.2202,46,0.48012,13,-1.5189,3,-3.2781,5,-2.8149,11,-1.6671
ENSG00000204138,PHACTR4,14,-2.0579,24,-0.9085,23,-0.9404,18,-1.4256,105,1.50305,149,2.19758,79,1.00878
ENSG00000180098,TRNAU1AP,19,-0.5146,23,-0.1168,12,-1.1135,21,-0.2243,17,-0.5942,18,-0.4984,81,2.08333
ENSG00000120656,TAF12,18,0.56104,7,-1.0394,9,-0.7040,22,0.84184,12,-0.2613,4,-1.7129,7,-1.0230
ENSG00000198492,YTHDF2,124,1.20999,40,-1.0508,55,-0.5635,71,-0.1937,64,-0.3202,24,-1.8155,49,-0.7320
ENSG00000159023,EPB41,33,0.62189,11,-1.1966,17,-0.5969,9,-1.6517,7,-1.9639,25,-0.0348,70,1.72387
ENSG00000116350,SRSF4,93,-0.0799,110,0.21281,58,-0.7706,57,-0.8599,115,0.28995,174,0.98128,113,0.26016
ENSG00000116353,MECR,26,0.07475,21,-0.2926,25,-0.0575,32,0.42074,11,-1.3159,31,0.32321,23,-0.1617
ENSG00000060656,PTPRU,19,0.36042,29,0.96493,25,0.73864,7,-1.3215,7,-1.2117,17,0.14713,8,-0.9949
ENSG00000162511,LAPTM5,10,-0.7889,24,0.68497,20,0.39175,35,1.62926,3,-2.3407,8,-0.9165,3,-2.2983
ENSG00000162512,SDC3,38,-0.9827,129,1.22744,36,-0.8285,46,-0.4991,86,0.53755,56,-0.1459,128,1.20328
ENSG00000134644,PUM1,206,0.50439,189,0.19168,132,-0.3748,113,-0.6687,106,-0.7132,188,0.18853,176,0.08285
ENSG00000121766,ZCCHC17,154,0.42726,91,-0.5365,96,-0.4472,109,-0.2869,142,0.15898,147,0.21140,105,-0.3156
ENSG00000121769,FABP3,65,1.18019,25,-0.8092,26,-0.7080,45,0.13152,5,-3.0108,28,-0.6330,25,-0.7677
ENSG00000162517,PEF1,67,0.68106,29,-0.8800,50,-0.0097,54,0.12443,37,-0.4816,8,-2.7384,58,0.20555
ENSG00000084636,COL16A1,29,-0.4444,30,-0.2696,23,-0.7157,24,-0.6681,41,0.21536,33,-0.1269,104,1.81044
ENSG00000121753,ADGRB2,190,0.29343,194,0.23443,189,0.18959,210,0.40884,30,-2.5724,89,-0.9824,162,-0.0520
ENSG00000184007,PTP4A2,167,-1.4494,343,-0.0428,251,-0.5268,135,-1.5641,1185,2.13920,951,1.70047,203,-0.8492
ENSG00000121774,KHDRBS1,107,-0.1684,139,0.30060,93,-0.3307,179,0.82256,149,0.40830,36,-1.7455,65,-0.8849
ENSG00000025800,KPNA6,117,0.64283,57,-0.6962,50,-0.8930,72,-0.3763,84,-0.1073,75,-0.2896,112,0.34222
ENSG00000084652,TXLNA,31,0.35309,29,0.12472,21,-0.3320,13,-1.1756,31,0.24137,31,0.24288,31,0.23153
ENSG00000160050,CCDC28B,7,-1.2622,16,0.09599,10,-0.5433,37,1.86190,10,-0.5860,2,-2.5321,19,0.45507
ENSG00000084623,EIF3I,99,0.43189,63,-0.4092,77,-0.1127,118,0.66166,76,-0.1366,27,-1.6861,33,-1.4046
ENSG00000116478,HDAC1,9,-1.3356,34,1.06050,5,-1.8532,17,-0.1288,49,1.69246,25,0.53646,15,-0.2808
ENSG00000175130,MARCKSL1,66,-1.6312,169,0.14368,84,-0.9286,134,-0.2384,718,2.87094,129,-0.2814,64,-1.3456
ENSG00000160058,BSDC1,55,0.26388,41,-0.2724,43,-0.2127,32,-0.7122,63,0.39650,51,0.04527,58,0.27425
