Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to13,Feature log2 fold change topic 9to13
ENSG00000011021,CLCN6,49,-0.2859,32,-0.9012,49,-0.2400,94,0.78072,72,0.38932,56,-0.0507
ENSG00000116685,KIAA2013,22,-0.4905,28,-0.0988,55,0.98458,32,0.14114,35,0.27315,26,-0.2405
ENSG00000116688,MFN2,98,-0.2937,94,-0.2998,101,-0.1967,75,-0.6489,117,0.03722,139,0.47288
ENSG00000048707,VPS13D,58,-0.2750,33,-1.0796,87,0.38662,104,0.67949,52,-0.4501,76,0.27120
ENSG00000116731,PRDM2,171,-0.2504,228,0.23535,112,-0.8642,388,1.10234,95,-1.1717,224,0.32458
ENSG00000189337,KAZN,69,-0.1262,80,0.12376,25,-1.6369,54,-0.4721,76,0.05222,88,0.44544
ENSG00000142634,EFHD2,42,-0.8101,131,1.10932,30,-1.1745,125,1.02389,20,-1.8436,81,0.52094
ENSG00000116138,DNAJC16,20,-1.2637,11,-1.9511,66,0.74573,30,-0.4773,36,-0.2204,59,0.98958
ENSG00000197312,DDI2,19,-1.1047,52,0.55166,43,0.25539,62,0.84179,23,-0.7623,43,0.39729
ENSG00000116786,PLEKHM2,215,1.36987,69,-0.7551,122,0.11848,135,0.27461,77,-0.6483,70,-1.0028
ENSG00000065526,SPEN,79,-0.7744,229,1.00405,149,0.30629,307,1.50763,33,-2.0690,122,-0.0216
ENSG00000055070,SZRD1,35,0.56362,22,-0.3047,82,1.89707,11,-1.2693,31,0.27545,12,-1.5197
ENSG00000159363,ATP13A2,89,-0.1330,21,-2.2749,52,-0.9167,102,0.10847,96,0.02016,121,0.60813
ENSG00000117118,SDHB,95,0.02761,35,-1.4884,52,-0.9036,20,-2.2651,157,0.92909,102,0.21311
ENSG00000117115,PADI2,84,1.08737,144,1.76368,99,1.11585,40,-0.3193,22,-1.3179,13,-2.3891
ENSG00000179051,RCC2,18,-0.7540,12,-1.2573,55,1.10115,22,-0.3343,29,0.07704,32,0.33430
ENSG00000117154,IGSF21,56,-0.2695,31,-1.1372,43,-0.6179,27,-1.3003,90,0.57491,79,0.48663
ENSG00000159423,ALDH4A1,74,2.03630,4,-2.9326,12,-1.3558,19,-0.6929,34,0.17663,15,-1.4469
ENSG00000127481,UBR4,37,-0.0259,27,-0.5230,47,0.32590,116,1.86071,15,-1.4345,32,-0.3589
ENSG00000127463,EMC1,30,-0.2727,21,-0.7817,75,1.21021,38,0.11695,33,-0.1247,34,-0.1058
ENSG00000053372,MRTO4,50,0.20391,27,-0.7876,33,-0.4771,29,-0.6479,60,0.50653,45,0.00164
ENSG00000053371,AKR7A2,47,0.33964,30,-0.4167,123,1.92042,20,-0.9749,38,-0.0433,24,-1.0197
ENSG00000077549,CAPZB,154,-0.5722,154,-0.4912,305,0.58124,187,-0.1892,305,0.64455,207,-0.0536
ENSG00000173436,MICOS10,488,0.57281,295,-0.3311,279,-0.4144,297,-0.3158,414,0.21911,316,-0.3236
ENSG00000158747,NBL1,159,0.25283,60,-1.2674,183,0.43239,141,0.01965,167,0.31367,123,-0.2794
ENSG00000169914,OTUD3,12,-1.0674,14,-0.7805,15,-0.6120,60,1.58774,11,-1.1072,30,0.67040
ENSG00000162545,CAMK2N1,4350,1.32390,1438,-0.7481,1439,-0.7466,1324,-0.8727,2499,0.11274,1635,-0.7664
ENSG00000158828,PINK1,457,0.11056,233,-0.9401,352,-0.3130,221,-1.0223,455,0.09183,504,0.38351
ENSG00000244038,DDOST,12,-1.5431,31,-0.0010,63,1.15839,6,-2.3670,42,0.56397,36,0.36065
ENSG00000189410,SH2D5,41,0.27520,1,-4.3025,19,-0.9168,6,-2.5085,64,1.06617,37,0.07507
ENSG00000127483,HP1BP3,200,-0.4245,434,0.86331,277,0.13911,319,0.36168,123,-1.1700,283,0.27225
ENSG00000075151,EIF4G3,140,-1.1463,205,-0.4330,127,-1.1577,305,0.18427,190,-0.5947,419,1.21837
ENSG00000076864,RAP1GAP,72,-0.6940,35,-1.6712,68,-0.6796,136,0.38380,138,0.44856,131,0.51491
ENSG00000090686,USP48,52,-0.6990,67,-0.2351,91,0.24652,106,0.48675,47,-0.8174,99,0.61952
ENSG00000070831,CDC42,127,-0.9007,167,-0.3697,269,0.37916,236,0.17135,251,0.29581,240,0.30042
ENSG00000173372,C1QA,23,-1.0530,27,-0.7153,369,4.53963,10,-2.0674,27,-0.7168,5,-3.6755
ENSG00000173369,C1QB,33,-0.3563,63,0.71069,251,3.43784,15,-1.4484,30,-0.4643,7,-3.0640
ENSG00000004487,KDM1A,25,-1.2137,35,-0.5766,44,-0.2280,55,0.12726,73,0.62031,62,0.47147
ENSG00000169641,LUZP1,92,-0.9038,90,-0.8150,132,-0.2327,266,0.88503,68,-1.3032,219,0.95812
ENSG00000125944,HNRNPR,98,-0.7616,195,0.41571,245,0.77954,120,-0.3465,155,0.05158,158,0.11954
ENSG00000117318,ID3,17,-1.3745,47,0.34155,383,5.39194,0,-5.5993,5,-3.1302,0,-9.2958
ENSG00000142676,RPL11,906,0.72797,929,0.61844,980,0.70588,344,-0.9242,769,0.34711,335,-1.2767
ENSG00000011007,ELOA,26,-0.3425,59,0.98403,50,0.70881,21,-0.6444,23,-0.5310,32,0.00181
ENSG00000057757,PITHD1,125,-0.2853,91,-0.7303,63,-1.2798,113,-0.4009,199,0.54573,172,0.40223
ENSG00000011009,LYPLA2,25,0.24329,9,-1.2650,20,-0.1425,23,0.08256,26,0.26576,21,-0.0664
ENSG00000189266,PNRC2,65,-0.2203,118,0.75414,107,0.58680,48,-0.6614,71,-0.0566,69,-0.1401
ENSG00000188529,SRSF10,56,-0.6538,113,0.54596,146,0.96013,94,0.25183,68,-0.2808,78,-0.0808
ENSG00000001461,NIPAL3,76,-0.5152,214,1.22831,27,-1.9763,144,0.57294,61,-0.8081,115,0.31880
ENSG00000133226,SRRM1,139,-0.6097,435,1.30791,291,0.63713,505,1.57493,80,-1.4287,146,-0.6292
ENSG00000169504,CLIC4,31,-0.6985,215,2.71001,241,2.96767,18,-1.4042,12,-2.1188,3,-4.5617
ENSG00000117614,SYF2,143,0.11542,210,0.71483,187,0.52325,162,0.29868,94,-0.5943,114,-0.3632
ENSG00000117616,RSRP1,46,-0.8925,80,0.07587,175,1.34936,178,1.38045,54,-0.5635,63,-0.4282
ENSG00000183726,TMEM50A,78,-0.2703,132,0.59480,150,0.80455,49,-0.9387,87,-0.0700,88,-0.0732
ENSG00000204178,MACO1,38,-0.4794,67,0.46757,29,-0.8137,102,1.15585,38,-0.4401,52,0.09048
ENSG00000117643,MAN1C1,34,-0.6517,18,-1.4746,62,0.36388,34,-0.5809,67,0.52076,58,0.41207
ENSG00000162430,SELENON,38,0.44765,16,-0.9285,101,2.02493,14,-1.1733,40,0.47580,14,-1.5391
ENSG00000117640,MTFR1L,70,0.36300,30,-0.9658,67,0.22888,62,0.12772,66,0.23214,50,-0.3288
ENSG00000117632,STMN1,678,-1.0741,930,-0.4618,416,-1.6688,687,-0.9210,1676,0.50891,1778,0.93843
ENSG00000158008,EXTL1,54,0.84023,6,-2.5552,20,-0.8584,54,0.65975,29,-0.3157,32,-0.2222
ENSG00000142684,ZNF593,30,-0.0347,21,-0.5653,28,-0.1782,15,-1.0899,64,1.33745,24,-0.5506
ENSG00000142669,SH3BGRL3,167,0.24835,155,0.08694,155,0.08274,69,-1.1412,178,0.33798,134,-0.2049
ENSG00000117682,DHDDS,24,0.03616,10,-1.2617,22,-0.1291,36,0.65272,32,0.53131,21,-0.3018
ENSG00000198830,HMGN2,220,0.27011,370,1.06441,288,0.65258,126,-0.6416,265,0.57209,103,-1.2630
ENSG00000117713,ARID1A,64,-0.0086,69,0.11556,121,1.01441,73,0.20156,49,-0.4334,56,-0.2963
ENSG00000090273,NUDC,232,0.18917,176,-0.2763,162,-0.4077,184,-0.2095,231,0.16062,211,0.00555
ENSG00000253368,TRNP1,51,0.02655,10,-2.3113,8,-2.6089,44,-0.2145,98,1.22048,49,-0.0813
ENSG00000142784,WDTC1,32,0.59773,12,-0.9354,52,1.28527,31,0.44678,13,-0.9214,17,-0.6305
ENSG00000186501,TMEM222,50,0.49663,17,-1.2152,26,-0.6075,44,0.21702,29,-0.4948,42,0.17393
ENSG00000158195,WASF2,60,0.03692,185,1.92004,202,2.08928,77,0.41879,23,-1.4989,15,-2.4530
ENSG00000126705,AHDC1,44,0.05400,13,-1.7207,47,0.14866,71,0.79608,37,-0.2343,44,0.05103
ENSG00000126709,IFI6,59,-1.0379,119,0.17378,257,1.44626,41,-1.4326,103,-0.0606,117,0.23098
ENSG00000009780,FAM76A,15,-0.8179,48,1.12470,16,-0.6120,27,0.19678,27,0.21360,24,0.01930
ENSG00000117758,STX12,98,-0.2204,106,-0.0645,80,-0.4979,65,-0.8104,177,0.84371,107,-0.0630
ENSG00000117751,PPP1R8,24,-0.4072,28,-0.0734,63,1.20951,12,-1.3222,40,0.51100,26,-0.2627
ENSG00000117748,RPA2,50,-0.3287,38,-0.7045,63,0.08464,48,-0.3547,81,0.52200,64,0.14783
ENSG00000126698,DNAJC8,205,-0.2843,363,0.66177,189,-0.3609,186,-0.3896,216,-0.1692,265,0.24756
ENSG00000130770,ATP5IF1,432,-0.5176,279,-1.1039,220,-1.4561,288,-1.0588,1162,1.30688,616,0.16030
ENSG00000204138,PHACTR4,24,-0.4838,78,1.46324,98,1.87093,51,0.74272,9,-1.9096,19,-1.0296
ENSG00000198492,YTHDF2,56,-0.8843,77,-0.3011,81,-0.2110,78,-0.2708,98,0.09223,122,0.69385
ENSG00000116350,SRSF4,68,-0.4234,114,0.45070,144,0.82630,163,1.02750,77,-0.1889,68,-0.5207
ENSG00000116353,MECR,36,0.28513,21,-0.5837,20,-0.6511,16,-0.9642,32,0.02533,35,0.28398
ENSG00000162511,LAPTM5,70,0.62622,55,0.12427,264,2.98922,19,-1.4396,34,-0.6416,9,-3.1022
ENSG00000162512,SDC3,133,0.49093,68,-0.6440,220,1.23259,78,-0.4247,88,-0.2692,80,-0.5477
ENSG00000134644,PUM1,123,-0.3026,86,-0.7944,209,0.57664,193,0.44991,142,-0.0349,149,0.06332
ENSG00000121766,ZCCHC17,132,-0.0043,130,-0.0246,68,-1.0079,105,-0.3576,161,0.33830,140,0.13081
ENSG00000121769,FABP3,41,-1.0778,34,-1.2151,12,-2.7685,18,-2.1229,135,1.02306,108,0.91086
ENSG00000162517,PEF1,52,-0.3399,31,-1.0561,79,0.36720,34,-0.8942,108,0.99191,59,-0.1249
ENSG00000084636,COL16A1,13,-1.0909,25,-0.0599,95,2.23291,52,1.13658,19,-0.4867,17,-0.8964
ENSG00000121753,ADGRB2,152,-0.0842,70,-1.2408,106,-0.6199,135,-0.2502,194,0.34583,182,0.33461
ENSG00000184007,PTP4A2,233,-0.0923,813,2.04145,152,-0.7340,226,-0.1260,188,-0.4361,183,-0.6287
ENSG00000121774,KHDRBS1,128,-0.1878,147,0.06639,176,0.34510,137,-0.0521,143,0.01643,142,0.00734
ENSG00000025800,KPNA6,62,-0.7420,73,-0.3911,111,0.25896,149,0.74167,82,-0.2349,108,0.33820
ENSG00000084652,TXLNA,19,-0.4964,33,0.44139,66,1.62101,40,0.76585,16,-0.7110,19,-0.5797
ENSG00000160050,CCDC28B,32,0.69900,5,-2.0121,25,0.20702,7,-1.6206,45,1.27669,13,-1.0464
ENSG00000084623,EIF3I,73,-0.4832,82,-0.2437,86,-0.1629,60,-0.7207,150,0.79458,100,0.09540
ENSG00000175130,MARCKSL1,273,0.94103,534,1.90578,187,0.12827,146,-0.2588,163,-0.0979,46,-2.4479
ENSG00000160058,BSDC1,58,0.25255,52,0.04039,54,0.10928,83,0.78692,49,-0.0476,39,-0.5443
ENSG00000160062,ZBTB8A,24,-0.0100,23,-0.0881,70,1.72006,14,-0.8580,29,0.28554,16,-0.8535
ENSG00000176261,ZBTB8OS,54,0.13399,26,-1.0180,57,0.18282,46,-0.1390,64,0.41176,48,-0.1440
ENSG00000162521,RBBP4,110,-0.1204,109,-0.1204,130,0.16093,163,0.52086,78,-0.6815,128,0.20455
ENSG00000162522,KIAA1522,45,1.82499,2,-2.8962,9,-1.1323,2,-3.3663,20,-0.0027,14,-0.7172
ENSG00000134684,YARS,61,-1.0351,60,-0.9369,49,-1.2332,93,-0.2845,186,0.91878,138,0.54245
ENSG00000160097,FNDC5,31,-0.2760,7,-2.2953,19,-0.9294,70,1.06717,38,0.10920,40,0.27269
ENSG00000121905,HPCA,209,0.15206,29,-2.8292,65,-1.6303,81,-1.3139,410,1.41733,177,-0.1967
ENSG00000121900,TMEM54,56,0.96963,38,0.11494,27,-0.4126,17,-1.0802,36,0.05900,26,-0.6062
ENSG00000004455,AK2,37,0.09441,58,0.78034,86,1.46027,42,0.26038,36,0.02927,18,-1.3363
ENSG00000142920,AZIN2,24,-0.5260,6,-2.3268,41,0.39517,39,0.29824,49,0.74051,32,0.01168
ENSG00000160094,ZNF362,31,0.77281,14,-0.6170,28,0.42450,6,-1.7275,30,0.59605,15,-0.7651
ENSG00000134686,PHC2,39,-0.1510,50,0.23646,65,0.65401,40,-0.1006,33,-0.4170,43,0.03273
ENSG00000163866,SMIM12,25,-1.0912,16,-1.6596,52,0.11948,14,-1.8467,92,1.20214,56,0.39013
ENSG00000116544,DLGAP3,99,1.78262,9,-2.3422,72,0.75810,21,-1.1524,40,-0.2003,21,-1.5131
ENSG00000163867,ZMYM6,18,-0.4621,27,0.25820,43,1.00213,26,0.19222,26,0.20543,19,-0.3615
ENSG00000116560,SFPQ,189,-0.3339,297,0.42184,302,0.44570,529,1.38277,155,-0.6285,190,-0.3984
ENSG00000146463,ZMYM4,69,-0.0135,67,-0.0727,36,-1.0185,117,0.83035,49,-0.5856,76,0.21749
ENSG00000142687,KIAA0319L,54,-0.2555,63,0.02015,75,0.31126,87,0.55022,58,-0.1071,60,-0.0628
ENSG00000020129,NCDN,305,-0.6460,75,-2.6378,181,-1.3374,230,-0.9806,696,0.83278,579,0.72919
ENSG00000126067,PSMB2,53,-0.8889,83,-0.0781,89,0.03171,50,-0.8396,118,0.51436,105,0.43671
ENSG00000142686,C1orf216,59,-0.7498,27,-1.7927,39,-1.2476,58,-0.6666,165,1.10789,108,0.44553
ENSG00000092847,AGO1,35,-0.2237,49,0.32586,58,0.59473,70,0.88257,31,-0.4009,35,-0.3108
ENSG00000126070,AGO3,38,-0.5713,72,0.48132,107,1.14304,145,1.67110,18,-1.6583,42,-0.4885
ENSG00000054116,TRAPPC3,39,-0.4064,32,-0.6661,46,-0.1086,25,-1.0238,101,1.32942,44,-0.2736
ENSG00000116871,MAP7D1,198,0.30869,140,-0.2922,115,-0.5906,121,-0.5112,234,0.57128,151,-0.2467
ENSG00000054118,THRAP3,97,-0.7232,181,0.33514,150,0.04423,188,0.39847,106,-0.5294,175,0.45326
ENSG00000181817,LSM10,45,0.10298,22,-1.0194,31,-0.4993,16,-1.4306,75,1.02089,40,-0.1415
ENSG00000116898,MRPS15,57,-0.0040,42,-0.4705,37,-0.6425,32,-0.8773,78,0.55160,60,0.14405
ENSG00000163875,MEAF6,80,-0.5268,34,-1.7068,102,-0.0688,114,0.10333,128,0.30979,129,0.46466
ENSG00000134697,GNL2,18,-0.9457,29,-0.1166,15,-1.1014,34,0.12459,23,-0.5174,46,1.02887
ENSG00000197982,C1orf122,288,0.95380,253,0.53688,111,-0.7488,79,-1.2584,268,0.70126,101,-1.1857
ENSG00000183431,SF3A3,30,-0.8354,47,-0.0629,39,-0.3455,67,0.48803,57,0.28043,55,0.30152
ENSG00000183520,UTP11,30,-0.7499,52,0.18011,82,0.91709,26,-0.8775,61,0.50722,45,-0.0426
ENSG00000185668,POU3F1,17,-0.2444,0,-7.9393,9,-1.2189,7,-1.5586,26,0.41348,28,0.91269
ENSG00000116954,RRAGC,35,-0.5411,64,0.44606,88,0.97159,25,-0.9780,29,-0.8062,56,0.39955
ENSG00000174574,AKIRIN1,76,-0.4660,80,-0.3131,96,-0.0281,61,-0.7226,123,0.39305,113,0.34390
ENSG00000168653,NDUFS5,675,-0.0501,386,-0.8942,288,-1.3319,318,-1.1858,980,0.61254,806,0.37414
ENSG00000127603,MACF1,307,-0.0003,336,0.13894,598,1.07708,592,1.06052,122,-1.4785,261,-0.3672
ENSG00000090621,PABPC4,97,0.38513,165,1.18885,124,0.71187,66,-0.2748,61,-0.4444,53,-0.8577
ENSG00000116983,HPCAL4,311,0.69257,123,-0.8856,108,-1.0863,234,0.09361,224,0.02950,203,-0.1874
ENSG00000084072,PPIE,32,-0.0871,22,-0.6480,10,-1.7240,35,0.05676,40,0.32043,38,0.32951
ENSG00000131236,CAP1,147,-0.3964,252,0.50713,282,0.69005,67,-1.5176,150,-0.3323,207,0.30387
ENSG00000131238,PPT1,116,-0.3084,67,-1.0837,176,0.39210,68,-1.0726,158,0.24557,162,0.40684
ENSG00000117000,RLF,22,-0.7389,38,0.21942,58,0.88823,39,0.24564,30,-0.1777,34,0.07600
ENSG00000084073,ZMPSTE24,29,-0.4814,46,0.27039,86,1.29764,26,-0.6184,29,-0.4832,39,0.06412
ENSG00000084070,SMAP2,112,-0.2257,65,-1.0029,83,-0.6344,90,-0.5144,123,-0.0405,164,0.67586
ENSG00000117016,RIMS3,201,0.50249,10,-3.9735,100,-0.6778,83,-0.9450,178,0.23632,173,0.26603
ENSG00000066136,NFYC,33,0.00513,11,-1.5970,21,-0.6649,32,-0.0640,34,0.05117,40,0.44386
ENSG00000127124,HIVEP3,28,-0.0257,20,-0.5148,30,0.08695,69,1.45053,18,-0.7163,26,-0.2098
ENSG00000198815,FOXJ3,52,-0.1110,46,-0.2980,52,-0.1080,54,-0.0540,39,-0.6031,68,0.48248
ENSG00000177181,RIMKLA,57,0.00580,16,-1.8958,21,-1.4787,44,-0.3972,31,-0.9564,85,1.09883
ENSG00000127125,PPCS,52,-0.2012,62,0.10184,31,-0.9654,53,-0.1526,58,0.00751,67,0.36393
ENSG00000186409,CCDC30,41,-0.3440,54,0.13864,26,-0.9763,123,1.50412,28,-0.9263,52,0.12710
ENSG00000065978,YBX1,211,0.80854,279,1.10532,261,0.98841,132,-0.1055,123,-0.2330,57,-1.7599
ENSG00000177868,SVBP,60,0.03643,68,0.21324,49,-0.2772,26,-1.2491,83,0.58482,56,-0.1261
ENSG00000117394,SLC2A1,32,-1.5081,53,-0.5762,703,4.77703,21,-1.9261,28,-1.5877,15,-2.8933
ENSG00000117395,EBNA1BP2,67,-0.7779,69,-0.6482,55,-0.9885,41,-1.4161,160,0.75587,135,0.64986
ENSG00000159479,MED8,30,0.26904,14,-0.9019,32,0.29292,2,-3.6159,34,0.43054,27,0.06652
