Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000171621,SPSB1,18,0.88013,7,-0.7951,4,-1.3081,9,-0.2861,6,-0.8137,18,0.89463,13,0.41311
ENSG00000171612,SLC25A33,27,-0.9961,60,0.26248,47,-0.1766,51,-0.0303,120,1.45493,20,-1.4297,41,-0.4039
ENSG00000188807,TMEM201,8,-0.9023,15,0.09171,15,0.10994,14,-0.0856,11,-0.3567,31,1.31819,10,-0.6603
ENSG00000171603,CLSTN1,841,0.45459,856,0.56891,961,0.68378,768,0.30238,382,-0.8124,573,-0.1756,256,-1.5443
ENSG00000178585,CTNNBIP1,43,-0.4812,51,-0.2449,42,-0.5254,47,-0.3437,54,-0.1180,109,1.05233,64,0.18233
ENSG00000162441,LZIC,34,-1.0474,45,-0.7088,39,-0.8452,39,-0.8420,84,0.37127,116,0.91735,101,0.81015
ENSG00000162444,RBP7,62,-0.5104,9,-3.4697,9,-3.3207,22,-2.0673,53,-0.7692,198,1.45964,205,1.97313
ENSG00000130939,UBE4B,60,0.80811,23,-0.8104,34,-0.1520,33,-0.1670,27,-0.5045,41,0.15552,46,0.41494
ENSG00000054523,KIF1B,342,0.17245,277,-0.1881,292,-0.0819,392,0.40234,234,-0.4367,299,-0.0435,326,0.11187
ENSG00000284642,AL139424.2,28,0.79829,16,-0.1293,16,-0.0847,12,-0.5635,19,0.18041,9,-0.9479,19,0.19121
ENSG00000142657,PGD,65,-0.2004,63,-0.2738,79,0.11695,63,-0.2601,59,-0.3539,114,0.71830,79,0.12207
ENSG00000175279,CENPS,2,-2.0005,11,0.92146,16,1.32679,6,-0.1800,7,-0.0357,3,-1.1271,3,-1.0991
ENSG00000241563,CORT,1,-5.5462,49,-0.9004,76,-0.1331,15,-2.5658,5,-4.1308,511,4.10332,19,-2.3774
ENSG00000160049,DFFA,23,-0.4897,25,-0.3676,17,-0.9151,29,-0.0743,32,0.03973,26,-0.2684,50,0.98223
ENSG00000142655,PEX14,11,-0.6156,28,1.09168,25,0.65160,18,0.09967,13,-0.3374,5,-1.7018,10,-0.8499
ENSG00000120948,TARDBP,60,0.03385,59,0.01597,55,-0.0863,40,-0.5995,44,-0.4524,83,0.58692,63,0.13712
ENSG00000271895,AL109811.2,43,0.66784,24,-0.3112,28,-0.0150,22,-0.4134,24,-0.2965,33,0.23385,30,0.07007
ENSG00000116649,SRM,42,-0.1132,65,0.70413,44,-0.0423,29,-0.7025,55,0.32213,46,0.00749,31,-0.6678
ENSG00000171824,EXOSC10,55,0.45326,41,-0.0437,40,-0.0826,28,-0.6504,44,0.06489,44,0.07466,42,0.02754
ENSG00000198793,MTOR,24,-0.4222,42,0.54157,59,1.01855,31,-0.0449,13,-1.3606,17,-1.0112,30,-0.1390
ENSG00000120942,UBIAD1,23,0.50146,9,-1.0246,3,-2.5136,6,-1.5943,17,0.00994,29,0.89648,28,1.00710
ENSG00000204624,DISP3,16,0.52611,13,0.18549,8,-0.5721,6,-0.9205,22,1.00129,12,0.07170,8,-0.7356
ENSG00000116661,FBXO2,79,-0.8726,154,0.20560,161,0.25249,101,-0.4923,337,1.57537,61,-1.2738,97,-0.6229
ENSG00000132879,FBXO44,43,-0.5557,95,0.87801,105,0.91976,51,-0.2978,39,-0.7151,65,0.09355,29,-1.2789
ENSG00000116670,MAD2L2,20,0.09292,23,0.32696,16,-0.3290,3,-2.4499,27,0.51630,11,-0.9271,26,0.53174
ENSG00000177674,AGTRAP,10,-0.7141,6,-1.5347,2,-2.8590,4,-2.0041,37,1.48624,25,0.76083,26,0.96554
ENSG00000177000,MTHFR,29,1.35791,14,0.19926,13,0.03602,4,-1.8318,8,-0.7245,6,-1.1330,14,0.13309
ENSG00000011021,CLCN6,35,-0.4590,50,0.13936,65,0.52971,62,0.45392,42,-0.1684,51,0.12695,33,-0.6062
ENSG00000116685,KIAA2013,39,-0.2485,30,-0.7505,32,-0.5845,22,-1.1366,63,0.52480,72,0.76002,62,0.59702
ENSG00000083444,PLOD1,10,-0.9826,21,0.26684,13,-0.5891,8,-1.3344,9,-1.1107,38,1.22729,23,0.44208
ENSG00000116688,MFN2,65,-0.5425,106,0.27409,131,0.60192,115,0.37609,71,-0.4061,81,-0.2010,74,-0.3718
ENSG00000116691,MIIP,13,-0.2997,8,-1.1162,13,-0.2896,6,-1.3281,39,1.64018,20,0.46507,15,0.01168
ENSG00000048707,VPS13D,126,0.93120,64,-0.2333,81,0.17576,119,0.82646,52,-0.5412,58,-0.3613,45,-0.8229
ENSG00000162496,DHRS3,36,-0.1727,35,-0.2124,22,-0.9224,9,-2.2453,87,1.34876,71,0.97465,31,-0.4185
ENSG00000162493,PDPN,4,-1.5557,6,-1.0921,4,-1.7872,4,-1.7248,46,2.36800,12,-0.1390,16,0.41244
ENSG00000116731,PRDM2,236,0.94435,124,-0.1530,138,0.04404,188,0.54993,82,-0.7870,113,-0.2862,104,-0.4568
ENSG00000189337,KAZN,54,-0.5755,61,-0.4415,70,-0.1697,41,-0.9941,71,-0.1508,100,0.40930,122,0.88993
ENSG00000142634,EFHD2,167,1.00901,65,-0.6005,92,-0.0063,161,0.95002,46,-1.0732,169,1.02876,31,-1.7970
ENSG00000132906,CASP9,3,-1.7575,7,-0.3584,6,-0.5439,6,-0.6578,5,-0.9293,19,1.25576,14,0.83919
ENSG00000116138,DNAJC16,21,-0.1903,32,0.55465,40,0.80990,26,0.09725,13,-0.9840,12,-1.0215,21,-0.2795
ENSG00000197312,DDI2,20,-0.2301,30,0.45207,32,0.50498,22,-0.1058,8,-1.6030,17,-0.5163,26,0.20736
ENSG00000116786,PLEKHM2,55,-0.3268,114,1.06945,54,-0.3391,39,-0.8401,66,-0.0415,61,-0.1527,51,-0.4807
ENSG00000179743,AL450998.2,5,-0.9711,5,-1.0139,6,-0.7669,7,-0.6310,13,0.43312,8,-0.4037,21,1.47269
ENSG00000065526,SPEN,228,1.25871,48,-1.4079,56,-1.0547,86,-0.3936,129,0.25907,116,0.09414,139,0.45245
ENSG00000116809,ZBTB17,8,-0.8814,10,-0.6119,8,-0.9490,10,-0.5480,10,-0.6604,29,1.11282,24,0.93512
ENSG00000185519,FAM131C,10,0.53394,15,1.48108,8,0.16678,7,-0.1073,3,-1.2844,0,-6.2104,4,-0.9930
ENSG00000037637,FBXO42,34,0.95378,21,0.22572,23,0.28197,15,-0.4052,11,-0.8694,14,-0.5117,16,-0.2675
ENSG00000055070,SZRD1,21,-0.8885,27,-0.5748,18,-1.1687,23,-0.7751,77,1.21356,27,-0.5160,59,0.91391
ENSG00000157191,NECAP2,16,-0.0510,8,-1.2705,6,-1.5741,11,-0.7103,34,1.15119,14,-0.2868,28,1.00820
ENSG00000219481,NBPF1,2,-2.1136,6,-0.7940,8,-0.2673,5,-0.7728,12,0.48333,12,0.40558,16,1.08511
ENSG00000058453,CROCC,9,0.28569,8,0.06410,8,0.04146,2,-1.7372,16,1.16709,3,-1.3427,8,-0.0059
ENSG00000159363,ATP13A2,43,-0.5065,103,1.10751,88,0.64578,54,-0.1680,47,-0.3884,49,-0.3225,26,-1.4222
ENSG00000117118,SDHB,67,-0.4689,108,0.33465,129,0.57766,85,-0.0999,81,-0.1865,61,-0.6282,88,-0.0453
ENSG00000117115,PADI2,109,-0.5108,28,-2.7004,19,-3.0854,52,-1.6300,186,0.34455,230,0.70592,351,1.90879
ENSG00000179051,RCC2,5,-1.7209,32,1.21311,22,0.33878,2,-2.8588,14,-0.3967,11,-0.7491,20,0.26539
ENSG00000074964,ARHGEF10L,7,-0.7287,15,0.34664,9,-0.4124,6,-0.9955,17,0.51114,4,-1.4453,18,0.74251
ENSG00000117154,IGSF21,103,1.07977,59,0.13395,56,0.05090,51,-0.1068,44,-0.3302,76,0.53881,22,-1.5384
ENSG00000159423,ALDH4A1,15,-0.7078,26,0.18671,10,-1.3316,15,-0.7178,50,1.32506,7,-1.7136,31,0.51817
ENSG00000169991,IFFO2,7,-0.4644,14,0.81128,12,0.43723,3,-1.6129,12,0.46441,7,-0.3317,7,-0.5685
ENSG00000127481,UBR4,51,1.98314,10,-0.8560,16,-0.0944,10,-0.7725,15,-0.1787,8,-1.1382,16,-0.1325
ENSG00000127463,EMC1,55,0.71813,32,-0.1846,37,0.05392,35,-0.0370,33,-0.1226,23,-0.6580,37,0.05357
ENSG00000053372,MRTO4,24,-0.6230,47,0.53307,47,0.44881,37,0.05889,21,-0.7964,25,-0.5866,37,0.04362
ENSG00000053371,AKR7A2,28,-0.2890,29,-0.2670,23,-0.6054,29,-0.2674,79,1.45319,17,-1.1128,36,0.11001
ENSG00000040487,SLC66A1,10,0.24297,10,0.45426,7,-0.3441,3,-1.2246,3,-1.2657,11,0.39711,10,0.28808
ENSG00000077549,CAPZB,155,0.11440,152,0.08809,158,0.14413,121,-0.2867,134,-0.1296,143,-0.0262,145,-0.0045
ENSG00000173436,MICOS10,166,-0.8411,424,0.80761,319,0.19558,347,0.33689,226,-0.3579,153,-0.9637,242,-0.2777
ENSG00000158747,NBL1,163,0.47714,161,0.54234,113,-0.1273,109,-0.1836,119,-0.0450,138,0.20591,67,-1.0393
ENSG00000169914,OTUD3,49,1.40291,18,-0.3756,26,0.29914,24,0.15055,14,-0.7312,26,0.28256,11,-1.1515
ENSG00000162545,CAMK2N1,1059,-0.4318,2115,0.84069,1104,-0.3666,809,-0.8510,1475,0.09938,1066,-0.4216,1375,-0.0180
ENSG00000090432,MUL1,29,0.34778,20,-0.3080,27,0.24150,23,-0.0469,16,-0.5587,20,-0.2602,28,0.34173
ENSG00000183114,FAM43B,10,-0.0121,9,-0.1362,13,0.46156,18,1.00732,12,0.35430,11,0.20829,3,-1.8859
ENSG00000158828,PINK1,237,-0.3967,417,0.62082,424,0.55550,413,0.51119,238,-0.3889,202,-0.6486,192,-0.8038
ENSG00000244038,DDOST,27,0.11203,30,0.38262,31,0.34390,16,-0.6444,27,0.15873,19,-0.4146,21,-0.2805
ENSG00000117245,KIF17,6,-1.2865,16,0.08487,27,0.98336,39,1.68220,10,-0.6861,8,-0.8593,6,-1.3999
ENSG00000189410,SH2D5,21,-0.2726,48,1.33853,48,1.09748,36,0.60380,15,-0.8052,4,-2.5270,3,-3.3042
ENSG00000127483,HP1BP3,340,0.54301,186,-0.4894,203,-0.2985,265,0.12747,185,-0.4466,189,-0.4137,325,0.54794
ENSG00000075151,EIF4G3,214,0.63597,119,-0.3679,269,1.03849,253,0.93328,50,-1.6506,88,-0.7967,101,-0.6541
ENSG00000117298,ECE1,37,0.03815,27,-0.5292,20,-0.9120,12,-1.6289,72,1.15904,29,-0.3386,51,0.66434
ENSG00000076864,RAP1GAP,296,0.91209,162,-0.1207,196,0.21066,177,0.04211,78,-1.2273,348,1.20333,67,-1.5860
ENSG00000090686,USP48,73,0.14803,43,-0.7764,67,0.00377,72,0.11094,62,-0.1361,62,-0.1184,91,0.58288
ENSG00000070831,CDC42,235,-0.1545,200,-0.4576,289,0.18072,199,-0.4209,215,-0.2948,345,0.47808,322,0.42007
ENSG00000173372,C1QA,47,0.85190,18,-0.7580,4,-2.8031,8,-1.8339,59,1.27319,8,-1.9325,45,0.95343
ENSG00000159189,C1QC,20,-0.6574,11,-1.6508,8,-1.9939,9,-1.8297,68,1.37265,31,0.02278,59,1.35091
ENSG00000173369,C1QB,18,-1.3531,33,-0.4580,7,-2.6087,13,-1.8057,119,1.80658,24,-0.9405,70,0.98475
ENSG00000133216,EPHB2,13,0.81002,8,0.05745,9,0.12707,9,0.13405,2,-1.8384,3,-1.3040,10,0.36041
ENSG00000004487,KDM1A,49,0.20095,43,-0.0063,60,0.53632,60,0.53747,16,-1.5542,53,0.31592,33,-0.4760
ENSG00000169641,LUZP1,147,1.13178,74,-0.0545,118,0.73152,110,0.61220,48,-0.7172,67,-0.1965,23,-1.9711
ENSG00000125944,HNRNPR,157,-0.1677,112,-0.7802,150,-0.2401,209,0.29663,176,0.01741,203,0.25355,225,0.49048
ENSG00000125945,ZNF436,40,0.70479,23,-0.1741,28,0.14390,6,-2.0513,16,-0.7492,82,2.09173,7,-2.1310
ENSG00000249087,ZNF436-AS1,5,-1.4223,25,1.14137,15,0.07912,13,-0.0865,11,-0.4194,7,-1.0511,13,-0.1523
ENSG00000088280,ASAP3,17,0.43168,8,-0.8756,4,-1.6487,9,-0.6259,24,0.98148,15,0.24208,17,0.45171
ENSG00000117318,ID3,18,-1.7349,8,-3.0063,6,-3.3149,5,-3.4529,280,3.23374,41,-0.5265,74,0.48401
ENSG00000142676,RPL11,381,-0.6562,630,0.16629,322,-0.9171,396,-0.5973,775,0.48774,590,0.03553,734,0.46352
ENSG00000011007,ELOA,48,0.90042,22,-0.4191,23,-0.3186,36,0.40793,11,-1.3453,10,-1.4761,39,0.66329
ENSG00000057757,PITHD1,101,-0.7210,213,0.55501,215,0.49359,163,0.02736,97,-0.7790,204,0.40583,116,-0.5718
ENSG00000011009,LYPLA2,13,-0.3911,22,0.59055,23,0.53852,20,0.29285,5,-1.6607,23,0.56492,9,-0.9146
ENSG00000117308,GALE,8,-0.8561,25,1.25130,22,0.79854,9,-0.7032,8,-0.8714,1,-3.8691,13,-0.1192
ENSG00000117305,HMGCL,20,-0.3927,21,-0.3406,21,-0.2970,20,-0.3829,37,0.59038,17,-0.6251,36,0.69193
ENSG00000179163,FUCA1,14,-0.2021,21,0.56896,21,0.42822,15,-0.1124,15,-0.0695,19,0.33994,8,-1.1558
ENSG00000189266,PNRC2,64,0.22715,49,-0.2380,51,-0.1512,63,0.19373,59,0.09549,65,0.25095,51,-0.1587
ENSG00000188529,SRSF10,150,0.86999,67,-0.5266,50,-0.9059,61,-0.6196,108,0.30023,84,-0.0995,110,0.39348
ENSG00000001461,NIPAL3,113,-0.2150,53,-1.4974,105,-0.3300,109,-0.2668,99,-0.4162,222,0.92111,203,0.90971
ENSG00000117602,RCAN3,4,-1.7477,5,-1.3744,4,-1.6239,10,-0.3251,3,-1.8246,19,0.72241,30,1.98118
ENSG00000133226,SRRM1,221,0.41927,106,-0.8332,137,-0.3578,251,0.63799,152,-0.1890,121,-0.5547,223,0.51299
ENSG00000169504,CLIC4,121,-0.3679,18,-3.4029,20,-3.0120,55,-1.5745,221,0.62789,249,0.83541,332,1.72419
ENSG00000117614,SYF2,122,0.01873,117,-0.0429,86,-0.5339,124,0.05728,154,0.41338,100,-0.2992,130,0.15213
ENSG00000117616,RSRP1,50,0.86484,24,-0.3725,31,0.05249,25,-0.2608,13,-1.1993,38,0.40152,31,0.07399
ENSG00000183726,TMEM50A,81,-0.3889,80,-0.4500,93,-0.1589,82,-0.3551,126,0.33411,104,0.01706,140,0.59711
ENSG00000204178,MACO1,95,1.28895,33,-0.5569,49,0.15010,53,0.27902,27,-0.7828,53,0.27208,30,-0.6837
ENSG00000157978,LDLRAP1,30,0.85805,3,-2.8518,1,-4.3300,8,-1.1508,8,-1.1062,37,1.27552,35,1.40398
ENSG00000117643,MAN1C1,10,-1.4528,54,1.51227,40,0.66986,10,-1.3967,29,0.12310,7,-1.9598,17,-0.7509
ENSG00000162430,SELENON,37,0.32539,31,0.05105,13,-1.2654,12,-1.3477,48,0.77337,23,-0.4114,38,0.43040
ENSG00000117640,MTFR1L,27,-0.8529,62,0.56164,46,0.00230,61,0.46648,38,-0.3122,36,-0.3763,42,-0.1854
ENSG00000117632,STMN1,1095,-0.3591,1340,-0.0419,2003,0.63334,1761,0.41418,509,-1.5378,1470,0.11401,1408,0.05062
ENSG00000158008,EXTL1,43,1.07396,25,0.15743,28,0.31482,42,1.00387,14,-0.7765,17,-0.4445,6,-2.0897
ENSG00000175087,PDIK1L,19,0.34728,19,0.43882,20,0.43629,23,0.66189,21,0.51301,9,-0.7786,3,-2.3079
ENSG00000142684,ZNF593,17,-0.8302,39,0.59790,45,0.74927,26,-0.1547,24,-0.2861,21,-0.4718,23,-0.3590
ENSG00000130695,CEP85,6,-1.3018,4,-1.9484,5,-1.6997,8,-1.0268,7,-1.1185,24,0.76642,39,2.14462
ENSG00000142669,SH3BGRL3,179,0.07073,124,-0.5779,139,-0.3428,118,-0.5884,244,0.58276,219,0.40030,199,0.27970
ENSG00000158062,UBXN11,11,0.05468,20,1.22916,13,0.31765,14,0.35149,13,0.24161,3,-1.7723,2,-2.5162
ENSG00000117682,DHDDS,13,-0.6055,21,0.11348,21,0.16013,20,0.04384,17,-0.2203,42,1.31250,10,-1.1021
ENSG00000198830,HMGN2,269,-0.1210,210,-0.5752,121,-1.3603,195,-0.6272,445,0.71376,398,0.52125,382,0.53281
ENSG00000117676,RPS6KA1,5,-0.8404,1,-2.7345,2,-2.1935,10,0.11998,4,-1.1429,24,1.51543,19,1.40392
ENSG00000117713,ARID1A,62,0.05358,42,-0.6127,53,-0.1847,48,-0.3366,74,0.35083,73,0.33110,72,0.33721
