Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7to10,Feature log2 fold change topic 7to10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000008130,NADK,31,0.47319,18,-0.3666,29,0.45391,21,-0.2052,16,-0.5189,22,-0.1031
ENSG00000078369,GNB1,395,-0.3500,572,0.25368,470,-0.0973,570,0.31907,432,-0.2123,275,-0.9012
ENSG00000187730,GABRD,92,-0.7187,178,0.34321,199,0.62227,170,0.32469,24,-2.6958,12,-3.6333
ENSG00000067606,PRKCZ,144,-0.0941,184,0.32626,167,0.17149,159,0.09113,85,-0.8943,99,-0.6728
ENSG00000162585,FAAP20,28,0.18108,26,0.01319,13,-1.1927,29,0.28436,32,0.36778,39,0.68993
ENSG00000157933,SKI,6,-1.7239,28,0.71865,21,0.24518,12,-0.9063,39,1.15961,14,-0.4352
ENSG00000157916,RER1,78,0.19350,52,-0.4851,73,0.10958,64,-0.1623,73,0.08152,100,0.58138
ENSG00000157911,PEX10,16,-0.4687,19,-0.1771,24,0.23755,19,-0.2589,24,0.16523,31,0.56730
ENSG00000149527,PLCH2,2,-3.1550,22,0.50505,26,0.90143,14,-0.3601,9,-0.9533,12,-0.5125
ENSG00000157881,PANK4,20,0.45706,16,0.12719,18,0.32066,15,-0.0147,5,-1.5755,10,-0.6386
ENSG00000157870,PRXL2B,12,-1.5586,36,0.13146,52,0.90235,30,-0.2271,32,-0.0888,11,-1.6360
ENSG00000158109,TPRG1L,171,-0.1853,223,0.25250,228,0.33009,199,0.06508,164,-0.2529,55,-1.8894
ENSG00000116213,WRAP73,7,-1.1646,13,-0.3036,26,1.03091,13,-0.3817,10,-0.7045,16,0.05455
ENSG00000130764,LRRC47,88,0.14560,74,-0.1183,87,0.16508,89,0.23628,56,-0.5344,49,-0.7506
ENSG00000116198,CEP104,42,0.81885,13,-1.0321,15,-0.8983,20,-0.4643,51,1.13667,57,1.35269
ENSG00000198912,C1orf174,16,0.05045,18,0.27304,16,0.00137,15,-0.0745,15,-0.0533,12,-0.3484
ENSG00000196581,AJAP1,64,0.87655,30,-0.3399,52,0.67074,33,-0.2543,16,-1.2797,19,-1.0385
ENSG00000069424,KCNAB2,116,-0.5739,204,0.34111,205,0.39334,193,0.30159,86,-1.0295,24,-2.9173
ENSG00000116254,CHD5,149,0.30494,139,0.21660,160,0.53696,119,-0.0576,63,-1.0282,25,-2.3691
ENSG00000116251,RPL22,512,-0.2535,715,0.30227,519,-0.2802,526,-0.2810,802,0.45809,819,0.49246
ENSG00000116237,ICMT,26,-0.7998,41,-0.1285,62,0.66894,45,0.03742,35,-0.3576,23,-0.9836
ENSG00000097021,ACOT7,200,-0.4287,188,-0.5720,314,0.34234,360,0.73474,128,-1.1048,83,-1.7466
ENSG00000215788,TNFRSF25,24,-0.2261,46,0.92670,48,1.21774,14,-1.2171,10,-1.5159,2,-3.5108
ENSG00000171680,PLEKHG5,22,0.16780,25,0.42306,31,0.96802,14,-0.5989,8,-1.2261,3,-2.5198
ENSG00000162408,NOL9,29,0.23373,29,0.29109,24,-0.0113,22,-0.2410,19,-0.3564,28,0.20251
ENSG00000162413,KLHL21,21,-0.7457,23,-0.6009,34,0.03596,37,0.19980,45,0.44724,42,0.32606
ENSG00000116273,PHF13,6,-1.0492,11,-0.2988,19,0.70216,12,-0.1977,14,0.11527,11,-0.2028
ENSG00000041988,THAP3,27,0.66328,17,-0.0848,17,-0.0210,16,-0.2028,21,0.26506,14,-0.3428
ENSG00000007923,DNAJC11,24,-0.2337,24,-0.2077,35,0.50853,25,-0.1727,37,0.46696,13,-1.1234
ENSG00000171735,CAMTA1,478,0.91938,230,-0.2773,268,-0.0233,303,0.24348,191,-0.5411,110,-1.3672
ENSG00000049245,VAMP3,35,0.19907,22,-0.5341,8,-2.1246,7,-2.4522,71,1.37612,163,3.10273
ENSG00000049246,PER3,23,-0.4746,32,0.00442,30,-0.1296,24,-0.5693,61,1.05134,49,0.68355
ENSG00000116288,PARK7,362,-0.2597,469,0.16217,402,-0.1157,479,0.25200,387,-0.1547,321,-0.4451
ENSG00000116285,ERRFI1,12,-1.2545,16,-0.8705,40,0.74744,32,0.34291,16,-0.8028,22,-0.3107
ENSG00000162426,SLC45A1,42,0.63732,18,-0.7639,30,0.14826,34,0.42247,22,-0.4060,12,-1.3024
ENSG00000142599,RERE,130,0.21052,154,0.54482,101,-0.2232,98,-0.3190,133,0.24831,100,-0.2018
ENSG00000074800,ENO1,535,0.17195,360,-0.4866,427,-0.2207,518,0.16735,840,0.90785,314,-0.6583
ENSG00000171612,SLC25A33,20,-0.4891,28,0.00469,24,-0.2868,29,0.09516,46,0.78902,24,-0.1954
ENSG00000171603,CLSTN1,1210,0.52617,800,-0.1458,1071,0.41358,916,0.11001,558,-0.6876,206,-2.1738
ENSG00000178585,CTNNBIP1,24,-0.4019,41,0.51222,17,-1.0260,38,0.46351,22,-0.4995,38,0.36044
ENSG00000162441,LZIC,63,0.10569,47,-0.3623,36,-0.8882,52,-0.2600,96,0.79945,136,1.39083
ENSG00000162444,RBP7,9,-0.7471,0,-6.1675,0,-8.5302,3,-2.7887,24,0.81269,133,4.96678
ENSG00000130939,UBE4B,36,-0.1394,31,-0.3632,41,0.09451,46,0.36637,20,-0.9686,42,0.12842
ENSG00000054523,KIF1B,349,0.03414,302,-0.2100,265,-0.4680,359,0.11005,350,0.03908,563,0.80807
ENSG00000142657,PGD,61,0.21647,42,-0.4031,44,-0.3693,68,0.54970,54,0.01703,39,-0.4811
ENSG00000241563,CORT,509,4.12661,46,-0.6690,34,-1.2414,27,-1.7164,7,-3.3399,8,-3.1485
ENSG00000160049,DFFA,39,-0.1434,40,-0.1330,32,-0.5175,39,-0.2296,61,0.54543,86,1.11756
ENSG00000142655,PEX14,30,0.40865,18,-0.3711,34,0.79653,18,-0.4655,22,-0.0378,12,-0.9639
ENSG00000120948,TARDBP,116,0.47269,72,-0.3031,91,0.09323,82,-0.1020,73,-0.2610,102,0.25494
ENSG00000271895,AL109811.2,23,0.50368,22,0.48825,22,0.50716,14,-0.3848,5,-1.7234,8,-1.0671
ENSG00000116649,SRM,53,-0.0475,70,0.46254,71,0.54940,41,-0.5418,54,0.00580,23,-1.2866
ENSG00000171824,EXOSC10,27,-0.5780,33,-0.2731,39,-0.0082,42,0.16749,48,0.31714,43,0.12712
ENSG00000198793,MTOR,58,-0.0518,45,-0.5047,70,0.29575,75,0.48942,39,-0.6657,28,-1.1702
ENSG00000116661,FBXO2,43,-1.8971,200,0.48262,179,0.30989,128,-0.3666,248,0.78580,92,-0.7752
ENSG00000132879,FBXO44,73,-0.2917,83,-0.0879,124,0.70116,91,0.08378,45,-1.0242,33,-1.4645
ENSG00000116670,MAD2L2,5,-1.4048,14,0.04724,18,0.42367,11,-0.4509,11,-0.3322,26,0.97277
ENSG00000177000,MTHFR,16,0.28756,19,0.61084,19,0.70360,7,-1.2201,7,-0.8597,14,0.11974
ENSG00000011021,CLCN6,80,0.32905,65,-0.0024,54,-0.3442,84,0.57577,27,-1.3097,47,-0.4920
ENSG00000116685,KIAA2013,19,-0.6369,17,-0.8787,31,0.12629,27,-0.1681,44,0.65337,52,0.92096
ENSG00000083444,PLOD1,24,-0.1312,21,-0.3163,18,-0.6915,26,0.00351,46,0.94246,41,0.73316
ENSG00000116688,MFN2,69,-0.8265,137,0.26547,141,0.35604,132,0.25905,50,-1.2886,68,-0.8458
ENSG00000048707,VPS13D,88,0.10493,69,-0.2937,81,-0.0296,96,0.34962,92,0.18135,41,-1.0562
ENSG00000162496,DHRS3,15,-0.2125,13,-0.4040,14,-0.2983,8,-1.3900,71,2.52991,16,-0.0996
ENSG00000116731,PRDM2,288,1.21272,109,-0.3945,135,-0.0399,142,0.06388,78,-0.8713,96,-0.5494
ENSG00000189337,KAZN,47,-0.3606,55,-0.1481,50,-0.3406,68,0.29301,41,-0.5669,97,0.77857
ENSG00000142634,EFHD2,184,1.58615,42,-0.8587,18,-2.2475,109,1.05798,64,-0.1594,30,-1.3111
ENSG00000116138,DNAJC16,50,0.53291,25,-0.5808,51,0.72587,35,-0.0631,13,-1.5102,24,-0.6203
ENSG00000197312,DDI2,54,1.30062,28,0.22999,17,-0.6806,26,0.19301,9,-1.5129,17,-0.5023
ENSG00000116786,PLEKHM2,35,-1.1562,136,1.12265,69,-0.1461,69,-0.1576,47,-0.7159,57,-0.4111
ENSG00000065526,SPEN,103,0.46905,46,-0.8563,46,-0.9202,52,-0.7672,210,1.68905,171,1.32245
ENSG00000116809,ZBTB17,26,0.82532,17,0.15468,10,-0.8184,14,-0.1647,17,0.10739,23,0.61939
ENSG00000037637,FBXO42,35,0.78144,17,-0.4395,22,0.06737,20,-0.1351,30,0.48375,13,-0.7332
ENSG00000055070,SZRD1,0,-4.4447,26,0.53280,10,-1.1418,14,-0.6135,45,1.39305,47,1.46984
ENSG00000159363,ATP13A2,78,0.03875,86,0.22078,78,0.06719,89,0.36763,39,-0.9981,28,-1.5036
ENSG00000117118,SDHB,66,-0.7318,103,-0.0425,106,0.00062,129,0.44801,69,-0.6633,96,-0.1520
ENSG00000117115,PADI2,55,0.51993,23,-0.8745,8,-2.6198,9,-2.5096,89,1.31696,227,3.28322
ENSG00000179051,RCC2,7,-1.9028,35,0.50890,30,0.28772,27,0.10967,11,-1.2397,24,-0.1037
ENSG00000074964,ARHGEF10L,7,-0.9527,19,0.68207,13,0.02173,12,-0.1726,18,0.47718,6,-1.1348
ENSG00000117154,IGSF21,127,1.00041,69,0.00649,82,0.33678,64,-0.1383,32,-1.1704,26,-1.4892
ENSG00000159423,ALDH4A1,0,-6.4897,18,0.28735,10,-0.7621,12,-0.5497,50,1.97238,23,0.59850
ENSG00000127481,UBR4,40,1.13288,16,-0.3118,12,-0.9046,17,-0.2694,38,1.05010,22,0.16090
ENSG00000127463,EMC1,20,-0.6138,27,-0.1691,35,0.32758,28,-0.1046,36,0.30120,28,-0.0674
ENSG00000053372,MRTO4,45,0.41098,33,-0.0604,34,-0.0479,33,-0.0738,48,0.51377,21,-0.7739
ENSG00000053371,AKR7A2,20,-0.5268,23,-0.3837,29,0.04720,21,-0.6410,66,1.36936,41,0.56543
ENSG00000077549,CAPZB,160,0.16042,128,-0.2087,157,0.16495,145,0.01700,155,0.11424,108,-0.4437
ENSG00000173436,MICOS10,211,-1.0480,600,0.65504,424,0.03042,448,0.15535,277,-0.6303,256,-0.7507
ENSG00000158747,NBL1,151,0.07880,150,0.07689,145,0.01628,150,0.09722,166,0.23349,70,-1.0869
ENSG00000169914,OTUD3,22,-0.0178,12,-1.0454,24,0.11164,33,0.90001,16,-0.5583,6,-1.9080
ENSG00000162545,CAMK2N1,646,-1.1632,2077,0.74197,2330,1.12888,697,-1.3055,1225,-0.1880,772,-0.8961
ENSG00000090432,MUL1,35,0.61316,28,0.31423,21,-0.2221,20,-0.3491,23,-0.0497,27,0.18913
ENSG00000183114,FAM43B,37,1.32879,16,-0.0742,3,-2.8025,25,0.99276,17,0.07279,4,-1.9594
ENSG00000158828,PINK1,441,-0.1178,521,0.15638,493,0.06744,574,0.42681,283,-0.7984,171,-1.5590
ENSG00000244038,DDOST,32,0.23602,22,-0.3406,26,-0.1003,31,0.27377,23,-0.2181,26,-0.0549
ENSG00000117245,KIF17,26,0.22350,16,-0.5882,19,-0.3640,35,1.02066,12,-0.9267,8,-1.4734
ENSG00000189410,SH2D5,22,-0.6869,33,-0.1012,63,1.28332,32,-0.1654,13,-1.5045,0,-5.4434
ENSG00000127483,HP1BP3,421,0.87275,226,-0.1463,187,-0.5027,209,-0.3405,324,0.44012,357,0.59730
ENSG00000075151,EIF4G3,406,0.87495,187,-0.3957,200,-0.3146,277,0.35834,163,-0.5735,186,-0.3728
ENSG00000117298,ECE1,6,-1.5160,20,0.36717,15,-0.1536,10,-0.9766,33,1.14290,32,1.10723
ENSG00000076864,RAP1GAP,238,0.63550,156,-0.0413,149,-0.1396,179,0.24672,147,-0.1333,62,-1.4435
ENSG00000090686,USP48,151,1.06790,43,-0.9980,63,-0.4192,68,-0.2836,101,0.39433,143,0.97364
ENSG00000070831,CDC42,207,-0.1436,190,-0.3044,253,0.21545,252,0.23657,130,-0.8578,237,0.06928
ENSG00000173369,C1QB,1,-3.1999,41,1.78953,7,-1.3387,6,-1.7656,44,1.64910,23,0.51427
ENSG00000004487,KDM1A,81,0.61404,46,-0.2883,68,0.41789,52,-0.1164,41,-0.4531,34,-0.7555
ENSG00000169641,LUZP1,114,0.12079,84,-0.3970,97,-0.1610,151,0.85096,70,-0.6445,24,-2.2019
ENSG00000125944,HNRNPR,223,0.78516,111,-0.3638,117,-0.2974,118,-0.3219,150,0.14138,231,0.83865
ENSG00000117318,ID3,0,-8.1151,19,0.14576,2,-3.0731,4,-2.5818,122,3.90504,26,0.67450
ENSG00000142676,RPL11,283,-0.9348,776,0.73050,457,-0.2391,429,-0.3944,647,0.35081,659,0.37952
ENSG00000011007,ELOA,28,0.32719,19,-0.2603,24,0.12456,20,-0.2807,20,-0.1864,33,0.61810
ENSG00000057757,PITHD1,121,-0.5970,172,-0.0573,196,0.19188,216,0.44399,96,-0.9407,120,-0.6079
ENSG00000011009,LYPLA2,14,-1.0779,34,0.32296,35,0.45041,29,0.07827,14,-1.0911,20,-0.5299
ENSG00000117308,GALE,23,0.35947,14,-0.4259,19,0.08340,25,0.75764,3,-2.3627,6,-1.5801
ENSG00000117305,HMGCL,6,-1.2421,13,-0.1866,15,0.08401,14,-0.0283,13,-0.1847,26,0.95035
ENSG00000189266,PNRC2,81,0.18921,68,-0.0991,71,-0.0204,53,-0.6277,116,0.77816,105,0.61250
ENSG00000188529,SRSF10,85,0.28374,71,0.00643,63,-0.2336,65,-0.1880,89,0.34833,88,0.34376
ENSG00000001461,NIPAL3,159,0.52676,67,-0.8872,80,-0.6458,98,-0.3170,124,0.12016,324,1.75393
ENSG00000133226,SRRM1,205,0.99317,72,-0.7329,64,-0.9885,105,-0.1252,193,0.88902,183,0.80535
ENSG00000169504,CLIC4,48,-0.2382,20,-1.6244,2,-5.0564,13,-2.5314,129,1.37752,396,3.96628
ENSG00000117614,SYF2,114,0.10372,91,-0.2713,72,-0.7024,111,0.08307,181,0.85460,142,0.46374
ENSG00000117616,RSRP1,97,0.20403,79,-0.1327,88,0.06021,55,-0.8572,130,0.68316,153,0.94951
ENSG00000183726,TMEM50A,133,0.50191,71,-0.5325,124,0.49020,61,-0.9119,109,0.17923,166,0.86786
ENSG00000204178,MACO1,84,0.94540,35,-0.4820,30,-0.7672,50,0.14409,65,0.53766,50,0.11306
ENSG00000117643,MAN1C1,18,-1.4789,47,-0.0099,95,1.58890,30,-0.9201,45,-0.0751,7,-2.7233
ENSG00000162430,SELENON,28,0.18944,34,0.53389,19,-0.4604,16,-0.8170,51,1.14385,30,0.25988
ENSG00000117640,MTFR1L,56,-0.1992,81,0.42274,66,0.08350,68,0.14351,43,-0.6093,32,-1.0461
ENSG00000117632,STMN1,1989,0.15866,1258,-0.5998,1532,-0.3014,2498,0.78523,750,-1.3350,1743,-0.0492
ENSG00000158008,EXTL1,58,0.70607,49,0.48848,32,-0.2525,37,0.02806,31,-0.2883,11,-1.7591
ENSG00000175087,PDIK1L,17,0.23355,12,-0.3763,13,-0.1855,19,0.55860,7,-1.0037,13,-0.1487
ENSG00000142684,ZNF593,18,-1.0923,37,-0.0123,37,0.00121,47,0.52834,28,-0.4025,27,-0.5069
ENSG00000142669,SH3BGRL3,108,-0.3209,109,-0.3349,87,-0.7545,167,0.52855,159,0.28023,178,0.47046
ENSG00000158062,UBXN11,9,-0.7800,15,0.06550,21,0.72568,12,-0.3339,15,0.09179,8,-0.8201
ENSG00000117682,DHDDS,24,0.02184,22,-0.0699,27,0.31322,25,0.10421,20,-0.2720,12,-1.0165
ENSG00000198830,HMGN2,233,0.52702,164,-0.0397,127,-0.5082,95,-1.0999,314,1.02426,375,1.33204
ENSG00000117713,ARID1A,61,0.34178,45,-0.1595,40,-0.3965,40,-0.4528,109,1.29760,55,0.16599
ENSG00000204160,ZDHHC18,27,0.62045,26,0.61716,9,-1.1070,18,0.04403,24,0.42614,13,-0.5202
ENSG00000142751,GPN2,14,-0.4415,19,0.07441,17,-0.1369,20,0.19457,19,0.00795,19,-0.0066
ENSG00000090273,NUDC,139,-0.4962,207,0.13445,199,0.07479,206,0.16232,179,-0.1075,145,-0.4353
ENSG00000253368,TRNP1,41,-0.3900,75,0.61498,52,-0.0494,70,0.63425,10,-2.4537,2,-4.6001
ENSG00000090020,SLC9A1,11,-0.5772,16,-0.1358,20,0.31184,24,0.77119,3,-2.4477,3,-2.2246
ENSG00000142784,WDTC1,23,0.23279,23,0.29336,14,-0.5561,19,-0.0509,21,0.12531,25,0.38443
ENSG00000186501,TMEM222,40,-0.1581,49,0.19576,42,-0.0978,44,0.00114,25,-0.8670,63,0.58226
ENSG00000158195,WASF2,20,-0.7869,25,-0.4367,14,-1.4031,13,-1.7351,127,2.35823,104,1.95617
ENSG00000126705,AHDC1,42,0.73353,21,-0.3788,31,0.27589,24,-0.2279,32,0.26071,16,-0.7751
ENSG00000126709,IFI6,74,-0.7608,113,-0.1120,105,-0.2583,143,0.38313,182,0.65382,80,-0.6395
ENSG00000009780,FAM76A,28,0.77533,15,-0.1784,11,-0.8339,14,-0.3424,25,0.61620,32,0.98498
ENSG00000117758,STX12,158,0.40357,140,0.23171,127,0.06295,110,-0.2277,85,-0.5724,128,0.07472
ENSG00000117751,PPP1R8,27,-0.1715,24,-0.4084,29,-0.0905,26,-0.3436,50,0.79314,51,0.80662
ENSG00000117748,RPA2,44,-0.2363,35,-0.6360,66,0.52377,53,0.10192,46,-0.1550,40,-0.3713
ENSG00000126698,DNAJC8,251,0.11527,214,-0.1491,200,-0.2899,267,0.30600,194,-0.2839,257,0.15379
ENSG00000130770,ATP5IF1,499,-0.4477,634,-0.0817,769,0.28523,844,0.55088,268,-1.3867,266,-1.3996
ENSG00000204138,PHACTR4,10,-0.3968,18,0.54111,5,-1.6431,9,-0.8577,31,1.33231,35,1.55707
ENSG00000180098,TRNAU1AP,18,-0.2823,20,-0.1289,20,-0.1679,23,0.15062,26,0.28084,24,0.13274
ENSG00000120656,TAF12,8,-1.0552,10,-0.6981,14,-0.2272,21,0.62537,11,-0.5115,25,0.73358
ENSG00000198492,YTHDF2,99,0.28878,63,-0.4608,110,0.58487,79,-0.0822,55,-0.6304,63,-0.4208
ENSG00000159023,EPB41,2,-2.5013,13,-0.1284,11,-0.4547,17,0.34080,37,1.59221,5,-1.5042
ENSG00000116350,SRSF4,110,0.87253,42,-0.6854,56,-0.2442,54,-0.3329,95,0.62467,92,0.58491
ENSG00000116353,MECR,22,-0.4352,31,0.06081,37,0.41483,31,0.07063,28,-0.1017,12,-1.3543
ENSG00000060656,PTPRU,65,2.24355,17,-0.0732,6,-1.8492,16,-0.1443,18,0.00230,12,-0.5177
ENSG00000162511,LAPTM5,8,-0.8294,18,0.54327,10,-0.4199,7,-1.2342,29,1.23176,28,1.22223
ENSG00000162512,SDC3,64,-0.3545,68,-0.2734,93,0.29278,47,-1.0341,227,1.75071,69,-0.2460
ENSG00000134644,PUM1,176,0.54986,120,-0.0575,131,0.09962,112,-0.2298,167,0.46587,71,-0.8598
ENSG00000060688,SNRNP40,10,-0.5284,10,-0.5839,14,-0.0650,13,-0.2288,27,0.96467,23,0.73727
ENSG00000121766,ZCCHC17,162,0.41564,136,0.14108,136,0.16270,122,-0.0547,74,-0.8135,98,-0.3802
ENSG00000121769,FABP3,118,-0.1327,86,-0.6725,116,-0.1849,211,1.26785,39,-1.8059,21,-2.7223
ENSG00000162517,PEF1,56,-0.3580,70,-0.0211,81,0.24429,81,0.28962,39,-0.9044,51,-0.4998
ENSG00000084636,COL16A1,15,-1.0231,26,-0.2273,23,-0.4717,23,-0.5191,50,0.83176,79,1.62990
ENSG00000121753,ADGRB2,120,-0.5350,175,0.05054,216,0.49024,179,0.12260,136,-0.3487,64,-1.4894
ENSG00000184007,PTP4A2,276,0.33400,131,-0.8806,122,-1.0707,175,-0.5001,293,0.43056,784,2.18111
ENSG00000121774,KHDRBS1,184,0.58616,114,-0.1942,127,-0.0016,101,-0.4660,162,0.37935,168,0.44036
ENSG00000025800,KPNA6,79,0.38631,60,-0.0412,67,0.14857,58,-0.1398,59,-0.0672,51,-0.2885
ENSG00000084652,TXLNA,15,-0.7392,26,0.13503,30,0.40659,18,-0.5917,25,0.06870,37,0.66092
ENSG00000160050,CCDC28B,16,-0.3068,27,0.56548,21,0.14550,19,-0.1210,15,-0.3716,12,-0.6949
ENSG00000084623,EIF3I,118,-0.1444,124,-0.0709,120,-0.1414,156,0.42754,92,-0.5322,110,-0.2556
ENSG00000175130,MARCKSL1,142,-0.2079,66,-1.4673,19,-3.4228,63,-1.7544,274,0.84163,1097,3.80899
ENSG00000160058,BSDC1,54,0.21418,45,-0.0730,51,0.14852,42,-0.2292,45,-0.0846,55,0.24218
ENSG00000176261,ZBTB8OS,38,-0.5671,72,0.45938,63,0.26982,57,0.08339,30,-0.9221,31,-0.8582
ENSG00000162521,RBBP4,98,0.03891,76,-0.3771,105,0.18541,88,-0.1573,114,0.28673,111,0.23914
ENSG00000162522,KIAA1522,0,-6.1982,36,1.28232,27,0.78819,14,-0.4584,4,-2.1555,4,-2.2020
ENSG00000134684,YARS,107,-0.2704,106,-0.3086,143,0.22328,165,0.59980,80,-0.7183,41,-1.6951
ENSG00000160097,FNDC5,4,-3.0889,33,0.06710,31,-0.0586,50,1.12675,12,-1.4226,7,-2.2308
ENSG00000121905,HPCA,204,0.30586,148,-0.2124,204,0.38869,193,0.31308,101,-0.7878,29,-2.6007
ENSG00000121900,TMEM54,6,-2.3645,41,0.45622,24,-0.5102,37,0.35689,41,0.41403,30,-0.0781
ENSG00000116514,RNF19B,12,-0.7470,21,0.15376,31,0.96417,18,-0.1514,4,-2.1432,10,-1.0533
ENSG00000004455,AK2,11,-1.5729,28,-0.2617,21,-0.7928,30,-0.1545,51,0.71631,88,1.68437
ENSG00000142920,AZIN2,24,-0.0285,16,-0.6706,23,-0.0642,31,0.61867,13,-0.8903,24,0.00766
ENSG00000160094,ZNF362,20,0.27567,15,-0.2128,20,0.29901,18,0.10227,6,-1.4852,17,-0.0226
ENSG00000134686,PHC2,61,0.18255,52,-0.0617,37,-0.7187,50,-0.1798,69,0.36362,109,1.13368
ENSG00000163866,SMIM12,56,-0.2120,72,0.20279,68,0.10463,74,0.31955,35,-0.9472,36,-0.8815
ENSG00000116544,DLGAP3,16,-1.1025,52,0.83436,49,0.85443,18,-1.1261,38,0.22301,15,-1.1960
ENSG00000163867,ZMYM6,33,0.41059,23,-0.1982,28,0.18402,21,-0.4152,32,0.35597,28,0.15913
ENSG00000116560,SFPQ,226,0.35610,128,-0.5727,162,-0.2098,143,-0.4761,357,1.11506,270,0.64656
ENSG00000146463,ZMYM4,84,0.22629,71,-0.0323,54,-0.5413,77,0.13091,101,0.52788,73,0.01748
ENSG00000142687,KIAA0319L,48,-0.3320,65,0.17325,61,0.06937,63,0.13989,60,0.01935,35,-0.7908
ENSG00000020129,NCDN,528,0.03740,515,0.00052,844,1.05654,445,-0.3082,231,-1.2286,83,-2.7312
ENSG00000126067,PSMB2,112,0.22699,82,-0.2848,102,0.10689,101,0.08838,66,-0.5980,111,0.20639
ENSG00000142686,C1orf216,71,-0.3048,111,0.42470,122,0.69654,85,-0.0368,26,-1.8037,16,-2.4824
ENSG00000092847,AGO1,55,0.76021,33,-0.0765,34,0.01208,29,-0.3021,38,0.17808,30,-0.1906
ENSG00000126070,AGO3,37,0.35624,20,-0.6235,20,-0.6733,27,-0.1837,56,1.02354,53,0.91510
ENSG00000116863,ADPRHL2,16,-0.3305,20,0.08269,16,-0.3365,19,-0.0394,20,0.03389,32,0.79837
ENSG00000054116,TRAPPC3,25,-1.1657,58,0.15223,65,0.41382,60,0.25440,35,-0.6527,27,-1.0014
ENSG00000116871,MAP7D1,168,-0.1430,142,-0.4313,211,0.27328,157,-0.3256,152,-0.2961,339,0.99597
