Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000197312,DDI2,30,-0.0980,43,0.57937,32,0.08644,24,-0.4650
ENSG00000116786,PLEKHM2,77,-0.8812,103,-0.1710,171,0.72941,147,0.50226
ENSG00000065526,SPEN,100,-0.2388,192,1.02045,143,0.45136,53,-1.2953
ENSG00000116809,ZBTB17,12,-0.7869,19,0.13164,16,-0.1604,27,0.85236
ENSG00000037637,FBXO42,19,0.24839,16,-0.1257,14,-0.3561,18,0.00720
ENSG00000055070,SZRD1,9,-1.2616,15,-0.1447,22,0.50953,26,0.97382
ENSG00000159363,ATP13A2,176,0.54282,89,-0.7860,80,-0.9548,168,0.31133
ENSG00000117118,SDHB,115,0.51016,88,-0.1329,42,-1.3108,101,0.12692
ENSG00000117115,PADI2,6,-2.1232,7,-1.4502,34,1.20020,35,1.44685
ENSG00000179051,RCC2,21,-0.2313,27,0.30950,26,0.18977,22,-0.0990
ENSG00000074964,ARHGEF10L,14,0.00666,7,-1.0760,17,0.36404,16,0.29918
ENSG00000117154,IGSF21,86,-0.0193,98,0.22069,77,-0.1911,86,-0.0115
ENSG00000159423,ALDH4A1,4,-1.9899,5,-1.3882,22,1.17303,22,1.38727
ENSG00000127481,UBR4,49,0.21366,61,0.52150,39,-0.2390,32,-0.6124
ENSG00000127463,EMC1,30,0.13714,32,0.21368,19,-0.6497,30,0.06642
ENSG00000053372,MRTO4,41,-0.2821,54,0.29519,41,-0.1934,52,0.25119
ENSG00000053371,AKR7A2,28,0.04015,19,-0.6017,21,-0.4705,38,0.58915
ENSG00000077549,CAPZB,191,0.24130,183,0.08687,117,-0.6638,177,0.03758
ENSG00000173436,MICOS10,322,-0.5166,272,-0.6593,535,0.50483,538,0.58623
ENSG00000158747,NBL1,152,-0.0815,157,-0.0051,128,-0.3539,186,0.33161
ENSG00000169914,OTUD3,22,0.20220,28,0.56669,12,-0.8888,18,-0.2166
ENSG00000162545,CAMK2N1,877,-1.5333,2542,0.57443,2407,0.47292,2624,0.72551
ENSG00000090432,MUL1,18,0.30096,23,0.61620,10,-0.8155,13,-0.4583
ENSG00000183114,FAM43B,24,0.46742,14,-0.6131,18,-0.2171,19,-0.0725
ENSG00000158828,PINK1,524,0.24063,312,-0.7089,487,0.03738,502,0.09841
ENSG00000244038,DDOST,49,0.63068,38,-0.0267,17,-1.2823,36,-0.1197
ENSG00000117245,KIF17,56,1.00988,20,-1.0802,20,-1.1143,38,-0.0849
ENSG00000189410,SH2D5,43,-0.1989,41,-0.2285,28,-0.8706,70,0.82957
ENSG00000127483,HP1BP3,185,-0.0964,279,0.67295,196,0.03322,144,-0.5274
ENSG00000075151,EIF4G3,379,0.81780,389,0.56581,194,-0.6346,113,-1.5831
ENSG00000076864,RAP1GAP,147,0.20994,133,-0.0381,93,-0.6212,146,0.14642
ENSG00000090686,USP48,88,0.51649,88,0.34364,51,-0.5740,50,-0.6644
ENSG00000070831,CDC42,280,0.67966,162,-0.5018,143,-0.7086,204,-0.1291
ENSG00000133216,EPHB2,17,0.38670,8,-0.9419,12,-0.3096,17,0.24996
ENSG00000004487,KDM1A,75,0.83835,44,-0.4017,31,-0.9454,47,-0.2955
ENSG00000169641,LUZP1,252,0.76893,219,0.23313,144,-0.4790,103,-1.0921
ENSG00000125944,HNRNPR,139,0.26139,139,0.18719,99,-0.3913,111,-0.2329
ENSG00000142676,RPL11,358,-0.7935,400,-0.4150,669,0.47761,737,0.75434
ENSG00000011007,ELOA,25,0.06278,32,0.49704,26,0.12443,16,-0.6661
ENSG00000057757,PITHD1,187,0.34804,121,-0.5136,130,-0.3894,176,0.13870
ENSG00000011009,LYPLA2,24,-0.0290,18,-0.4639,25,0.05388,28,0.29079
ENSG00000117308,GALE,20,0.36983,15,-0.2482,7,-1.2921,21,0.36530
ENSG00000117305,HMGCL,10,-0.4357,9,-0.5791,14,0.20163,18,0.68786
ENSG00000189266,PNRC2,51,-0.1933,56,0.02064,59,0.13193,59,0.12852
ENSG00000188529,SRSF10,54,-0.1760,70,0.33086,68,0.29140,50,-0.2831
ENSG00000001461,NIPAL3,121,0.53648,105,0.10541,79,-0.3839,72,-0.5910
ENSG00000133226,SRRM1,134,-0.1216,237,0.95894,180,0.43543,62,-1.4188
ENSG00000169504,CLIC4,5,-2.0673,5,-1.5812,34,1.65155,23,1.03515
ENSG00000117614,SYF2,87,-0.2148,111,0.27708,120,0.42209,80,-0.3039
ENSG00000117616,RSRP1,51,-0.5679,131,1.32377,38,-0.8972,64,-0.0446
ENSG00000183726,TMEM50A,62,-0.1276,60,-0.1484,54,-0.3252,82,0.45855
ENSG00000204178,MACO1,58,0.38268,83,0.93040,40,-0.3790,21,-1.4530
ENSG00000117643,MAN1C1,47,0.03261,58,0.39608,19,-1.4438,56,0.36938
ENSG00000162430,SELENON,16,-0.3414,17,-0.1843,13,-0.5219,27,0.80202
ENSG00000117640,MTFR1L,54,-0.1515,53,-0.1176,59,0.04626,65,0.23529
ENSG00000117632,STMN1,2154,0.70528,1192,-0.5649,1054,-0.7652,1586,-0.0970
ENSG00000158008,EXTL1,43,-0.1269,46,0.01587,44,-0.0721,51,0.19735
ENSG00000175087,PDIK1L,17,0.13316,18,0.15265,13,-0.3392,16,-0.0595
ENSG00000142684,ZNF593,40,0.36971,29,-0.3059,33,-0.0905,31,-0.2188
ENSG00000142669,SH3BGRL3,234,0.26066,129,-0.8120,195,-0.1351,239,0.24057
ENSG00000158062,UBXN11,15,-0.5654,15,-0.4336,25,0.36038,27,0.63559
ENSG00000117682,DHDDS,19,-0.2160,29,0.56710,14,-0.6028,23,0.18108
ENSG00000198830,HMGN2,100,-0.5922,109,-0.2889,126,-0.0404,194,0.84824
ENSG00000117713,ARID1A,42,-0.4838,74,0.66252,58,0.20858,48,-0.1278
ENSG00000204160,ZDHHC18,16,0.35860,16,0.30147,7,-1.1351,13,-0.0719
ENSG00000142751,GPN2,16,0.00035,17,0.06748,9,-0.8619,20,0.43652
ENSG00000090273,NUDC,246,-0.0052,252,0.03645,207,-0.2974,271,0.17957
ENSG00000253368,TRNP1,75,0.37864,33,-1.1104,62,-0.0799,72,0.18359
ENSG00000090020,SLC9A1,33,0.83993,13,-1.0335,10,-1.3991,27,0.21796
ENSG00000142784,WDTC1,20,-0.5628,34,0.53594,38,0.70076,21,-0.3797
ENSG00000186501,TMEM222,37,-0.3745,51,0.25823,30,-0.6079,59,0.60050
ENSG00000158195,WASF2,7,-2.0471,15,-0.4108,48,1.70348,26,0.54647
ENSG00000126705,AHDC1,27,-0.5667,58,0.90672,39,0.19618,30,-0.2788
ENSG00000126709,IFI6,137,1.28155,69,-0.4493,53,-0.8770,50,-1.0402
ENSG00000009780,FAM76A,19,-0.0397,35,1.06708,19,-0.0231,10,-1.1542
ENSG00000117758,STX12,106,0.12114,85,-0.2839,85,-0.2849,113,0.22734
ENSG00000117751,PPP1R8,20,-0.4919,24,-0.0614,16,-0.7167,40,0.96293
ENSG00000117748,RPA2,56,0.36246,46,-0.0925,18,-1.5514,59,0.35897
ENSG00000126698,DNAJC8,254,0.15867,314,0.48914,238,-0.0045,163,-0.6928
ENSG00000130770,ATP5IF1,730,0.13908,565,-0.3429,470,-0.6440,858,0.43102
ENSG00000204138,PHACTR4,4,-2.2969,28,1.14224,27,1.03185,17,0.19796
ENSG00000180098,TRNAU1AP,15,-0.2133,20,0.40778,16,-0.0561,16,-0.0172
ENSG00000120656,TAF12,18,0.48398,10,-0.6700,11,-0.4937,16,0.10744
ENSG00000198492,YTHDF2,101,0.39251,99,0.22212,63,-0.5442,72,-0.3586
ENSG00000159023,EPB41,16,-0.4011,39,1.26491,23,0.24834,10,-1.1271
ENSG00000116350,SRSF4,68,0.07766,77,0.28439,86,0.47960,41,-0.8478
ENSG00000116353,MECR,37,0.22775,28,-0.3115,25,-0.4992,38,0.23517
ENSG00000060656,PTPRU,12,-0.5913,18,0.26681,24,0.79633,14,-0.1858
ENSG00000162511,LAPTM5,11,-1.2273,7,-1.6648,39,1.20424,32,0.94843
ENSG00000162512,SDC3,30,-1.0317,62,0.39573,62,0.39957,64,0.52411
ENSG00000134644,PUM1,111,-0.2575,155,0.40965,124,0.01465,122,-0.0155
ENSG00000121766,ZCCHC17,136,0.08776,152,0.25153,116,-0.2119,120,-0.1670
ENSG00000121769,FABP3,177,1.20047,61,-1.0885,68,-0.9172,93,-0.4436
ENSG00000162517,PEF1,73,0.19331,63,-0.1169,54,-0.3837,71,0.08955
ENSG00000084636,COL16A1,24,-0.2696,28,0.06623,30,0.22378,28,0.11657
ENSG00000121753,ADGRB2,206,-0.0277,257,0.36898,141,-0.6550,225,0.15025
ENSG00000184007,PTP4A2,144,-0.5293,191,0.08506,312,0.99696,152,-0.3383
ENSG00000121774,KHDRBS1,118,-0.2043,154,0.32254,100,-0.4275,148,0.27764
ENSG00000025800,KPNA6,83,0.15987,109,0.59047,85,0.14629,45,-0.9924
ENSG00000084652,TXLNA,19,-0.2801,32,0.67843,20,-0.1665,21,-0.1104
ENSG00000160050,CCDC28B,15,-0.4286,19,0.08900,9,-1.0640,29,0.94315
ENSG00000084623,EIF3I,121,0.47565,84,-0.3246,66,-0.7216,104,0.04448
ENSG00000175130,MARCKSL1,39,-1.3914,44,-0.9204,125,0.88360,130,1.12453
ENSG00000160058,BSDC1,41,-0.1624,55,0.41541,44,0.01126,40,-0.1412
ENSG00000176261,ZBTB8OS,42,-0.2086,33,-0.5393,55,0.32899,54,0.33673
ENSG00000162521,RBBP4,91,0.03669,111,0.37096,74,-0.3189,84,-0.1301
ENSG00000162522,KIAA1522,11,-0.8877,20,0.31403,14,-0.2415,25,0.86439
ENSG00000134684,YARS,186,0.75864,100,-0.5821,71,-1.1145,142,0.00294
ENSG00000160097,FNDC5,45,0.44951,27,-0.5585,14,-1.5806,49,0.52385
ENSG00000121905,HPCA,176,0.10900,151,-0.1891,70,-1.4342,235,0.67097
ENSG00000121900,TMEM54,39,-0.0780,21,-1.0435,39,-0.0217,55,0.64978
ENSG00000116514,RNF19B,16,0.01702,15,-0.0539,11,-0.6141,19,0.38558
ENSG00000004455,AK2,32,0.18611,24,-0.3444,27,-0.1801,32,0.11737
ENSG00000142920,AZIN2,27,0.13503,25,-0.0275,14,-0.9456,31,0.37850
ENSG00000160094,ZNF362,11,-1.0143,16,-0.1720,21,0.29297,27,0.94694
ENSG00000134686,PHC2,38,-0.2252,39,-0.1514,36,-0.2636,55,0.53263
ENSG00000163866,SMIM12,84,0.66023,42,-0.7376,40,-0.8308,69,0.08771
ENSG00000116544,DLGAP3,10,-2.3070,56,0.87435,41,0.29810,57,1.04922
ENSG00000163867,ZMYM6,23,0.36562,24,0.26398,13,-0.6715,17,-0.2788
ENSG00000116560,SFPQ,180,-0.2213,312,0.83659,184,-0.1233,159,-0.3989
ENSG00000146463,ZMYM4,56,-0.0777,67,0.25520,64,0.19263,50,-0.2610
ENSG00000142687,KIAA0319L,58,-0.2553,87,0.54583,51,-0.3844,69,0.12625
ENSG00000020129,NCDN,587,-0.0322,724,0.34869,245,-1.4364,754,0.47727
ENSG00000126067,PSMB2,117,0.72750,66,-0.5289,41,-1.2769,94,0.07726
ENSG00000142686,C1orf216,126,0.38292,106,-0.0431,64,-0.8794,112,0.05447
ENSG00000092847,AGO1,27,-0.5984,49,0.61229,34,-0.0590,40,0.25266
ENSG00000126070,AGO3,28,-0.3155,60,1.18595,30,-0.1145,21,-0.7368
ENSG00000116863,ADPRHL2,20,0.78858,11,-0.5353,10,-0.6867,13,-0.2758
ENSG00000054116,TRAPPC3,88,0.56357,69,-0.0646,33,-1.2641,71,-0.0072
ENSG00000116871,MAP7D1,167,-0.2438,212,0.23908,159,-0.2569,214,0.28903
ENSG00000054118,THRAP3,142,0.12229,199,0.69001,128,-0.0929,87,-0.7994
ENSG00000196182,STK40,12,-0.3305,15,0.03365,9,-0.7878,21,0.77991
ENSG00000181817,LSM10,46,-0.0587,46,-0.0399,46,-0.0293,50,0.12422
ENSG00000116885,OSCP1,21,0.19053,23,0.26036,6,-1.7821,24,0.38113
ENSG00000116898,MRPS15,82,0.34801,52,-0.5265,66,-0.1314,71,-0.0194
ENSG00000163873,GRIK3,14,-0.6675,18,-0.0952,24,0.42091,24,0.50347
ENSG00000163875,MEAF6,134,0.32419,103,-0.2373,102,-0.2538,113,-0.0841
ENSG00000163877,SNIP1,16,0.18672,18,0.32736,13,-0.1720,12,-0.4130
ENSG00000134697,GNL2,30,0.20833,42,0.76054,23,-0.3136,17,-0.8488
ENSG00000116922,C1orf109,25,0.52043,17,-0.2951,11,-0.9753,21,0.08683
ENSG00000183317,EPHA10,19,0.58226,20,0.49041,6,-1.4576,12,-0.4513
ENSG00000185090,MANEAL,27,0.36683,22,-0.0652,14,-0.8512,24,0.07791
ENSG00000196449,YRDC,20,1.05445,6,-1.3020,9,-0.6192,12,-0.3054
ENSG00000197982,C1orf122,131,-0.5331,108,-0.7021,184,0.18720,248,0.84539
ENSG00000183431,SF3A3,67,0.44526,71,0.38387,35,-0.7964,45,-0.4445
ENSG00000183520,UTP11,50,0.46198,59,0.57783,33,-0.4181,24,-0.9868
ENSG00000185668,POU3F1,19,-0.3386,38,0.99593,8,-1.6007,26,0.30752
ENSG00000116954,RRAGC,54,0.51187,55,0.36756,28,-0.7658,33,-0.5536
ENSG00000174574,AKIRIN1,100,0.30692,94,0.09342,78,-0.2221,74,-0.3380
ENSG00000168653,NDUFS5,980,0.30968,617,-0.5767,868,-0.0032,855,-0.0323
ENSG00000127603,MACF1,197,-0.3228,324,0.64703,305,0.53204,157,-0.6652
ENSG00000090621,PABPC4,40,-0.5756,67,0.45514,79,0.77371,42,-0.3613
ENSG00000116983,HPCAL4,134,-1.0865,308,0.59170,230,0.06191,305,0.65366
ENSG00000084072,PPIE,36,-0.1116,31,-0.3127,31,-0.2943,48,0.51802
ENSG00000131236,CAP1,181,0.46603,158,0.07089,100,-0.7042,134,-0.2374
ENSG00000131238,PPT1,153,0.35101,130,-0.0555,70,-1.0524,147,0.17869
ENSG00000117000,RLF,22,-0.2978,55,1.47187,24,-0.1355,12,-1.2671
ENSG00000084073,ZMPSTE24,38,0.33883,32,-0.0312,26,-0.4254,31,-0.1414
ENSG00000084070,SMAP2,193,0.45837,197,0.34198,88,-1.0048,137,-0.3106
ENSG00000117016,RIMS3,171,-0.3554,189,-0.0907,172,-0.2442,270,0.62256
ENSG00000066136,NFYC,38,0.52493,29,-0.1637,16,-1.0993,32,0.04800
ENSG00000179862,CITED4,15,0.28969,16,0.28331,4,-1.7294,16,0.23120
ENSG00000171793,CTPS1,17,0.37945,15,-0.0006,9,-0.7913,15,-0.0141
ENSG00000127124,HIVEP3,22,0.05375,23,0.10440,25,0.26148,18,-0.3800
ENSG00000198815,FOXJ3,48,-0.0353,60,0.37089,32,-0.6633,53,0.16220
ENSG00000177181,RIMKLA,73,0.38609,56,-0.2047,61,-0.0686,53,-0.3337
ENSG00000127125,PPCS,54,0.02944,53,0.00906,45,-0.2891,58,0.15124
ENSG00000186409,CCDC30,31,-0.6632,89,1.42951,60,0.64458,17,-1.5710
ENSG00000171960,PPIH,17,-0.0582,8,-1.3342,12,-0.6200,29,1.02690
ENSG00000065978,YBX1,56,-0.9721,77,-0.2024,150,1.00229,104,0.35545
ENSG00000164008,C1orf50,21,0.19554,15,-0.4307,20,0.11226,19,-0.0535
ENSG00000177868,SVBP,55,-0.0197,54,-0.0403,55,-0.0189,57,0.06834
ENSG00000117394,SLC2A1,16,-1.0707,9,-1.7353,41,0.79937,46,1.18643
ENSG00000117395,EBNA1BP2,135,0.47336,93,-0.3283,60,-1.0299,125,0.18986
ENSG00000159479,MED8,32,0.30629,27,-0.0574,19,-0.6750,29,0.06447
ENSG00000142949,PTPRF,100,0.14591,97,0.04904,60,-0.7478,106,0.22736
ENSG00000066135,KDM4A,21,0.51886,22,0.48863,7,-1.3467,14,-0.3955
ENSG00000126091,ST3GAL3,32,-0.4819,45,0.25059,27,-0.5945,55,0.70746
ENSG00000117408,IPO13,35,-0.3041,40,0.03695,34,-0.2297,50,0.48124
ENSG00000117410,ATP6V0B,537,0.84782,323,-0.3554,156,-1.5170,377,-0.1016
ENSG00000117411,B4GALT2,35,-1.0362,47,-0.2865,81,0.65086,81,0.76637
ENSG00000159214,CCDC24,20,0.23491,13,-0.5770,12,-0.6841,23,0.46010
ENSG00000178028,DMAP1,60,0.11663,66,0.23821,30,-1.0416,65,0.25182
ENSG00000117419,ERI3,116,0.16574,88,-0.3503,93,-0.2575,120,0.19538
ENSG00000187147,RNF220,106,-0.2940,128,0.10980,113,-0.1053,143,0.34606
ENSG00000142937,RPS8,647,-0.8354,779,-0.3264,1507,0.85878,1172,0.43343
ENSG00000070785,EIF2B3,34,0.29668,37,0.33433,11,-1.5371,32,0.12657
ENSG00000126107,HECTD3,14,0.06179,12,-0.2033,8,-0.8147,18,0.51603
ENSG00000126088,UROD,90,0.33881,61,-0.4184,39,-1.1571,99,0.45027
ENSG00000117450,PRDX1,254,0.18006,158,-0.6741,184,-0.4184,294,0.43853
ENSG00000117448,AKR1A1,59,0.49768,32,-0.6858,37,-0.4596,51,0.07843
ENSG00000132780,NASP,55,0.01770,77,0.63110,56,0.04372,38,-0.6728
ENSG00000159592,GPBP1L1,22,-0.3866,26,-0.0517,34,0.44542,29,0.15656
ENSG00000159596,TMEM69,19,0.51274,11,-0.5825,8,-1.0041,18,0.27052
ENSG00000086015,MAST2,21,-0.3964,22,-0.1936,21,-0.2530,36,0.72775
ENSG00000117461,PIK3R3,37,0.40070,32,-0.0015,27,-0.2452,26,-0.3811
ENSG00000085998,POMGNT1,51,0.18227,44,-0.1220,23,-1.1521,60,0.46108
ENSG00000132128,LRRC41,38,0.24347,41,0.33612,19,-0.9207,33,-0.0410
ENSG00000173660,UQCRH,724,0.12939,417,-0.8308,632,-0.1446,845,0.41110
ENSG00000117481,NSUN4,16,0.26239,14,-0.0071,12,-0.2385,13,-0.1775
ENSG00000117480,FAAH,28,0.03864,37,0.52576,10,-1.5688,32,0.29380
ENSG00000079277,MKNK1,15,-0.6291,34,1.03733,13,-0.6434,22,0.21912
ENSG00000123472,ATPAF1,145,0.20535,117,-0.2217,119,-0.1906,135,0.02203
ENSG00000159658,EFCAB14,32,-0.7930,44,-0.0463,55,0.35812,62,0.63954
ENSG00000186377,CYP4X1,23,0.22341,26,0.38209,8,-1.4383,23,0.14854
ENSG00000162368,CMPK1,193,0.49666,116,-0.5396,148,-0.1354,143,-0.2152
ENSG00000186094,AGBL4,18,0.64094,15,0.10306,8,-0.9636,11,-0.3860
ENSG00000162373,BEND5,85,1.31452,22,-1.4590,33,-0.8322,42,-0.4942
ENSG00000162374,ELAVL4,318,0.61225,279,0.16662,163,-0.7308,190,-0.5337
ENSG00000185104,FAF1,50,0.44210,35,-0.3491,25,-0.8528,46,0.16536
ENSG00000123091,RNF11,402,-0.0855,381,-0.1493,422,0.02458,459,0.19252
ENSG00000085832,EPS15,254,0.25843,178,-0.4303,234,0.03229,220,-0.0762
ENSG00000117859,OSBPL9,19,-0.0135,18,-0.0890,17,-0.2129,21,0.22361
