Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000189339,SLC35E2B,16,-0.2315,25,0.46619,17,-0.1314,10,-0.9930,24,0.45887,19,0.00784,25,0.44610
ENSG00000008128,CDK11A,36,0.54413,50,1.05350,23,-0.2380,27,0.03637,15,-0.9482,20,-0.4110,17,-0.7134
ENSG00000215790,SLC35E2A,11,-0.6503,16,0.05362,19,0.30552,9,-0.9852,19,0.35289,16,0.01484,30,1.01531
ENSG00000008130,NADK,17,-0.4057,23,0.03859,18,-0.2750,19,-0.2218,27,0.36242,16,-0.5192,36,0.80972
ENSG00000078369,GNB1,245,-1.0370,224,-1.0893,406,-0.1690,467,0.06214,600,0.53668,610,0.49313,647,0.59219
ENSG00000187730,GABRD,2,-5.9562,84,-0.7262,46,-1.6313,226,1.03481,297,1.68275,80,-0.7865,72,-0.9622
ENSG00000067606,PRKCZ,85,-1.4232,154,-0.4100,161,-0.3417,234,0.28943,301,0.78941,256,0.40150,186,-0.1122
ENSG00000162585,FAAP20,34,0.06197,29,-0.2110,15,-1.2287,18,-1.0111,36,0.16937,59,0.96583,50,0.69078
ENSG00000157933,SKI,27,0.48661,48,1.38764,8,-1.3916,12,-0.9159,19,-0.1999,9,-1.2038,28,0.46483
ENSG00000157916,RER1,74,0.31742,54,-0.2174,53,-0.2578,69,0.19803,68,0.16199,37,-0.8130,55,-0.1803
ENSG00000157911,PEX10,39,0.92298,7,-1.7995,12,-1.0252,23,-0.1116,25,0.07983,9,-1.5528,40,0.80246
ENSG00000149527,PLCH2,24,1.31144,6,-1.0265,0,-3.9360,3,-2.0959,24,1.23278,7,-0.8583,9,-0.4529
ENSG00000157881,PANK4,6,-1.0582,0,-7.4463,10,-0.2255,17,0.64081,21,1.03802,3,-1.7943,19,0.71956
ENSG00000157870,PRXL2B,13,-1.7733,33,-0.2403,30,-0.4189,44,0.24129,67,1.05359,35,-0.1621,43,0.13986
ENSG00000177133,PRDM16-DT,10,-1.1913,51,1.59492,2,-3.3660,5,-2.0725,10,-1.0594,22,0.14066,75,2.38374
ENSG00000158109,TPRG1L,43,-2.1457,94,-0.8571,129,-0.3625,211,0.48525,278,1.04962,176,0.12293,164,0.01586
ENSG00000116213,WRAP73,10,-0.5180,27,1.13039,21,0.68242,9,-0.6080,15,0.18875,6,-1.2305,13,-0.0567
ENSG00000130764,LRRC47,40,-0.8711,85,0.37295,57,-0.2511,96,0.68202,77,0.24441,36,-0.9753,67,0.00533
ENSG00000116198,CEP104,81,1.39387,68,0.84067,47,0.24323,18,-1.3652,19,-1.2684,34,-0.2912,22,-0.9161
ENSG00000196581,AJAP1,19,-1.2224,49,0.37936,92,1.46760,28,-0.5589,53,0.59749,23,-0.7994,24,-0.7405
ENSG00000069424,KCNAB2,20,-3.3125,90,-0.9588,140,-0.2716,219,0.50741,314,1.27024,122,-0.4954,210,0.37140
ENSG00000116254,CHD5,33,-2.4311,208,0.52512,263,0.92675,167,0.18705,155,0.05839,199,0.45451,125,-0.2918
ENSG00000116251,RPL22,672,0.41927,360,-0.6245,355,-0.6486,362,-0.6788,469,-0.2385,925,0.90784,716,0.47301
ENSG00000116237,ICMT,20,-0.9647,19,-0.9744,35,-0.0347,47,0.46284,58,0.89145,27,-0.4431,31,-0.2319
ENSG00000097021,ACOT7,43,-2.4308,67,-1.6285,172,-0.1904,426,1.64978,285,0.73705,107,-0.9284,84,-1.2931
ENSG00000215788,TNFRSF25,2,-2.6039,30,1.30613,13,-0.0671,17,0.44021,17,0.40746,6,-1.1758,13,-0.0015
ENSG00000171680,PLEKHG5,0,-5.3037,7,-1.2866,19,0.14984,20,0.25672,41,1.87804,11,-0.5978,11,-0.7213
ENSG00000162408,NOL9,18,-0.4635,20,-0.2535,31,0.39825,21,-0.2539,28,0.27444,42,0.91603,13,-0.9405
ENSG00000162413,KLHL21,27,0.32887,23,-0.0048,17,-0.4167,18,-0.3646,19,-0.3113,24,0.04659,35,0.68179
ENSG00000041988,THAP3,12,-0.5619,17,0.02969,18,0.08435,21,0.34444,25,0.72571,12,-0.5752,7,-1.2347
ENSG00000007923,DNAJC11,15,-1.2867,35,0.11093,41,0.39507,34,0.07372,49,0.81371,23,-0.5445,28,-0.2024
ENSG00000171735,CAMTA1,149,-1.4200,368,0.08618,627,0.98235,389,0.20180,376,0.13771,390,0.18044,272,-0.3896
ENSG00000049245,VAMP3,150,2.73201,39,-0.3262,28,-0.8035,6,-3.1156,13,-2.0541,32,-0.6084,39,-0.3185
ENSG00000049246,PER3,71,1.36040,35,-0.0391,29,-0.3294,16,-1.3709,29,-0.3754,32,-0.1579,32,-0.1690
ENSG00000116288,PARK7,210,-0.5896,136,-1.1952,175,-0.8162,368,0.41701,393,0.54144,314,0.10118,378,0.40656
ENSG00000116285,ERRFI1,18,-0.5836,22,-0.2505,26,0.03490,34,0.52482,32,0.41232,20,-0.3515,19,-0.4520
ENSG00000162426,SLC45A1,5,-2.5613,30,0.11302,40,0.57761,48,1.02603,39,0.61064,11,-1.3924,15,-0.9156
ENSG00000142599,RERE,122,0.04449,168,0.56137,147,0.33903,77,-0.7392,117,-0.0313,118,-0.0173,125,0.08148
ENSG00000074800,ENO1,323,-0.6293,306,-0.6551,290,-0.7354,641,0.61199,531,0.24825,290,-0.7332,763,0.82370
ENSG00000171612,SLC25A33,23,-0.4989,31,0.00704,10,-1.7245,29,-0.0745,29,-0.1034,15,-1.0957,88,1.85475
ENSG00000171603,CLSTN1,168,-2.1569,418,-0.6577,941,0.64428,1046,0.97278,874,0.60059,378,-0.8131,442,-0.5698
ENSG00000178585,CTNNBIP1,28,-0.2400,12,-1.4661,36,0.18321,21,-0.6930,41,0.43324,39,0.31607,54,0.84931
ENSG00000162441,LZIC,122,1.21485,77,0.25123,51,-0.3928,36,-1.0219,46,-0.6392,67,0.02972,58,-0.2003
ENSG00000162444,RBP7,66,3.75094,2,-2.6873,10,-0.8257,4,-2.3439,0,-6.9533,11,-0.5832,6,-1.6099
ENSG00000130939,UBE4B,57,0.37557,52,0.19466,42,-0.1525,54,0.29005,38,-0.3437,29,-0.7014,41,-0.1900
ENSG00000054523,KIF1B,500,0.37691,587,0.59772,522,0.40194,326,-0.3926,278,-0.6639,405,-0.0113,357,-0.2140
ENSG00000142657,PGD,47,-0.3215,37,-0.6731,82,0.59497,101,1.15280,48,-0.2793,33,-0.8243,21,-1.5189
ENSG00000241563,CORT,5,-4.6167,0,-7.7930,822,4.61755,30,-2.1368,51,-1.3150,84,-0.4594,42,-1.4989
ENSG00000160049,DFFA,86,0.89569,78,0.59190,49,-0.1488,42,-0.4546,30,-0.9979,45,-0.2929,54,-0.0109
ENSG00000142655,PEX14,11,-0.7414,8,-1.1511,28,0.71615,22,0.35771,22,0.42299,15,-0.2786,16,-0.1618
ENSG00000120948,TARDBP,107,0.41263,111,0.42650,77,-0.1784,76,-0.2133,76,-0.2127,61,-0.5331,90,0.07593
ENSG00000271895,AL109811.2,12,-0.6642,39,1.32015,34,1.07159,19,0.07754,15,-0.3165,9,-1.0168,5,-1.8820
ENSG00000116649,SRM,39,-0.5404,20,-1.4586,22,-1.3424,49,-0.1400,103,1.33360,36,-0.6095,71,0.46729
ENSG00000171824,EXOSC10,45,0.20448,80,1.15907,57,0.57667,34,-0.2941,32,-0.4085,18,-1.2096,24,-0.7565
ENSG00000198793,MTOR,30,-0.5581,30,-0.5053,45,0.12696,51,0.37173,54,0.50017,24,-0.8334,46,0.14941
ENSG00000120942,UBIAD1,29,1.50035,23,0.82714,9,-0.5809,8,-0.8586,9,-0.7281,5,-1.3564,8,-0.8507
ENSG00000116661,FBXO2,140,-0.4878,85,-1.2101,61,-1.6949,210,0.22986,240,0.48650,120,-0.6826,405,1.33415
ENSG00000132879,FBXO44,27,-1.6727,82,0.16957,69,-0.1043,97,0.51011,122,0.96464,29,-1.4272,68,-0.1264
ENSG00000116670,MAD2L2,31,1.34428,5,-1.5579,14,-0.1165,6,-1.4754,18,0.26875,9,-0.8221,17,0.14318
ENSG00000177000,MTHFR,9,-0.9675,47,1.86211,18,0.23579,12,-0.4924,13,-0.3903,13,-0.2918,14,-0.1864
ENSG00000011021,CLCN6,41,-0.4980,35,-0.7059,67,0.33585,72,0.51271,65,0.32138,44,-0.3353,44,-0.3346
ENSG00000116685,KIAA2013,42,0.27326,43,0.26726,51,0.55212,29,-0.3822,34,-0.1000,28,-0.4129,30,-0.2992
ENSG00000083444,PLOD1,32,0.95998,4,-2.1949,23,0.27550,16,-0.3903,13,-0.7186,24,0.31128,23,0.25875
ENSG00000116688,MFN2,64,-0.8673,104,-0.0327,133,0.37060,140,0.52331,120,0.23199,76,-0.5238,98,-0.1183
ENSG00000116691,MIIP,12,-0.2475,28,1.16450,21,0.64529,6,-1.4254,14,0.01628,11,-0.4026,16,0.21308
ENSG00000048707,VPS13D,52,-0.6385,63,-0.2663,59,-0.3662,112,0.76245,72,-0.0652,86,0.21860,69,-0.1234
ENSG00000162496,DHRS3,16,-0.3284,26,0.51593,13,-0.5436,15,-0.3469,22,0.27753,5,-2.0569,39,1.19853
ENSG00000116731,PRDM2,131,-0.7624,292,0.58348,319,0.73840,202,-0.0179,225,0.17974,172,-0.2733,142,-0.5719
ENSG00000189337,KAZN,109,0.63987,84,0.11632,71,-0.1382,95,0.37805,58,-0.5135,57,-0.4798,41,-1.0062
ENSG00000142634,EFHD2,21,-2.1753,101,0.34701,163,1.16181,125,0.81408,28,-1.7482,130,0.76007,75,-0.1389
ENSG00000116138,DNAJC16,23,-0.5959,40,0.32491,49,0.66506,43,0.50166,24,-0.5429,30,-0.1077,28,-0.2630
ENSG00000197312,DDI2,31,-0.2539,47,0.43647,60,0.85222,30,-0.3004,33,-0.1577,47,0.42752,17,-1.1692
ENSG00000116786,PLEKHM2,61,-0.9011,88,-0.2409,48,-1.1801,63,-0.8274,170,0.97527,135,0.43745,171,0.83523
ENSG00000065526,SPEN,256,0.90286,337,1.25686,229,0.58486,75,-1.2718,91,-0.9697,109,-0.6039,86,-0.9708
ENSG00000116809,ZBTB17,22,0.10978,14,-0.5467,26,0.37842,21,0.01935,20,-0.0375,13,-0.6983,26,0.40875
ENSG00000037637,FBXO42,13,-0.3351,23,0.62944,15,-0.0456,19,0.38000,16,0.03130,7,-1.1269,15,-0.1098
ENSG00000055070,SZRD1,46,1.07067,25,-0.0695,10,-1.4069,12,-1.3349,28,0.07166,22,-0.2811,37,0.52351
ENSG00000219481,NBPF1,39,1.71499,34,1.14434,12,-0.5034,6,-1.6332,10,-0.8426,8,-1.1585,6,-1.6142
ENSG00000159363,ATP13A2,23,-2.3490,25,-2.0652,65,-0.6475,209,1.56271,132,0.55377,89,-0.1538,76,-0.4120
ENSG00000117118,SDHB,50,-0.5146,20,-1.8658,39,-0.8758,105,0.83032,93,0.59358,58,-0.2547,66,-0.0394
ENSG00000117115,PADI2,330,3.05507,99,0.01742,55,-0.8974,10,-3.4817,15,-2.9614,47,-1.1163,64,-0.6581
ENSG00000179051,RCC2,21,-0.2850,24,-0.0510,17,-0.6218,26,0.03204,33,0.49549,28,0.15539,23,-0.1460
ENSG00000074964,ARHGEF10L,9,-0.6793,18,0.46382,4,-1.7925,10,-0.4736,13,-0.0188,20,0.63765,28,1.19803
ENSG00000117154,IGSF21,16,-2.3730,57,-0.2987,157,1.39441,82,0.31981,104,0.77934,35,-1.0306,38,-0.9220
ENSG00000159423,ALDH4A1,26,0.35643,22,0.09598,12,-0.8824,6,-1.9198,25,0.29496,17,-0.3419,46,1.32072
ENSG00000127481,UBR4,44,0.08037,74,0.92257,42,-0.0073,47,0.18744,35,-0.3321,30,-0.5136,24,-0.8534
ENSG00000127463,EMC1,26,-0.5050,42,0.29908,39,0.19608,49,0.65714,39,0.24657,15,-1.2564,21,-0.7719
ENSG00000053372,MRTO4,21,-0.9446,40,0.13852,37,0.02399,30,-0.3435,62,1.03510,33,-0.1496,29,-0.3506
ENSG00000053371,AKR7A2,35,0.21865,30,-0.0571,23,-0.4584,22,-0.6407,23,-0.5087,28,-0.1983,72,1.40558
ENSG00000077549,CAPZB,130,-0.4997,142,-0.3216,177,0.03437,210,0.34688,234,0.55912,120,-0.5803,150,-0.2337
ENSG00000173436,MICOS10,187,-0.7321,109,-1.4853,117,-1.3727,282,-0.0214,365,0.45300,554,1.11316,410,0.59254
ENSG00000158747,NBL1,39,-1.7464,93,-0.3168,162,0.58353,135,0.31295,137,0.34175,126,0.16112,134,0.26724
ENSG00000169914,OTUD3,9,-1.1126,20,0.23701,17,0.02819,33,1.33570,11,-0.6800,15,-0.1576,11,-0.6442
ENSG00000162545,CAMK2N1,1216,-0.3765,996,-0.6497,915,-0.7807,520,-1.7534,2607,1.08209,1753,0.24513,2714,0.98377
ENSG00000090432,MUL1,21,0.34376,14,-0.3025,27,0.72557,19,0.19295,16,-0.0991,15,-0.2091,3,-2.2963
ENSG00000183114,FAM43B,4,-2.4889,26,0.43893,46,1.43660,33,1.00980,9,-1.3029,21,0.06728,12,-0.6976
ENSG00000158828,PINK1,169,-1.4839,185,-1.2424,359,-0.2243,639,0.83775,543,0.51088,531,0.40570,357,-0.2315
ENSG00000244038,DDOST,25,-0.2390,15,-0.9602,39,0.52389,33,0.24165,44,0.83254,11,-1.4116,16,-0.8748
ENSG00000117245,KIF17,0,-4.8021,3,-2.6622,23,0.11254,52,1.84099,20,-0.1134,28,0.42921,16,-0.4277
ENSG00000189410,SH2D5,1,-4.6345,9,-1.8142,25,-0.3380,35,0.25372,76,1.95784,15,-1.1319,33,0.12440
ENSG00000127483,HP1BP3,368,0.64311,425,0.79659,366,0.54495,160,-0.8434,159,-0.8563,252,-0.0613,205,-0.3918
ENSG00000075151,EIF4G3,257,-0.1234,278,0.01112,522,1.06741,358,0.48396,214,-0.4457,189,-0.5919,113,-1.3793
ENSG00000117298,ECE1,28,0.95944,22,0.46737,9,-0.9485,4,-2.1356,9,-0.9912,25,0.65812,29,0.88807
ENSG00000076864,RAP1GAP,37,-1.9060,139,0.23443,212,0.94522,168,0.63261,146,0.36507,76,-0.7097,71,-0.8224
ENSG00000090686,USP48,129,0.55269,167,0.91417,128,0.47308,85,-0.2066,55,-0.9457,87,-0.1650,40,-1.3479
ENSG00000070831,CDC42,215,0.23786,156,-0.3033,122,-0.6799,268,0.66531,192,0.03192,119,-0.7251,140,-0.4672
ENSG00000184677,ZBTB40,11,-0.2059,29,1.35106,14,0.16090,12,-0.0994,11,-0.2579,6,-1.0442,10,-0.4074
ENSG00000173372,C1QA,16,0.14742,15,0.00177,10,-0.5453,4,-1.9776,8,-1.0032,14,-0.0654,52,2.24961
ENSG00000173369,C1QB,29,0.94436,7,-1.4218,12,-0.5448,1,-3.8780,14,-0.3882,15,-0.2345,54,1.95576
ENSG00000133216,EPHB2,22,0.75930,18,0.31016,21,0.55999,13,-0.2206,13,-0.2778,9,-0.6852,4,-1.9161
ENSG00000004487,KDM1A,33,-0.8277,55,0.06632,75,0.56666,73,0.59880,53,-0.0099,38,-0.5338,46,-0.2361
ENSG00000169641,LUZP1,26,-2.7299,149,0.05122,163,0.19320,274,1.28813,123,-0.2795,190,0.44635,96,-0.6444
ENSG00000125944,HNRNPR,195,0.49817,161,0.12351,208,0.54680,102,-0.6604,144,-0.0673,114,-0.4200,127,-0.2484
ENSG00000117318,ID3,51,2.00565,30,0.62739,0,-5.7254,0,-8.4626,2,-3.3777,6,-1.7148,60,1.90255
ENSG00000142676,RPL11,716,0.75473,296,-0.7633,234,-1.1226,259,-1.0562,467,-0.0565,729,0.67987,681,0.56427
ENSG00000011007,ELOA,35,0.30850,44,0.62133,26,-0.2298,24,-0.4167,26,-0.2566,33,0.14844,27,-0.1567
ENSG00000057757,PITHD1,90,-0.7173,86,-0.7247,91,-0.6362,168,0.38468,185,0.57518,178,0.43057,124,-0.1575
ENSG00000011009,LYPLA2,8,-1.7752,39,0.72207,26,0.07246,24,-0.0848,34,0.56583,24,-0.0654,29,0.23414
ENSG00000117308,GALE,4,-1.4892,11,-0.0419,10,-0.2452,22,1.25203,13,0.18458,3,-1.8559,13,0.16630
ENSG00000117305,HMGCL,22,0.84619,5,-1.5405,2,-2.5479,14,-0.0072,15,0.10671,14,-0.0343,18,0.36666
ENSG00000189266,PNRC2,76,0.42593,47,-0.4006,67,0.17658,51,-0.3007,62,0.06497,43,-0.5323,68,0.18309
ENSG00000188529,SRSF10,92,0.34957,85,0.17514,121,0.76934,61,-0.3799,67,-0.2166,56,-0.4876,58,-0.4323
ENSG00000001461,NIPAL3,337,1.32113,163,-0.1112,244,0.54157,170,-0.0483,71,-1.5042,104,-0.8066,83,-1.1520
ENSG00000133226,SRRM1,386,1.04808,583,1.64294,211,-0.1068,131,-0.9299,102,-1.3273,110,-1.1098,118,-1.0032
ENSG00000169504,CLIC4,277,3.25559,66,-0.2711,34,-1.2574,9,-3.2951,7,-3.6409,63,-0.3271,31,-1.3917
ENSG00000117614,SYF2,157,0.73364,97,-0.1608,108,0.01583,70,-0.7333,94,-0.2333,113,0.08675,110,0.05261
ENSG00000117616,RSRP1,127,0.31605,268,1.58232,175,0.81112,85,-0.4021,68,-0.7787,15,-2.9245,52,-1.1041
ENSG00000183726,TMEM50A,107,0.74755,46,-0.7007,72,-0.0167,55,-0.4662,90,0.41341,53,-0.4785,46,-0.6877
ENSG00000204178,MACO1,62,0.25389,70,0.43612,84,0.73995,62,0.27704,36,-0.6729,33,-0.7286,28,-1.0106
ENSG00000157978,LDLRAP1,55,3.47773,18,0.31859,2,-2.7680,2,-2.6255,0,-4.9513,4,-1.7239,7,-1.1734
ENSG00000117643,MAN1C1,12,-1.7681,28,-0.3138,5,-2.6994,34,-0.0376,86,1.96084,37,0.10387,12,-1.5314
ENSG00000162430,SELENON,32,0.42518,23,-0.1638,34,0.44342,9,-1.6337,20,-0.4475,23,-0.1774,54,1.24318
ENSG00000117640,MTFR1L,41,-0.5656,67,0.24640,39,-0.6200,56,-0.0434,79,0.59692,58,0.02413,58,0.00808
ENSG00000117632,STMN1,1059,-0.2256,608,-1.0606,1325,0.15620,1887,0.87067,1321,0.17162,903,-0.4525,656,-0.9447
ENSG00000158008,EXTL1,4,-3.2635,34,0.01764,43,0.39040,40,0.29130,49,0.70977,24,-0.5673,52,0.69170
ENSG00000175087,PDIK1L,10,-0.4799,12,-0.2011,23,0.81828,17,0.40643,11,-0.4496,20,0.53735,7,-0.9733
ENSG00000142684,ZNF593,14,-1.3369,15,-1.1177,31,-0.0860,53,0.96694,36,0.21785,37,0.20759,32,-0.0120
ENSG00000142669,SH3BGRL3,163,-0.0129,85,-1.0230,141,-0.2393,221,0.56246,146,-0.2039,146,-0.1843,208,0.38242
ENSG00000158062,UBXN11,6,-1.7060,18,-0.0434,13,-0.5382,12,-0.7369,31,0.95732,27,0.59422,30,0.77279
ENSG00000117682,DHDDS,9,-1.2306,5,-1.9098,11,-0.7982,35,1.31372,23,0.39929,11,-0.7346,22,0.31078
ENSG00000198830,HMGN2,321,1.28896,156,-0.1272,171,0.01988,70,-1.4678,124,-0.5309,120,-0.5355,212,0.37051
ENSG00000117713,ARID1A,104,0.55592,163,1.25699,91,0.25733,46,-0.8749,58,-0.5083,41,-0.9895,63,-0.3199
ENSG00000204160,ZDHHC18,13,-0.3357,7,-1.1856,25,0.69795,28,1.07150,10,-0.7131,11,-0.5407,14,-0.2096
ENSG00000142751,GPN2,17,-0.0123,29,0.91665,16,-0.0730,15,-0.1508,22,0.53575,6,-1.4684,7,-1.2701
ENSG00000090273,NUDC,135,-0.7503,123,-0.8217,122,-0.8352,227,0.15678,304,0.71915,275,0.44904,233,0.17730
ENSG00000253368,TRNP1,8,-2.4929,12,-1.7347,7,-2.4524,69,1.11227,59,0.76721,76,1.09575,25,-0.6994
ENSG00000090020,SLC9A1,2,-3.1664,10,-0.6260,8,-0.9507,24,0.94593,23,0.86123,20,0.47912,12,-0.3553
ENSG00000142784,WDTC1,20,-0.1366,32,0.59294,13,-0.7883,19,-0.2570,22,0.04180,23,0.07199,28,0.40786
ENSG00000186501,TMEM222,39,-0.1970,51,0.26459,67,0.71637,38,-0.2382,45,0.07986,20,-1.1471,51,0.25640
ENSG00000158195,WASF2,176,2.31481,82,0.42750,69,0.14852,5,-3.9183,15,-2.3213,22,-1.5901,67,0.10143
ENSG00000126705,AHDC1,15,-1.4404,72,1.16243,84,1.46012,32,-0.1750,32,-0.1783,11,-1.7795,32,-0.1896
ENSG00000126709,IFI6,54,-0.6874,92,0.19606,88,0.13355,143,1.11678,55,-0.6676,55,-0.6115,72,-0.1903
ENSG00000009780,FAM76A,25,0.23636,28,0.34646,51,1.40509,11,-1.1359,9,-1.3859,19,-0.2460,33,0.62447
ENSG00000117758,STX12,110,0.06661,67,-0.7219,129,0.31923,138,0.48305,102,-0.0700,91,-0.2525,75,-0.5388
ENSG00000117751,PPP1R8,44,0.72546,16,-0.9599,38,0.37074,24,-0.3998,35,0.28003,23,-0.4036,17,-0.8456
ENSG00000130775,THEMIS2,22,1.38813,20,1.01763,18,0.85398,10,-0.0797,1,-3.4729,4,-1.4314,0,-7.3281
ENSG00000117748,RPA2,31,-0.5681,23,-0.9302,73,0.88957,54,0.43133,48,0.22119,21,-1.1110,44,0.05052
ENSG00000126698,DNAJC8,252,0.28139,218,0.01836,243,0.19200,206,-0.0797,202,-0.1184,196,-0.1531,181,-0.2798
ENSG00000130770,ATP5IF1,188,-1.3780,106,-2.1334,202,-1.1703,689,0.91770,656,0.81512,490,0.21165,430,0.00386
ENSG00000204138,PHACTR4,81,1.52697,110,1.83440,24,-0.7532,8,-2.4985,13,-1.7761,24,-0.7395,24,-0.7291
ENSG00000180098,TRNAU1AP,21,0.24359,29,0.78487,29,0.78382,17,-0.0764,13,-0.5792,11,-0.7176,9,-1.0161
ENSG00000120656,TAF12,15,0.40593,2,-2.3894,14,0.22668,15,0.37520,10,-0.4024,11,-0.1423,15,0.29517
ENSG00000198492,YTHDF2,68,-0.3646,56,-0.6238,90,0.12356,133,0.88964,92,0.16443,46,-0.9135,59,-0.5386
ENSG00000159023,EPB41,10,-0.6931,31,1.18350,5,-1.5075,21,0.57488,10,-0.7050,17,0.15168,17,0.19421
ENSG00000116350,SRSF4,102,0.42966,112,0.53191,100,0.33686,73,-0.1952,57,-0.6020,61,-0.4475,73,-0.1565
ENSG00000116353,MECR,13,-1.2617,15,-0.8849,22,-0.3248,39,0.66243,41,0.76739,24,-0.1870,26,-0.0584
ENSG00000060656,PTPRU,6,-1.6530,30,0.93563,81,3.01700,12,-0.6185,6,-1.7279,1,-4.2485,10,-0.7606
ENSG00000162511,LAPTM5,52,0.77722,34,-0.0342,16,-1.1610,6,-2.7564,19,-0.9836,25,-0.4955,115,2.17344
ENSG00000162512,SDC3,91,0.04437,170,1.08984,106,0.28782,40,-1.3406,83,-0.1201,47,-0.9721,137,0.71079
ENSG00000134644,PUM1,104,-0.4754,218,0.77985,281,1.22739,102,-0.4979,111,-0.3552,103,-0.4412,124,-0.1433
ENSG00000060688,SNRNP40,29,0.72709,19,-0.0287,45,1.40827,12,-0.8060,11,-1.0013,21,0.14148,7,-1.5715
ENSG00000121766,ZCCHC17,132,-0.1288,108,-0.4263,212,0.66371,136,-0.0790,151,0.11309,128,-0.1568,132,-0.1155
ENSG00000121769,FABP3,24,-1.7761,21,-1.8862,84,0.25181,157,1.61691,74,0.03860,58,-0.3332,48,-0.6393
ENSG00000162517,PEF1,42,-0.7414,31,-1.1501,63,-0.0406,100,0.83056,82,0.44465,50,-0.4116,56,-0.2393
ENSG00000084636,COL16A1,84,0.88214,127,1.48253,54,0.03629,29,-1.0422,23,-1.3495,35,-0.6706,44,-0.3051
ENSG00000121753,ADGRB2,37,-2.3335,140,-0.1938,182,0.22231,175,0.18090,285,1.17017,91,-0.8624,176,0.16834
