Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000175756,AURKAIP1,40,-1.5594,85,-0.4478,76,-0.5754,176,1.08959,114,0.05368,55,-1.0871,121,0.14312
ENSG00000221978,CCNL2,49,-0.1679,37,-0.6779,25,-1.2161,63,0.32730,56,0.04259,79,0.60766,72,0.45333
ENSG00000242485,MRPL20,42,-1.4682,96,-0.2446,86,-0.3829,161,0.86415,90,-0.3279,79,-0.5161,129,0.25371
ENSG00000235098,ANKRD65,21,-0.3876,21,-0.4501,20,-0.4558,38,0.76054,15,-0.8445,23,-0.2109,34,0.37034
ENSG00000179403,VWA1,41,1.28531,20,0.14071,9,-1.1199,25,0.62544,11,-0.8280,9,-1.1814,3,-2.5526
ENSG00000205090,TMEM240,4,-2.8868,26,-0.0462,20,-0.4581,33,0.43310,33,0.36321,35,0.43858,25,-0.1161
ENSG00000160075,SSU72,54,-1.4733,139,-0.0141,86,-0.7526,169,0.40500,174,0.34973,107,-0.4185,194,0.53186
ENSG00000228594,FNDC10,2,-3.8674,38,0.46697,14,-1.1625,34,0.32259,62,1.24923,19,-0.6514,19,-0.6909
ENSG00000272106,AL691432.2,4,-2.0313,11,-0.7254,7,-1.1948,26,1.03735,13,-0.4348,13,-0.3896,29,0.92075
ENSG00000197530,MIB2,7,-2.0480,26,-0.0842,12,-1.2200,39,0.84287,39,0.59001,27,-0.0145,16,-0.7870
ENSG00000248333,CDK11B,141,1.44633,55,-0.1729,90,0.66368,41,-0.7203,27,-1.2081,68,0.19189,43,-0.5296
ENSG00000189339,SLC35E2B,14,-0.6484,16,-0.4643,20,-0.0555,23,0.18215,22,0.10166,29,0.51726,24,0.19617
ENSG00000008128,CDK11A,101,2.44977,13,-1.1594,14,-0.9597,17,-0.8115,16,-0.7620,39,0.64978,16,-0.7650
ENSG00000215790,SLC35E2A,15,-0.8263,22,-0.2768,17,-0.6757,34,0.56911,25,-0.0606,26,0.02194,31,0.27630
ENSG00000008130,NADK,17,-0.5167,21,-0.1815,5,-2.1886,31,0.58371,29,0.29423,22,-0.1078,28,0.28238
ENSG00000078369,GNB1,158,-1.6053,466,0.06796,468,0.06755,562,0.48922,419,-0.1123,349,-0.3993,477,0.09840
ENSG00000187730,GABRD,8,-3.9477,78,-0.6929,80,-0.6010,142,0.41744,203,0.91523,131,0.18252,166,0.56795
ENSG00000067606,PRKCZ,55,-1.5967,190,0.35953,78,-1.0812,188,0.39688,235,0.67121,126,-0.3456,126,-0.3469
ENSG00000162585,FAAP20,25,-0.3010,46,0.79518,19,-0.6876,40,0.59204,26,-0.2610,10,-1.6601,11,-1.4573
ENSG00000157933,SKI,41,0.11410,59,0.85694,28,-0.4698,37,-0.0451,35,-0.1328,27,-0.4973,18,-1.1316
ENSG00000157916,RER1,33,-0.5452,43,-0.1633,52,0.16649,49,0.11836,57,0.32781,39,-0.2886,53,0.19160
ENSG00000157911,PEX10,13,-0.4836,18,-0.0617,17,-0.0943,27,0.83095,13,-0.5049,14,-0.3824,10,-0.9289
ENSG00000149527,PLCH2,4,-1.7907,14,-0.1093,4,-1.7547,21,0.74723,11,-0.4491,9,-0.7520,29,1.10884
ENSG00000197921,HES5,1,-3.7387,12,-0.7443,10,-0.9212,40,2.06684,14,-0.4063,11,-0.7510,4,-2.1221
ENSG00000157870,PRXL2B,15,-1.8681,49,-0.0932,29,-0.8984,61,0.36565,71,0.53506,44,-0.2522,74,0.60541
ENSG00000177133,PRDM16-DT,6,-1.6760,18,-0.0955,16,-0.2711,39,1.91525,5,-1.8123,6,-1.7308,2,-3.2420
ENSG00000142611,PRDM16,11,-0.2796,9,-0.6018,12,-0.2083,19,0.82046,15,0.23161,11,-0.2341,7,-0.9478
ENSG00000158109,TPRG1L,30,-2.0854,88,-0.4941,75,-0.6946,141,0.40355,188,0.77910,138,0.26088,141,0.29648
ENSG00000130764,LRRC47,32,-0.7744,39,-0.4917,28,-0.9455,60,0.29424,87,0.82574,32,-0.7607,86,0.80896
ENSG00000116198,CEP104,94,1.57863,27,-0.5497,52,0.52353,22,-1.0091,31,-0.2756,51,0.48708,27,-0.4995
ENSG00000198912,C1orf174,2,-2.4619,5,-1.4060,4,-1.6582,18,0.62141,25,1.02947,23,0.88944,14,0.11057
ENSG00000196581,AJAP1,28,-0.8378,40,-0.3023,38,-0.3573,48,-0.0130,28,-0.8296,68,0.56210,94,1.12656
ENSG00000069424,KCNAB2,22,-3.1804,188,0.03439,91,-1.1037,232,0.49594,253,0.51405,172,-0.1139,237,0.40332
ENSG00000116254,CHD5,85,-1.8376,292,0.04775,342,0.29606,263,-0.1553,268,-0.0925,485,0.88794,289,0.02624
ENSG00000116251,RPL22,735,0.89747,448,0.08122,473,0.15901,467,0.18142,175,-1.3832,204,-1.1474,400,-0.1104
ENSG00000116237,ICMT,19,-1.0713,26,-0.6198,22,-0.8521,47,0.47566,67,0.94304,37,-0.0196,39,0.05772
ENSG00000097021,ACOT7,23,-2.4409,65,-0.9585,41,-1.5705,134,0.32828,250,1.31113,100,-0.2244,204,0.95381
ENSG00000215788,TNFRSF25,2,-3.2551,18,-0.4733,1,-3.8517,42,1.34677,12,-1.0546,39,0.80121,22,-0.1033
ENSG00000171680,PLEKHG5,0,-8.4059,22,-0.3220,31,0.27740,34,0.59276,22,-0.2470,31,0.24834,31,0.28912
ENSG00000162408,NOL9,28,-0.0681,24,-0.3703,29,-0.0003,29,-0.0253,43,0.63563,35,0.26340,24,-0.3355
ENSG00000162413,KLHL21,10,-1.4020,25,-0.0260,13,-1.0299,30,0.32547,42,0.78979,22,-0.2635,30,0.23536
ENSG00000116273,PHF13,5,-1.5313,13,-0.2755,13,-0.2328,14,-0.1650,21,0.50830,22,0.59921,23,0.64855
ENSG00000007923,DNAJC11,15,-1.1923,33,0.00363,30,-0.1544,30,-0.2247,64,1.08211,30,-0.1700,38,0.20881
ENSG00000171735,CAMTA1,187,-1.2540,407,-0.0605,685,0.80430,376,-0.2302,479,0.20742,543,0.41412,376,-0.1791
ENSG00000049245,VAMP3,75,1.75390,31,0.25711,13,-1.1174,29,0.14771,17,-0.6783,6,-2.2503,10,-1.4540
ENSG00000049246,PER3,63,0.26089,41,-0.4533,84,0.73546,64,0.38499,41,-0.4228,57,0.09997,16,-1.8346
ENSG00000116288,PARK7,107,-1.0933,170,-0.4243,210,-0.0557,308,0.78683,152,-0.5602,118,-0.9445,320,0.63484
ENSG00000116285,ERRFI1,10,-1.4108,11,-1.4161,13,-1.0133,30,0.37985,56,1.31884,32,0.35466,31,0.33090
ENSG00000162426,SLC45A1,1,-3.8048,6,-1.8914,11,-0.8719,32,1.16234,31,0.75608,17,-0.2398,27,0.52868
ENSG00000142599,RERE,193,0.48875,146,0.03484,137,-0.0740,143,-0.0002,95,-0.6329,155,0.12928,129,-0.1580
ENSG00000074800,ENO1,168,-1.2619,280,-0.5302,317,-0.2868,609,1.11068,374,-0.0256,188,-1.0890,364,-0.0656
ENSG00000171612,SLC25A33,15,-1.1558,33,-0.0212,34,0.05877,54,1.13871,24,-0.5214,15,-1.2183,16,-1.1336
ENSG00000171603,CLSTN1,102,-2.5804,364,-0.7531,442,-0.3845,609,0.16087,933,0.83435,726,0.41173,881,0.73532
ENSG00000178585,CTNNBIP1,15,-1.0712,34,0.24143,24,-0.2924,28,-0.0726,49,0.84802,30,0.00880,24,-0.3199
ENSG00000162441,LZIC,125,1.48493,41,-0.4279,67,0.38969,44,-0.3280,43,-0.3260,37,-0.5275,37,-0.5289
ENSG00000130939,UBE4B,37,0.01588,29,-0.3968,25,-0.6041,35,-0.0880,63,0.90863,57,0.73318,20,-0.9198
ENSG00000054523,KIF1B,595,0.64955,350,-0.2401,552,0.52305,285,-0.6576,460,0.22299,533,0.46402,312,-0.3960
ENSG00000142657,PGD,18,-0.9875,23,-0.6740,20,-0.7860,41,0.38902,83,1.53376,27,-0.3465,23,-0.6136
ENSG00000241563,CORT,2,-3.4615,27,0.24793,17,-0.4939,33,0.75313,20,-0.2553,20,-0.2604,23,-0.0236
ENSG00000160049,DFFA,78,0.71218,61,0.35166,51,0.00928,44,-0.2925,32,-0.7159,43,-0.2525,48,-0.0704
ENSG00000142655,PEX14,4,-2.1121,13,-0.5722,12,-0.7428,23,0.45235,35,1.03195,11,-0.8149,30,0.71835
ENSG00000120948,TARDBP,96,0.16913,53,-0.8263,55,-0.6901,99,0.29214,76,-0.1918,108,0.35731,124,0.59293
ENSG00000271895,AL109811.2,8,-0.8333,4,-1.7067,2,-2.7539,16,0.37365,21,0.76493,26,1.11593,19,0.59874
ENSG00000116649,SRM,20,-1.8066,59,-0.1692,30,-1.1669,104,1.09451,57,-0.2187,25,-1.4559,89,0.50545
ENSG00000171824,EXOSC10,53,0.86852,9,-1.9388,24,-0.4209,30,-0.0861,28,-0.1582,63,1.16582,36,0.23719
ENSG00000198793,MTOR,27,-0.4867,30,-0.3707,30,-0.3006,39,0.14443,40,0.13952,43,0.24319,50,0.49088
ENSG00000116661,FBXO2,70,-1.4318,147,-0.3241,110,-0.7352,291,1.18120,154,-0.2194,86,-1.1103,181,0.03953
ENSG00000132879,FBXO44,8,-3.2668,62,-0.3729,37,-1.1167,102,0.63198,93,0.31229,81,0.08223,117,0.69506
ENSG00000177000,MTHFR,16,-0.3745,20,-0.0763,10,-1.0707,20,-0.0622,18,-0.1856,27,0.45103,35,0.85439
ENSG00000011021,CLCN6,16,-2.1813,71,0.04474,37,-0.9639,71,0.03821,147,1.27187,82,0.26671,57,-0.3122
ENSG00000116685,KIAA2013,20,-0.4875,26,-0.0862,21,-0.3877,30,0.20159,33,0.31233,16,-0.7596,39,0.60685
ENSG00000083444,PLOD1,10,-0.2985,8,-0.6508,15,0.29928,16,0.52832,14,0.21738,15,0.33376,5,-1.4044
ENSG00000116688,MFN2,84,-0.4401,90,-0.3798,78,-0.5695,123,0.20477,196,0.93759,102,-0.1494,108,-0.0598
ENSG00000048707,VPS13D,55,-0.2494,62,-0.0614,65,0.03870,54,-0.3484,93,0.61045,86,0.48192,56,-0.2106
ENSG00000162496,DHRS3,25,0.61227,19,0.15446,9,-0.9685,18,0.07815,32,1.00990,11,-0.6376,3,-2.2775
ENSG00000116731,PRDM2,195,-0.2213,185,-0.3339,448,1.16549,137,-0.9280,138,-0.7567,382,0.88317,297,0.45709
ENSG00000189337,KAZN,72,0.35581,41,-0.5925,54,-0.1014,60,0.08048,92,0.76909,64,0.16406,33,-0.8601
ENSG00000142634,EFHD2,14,-2.4263,95,0.53031,49,-0.5698,33,-1.4063,242,2.19821,95,0.46478,25,-1.6159
ENSG00000116138,DNAJC16,15,-1.3195,31,-0.2329,24,-0.6043,37,0.04692,60,0.83609,52,0.60224,35,-0.0465
ENSG00000197312,DDI2,25,-0.6075,27,-0.5413,37,0.01891,38,0.06002,49,0.45695,58,0.76376,31,-0.2696
ENSG00000116786,PLEKHM2,76,-0.6817,141,0.34718,117,0.00055,151,0.56449,99,-0.2662,82,-0.5504,59,-1.0515
ENSG00000065526,SPEN,565,2.04441,127,-0.5935,323,0.97900,68,-1.7392,73,-1.3774,221,0.33447,155,-0.2351
ENSG00000116809,ZBTB17,18,-0.1096,25,0.46021,24,0.38882,20,0.07062,18,-0.1208,12,-0.6638,10,-0.9304
ENSG00000037637,FBXO42,18,-0.1105,14,-0.5950,11,-0.9043,19,-0.1097,31,0.75567,28,0.56715,25,0.36341
ENSG00000055070,SZRD1,49,1.03688,35,0.54048,14,-0.9466,29,0.22551,15,-0.8651,14,-0.9312,12,-1.1775
ENSG00000219481,NBPF1,37,1.57460,14,-0.1215,13,-0.2093,10,-0.6196,10,-0.5277,17,0.29086,10,-0.6183
ENSG00000058453,CROCC,12,-0.2920,13,-0.2131,5,-1.4758,16,0.17551,18,0.31391,26,0.96972,11,-0.4595
ENSG00000159363,ATP13A2,16,-2.4320,59,-0.5423,58,-0.4926,95,0.37403,183,1.41280,72,-0.1747,68,-0.2559
ENSG00000117118,SDHB,16,-1.9315,34,-0.8836,48,-0.2653,87,0.98240,77,0.47821,27,-1.1264,72,0.38579
ENSG00000117115,PADI2,161,2.13580,60,0.38073,20,-1.3724,52,0.13799,12,-2.1364,5,-3.2893,14,-1.9038
ENSG00000179051,RCC2,10,-1.4502,13,-1.1574,19,-0.4474,34,0.55528,49,1.05596,24,-0.1043,30,0.25478
ENSG00000074964,ARHGEF10L,21,0.40872,10,-0.7527,14,-0.1979,20,0.50330,32,1.13837,4,-1.9245,8,-1.0456
ENSG00000117154,IGSF21,14,-2.6700,72,-0.2343,43,-0.9924,119,0.83351,105,0.39744,79,-0.0528,80,-0.0447
ENSG00000159423,ALDH4A1,25,0.44528,27,0.65281,15,-0.3651,28,0.87062,4,-2.3821,1,-3.5754,7,-1.5088
ENSG00000127481,UBR4,85,1.28307,32,-0.3897,70,0.92480,18,-1.3981,27,-0.6206,73,1.01339,25,-0.7427
ENSG00000127463,EMC1,25,-0.4759,33,-0.0203,30,-0.1766,33,-0.0403,43,0.42046,29,-0.2411,43,0.41734
ENSG00000053372,MRTO4,19,-0.9374,28,-0.3537,28,-0.3166,39,0.22581,37,0.09627,47,0.49352,43,0.35374
ENSG00000053371,AKR7A2,33,0.37698,16,-0.8553,20,-0.4144,39,0.89631,24,-0.1667,15,-0.8644,22,-0.2727
ENSG00000077549,CAPZB,63,-1.2650,106,-0.5173,145,0.01407,182,0.51488,166,0.23489,122,-0.2553,180,0.37103
ENSG00000173436,MICOS10,135,-0.8934,243,0.03021,254,0.09443,327,0.69783,211,-0.1988,133,-0.9117,191,-0.3531
ENSG00000158747,NBL1,44,-1.5121,114,-0.0653,61,-1.0188,150,0.50900,190,0.77526,106,-0.1799,106,-0.1728
ENSG00000169914,OTUD3,9,-1.2222,11,-1.0541,19,-0.1462,17,-0.3257,44,1.25879,44,1.28211,16,-0.3880
ENSG00000162545,CAMK2N1,842,-0.9070,1790,0.31896,2128,0.56672,1858,0.45592,349,-2.2273,855,-0.8833,1729,0.22323
ENSG00000090432,MUL1,11,-0.2986,15,0.27941,5,-1.2461,10,-0.4195,23,0.91455,10,-0.3304,19,0.58169
ENSG00000183114,FAM43B,8,-0.5183,21,1.06058,1,-3.0227,4,-1.8026,38,2.04949,12,0.05532,5,-1.2770
ENSG00000158828,PINK1,128,-1.4892,300,-0.2080,225,-0.6394,411,0.42317,540,0.77588,269,-0.3611,382,0.19770
ENSG00000244038,DDOST,4,-2.2169,13,-0.6644,13,-0.6186,31,1.13472,29,0.68554,14,-0.4916,12,-0.7179
ENSG00000117245,KIF17,6,-1.7852,9,-1.3033,5,-1.9011,18,-0.2376,57,1.78860,21,0.03552,41,1.18512
ENSG00000189410,SH2D5,1,-4.1753,27,-0.2277,10,-1.6510,45,0.79805,37,0.27570,33,0.10253,41,0.44829
ENSG00000127483,HP1BP3,410,0.74167,198,-0.4798,415,0.76312,208,-0.4456,171,-0.6633,337,0.41490,258,-0.0207
ENSG00000075151,EIF4G3,244,-0.0307,127,-1.1338,531,1.28221,129,-1.2183,297,0.28477,432,0.91560,346,0.53716
ENSG00000117298,ECE1,26,0.70288,21,0.46219,24,0.58749,12,-0.5359,15,-0.1017,19,0.20162,2,-3.1555
ENSG00000076864,RAP1GAP,29,-2.0922,77,-0.7006,46,-1.4082,130,0.24557,237,1.21203,168,0.61762,132,0.20924
ENSG00000090686,USP48,145,1.17071,39,-1.0520,81,0.18865,51,-0.6548,61,-0.2736,119,0.82463,85,0.25878
ENSG00000070831,CDC42,74,-1.2315,116,-0.6204,96,-0.8453,180,0.17488,289,0.92622,172,0.06143,252,0.69464
ENSG00000133216,EPHB2,13,-0.2291,13,-0.2202,21,0.52697,12,-0.4281,8,-0.9728,17,0.21592,28,1.07112
ENSG00000004487,KDM1A,39,-0.2673,34,-0.5239,62,0.48844,35,-0.5508,55,0.30231,53,0.23609,78,0.88182
ENSG00000169641,LUZP1,66,-1.2379,103,-0.6285,308,1.23856,98,-0.7841,242,0.81579,266,0.97552,97,-0.6549
ENSG00000125944,HNRNPR,204,0.76833,76,-0.8972,153,0.28263,115,-0.2135,82,-0.7031,117,-0.1471,229,0.96778
ENSG00000142676,RPL11,584,0.63056,454,0.24421,378,-0.0824,513,0.55856,152,-1.4798,138,-1.6236,277,-0.5679
ENSG00000011007,ELOA,42,0.35932,28,-0.3186,58,0.87372,22,-0.8177,31,-0.1595,48,0.55132,38,0.19750
ENSG00000057757,PITHD1,39,-1.6477,86,-0.4898,61,-0.9673,124,0.17761,233,1.20585,112,-0.0210,150,0.44881
ENSG00000011009,LYPLA2,1,-3.7170,20,-0.0287,16,-0.3967,19,-0.0862,41,1.17008,16,-0.3284,30,0.64523
ENSG00000117308,GALE,2,-2.9168,11,-0.5489,5,-1.6966,20,0.55121,32,1.18098,8,-0.9409,26,0.82776
ENSG00000117305,HMGCL,10,-0.5010,17,0.42781,14,0.03705,16,0.34741,12,-0.2031,7,-0.9336,10,-0.4063
ENSG00000189266,PNRC2,49,-0.3602,51,-0.3592,76,0.31780,69,0.21321,40,-0.6995,50,-0.3413,99,0.76689
ENSG00000188529,SRSF10,80,0.30242,56,-0.2884,86,0.40601,56,-0.3499,77,0.22941,79,0.27715,64,-0.0705
ENSG00000001461,NIPAL3,282,1.68052,73,-0.6658,100,-0.1048,59,-1.1002,157,0.62766,127,0.27565,81,-0.4354
ENSG00000133226,SRRM1,604,1.89534,135,-0.7247,338,0.81827,96,-1.4001,93,-1.2227,290,0.56139,178,-0.2341
ENSG00000169504,CLIC4,113,2.67500,26,-0.0562,7,-2.0269,26,-0.1009,8,-1.7714,3,-2.9625,9,-1.6818
ENSG00000117614,SYF2,190,0.73930,112,-0.1352,237,1.12571,99,-0.4032,44,-1.5616,94,-0.3997,126,0.06713
ENSG00000117616,RSRP1,73,-0.0611,39,-1.1170,48,-0.7104,78,0.04362,65,-0.2616,139,0.99375,126,0.82469
ENSG00000183726,TMEM50A,50,-0.7700,55,-0.6947,74,-0.1717,110,0.63982,85,0.05644,79,-0.0730,95,0.23656
ENSG00000204178,MACO1,68,0.28688,34,-0.8580,110,1.10210,33,-1.0173,51,-0.1753,98,0.90672,74,0.42914
ENSG00000117643,MAN1C1,8,-2.2310,27,-0.4573,33,-0.1504,50,0.74685,31,-0.2004,29,-0.3508,52,0.61238
ENSG00000162430,SELENON,11,-1.1469,25,0.07744,5,-2.2308,32,0.61180,27,0.16241,17,-0.5358,35,0.58484
ENSG00000117640,MTFR1L,34,-0.8025,43,-0.4764,30,-0.9808,77,0.68761,79,0.54566,66,0.23153,40,-0.5363
ENSG00000117632,STMN1,526,-0.8347,628,-0.6212,653,-0.5024,845,-0.1229,1424,0.76185,1026,0.21538,1559,0.91894
ENSG00000158008,EXTL1,0,-7.9309,31,-0.3797,14,-1.5859,60,1.00818,58,0.63344,30,-0.4093,45,0.23308
ENSG00000175087,PDIK1L,3,-2.0477,10,-0.6302,7,-1.1802,17,0.26889,28,1.04981,25,0.86646,13,-0.1324
ENSG00000142684,ZNF593,9,-1.1788,16,-0.3635,16,-0.2745,25,0.57192,22,0.19386,16,-0.2576,23,0.28785
ENSG00000142669,SH3BGRL3,77,-0.8141,130,-0.0057,73,-0.8922,160,0.43546,181,0.53197,94,-0.5059,139,0.10615
ENSG00000158062,UBXN11,5,-1.5436,15,-0.0612,11,-0.5003,21,0.72444,7,-1.1754,14,-0.1763,22,0.62389
ENSG00000117682,DHDDS,6,-1.4029,14,-0.1564,8,-0.9230,14,-0.1911,27,0.95842,21,0.54079,20,0.44594
ENSG00000198830,HMGN2,187,0.51950,125,-0.1437,105,-0.3998,179,0.60629,54,-1.4134,90,-0.6426,134,-0.0147
ENSG00000117713,ARID1A,112,0.79833,83,0.32342,67,-0.0396,57,-0.3679,45,-0.6547,87,0.36327,43,-0.7504
ENSG00000204160,ZDHHC18,2,-2.8463,13,-0.4069,10,-0.7766,19,0.26455,29,0.91933,30,0.96244,12,-0.4807
ENSG00000142751,GPN2,12,-0.6510,16,-0.2383,15,-0.2588,19,0.05788,18,-0.0241,30,0.80924,19,0.06471
ENSG00000090273,NUDC,103,-0.9524,182,-0.0789,199,0.06590,250,0.59390,129,-0.6083,126,-0.6480,235,0.33868
ENSG00000253368,TRNP1,3,-3.5135,33,-0.0974,26,-0.4437,35,0.02706,63,0.96818,30,-0.2098,54,0.72625
ENSG00000090020,SLC9A1,2,-3.3791,20,-0.1058,10,-1.1746,25,0.32618,52,1.54329,17,-0.3124,16,-0.3983
ENSG00000142784,WDTC1,16,-0.7461,31,0.27459,30,0.20723,32,0.39392,34,0.37252,17,-0.7169,11,-1.3183
ENSG00000186501,TMEM222,21,-1.0047,57,0.63915,14,-1.5668,49,0.38457,48,0.26803,33,-0.3312,30,-0.4919
ENSG00000158195,WASF2,151,2.15842,46,0.04622,60,0.46817,25,-1.0735,19,-1.3226,33,-0.4772,20,-1.2578
ENSG00000126705,AHDC1,40,-0.3348,52,0.07715,43,-0.2561,41,-0.4051,56,0.16817,89,0.95315,46,-0.1212
ENSG00000126709,IFI6,49,-0.9908,81,-0.2521,59,-0.7116,91,-0.0551,227,1.53116,101,0.12420,62,-0.6321
ENSG00000009780,FAM76A,25,0.17017,22,0.00928,23,0.02512,15,-0.7130,24,0.09153,32,0.57347,29,0.44342
ENSG00000117758,STX12,53,-0.5822,72,-0.1262,48,-0.7281,79,0.05042,105,0.50651,81,0.07812,103,0.46523
ENSG00000117751,PPP1R8,17,-0.5418,18,-0.4538,14,-0.7787,29,0.41202,25,0.05627,25,0.08842,34,0.56947
ENSG00000117748,RPA2,5,-2.4445,19,-0.6450,10,-1.5550,42,0.98467,37,0.47480,30,0.12672,29,0.07662
ENSG00000158161,EYA3,5,-1.4131,11,-0.2341,10,-0.3007,13,0.06930,15,0.30409,24,1.03207,11,-0.2406
ENSG00000126698,DNAJC8,279,0.47422,148,-0.5901,395,1.07042,174,-0.3562,134,-0.6870,191,-0.1439,267,0.40078
ENSG00000130770,ATP5IF1,105,-1.5427,174,-0.8581,346,0.30228,387,0.66208,242,-0.2688,184,-0.7000,485,0.87214
ENSG00000204138,PHACTR4,122,2.17912,29,-0.3885,27,-0.4441,23,-0.8181,22,-0.7765,36,-0.0026,26,-0.4945
ENSG00000180098,TRNAU1AP,16,-0.0234,11,-0.6478,6,-1.3835,19,0.25682,24,0.58931,28,0.84695,12,-0.4638
ENSG00000162419,GMEB1,14,0.06266,10,-0.4855,28,1.23808,9,-0.7417,15,0.22008,22,0.83849,7,-1.0038
ENSG00000198492,YTHDF2,32,-1.2170,50,-0.6051,56,-0.3558,74,0.08992,122,0.91346,89,0.37352,85,0.31168
ENSG00000116329,OPRD1,2,-2.9901,13,-0.3468,10,-0.7031,18,0.22704,18,0.17026,39,1.46828,12,-0.3990
ENSG00000159023,EPB41,14,-0.7335,12,-1.0512,42,1.02881,11,-1.3577,35,0.69526,65,1.82430,15,-0.6346
ENSG00000116350,SRSF4,187,1.19955,74,-0.3820,105,0.22430,72,-0.4588,47,-1.0451,108,0.26923,104,0.21113
ENSG00000116353,MECR,9,-1.3821,10,-1.3322,12,-0.9553,37,1.03261,31,0.46148,17,-0.5140,34,0.58142
ENSG00000060656,PTPRU,1,-3.5397,18,0.59260,3,-2.1524,4,-1.7795,35,1.69080,35,1.67120,7,-0.9049
ENSG00000162512,SDC3,148,0.80518,90,-0.0128,74,-0.3245,106,0.32573,78,-0.2499,80,-0.2143,32,-1.6128
ENSG00000134644,PUM1,149,-0.2226,168,-0.0374,163,-0.0736,141,-0.3814,180,0.08365,246,0.59475,214,0.36382
ENSG00000121766,ZCCHC17,146,0.25923,102,-0.3382,138,0.17251,110,-0.2468,98,-0.3638,135,0.13881,189,0.69459
ENSG00000121769,FABP3,9,-1.9826,16,-1.2209,23,-0.5800,29,-0.2619,71,1.27478,50,0.66107,61,1.00157
ENSG00000162517,PEF1,16,-2.0078,35,-0.9195,37,-0.7774,79,0.56605,114,1.05503,59,-0.0330,74,0.31981
ENSG00000084636,COL16A1,49,1.25463,9,-1.5277,9,-1.4064,26,0.27095,29,0.37645,23,0.01130,24,0.04437
ENSG00000121753,ADGRB2,37,-2.2730,137,-0.3225,100,-0.7746,236,0.80605,198,0.29786,159,-0.0574,173,0.07744
ENSG00000184007,PTP4A2,1434,2.95929,270,-0.2393,198,-0.6981,146,-1.3680,123,-1.4125,139,-1.2340,216,-0.5616
ENSG00000121774,KHDRBS1,103,-0.4200,103,-0.4574,150,0.18005,141,0.09987,113,-0.2744,120,-0.1716,227,0.87041
ENSG00000121775,TMEM39B,10,-0.6050,10,-0.6734,3,-2.3397,25,1.28631,14,-0.0698,17,0.26832,7,-1.0748
ENSG00000025800,KPNA6,64,-0.4994,64,-0.5408,125,0.58503,76,-0.2839,82,-0.1073,113,0.41428,136,0.72103
ENSG00000084652,TXLNA,34,0.47793,24,-0.1302,20,-0.3578,26,0.00746,14,-0.8835,27,0.07593,35,0.52120
ENSG00000160050,CCDC28B,10,-1.0517,12,-0.7362,13,-0.6217,38,1.66405,7,-1.4832,5,-1.9830,21,0.15053
ENSG00000084623,EIF3I,35,-1.1464,53,-0.5664,77,0.06409,77,0.08758,118,0.77340,74,0.00751,97,0.43660
ENSG00000175130,MARCKSL1,377,2.05432,112,-0.1110,110,-0.1298,115,-0.0610,47,-1.4101,29,-2.1102,56,-1.1502
ENSG00000160058,BSDC1,59,0.29276,54,0.14214,38,-0.4320,43,-0.2613,55,0.15188,69,0.54188,37,-0.4468
