Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000160075,SSU72,54,-1.4733,139,-0.0141,86,-0.7526,148,0.08543,180,0.46517,174,0.34973,107,-0.4185,194,0.53186
ENSG00000228594,FNDC10,2,-3.8674,38,0.46697,14,-1.1625,28,-0.0960,38,0.45157,62,1.24923,19,-0.6514,19,-0.6909
ENSG00000272106,AL691432.2,4,-2.0313,11,-0.7254,7,-1.1948,38,1.36693,21,0.37813,13,-0.4348,13,-0.3896,29,0.92075
ENSG00000197530,MIB2,7,-2.0480,26,-0.0842,12,-1.2200,38,0.56326,40,0.73327,39,0.59001,27,-0.0145,16,-0.7870
ENSG00000248333,CDK11B,141,1.44633,55,-0.1729,90,0.66368,44,-0.4962,40,-0.6995,27,-1.2081,68,0.19189,43,-0.5296
ENSG00000189339,SLC35E2B,14,-0.6484,16,-0.4643,20,-0.0555,23,0.13947,23,0.15818,22,0.10166,29,0.51726,24,0.19617
ENSG00000008128,CDK11A,101,2.44977,13,-1.1594,14,-0.9597,17,-0.6421,17,-0.7449,16,-0.7620,39,0.64978,16,-0.7650
ENSG00000215790,SLC35E2A,15,-0.8263,22,-0.2768,17,-0.6757,29,0.17336,36,0.61836,25,-0.0606,26,0.02194,31,0.27630
ENSG00000008130,NADK,17,-0.5167,21,-0.1815,5,-2.1886,40,0.83840,27,0.21864,29,0.29423,22,-0.1078,28,0.28238
ENSG00000078369,GNB1,158,-1.6053,466,0.06796,468,0.06755,479,0.10369,604,0.55743,419,-0.1123,349,-0.3993,477,0.09840
ENSG00000187730,GABRD,8,-3.9477,78,-0.6929,80,-0.6010,92,-0.3779,167,0.67482,203,0.91523,131,0.18252,166,0.56795
ENSG00000067606,PRKCZ,55,-1.5967,190,0.35953,78,-1.0812,147,-0.1021,209,0.54246,235,0.67121,126,-0.3456,126,-0.3469
ENSG00000162585,FAAP20,25,-0.3010,46,0.79518,19,-0.6876,43,0.55336,38,0.43251,26,-0.2610,10,-1.6601,11,-1.4573
ENSG00000157933,SKI,41,0.11410,59,0.85694,28,-0.4698,43,0.20946,34,-0.1913,35,-0.1328,27,-0.4973,18,-1.1316
ENSG00000157916,RER1,33,-0.5452,43,-0.1633,52,0.16649,70,0.65531,39,-0.3022,57,0.32781,39,-0.2886,53,0.19160
ENSG00000157911,PEX10,13,-0.4836,18,-0.0617,17,-0.0943,20,0.12735,30,0.94128,13,-0.5049,14,-0.3824,10,-0.9289
ENSG00000149527,PLCH2,4,-1.7907,14,-0.1093,4,-1.7547,11,-0.4044,25,1.04919,11,-0.4491,9,-0.7520,29,1.10884
ENSG00000197921,HES5,1,-3.7387,12,-0.7443,10,-0.9212,88,2.98629,16,-0.2463,14,-0.4063,11,-0.7510,4,-2.1221
ENSG00000157870,PRXL2B,15,-1.8681,49,-0.0932,29,-0.8984,52,0.03606,65,0.44169,71,0.53506,44,-0.2522,74,0.60541
ENSG00000177133,PRDM16-DT,6,-1.6760,18,-0.0955,16,-0.2711,82,2.75161,18,-0.0938,5,-1.8123,6,-1.7308,2,-3.2420
ENSG00000142611,PRDM16,11,-0.2796,9,-0.6018,12,-0.2083,53,2.53298,2,-2.6071,15,0.23161,11,-0.2341,7,-0.9478
ENSG00000158109,TPRG1L,30,-2.0854,88,-0.4941,75,-0.6946,93,-0.3559,165,0.65108,188,0.77910,138,0.26088,141,0.29648
ENSG00000130764,LRRC47,32,-0.7744,39,-0.4917,28,-0.9455,69,0.43287,56,0.12362,87,0.82574,32,-0.7607,86,0.80896
ENSG00000116198,CEP104,94,1.57863,27,-0.5497,52,0.52353,18,-1.1090,24,-0.7868,31,-0.2756,51,0.48708,27,-0.4995
ENSG00000198912,C1orf174,2,-2.4619,5,-1.4060,4,-1.6582,13,0.03346,20,0.74469,25,1.02947,23,0.88944,14,0.11057
ENSG00000196581,AJAP1,28,-0.8378,40,-0.3023,38,-0.3573,45,-0.0842,49,0.02896,28,-0.8296,68,0.56210,94,1.12656
ENSG00000069424,KCNAB2,22,-3.1804,188,0.03439,91,-1.1037,200,0.12500,248,0.55507,253,0.51405,172,-0.1139,237,0.40332
ENSG00000116254,CHD5,85,-1.8376,292,0.04775,342,0.29606,194,-0.5992,298,0.08466,268,-0.0925,485,0.88794,289,0.02624
ENSG00000116251,RPL22,735,0.89747,448,0.08122,473,0.15901,461,0.11794,470,0.16941,175,-1.3832,204,-1.1474,400,-0.1104
ENSG00000116237,ICMT,19,-1.0713,26,-0.6198,22,-0.8521,39,0.03793,51,0.57254,67,0.94304,37,-0.0196,39,0.05772
ENSG00000097021,ACOT7,23,-2.4409,65,-0.9585,41,-1.5705,93,-0.3407,155,0.55904,250,1.31113,100,-0.2244,204,0.95381
ENSG00000215788,TNFRSF25,2,-3.2551,18,-0.4733,1,-3.8517,40,0.85115,43,1.13581,12,-1.0546,39,0.80121,22,-0.1033
ENSG00000171680,PLEKHG5,0,-8.4059,22,-0.3220,31,0.27740,26,-0.0291,39,0.73890,22,-0.2470,31,0.24834,31,0.28912
ENSG00000162408,NOL9,28,-0.0681,24,-0.3703,29,-0.0003,31,0.06695,28,-0.0726,43,0.63563,35,0.26340,24,-0.3355
ENSG00000162413,KLHL21,10,-1.4020,25,-0.0260,13,-1.0299,45,0.90497,23,-0.2154,42,0.78979,22,-0.2635,30,0.23536
ENSG00000116273,PHF13,5,-1.5313,13,-0.2755,13,-0.2328,6,-1.2597,18,0.27460,21,0.50830,22,0.59921,23,0.64855
ENSG00000007923,DNAJC11,15,-1.1923,33,0.00363,30,-0.1544,27,-0.3388,31,-0.1147,64,1.08211,30,-0.1700,38,0.20881
ENSG00000171735,CAMTA1,187,-1.2540,407,-0.0605,685,0.80430,326,-0.4021,400,-0.0916,479,0.20742,543,0.41412,376,-0.1791
ENSG00000049245,VAMP3,75,1.75390,31,0.25711,13,-1.1174,49,0.96239,19,-0.5720,17,-0.6783,6,-2.2503,10,-1.4540
ENSG00000049246,PER3,63,0.26089,41,-0.4533,84,0.73546,108,1.17545,42,-0.4115,41,-0.4228,57,0.09997,16,-1.8346
ENSG00000116288,PARK7,107,-1.0933,170,-0.4243,210,-0.0557,343,0.75239,290,0.54616,152,-0.5602,118,-0.9445,320,0.63484
ENSG00000116285,ERRFI1,10,-1.4108,11,-1.4161,13,-1.0133,42,0.81303,25,-0.0484,56,1.31884,32,0.35466,31,0.33090
ENSG00000162426,SLC45A1,1,-3.8048,6,-1.8914,11,-0.8719,35,0.96446,31,0.85518,31,0.75608,17,-0.2398,27,0.52868
ENSG00000142599,RERE,193,0.48875,146,0.03484,137,-0.0740,125,-0.2162,152,0.11171,95,-0.6329,155,0.12928,129,-0.1580
ENSG00000074800,ENO1,168,-1.2619,280,-0.5302,317,-0.2868,924,1.53319,451,0.31575,374,-0.0256,188,-1.0890,364,-0.0656
ENSG00000171612,SLC25A33,15,-1.1558,33,-0.0212,34,0.05877,99,1.92088,31,-0.0978,24,-0.5214,15,-1.2183,16,-1.1336
ENSG00000171603,CLSTN1,102,-2.5804,364,-0.7531,442,-0.3845,523,-0.1199,652,0.26626,933,0.83435,726,0.41173,881,0.73532
ENSG00000178585,CTNNBIP1,15,-1.0712,34,0.24143,24,-0.2924,20,-0.5866,33,0.17937,49,0.84802,30,0.00880,24,-0.3199
ENSG00000162441,LZIC,125,1.48493,41,-0.4279,67,0.38969,58,0.16634,38,-0.5757,43,-0.3260,37,-0.5275,37,-0.5289
ENSG00000130939,UBE4B,37,0.01588,29,-0.3968,25,-0.6041,31,-0.2753,37,0.02922,63,0.90863,57,0.73318,20,-0.9198
ENSG00000054523,KIF1B,595,0.64955,350,-0.2401,552,0.52305,346,-0.2346,255,-0.7765,460,0.22299,533,0.46402,312,-0.3960
ENSG00000142657,PGD,18,-0.9875,23,-0.6740,20,-0.7860,39,0.21858,42,0.37620,83,1.53376,27,-0.3465,23,-0.6136
ENSG00000241563,CORT,2,-3.4615,27,0.24793,17,-0.4939,37,0.73648,31,0.51479,20,-0.2553,20,-0.2604,23,-0.0236
ENSG00000160049,DFFA,78,0.71218,61,0.35166,51,0.00928,56,0.17435,37,-0.5276,32,-0.7159,43,-0.2525,48,-0.0704
ENSG00000142655,PEX14,4,-2.1121,13,-0.5722,12,-0.7428,20,0.05350,25,0.53752,35,1.03195,11,-0.8149,30,0.71835
ENSG00000120948,TARDBP,96,0.16913,53,-0.8263,55,-0.6901,89,0.04548,104,0.34721,76,-0.1918,108,0.35731,124,0.59293
ENSG00000271895,AL109811.2,8,-0.8333,4,-1.7067,2,-2.7539,22,0.78531,13,-0.0335,21,0.76493,26,1.11593,19,0.59874
ENSG00000116649,SRM,20,-1.8066,59,-0.1692,30,-1.1669,95,0.61604,108,0.99354,57,-0.2187,25,-1.4559,89,0.50545
ENSG00000171824,EXOSC10,53,0.86852,9,-1.9388,24,-0.4209,29,-0.1363,30,-0.0381,28,-0.1582,63,1.16582,36,0.23719
ENSG00000198793,MTOR,27,-0.4867,30,-0.3707,30,-0.3006,39,0.08441,40,0.14056,40,0.13952,43,0.24319,50,0.49088
ENSG00000116661,FBXO2,70,-1.4318,147,-0.3241,110,-0.7352,312,0.94295,280,0.89162,154,-0.2194,86,-1.1103,181,0.03953
ENSG00000132879,FBXO44,8,-3.2668,62,-0.3729,37,-1.1167,75,-0.0412,116,0.78882,93,0.31229,81,0.08223,117,0.69506
ENSG00000177000,MTHFR,16,-0.3745,20,-0.0763,10,-1.0707,32,0.72452,14,-0.6686,18,-0.1856,27,0.45103,35,0.85439
ENSG00000011021,CLCN6,16,-2.1813,71,0.04474,37,-0.9639,69,-0.0061,71,0.05329,147,1.27187,82,0.26671,57,-0.3122
ENSG00000116685,KIAA2013,20,-0.4875,26,-0.0862,21,-0.3877,33,0.33924,28,0.06138,33,0.31233,16,-0.7596,39,0.60685
ENSG00000083444,PLOD1,10,-0.2985,8,-0.6508,15,0.29928,27,1.29793,10,-0.3141,14,0.21738,15,0.33376,5,-1.4044
ENSG00000116688,MFN2,84,-0.4401,90,-0.3798,78,-0.5695,80,-0.5168,145,0.48020,196,0.93759,102,-0.1494,108,-0.0598
ENSG00000048707,VPS13D,55,-0.2494,62,-0.0614,65,0.03870,63,-0.0218,49,-0.4667,93,0.61045,86,0.48192,56,-0.2106
ENSG00000162496,DHRS3,25,0.61227,19,0.15446,9,-0.9685,41,1.45768,6,-1.5697,32,1.00990,11,-0.6376,3,-2.2775
ENSG00000116731,PRDM2,195,-0.2213,185,-0.3339,448,1.16549,103,-1.1992,154,-0.6468,138,-0.7567,382,0.88317,297,0.45709
ENSG00000189337,KAZN,72,0.35581,41,-0.5925,54,-0.1014,43,-0.4687,68,0.31738,92,0.76909,64,0.16406,33,-0.8601
ENSG00000142634,EFHD2,14,-2.4263,95,0.53031,49,-0.5698,23,-1.7163,38,-1.0689,242,2.19821,95,0.46478,25,-1.6159
ENSG00000116138,DNAJC16,15,-1.3195,31,-0.2329,24,-0.6043,25,-0.5267,42,0.29937,60,0.83609,52,0.60224,35,-0.0465
ENSG00000197312,DDI2,25,-0.6075,27,-0.5413,37,0.01891,32,-0.1877,40,0.17342,49,0.45695,58,0.76376,31,-0.2696
ENSG00000116786,PLEKHM2,76,-0.6817,141,0.34718,117,0.00055,88,-0.4391,183,0.86037,99,-0.2662,82,-0.5504,59,-1.0515
ENSG00000065526,SPEN,565,2.04441,127,-0.5935,323,0.97900,94,-1.0056,55,-1.9360,73,-1.3774,221,0.33447,155,-0.2351
ENSG00000116809,ZBTB17,18,-0.1096,25,0.46021,24,0.38882,19,0.00643,20,0.08834,18,-0.1208,12,-0.6638,10,-0.9304
ENSG00000037637,FBXO42,18,-0.1105,14,-0.5950,11,-0.9043,24,0.29260,16,-0.3448,31,0.75567,28,0.56715,25,0.36341
ENSG00000055070,SZRD1,49,1.03688,35,0.54048,14,-0.9466,39,0.64783,24,-0.1341,15,-0.8651,14,-0.9312,12,-1.1775
ENSG00000219481,NBPF1,37,1.57460,14,-0.1215,13,-0.2093,11,-0.4567,10,-0.5809,10,-0.5277,17,0.29086,10,-0.6183
ENSG00000058453,CROCC,12,-0.2920,13,-0.2131,5,-1.4758,13,-0.1361,17,0.29183,18,0.31391,26,0.96972,11,-0.4595
ENSG00000159363,ATP13A2,16,-2.4320,59,-0.5423,58,-0.4926,70,-0.2082,108,0.56027,183,1.41280,72,-0.1747,68,-0.2559
ENSG00000117118,SDHB,16,-1.9315,34,-0.8836,48,-0.2653,103,0.97255,80,0.63388,77,0.47821,27,-1.1264,72,0.38579
ENSG00000117115,PADI2,161,2.13580,60,0.38073,20,-1.3724,92,1.06680,32,-0.7215,12,-2.1364,5,-3.2893,14,-1.9038
ENSG00000179051,RCC2,10,-1.4502,13,-1.1574,19,-0.4474,38,0.61523,31,0.34470,49,1.05596,24,-0.1043,30,0.25478
ENSG00000074964,ARHGEF10L,21,0.40872,10,-0.7527,14,-0.1979,39,1.47076,11,-0.5897,32,1.13837,4,-1.9245,8,-1.0456
ENSG00000117154,IGSF21,14,-2.6700,72,-0.2343,43,-0.9924,73,-0.1903,142,1.07051,105,0.39744,79,-0.0528,80,-0.0447
ENSG00000159423,ALDH4A1,25,0.44528,27,0.65281,15,-0.3651,45,1.43915,20,0.06943,4,-2.3821,1,-3.5754,7,-1.5088
ENSG00000127481,UBR4,85,1.28307,32,-0.3897,70,0.92480,39,-0.0360,8,-2.5082,27,-0.6206,73,1.01339,25,-0.7427
ENSG00000127463,EMC1,25,-0.4759,33,-0.0203,30,-0.1766,40,0.30691,29,-0.2539,43,0.42046,29,-0.2411,43,0.41734
ENSG00000053372,MRTO4,19,-0.9374,28,-0.3537,28,-0.3166,29,-0.2953,43,0.42147,37,0.09627,47,0.49352,43,0.35374
ENSG00000053371,AKR7A2,33,0.37698,16,-0.8553,20,-0.4144,68,1.60478,25,-0.0811,24,-0.1667,15,-0.8644,22,-0.2727
ENSG00000077549,CAPZB,63,-1.2650,106,-0.5173,145,0.01407,159,0.16540,193,0.55769,166,0.23489,122,-0.2553,180,0.37103
ENSG00000173436,MICOS10,135,-0.8934,243,0.03021,254,0.09443,244,0.03210,369,0.83262,211,-0.1988,133,-0.9117,191,-0.3531
ENSG00000158747,NBL1,44,-1.5121,114,-0.0653,61,-1.0188,115,-0.0475,167,0.65002,190,0.77526,106,-0.1799,106,-0.1728
ENSG00000169914,OTUD3,9,-1.2222,11,-1.0541,19,-0.1462,16,-0.3785,18,-0.2263,44,1.25879,44,1.28211,16,-0.3880
ENSG00000162545,CAMK2N1,842,-0.9070,1790,0.31896,2128,0.56672,1618,0.11584,1978,0.51159,349,-2.2273,855,-0.8833,1729,0.22323
ENSG00000090432,MUL1,11,-0.2986,15,0.27941,5,-1.2461,18,0.51715,7,-1.0843,23,0.91455,10,-0.3304,19,0.58169
ENSG00000183114,FAM43B,8,-0.5183,21,1.06058,1,-3.0227,4,-1.5675,4,-1.6608,38,2.04949,12,0.05532,5,-1.2770
ENSG00000158828,PINK1,128,-1.4892,300,-0.2080,225,-0.6394,346,0.04014,443,0.50900,540,0.77588,269,-0.3611,382,0.19770
ENSG00000244038,DDOST,4,-2.2169,13,-0.6644,13,-0.6186,42,1.34701,25,0.52417,29,0.68554,14,-0.4916,12,-0.7179
ENSG00000117245,KIF17,6,-1.7852,9,-1.3033,5,-1.9011,18,-0.1521,18,-0.2301,57,1.78860,21,0.03552,41,1.18512
ENSG00000189410,SH2D5,1,-4.1753,27,-0.2277,10,-1.6510,31,-0.0149,52,0.96472,37,0.27570,33,0.10253,41,0.44829
ENSG00000127483,HP1BP3,410,0.74167,198,-0.4798,415,0.76312,243,-0.1139,191,-0.5454,171,-0.6633,337,0.41490,258,-0.0207
ENSG00000075151,EIF4G3,244,-0.0307,127,-1.1338,531,1.28221,119,-1.1430,134,-1.0514,297,0.28477,432,0.91560,346,0.53716
ENSG00000117298,ECE1,26,0.70288,21,0.46219,24,0.58749,23,0.54867,7,-1.3673,15,-0.1017,19,0.20162,2,-3.1555
ENSG00000076864,RAP1GAP,29,-2.0922,77,-0.7006,46,-1.4082,77,-0.6248,156,0.56288,237,1.21203,168,0.61762,132,0.20924
ENSG00000090686,USP48,145,1.17071,39,-1.0520,81,0.18865,64,-0.1930,45,-0.8023,61,-0.2736,119,0.82463,85,0.25878
ENSG00000070831,CDC42,74,-1.2315,116,-0.6204,96,-0.8453,161,-0.0398,189,0.24464,289,0.92622,172,0.06143,252,0.69464
ENSG00000133216,EPHB2,13,-0.2291,13,-0.2202,21,0.52697,11,-0.4466,12,-0.3268,8,-0.9728,17,0.21592,28,1.07112
ENSG00000004487,KDM1A,39,-0.2673,34,-0.5239,62,0.48844,41,-0.1816,31,-0.6537,55,0.30231,53,0.23609,78,0.88182
ENSG00000169641,LUZP1,66,-1.2379,103,-0.6285,308,1.23856,76,-1.0410,109,-0.5247,242,0.81579,266,0.97552,97,-0.6549
ENSG00000125944,HNRNPR,204,0.76833,76,-0.8972,153,0.28263,104,-0.3345,121,-0.1023,82,-0.7031,117,-0.1471,229,0.96778
ENSG00000142676,RPL11,584,0.63056,454,0.24421,378,-0.0824,481,0.30721,529,0.53631,152,-1.4798,138,-1.6236,277,-0.5679
ENSG00000011007,ELOA,42,0.35932,28,-0.3186,58,0.87372,26,-0.4004,20,-0.9027,31,-0.1595,48,0.55132,38,0.19750
ENSG00000057757,PITHD1,39,-1.6477,86,-0.4898,61,-0.9673,98,-0.2322,137,0.33747,233,1.20585,112,-0.0210,150,0.44881
ENSG00000011009,LYPLA2,1,-3.7170,20,-0.0287,16,-0.3967,19,-0.0986,20,-0.0585,41,1.17008,16,-0.3284,30,0.64523
ENSG00000117308,GALE,2,-2.9168,11,-0.5489,5,-1.6966,16,0.07343,22,0.64509,32,1.18098,8,-0.9409,26,0.82776
ENSG00000117305,HMGCL,10,-0.5010,17,0.42781,14,0.03705,20,0.62415,14,0.05918,12,-0.2031,7,-0.9336,10,-0.4063
ENSG00000189266,PNRC2,49,-0.3602,51,-0.3592,76,0.31780,67,0.12097,70,0.20842,40,-0.6995,50,-0.3413,99,0.76689
ENSG00000188529,SRSF10,80,0.30242,56,-0.2884,86,0.40601,58,-0.2118,54,-0.3487,77,0.22941,79,0.27715,64,-0.0705
ENSG00000001461,NIPAL3,282,1.68052,73,-0.6658,100,-0.1048,52,-1.1269,63,-0.8994,157,0.62766,127,0.27565,81,-0.4354
ENSG00000133226,SRRM1,604,1.89534,135,-0.7247,338,0.81827,116,-0.8960,86,-1.4590,93,-1.2227,290,0.56139,178,-0.2341
ENSG00000169504,CLIC4,113,2.67500,26,-0.0562,7,-2.0269,38,0.54160,20,-0.5448,8,-1.7714,3,-2.9625,9,-1.6818
ENSG00000117614,SYF2,190,0.73930,112,-0.1352,237,1.12571,122,0.01049,87,-0.5703,44,-1.5616,94,-0.3997,126,0.06713
ENSG00000117616,RSRP1,73,-0.0611,39,-1.1170,48,-0.7104,103,0.48046,66,-0.2654,65,-0.2616,139,0.99375,126,0.82469
ENSG00000183726,TMEM50A,50,-0.7700,55,-0.6947,74,-0.1717,108,0.44697,111,0.55668,85,0.05644,79,-0.0730,95,0.23656
ENSG00000204178,MACO1,68,0.28688,34,-0.8580,110,1.10210,36,-0.7138,31,-0.9975,51,-0.1753,98,0.90672,74,0.42914
ENSG00000117643,MAN1C1,8,-2.2310,27,-0.4573,33,-0.1504,45,0.36013,53,0.73279,31,-0.2004,29,-0.3508,52,0.61238
ENSG00000162430,SELENON,11,-1.1469,25,0.07744,5,-2.2308,32,0.45646,32,0.51675,27,0.16241,17,-0.5358,35,0.58484
ENSG00000117640,MTFR1L,34,-0.8025,43,-0.4764,30,-0.9808,73,0.40200,80,0.63998,79,0.54566,66,0.23153,40,-0.5363
ENSG00000117632,STMN1,526,-0.8347,628,-0.6212,653,-0.5024,654,-0.4994,941,0.08450,1424,0.76185,1026,0.21538,1559,0.91894
ENSG00000158008,EXTL1,0,-7.9309,31,-0.3797,14,-1.5859,43,0.15539,69,1.12481,58,0.63344,30,-0.4093,45,0.23308
ENSG00000175087,PDIK1L,3,-2.0477,10,-0.6302,7,-1.1802,4,-1.7190,23,0.83137,28,1.04981,25,0.86646,13,-0.1324
ENSG00000142684,ZNF593,9,-1.1788,16,-0.3635,16,-0.2745,19,-0.0491,28,0.72346,22,0.19386,16,-0.2576,23,0.28785
ENSG00000142669,SH3BGRL3,77,-0.8141,130,-0.0057,73,-0.8922,134,0.04713,172,0.52038,181,0.53197,94,-0.5059,139,0.10615
ENSG00000158062,UBXN11,5,-1.5436,15,-0.0612,11,-0.5003,24,0.74240,20,0.47452,7,-1.1754,14,-0.1763,22,0.62389
ENSG00000117682,DHDDS,6,-1.4029,14,-0.1564,8,-0.9230,18,0.27103,11,-0.4499,27,0.95842,21,0.54079,20,0.44594
ENSG00000198830,HMGN2,187,0.51950,125,-0.1437,105,-0.3998,219,0.78879,159,0.28745,54,-1.4134,90,-0.6426,134,-0.0147
ENSG00000117713,ARID1A,112,0.79833,83,0.32342,67,-0.0396,70,0.02216,51,-0.5263,45,-0.6547,87,0.36327,43,-0.7504
ENSG00000204160,ZDHHC18,2,-2.8463,13,-0.4069,10,-0.7766,15,-0.2116,21,0.43274,29,0.91933,30,0.96244,12,-0.4807
ENSG00000142751,GPN2,12,-0.6510,16,-0.2383,15,-0.2588,18,0.00432,19,0.07302,18,-0.0241,30,0.80924,19,0.06471
ENSG00000090273,NUDC,103,-0.9524,182,-0.0789,199,0.06590,232,0.31731,259,0.57363,129,-0.6083,126,-0.6480,235,0.33868
ENSG00000253368,TRNP1,3,-3.5135,33,-0.0974,26,-0.4437,32,-0.1408,37,0.10937,63,0.96818,30,-0.2098,54,0.72625
ENSG00000090020,SLC9A1,2,-3.3791,20,-0.1058,10,-1.1746,20,-0.0895,27,0.45293,52,1.54329,17,-0.3124,16,-0.3983
ENSG00000142784,WDTC1,16,-0.7461,31,0.27459,30,0.20723,28,0.05497,34,0.46670,34,0.37252,17,-0.7169,11,-1.3183
ENSG00000186501,TMEM222,21,-1.0047,57,0.63915,14,-1.5668,48,0.27296,49,0.34021,48,0.26803,33,-0.3312,30,-0.4919
ENSG00000158195,WASF2,151,2.15842,46,0.04622,60,0.46817,46,0.02988,15,-1.7926,19,-1.3226,33,-0.4772,20,-1.2578
ENSG00000126705,AHDC1,40,-0.3348,52,0.07715,43,-0.2561,39,-0.3897,42,-0.3253,56,0.16817,89,0.95315,46,-0.1212
ENSG00000126709,IFI6,49,-0.9908,81,-0.2521,59,-0.7116,75,-0.3427,99,0.10138,227,1.53116,101,0.12420,62,-0.6321
ENSG00000009780,FAM76A,25,0.17017,22,0.00928,23,0.02512,21,-0.1080,12,-0.9610,24,0.09153,32,0.57347,29,0.44342
ENSG00000117758,STX12,53,-0.5822,72,-0.1262,48,-0.7281,87,0.19303,75,-0.0483,105,0.50651,81,0.07812,103,0.46523
ENSG00000117751,PPP1R8,17,-0.5418,18,-0.4538,14,-0.7787,34,0.56442,26,0.19104,25,0.05627,25,0.08842,34,0.56947
ENSG00000117748,RPA2,5,-2.4445,19,-0.6450,10,-1.5550,53,1.09624,37,0.54262,37,0.47480,30,0.12672,29,0.07662
ENSG00000158161,EYA3,5,-1.4131,11,-0.2341,10,-0.3007,11,-0.2793,14,0.22654,15,0.30409,24,1.03207,11,-0.2406
ENSG00000126698,DNAJC8,279,0.47422,148,-0.5901,395,1.07042,157,-0.4474,183,-0.2322,134,-0.6870,191,-0.1439,267,0.40078
ENSG00000130770,ATP5IF1,105,-1.5427,174,-0.8581,346,0.30228,351,0.32753,405,0.64986,242,-0.2688,184,-0.7000,485,0.87214
ENSG00000204138,PHACTR4,122,2.17912,29,-0.3885,27,-0.4441,37,0.05035,16,-1.2968,22,-0.7765,36,-0.0026,26,-0.4945
ENSG00000180098,TRNAU1AP,16,-0.0234,11,-0.6478,6,-1.3835,27,0.83655,14,-0.2562,24,0.58931,28,0.84695,12,-0.4638
ENSG00000162419,GMEB1,14,0.06266,10,-0.4855,28,1.23808,4,-1.7559,11,-0.2655,15,0.22008,22,0.83849,7,-1.0038
ENSG00000198492,YTHDF2,32,-1.2170,50,-0.6051,56,-0.3558,91,0.41607,65,-0.1475,122,0.91346,89,0.37352,85,0.31168
ENSG00000116329,OPRD1,2,-2.9901,13,-0.3468,10,-0.7031,9,-0.8402,22,0.60589,18,0.17026,39,1.46828,12,-0.3990
