Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000224051,CPTP,13,-0.6501,18,-0.1984,17,-0.2374,23,0.21628,40,1.06970,24,0.29138,6,-1.7138,24,0.26693,26,0.36262,5,-1.9586,14,-0.5228,26,0.43831
ENSG00000107404,DVL1,34,-0.3832,56,0.37279,14,-1.7168,24,-0.8927,16,-1.5105,29,-0.6128,30,-0.5931,13,-1.7604,80,0.96452,70,0.72919,64,0.59088,71,0.84087
ENSG00000175756,AURKAIP1,137,-0.5504,78,-1.3950,218,0.17330,262,0.46398,257,0.43373,184,-0.0914,168,-0.2354,140,-0.5151,229,0.25117,173,-0.1922,226,0.23025,234,0.31327
ENSG00000221978,CCNL2,54,0.12713,112,1.31403,42,-0.2700,57,0.19041,62,0.33963,52,0.04948,22,-1.2174,47,-0.0927,28,-0.8760,50,-0.0117,24,-1.0770,50,-0.0001
ENSG00000242485,MRPL20,122,-0.5709,128,-0.4933,170,-0.0542,163,-0.1279,227,0.39471,131,-0.4588,109,-0.7405,120,-0.5970,181,0.03951,264,0.64163,153,-0.2186,263,0.71170
ENSG00000235098,ANKRD65,19,-0.3639,19,-0.3276,9,-1.4328,20,-0.2795,26,0.14372,34,0.55463,26,0.11275,12,-0.9907,27,0.16003,41,0.84321,18,-0.4234,30,0.39298
ENSG00000179403,VWA1,152,3.17118,10,-1.4711,4,-2.6805,6,-2.1687,28,0.05501,0,-8.0822,6,-2.1306,30,0.15737,30,0.15445,70,1.56104,3,-2.9898,6,-2.3387
ENSG00000205090,TMEM240,6,-2.0808,23,-0.0868,8,-1.5483,31,0.37807,29,0.29014,22,-0.1610,33,0.50249,42,0.90869,12,-0.9965,13,-0.8559,29,0.29023,32,0.48826
ENSG00000160075,SSU72,83,-0.9059,88,-0.8100,170,0.19565,173,0.22591,192,0.39392,180,0.28629,116,-0.3917,96,-0.6876,129,-0.2351,132,-0.1890,150,0.00261,219,0.67491
ENSG00000228594,FNDC10,3,-2.8552,9,-1.3404,43,0.95095,18,-0.4069,29,0.35789,55,1.38264,18,-0.4332,12,-1.0389,21,-0.1910,9,-1.3280,29,0.31132,29,0.39458
ENSG00000272106,AL691432.2,18,-0.1007,18,-0.0948,7,-1.5008,7,-1.4819,32,0.79538,15,-0.4062,19,0.00055,28,0.55882,3,-2.6635,0,-6.7995,36,1.01009,34,1.01490
ENSG00000197530,MIB2,14,-1.2428,29,-0.1422,17,-0.9570,48,0.67910,26,-0.2744,41,0.42819,22,-0.5706,48,0.67160,19,-0.7259,47,0.62661,4,-2.9824,47,0.70731
ENSG00000248333,CDK11B,60,0.17909,89,0.81004,50,-0.1209,40,-0.4680,40,-0.4624,76,0.54943,76,0.55046,58,0.10926,57,0.08710,46,-0.2437,44,-0.3068,32,-0.8585
ENSG00000189339,SLC35E2B,13,-0.7672,21,-0.0663,18,-0.2943,24,0.11195,32,0.57310,39,0.91053,12,-0.8576,30,0.49907,30,0.46993,6,-1.7930,13,-0.7580,23,0.11357
ENSG00000008128,CDK11A,52,1.24418,39,0.75544,21,-0.2234,20,-0.2780,20,-0.2572,28,0.21375,15,-0.7377,26,0.14647,25,0.07092,0,-6.6699,11,-1.2115,28,0.26691
ENSG00000008130,NADK,12,-0.7314,8,-1.3200,14,-0.4414,29,0.63998,13,-0.5375,12,-0.6742,22,0.19017,24,0.33608,27,0.54462,38,1.06266,12,-0.7083,20,0.02447
ENSG00000078369,GNB1,219,-1.3205,385,-0.4709,417,-0.3459,529,0.02069,469,-0.1661,567,0.12961,465,-0.1779,439,-0.2693,596,0.20812,602,0.22457,656,0.36118,720,0.56807
ENSG00000187730,GABRD,4,-5.6784,120,-0.7554,305,0.70644,412,1.20934,267,0.48993,370,1.02601,265,0.47646,154,-0.3754,65,-1.6572,28,-2.9090,185,-0.0888,187,-0.0820
ENSG00000067606,PRKCZ,64,-1.6123,100,-0.9381,156,-0.2688,210,0.20074,229,0.33235,180,-0.0430,171,-0.1205,165,-0.1823,101,-0.9225,247,0.45621,289,0.71178,247,0.50842
ENSG00000162585,FAAP20,38,0.17057,46,0.46635,29,-0.2634,20,-0.7947,33,-0.0372,62,0.95246,3,-3.4865,23,-0.5673,43,0.37345,31,-0.1451,41,0.28928,37,0.12759
ENSG00000157933,SKI,19,-0.5219,60,1.29525,14,-1.0075,11,-1.3273,14,-0.9330,37,0.50794,28,0.04834,16,-0.7642,60,1.31090,12,-1.1472,32,0.25879,23,-0.2666
ENSG00000157916,RER1,70,0.36756,36,-0.6769,60,0.12317,91,0.79031,82,0.61988,64,0.22236,19,-1.6118,40,-0.5094,68,0.32029,28,-1.0391,25,-1.1805,69,0.38204
ENSG00000157911,PEX10,34,0.84764,18,-0.1769,15,-0.3822,21,0.09690,26,0.42871,13,-0.6905,9,-1.1982,11,-0.9227,40,1.10714,15,-0.3905,16,-0.3370,20,0.04614
ENSG00000157870,PRXL2B,2,-4.1253,32,-0.0435,41,0.31624,44,0.45313,49,0.59975,20,-0.7953,36,0.14588,27,-0.3420,30,-0.1673,25,-0.4578,24,-0.4662,51,0.77114
ENSG00000158109,TPRG1L,29,-2.6255,88,-1.0019,255,0.65782,234,0.51470,179,0.08753,140,-0.2855,143,-0.2629,164,-0.0430,132,-0.3825,171,0.02040,239,0.54932,211,0.38915
ENSG00000130764,LRRC47,45,-0.6506,36,-0.9750,79,0.22088,116,0.83300,105,0.67455,89,0.40718,71,0.03809,70,0.03528,60,-0.2066,38,-0.9126,57,-0.2800,64,-0.1265
ENSG00000116198,CEP104,62,1.18190,75,1.49753,17,-0.8264,10,-1.6265,14,-1.1146,29,-0.0256,22,-0.4362,30,0.00439,26,-0.1910,40,0.43958,20,-0.6415,21,-0.5394
ENSG00000196581,AJAP1,20,-1.2435,54,0.24963,22,-1.1206,36,-0.3845,39,-0.2556,61,0.43696,92,1.11487,86,0.99441,21,-1.1825,11,-2.1229,29,-0.7188,65,0.58827
ENSG00000069424,KCNAB2,15,-3.6731,91,-1.0631,314,0.86408,299,0.78175,114,-0.7199,104,-0.8579,147,-0.3385,201,0.14389,177,-0.0535,179,-0.0312,274,0.64019,232,0.41586
ENSG00000116254,CHD5,34,-2.6887,354,0.84634,225,0.11585,142,-0.5968,123,-0.8061,327,0.71641,423,1.14614,197,-0.0895,129,-0.7384,129,-0.7380,295,0.55147,168,-0.3662
ENSG00000116251,RPL22,1155,0.74924,556,-0.4067,343,-1.1354,297,-1.3501,408,-0.8748,582,-0.3376,657,-0.1484,437,-0.7741,906,0.35485,1558,1.25250,1094,0.65913,704,-0.0451
ENSG00000116237,ICMT,14,-1.5024,28,-0.5240,43,0.14464,63,0.75951,49,0.34897,42,0.11945,43,0.12474,40,0.01614,23,-0.8388,44,0.18690,51,0.41148,35,-0.1866
ENSG00000097021,ACOT7,66,-1.8634,69,-1.7852,452,1.11266,525,1.37333,392,0.87672,118,-1.0003,215,-0.0865,214,-0.0949,67,-1.8308,148,-0.6626,149,-0.6520,270,0.29754
ENSG00000215788,TNFRSF25,2,-2.7354,61,2.12683,2,-2.7283,30,0.84352,15,-0.2335,6,-1.6381,10,-0.7651,14,-0.2881,6,-1.6138,9,-0.9141,11,-0.7350,29,0.94193
ENSG00000171680,PLEKHG5,5,-1.9872,26,0.49862,15,-0.4017,33,0.83544,10,-0.9295,19,-0.0082,27,0.52608,9,-1.1494,14,-0.5067,1,-4.3946,42,1.27314,25,0.42783
ENSG00000162408,NOL9,9,-1.2685,28,0.46057,23,0.18014,30,0.60854,7,-1.4990,12,-0.7691,25,0.30474,17,-0.2531,19,-0.0921,33,0.75210,32,0.69995,15,-0.4714
ENSG00000162413,KLHL21,28,0.24535,18,-0.4166,19,-0.3475,18,-0.4401,39,0.77899,35,0.64040,11,-1.1229,12,-0.9700,16,-0.6032,38,0.77063,21,-0.1626,26,0.15656
ENSG00000041988,THAP3,15,-0.2628,7,-1.3838,24,0.46627,23,0.45978,20,0.22204,40,1.34763,11,-0.6276,7,-1.3311,23,0.43694,0,-7.2272,9,-1.0231,24,0.54734
ENSG00000007923,DNAJC11,18,-0.4430,21,-0.1985,22,-0.1161,18,-0.4222,11,-1.1341,25,0.09087,17,-0.4764,46,1.03463,28,0.23436,43,0.92564,22,-0.1483,20,-0.3050
ENSG00000171735,CAMTA1,154,-1.2859,376,0.06926,422,0.25081,267,-0.4596,417,0.23096,806,1.31965,507,0.54559,409,0.20081,257,-0.5202,194,-0.9465,372,0.05315,248,-0.6147
ENSG00000049245,VAMP3,206,3.39617,15,-1.1527,10,-1.8152,7,-2.2744,8,-2.0199,6,-2.5347,3,-3.2063,44,0.44044,41,0.31715,56,0.81877,6,-2.4372,16,-1.1805
ENSG00000049246,PER3,65,0.80494,67,0.85155,11,-1.9209,23,-0.8249,28,-0.5398,27,-0.5556,62,0.72563,41,0.05187,62,0.71135,23,-0.8256,32,-0.3150,36,-0.1656
ENSG00000116288,PARK7,193,-1.0514,195,-1.0429,357,-0.1184,486,0.36401,520,0.47314,396,0.04293,312,-0.3272,305,-0.3647,430,0.17275,402,0.06606,393,0.03145,511,0.49447
ENSG00000116285,ERRFI1,20,-0.2948,36,0.60700,40,0.79156,50,1.14496,25,0.06349,32,0.42037,16,-0.6498,9,-1.5135,17,-0.5239,21,-0.2322,7,-1.8581,22,-0.1670
ENSG00000162426,SLC45A1,8,-1.9587,26,-0.1493,51,0.89136,75,1.54494,49,0.80998,15,-0.9971,44,0.65349,23,-0.3881,18,-0.7065,6,-2.2313,10,-1.5844,27,-0.1205
ENSG00000142599,RERE,159,0.33358,227,0.90714,68,-0.9611,77,-0.7899,131,0.02215,132,0.04281,140,0.12758,108,-0.2762,110,-0.2380,88,-0.5772,205,0.73879,115,-0.1969
ENSG00000074800,ENO1,340,-0.5290,222,-1.1723,549,0.21374,720,0.64902,664,0.51704,378,-0.3679,380,-0.3606,464,-0.0515,1051,1.28206,289,-0.7777,197,-1.3487,489,0.03393
ENSG00000171612,SLC25A33,13,-1.7015,27,-0.6725,34,-0.3300,33,-0.3713,39,-0.0918,27,-0.6731,16,-1.4267,9,-2.3195,141,2.06040,50,0.29714,44,0.06630,55,0.48542
ENSG00000171603,CLSTN1,133,-2.4639,494,-0.5201,686,-0.0128,1300,1.02053,987,0.56523,728,0.08033,791,0.21073,1317,1.04145,324,-1.1561,428,-0.7351,519,-0.4434,642,-0.1270
ENSG00000178585,CTNNBIP1,18,-0.7665,32,0.13501,15,-1.0264,23,-0.3801,45,0.66519,30,0.04701,12,-1.3883,12,-1.3834,46,0.69621,78,1.60140,24,-0.2930,24,-0.3124
ENSG00000162441,LZIC,107,0.84129,48,-0.4125,45,-0.5113,18,-1.8568,48,-0.4129,81,0.39433,45,-0.5225,52,-0.2819,99,0.72051,77,0.31558,86,0.49037,56,-0.1913
ENSG00000130939,UBE4B,31,-0.4260,53,0.38502,46,0.16745,38,-0.1257,62,0.65004,44,0.09536,29,-0.5437,58,0.52529,27,-0.6571,55,0.45332,39,-0.0760,27,-0.6710
ENSG00000054523,KIF1B,488,0.66613,379,0.26069,377,0.25097,249,-0.3933,279,-0.2194,266,-0.2915,300,-0.1075,503,0.71415,275,-0.2421,331,0.04591,302,-0.0964,214,-0.6691
ENSG00000142657,PGD,38,-0.7096,37,-0.7456,99,0.79080,81,0.46229,66,0.13493,124,1.16301,34,-0.8538,48,-0.3505,53,-0.1902,65,0.12279,37,-0.7600,51,-0.2765
ENSG00000241563,CORT,4,-4.8759,49,-1.1996,59,-0.9244,16,-2.8420,123,0.19503,125,0.22412,14,-2.9749,11,-3.3237,40,-1.5101,22,-2.3526,22,-2.3729,462,3.37645
ENSG00000160049,DFFA,100,0.88823,62,0.12428,34,-0.7931,39,-0.5818,63,0.14924,55,-0.0843,49,-0.2329,41,-0.5017,66,0.20608,80,0.52254,65,0.18117,46,-0.3575
ENSG00000142655,PEX14,6,-1.5692,9,-1.0976,21,0.24714,34,0.99065,19,0.09560,13,-0.4764,9,-0.9749,33,0.91730,6,-1.6468,13,-0.5285,25,0.47442,24,0.49437
ENSG00000120948,TARDBP,108,0.51303,118,0.65665,47,-0.7512,76,-0.0275,75,-0.0540,71,-0.1395,117,0.64602,90,0.23760,72,-0.1194,31,-1.3783,74,-0.0709,65,-0.2883
ENSG00000116649,SRM,42,-0.5540,60,-0.0082,54,-0.1957,88,0.58105,59,-0.0497,54,-0.1926,56,-0.1165,56,-0.1307,65,0.10846,40,-0.6409,50,-0.3158,83,0.55324
ENSG00000171824,EXOSC10,59,0.71105,84,1.30511,22,-0.8004,46,0.30673,48,0.37362,36,-0.0559,39,0.04127,28,-0.4494,35,-0.1051,21,-0.8908,9,-2.1269,31,-0.3048
ENSG00000198793,MTOR,20,-1.2579,44,-0.0771,49,0.10928,79,0.85501,56,0.29446,42,-0.1486,57,0.34482,64,0.51106,46,-0.0198,31,-0.6260,47,0.03694,33,-0.5685
ENSG00000116661,FBXO2,76,-1.1695,79,-1.1101,192,0.24868,271,0.80253,99,-0.7701,74,-1.1978,108,-0.6408,37,-2.2414,361,1.28677,122,-0.4562,193,0.25640,260,0.82535
ENSG00000132879,FBXO44,29,-1.7574,70,-0.4433,100,0.12197,146,0.71976,133,0.56798,62,-0.6090,73,-0.3787,110,0.25837,55,-0.7916,61,-0.6540,108,0.23057,131,0.60344
ENSG00000011021,CLCN6,20,-1.5821,54,-0.0950,58,0.00840,73,0.38368,98,0.85101,71,0.33815,41,-0.4970,55,-0.0492,38,-0.6104,47,-0.3085,59,0.04139,65,0.22333
ENSG00000116685,KIAA2013,48,0.81920,35,0.28677,31,0.09504,34,0.27500,16,-0.9140,31,0.14068,16,-0.8792,39,0.49087,31,0.13660,40,0.50255,13,-1.2065,20,-0.5989
ENSG00000083444,PLOD1,28,0.89408,24,0.62080,9,-0.8494,15,-0.0613,16,0.02568,21,0.42868,14,-0.2381,13,-0.2720,41,1.52052,4,-2.1121,4,-1.8191,9,-0.8851
ENSG00000116688,MFN2,52,-1.0207,89,-0.2106,136,0.45938,117,0.21910,137,0.47157,124,0.31867,66,-0.6534,117,0.22812,61,-0.7865,97,-0.0676,93,-0.1336,115,0.22075
ENSG00000048707,VPS13D,23,-1.5817,82,0.33730,91,0.51435,72,0.14193,79,0.28287,80,0.30942,70,0.08404,155,1.39583,67,0.01377,39,-0.7965,34,-0.9999,33,-1.1232
ENSG00000116731,PRDM2,126,-0.9077,359,0.71771,236,0.04753,118,-1.0082,127,-0.8981,327,0.56600,380,0.80983,445,1.07246,120,-0.9869,144,-0.7163,325,0.55313,136,-0.8592
ENSG00000189337,KAZN,95,0.46451,81,0.20812,105,0.63152,53,-0.4539,108,0.67158,92,0.41489,17,-2.1105,35,-1.0793,49,-0.5610,100,0.54495,59,-0.2762,63,-0.1947
ENSG00000142634,EFHD2,20,-2.0361,17,-2.2568,97,0.31871,23,-1.8089,188,1.42263,74,-0.1015,4,-4.3306,164,1.19141,30,-1.4675,354,2.65580,19,-2.0914,17,-2.3636
ENSG00000116138,DNAJC16,17,-1.1016,33,-0.0797,43,0.32654,57,0.78454,54,0.68669,35,0.01232,26,-0.4205,56,0.74366,25,-0.5137,26,-0.4498,18,-0.9524,31,-0.1764
ENSG00000197312,DDI2,21,-0.8903,34,-0.1892,44,0.21062,39,0.02034,82,1.22271,46,0.28476,37,-0.0705,65,0.83307,30,-0.3820,28,-0.4958,26,-0.5888,24,-0.7622
ENSG00000116786,PLEKHM2,73,-0.4433,56,-0.8378,73,-0.4507,35,-1.5498,55,-0.8672,189,1.06804,83,-0.2581,54,-0.9095,78,-0.3499,140,0.57342,174,0.93120,129,0.49268
ENSG00000065526,SPEN,270,0.65903,389,1.27388,110,-0.7347,32,-2.5666,102,-0.8567,296,0.81131,371,1.19114,253,0.55745,114,-0.6906,86,-1.1003,158,-0.1858,68,-1.5359
ENSG00000116809,ZBTB17,22,0.29320,17,-0.1390,17,-0.0966,17,-0.0683,16,-0.1732,27,0.60629,11,-0.6909,13,-0.4810,35,1.01593,6,-1.6063,30,0.78837,13,-0.5930
ENSG00000037637,FBXO42,14,-0.3511,24,0.40881,18,-0.0350,20,0.12401,38,1.16279,20,0.18435,8,-1.1487,12,-0.6537,9,-1.0259,30,0.80490,10,-0.9160,17,-0.1400
ENSG00000055070,SZRD1,58,1.36598,30,0.30675,10,-1.2927,10,-1.3356,7,-1.9083,13,-0.9382,22,-0.2206,13,-0.9998,61,1.45688,21,-0.2446,22,-0.1601,28,0.20687
ENSG00000159363,ATP13A2,15,-2.8078,59,-0.8450,185,0.93819,199,1.05651,188,0.96355,135,0.42698,65,-0.7093,84,-0.3091,87,-0.2707,78,-0.4235,87,-0.2643,79,-0.4363
ENSG00000117118,SDHB,60,-0.5655,28,-1.7169,108,0.33459,108,0.33100,159,0.97164,85,-0.0409,54,-0.7321,66,-0.4227,70,-0.3354,93,0.10729,61,-0.5570,120,0.56844
ENSG00000117115,PADI2,352,3.52992,16,-1.8414,7,-2.9809,6,-3.1712,11,-2.3839,8,-2.8543,6,-3.1256,55,0.00302,87,0.73156,128,1.38076,5,-3.3146,16,-1.9348
ENSG00000179051,RCC2,16,-0.4815,30,0.47271,38,0.86974,33,0.63197,13,-0.8291,22,-0.0173,18,-0.2814,3,-2.6067,28,0.35911,15,-0.5547,18,-0.3125,26,0.28960
ENSG00000117154,IGSF21,28,-1.4481,23,-1.7500,64,-0.2045,122,0.81059,77,0.07687,34,-1.1617,50,-0.5906,174,1.42281,49,-0.6245,96,0.43132,51,-0.5533,92,0.39940
ENSG00000159423,ALDH4A1,21,0.20322,6,-1.6327,3,-2.3566,5,-1.9310,22,0.30807,1,-3.7390,4,-2.0128,7,-1.3256,73,2.40178,18,-0.0468,11,-0.7074,32,1.00845
ENSG00000127481,UBR4,29,-0.3819,86,1.39153,49,0.45189,39,0.10557,40,0.13530,29,-0.3399,40,0.12546,49,0.43520,22,-0.7803,23,-0.7193,29,-0.3378,21,-0.8897
ENSG00000127463,EMC1,17,-0.9045,40,0.43820,27,-0.1562,56,0.97611,29,-0.0789,35,0.23720,38,0.36753,31,0.05353,33,0.11193,24,-0.3499,25,-0.3175,19,-0.7168
ENSG00000053372,MRTO4,19,-1.1593,40,-0.0356,26,-0.6924,51,0.32755,28,-0.5820,25,-0.7463,51,0.30906,44,0.09326,39,-0.0832,55,0.44204,33,-0.3283,63,0.74049
ENSG00000053371,AKR7A2,31,0.19413,11,-1.3865,25,-0.1275,23,-0.2528,36,0.42977,20,-0.4536,9,-1.5576,27,0.01795,81,1.81344,16,-0.7507,20,-0.4484,27,-0.0326
ENSG00000077549,CAPZB,157,-0.6101,188,-0.3324,249,0.09979,335,0.57239,312,0.45705,206,-0.1923,226,-0.0486,214,-0.1361,203,-0.2182,198,-0.2544,198,-0.2575,275,0.28101
ENSG00000173436,MICOS10,289,-0.3634,141,-1.4391,300,-0.3057,284,-0.3892,358,-0.0347,274,-0.4471,223,-0.7553,197,-0.9447,341,-0.1105,881,1.44791,542,0.62437,462,0.40717
ENSG00000158747,NBL1,47,-1.6886,129,-0.1775,111,-0.4123,229,0.73284,167,0.22516,71,-1.0722,91,-0.7029,189,0.42457,151,0.06905,134,-0.1112,132,-0.1359,213,0.69095
ENSG00000169914,OTUD3,9,-1.1787,27,0.43848,17,-0.2409,6,-1.7572,25,0.33693,40,1.08282,13,-0.6817,50,1.46687,6,-1.6876,19,-0.0885,17,-0.2887,17,-0.2899
ENSG00000162545,CAMK2N1,1085,-1.0499,1735,-0.3382,414,-2.4763,1009,-1.1584,751,-1.5994,1024,-1.1373,3736,0.88226,724,-1.6536,3569,0.80666,1212,-0.8835,4822,1.31617,3987,1.12695
ENSG00000090432,MUL1,13,-0.6889,16,-0.4153,16,-0.3567,23,0.17688,25,0.27150,48,1.35271,19,-0.1346,42,1.15174,12,-0.7527,25,0.29418,14,-0.5462,7,-1.5788
ENSG00000158828,PINK1,150,-1.8176,232,-1.1689,805,0.75987,727,0.59365,561,0.17864,525,0.07407,354,-0.5312,412,-0.3009,309,-0.7410,846,0.84282,555,0.16190,515,0.04862
ENSG00000244038,DDOST,24,-0.4630,32,0.01441,12,-1.4299,60,1.00435,48,0.63501,20,-0.7012,33,0.03235,36,0.16751,34,0.11056,29,-0.1676,12,-1.4368,38,0.30284
ENSG00000117245,KIF17,1,-4.0419,8,-1.7440,18,-0.6074,34,0.38557,62,1.38999,24,-0.1769,10,-1.3891,63,1.41175,3,-3.2150,51,1.04249,13,-1.0447,29,0.13280
ENSG00000189410,SH2D5,0,-8.5446,29,-0.3234,23,-0.6454,49,0.51120,45,0.38193,52,0.60579,36,0.02210,50,0.53635,21,-0.7592,18,-0.9798,30,-0.2692,53,0.73340
ENSG00000127483,HP1BP3,480,0.95458,478,0.94864,191,-0.5029,122,-1.1834,174,-0.6431,430,0.77498,390,0.61298,264,-0.0079,283,0.10511,137,-1.0105,208,-0.3752,145,-0.9858
ENSG00000075151,EIF4G3,296,-0.3081,399,0.15411,702,1.07369,371,0.04159,255,-0.5365,665,0.98185,541,0.64136,525,0.59367,161,-1.2259,122,-1.6375,217,-0.7797,222,-0.7977
ENSG00000076864,RAP1GAP,30,-2.0029,53,-1.1425,104,-0.1313,168,0.62334,161,0.55844,98,-0.2291,41,-1.5219,283,1.50506,50,-1.2310,182,0.75361,80,-0.5438,112,-0.0196
ENSG00000090686,USP48,132,0.84723,111,0.56727,96,0.34177,55,-0.5316,38,-1.0685,128,0.80041,87,0.17304,95,0.32348,40,-1.0128,31,-1.3726,83,0.11396,56,-0.5441
ENSG00000070831,CDC42,221,0.28013,140,-0.4295,243,0.42905,297,0.75226,269,0.59290,122,-0.6399,139,-0.4457,194,0.07501,129,-0.5573,181,-0.0398,125,-0.6086,174,-0.1039
ENSG00000173372,C1QA,66,1.56388,62,1.45831,4,-2.7051,6,-2.1527,6,-2.1178,0,-7.0652,4,-2.7313,5,-2.2282,66,1.57307,45,0.90935,25,-0.0458,21,-0.3223
ENSG00000159189,C1QC,36,0.72281,17,-0.4323,3,-2.9487,6,-2.0397,10,-1.2192,4,-2.4605,18,-0.3706,1,-3.7745,73,1.92249,72,1.89632,14,-0.7250,22,-0.0488
ENSG00000173369,C1QB,104,2.01499,38,0.27962,1,-4.5171,7,-2.1036,12,-1.3975,2,-3.8668,10,-1.6422,5,-2.5262,74,1.39995,41,0.40975,31,0.00053,41,0.45982
ENSG00000004487,KDM1A,33,-1.1388,84,0.26169,81,0.20406,95,0.46086,111,0.70002,94,0.44649,70,-0.0202,98,0.50714,52,-0.4844,46,-0.6581,52,-0.4759,54,-0.4665
ENSG00000169641,LUZP1,38,-2.3071,298,0.80985,517,1.76463,144,-0.3474,109,-0.7657,292,0.77471,261,0.59179,220,0.31503,47,-2.0247,70,-1.4281,183,0.02651,80,-1.3065
ENSG00000125944,HNRNPR,223,0.68897,165,0.21121,82,-0.8642,109,-0.4373,98,-0.5950,223,0.69183,207,0.56883,246,0.85514,114,-0.3589,69,-1.1245,99,-0.5791,121,-0.2927
ENSG00000142676,RPL11,1179,1.28119,370,-0.5777,240,-1.2257,217,-1.3754,331,-0.7465,426,-0.3606,429,-0.3524,202,-1.4829,734,0.49253,985,0.97534,657,0.31538,612,0.22258
ENSG00000011007,ELOA,42,0.81677,21,-0.3056,24,-0.0892,17,-0.6036,24,-0.1027,17,-0.5583,46,0.93735,31,0.32643,37,0.61281,4,-2.4810,15,-0.7669,25,-0.0208
ENSG00000057757,PITHD1,76,-0.9134,99,-0.5094,152,0.14542,233,0.83469,188,0.48816,130,-0.0909,98,-0.5239,158,0.21332,78,-0.8630,141,0.03310,96,-0.5641,173,0.39273
ENSG00000011009,LYPLA2,5,-2.0648,28,0.38035,24,0.14051,32,0.57966,31,0.54448,4,-2.3973,24,0.11911,20,-0.1666,9,-1.3543,12,-0.9299,41,0.98463,28,0.42910
ENSG00000189266,PNRC2,75,0.28296,79,0.37078,33,-0.9696,31,-1.0435,42,-0.6112,62,-0.0215,91,0.60096,98,0.71304,64,0.04229,53,-0.2465,71,0.20405,56,-0.1745
ENSG00000188529,SRSF10,94,0.45959,162,1.37756,51,-0.4902,43,-0.7545,58,-0.2774,72,0.05701,61,-0.2056,105,0.65054,75,0.10815,39,-0.8955,53,-0.4109,47,-0.6370
ENSG00000001461,NIPAL3,276,1.31429,59,-1.1130,188,0.66686,136,0.15211,138,0.17200,158,0.39457,81,-0.6490,249,1.13728,49,-1.3783,107,-0.2226,52,-1.3030,55,-1.2871
