Feature ID,Feature Name,Feature count topic 1to5,Feature log2 fold change topic 1to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000008128,CDK11A,19,-0.1660,27,0.42208,25,0.26479,21,-0.0021,20,-0.0977
ENSG00000215790,SLC35E2A,17,-0.3000,15,-0.3359,21,0.16013,21,0.14744,22,0.30782
ENSG00000008130,NADK,18,-0.4957,25,0.16598,23,0.02358,21,-0.1585,30,0.59352
ENSG00000078369,GNB1,446,-0.3601,439,-0.2618,402,-0.3978,559,0.12667,682,0.55169
ENSG00000187730,GABRD,217,0.37580,147,-0.3823,205,0.13342,81,-1.3616,219,0.29954
ENSG00000067606,PRKCZ,192,-0.2170,208,-0.0157,181,-0.2356,212,0.01349,250,0.34350
ENSG00000162585,FAAP20,28,-0.4782,17,-1.0475,19,-0.8977,40,0.26703,52,0.86903
ENSG00000157933,SKI,13,-0.7624,25,0.49275,19,0.02669,28,0.75667,19,0.02263
ENSG00000157916,RER1,65,0.17579,40,-0.6513,52,-0.2320,33,-0.9734,81,0.59223
ENSG00000157911,PEX10,20,-0.1883,14,-0.7002,17,-0.4021,21,-0.0464,29,0.59632
ENSG00000157881,PANK4,16,0.47901,4,-1.6965,5,-1.4386,7,-0.9718,18,0.68455
ENSG00000157870,PRXL2B,43,0.28676,36,-0.1308,33,-0.2668,22,-0.8874,45,0.29244
ENSG00000158109,TPRG1L,221,0.16736,161,-0.3921,185,-0.1773,173,-0.3019,229,0.19443
ENSG00000116213,WRAP73,13,0.10689,24,1.08209,2,-2.5996,10,-0.3461,12,0.02373
ENSG00000130764,LRRC47,75,-0.0237,82,0.12546,61,-0.3252,54,-0.5575,93,0.42947
ENSG00000116198,CEP104,25,-0.0984,47,0.91399,15,-0.8357,38,0.64046,18,-0.7289
ENSG00000198912,C1orf174,14,-0.0055,12,-0.2680,12,-0.2586,10,-0.5582,19,0.52303
ENSG00000196581,AJAP1,26,-0.6083,45,0.44144,55,0.76560,30,-0.2235,39,0.29994
ENSG00000069424,KCNAB2,222,-0.0441,191,-0.2665,264,0.24524,164,-0.5382,274,0.37738
ENSG00000116254,CHD5,184,-0.4240,384,0.89702,313,0.55767,274,0.37939,162,-0.5702
ENSG00000116251,RPL22,384,-0.7699,373,-0.5785,645,0.27360,873,0.87330,608,0.22416
ENSG00000116237,ICMT,44,0.17475,46,0.16900,52,0.34722,22,-1.0208,44,0.13181
ENSG00000097021,ACOT7,364,0.90261,215,-0.3276,176,-0.6378,124,-1.2449,242,-0.1775
ENSG00000215788,TNFRSF25,12,-0.7040,52,1.89401,8,-1.0318,6,-1.6176,23,0.62088
ENSG00000171680,PLEKHG5,23,0.14230,29,0.44543,27,0.36370,14,-0.6953,20,-0.1229
ENSG00000162408,NOL9,17,-0.5337,24,0.22234,16,-0.4084,22,0.02907,29,0.62897
ENSG00000162413,KLHL21,28,0.25124,21,-0.3068,18,-0.5215,27,0.07849,24,-0.0929
ENSG00000041988,THAP3,17,-0.0714,9,-1.0333,8,-1.1772,17,-0.0668,25,0.71597
ENSG00000007923,DNAJC11,25,-0.3688,35,0.25475,31,0.06277,25,-0.2783,38,0.48242
ENSG00000171735,CAMTA1,361,-0.0208,525,0.58935,363,-0.0018,393,0.13401,296,-0.3852
ENSG00000049245,VAMP3,8,-1.1577,26,0.93341,4,-1.9292,17,0.30611,23,0.92745
ENSG00000049246,PER3,20,-0.9934,34,0.06273,40,0.33980,45,0.59806,41,0.45538
ENSG00000116288,PARK7,436,0.30204,198,-1.0310,369,-0.0772,278,-0.5560,450,0.29367
ENSG00000116285,ERRFI1,29,0.28370,30,0.24358,15,-0.8236,26,0.01358,23,-0.2335
ENSG00000162426,SLC45A1,43,0.73421,32,-0.0107,36,0.15589,14,-1.3850,27,-0.3166
ENSG00000142599,RERE,84,-0.5312,153,0.57856,120,0.18495,130,0.35349,107,0.01919
ENSG00000074800,ENO1,583,0.58286,276,-0.8205,353,-0.4455,248,-1.0482,533,0.24669
ENSG00000171612,SLC25A33,20,-0.3231,14,-0.8051,30,0.37121,18,-0.4188,33,0.70297
ENSG00000171603,CLSTN1,967,0.71179,633,-0.2577,810,0.12879,358,-1.2009,656,-0.2431
ENSG00000178585,CTNNBIP1,32,-0.1773,34,-0.0245,12,-1.6185,41,0.30881,42,0.38669
ENSG00000162441,LZIC,44,-0.1833,34,-0.5135,37,-0.4098,70,0.66650,48,-0.0077
ENSG00000130939,UBE4B,44,0.42221,71,1.03771,12,-1.7386,37,-0.0289,24,-0.7726
ENSG00000054523,KIF1B,327,-0.2165,441,0.33208,454,0.37752,440,0.36226,296,-0.3573
ENSG00000284642,AL139424.2,18,0.94553,12,-0.0850,3,-1.8949,11,-0.3178,9,-0.6038
ENSG00000142657,PGD,89,0.98091,60,-0.0855,41,-0.6634,37,-0.8756,46,-0.5688
ENSG00000175279,CENPS,17,0.20292,10,-0.6937,13,-0.2742,14,-0.2415,18,0.22937
ENSG00000241563,CORT,46,-0.6463,63,0.02518,19,-1.7397,29,-1.2165,123,1.56319
ENSG00000160049,DFFA,30,-0.4650,47,0.39987,45,0.32070,47,0.43582,34,-0.1018
ENSG00000142655,PEX14,23,0.22062,22,0.02608,11,-0.9431,13,-0.8135,27,0.45561
ENSG00000120948,TARDBP,89,0.24577,130,0.76917,58,-0.4995,68,-0.2892,67,-0.3596
ENSG00000271895,AL109811.2,15,-0.0133,31,1.13513,20,0.40003,10,-0.6551,12,-0.4210
ENSG00000116649,SRM,60,-0.1912,50,-0.4062,54,-0.2984,52,-0.3796,91,0.68476
ENSG00000171824,EXOSC10,33,0.19473,59,1.06640,40,0.42922,13,-1.3222,25,-0.3513
ENSG00000198793,MTOR,53,0.50705,53,0.29296,34,-0.4078,26,-0.8505,41,-0.1414
ENSG00000116661,FBXO2,187,0.00591,88,-1.1469,234,0.35906,134,-0.5529,238,0.48760
ENSG00000132879,FBXO44,90,0.07374,119,0.49676,70,-0.3434,41,-1.2320,109,0.44305
ENSG00000177000,MTHFR,11,-0.3448,20,0.59133,14,0.10752,13,0.01310,14,0.09408
ENSG00000011021,CLCN6,78,0.15317,93,0.37635,56,-0.4163,59,-0.3530,74,0.02003
ENSG00000116685,KIAA2013,25,0.05647,33,0.45524,23,-0.1217,22,-0.1862,23,-0.1069
ENSG00000083444,PLOD1,13,-0.0653,10,-0.3850,4,-1.5245,9,-0.5952,20,0.88890
ENSG00000116688,MFN2,133,0.23747,107,-0.1921,95,-0.3715,88,-0.5348,137,0.23810
ENSG00000048707,VPS13D,72,-0.0473,128,0.89376,70,-0.0823,61,-0.3291,68,-0.1552
ENSG00000162496,DHRS3,11,-0.7364,13,-0.1537,16,0.13944,15,0.07313,22,0.75194
ENSG00000116731,PRDM2,189,-0.2085,282,0.49800,421,1.17056,236,0.23259,119,-0.9858
ENSG00000189337,KAZN,88,0.19951,85,0.06762,50,-0.7500,79,-0.0382,80,-0.0146
ENSG00000142634,EFHD2,78,-0.0044,111,0.55623,9,-3.2157,102,0.46483,75,-0.0766
ENSG00000116138,DNAJC16,46,0.42177,41,0.07959,50,0.38891,23,-0.8992,34,-0.2396
ENSG00000197312,DDI2,30,-0.0980,46,0.63129,40,0.39308,32,0.08644,24,-0.4650
ENSG00000116786,PLEKHM2,77,-0.8812,42,-1.5119,165,0.58424,171,0.72941,147,0.50226
ENSG00000065526,SPEN,100,-0.2388,194,0.90839,190,0.87445,143,0.45136,53,-1.2953
ENSG00000116809,ZBTB17,12,-0.7869,31,0.88617,7,-1.2887,16,-0.1604,27,0.85236
ENSG00000037637,FBXO42,19,0.24839,16,-0.1304,16,-0.0992,14,-0.3561,18,0.00720
ENSG00000055070,SZRD1,9,-1.2616,16,-0.0616,14,-0.2056,22,0.50953,26,0.97382
ENSG00000159363,ATP13A2,176,0.54282,117,-0.3143,61,-1.2918,80,-0.9548,168,0.31133
ENSG00000117118,SDHB,115,0.51016,79,-0.2914,97,0.03329,42,-1.3108,101,0.12692
ENSG00000117115,PADI2,6,-2.1232,5,-1.9466,9,-0.9427,34,1.20020,35,1.44685
ENSG00000179051,RCC2,21,-0.2313,34,0.61664,21,-0.1385,26,0.18977,22,-0.0990
ENSG00000074964,ARHGEF10L,14,0.00666,10,-0.5657,5,-1.6172,17,0.36404,16,0.29918
ENSG00000117154,IGSF21,86,-0.0193,97,0.17412,100,0.22387,77,-0.1911,86,-0.0115
ENSG00000159423,ALDH4A1,4,-1.9899,3,-1.8128,6,-0.9227,22,1.17303,22,1.38727
ENSG00000127481,UBR4,49,0.21366,62,0.49846,60,0.43193,39,-0.2390,32,-0.6124
ENSG00000127463,EMC1,30,0.13714,44,0.68236,21,-0.4860,19,-0.6497,30,0.06642
ENSG00000053372,MRTO4,41,-0.2821,45,-0.0432,64,0.52924,41,-0.1934,52,0.25119
ENSG00000053371,AKR7A2,28,0.04015,21,-0.4736,18,-0.6434,21,-0.4705,38,0.58915
ENSG00000077549,CAPZB,191,0.24130,181,0.06185,185,0.09549,117,-0.6638,177,0.03758
ENSG00000173436,MICOS10,322,-0.5166,217,-0.9492,326,-0.3301,535,0.50483,538,0.58623
ENSG00000158747,NBL1,152,-0.0815,128,-0.3182,185,0.26067,128,-0.3539,186,0.33161
ENSG00000169914,OTUD3,22,0.20220,46,1.32958,10,-1.0328,12,-0.8888,18,-0.2166
ENSG00000162545,CAMK2N1,877,-1.5333,1039,-0.8851,4045,1.29673,2407,0.47292,2624,0.72551
ENSG00000090432,MUL1,18,0.30096,23,0.55180,23,0.54411,10,-0.8155,13,-0.4583
ENSG00000183114,FAM43B,24,0.46742,26,0.42514,1,-3.7213,18,-0.2171,19,-0.0725
ENSG00000158828,PINK1,524,0.24063,293,-0.7517,330,-0.5677,487,0.03738,502,0.09841
ENSG00000244038,DDOST,49,0.63068,42,0.13635,34,-0.2016,17,-1.2823,36,-0.1197
ENSG00000117245,KIF17,56,1.00988,26,-0.6272,14,-1.5148,20,-1.1143,38,-0.0849
ENSG00000189410,SH2D5,43,-0.1989,34,-0.5010,48,0.03943,28,-0.8706,70,0.82957
ENSG00000127483,HP1BP3,185,-0.0964,291,0.66145,268,0.53036,196,0.03322,144,-0.5274
ENSG00000075151,EIF4G3,379,0.81780,370,0.42528,407,0.57986,194,-0.6346,113,-1.5831
ENSG00000076864,RAP1GAP,147,0.20994,179,0.44058,86,-0.6941,93,-0.6212,146,0.14642
ENSG00000090686,USP48,88,0.51649,113,0.70425,64,-0.1984,51,-0.5740,50,-0.6644
ENSG00000070831,CDC42,280,0.67966,156,-0.5203,168,-0.4070,143,-0.7086,204,-0.1291
ENSG00000133216,EPHB2,17,0.38670,12,-0.3154,4,-1.7561,12,-0.3096,17,0.24996
ENSG00000004487,KDM1A,75,0.83835,56,0.02606,31,-0.8901,31,-0.9454,47,-0.2955
ENSG00000169641,LUZP1,252,0.76893,222,0.23105,216,0.18932,144,-0.4790,103,-1.0921
ENSG00000125944,HNRNPR,139,0.26139,115,-0.1319,164,0.42640,99,-0.3913,111,-0.2329
ENSG00000142676,RPL11,358,-0.7935,275,-0.9568,526,0.04404,669,0.47761,737,0.75434
ENSG00000011007,ELOA,25,0.06278,34,0.55036,30,0.33131,26,0.12443,16,-0.6661
ENSG00000057757,PITHD1,187,0.34804,121,-0.4722,120,-0.4754,130,-0.3894,176,0.13870
ENSG00000011009,LYPLA2,24,-0.0290,15,-0.7203,22,-0.1787,25,0.05388,28,0.29079
ENSG00000117308,GALE,20,0.36983,18,0.08882,11,-0.6169,7,-1.2921,21,0.36530
ENSG00000117305,HMGCL,10,-0.4357,13,0.06457,4,-1.4949,14,0.20163,18,0.68786
ENSG00000189266,PNRC2,51,-0.1933,65,0.27092,46,-0.2764,59,0.13193,59,0.12852
ENSG00000188529,SRSF10,54,-0.1760,85,0.61901,54,-0.0942,68,0.29140,50,-0.2831
ENSG00000001461,NIPAL3,121,0.53648,142,0.56749,69,-0.5533,79,-0.3839,72,-0.5910
ENSG00000133226,SRRM1,134,-0.1216,267,1.04563,206,0.61118,180,0.43543,62,-1.4188
ENSG00000169504,CLIC4,5,-2.0673,7,-1.0757,3,-2.0623,34,1.65155,23,1.03515
ENSG00000117614,SYF2,87,-0.2148,77,-0.3171,145,0.67913,120,0.42209,80,-0.3039
ENSG00000117616,RSRP1,51,-0.5679,236,2.23634,26,-1.3813,38,-0.8972,64,-0.0446
ENSG00000183726,TMEM50A,62,-0.1276,67,0.05639,52,-0.3519,54,-0.3252,82,0.45855
ENSG00000204178,MACO1,58,0.38268,92,0.99615,74,0.61843,40,-0.3790,21,-1.4530
ENSG00000117643,MAN1C1,47,0.03261,22,-1.0843,93,1.14345,19,-1.4438,56,0.36938
ENSG00000162430,SELENON,16,-0.3414,18,-0.0686,15,-0.2747,13,-0.5219,27,0.80202
ENSG00000117640,MTFR1L,54,-0.1515,57,0.00173,50,-0.2239,59,0.04626,65,0.23529
ENSG00000117632,STMN1,2154,0.70528,1081,-0.6707,1303,-0.3852,1054,-0.7652,1586,-0.0970
ENSG00000158008,EXTL1,43,-0.1269,46,0.01494,46,0.01390,44,-0.0721,51,0.19735
ENSG00000175087,PDIK1L,17,0.13316,29,0.89310,7,-1.2248,13,-0.3392,16,-0.0595
ENSG00000142684,ZNF593,40,0.36971,16,-1.1969,43,0.30725,33,-0.0905,31,-0.2188
ENSG00000142669,SH3BGRL3,234,0.26066,163,-0.4019,96,-1.2068,195,-0.1351,239,0.24057
ENSG00000158062,UBXN11,15,-0.5654,12,-0.8081,19,-0.0716,25,0.36038,27,0.63559
ENSG00000117682,DHDDS,19,-0.2160,51,1.47963,6,-1.7493,14,-0.6028,23,0.18108
ENSG00000198830,HMGN2,100,-0.5922,104,-0.3470,115,-0.1865,126,-0.0404,194,0.84824
ENSG00000117713,ARID1A,42,-0.4838,94,0.97378,55,0.10305,58,0.20858,48,-0.1278
ENSG00000204160,ZDHHC18,16,0.35860,26,1.01106,7,-1.0203,7,-1.1351,13,-0.0719
ENSG00000142751,GPN2,16,0.00035,17,0.05744,17,0.06498,9,-0.8619,20,0.43652
ENSG00000090273,NUDC,246,-0.0052,161,-0.6582,343,0.52580,207,-0.2974,271,0.17957
ENSG00000253368,TRNP1,75,0.37864,23,-1.5428,42,-0.6567,62,-0.0799,72,0.18359
ENSG00000090020,SLC9A1,33,0.83993,16,-0.6099,9,-1.4230,10,-1.3991,27,0.21796
ENSG00000142784,WDTC1,20,-0.5628,17,-0.6460,52,1.17072,38,0.70076,21,-0.3797
ENSG00000186501,TMEM222,37,-0.3745,52,0.26390,50,0.20105,30,-0.6079,59,0.60050
ENSG00000158195,WASF2,7,-2.0471,10,-1.0638,21,0.10546,48,1.70348,26,0.54647
ENSG00000126705,AHDC1,27,-0.5667,71,1.16043,44,0.34971,39,0.19618,30,-0.2788
ENSG00000126709,IFI6,137,1.28155,99,0.15622,38,-1.2928,53,-0.8770,50,-1.0402
ENSG00000009780,FAM76A,19,-0.0397,47,1.45025,23,0.22941,19,-0.0231,10,-1.1542
ENSG00000117758,STX12,106,0.12114,98,-0.0415,72,-0.5118,85,-0.2849,113,0.22734
ENSG00000117751,PPP1R8,20,-0.4919,15,-0.7240,33,0.42339,16,-0.7167,40,0.96293
ENSG00000117748,RPA2,56,0.36246,46,-0.0935,47,-0.0753,18,-1.5514,59,0.35897
ENSG00000126698,DNAJC8,254,0.15867,209,-0.2085,420,0.91412,238,-0.0045,163,-0.6928
ENSG00000130770,ATP5IF1,730,0.13908,405,-0.8231,725,0.07396,470,-0.6440,858,0.43102
ENSG00000204138,PHACTR4,4,-2.2969,48,1.92976,9,-0.8192,27,1.03185,17,0.19796
ENSG00000180098,TRNAU1AP,15,-0.2133,29,0.92527,12,-0.4482,16,-0.0561,16,-0.0172
ENSG00000120656,TAF12,18,0.48398,15,0.00139,5,-1.6447,11,-0.4937,16,0.10744
ENSG00000198492,YTHDF2,101,0.39251,121,0.53064,76,-0.2054,63,-0.5442,72,-0.3586
ENSG00000159023,EPB41,16,-0.4011,75,2.32049,2,-2.8650,23,0.24834,10,-1.1271
ENSG00000116350,SRSF4,68,0.07766,92,0.54061,62,-0.0822,86,0.47960,41,-0.8478
ENSG00000116353,MECR,37,0.22775,29,-0.2084,27,-0.3670,25,-0.4992,38,0.23517
ENSG00000060656,PTPRU,12,-0.5913,21,0.46082,15,-0.0110,24,0.79633,14,-0.1858
ENSG00000162511,LAPTM5,11,-1.2273,9,-1.2472,5,-1.9850,39,1.20424,32,0.94843
ENSG00000162512,SDC3,30,-1.0317,52,0.08507,71,0.58988,62,0.39957,64,0.52411
ENSG00000134644,PUM1,111,-0.2575,169,0.49716,142,0.22730,124,0.01465,122,-0.0155
ENSG00000121766,ZCCHC17,136,0.08776,107,-0.3147,196,0.64143,116,-0.2119,120,-0.1670
ENSG00000121769,FABP3,177,1.20047,78,-0.6509,44,-1.4955,68,-0.9172,93,-0.4436
ENSG00000162517,PEF1,73,0.19331,47,-0.5577,80,0.24976,54,-0.3837,71,0.08955
ENSG00000084636,COL16A1,24,-0.2696,35,0.42149,21,-0.3965,30,0.22378,28,0.11657
ENSG00000121753,ADGRB2,206,-0.0277,215,0.05203,298,0.57317,141,-0.6550,225,0.15025
ENSG00000184007,PTP4A2,144,-0.5293,186,0.03498,196,0.11827,312,0.99696,152,-0.3383
ENSG00000121774,KHDRBS1,118,-0.2043,161,0.35964,147,0.21766,100,-0.4275,148,0.27764
ENSG00000025800,KPNA6,83,0.15987,113,0.58515,105,0.46413,85,0.14629,45,-0.9924
ENSG00000084652,TXLNA,19,-0.2801,34,0.69227,30,0.50673,20,-0.1665,21,-0.1104
ENSG00000160050,CCDC28B,15,-0.4286,13,-0.4959,26,0.51328,9,-1.0640,29,0.94315
ENSG00000084623,EIF3I,121,0.47565,88,-0.2224,80,-0.3771,66,-0.7216,104,0.04448
ENSG00000175130,MARCKSL1,39,-1.3914,46,-0.7774,41,-0.9412,125,0.88360,130,1.12453
ENSG00000160058,BSDC1,41,-0.1624,58,0.44592,52,0.29558,44,0.01126,40,-0.1412
ENSG00000176261,ZBTB8OS,42,-0.2086,23,-1.0077,43,-0.1095,55,0.32899,54,0.33673
ENSG00000162521,RBBP4,91,0.03669,136,0.66356,86,-0.0715,74,-0.3189,84,-0.1301
ENSG00000162522,KIAA1522,11,-0.8877,12,-0.5559,29,0.85115,14,-0.2415,25,0.86439
ENSG00000134684,YARS,186,0.75864,87,-0.7549,113,-0.3463,71,-1.1145,142,0.00294
ENSG00000160097,FNDC5,45,0.44951,29,-0.4302,25,-0.6061,14,-1.5806,49,0.52385
ENSG00000121905,HPCA,176,0.10900,108,-0.6866,194,0.22058,70,-1.4342,235,0.67097
ENSG00000121900,TMEM54,39,-0.0780,15,-1.4936,27,-0.5842,39,-0.0217,55,0.64978
ENSG00000116514,RNF19B,16,0.01702,7,-1.1833,23,0.62621,11,-0.6141,19,0.38558
ENSG00000004455,AK2,32,0.18611,29,-0.0221,19,-0.6738,27,-0.1801,32,0.11737
ENSG00000142920,AZIN2,27,0.13503,18,-0.4806,31,0.33477,14,-0.9456,31,0.37850
ENSG00000160094,ZNF362,11,-1.0143,12,-0.6050,20,0.19674,21,0.29297,27,0.94694
ENSG00000134686,PHC2,38,-0.2252,42,0.01244,35,-0.3038,36,-0.2636,55,0.53263
ENSG00000163866,SMIM12,84,0.66023,39,-0.8022,46,-0.5740,40,-0.8308,69,0.08771
ENSG00000116544,DLGAP3,10,-2.3070,33,-0.0654,80,1.35194,41,0.29810,57,1.04922
ENSG00000163867,ZMYM6,23,0.36562,40,1.09121,7,-1.4879,13,-0.6715,17,-0.2788
ENSG00000116560,SFPQ,180,-0.2213,382,1.08015,242,0.32051,184,-0.1233,159,-0.3989
ENSG00000146463,ZMYM4,56,-0.0777,82,0.57430,51,-0.1969,64,0.19263,50,-0.2610
ENSG00000142687,KIAA0319L,58,-0.2553,86,0.46543,88,0.50782,51,-0.3844,69,0.12625
ENSG00000020129,NCDN,587,-0.0322,423,-0.5285,1025,0.88433,245,-1.4364,754,0.47727
ENSG00000126067,PSMB2,117,0.72750,77,-0.2457,54,-0.7726,41,-1.2769,94,0.07726
ENSG00000142686,C1orf216,126,0.38292,93,-0.2408,119,0.14113,64,-0.8794,112,0.05447
ENSG00000092847,AGO1,27,-0.5984,64,0.98650,34,-0.0346,34,-0.0590,40,0.25266
ENSG00000126070,AGO3,28,-0.3155,93,1.81257,27,-0.2572,30,-0.1145,21,-0.7368
ENSG00000116863,ADPRHL2,20,0.78858,12,-0.4122,10,-0.5803,10,-0.6867,13,-0.2758
ENSG00000054116,TRAPPC3,88,0.56357,57,-0.3474,81,0.18811,33,-1.2641,71,-0.0072
ENSG00000116871,MAP7D1,167,-0.2438,158,-0.2480,266,0.58309,159,-0.2569,214,0.28903
ENSG00000054118,THRAP3,142,0.12229,161,0.26735,237,0.90329,128,-0.0929,87,-0.7994
ENSG00000196182,STK40,12,-0.3305,11,-0.3681,18,0.35456,9,-0.7878,21,0.77991
ENSG00000181817,LSM10,46,-0.0587,43,-0.1375,48,0.05925,46,-0.0293,50,0.12422
ENSG00000116885,OSCP1,21,0.19053,14,-0.5053,32,0.75569,6,-1.7821,24,0.38113
ENSG00000116898,MRPS15,82,0.34801,59,-0.3025,46,-0.6923,66,-0.1314,71,-0.0194
ENSG00000163873,GRIK3,14,-0.6675,34,0.93112,2,-3.1745,24,0.42091,24,0.50347
ENSG00000163875,MEAF6,134,0.32419,117,-0.0149,89,-0.4473,102,-0.2538,113,-0.0841
ENSG00000163877,SNIP1,16,0.18672,16,0.13188,20,0.44336,13,-0.1720,12,-0.4130
ENSG00000134697,GNL2,30,0.20833,37,0.48616,46,0.84198,23,-0.3136,17,-0.8488
ENSG00000116922,C1orf109,25,0.52043,20,-0.0397,14,-0.5386,11,-0.9753,21,0.08683
ENSG00000183317,EPHA10,19,0.58226,22,0.57422,18,0.29151,6,-1.4576,12,-0.4513
ENSG00000185090,MANEAL,27,0.36683,23,-0.0043,22,-0.1163,14,-0.8512,24,0.07791
ENSG00000196449,YRDC,20,1.05445,7,-0.9165,4,-1.6019,9,-0.6192,12,-0.3054
ENSG00000197982,C1orf122,131,-0.5331,84,-1.0346,133,-0.3405,184,0.18720,248,0.84539
ENSG00000183431,SF3A3,67,0.44526,52,-0.1306,89,0.72058,35,-0.7964,45,-0.4445
ENSG00000183520,UTP11,50,0.46198,30,-0.5337,87,1.18008,33,-0.4181,24,-0.9868
ENSG00000185668,POU3F1,19,-0.3386,18,-0.3409,58,1.61803,8,-1.6007,26,0.30752
ENSG00000116954,RRAGC,54,0.51187,51,0.23533,58,0.41997,28,-0.7658,33,-0.5536
ENSG00000174574,AKIRIN1,100,0.30692,75,-0.2585,112,0.37144,78,-0.2221,74,-0.3380
ENSG00000168653,NDUFS5,980,0.30968,537,-0.7449,697,-0.3450,868,-0.0032,855,-0.0323
ENSG00000127603,MACF1,197,-0.3228,470,1.19973,179,-0.3692,305,0.53204,157,-0.6652
ENSG00000090621,PABPC4,40,-0.5756,73,0.55851,60,0.24251,79,0.77371,42,-0.3613
ENSG00000116983,HPCAL4,134,-1.0865,180,-0.3237,436,1.10838,230,0.06191,305,0.65366
ENSG00000084072,PPIE,36,-0.1116,31,-0.2933,31,-0.2804,31,-0.2943,48,0.51802
ENSG00000131236,CAP1,181,0.46603,142,-0.1109,175,0.22357,100,-0.7042,134,-0.2374
ENSG00000131238,PPT1,153,0.35101,125,-0.1060,134,0.00322,70,-1.0524,147,0.17869
ENSG00000117000,RLF,22,-0.2978,73,1.75271,38,0.61618,24,-0.1355,12,-1.2671
ENSG00000084073,ZMPSTE24,38,0.33883,42,0.35787,23,-0.5272,26,-0.4254,31,-0.1414
ENSG00000084070,SMAP2,193,0.45837,152,-0.1031,242,0.64153,88,-1.0048,137,-0.3106
ENSG00000117016,RIMS3,171,-0.3554,113,-0.8695,264,0.45366,172,-0.2442,270,0.62256
ENSG00000066136,NFYC,38,0.52493,32,0.02950,25,-0.3499,16,-1.0993,32,0.04800
ENSG00000179862,CITED4,15,0.28969,6,-1.1212,26,1.01975,4,-1.7294,16,0.23120
ENSG00000171793,CTPS1,17,0.37945,19,0.36468,11,-0.4644,9,-0.7913,15,-0.0141
ENSG00000127124,HIVEP3,22,0.05375,34,0.72573,12,-0.9060,25,0.26148,18,-0.3800
ENSG00000198815,FOXJ3,48,-0.0353,82,0.84120,38,-0.3768,32,-0.6633,53,0.16220
ENSG00000177181,RIMKLA,73,0.38609,62,-0.0247,50,-0.3672,61,-0.0686,53,-0.3337
ENSG00000127125,PPCS,54,0.02944,47,-0.2023,60,0.19595,45,-0.2891,58,0.15124
ENSG00000186409,CCDC30,31,-0.6632,90,1.25616,87,1.18916,60,0.64458,17,-1.5710
ENSG00000171960,PPIH,17,-0.0582,9,-1.0639,7,-1.4680,12,-0.6200,29,1.02690
