Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000224051,CPTP,13,-0.5715,17,-0.1639,19,0.05231,10,-0.9009,12,-0.6557,15,-0.3843,28,0.64950,38,1.15684,16,-0.1752,20,0.12896
ENSG00000107404,DVL1,16,-1.7962,97,0.97208,97,0.95874,50,-0.0998,22,-1.3090,68,0.41412,52,-0.0435,23,-1.2632,44,-0.2971,52,-0.0432
ENSG00000175756,AURKAIP1,101,-0.7618,154,-0.1198,183,0.15313,242,0.60334,97,-0.8275,140,-0.2882,228,0.50271,180,0.12347,132,-0.3517,198,0.30905
ENSG00000221978,CCNL2,77,0.23678,62,-0.1079,33,-1.0803,25,-1.4942,60,-0.1753,57,-0.2601,92,0.51132,71,0.10283,83,0.34156,92,0.56569
ENSG00000242485,MRPL20,125,-0.3831,144,-0.1605,250,0.72637,143,-0.1689,122,-0.4096,141,-0.2094,158,-0.0174,165,0.05719,173,0.12593,176,0.16794
ENSG00000235098,ANKRD65,29,0.01017,35,0.34579,41,0.57830,24,-0.2692,9,-1.6271,14,-1.1569,44,0.68435,15,-0.9570,41,0.58096,38,0.49674
ENSG00000179403,VWA1,150,3.58008,42,0.90728,7,-1.7370,13,-0.8684,1,-4.0765,2,-3.6809,4,-2.3699,5,-2.1079,30,0.38747,13,-0.9378
ENSG00000205090,TMEM240,13,-1.0969,6,-2.1853,31,0.18205,20,-0.4572,31,0.20380,32,0.29233,46,0.84081,19,-0.5230,31,0.16820,33,0.32479
ENSG00000160075,SSU72,93,-0.6612,72,-1.0546,182,0.38196,229,0.75895,89,-0.7275,128,-0.1874,142,-0.0057,157,0.14409,132,-0.1258,182,0.42603
ENSG00000228594,FNDC10,8,-1.8007,31,0.13233,38,0.47048,53,1.01927,28,-0.0296,32,0.24604,23,-0.3269,32,0.17836,20,-0.5061,20,-0.5255
ENSG00000272106,AL691432.2,23,0.49248,11,-0.6079,32,1.05095,6,-1.3905,10,-0.8355,23,0.54064,25,0.59764,8,-1.1790,10,-0.7438,15,-0.1419
ENSG00000197530,MIB2,17,-1.0019,18,-0.9373,40,0.31828,32,-0.0291,35,0.09649,29,-0.2253,36,0.12504,38,0.24023,47,0.57578,37,0.19673
ENSG00000248333,CDK11B,52,0.12092,61,0.38810,51,0.09731,34,-0.5356,80,0.82561,64,0.52482,31,-0.6764,36,-0.4327,27,-0.8839,37,-0.4207
ENSG00000189339,SLC35E2B,17,-0.2925,18,-0.1802,21,0.03048,30,0.62302,10,-1.0394,14,-0.6088,15,-0.4842,10,-1.0086,32,0.72664,31,0.77929
ENSG00000008128,CDK11A,52,1.13271,35,0.46961,15,-0.8638,27,0.03773,31,0.25835,27,0.03138,24,-0.1454,22,-0.2854,17,-0.6756,19,-0.5246
ENSG00000215790,SLC35E2A,4,-2.1149,20,0.18031,29,0.73132,22,0.30595,19,0.08112,21,0.25456,18,0.01083,17,-0.0821,10,-0.8672,18,-0.0377
ENSG00000008130,NADK,27,0.11752,23,-0.1622,29,0.21821,13,-0.9544,15,-0.7413,22,-0.2121,31,0.31750,20,-0.3437,24,-0.1139,38,0.73497
ENSG00000078369,GNB1,297,-0.8284,472,-0.1151,701,0.51365,695,0.50013,418,-0.3060,467,-0.1457,435,-0.2439,384,-0.4341,598,0.25770,583,0.24022
ENSG00000187730,GABRD,12,-4.0310,20,-3.2852,170,-0.1317,230,0.34502,128,-0.5763,256,0.57887,249,0.47273,359,1.08064,163,-0.1981,190,0.04347
ENSG00000067606,PRKCZ,132,-0.6856,77,-1.4955,250,0.31257,298,0.59457,176,-0.2407,198,-0.0670,219,0.09807,264,0.39814,265,0.40610,195,-0.0898
ENSG00000162585,FAAP20,34,0.03255,84,1.51473,61,0.96686,57,0.83540,14,-1.3194,22,-0.7275,4,-3.0769,19,-0.8415,23,-0.5640,32,-0.0867
ENSG00000157933,SKI,46,0.65160,54,0.91837,39,0.39915,20,-0.6173,23,-0.4673,32,0.08463,30,-0.0250,14,-1.2122,30,-0.0125,23,-0.4684
ENSG00000157916,RER1,54,-0.2155,70,0.20596,36,-0.8154,55,-0.1796,48,-0.3736,44,-0.5469,82,0.46208,89,0.58983,54,-0.2060,81,0.48235
ENSG00000157911,PEX10,34,0.79359,33,0.75451,29,0.54059,27,0.42300,6,-1.7328,6,-1.8155,16,-0.3726,18,-0.1784,31,0.67861,19,-0.0910
ENSG00000149527,PLCH2,13,-0.1065,6,-1.0915,27,1.09852,18,0.39722,1,-3.3680,15,0.17826,19,0.53645,9,-0.6339,5,-1.3453,17,0.42523
ENSG00000157870,PRXL2B,20,-1.3050,11,-2.1658,50,0.05800,50,0.08570,39,-0.3156,49,0.02701,72,0.64600,76,0.73472,46,-0.0505,56,0.28765
ENSG00000158109,TPRG1L,99,-1.1946,103,-1.1278,183,-0.2559,245,0.20369,162,-0.4441,222,0.05083,270,0.35719,324,0.65230,228,0.08867,265,0.36322
ENSG00000130764,LRRC47,33,-1.3057,52,-0.6079,55,-0.5412,89,0.20438,67,-0.2431,64,-0.3228,89,0.21887,102,0.43225,95,0.31572,112,0.64989
ENSG00000116198,CEP104,129,1.23223,97,0.74247,49,-0.3270,68,0.17890,87,0.57310,61,0.00445,31,-1.0400,44,-0.4932,53,-0.2057,25,-1.4363
ENSG00000198912,C1orf174,27,0.17632,9,-1.3889,20,-0.2394,21,-0.1781,35,0.60170,11,-1.1529,22,-0.1010,28,0.23397,13,-0.8742,43,1.11116
ENSG00000196581,AJAP1,16,-1.5941,28,-0.7965,60,0.39702,31,-0.6327,72,0.68790,68,0.66692,74,0.72955,31,-0.6282,32,-0.5763,41,-0.2265
ENSG00000069424,KCNAB2,72,-1.5213,116,-0.8217,287,0.59888,208,0.08063,106,-0.9471,194,-0.0308,282,0.57152,318,0.76766,217,0.15028,187,-0.0895
ENSG00000116254,CHD5,47,-2.4480,130,-0.9548,224,-0.1192,285,0.26006,364,0.65602,363,0.73561,228,-0.0953,191,-0.3706,242,0.00093,233,-0.0620
ENSG00000116251,RPL22,763,0.46778,1073,1.03594,793,0.53234,841,0.62800,353,-0.7366,553,-0.0489,412,-0.5000,218,-1.4578,458,-0.3384,405,-0.5723
ENSG00000116237,ICMT,17,-1.3368,21,-1.0652,36,-0.2204,44,0.07198,39,-0.1278,48,0.21776,56,0.45186,78,0.99639,41,-0.0344,38,-0.1483
ENSG00000097021,ACOT7,65,-1.9557,46,-2.4427,125,-0.9728,194,-0.3110,172,-0.4943,174,-0.5128,323,0.49939,474,1.13732,269,0.20041,411,1.02632
ENSG00000215788,TNFRSF25,5,-2.5458,22,-0.3173,11,-1.3755,12,-1.2387,26,-0.0663,39,0.59241,57,1.16744,14,-0.9816,30,0.11883,38,0.58468
ENSG00000171680,PLEKHG5,0,-8.2573,2,-3.2582,45,0.89184,19,-0.4637,20,-0.3981,34,0.50657,61,1.42706,32,0.33232,20,-0.4067,21,-0.3578
ENSG00000162408,NOL9,14,-1.1091,34,0.18625,35,0.21912,28,-0.0918,43,0.57925,23,-0.4205,19,-0.6722,25,-0.2619,41,0.47468,37,0.36966
ENSG00000162413,KLHL21,21,-0.7665,30,-0.2432,36,0.04369,39,0.16206,24,-0.5659,29,-0.3538,36,0.04777,36,0.04500,31,-0.2047,56,0.82790
ENSG00000116273,PHF13,18,0.01624,17,-0.0421,21,0.24275,12,-0.5327,11,-0.7305,12,-0.6339,30,0.83445,10,-0.8340,19,0.08582,25,0.62962
ENSG00000041988,THAP3,3,-2.4898,13,-0.3973,28,0.83920,20,0.31090,19,0.21514,11,-0.6186,23,0.46334,5,-1.7670,22,0.43691,22,0.50099
ENSG00000007923,DNAJC11,39,0.03816,25,-0.6025,34,-0.1800,51,0.48702,20,-0.9750,50,0.47989,26,-0.5510,37,-0.0486,52,0.50940,35,-0.1276
ENSG00000171735,CAMTA1,201,-0.9982,286,-0.4586,323,-0.2689,377,-0.0289,644,0.83474,499,0.46307,286,-0.4599,366,-0.0759,357,-0.1147,387,0.01356
ENSG00000049245,VAMP3,133,2.87751,38,0.50554,20,-0.4387,24,-0.1876,9,-1.6391,22,-0.3507,6,-2.1183,5,-2.5585,20,-0.4686,14,-1.0671
ENSG00000049246,PER3,62,1.32298,24,-0.1996,32,0.21841,21,-0.4357,17,-0.7767,25,-0.1601,38,0.51368,7,-1.9951,29,0.07386,26,-0.1135
ENSG00000116288,PARK7,177,-0.9124,336,0.07315,382,0.27520,325,0.01933,209,-0.6617,293,-0.1588,297,-0.1198,272,-0.2566,457,0.56392,406,0.41483
ENSG00000116285,ERRFI1,23,-0.1708,14,-0.8868,20,-0.3858,26,-0.0237,18,-0.5596,26,-0.0032,29,0.17595,39,0.61493,33,0.37963,29,0.18956
ENSG00000162426,SLC45A1,5,-2.4957,5,-2.7280,15,-1.1102,19,-0.7704,26,-0.2581,43,0.57028,57,0.99260,58,1.02837,15,-1.0445,42,0.56374
ENSG00000142599,RERE,155,0.35448,150,0.29771,152,0.31889,100,-0.3272,106,-0.2487,170,0.56262,94,-0.4268,73,-0.8144,110,-0.1848,104,-0.2934
ENSG00000074800,ENO1,268,-0.7626,864,1.11025,516,0.25813,202,-1.1859,315,-0.5155,337,-0.4453,439,0.00144,505,0.22198,371,-0.2624,556,0.41918
ENSG00000171612,SLC25A33,25,-0.0382,52,1.12317,61,1.41297,32,0.31941,11,-1.2617,18,-0.5633,15,-0.7941,19,-0.4485,9,-1.5713,25,-0.0821
ENSG00000171603,CLSTN1,235,-1.8280,239,-1.8024,442,-0.8863,589,-0.4492,776,-0.0212,781,-0.0116,1204,0.68532,1037,0.44120,965,0.32418,1194,0.75978
ENSG00000178585,CTNNBIP1,30,-0.1623,19,-0.8526,29,-0.1857,51,0.69540,30,-0.1501,33,-0.0131,9,-1.8900,21,-0.7062,55,0.79787,44,0.49839
ENSG00000162441,LZIC,90,0.78574,93,0.84805,60,0.14563,53,-0.0668,39,-0.5194,66,0.32862,22,-1.3743,35,-0.7137,42,-0.4311,47,-0.2648
ENSG00000130939,UBE4B,53,0.25684,41,-0.1393,34,-0.4100,52,0.22163,46,0.05586,32,-0.5760,37,-0.3064,53,0.27963,39,-0.2266,60,0.50691
ENSG00000054523,KIF1B,597,0.49415,448,0.03587,350,-0.3512,442,0.01346,546,0.34929,496,0.21597,267,-0.7610,404,-0.1259,477,0.13540,367,-0.2998
ENSG00000142657,PGD,63,0.09154,20,-1.6018,44,-0.4781,61,0.04274,57,-0.0679,44,-0.4982,53,-0.1801,122,1.16354,62,0.07065,72,0.33330
ENSG00000241563,CORT,5,-2.9302,29,-0.4297,59,0.68441,37,-0.0560,213,3.22174,12,-1.8649,15,-1.3857,14,-1.5210,14,-1.4640,25,-0.6954
ENSG00000160049,DFFA,89,0.85340,106,1.14251,71,0.48366,28,-0.9532,63,0.29291,52,-0.0209,42,-0.3495,46,-0.2149,19,-1.4890,31,-0.8694
ENSG00000142655,PEX14,2,-3.1712,12,-0.7633,23,0.22973,15,-0.3839,32,0.76285,20,-0.0339,38,1.02818,19,-0.1011,28,0.50845,16,-0.4004
ENSG00000120948,TARDBP,134,0.67265,73,-0.2845,63,-0.5147,69,-0.3821,95,0.11776,89,0.01100,132,0.64320,56,-0.6898,75,-0.2478,91,0.06121
ENSG00000271895,AL109811.2,3,-2.2337,6,-1.4549,11,-0.5964,5,-1.5670,13,-0.3687,26,0.87392,16,-0.0493,8,-0.9849,26,0.75568,27,0.89230
ENSG00000116649,SRM,40,-0.6247,48,-0.3343,85,0.56230,54,-0.1738,39,-0.6744,57,-0.0917,106,0.92532,56,-0.0970,51,-0.2547,63,0.09354
ENSG00000171824,EXOSC10,50,0.51515,51,0.54828,25,-0.5932,20,-0.8880,30,-0.3111,46,0.42941,35,-0.0293,31,-0.2140,21,-0.8530,39,0.14574
ENSG00000198793,MTOR,16,-1.5376,39,-0.1526,35,-0.3419,38,-0.2006,43,-0.0349,44,0.00488,54,0.32569,56,0.39402,49,0.19657,53,0.33838
ENSG00000116661,FBXO2,44,-2.0984,354,1.10790,330,0.98711,171,-0.0757,82,-1.2042,121,-0.6630,245,0.49680,252,0.54269,118,-0.6446,159,-0.2080
ENSG00000132879,FBXO44,38,-1.4279,69,-0.5115,83,-0.2391,69,-0.5280,83,-0.2328,105,0.13837,142,0.61478,96,-0.0110,131,0.48209,120,0.38169
ENSG00000116670,MAD2L2,30,0.94756,20,0.30234,23,0.52806,9,-0.8459,5,-1.7823,14,-0.2547,29,0.87191,12,-0.4986,11,-0.5514,15,-0.1228
ENSG00000177000,MTHFR,15,-0.6695,29,0.38121,23,0.02500,19,-0.2625,28,0.32750,27,0.27377,17,-0.4427,21,-0.1408,14,-0.7610,27,0.30453
ENSG00000011021,CLCN6,40,-0.8084,17,-2.0690,44,-0.6602,80,0.25737,88,0.40831,53,-0.4284,76,0.16544,74,0.12304,113,0.81728,90,0.49016
ENSG00000116685,KIAA2013,43,0.51096,28,-0.1579,24,-0.4027,26,-0.2560,26,-0.2974,25,-0.3618,42,0.45985,32,0.02206,33,0.07193,35,0.21558
ENSG00000083444,PLOD1,19,-0.0631,35,0.90960,12,-0.7172,12,-0.7853,11,-0.8561,15,-0.4235,25,0.35854,25,0.36858,17,-0.2024,25,0.42213
ENSG00000116688,MFN2,63,-1.0678,114,-0.1590,103,-0.3083,137,0.12669,93,-0.4653,109,-0.2398,122,-0.0516,176,0.53818,167,0.44812,159,0.41261
ENSG00000048707,VPS13D,60,-0.3881,75,-0.0348,41,-0.9671,49,-0.6900,76,-0.0151,61,-0.4032,89,0.23608,103,0.45813,136,0.91603,87,0.20835
ENSG00000162496,DHRS3,6,-1.5253,58,2.03458,19,0.13157,11,-0.7400,9,-0.9010,21,0.33046,23,0.45680,28,0.75043,7,-1.4300,3,-2.5863
ENSG00000116731,PRDM2,161,-0.6540,152,-0.7432,174,-0.5344,189,-0.4117,413,0.83878,402,0.90206,251,0.03113,182,-0.4681,268,0.13197,180,-0.5297
ENSG00000189337,KAZN,111,0.50050,36,-1.2095,61,-0.4348,107,0.44152,85,0.07213,71,-0.2111,64,-0.3539,101,0.35743,65,-0.3346,98,0.34705
ENSG00000142634,EFHD2,72,-0.3477,72,-0.3561,22,-2.0821,69,-0.4157,147,0.78451,17,-2.6188,15,-2.6193,79,-0.2037,261,1.80015,156,1.00953
ENSG00000116138,DNAJC16,47,0.45408,25,-0.5370,29,-0.2764,23,-0.6737,17,-1.1319,22,-0.7457,48,0.50650,64,0.96538,28,-0.3530,48,0.56728
ENSG00000197312,DDI2,33,-0.2966,38,-0.1092,18,-1.1948,42,0.07079,44,0.14490,43,0.10237,36,-0.1763,41,0.00974,40,-0.0123,53,0.48686
ENSG00000116786,PLEKHM2,77,-0.5943,124,0.13369,219,1.06547,192,0.84222,64,-0.8718,119,0.07711,60,-0.9831,94,-0.2912,119,0.06886,89,-0.4103
ENSG00000065526,SPEN,312,1.03251,231,0.53155,151,-0.1382,97,-0.8133,277,0.83678,250,0.75426,92,-0.8912,85,-1.0267,52,-1.7355,93,-0.9535
ENSG00000116809,ZBTB17,32,0.51075,28,0.31605,18,-0.3891,28,0.31948,11,-1.1043,26,0.17239,24,0.03152,15,-0.6757,28,0.29797,21,-0.1472
ENSG00000037637,FBXO42,21,0.01109,3,-2.8934,14,-0.6315,19,-0.1003,30,0.59264,26,0.41166,14,-0.6244,17,-0.2932,17,-0.3058,31,0.70940
ENSG00000055070,SZRD1,45,0.99006,33,0.48600,37,0.67272,19,-0.3738,23,-0.1072,26,0.09489,15,-0.7160,18,-0.4770,19,-0.3562,16,-0.7227
ENSG00000159363,ATP13A2,49,-1.3399,58,-1.0992,75,-0.6955,145,0.32208,102,-0.2275,77,-0.7035,150,0.37807,270,1.36257,89,-0.4439,164,0.58045
ENSG00000117118,SDHB,45,-0.6882,67,-0.0748,47,-0.6299,106,0.65333,45,-0.6771,77,0.16083,75,0.08591,78,0.16017,58,-0.3023,85,0.33237
ENSG00000117115,PADI2,270,3.25994,167,2.15264,37,-0.4197,17,-1.5821,3,-3.8669,8,-2.6936,12,-2.0832,5,-3.3576,19,-1.4082,15,-1.7959
ENSG00000179051,RCC2,16,-0.4513,6,-1.8541,21,-0.1079,24,0.10660,11,-1.0898,26,0.27945,21,-0.0750,47,1.23164,21,-0.0831,23,0.08971
ENSG00000074964,ARHGEF10L,13,-0.0949,15,0.05790,17,0.32420,29,1.16451,9,-0.6124,6,-1.2085,7,-0.9188,27,1.05340,15,0.06775,11,-0.3422
ENSG00000117154,IGSF21,29,-1.5232,53,-0.6395,58,-0.4844,59,-0.4584,70,-0.2153,54,-0.6510,162,1.15230,103,0.40535,145,0.96183,86,0.12988
ENSG00000159423,ALDH4A1,8,-0.7944,40,1.68207,45,1.87149,17,0.24588,6,-1.2094,9,-0.7327,11,-0.4493,3,-2.1958,14,-0.0811,6,-1.3841
ENSG00000127481,UBR4,56,0.25576,72,0.67990,40,-0.2739,19,-1.3678,83,0.90955,54,0.22216,35,-0.4449,56,0.25909,20,-1.2746,39,-0.3084
ENSG00000127463,EMC1,18,-1.1040,42,0.20053,36,-0.0626,24,-0.6544,34,-0.1142,31,-0.3098,48,0.40801,46,0.33011,40,0.13563,47,0.43426
ENSG00000053372,MRTO4,21,-1.1030,36,-0.3373,54,0.28612,38,-0.2305,39,-0.2064,50,0.19228,35,-0.3741,33,-0.4448,44,-0.0320,68,0.75020
ENSG00000053371,AKR7A2,35,0.46392,52,1.12601,39,0.66639,21,-0.2870,10,-1.3862,18,-0.5753,32,0.34797,18,-0.5671,26,-0.0142,20,-0.4010
ENSG00000077549,CAPZB,118,-0.5656,164,-0.0584,166,-0.0454,159,-0.1080,166,-0.0460,179,0.08199,191,0.17942,199,0.24113,127,-0.4629,200,0.27840
ENSG00000173436,MICOS10,278,-0.1937,298,-0.0848,426,0.48346,616,1.09952,182,-0.8410,247,-0.4100,248,-0.3699,214,-0.5978,442,0.54329,289,-0.1456
ENSG00000158747,NBL1,56,-1.1665,110,-0.1392,160,0.45818,138,0.21724,101,-0.2727,67,-0.9615,120,0.00191,172,0.57298,137,0.21236,157,0.47271
ENSG00000169914,OTUD3,8,-1.5180,6,-1.8854,19,-0.2960,12,-1.0652,36,0.67708,22,-0.0816,24,0.04556,25,0.11077,30,0.36246,38,0.87945
ENSG00000162545,CAMK2N1,1012,-0.7317,1601,-0.0234,4674,1.79329,1232,-0.4312,801,-1.0859,2459,0.75332,1956,0.29420,640,-1.4206,981,-0.7799,845,-1.0764
ENSG00000090432,MUL1,24,0.70833,4,-2.0310,15,-0.0848,13,-0.3029,13,-0.2459,10,-0.6534,17,0.17590,36,1.38198,15,-0.0259,14,-0.1730
ENSG00000183114,FAM43B,9,-1.1499,22,0.11435,3,-2.8327,19,-0.0759,18,-0.1304,2,-3.4102,3,-2.5558,17,-0.2118,40,1.11158,53,1.92540
ENSG00000158828,PINK1,249,-0.9523,277,-0.7907,461,-0.0065,544,0.25737,336,-0.4960,389,-0.2939,339,-0.4817,709,0.68692,734,0.74534,562,0.34311
ENSG00000244038,DDOST,7,-2.0465,29,0.03592,24,-0.2981,6,-2.1948,27,-0.1063,28,-0.0404,45,0.71535,41,0.57230,28,-0.0561,41,0.61795
ENSG00000117245,KIF17,2,-4.1432,9,-1.8763,11,-1.6455,37,0.18573,35,0.11828,13,-1.4065,21,-0.6574,16,-1.0763,52,0.73644,91,2.09899
ENSG00000189410,SH2D5,2,-4.3446,3,-3.7568,48,0.18712,45,0.08494,43,-0.0004,57,0.49644,70,0.79724,48,0.19571,30,-0.5441,55,0.44800
ENSG00000127483,HP1BP3,385,0.64888,296,0.22635,233,-0.1535,118,-1.1822,322,0.36179,360,0.60536,198,-0.4049,194,-0.4355,189,-0.4758,213,-0.3142
ENSG00000075151,EIF4G3,224,-0.3252,165,-0.7887,179,-0.6646,182,-0.6404,536,1.08889,399,0.66702,276,0.00416,371,0.47627,149,-0.9484,213,-0.4315
ENSG00000117298,ECE1,24,0.54806,55,1.97346,19,0.16439,13,-0.3697,15,-0.1602,17,-0.0100,10,-0.8460,18,0.04960,3,-2.5491,7,-1.3873
ENSG00000076864,RAP1GAP,59,-1.4470,62,-1.3628,67,-1.2634,123,-0.3364,150,-0.0333,110,-0.5516,171,0.16835,137,-0.1768,286,1.01714,282,1.13895
ENSG00000090686,USP48,104,0.29401,56,-0.6633,48,-0.9097,37,-1.2850,154,0.93437,123,0.63394,82,-0.0833,75,-0.2184,77,-0.1812,79,-0.1499
ENSG00000070831,CDC42,219,0.19535,146,-0.4371,111,-0.8591,140,-0.4999,156,-0.3316,136,-0.5914,196,0.02125,287,0.63286,258,0.45568,269,0.58887
ENSG00000133216,EPHB2,27,0.99532,3,-2.2900,15,0.04290,11,-0.3633,13,-0.1622,9,-0.7012,15,0.12840,18,0.36642,19,0.43348,16,0.20531
ENSG00000004487,KDM1A,30,-1.0799,26,-1.2923,58,-0.0793,41,-0.6087,92,0.67420,68,0.20197,80,0.44299,74,0.32330,43,-0.5324,74,0.34458
ENSG00000169641,LUZP1,26,-3.0346,25,-3.0615,143,-0.5048,201,0.02636,435,1.30270,305,0.79055,120,-0.7714,388,1.10154,138,-0.5556,144,-0.5382
ENSG00000125944,HNRNPR,222,0.73091,140,-0.0060,124,-0.2028,111,-0.3728,139,-0.0182,158,0.20071,156,0.16629,87,-0.7408,129,-0.1334,133,-0.1015
ENSG00000125945,ZNF436,4,-2.0455,21,0.38866,15,-0.1484,8,-1.0772,11,-0.6375,19,0.24243,42,1.55258,4,-1.9522,18,0.11992,18,0.18318
ENSG00000142676,RPL11,858,0.79202,1037,1.11417,867,0.81043,641,0.31500,282,-0.9533,392,-0.4929,344,-0.6546,221,-1.3242,658,0.35844,306,-0.8938
ENSG00000011007,ELOA,35,0.15416,40,0.37933,30,-0.0656,29,-0.1242,60,1.04243,30,-0.0926,27,-0.2349,24,-0.4423,12,-1.4266,31,-0.0416
ENSG00000057757,PITHD1,142,-0.3032,58,-1.6480,129,-0.4535,184,0.09905,146,-0.2606,131,-0.4657,166,-0.0689,275,0.74475,234,0.48207,239,0.58325
ENSG00000011009,LYPLA2,17,-0.5601,25,0.00963,31,0.33913,31,0.32775,6,-2.1236,22,-0.2254,30,0.29468,29,0.23497,33,0.44541,27,0.12338
ENSG00000117308,GALE,7,-1.0842,2,-2.6663,15,0.11821,13,-0.1570,9,-0.6799,17,0.35096,12,-0.2889,25,0.92270,11,-0.3522,20,0.65817
ENSG00000189266,PNRC2,45,-0.5390,102,0.76128,72,0.19186,46,-0.4879,80,0.36376,58,-0.1540,99,0.69743,40,-0.7017,69,0.11998,47,-0.4954
ENSG00000188529,SRSF10,138,1.01919,63,-0.2381,58,-0.3663,28,-1.4378,80,0.12324,77,0.07293,77,0.06465,52,-0.5498,55,-0.4630,90,0.35281
ENSG00000001461,NIPAL3,405,1.81441,125,-0.1658,44,-1.7507,90,-0.6651,170,0.31807,102,-0.5218,81,-0.8314,154,0.16414,146,0.07739,125,-0.1850
ENSG00000133226,SRRM1,387,1.07182,276,0.50614,203,0.01853,82,-1.3600,403,1.13960,242,0.33044,146,-0.4928,130,-0.6752,84,-1.3277,108,-1.0270
ENSG00000169504,CLIC4,250,3.60723,91,1.39161,10,-2.0499,22,-0.8840,8,-2.3293,9,-2.2548,13,-1.6806,2,-4.2411,21,-0.9494,18,-1.2395
ENSG00000117614,SYF2,132,0.10120,229,0.99916,153,0.33116,85,-0.5831,134,0.12696,167,0.53440,105,-0.2597,58,-1.1524,74,-0.7968,91,-0.5114
ENSG00000117616,RSRP1,135,0.67803,85,-0.0726,43,-1.1094,32,-1.5494,63,-0.5272,125,0.62529,136,0.68503,32,-1.5432,55,-0.7396,116,0.48237
ENSG00000183726,TMEM50A,110,0.72295,62,-0.1856,55,-0.3604,48,-0.5693,49,-0.5436,56,-0.3749,131,1.01909,63,-0.1706,62,-0.1986,74,0.09107
ENSG00000204178,MACO1,83,0.48749,48,-0.3664,64,0.07323,29,-1.1337,87,0.56015,79,0.46697,53,-0.2054,56,-0.1318,36,-0.7884,58,-0.0753
ENSG00000117643,MAN1C1,13,-1.8121,19,-1.1928,45,0.09000,22,-0.9961,42,-0.0157,46,0.12091,128,1.85896,79,0.98540,22,-1.0011,25,-0.8544
ENSG00000162430,SELENON,35,0.51472,57,1.36188,24,-0.0398,17,-0.5902,20,-0.3078,15,-0.8205,45,0.95672,15,-0.7389,20,-0.3455,18,-0.5676
ENSG00000117640,MTFR1L,37,-0.8712,61,-0.0971,71,0.13874,93,0.55236,37,-0.8648,62,-0.0799,96,0.61243,51,-0.3884,60,-0.1465,77,0.28735
ENSG00000117632,STMN1,1358,-0.1078,580,-1.4029,778,-0.9616,1692,0.24015,1514,0.06352,1023,-0.5906,1199,-0.3007,1209,-0.2888,1927,0.44884,2575,1.06526
ENSG00000158008,EXTL1,15,-1.7123,47,0.00918,44,-0.0770,59,0.36426,17,-1.5111,42,-0.1837,40,-0.2447,49,0.07299,73,0.72914,66,0.61881
