Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000162444,RBP7,66,3.75094,2,-2.6873,10,-0.8257,4,-2.3439,0,-5.9940,0,-8.6680,11,-0.5832,6,-1.6099
ENSG00000130939,UBE4B,57,0.37557,52,0.19466,42,-0.1525,54,0.29005,37,-0.3324,39,-0.2864,29,-0.7014,41,-0.1900
ENSG00000054523,KIF1B,500,0.37691,587,0.59772,522,0.40194,326,-0.3926,316,-0.4057,240,-0.8281,405,-0.0113,357,-0.2140
ENSG00000142657,PGD,47,-0.3215,37,-0.6731,82,0.59497,101,1.15280,47,-0.3039,50,-0.1992,33,-0.8243,21,-1.5189
ENSG00000241563,CORT,5,-4.6167,0,-7.7930,822,4.61755,30,-2.1368,29,-2.0654,73,-0.6659,84,-0.4594,42,-1.4989
ENSG00000160049,DFFA,86,0.89569,78,0.59190,49,-0.1488,42,-0.4546,30,-0.9235,30,-0.9076,45,-0.2929,54,-0.0109
ENSG00000142655,PEX14,11,-0.7414,8,-1.1511,28,0.71615,22,0.35771,23,0.41393,22,0.32378,15,-0.2786,16,-0.1618
ENSG00000120948,TARDBP,107,0.41263,111,0.42650,77,-0.1784,76,-0.2133,65,-0.4250,87,0.01617,61,-0.5331,90,0.07593
ENSG00000271895,AL109811.2,12,-0.6642,39,1.32015,34,1.07159,19,0.07754,5,-1.9103,25,0.53270,9,-1.0168,5,-1.8820
ENSG00000116649,SRM,39,-0.5404,20,-1.4586,22,-1.3424,49,-0.1400,83,0.72909,123,1.43484,36,-0.6095,71,0.46729
ENSG00000171824,EXOSC10,45,0.20448,80,1.15907,57,0.57667,34,-0.2941,26,-0.6556,37,-0.1225,18,-1.2096,24,-0.7565
ENSG00000198793,MTOR,30,-0.5581,30,-0.5053,45,0.12696,51,0.37173,49,0.27316,60,0.58487,24,-0.8334,46,0.14941
ENSG00000120942,UBIAD1,29,1.50035,23,0.82714,9,-0.5809,8,-0.8586,5,-1.5335,13,-0.0960,5,-1.3564,8,-0.8507
ENSG00000116661,FBXO2,140,-0.4878,85,-1.2101,61,-1.6949,210,0.22986,212,0.21590,269,0.61127,120,-0.6826,405,1.33415
ENSG00000132879,FBXO44,27,-1.6727,82,0.16957,69,-0.1043,97,0.51011,75,0.02755,168,1.39538,29,-1.4272,68,-0.1264
ENSG00000116670,MAD2L2,31,1.34428,5,-1.5579,14,-0.1165,6,-1.4754,9,-0.7550,27,0.87933,9,-0.8221,17,0.14318
ENSG00000177000,MTHFR,9,-0.9675,47,1.86211,18,0.23579,12,-0.4924,6,-1.3195,19,0.26179,13,-0.2918,14,-0.1864
ENSG00000011021,CLCN6,41,-0.4980,35,-0.7059,67,0.33585,72,0.51271,70,0.40397,60,0.15146,44,-0.3353,44,-0.3346
ENSG00000116685,KIAA2013,42,0.27326,43,0.26726,51,0.55212,29,-0.3822,29,-0.3390,39,0.12981,28,-0.4129,30,-0.2992
ENSG00000083444,PLOD1,32,0.95998,4,-2.1949,23,0.27550,16,-0.3903,9,-1.1160,16,-0.2936,24,0.31128,23,0.25875
ENSG00000116688,MFN2,64,-0.8673,104,-0.0327,133,0.37060,140,0.52331,140,0.45563,100,-0.0862,76,-0.5238,98,-0.1183
ENSG00000116691,MIIP,12,-0.2475,28,1.16450,21,0.64529,6,-1.4254,9,-0.6157,19,0.48030,11,-0.4026,16,0.21308
ENSG00000048707,VPS13D,52,-0.6385,63,-0.2663,59,-0.3662,112,0.76245,81,0.13077,63,-0.2693,86,0.21860,69,-0.1234
ENSG00000162496,DHRS3,16,-0.3284,26,0.51593,13,-0.5436,15,-0.3469,25,0.42083,19,0.04861,5,-2.0569,39,1.19853
ENSG00000116731,PRDM2,131,-0.7624,292,0.58348,319,0.73840,202,-0.0179,291,0.58096,159,-0.3900,172,-0.2733,142,-0.5719
ENSG00000189337,KAZN,109,0.63987,84,0.11632,71,-0.1382,95,0.37805,63,-0.3307,53,-0.6101,57,-0.4798,41,-1.0062
ENSG00000142634,EFHD2,21,-2.1753,101,0.34701,163,1.16181,125,0.81408,38,-1.1920,18,-2.2461,130,0.76007,75,-0.1389
ENSG00000116138,DNAJC16,23,-0.5959,40,0.32491,49,0.66506,43,0.50166,16,-1.0727,31,-0.0604,30,-0.1077,28,-0.2630
ENSG00000197312,DDI2,31,-0.2539,47,0.43647,60,0.85222,30,-0.3004,39,0.12733,27,-0.4578,47,0.42752,17,-1.1692
ENSG00000116786,PLEKHM2,61,-0.9011,88,-0.2409,48,-1.1801,63,-0.8274,219,1.27858,121,0.25697,135,0.43745,171,0.83523
ENSG00000065526,SPEN,256,0.90286,337,1.25686,229,0.58486,75,-1.2718,85,-0.9845,96,-0.7989,109,-0.6039,86,-0.9708
ENSG00000116809,ZBTB17,22,0.10978,14,-0.5467,26,0.37842,21,0.01935,21,0.01370,19,-0.0818,13,-0.6983,26,0.40875
ENSG00000037637,FBXO42,13,-0.3351,23,0.62944,15,-0.0456,19,0.38000,10,-0.6984,22,0.54396,7,-1.1269,15,-0.1098
ENSG00000055070,SZRD1,46,1.07067,25,-0.0695,10,-1.4069,12,-1.3349,22,-0.3018,33,0.36763,22,-0.2811,37,0.52351
ENSG00000219481,NBPF1,39,1.71499,34,1.14434,12,-0.5034,6,-1.6332,9,-1.0181,12,-0.5542,8,-1.1585,6,-1.6142
ENSG00000159363,ATP13A2,23,-2.3490,25,-2.0652,65,-0.6475,209,1.56271,90,-0.1333,174,0.94761,89,-0.1538,76,-0.4120
ENSG00000117118,SDHB,50,-0.5146,20,-1.8658,39,-0.8758,105,0.83032,93,0.51558,93,0.51285,58,-0.2547,66,-0.0394
ENSG00000117115,PADI2,330,3.05507,99,0.01742,55,-0.8974,10,-3.4817,11,-3.2287,18,-2.4906,47,-1.1163,64,-0.6581
ENSG00000179051,RCC2,21,-0.2850,24,-0.0510,17,-0.6218,26,0.03204,29,0.19194,38,0.64437,28,0.15539,23,-0.1460
ENSG00000074964,ARHGEF10L,9,-0.6793,18,0.46382,4,-1.7925,10,-0.4736,13,-0.0077,13,-0.0257,20,0.63765,28,1.19803
ENSG00000117154,IGSF21,16,-2.3730,57,-0.2987,157,1.39441,82,0.31981,83,0.29221,125,0.98708,35,-1.0306,38,-0.9220
ENSG00000159423,ALDH4A1,26,0.35643,22,0.09598,12,-0.8824,6,-1.9198,28,0.47566,21,0.01424,17,-0.3419,46,1.32072
ENSG00000127481,UBR4,44,0.08037,74,0.92257,42,-0.0073,47,0.18744,31,-0.4777,39,-0.1367,30,-0.5136,24,-0.8534
ENSG00000127463,EMC1,26,-0.5050,42,0.29908,39,0.19608,49,0.65714,40,0.25292,39,0.18037,15,-1.2564,21,-0.7719
ENSG00000053372,MRTO4,21,-0.9446,40,0.13852,37,0.02399,30,-0.3435,65,0.95698,59,0.79191,33,-0.1496,29,-0.3506
ENSG00000053371,AKR7A2,35,0.21865,30,-0.0571,23,-0.4584,22,-0.6407,22,-0.5194,24,-0.4031,28,-0.1983,72,1.40558
ENSG00000077549,CAPZB,130,-0.4997,142,-0.3216,177,0.03437,210,0.34688,223,0.40661,245,0.56071,120,-0.5803,150,-0.2337
ENSG00000173436,MICOS10,187,-0.7321,109,-1.4853,117,-1.3727,282,-0.0214,414,0.60767,315,0.15614,554,1.11316,410,0.59254
ENSG00000158747,NBL1,39,-1.7464,93,-0.3168,162,0.58353,135,0.31295,134,0.26549,140,0.33297,126,0.16112,134,0.26724
ENSG00000169914,OTUD3,9,-1.1126,20,0.23701,17,0.02819,33,1.33570,9,-0.9402,14,-0.3489,15,-0.1576,11,-0.6442
ENSG00000162545,CAMK2N1,1216,-0.3765,996,-0.6497,915,-0.7807,520,-1.7534,2218,0.63622,2995,1.15937,1753,0.24513,2714,0.98377
ENSG00000090432,MUL1,21,0.34376,14,-0.3025,27,0.72557,19,0.19295,12,-0.5132,20,0.25399,15,-0.2091,3,-2.2963
ENSG00000183114,FAM43B,4,-2.4889,26,0.43893,46,1.43660,33,1.00980,10,-1.0864,8,-1.3316,21,0.06728,12,-0.6976
ENSG00000158828,PINK1,169,-1.4839,185,-1.2424,359,-0.2243,639,0.83775,680,0.82514,406,-0.0293,531,0.40570,357,-0.2315
ENSG00000244038,DDOST,25,-0.2390,15,-0.9602,39,0.52389,33,0.24165,32,0.19375,56,1.12720,11,-1.4116,16,-0.8748
ENSG00000117245,KIF17,0,-4.8021,3,-2.6622,23,0.11254,52,1.84099,23,0.12322,17,-0.3584,28,0.42921,16,-0.4277
ENSG00000189410,SH2D5,1,-4.6345,9,-1.8142,25,-0.3380,35,0.25372,65,1.25440,88,1.82990,15,-1.1319,33,0.12440
ENSG00000127483,HP1BP3,368,0.64311,425,0.79659,366,0.54495,160,-0.8434,180,-0.5913,138,-0.9993,252,-0.0613,205,-0.3918
ENSG00000075151,EIF4G3,257,-0.1234,278,0.01112,522,1.06741,358,0.48396,205,-0.4697,223,-0.3377,189,-0.5919,113,-1.3793
ENSG00000117298,ECE1,28,0.95944,22,0.46737,9,-0.9485,4,-2.1356,8,-1.0559,10,-0.7748,25,0.65812,29,0.88807
ENSG00000076864,RAP1GAP,37,-1.9060,139,0.23443,212,0.94522,168,0.63261,134,0.17741,159,0.45199,76,-0.7097,71,-0.8224
ENSG00000090686,USP48,129,0.55269,167,0.91417,128,0.47308,85,-0.2066,51,-0.9823,59,-0.7584,87,-0.1650,40,-1.3479
ENSG00000070831,CDC42,215,0.23786,156,-0.3033,122,-0.6799,268,0.66531,219,0.23875,166,-0.2097,119,-0.7251,140,-0.4672
ENSG00000184677,ZBTB40,11,-0.2059,29,1.35106,14,0.16090,12,-0.0994,12,-0.1687,11,-0.2965,6,-1.0442,10,-0.4074
ENSG00000173372,C1QA,16,0.14742,15,0.00177,10,-0.5453,4,-1.9776,8,-0.9321,8,-0.9091,14,-0.0654,52,2.24961
ENSG00000173369,C1QB,29,0.94436,7,-1.4218,12,-0.5448,1,-3.8780,12,-0.6003,16,-0.1313,15,-0.2345,54,1.95576
ENSG00000133216,EPHB2,22,0.75930,18,0.31016,21,0.55999,13,-0.2206,6,-1.2556,19,0.38206,9,-0.6852,4,-1.9161
ENSG00000004487,KDM1A,33,-0.8277,55,0.06632,75,0.56666,73,0.59880,43,-0.3237,62,0.25905,38,-0.5338,46,-0.2361
ENSG00000169641,LUZP1,26,-2.7299,149,0.05122,163,0.19320,274,1.28813,145,0.00979,101,-0.5579,190,0.44635,96,-0.6444
ENSG00000125944,HNRNPR,195,0.49817,161,0.12351,208,0.54680,102,-0.6604,158,0.09122,129,-0.2252,114,-0.4200,127,-0.2484
ENSG00000117318,ID3,51,2.00565,30,0.62739,0,-5.7254,0,-8.4626,2,-3.0905,2,-3.3730,6,-1.7148,60,1.90255
ENSG00000142676,RPL11,716,0.75473,296,-0.7633,234,-1.1226,259,-1.0562,522,0.12688,413,-0.2471,729,0.67987,681,0.56427
ENSG00000011007,ELOA,35,0.30850,44,0.62133,26,-0.2298,24,-0.4167,31,0.07175,20,-0.5959,33,0.14844,27,-0.1567
ENSG00000057757,PITHD1,90,-0.7173,86,-0.7247,91,-0.6362,168,0.38468,179,0.43965,192,0.55608,178,0.43057,124,-0.1575
ENSG00000011009,LYPLA2,8,-1.7752,39,0.72207,26,0.07246,24,-0.0848,41,0.82143,26,0.09341,24,-0.0654,29,0.23414
ENSG00000117308,GALE,4,-1.4892,11,-0.0419,10,-0.2452,22,1.25203,10,-0.2596,16,0.50657,3,-1.8559,13,0.16630
ENSG00000117305,HMGCL,22,0.84619,5,-1.5405,2,-2.5479,14,-0.0072,7,-1.0388,23,0.78611,14,-0.0343,18,0.36666
ENSG00000189266,PNRC2,76,0.42593,47,-0.4006,67,0.17658,51,-0.3007,48,-0.3480,77,0.38900,43,-0.5323,68,0.18309
ENSG00000188529,SRSF10,92,0.34957,85,0.17514,121,0.76934,61,-0.3799,65,-0.2448,69,-0.1447,56,-0.4876,58,-0.4323
ENSG00000001461,NIPAL3,337,1.32113,163,-0.1112,244,0.54157,170,-0.0483,75,-1.3085,66,-1.4896,104,-0.8066,83,-1.1520
ENSG00000133226,SRRM1,386,1.04808,583,1.64294,211,-0.1068,131,-0.9299,94,-1.3510,110,-1.1130,110,-1.1098,118,-1.0032
ENSG00000169504,CLIC4,277,3.25559,66,-0.2711,34,-1.2574,9,-3.2951,10,-3.0562,5,-4.0937,63,-0.3271,31,-1.3917
ENSG00000117614,SYF2,157,0.73364,97,-0.1608,108,0.01583,70,-0.7333,101,-0.0914,86,-0.3355,113,0.08675,110,0.05261
ENSG00000117616,RSRP1,127,0.31605,268,1.58232,175,0.81112,85,-0.4021,34,-1.7292,101,-0.0859,15,-2.9245,52,-1.1041
ENSG00000183726,TMEM50A,107,0.74755,46,-0.7007,72,-0.0167,55,-0.4662,61,-0.2809,120,0.84109,53,-0.4785,46,-0.6877
ENSG00000204178,MACO1,62,0.25389,70,0.43612,84,0.73995,62,0.27704,26,-1.1234,47,-0.2211,33,-0.7286,28,-1.0106
ENSG00000157978,LDLRAP1,55,3.47773,18,0.31859,2,-2.7680,2,-2.6255,0,-6.4919,1,-4.0242,4,-1.7239,7,-1.1734
ENSG00000117643,MAN1C1,12,-1.7681,28,-0.3138,5,-2.6994,34,-0.0376,61,0.94397,111,2.06320,37,0.10387,12,-1.5314
ENSG00000162430,SELENON,32,0.42518,23,-0.1638,34,0.44342,9,-1.6337,12,-1.0946,27,0.08551,23,-0.1774,54,1.24318
ENSG00000117640,MTFR1L,41,-0.5656,67,0.24640,39,-0.6200,56,-0.0434,82,0.58539,76,0.44622,58,0.02413,58,0.00808
ENSG00000117632,STMN1,1059,-0.2256,608,-1.0606,1325,0.15620,1887,0.87067,1394,0.23885,1248,0.05983,903,-0.4525,656,-0.9447
ENSG00000158008,EXTL1,4,-3.2635,34,0.01764,43,0.39040,40,0.29130,63,1.01410,36,0.10800,24,-0.5673,52,0.69170
ENSG00000175087,PDIK1L,10,-0.4799,12,-0.2011,23,0.81828,17,0.40643,8,-0.8268,13,-0.0688,20,0.53735,7,-0.9733
ENSG00000142684,ZNF593,14,-1.3369,15,-1.1177,31,-0.0860,53,0.96694,29,-0.1528,44,0.48271,37,0.20759,32,-0.0120
ENSG00000142669,SH3BGRL3,163,-0.0129,85,-1.0230,141,-0.2393,221,0.56246,150,-0.1458,143,-0.2202,146,-0.1843,208,0.38242
ENSG00000158062,UBXN11,6,-1.7060,18,-0.0434,13,-0.5382,12,-0.7369,20,0.11452,42,1.33905,27,0.59422,30,0.77279
ENSG00000117682,DHDDS,9,-1.2306,5,-1.9098,11,-0.7982,35,1.31372,19,0.08601,26,0.58031,11,-0.7346,22,0.31078
ENSG00000198830,HMGN2,321,1.28896,156,-0.1272,171,0.01988,70,-1.4678,92,-0.9461,157,-0.1162,120,-0.5355,212,0.37051
ENSG00000117713,ARID1A,104,0.55592,163,1.25699,91,0.25733,46,-0.8749,58,-0.4428,57,-0.4772,41,-0.9895,63,-0.3199
ENSG00000204160,ZDHHC18,13,-0.3357,7,-1.1856,25,0.69795,28,1.07150,5,-1.5801,15,-0.0572,11,-0.5407,14,-0.2096
ENSG00000142751,GPN2,17,-0.0123,29,0.91665,16,-0.0730,15,-0.1508,22,0.40438,23,0.52459,6,-1.4684,7,-1.2701
ENSG00000090273,NUDC,135,-0.7503,123,-0.8217,122,-0.8352,227,0.15678,327,0.74417,281,0.48587,275,0.44904,233,0.17730
ENSG00000253368,TRNP1,8,-2.4929,12,-1.7347,7,-2.4524,69,1.11227,59,0.66134,59,0.65636,76,1.09575,25,-0.6994
ENSG00000090020,SLC9A1,2,-3.1664,10,-0.6260,8,-0.9507,24,0.94593,29,1.11441,18,0.27343,20,0.47912,12,-0.3553
ENSG00000142784,WDTC1,20,-0.1366,32,0.59294,13,-0.7883,19,-0.2570,20,-0.1055,24,0.16935,23,0.07199,28,0.40786
ENSG00000186501,TMEM222,39,-0.1970,51,0.26459,67,0.71637,38,-0.2382,32,-0.4461,58,0.47281,20,-1.1471,51,0.25640
ENSG00000158195,WASF2,176,2.31481,82,0.42750,69,0.14852,5,-3.9183,14,-2.2737,16,-2.1051,22,-1.5901,67,0.10143
ENSG00000126705,AHDC1,15,-1.4404,72,1.16243,84,1.46012,32,-0.1750,30,-0.2987,35,-0.0306,11,-1.7795,32,-0.1896
ENSG00000126709,IFI6,54,-0.6874,92,0.19606,88,0.13355,143,1.11678,40,-1.1020,70,-0.2258,55,-0.6115,72,-0.1903
ENSG00000009780,FAM76A,25,0.23636,28,0.34646,51,1.40509,11,-1.1359,7,-1.7141,12,-0.9453,19,-0.2460,33,0.62447
ENSG00000117758,STX12,110,0.06661,67,-0.7219,129,0.31923,138,0.48305,103,-0.0451,101,-0.0799,91,-0.2525,75,-0.5388
ENSG00000117751,PPP1R8,44,0.72546,16,-0.9599,38,0.37074,24,-0.3998,35,0.26596,34,0.22601,23,-0.4036,17,-0.8456
ENSG00000130775,THEMIS2,22,1.38813,20,1.01763,18,0.85398,10,-0.0797,2,-2.4543,0,-5.6883,4,-1.4314,0,-7.3281
