Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000008130,NADK,14,-0.8136,17,-0.5084,6,-2.0319,45,1.02082,29,0.29922,16,-0.6053,12,-0.9989,20,-0.2662,22,-0.1223,25,0.08376,51,1.23103,32,0.45673
ENSG00000078369,GNB1,165,-1.2712,135,-1.5629,244,-0.6785,240,-0.7037,300,-0.3628,538,0.55323,426,0.18070,459,0.32903,515,0.48126,557,0.60736,355,-0.1067,545,0.57296
ENSG00000187730,GABRD,46,-1.2596,14,-2.9968,59,-0.9040,121,0.19658,239,1.31238,60,-0.8792,205,1.05393,111,0.06804,99,-0.1172,60,-0.8798,107,0.00393,156,0.59851
ENSG00000067606,PRKCZ,29,-2.5533,111,-0.5549,203,0.38193,142,-0.1857,232,0.59303,203,0.37482,106,-0.6318,158,-0.0194,204,0.38967,99,-0.7283,212,0.44780,219,0.49968
ENSG00000162585,FAAP20,27,-0.3164,50,0.62677,21,-0.7490,29,-0.2356,25,-0.4850,12,-1.5561,24,-0.5325,17,-1.1252,74,1.26660,42,0.34925,60,0.90116,43,0.36826
ENSG00000157933,SKI,199,1.76333,74,0.09773,45,-0.6633,73,0.09462,61,-0.1926,53,-0.4049,58,-0.2753,43,-0.7795,105,0.66173,59,-0.2487,49,-0.5132,37,-0.9494
ENSG00000157916,RER1,17,-1.3956,37,-0.2828,38,-0.2214,60,0.48666,63,0.56346,19,-1.2205,28,-0.7061,53,0.33009,25,-0.8535,75,0.85267,49,0.15689,55,0.33675
ENSG00000157911,PEX10,17,-0.1022,29,0.73768,11,-0.7483,14,-0.3672,9,-0.9537,33,0.99714,6,-1.6740,14,-0.3488,32,0.94310,23,0.41870,15,-0.2921,14,-0.3412
ENSG00000157870,PRXL2B,0,-7.3173,18,-1.6007,52,-0.0329,69,0.40942,78,0.61772,40,-0.4192,46,-0.2011,50,-0.0791,35,-0.6369,56,0.09907,106,1.12035,86,0.77920
ENSG00000177133,PRDM16-DT,0,-4.7618,6,-1.6254,0,-4.7313,44,1.43250,5,-1.9276,5,-1.9187,7,-1.3048,5,-1.9920,28,0.70865,71,2.35790,48,1.60875,10,-0.9014
ENSG00000142611,PRDM16,58,1.99157,20,0.15376,10,-0.8311,30,0.81584,10,-0.8887,1,-3.5832,3,-2.3223,5,-1.9740,12,-0.6152,46,1.57859,30,0.85324,0,-6.0544
ENSG00000158109,TPRG1L,86,-0.5864,69,-0.9110,53,-1.3222,109,-0.2310,159,0.35738,121,-0.0698,108,-0.2385,144,0.21967,126,0.00088,113,-0.1785,195,0.69457,216,0.85938
ENSG00000130764,LRRC47,57,-0.0944,37,-0.7677,97,0.75406,51,-0.2690,67,0.16565,54,-0.1661,51,-0.2641,76,0.39938,35,-0.8455,58,-0.0741,58,-0.0784,70,0.23443
ENSG00000116198,CEP104,154,1.64170,102,0.92721,56,-0.0349,56,-0.0287,44,-0.3800,71,0.33932,53,-0.1177,32,-0.9307,26,-1.1968,42,-0.4801,44,-0.3947,30,-0.9595
ENSG00000196581,AJAP1,0,-7.3639,23,-1.2738,25,-1.1746,87,0.73011,61,0.17093,83,0.66272,87,0.73524,97,1.03281,44,-0.3461,35,-0.6697,33,-0.7681,40,-0.4929
ENSG00000069424,KCNAB2,54,-1.6880,37,-2.2596,99,-0.7900,144,-0.2229,241,0.59006,218,0.42890,145,-0.2167,190,0.23019,177,0.09328,145,-0.2176,232,0.52857,291,0.89556
ENSG00000116254,CHD5,250,-0.6726,110,-1.8961,299,-0.4010,742,1.05128,586,0.66025,384,-0.0150,516,0.45398,327,-0.2851,559,0.58399,220,-0.8654,394,0.02780,321,-0.2889
ENSG00000116251,RPL22,428,-0.0794,595,0.44201,380,-0.2628,247,-0.9193,227,-1.0449,691,0.68443,289,-0.6795,395,-0.2204,538,0.28037,586,0.41538,381,-0.2605,701,0.70665
ENSG00000116237,ICMT,55,0.63513,11,-1.7403,46,0.36088,27,-0.4713,54,0.58942,14,-1.4674,61,0.79337,32,-0.2243,31,-0.2648,34,-0.1331,40,0.12086,42,0.20421
ENSG00000097021,ACOT7,48,-1.1108,21,-2.3398,92,-0.1421,92,-0.1362,186,0.98974,48,-1.1059,116,0.22518,179,1.04671,46,-1.1688,32,-1.7133,118,0.24597,150,0.63286
ENSG00000215788,TNFRSF25,0,-6.6188,3,-3.2994,12,-1.4823,84,1.52769,39,0.23880,20,-0.7224,12,-1.4871,79,1.66902,30,-0.1595,23,-0.5258,16,-1.1218,32,-0.0558
ENSG00000171680,PLEKHG5,8,-2.0456,0,-7.4680,14,-1.3536,39,0.20576,56,0.78418,44,0.39761,30,-0.2065,49,0.64487,33,-0.0561,23,-0.6108,48,0.53806,51,0.61898
ENSG00000162408,NOL9,66,0.69845,31,-0.4823,15,-1.5717,52,0.29932,56,0.42863,60,0.52831,35,-0.2875,34,-0.3584,40,-0.1171,39,-0.1360,73,0.85443,19,-1.1887
ENSG00000162413,KLHL21,27,-0.5181,31,-0.2777,66,0.88566,31,-0.2796,34,-0.1391,23,-0.7479,45,0.25900,31,-0.3325,34,-0.1566,49,0.41876,64,0.82880,24,-0.6680
ENSG00000116273,PHF13,36,0.97530,16,-0.2961,48,1.46930,10,-0.9214,25,0.36379,2,-3.0320,3,-2.6543,21,0.10949,17,-0.2346,11,-0.7972,25,0.36175,19,-0.0723
ENSG00000007923,DNAJC11,16,-0.9491,27,-0.1905,33,0.10478,28,-0.1729,52,0.82715,16,-1.0179,20,-0.6908,29,-0.1134,42,0.49191,45,0.57375,40,0.40061,26,-0.2892
ENSG00000171735,CAMTA1,110,-2.2191,150,-1.7675,335,-0.5621,606,0.35954,709,0.61141,629,0.41799,995,1.17659,540,0.19416,367,-0.4246,404,-0.2767,307,-0.6964,584,0.29857
ENSG00000049245,VAMP3,35,0.36862,88,1.93778,84,1.85355,9,-1.7018,6,-2.2937,12,-1.2222,8,-1.8665,9,-1.7671,21,-0.3953,26,-0.0859,21,-0.4450,32,0.24920
ENSG00000049246,PER3,51,0.24500,51,0.26023,35,-0.3173,53,0.31869,20,-1.1661,25,-0.8346,47,0.13225,45,0.05571,34,-0.3749,66,0.65699,64,0.61850,28,-0.6779
ENSG00000116288,PARK7,86,-1.1432,128,-0.5488,193,0.08872,76,-1.3174,103,-0.8775,223,0.31621,135,-0.4631,233,0.42929,136,-0.4531,347,1.03894,179,-0.0333,299,0.79137
ENSG00000116285,ERRFI1,116,2.34309,13,-1.2269,1,-4.6302,30,0.00016,38,0.39179,11,-1.5046,42,0.54946,16,-0.9481,25,-0.2473,21,-0.5525,43,0.56878,14,-1.1217
ENSG00000162426,SLC45A1,20,-0.0533,3,-2.8570,11,-0.9363,16,-0.3666,28,0.48165,19,-0.1520,20,-0.0259,32,0.73378,18,-0.2567,24,0.21939,20,-0.0345,27,0.43352
ENSG00000142599,RERE,319,0.79473,298,0.68448,168,-0.2201,230,0.26827,157,-0.3297,243,0.35719,133,-0.5775,134,-0.6087,212,0.14237,178,-0.1308,204,0.08268,109,-0.8731
ENSG00000074800,ENO1,203,-0.9262,270,-0.4947,264,-0.5293,338,-0.1485,263,-0.5304,158,-1.3005,200,-0.9430,325,-0.2263,289,-0.3882,910,1.47695,1022,1.68550,264,-0.5241
ENSG00000049239,H6PD,65,1.94250,74,2.19372,31,0.65603,18,-0.1591,13,-0.7285,4,-2.4577,7,-1.4762,6,-1.9209,22,0.09100,9,-1.2018,9,-1.2516,2,-3.3963
ENSG00000171612,SLC25A33,12,-1.2142,16,-0.7426,8,-1.7302,24,-0.1929,18,-0.6207,37,0.50610,13,-1.0498,19,-0.5726,30,0.16828,64,1.40582,60,1.29614,29,0.14182
ENSG00000171603,CLSTN1,180,-1.7814,196,-1.6544,562,-0.0623,659,0.18830,699,0.28216,454,-0.3898,808,0.51224,822,0.60132,413,-0.5372,333,-0.8612,921,0.72556,733,0.35647
ENSG00000178585,CTNNBIP1,0,-6.1076,21,-0.1238,47,1.16607,9,-1.3686,30,0.45200,6,-1.8088,32,0.55539,12,-1.0015,40,0.89338,20,-0.1855,40,0.89342,25,0.15047
ENSG00000162441,LZIC,67,0.02919,143,1.27898,112,0.86880,41,-0.7099,41,-0.7194,70,0.09935,57,-0.2062,40,-0.7779,56,-0.2353,73,0.17482,55,-0.2611,53,-0.3245
ENSG00000130939,UBE4B,16,-1.4096,37,-0.1208,53,0.41144,69,0.83619,49,0.30682,29,-0.5049,42,0.06621,44,0.14612,28,-0.5376,30,-0.4606,47,0.23442,38,-0.1076
ENSG00000054523,KIF1B,121,-1.8791,653,0.69975,573,0.48767,569,0.47550,435,0.05033,354,-0.2716,416,-0.0198,375,-0.1957,456,0.12458,387,-0.1317,455,0.11846,308,-0.4825
ENSG00000142657,PGD,0,-6.9059,29,-0.6160,65,0.65412,31,-0.4740,69,0.75332,58,0.46958,40,-0.1227,32,-0.4772,35,-0.3202,47,0.15479,77,0.94145,43,-0.0078
ENSG00000160049,DFFA,152,1.11783,132,0.88394,89,0.24407,61,-0.3475,61,-0.3400,59,-0.3996,67,-0.2001,42,-0.9659,81,0.10053,91,0.28259,67,-0.1879,45,-0.7870
ENSG00000142655,PEX14,0,-5.7353,6,-1.4694,6,-1.4656,18,0.04049,16,-0.0791,13,-0.4260,15,-0.2655,25,0.65895,13,-0.4381,29,0.79828,41,1.40463,17,-0.0120
ENSG00000120948,TARDBP,87,0.15785,75,-0.0721,78,-0.0207,96,0.31735,69,-0.2003,47,-0.7977,65,-0.2825,109,0.57079,64,-0.3240,83,0.09327,59,-0.4404,81,0.05125
ENSG00000116649,SRM,22,-1.2281,37,-0.4385,59,0.28567,38,-0.3787,64,0.42162,41,-0.2795,23,-1.1204,66,0.53289,51,0.06172,58,0.26029,50,0.04095,61,0.34481
ENSG00000171824,EXOSC10,75,1.22102,45,0.37402,42,0.27432,73,1.16972,13,-1.4786,4,-3.0963,21,-0.7888,31,-0.1809,25,-0.5198,40,0.19483,26,-0.4330,31,-0.2060
ENSG00000198793,MTOR,0,-6.7668,30,-0.2611,27,-0.4441,48,0.45403,26,-0.5070,27,-0.4173,64,0.92668,56,0.78092,24,-0.5902,33,-0.1536,55,0.67524,21,-0.8042
ENSG00000116661,FBXO2,49,-1.6205,108,-0.4481,57,-1.4078,52,-1.5578,129,-0.1871,195,0.46803,83,-0.8523,172,0.29649,196,0.47700,290,1.12177,205,0.55111,177,0.30936
ENSG00000132879,FBXO44,9,-3.4514,24,-2.0511,124,0.40853,158,0.80269,164,0.86213,84,-0.2013,67,-0.5444,102,0.11529,88,-0.1249,53,-0.8977,178,1.00443,89,-0.1148
ENSG00000177000,MTHFR,52,0.77420,31,-0.0333,58,0.97362,70,1.27725,9,-1.7841,22,-0.5579,22,-0.5458,21,-0.6577,37,0.25125,17,-0.9688,24,-0.3966,27,-0.2346
ENSG00000011021,CLCN6,20,-2.0035,35,-1.1569,62,-0.3086,59,-0.3867,135,0.93811,48,-0.7025,50,-0.6406,64,-0.2756,105,0.52826,46,-0.7405,160,1.22506,133,0.90637
ENSG00000116685,KIAA2013,43,0.33566,32,-0.1586,76,1.25406,36,0.06203,44,0.33871,10,-1.8817,20,-0.8331,22,-0.7648,17,-1.0614,30,-0.2239,56,0.74563,47,0.46482
ENSG00000083444,PLOD1,35,0.73334,23,0.04493,41,0.98151,23,0.08056,14,-0.6829,4,-2.4823,13,-0.7623,20,-0.1667,23,0.04069,31,0.51766,24,0.10631,17,-0.4167
ENSG00000116688,MFN2,100,-0.0225,95,-0.0974,47,-1.1742,76,-0.4469,133,0.42586,100,-0.0202,102,0.01137,122,0.32623,109,0.10705,67,-0.6266,126,0.34393,118,0.24253
ENSG00000048707,VPS13D,120,0.81302,38,-0.9776,74,0.04168,101,0.52362,103,0.55388,54,-0.4626,78,0.11800,42,-0.8727,63,-0.2072,66,-0.1463,97,0.45420,63,-0.2236
ENSG00000162496,DHRS3,103,1.71465,51,0.53096,33,-0.1662,43,0.26952,21,-0.8349,5,-2.7898,15,-1.2949,18,-1.1117,23,-0.7209,63,0.87313,66,0.94713,15,-1.3627
ENSG00000116731,PRDM2,301,0.02315,251,-0.2574,163,-0.9187,442,0.63279,313,0.08214,408,0.50180,453,0.67209,390,0.47541,233,-0.3751,161,-0.9311,183,-0.7437,173,-0.8273
ENSG00000189337,KAZN,93,0.52247,120,0.93999,100,0.63465,54,-0.3160,77,0.22265,86,0.40513,56,-0.2785,62,-0.1321,47,-0.5455,43,-0.6869,29,-1.2554,40,-0.7756
ENSG00000142634,EFHD2,9,-3.1732,44,-0.8330,170,1.30727,114,0.64299,177,1.38334,21,-1.9410,19,-2.0459,9,-3.2512,108,0.56223,9,-3.0970,203,1.62891,97,0.37579
ENSG00000116138,DNAJC16,12,-1.6092,14,-1.3973,64,0.92750,47,0.42100,50,0.53232,23,-0.6450,48,0.45605,49,0.52926,25,-0.5461,30,-0.2854,29,-0.3412,27,-0.4564
ENSG00000197312,DDI2,49,0.11517,53,0.23532,40,-0.2195,63,0.51106,55,0.29790,59,0.39241,43,-0.0919,44,-0.0443,33,-0.4741,29,-0.6923,54,0.25751,26,-0.8302
ENSG00000116786,PLEKHM2,68,-0.9233,112,-0.1601,40,-1.6926,137,0.14759,121,-0.0472,188,0.65122,111,-0.1783,69,-0.9585,284,1.35005,116,-0.1073,113,-0.1472,190,0.67412
ENSG00000065526,SPEN,876,1.97501,396,0.59199,278,0.02901,319,0.24583,152,-0.8901,264,-0.0511,338,0.33779,230,-0.2851,155,-0.8664,196,-0.5054,50,-2.5293,61,-2.2375
ENSG00000116809,ZBTB17,33,0.34282,30,0.21731,26,0.01435,40,0.65682,29,0.13653,35,0.42866,16,-0.7351,17,-0.6544,27,0.03422,16,-0.7598,31,0.24669,24,-0.1285
ENSG00000037637,FBXO42,26,-0.0209,27,0.02254,45,0.81112,76,1.73014,25,-0.1246,22,-0.3128,16,-0.7788,20,-0.4509,16,-0.8086,10,-1.4270,26,-0.0394,18,-0.5504
ENSG00000055070,SZRD1,129,1.90064,56,0.46659,24,-0.8105,37,-0.1986,24,-0.8466,25,-0.7641,22,-0.9716,17,-1.4445,64,0.68808,45,0.12897,47,0.18357,34,-0.2952
ENSG00000058453,CROCC,16,-0.1985,8,-1.1507,24,0.43192,38,1.18736,21,0.23119,4,-2.0612,3,-2.4257,10,-0.8791,22,0.32848,22,0.30069,38,1.20403,17,-0.0867
ENSG00000159363,ATP13A2,33,-1.0370,28,-1.2818,24,-1.4729,77,0.27273,126,1.07614,54,-0.2774,46,-0.5115,80,0.36274,82,0.36541,43,-0.6110,88,0.49036,80,0.33726
ENSG00000117118,SDHB,29,-0.8187,13,-1.9743,82,0.79122,38,-0.3987,63,0.35690,36,-0.4988,52,0.08072,62,0.37338,29,-0.8182,58,0.24540,65,0.42752,58,0.23085
ENSG00000117115,PADI2,16,-2.1153,215,2.01990,212,1.98831,31,-1.1206,16,-2.1033,17,-1.9831,21,-1.7086,12,-2.6374,62,-0.0747,116,0.91791,84,0.40378,35,-0.9421
ENSG00000179051,RCC2,31,0.12876,13,-1.1390,43,0.66690,33,0.21996,48,0.83242,27,-0.0699,44,0.69475,23,-0.3440,23,-0.3095,15,-0.9893,23,-0.3105,23,-0.3453
ENSG00000074964,ARHGEF10L,113,2.75432,17,-0.5063,7,-1.8160,26,0.12134,22,-0.0881,6,-1.9165,13,-0.8867,10,-1.4062,14,-0.8387,20,-0.2868,30,0.36819,22,-0.1192
ENSG00000117154,IGSF21,25,-1.6260,8,-3.3000,87,0.24375,53,-0.5146,137,0.97785,72,-0.0639,47,-0.6960,108,0.65621,44,-0.8143,49,-0.6289,150,1.12374,81,0.13568
ENSG00000159423,ALDH4A1,7,-1.7494,25,0.04723,24,-0.0371,34,0.54063,14,-0.7843,6,-2.0565,9,-1.4059,4,-2.5880,36,0.63603,61,1.52102,80,2.01457,9,-1.5262
ENSG00000127481,UBR4,128,1.38029,79,0.56499,69,0.34983,123,1.31729,39,-0.5404,20,-1.5178,75,0.49519,38,-0.5932,40,-0.4786,35,-0.6805,21,-1.4293,9,-2.6592
ENSG00000127463,EMC1,2,-3.9832,31,-0.1823,62,0.89851,30,-0.2540,54,0.67141,31,-0.1698,26,-0.4626,31,-0.2179,32,-0.1460,41,0.22682,47,0.45553,40,0.18926
ENSG00000053372,MRTO4,31,-0.1708,21,-0.7101,23,-0.6116,46,0.47820,45,0.41738,17,-1.0065,43,0.36753,26,-0.4615,46,0.46786,36,0.08830,23,-0.5833,61,0.91488
ENSG00000053371,AKR7A2,39,0.35643,62,1.10854,42,0.48582,15,-1.1096,22,-0.5042,19,-0.7663,9,-1.8678,19,-0.7992,24,-0.4122,82,1.60804,38,0.33054,13,-1.2380
ENSG00000077549,CAPZB,133,-0.1282,100,-0.5559,111,-0.4009,133,-0.1311,195,0.47960,88,-0.7471,107,-0.4589,189,0.47033,110,-0.4199,149,0.04698,198,0.50347,173,0.28376
ENSG00000173436,MICOS10,128,-0.9648,142,-0.8092,118,-1.0894,96,-1.3870,171,-0.5201,298,0.33801,157,-0.6569,217,-0.1695,343,0.56534,330,0.49951,374,0.70397,534,1.30583
ENSG00000158747,NBL1,208,0.60475,74,-0.9847,184,0.41055,164,0.22830,210,0.61773,95,-0.6206,82,-0.8409,99,-0.5958,173,0.31156,109,-0.4062,192,0.47490,157,0.15937
ENSG00000169914,OTUD3,1,-4.3929,3,-2.8072,14,-0.5992,25,0.31619,42,1.15314,41,1.10151,46,1.29214,20,-0.0518,11,-0.8973,18,-0.2061,18,-0.2224,9,-1.2206
ENSG00000162545,CAMK2N1,615,-1.5972,533,-1.8068,469,-1.9955,604,-1.6228,385,-2.2880,5626,1.96264,1790,0.02166,3337,1.17367,1686,-0.0708,2864,0.77529,453,-2.0487,1244,-0.5392
ENSG00000090432,MUL1,11,-0.6427,16,-0.0465,25,0.61118,12,-0.5633,21,0.30581,14,-0.2713,11,-0.7033,21,0.33698,12,-0.4680,19,0.21100,25,0.58433,13,-0.4084
ENSG00000158828,PINK1,32,-3.1756,195,-0.5340,172,-0.7264,210,-0.4198,290,0.07846,402,0.59993,194,-0.5450,300,0.14335,304,0.15293,296,0.11288,341,0.33361,549,1.11705
ENSG00000244038,DDOST,17,0.01709,7,-1.2099,17,-0.0362,14,-0.3216,10,-0.7854,3,-2.3139,14,-0.2746,20,0.26008,7,-1.2639,33,1.05232,40,1.36211,19,0.18654
ENSG00000117245,KIF17,1,-4.4476,0,-7.8254,24,0.04072,35,0.65656,43,1.00928,24,0.07120,26,0.18068,25,0.11968,20,-0.1926,11,-1.0422,29,0.36767,37,0.72984
ENSG00000189410,SH2D5,0,-6.0071,3,-2.9518,8,-1.8719,38,0.49889,22,-0.3596,12,-1.1777,26,-0.1148,53,1.20462,37,0.46889,26,-0.0768,33,0.29567,46,0.81330
ENSG00000127483,HP1BP3,643,0.99611,475,0.49830,345,-0.0100,303,-0.2111,241,-0.5611,301,-0.2209,574,0.80643,352,0.02372,257,-0.4635,330,-0.0769,196,-0.8731,142,-1.3594
ENSG00000075151,EIF4G3,132,-1.0119,180,-0.5399,203,-0.3549,317,0.33867,321,0.36136,455,0.92828,522,1.15968,322,0.40079,115,-1.2093,155,-0.7679,140,-0.9238,139,-0.9274
ENSG00000117298,ECE1,331,3.97730,51,0.21156,43,-0.0474,13,-1.8110,18,-1.3767,7,-2.5996,19,-1.2347,7,-2.7281,26,-0.8323,30,-0.5856,13,-1.7992,11,-2.0043
ENSG00000076864,RAP1GAP,24,-2.0267,20,-2.2615,141,0.67484,130,0.55026,161,0.89517,39,-1.3003,65,-0.5341,77,-0.2888,105,0.21082,68,-0.4621,152,0.80721,136,0.62032
ENSG00000090686,USP48,171,0.82642,152,0.63282,132,0.40125,136,0.45552,77,-0.4322,82,-0.3399,98,-0.0693,112,0.16276,68,-0.6204,54,-0.9808,76,-0.4524,57,-0.8855
ENSG00000070831,CDC42,176,0.12277,128,-0.3797,254,0.70336,136,-0.2814,222,0.48603,99,-0.7578,96,-0.8062,172,0.09360,103,-0.7067,120,-0.4789,230,0.54436,213,0.41763
ENSG00000133216,EPHB2,0,-5.5926,31,1.09034,0,-6.6371,18,0.18699,23,0.61691,24,0.62852,27,0.84332,28,1.04357,7,-1.1752,8,-1.0371,1,-3.8381,10,-0.6762
ENSG00000004487,KDM1A,30,-0.7471,29,-0.8098,68,0.50648,63,0.38554,36,-0.4893,24,-1.0957,81,0.77576,79,0.83617,34,-0.5536,50,0.01638,34,-0.5597,35,-0.5220
ENSG00000169641,LUZP1,233,0.28013,46,-2.1591,101,-1.0053,183,-0.0938,294,0.65392,265,0.48945,491,1.52978,211,0.13900,105,-0.9454,111,-0.8577,156,-0.3381,123,-0.6999
ENSG00000125944,HNRNPR,164,0.35063,157,0.27678,105,-0.3450,154,0.24999,107,-0.3128,120,-0.1428,152,0.22522,173,0.48193,85,-0.6753,105,-0.3390,84,-0.6864,129,-0.0280
ENSG00000117318,ID3,142,3.21554,29,0.25478,18,-0.5146,3,-2.7873,3,-2.8468,8,-1.6294,8,-1.6222,7,-1.8475,42,0.83789,34,0.51260,12,-1.0730,6,-2.0248
