Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000160075,SSU72,82,-0.9945,104,-0.6420,183,0.23996,169,0.11953,208,0.49924,194,0.33772,127,-0.3326,175,0.17005,97,-0.7439,169,0.12876
ENSG00000228594,FNDC10,7,-1.8026,8,-1.6691,17,-0.6201,12,-1.0570,38,0.72483,28,0.17136,24,-0.0658,30,0.26572,13,-1.0434,44,1.00999
ENSG00000272106,AL691432.2,13,-0.5245,16,-0.2364,37,1.16435,17,-0.0626,16,-0.2395,17,-0.1332,9,-1.0119,25,0.52445,17,-0.0999,18,-0.0575
ENSG00000197530,MIB2,17,-1.0097,21,-0.7338,18,-0.9455,34,0.00507,27,-0.3729,102,1.84672,28,-0.2827,46,0.48370,32,-0.1157,28,-0.3408
ENSG00000248333,CDK11B,67,1.03385,23,-0.6224,11,-1.7270,17,-1.0857,30,-0.2674,24,-0.6037,63,0.93627,42,0.29369,59,0.81553,28,-0.3674
ENSG00000008128,CDK11A,43,1.24906,2,-3.3423,17,-0.2008,13,-0.5939,12,-0.8147,46,1.37454,23,0.20409,7,-1.4518,22,0.18565,20,0.03242
ENSG00000215790,SLC35E2A,11,-1.4477,25,-0.2356,24,-0.3207,25,-0.2087,23,-0.3705,25,-0.2668,48,0.79705,46,0.71064,19,-0.6299,40,0.57600
ENSG00000008130,NADK,11,-1.3545,27,0.02136,16,-0.7498,33,0.31810,28,0.04294,31,0.19991,39,0.58075,44,0.77679,11,-1.3759,28,0.07911
ENSG00000078369,GNB1,264,-1.0332,767,0.62773,556,0.10988,545,0.07891,642,0.37855,387,-0.4530,417,-0.3403,530,0.03449,335,-0.6752,569,0.16051
ENSG00000187730,GABRD,11,-3.7818,88,-0.8403,63,-1.3322,69,-1.1944,263,1.02861,79,-0.9863,224,0.62742,327,1.26704,196,0.40845,116,-0.4451
ENSG00000067606,PRKCZ,100,-0.9654,101,-0.9418,135,-0.5074,170,-0.1503,225,0.31958,267,0.56393,198,0.08734,252,0.47279,122,-0.6628,227,0.33892
ENSG00000162585,FAAP20,31,-0.1600,66,1.04450,39,0.18870,24,-0.5843,42,0.32111,33,-0.0634,12,-1.6339,8,-2.1200,34,-0.0315,43,0.36870
ENSG00000157933,SKI,46,0.27378,109,1.74180,17,-1.2681,47,0.30308,17,-1.2839,32,-0.2950,18,-1.1214,47,0.29695,31,-0.3346,41,0.11364
ENSG00000157916,RER1,57,-0.0955,55,-0.1565,94,0.69505,41,-0.6180,60,-0.0250,71,0.24181,60,-0.0145,76,0.35534,47,-0.3834,54,-0.1949
ENSG00000157911,PEX10,30,0.41276,35,0.65197,21,-0.1302,41,0.88045,33,0.58444,22,-0.0661,8,-1.6058,9,-1.4659,14,-0.7392,17,-0.5002
ENSG00000149527,PLCH2,17,0.07191,14,-0.1579,0,-4.6416,24,0.65314,11,-0.5680,7,-1.1835,10,-0.6773,28,0.87062,28,0.86917,21,0.43335
ENSG00000157881,PANK4,6,-1.2424,4,-1.9051,13,-0.1491,22,0.67508,20,0.62291,26,0.97259,17,0.32434,19,0.46295,4,-1.7217,9,-0.7010
ENSG00000197921,HES5,1,-4.1774,12,-0.4569,78,2.78061,21,0.35623,16,-0.0203,1,-3.2556,1,-3.9227,16,-0.0842,8,-1.0029,14,-0.2769
ENSG00000157870,PRXL2B,10,-2.4681,71,0.37918,44,-0.3768,72,0.39129,75,0.51642,74,0.43683,73,0.41408,64,0.21965,21,-1.4765,47,-0.3124
ENSG00000177133,PRDM16-DT,9,-1.9942,20,-0.8107,166,2.83673,76,1.28516,10,-1.9006,8,-2.1103,8,-2.1370,14,-1.3221,34,-0.0526,30,-0.2271
ENSG00000158109,TPRG1L,50,-1.8447,121,-0.5333,123,-0.4992,178,0.07043,231,0.54182,144,-0.2574,228,0.46495,258,0.66721,142,-0.2857,169,-0.0129
ENSG00000130764,LRRC47,35,-0.9848,41,-0.7569,91,0.47434,43,-0.6996,76,0.21277,43,-0.7052,137,1.15704,92,0.49311,55,-0.3149,60,-0.1940
ENSG00000116198,CEP104,87,1.65673,19,-0.8246,23,-0.4843,49,0.65851,17,-1.0168,10,-1.7090,29,-0.1762,30,-0.1331,56,0.87148,25,-0.4044
ENSG00000198912,C1orf174,18,0.28121,13,-0.2222,23,0.67074,9,-0.7592,20,0.55457,9,-0.7453,10,-0.5553,8,-0.8945,24,0.77165,12,-0.3814
ENSG00000196581,AJAP1,17,-1.3345,34,-0.3102,8,-2.4360,22,-0.9960,40,-0.0885,83,1.10520,65,0.68371,95,1.33043,54,0.40436,24,-0.9469
ENSG00000069424,KCNAB2,26,-2.8158,117,-0.5865,117,-0.5890,175,0.03817,229,0.52592,147,-0.2334,210,0.32491,239,0.53646,151,-0.1940,205,0.32276
ENSG00000116254,CHD5,82,-1.4399,111,-0.9972,103,-1.1037,196,-0.1234,172,-0.3490,272,0.39423,364,0.87599,247,0.23999,333,0.72702,246,0.26017
ENSG00000116251,RPL22,667,0.77115,596,0.58715,417,0.01443,592,0.57407,446,0.13319,236,-0.8612,246,-0.7980,379,-0.1368,151,-1.5290,392,-0.0910
ENSG00000116237,ICMT,10,-2.1858,40,-0.1313,40,-0.1100,52,0.30485,54,0.39640,47,0.11873,41,-0.0935,54,0.34787,45,0.07659,41,-0.1006
ENSG00000097021,ACOT7,48,-1.8534,75,-1.2137,91,-0.9102,75,-1.2053,338,1.36626,128,-0.4018,299,0.96253,219,0.44461,143,-0.2222,115,-0.6050
ENSG00000215788,TNFRSF25,0,-6.1949,15,-1.0417,7,-2.2170,14,-1.2164,11,-1.5838,90,1.81625,36,0.23691,91,1.83908,37,0.30465,28,-0.1643
ENSG00000171680,PLEKHG5,1,-4.5610,20,-0.6801,28,-0.2064,22,-0.5247,20,-0.7475,68,1.25350,38,0.28742,67,1.21579,24,-0.4469,36,0.21777
ENSG00000162408,NOL9,23,-0.5933,31,-0.1557,24,-0.5390,16,-1.1715,25,-0.5466,86,1.51439,27,-0.3549,27,-0.3657,43,0.33909,43,0.39337
ENSG00000162413,KLHL21,18,-0.7410,17,-0.8750,18,-0.7472,48,0.75083,42,0.60232,51,0.85424,33,0.13569,23,-0.3897,29,-0.0313,19,-0.7589
ENSG00000116273,PHF13,8,-0.9517,11,-0.3883,19,0.41622,7,-1.0154,16,0.14236,23,0.69554,15,-0.0043,33,1.31648,4,-1.7341,12,-0.3520
ENSG00000041988,THAP3,13,-0.3122,13,-0.2850,26,0.79214,5,-1.7094,21,0.46071,19,0.24615,23,0.56507,20,0.36053,6,-1.3643,12,-0.4340
ENSG00000007923,DNAJC11,30,-0.3707,28,-0.4823,37,-0.0628,36,-0.0952,33,-0.2505,67,0.88265,37,-0.0520,35,-0.1289,51,0.43673,37,-0.0671
ENSG00000171735,CAMTA1,263,-0.5023,241,-0.6325,262,-0.5071,270,-0.4630,357,-0.0286,412,0.19946,518,0.56845,404,0.16804,548,0.66202,363,-0.0003
ENSG00000049245,VAMP3,106,2.08021,34,0.14009,68,1.26714,46,0.58446,17,-1.0195,9,-1.9103,5,-2.6177,7,-2.2263,9,-1.8810,30,-0.0636
ENSG00000049246,PER3,52,0.44239,38,-0.0613,62,0.71701,42,0.10296,21,-0.9976,54,0.48110,29,-0.4743,61,0.69802,34,-0.2502,30,-0.4675
ENSG00000116288,PARK7,159,-0.7559,227,-0.2138,342,0.43458,542,1.20432,372,0.64345,203,-0.3860,142,-0.9300,258,-0.0140,102,-1.4237,202,-0.4254
ENSG00000116285,ERRFI1,21,-0.3874,12,-1.2051,34,0.34202,38,0.51090,33,0.33698,41,0.66103,14,-0.9594,22,-0.3125,28,0.03194,25,-0.1378
ENSG00000162426,SLC45A1,13,-1.0248,6,-2.0681,8,-1.7712,0,-7.3295,45,1.04538,31,0.31992,42,0.79625,51,1.12114,32,0.33855,17,-0.6815
ENSG00000142599,RERE,158,0.54549,95,-0.2701,106,-0.0944,56,-1.0565,76,-0.6475,134,0.27505,98,-0.2227,155,0.51424,177,0.72975,109,-0.0501
ENSG00000074800,ENO1,238,-1.1114,672,0.49788,1131,1.38205,766,0.71334,533,0.13922,450,-0.1374,429,-0.2150,409,-0.2864,194,-1.4139,273,-0.9682
ENSG00000171612,SLC25A33,16,-1.2544,64,0.83448,93,1.48037,59,0.69642,33,-0.2139,29,-0.4033,7,-2.5431,16,-1.2526,41,0.13207,31,-0.3093
ENSG00000171603,CLSTN1,205,-1.8244,275,-1.3892,478,-0.5550,470,-0.5791,769,0.20665,874,0.39290,1355,1.12247,1123,0.80400,592,-0.2239,644,-0.1004
ENSG00000178585,CTNNBIP1,24,-0.3155,33,0.15860,36,0.30678,33,0.17830,36,0.31516,26,-0.2225,15,-1.0005,15,-1.0124,32,0.12830,35,0.29421
ENSG00000162441,LZIC,97,0.94517,59,0.15010,78,0.57929,40,-0.4507,51,-0.0858,41,-0.4370,27,-1.0312,47,-0.2246,52,-0.0692,52,-0.0548
ENSG00000130939,UBE4B,51,0.18250,25,-0.8891,40,-0.1979,48,0.06611,51,0.19952,86,1.02039,48,0.06608,24,-1.0052,42,-0.1459,41,-0.1722
ENSG00000054523,KIF1B,593,0.80111,248,-0.5829,419,0.23385,131,-1.5437,290,-0.3719,368,0.02867,457,0.37393,353,-0.0360,461,0.38823,363,0.00691
ENSG00000142657,PGD,39,-0.6577,57,-0.0713,74,0.33005,51,-0.2363,83,0.57515,41,-0.5799,72,0.30175,53,-0.2013,63,0.07978,51,-0.2602
ENSG00000241563,CORT,16,-0.8140,11,-1.4427,2,-3.9260,86,1.88450,58,1.36111,4,-2.8613,13,-1.1793,32,0.20258,19,-0.6319,20,-0.5421
ENSG00000160049,DFFA,70,0.68083,65,0.56417,68,0.64467,45,-0.0079,41,-0.1807,20,-1.2224,24,-0.9454,51,0.17448,23,-1.0314,49,0.12233
ENSG00000142655,PEX14,5,-1.7964,7,-1.4091,21,0.18011,22,0.29103,26,0.58646,15,-0.3574,16,-0.2164,46,1.50881,13,-0.5200,12,-0.6507
ENSG00000120948,TARDBP,138,0.84176,89,0.12668,95,0.22439,113,0.51399,57,-0.6044,85,0.05654,67,-0.3175,101,0.32131,68,-0.2830,57,-0.6001
ENSG00000271895,AL109811.2,17,-0.2081,1,-3.8566,15,-0.3208,6,-1.6660,3,-2.5364,50,1.59797,21,0.14658,39,1.17096,42,1.29239,15,-0.3886
ENSG00000116649,SRM,54,-0.3222,72,0.12804,69,0.07117,126,1.04567,62,-0.1075,63,-0.0824,61,-0.1278,98,0.63329,33,-1.0450,47,-0.5741
ENSG00000171824,EXOSC10,34,-0.1645,37,-0.0379,45,0.27434,46,0.31338,23,-0.7967,103,1.68034,10,-1.9718,44,0.24793,40,0.10233,24,-0.7665
ENSG00000198793,MTOR,21,-0.9909,27,-0.6046,66,0.80808,36,-0.1676,46,0.26300,60,0.64276,41,0.04763,45,0.18932,33,-0.2840,29,-0.5453
ENSG00000116661,FBXO2,110,-0.8482,301,0.72425,218,0.20299,394,1.18077,239,0.39224,112,-0.8215,146,-0.4186,179,-0.1081,96,-1.0531,133,-0.6152
ENSG00000132879,FBXO44,26,-1.8958,86,-0.0803,48,-0.9643,47,-0.9950,87,-0.0686,132,0.60686,124,0.49729,188,1.19638,103,0.20911,79,-0.2282
ENSG00000116670,MAD2L2,18,0.05489,16,-0.1643,43,1.42954,23,0.39170,10,-0.9259,21,0.24901,5,-1.9292,26,0.58234,7,-1.3649,18,-0.0125
ENSG00000177000,MTHFR,25,0.33375,9,-1.2269,9,-1.2324,6,-1.8694,13,-0.7275,37,0.96615,24,0.27457,37,0.95674,28,0.51116,21,0.09438
ENSG00000011021,CLCN6,51,-0.5915,44,-0.8098,47,-0.7209,67,-0.1964,92,0.33939,81,0.11360,99,0.42965,63,-0.2791,118,0.71298,76,0.01441
ENSG00000116685,KIAA2013,44,0.50598,41,0.38749,46,0.59584,21,-0.5995,22,-0.6122,37,0.24103,38,0.27203,41,0.39783,34,0.12513,18,-0.9607
ENSG00000083444,PLOD1,22,-0.0124,43,1.03586,45,1.10196,6,-1.8819,11,-1.0887,35,0.70256,22,-0.0642,17,-0.3919,32,0.55194,13,-0.9191
ENSG00000116688,MFN2,104,-0.2846,103,-0.3075,116,-0.1227,79,-0.7029,173,0.57667,121,-0.0516,168,0.47071,125,-0.0069,89,-0.5274,126,0.00959
ENSG00000116691,MIIP,20,0.28880,13,-0.4144,51,1.83816,11,-0.5920,15,-0.2446,13,-0.4312,11,-0.6535,12,-0.5472,11,-0.5882,16,-0.1116
ENSG00000048707,VPS13D,55,-0.3514,55,-0.3581,64,-0.1359,76,0.13053,66,-0.0861,28,-1.3620,96,0.51574,59,-0.2501,121,0.89646,74,0.10341
ENSG00000162496,DHRS3,18,-0.2931,68,1.96786,27,0.37637,28,0.44910,15,-0.5810,2,-3.0714,17,-0.3824,9,-1.3298,8,-1.3778,24,0.23112
ENSG00000116731,PRDM2,190,0.20650,58,-1.5831,107,-0.6875,35,-2.3310,103,-0.8005,235,0.54835,274,0.80794,247,0.63461,261,0.72392,192,0.25386
ENSG00000189337,KAZN,127,1.11063,59,-0.1254,37,-0.8281,98,0.67145,59,-0.1529,38,-0.7998,48,-0.4439,28,-1.2628,75,0.24981,71,0.18273
ENSG00000142634,EFHD2,63,-0.7581,85,-0.2919,52,-1.0452,57,-0.9059,74,-0.5537,333,2.02354,191,1.00966,2,-5.4808,75,-0.4800,113,0.17002
ENSG00000116138,DNAJC16,30,-0.3605,30,-0.3528,27,-0.5115,29,-0.4356,29,-0.4445,42,0.15725,46,0.28871,64,0.80933,42,0.14869,45,0.28006
ENSG00000197312,DDI2,25,-0.3383,13,-1.2858,28,-0.1690,6,-2.4113,33,0.10160,37,0.26182,57,0.96716,30,-0.0699,71,1.35281,21,-0.6746
ENSG00000116786,PLEKHM2,73,-0.5219,122,0.27792,111,0.13253,87,-0.2525,116,0.22334,59,-0.8518,55,-0.9431,107,0.06447,48,-1.1647,167,0.89783
ENSG00000065526,SPEN,264,1.74861,73,-0.3897,72,-0.4025,38,-1.3516,31,-1.7785,56,-0.7989,98,0.07314,109,0.23762,208,1.31227,73,-0.4289
ENSG00000116809,ZBTB17,23,0.21491,3,-2.7586,24,0.30871,36,0.94925,29,0.67278,29,0.60338,6,-1.7555,20,-0.0060,15,-0.4505,13,-0.7533
ENSG00000037637,FBXO42,12,-0.8696,12,-0.8466,23,0.06825,2,-3.3674,28,0.45221,29,0.43391,20,-0.1430,35,0.74846,33,0.65570,20,-0.1728
ENSG00000055070,SZRD1,47,0.81764,28,0.02049,57,1.15400,20,-0.4774,21,-0.4782,41,0.62553,9,-1.7103,25,-0.1416,19,-0.5766,23,-0.3120
ENSG00000219481,NBPF1,33,1.09662,30,0.91540,7,-1.3760,34,1.15565,9,-1.0180,9,-0.9270,12,-0.4559,3,-2.2436,17,-0.0146,19,0.22570
ENSG00000159363,ATP13A2,38,-1.7040,67,-0.8846,57,-1.1092,125,0.08122,190,0.86131,81,-0.5901,129,0.13488,111,-0.1031,152,0.39175,142,0.31243
ENSG00000117118,SDHB,43,-0.7592,94,0.45423,84,0.28697,43,-0.7603,128,1.12157,56,-0.3519,50,-0.5138,66,-0.0966,52,-0.4717,50,-0.5793
ENSG00000117115,PADI2,295,2.62255,101,0.62480,106,0.71564,122,0.93982,4,-4.1466,51,-0.4452,13,-2.4848,16,-2.1932,23,-1.6275,41,-0.8172
ENSG00000179051,RCC2,12,-0.9686,15,-0.6425,21,-0.1594,8,-1.4948,43,1.12961,7,-1.8315,29,0.37337,24,0.05742,33,0.55374,22,-0.1220
ENSG00000074964,ARHGEF10L,7,-1.2910,47,1.65652,37,1.23513,5,-1.7999,22,0.46034,6,-1.5728,9,-0.9380,11,-0.7186,11,-0.6395,14,-0.2794
ENSG00000117154,IGSF21,27,-1.6957,55,-0.6133,35,-1.2825,109,0.44814,81,-0.0133,283,2.14121,82,-0.0028,62,-0.4359,41,-1.0676,64,-0.4090
ENSG00000159423,ALDH4A1,32,0.74749,36,0.93251,61,1.89637,22,0.19310,11,-0.9818,10,-1.0019,1,-4.1149,19,-0.0695,10,-1.0157,13,-0.7034
ENSG00000127481,UBR4,45,0.69440,12,-1.2593,14,-1.0897,39,0.46858,15,-1.0931,13,-1.2160,39,0.46414,31,0.12205,86,1.83927,19,-0.6625
ENSG00000127463,EMC1,46,0.37140,33,-0.1761,32,-0.2071,34,-0.1218,39,0.12150,65,0.92272,24,-0.6577,56,0.68371,26,-0.5128,22,-0.8051
ENSG00000053372,MRTO4,29,-0.3587,40,0.13484,34,-0.1125,20,-0.8719,33,-0.1341,35,-0.0555,35,-0.0630,78,1.24467,35,-0.0476,32,-0.2329
ENSG00000053371,AKR7A2,39,0.16835,66,1.02460,78,1.31807,59,0.83184,26,-0.5063,25,-0.5153,20,-0.8136,30,-0.2238,7,-2.3322,22,-0.7723
ENSG00000077549,CAPZB,98,-0.8093,140,-0.2740,189,0.19399,142,-0.2549,225,0.53803,270,0.77955,169,0.01963,154,-0.1225,150,-0.1624,119,-0.5640
ENSG00000173436,MICOS10,174,-0.6598,371,0.52512,214,-0.3448,354,0.45293,455,0.98993,203,-0.4215,160,-0.7878,201,-0.4395,93,-1.5906,260,-0.0443
ENSG00000158747,NBL1,63,-1.1288,109,-0.2818,82,-0.7316,181,0.50847,133,0.02345,136,0.05643,181,0.51007,157,0.28540,109,-0.2935,146,0.18615
ENSG00000169914,OTUD3,7,-1.5466,23,0.15539,13,-0.7599,26,0.33534,14,-0.6491,30,0.54533,25,0.25936,19,-0.1373,37,0.92275,22,0.05792
ENSG00000162545,CAMK2N1,625,-1.2883,2485,0.87014,969,-0.6277,2336,0.76671,1035,-0.5704,484,-1.6705,709,-1.1014,4094,1.75439,663,-1.2018,1502,0.05733
ENSG00000090432,MUL1,26,0.47950,1,-4.3531,10,-1.0237,39,1.15992,20,0.05563,8,-1.2763,30,0.68482,27,0.54003,18,-0.1308,16,-0.2700
ENSG00000183114,FAM43B,16,-0.2676,20,0.10466,31,0.78465,24,0.37591,13,-0.5803,36,1.06124,26,0.53339,5,-2.0184,15,-0.3623,13,-0.5784
ENSG00000158828,PINK1,179,-1.2689,325,-0.3637,365,-0.1856,426,0.05765,665,0.88434,514,0.35722,440,0.10861,299,-0.4923,248,-0.7759,401,-0.0396
ENSG00000244038,DDOST,18,-0.6533,13,-1.1454,48,0.88574,29,0.04098,35,0.39032,38,0.49341,30,0.13572,30,0.12268,16,-0.8717,21,-0.4568
ENSG00000117245,KIF17,3,-2.4709,0,-7.1651,5,-1.8307,15,-0.2217,25,0.56747,31,0.87621,43,1.41163,20,0.19163,5,-1.9351,22,0.34292
ENSG00000189410,SH2D5,1,-4.8738,17,-0.8438,14,-1.1862,7,-2.1393,42,0.60861,19,-0.6705,26,-0.2266,107,2.20277,31,0.04479,27,-0.1864
ENSG00000127483,HP1BP3,418,0.95435,163,-0.5449,162,-0.5550,134,-0.8410,182,-0.4096,250,0.11470,355,0.68019,239,0.04411,288,0.34204,207,-0.1991
ENSG00000075151,EIF4G3,221,0.11124,106,-1.0234,218,0.09053,122,-0.8049,174,-0.2872,248,0.29102,437,1.23596,165,-0.3419,301,0.60828,153,-0.4967
ENSG00000117298,ECE1,24,0.36497,28,0.58082,52,1.66862,10,-0.8973,6,-1.7990,13,-0.5811,9,-1.0515,6,-1.7198,26,0.48657,24,0.42139
ENSG00000162551,ALPL,10,-0.8020,40,1.33776,52,1.78863,1,-3.7483,7,-1.3871,4,-2.2502,6,-1.6201,16,-0.1104,18,-0.0177,26,0.65337
ENSG00000076864,RAP1GAP,50,-1.5785,79,-0.8861,90,-0.6857,96,-0.5895,118,-0.2951,377,1.65267,217,0.69125,138,-0.0372,133,-0.0844,137,-0.0456
ENSG00000090686,USP48,131,1.12156,16,-2.0880,32,-1.0783,54,-0.3031,45,-0.6543,81,0.31112,83,0.35418,73,0.16337,152,1.37513,41,-0.8067
ENSG00000070831,CDC42,240,0.13690,185,-0.2753,182,-0.2962,147,-0.6237,268,0.34364,396,0.95146,266,0.29797,185,-0.2696,190,-0.2345,159,-0.5483
ENSG00000173369,C1QB,6,-1.7001,44,1.25727,44,1.27622,57,1.70921,16,-0.4069,6,-1.6544,0,-4.5757,29,0.59071,3,-2.4903,10,-1.0991
ENSG00000004487,KDM1A,35,-0.4789,19,-1.3993,64,0.47837,31,-0.6734,59,0.37978,55,0.22656,72,0.66162,54,0.21056,65,0.48979,29,-0.8105
ENSG00000169641,LUZP1,41,-1.6635,58,-1.1540,84,-0.6169,23,-2.5377,162,0.46566,73,-0.8166,266,1.24652,84,-0.6087,304,1.48628,119,-0.0779
ENSG00000125944,HNRNPR,174,0.50151,96,-0.4279,114,-0.1688,122,-0.0585,110,-0.2493,151,0.27457,195,0.68594,182,0.57150,77,-0.7639,97,-0.4585
ENSG00000088280,ASAP3,29,0.67100,21,0.16089,60,1.94270,34,0.95929,13,-0.5885,26,0.51750,2,-3.1904,6,-1.6469,11,-0.7658,5,-1.9030
ENSG00000117318,ID3,70,1.43294,109,2.28852,79,1.66677,33,0.18213,2,-3.7413,6,-2.2575,0,-5.8853,13,-1.2622,7,-2.1260,15,-1.0870
ENSG00000142676,RPL11,719,0.77066,762,0.86730,452,0.01983,801,0.95105,427,-0.0775,341,-0.4189,193,-1.2777,306,-0.5823,104,-2.1879,411,-0.1394
ENSG00000011007,ELOA,54,1.13535,36,0.44677,25,-0.0988,23,-0.2367,11,-1.4323,38,0.52396,32,0.24566,24,-0.1569,24,-0.1683,23,-0.2815
ENSG00000057757,PITHD1,71,-1.0908,74,-1.0307,120,-0.2899,119,-0.3084,257,1.06488,169,0.24433,139,-0.0648,170,0.24773,92,-0.6991,136,-0.1109
ENSG00000011009,LYPLA2,9,-1.5508,25,-0.0335,24,-0.0818,11,-1.2377,24,-0.0847,30,0.23780,29,0.19930,37,0.58497,24,-0.0813,34,0.52091
ENSG00000117308,GALE,9,-0.8015,9,-0.7708,17,0.12076,13,-0.2637,25,0.82591,18,0.15624,18,0.18485,13,-0.3630,15,-0.1178,14,-0.1941
ENSG00000117305,HMGCL,12,-0.3885,11,-0.5464,39,1.43220,8,-0.9431,21,0.47813,29,0.93494,8,-0.9696,8,-0.9910,3,-2.3903,16,-0.0360
ENSG00000189266,PNRC2,89,0.61659,49,-0.3362,79,0.40752,66,0.13788,48,-0.3906,68,0.17788,44,-0.4905,101,0.80805,26,-1.2728,55,-0.1581
ENSG00000188529,SRSF10,102,0.52365,80,0.13534,100,0.49211,50,-0.5943,51,-0.5957,112,0.68432,72,-0.0276,73,0.00145,89,0.31295,49,-0.6597
ENSG00000001461,NIPAL3,259,1.41095,70,-0.6934,80,-0.4897,106,-0.0668,79,-0.5702,141,0.39300,193,0.90380,61,-0.8988,92,-0.2779,82,-0.4923
ENSG00000133226,SRRM1,396,1.71697,85,-0.8061,93,-0.6555,89,-0.7261,74,-1.0741,161,0.19113,173,0.30169,92,-0.6819,283,1.11336,98,-0.6320
ENSG00000169504,CLIC4,228,2.07137,187,1.68529,85,0.33289,169,1.49615,7,-3.4240,60,-0.2130,12,-2.5956,12,-2.5266,12,-2.5661,22,-1.8091
ENSG00000117614,SYF2,147,0.68336,103,0.11220,138,0.58605,103,0.10586,78,-0.3412,46,-1.1090,99,0.04806,111,0.22891,93,-0.0550,77,-0.3640
ENSG00000117616,RSRP1,85,-0.0904,69,-0.4170,108,0.28792,47,-1.0094,38,-1.3839,345,2.34775,53,-0.8311,77,-0.2528,144,0.74459,41,-1.2973
ENSG00000183726,TMEM50A,77,-0.0219,105,0.46276,85,0.13796,74,-0.0949,70,-0.1800,145,0.99843,75,-0.0589,110,0.54724,22,-1.8797,52,-0.6693
